id,kind,key,value,rva,fn,note
D7-1-11,rule,same_type_stacking,"LONGEST WINS (max), never additive",0x0020e0ae / 0x002089f2,fixed-entry insert (jae skip) / GetFixedDamageDuration (cmovg max),insert only grows the bucket list if the new length exceeds the current; the manager takes the MAX over matching entries.
D7-1-12,rule,pvp_only_duration_multiplier,PvE: NO-OP,0x00209db0,ModifyDuration@DurationDamageManager,"for types 0x2a..0x31 multiplies by max(gGameEngine[+0x22f4],0) ONLY when FactionManager::GetPvpIds(target,attacker,..)==true. gGameEngine[+0x22f4] == GetPvpCrowdControlDurationMultiplier (0x0026d5d0)."
D7-1-13,rule,application_guard,AddFixedDamage returns early unless magnitude>0 AND duration>0,"0x00208da3, 0x00208db9",AddFixedDamage,so a 100%-resisted control never enters the timeline at all.
D7-2-01,rule,family_to_player_state_map,42->Stunned 43->Sleeping 44->Trapped 45+46->Character::BeginFreeze/BeginPetrify 47->Immobilized 48->KnockedDown 49->TakeHit,0x0005acc0,StartInvoluntaryEffect@Character,Stun/Sleep/TakeHit route to the CONTROLLER (vtable +0x90/+0xa8/+0xa0); Trap/Freeze/Petrify/Immobilize/Knockdown route to Character::Begin<X>.
D7-2-02,rule,exactly_one_involuntary_effect,TRUE — first-match-wins ladder,0x00209fc0,UpdateFxAndInfluence@DurationDamageManager,"tests GetFixedDamage(t)>0 in order 47,46,45,44,43,42,48,49 and takes the FIRST; on change it Stops the old effect then Starts the new one."
D7-2-03,rule,influence_suppressed_by_hard_control,TRUE,0x0020a11c,UpdateFxAndInfluence,Confusion(53)/Fear(52) are evaluated ONLY when the active involuntary type is 0.
D7-2-04,rule,Confusion_on_player,NO-OP,Player vtable +0x3c8 -> 0x000084d0,CombatExertInfluenceConfusion,Player does not override; Character::CombatExertInfluenceConfusion IS the shared `ret 4` stub at 0x000084d0. Monster DOES override (0x002d9670).
D7-2-05,rule,Fear_on_player,"routes to controller vtable +0x84, which on ControllerPlayer is a `ret 8` stub -> NO-OP",0x00054690 -> ControllerPlayer vtable +0x84 = 0x0000f100,CombatExertInfluenceFear@Character,"the Character body is real, the ControllerPlayer slot it calls is not."
D7-2-06,rule,Taunt_on_player,"routes to controller vtable +0x8c, `ret 8` stub -> NO-OP",0x000546d0 -> ControllerPlayer vtable +0x8c = 0x0000f100,CombatExertInfluenceTaunt@Character,
D7-2-07,rule,channel_is_broken_by_control,TRUE,ControllerPlayerStateUseSkill vtable +0xb0 = 0x0011ffa0,BeginStun@ControllerPlayerStateIdle,"UseSkill/MoveTo/ChargeToUseSkill inherit IDLE's Begin<Control>, which calls ControllerAI::SetState(""Stunned""/...) — the skill state is REPLACED, so the channel ends."
D7-2-08,rule,control_state_does_not_refresh,TRUE,ControllerPlayerStateStunned vtable +0xa0..+0xc8 = 0x00007f40,Stop@Fx (bare ret),every Begin<Control> slot inside a control state is a no-op stub; a second landing of the same family does not restart the state.
D7-2-09,rule,control_state_exit,externally driven by StopInvoluntaryEffect,0x00123490,OnUpdate@ControllerPlayerStateStunned,"decrements [this+0x10] and self-ends only if it started > 0; DefaultBeginStunAction passes a ZERO ControllerAIStateData (0x0011f609..0x0011f617), so the timer is the DurationDamageManager bucket list, not the state."
D7-2-10,rule,state_names,Immobilized / Trapped / Stunned / KnockedDown / TakeHit / Sleeping,"0x0011f480,0x0011f520,0x0011f5c0,0x0011f660,0x0011f700,0x0011f7a0",Default*Action@ControllerPlayerState,string literals passed to ControllerAI::SetState.
D7-3-01,rule,offensive_control_modifier_composition,ONE ADDITIVE POOL,0x000de490,GetTotalDurationModifierType@CombatAttributeAccumulator,iterates the damage-modifier list and ADDS every entry whose GetType()==requested type. Identical shape to GetTotalDamageModifierType (0x000de410). gamora's analogy is CORRECT and is now DECODED.
D7-3-02,rule,duration_modifier_consumer,Player::CollectDamageDurationModifiers,0x0031a290,CollectDamageDurationModifiers@Player,sole caller of GetTotalDurationModifierType in the image.
D7-N-01,negative,CalculateStun is NOT the control-application path,CLEAN NEGATIVE,"0x0031ee20 (Player), 0x002d5170 (Monster), 0x00054110 (Character stub)",CalculateStun,"vtable slot 286 (+0x478) of the Character hierarchy; ZERO call sites found by exhaustive byte-scan of .text for both `call [reg+0x478]` and `mov reg,[reg+0x478]` encodings. Sits between UnderAttack and CombatCausedHitReaction. Recorded, not used."
D7-N-02,negative,no defensiveImmobilize / defensiveTakeHit stat exists,CLEAN NEGATIVE,n/a,GetType census over 278 constant bodies,"enum values 47 and 49 have NO DefenseAttribute class in the 25,091-symbol export table; slow/immobilise on a player is unresistible by a per-type stat."
D7-N-03,negative,control resistance is NOT applied in CombatManager::TakeAttack,CLEAN NEGATIVE,"0x000e1bed,0x000e1eb6,0x000e1eef,0x000e20a1,0x000e20e8,0x000e2197,0x000e2c19",TakeAttack,"all seven GetTotalDefenseType call sites there pass 0x3f/0x39/0x3d/0x37/0x38 (reflection, reflect, damage-multiplier, block) — never a control type."
