frame,t_sec,ocr_conf,clean_read,damage,multiplier,residue_cents,offset_family,implied_tier,source_text
30,740.0,1.0,1,305,1.77,7,A(+0.57),1.20,305 (x1.77)
30,740.0,1.0,1,17083,1.77,7,A(+0.57),1.20,17083 (x1.77)
30,740.0,1.0,0,,1.89,9,B(+0.69),1.20,"30785 (x1,89)"
31,742.0,1.0,0,,1.67,7,A(+0.57),1.10,30671 (x1189)5 (x1.67)
31,742.0,1.0,1,533,1.67,7,A(+0.57),1.10,533 (x1.67)
31,742.0,1.0,1,54828,1.79,9,B(+0.69),1.10,54828 (x1.79)
34,748.0,0.3,0,,1.51,1,unresolved,,293 (x1.51778 (x1.79)
34,748.0,0.3,0,,1.79,9,B(+0.69),1.10,293 (x1.51778 (x1.79)
36,752.0,0.3,0,,1.77,7,A(+0.57),1.20,8526 (x1.77
36,752.0,1.0,0,,1.87,7,A(+0.57),1.30,"(19,825/20,005)370 (x1.87)"
36,752.0,0.3,0,,1.89,9,B(+0.69),1.20,"54310 24887, (x1.89),"
37,754.0,1.0,1,1707,1.89,9,B(+0.69),1.20,1707 (x1.89)
37,754.0,0.5,1,48150,1.99,9,B(+0.69),1.30,48150 (x1.99)
38,756.0,0.5,0,,1.77,7,A(+0.57),1.20,1315 15064 (x1.77)
38,756.0,1.0,1,32370,1.79,9,B(+0.69),1.10,32370 (x1.79)
39,758.0,0.5,1,50398,1.89,9,B(+0.69),1.20,50398 (x1.89)
39,758.0,0.5,0,,1.89,9,B(+0.69),1.20,10%8006 (x1.89)
40,760.0,0.5,0,,1.89,9,B(+0.69),1.20,"32945 (x1,89)"
41,762.0,0.5,0,,1.67,7,A(+0.57),1.10,"2013 (x1,67)"
41,762.0,1.0,1,75508,1.77,7,A(+0.57),1.20,75508 (x1.77)
41,762.0,0.3,0,,1.77,7,A(+0.57),1.20,4842 Xx1.77))
41,762.0,0.5,1,32645,1.89,9,B(+0.69),1.20,32645 (x1.89)
42,764.0,0.5,0,,1.79,9,B(+0.69),1.10,(x1.79)
42,764.0,0.3,1,180851,1.89,9,B(+0.69),1.20,180851 (x1.89)
42,764.0,0.3,0,,1.89,9,B(+0.69),1.20,(198472 (x1.89) 5)
43,766.0,1.0,0,,1.89,9,B(+0.69),1.20,411335(x1.89)1.89)
44,768.0,1.0,1,33663,1.77,7,A(+0.57),1.20,33663 (x1.77)
45,770.0,1.0,1,1878,1.67,7,A(+0.57),1.10,1878 (x1.67)
45,770.0,0.5,1,699,1.89,9,B(+0.69),1.20,699 (x1.89)
45,770.0,0.3,1,64688,1.89,9,B(+0.69),1.20,64688 (x1.89)
45,770.0,0.3,1,19204,1.89,9,B(+0.69),1.20,19204 (x1.89)
46,772.0,1.0,1,4760,1.67,7,A(+0.57),1.10,4760 (x1.67)
46,772.0,1.0,1,9230,1.67,7,A(+0.57),1.10,9230 (x1.67)
46,772.0,0.3,0,,1.67,7,A(+0.57),1.10,10638 x1.67)
49,778.0,1.0,1,25862,1.77,7,A(+0.57),1.20,25862 (x1.77)
51,782.0,0.5,1,47787,1.89,9,B(+0.69),1.20,47787 (x1.89)
52,784.0,0.3,0,,1.39,9,B(+0.69),,90NS 6x1.394
52,784.0,1.0,0,,1.67,7,A(+0.57),1.10,"(19,938/20,0034338 (x1.67)"
52,784.0,0.3,0,,1.77,7,A(+0.57),1.20,14696x1.77
53,786.0,0.5,0,,1.67,7,A(+0.57),1.10,3214014069 (x1.6739535 (x1.79)
53,786.0,0.5,0,,1.79,9,B(+0.69),1.10,3214014069 (x1.6739535 (x1.79)
53,786.0,1.0,1,9092,1.87,7,A(+0.57),1.30,9092 (x1.87)
54,788.0,1.0,0,,1.67,7,A(+0.57),1.10,-15358 (x1.67)
54,788.0,0.3,0,,1.77,7,A(+0.57),1.20,"•1 (x1,77)"
54,788.0,1.0,1,7106,1.87,7,A(+0.57),1.30,7106 (x1.87)
54,788.0,1.0,0,,1.89,9,B(+0.69),1.20,84226 (x1.89
55,790.0,1.0,1,14050,1.67,7,A(+0.57),1.10,14050 (x1.67)
55,790.0,1.0,1,16367,1.77,7,A(+0.57),1.20,16367 (x1.77)
55,790.0,0.5,0,,1.77,7,A(+0.57),1.20,16367 (x1.7711905048
56,792.0,0.5,0,,1.87,7,A(+0.57),1.30,21418 61.677328 (x1.87)-
56,792.0,0.5,0,,1.89,9,B(+0.69),1.20,64898 (x1.89) 66994 (x1279)
57,794.0,1.0,1,86505,1.79,9,B(+0.69),1.10,86505 (x1.79)
57,794.0,1.0,1,377287659,1.89,9,B(+0.69),1.20,377287659 (x1.89)
62,804.0,0.5,0,,1.89,9,B(+0.69),1.20,7091 x1.89
63,806.0,1.0,1,19564,1.67,7,A(+0.57),1.10,19564 (x1.67)
63,806.0,1.0,1,19569,1.67,7,A(+0.57),1.10,19569 (x1.67)
63,806.0,0.5,0,,1.77,7,A(+0.57),1.20,1680 (x1.77))
63,806.0,0.5,1,22912,1.77,7,A(+0.57),1.20,22912 (x1.77)
63,806.0,0.5,0,,1.79,9,B(+0.69),1.10,16:589037(x1.79)
64,808.0,1.0,1,87328,1.79,9,B(+0.69),1.10,87328 (x1.79)
64,808.0,0.5,1,75674,1.79,9,B(+0.69),1.10,75674 (x1.79)
65,810.0,0.3,0,,1.70,0,unresolved,,"42580 (x1,709.005/20,005)"
66,812.0,1.0,0,,1.77,7,A(+0.57),1.20,"22499 (x1,77)"
68,816.0,1.0,1,34213,1.77,7,A(+0.57),1.20,34213 (x1.77)
68,816.0,0.3,0,,1.89,9,B(+0.69),1.20,1682 K162 (x1.89)
69,818.0,0.3,0,,1.42,2,unresolved,,"7079 (x1,422"
69,818.0,1.0,1,5205,1.67,7,A(+0.57),1.10,5205 (x1.67)
69,818.0,0.5,1,3882,1.67,7,A(+0.57),1.10,3882 (x1.67)
69,818.0,0.3,0,,1.79,9,B(+0.69),1.10,"164%6,(x1.79)"
70,820.0,1.0,1,436,1.77,7,A(+0.57),1.20,436 (x1.77)
70,820.0,0.3,0,,1.79,9,B(+0.69),1.10,"38517 (x1,79)"
70,820.0,1.0,1,57529,1.89,9,B(+0.69),1.20,57529 (x1.89)
71,822.0,1.0,0,,1.77,7,A(+0.57),1.20,"261 (x1.77) (1,415,740/1,599,856)"
71,822.0,1.0,1,29105,1.99,9,B(+0.69),1.30,29105 (x1.99)
72,824.0,0.3,0,,1.77,7,A(+0.57),1.20,4332 6x1.77)
73,826.0,0.3,0,,1.77,7,A(+0.57),1.20,+11214(%68 (x1.77)
73,826.0,1.0,1,35827,1.89,9,B(+0.69),1.20,35827 (x1.89)
74,828.0,1.0,1,84831,1.89,9,B(+0.69),1.20,84831 (x1.89)
75,830.0,1.0,1,4852,1.67,7,A(+0.57),1.10,4852 (x1.67)
75,830.0,0.3,0,,1.67,7,A(+0.57),1.10,12370(x1.67) e
75,830.0,0.5,0,,1.77,7,A(+0.57),1.20,"18447 (x1,77)"
76,832.0,1.0,1,8169,1.67,7,A(+0.57),1.10,8169 (x1.67)
76,832.0,0.5,1,10775,1.89,9,B(+0.69),1.20,10775 (x1.89)
76,832.0,1.0,1,5589,3.67,7,A(+0.57),,5589 (x3.67)
77,834.0,1.0,1,20035,1.67,7,A(+0.57),1.10,20035 (x1.67)
77,834.0,0.3,1,31759404,1.79,9,B(+0.69),1.10,31759404 (x1.79)
78,836.0,1.0,1,15609,1.79,9,B(+0.69),1.10,15609 (x1.79)
81,842.0,1.0,1,95669,1.79,9,B(+0.69),1.10,95669 (x1.79)
82,844.0,1.0,1,18564,1.67,7,A(+0.57),1.10,18564 (x1.67)
83,846.0,1.0,1,2520,1.67,7,A(+0.57),1.10,2520 (x1.67)
83,846.0,1.0,1,784,1.77,7,A(+0.57),1.20,784 (x1.77)
83,846.0,1.0,0,,1.77,7,A(+0.57),1.20,"(19,928/20,005) 1490 (x1.77)"
83,846.0,0.5,0,,1.79,9,B(+0.69),1.10,62925 43322 (x1.79)
83,846.0,0.3,0,,1.79,9,B(+0.69),1.10,(x1.79)
85,850.0,1.0,1,16043,1.67,7,A(+0.57),1.10,16043 (x1.67)
85,850.0,1.0,1,18704,1.67,7,A(+0.57),1.10,18704 (x1.67)
85,850.0,0.3,1,29,1.77,7,A(+0.57),1.20,29 (x1.77)
85,850.0,0.5,0,,1.79,9,B(+0.69),1.10,45922 6x1.79)
86,852.0,1.0,1,17758,1.67,7,A(+0.57),1.10,17758 (x1.67)
86,852.0,0.3,0,,1.77,7,A(+0.57),1.20,"16389 (x1,77461 (x03089.209/203.30912.053,796)"
86,852.0,1.0,1,38950,1.89,9,B(+0.69),1.20,38950 (x1.89)
87,854.0,0.5,0,,1.79,9,B(+0.69),1.10,"59149 (x1,79)"
87,854.0,1.0,1,24375,1.89,9,B(+0.69),1.20,24375 (x1.89)
89,858.0,0.3,1,32070,1.67,7,A(+0.57),1.10,32070 (x1.67)
89,858.0,1.0,1,27318,1.77,7,A(+0.57),1.20,27318 (x1.77)
89,858.0,0.5,1,95160,1.79,9,B(+0.69),1.10,95160 (x1.79)
89,858.0,0.3,0,,1.79,9,B(+0.69),1.10,131x1.79)
91,862.0,0.3,1,14417,1.67,7,A(+0.57),1.10,14417(x1.67)
91,862.0,0.5,0,,1.77,7,A(+0.57),1.20,16121. (x1.77)
92,864.0,1.0,1,30099,1.67,7,A(+0.57),1.10,30099 (x1.67)
92,864.0,0.5,1,30099,1.67,7,A(+0.57),1.10,30099 (x1.67)
92,864.0,1.0,1,86773,1.79,9,B(+0.69),1.10,86773 (x1.79)
93,866.0,0.5,1,33707,1.39,9,B(+0.69),,33707 (x1.39)
