record,in_pool,is_summon_body,summoner,level_set,level_lo,level_hi,level_grade,bio_record,life_equation,monster_class,winner_archive,base_life_lo,base_life_hi,life_passive_pct_lo,life_passive_pct_hi,own_total_damage_modifier_pct_lo,own_total_damage_modifier_sources_lo,pool_records,pool_kinds,waves_pooled,life_grade,damage_grade
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_aetherialroguelike_vanaldritch_01.dbr,((charLevel*46)^1.5)+10000,Quest,sm1,350483.0882,360164.7144,103.0,121.0,83.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE) malmouthenclave_councilstorm.dbr[26]=42.0(IN-RANGE),records/proxies/poolsbossgdx1/aetherialenclave.dbr,BOSS,177,MEASURED,MEASURED
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss02.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_aetherialroguelike_reanimator_01.dbr,((charLevel*42)^1.5)+5000,Quest,sm1,302052.1729,310498.8423,103.0,121.0,83.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE) malmouthenclave_councilstorm.dbr[26]=42.0(IN-RANGE),records/proxies/poolsbossgdx1/aetherialenclave.dbr,BOSS,177,MEASURED,MEASURED
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss03.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_aetherialroguelike_reanimator_02.dbr,((charLevel*42)^1.5)+5000,Quest,sm1,302052.1729,310498.8423,103.0,121.0,83.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE) malmouthenclave_councilstorm.dbr[26]=42.0(IN-RANGE),records/proxies/poolsbossgdx1/aetherialenclave.dbr,BOSS,177,MEASURED,MEASURED
records/creatures/enemies/boss&quest/aetherial_final02.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_aetherialfinal_02.dbr,((charLevel*33)^1.5)+500,Quest,sm1,207385.3354,213268.1136,103.0,121.0,45.0,damage_totaladjuster.dbr[4]=20.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx1/aetherialfinal.dbr,BOSS,180,MEASURED,MEASURED
records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_aetherial_colossusgalakros.dbr,((charLevel*33)^1.5)+500,Quest,sm1,207385.3354,213268.1136,103.0,121.0,81.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE) galakros_enrage.dbr=40.0,records/proxies/poolsbossgdx1/aetherialcolossus_galakros.dbr,BOSS,173,MEASURED,MEASURED
records/creatures/enemies/boss&quest/avian_worldtear_01.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_avian_worldtear_01.dbr,((charLevel*33)^1.5)+500,Quest,sm3,207385.3354,213268.1136,103.0,121.0,49.0,damage_totaladjuster.dbr[5]=24.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx3/avian_worldtear.dbr,BOSS,175,MEASURED,MEASURED
records/creatures/enemies/boss&quest/avian_worldtear_01b.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_avian_worldtear_01.dbr,((charLevel*33)^1.5)+500,Quest,sm3,207385.3354,213268.1136,103.0,121.0,49.0,damage_totaladjuster.dbr[5]=24.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx3/avian_worldtear.dbr,BOSS,175,MEASURED,MEASURED
records/creatures/enemies/boss&quest/banditminiboss_arkovianruins_01.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_outlaw_arkovianruins_01.dbr,((charLevel*30)^1.5)+500,Quest,sm2,179824.9341,184924.0331,103.0,121.0,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx2/outlaw_arkoviandocks.dbr,BOSS,174,MEASURED,MEASURED
records/creatures/enemies/boss&quest/beetle_desert01.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_beetle_01.dbr,((charLevel*30)^1.5)+500,Quest,sm2,179824.9341,184924.0331,103.0,121.0,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx2/beetle_desert.dbr,BOSS,179,MEASURED,MEASURED
records/creatures/enemies/boss&quest/beronathfinal_01.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_beronathfinal_01.dbr,((charLevel*33)^1.5)+500,Quest,sm3,207385.3354,213268.1136,103.0,121.0,49.0,damage_totaladjuster.dbr[5]=24.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx3/beronath.dbr,BOSS,180,MEASURED,MEASURED
records/creatures/enemies/boss&quest/chthonianherald_prodromus_01.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_prodromus_01.dbr,((charLevel*33)^1.5)+500,Quest,sm3,207385.3354,213268.1136,103.0,121.0,49.0,damage_totaladjuster.dbr[5]=24.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx3/chthonianherald_prodromus.dbr,BOSS,180,MEASURED,MEASURED
records/creatures/enemies/boss&quest/chthonianherald_prodromus_01b.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_prodromus_01.dbr,((charLevel*33)^1.5)+500,Quest,sm3,207385.3354,213268.1136,103.0,121.0,49.0,damage_totaladjuster.dbr[5]=24.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx3/chthonianherald_prodromus.dbr,BOSS,180,MEASURED,MEASURED
records/creatures/enemies/boss&quest/chthonianservitor_lunalvalgoth.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_chthonian_lunalvalgoth.dbr,((charLevel*30)^1.5)+500,Quest,sm1,179824.9341,184924.0331,103.0,121.0,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx1/chthonianservitor_lunalvalgoth.dbr,BOSS,178,MEASURED,MEASURED
records/creatures/enemies/boss&quest/chthonianservitor_rinnvalgoth.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_chthonian_rinnvalgoth_01.dbr,((charLevel*30)^1.5)+500,Quest,sm3,179824.9341,184924.0331,103.0,121.0,49.0,damage_totaladjuster.dbr[5]=24.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx3/chthonianservitor_rinnvalgoth.dbr,BOSS,178,MEASURED,MEASURED
records/creatures/enemies/boss&quest/cultist_burrwitchcathedral_01.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_chthoniancultist_burrwitchcathedral_01.dbr,((charLevel*30)^1.5)+500,Quest,sm2,179824.9341,184924.0331,103.0,121.0,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx2/cthoniccultist_burrwitchcathedral.dbr,BOSS,173|174,MEASURED,MEASURED
records/creatures/enemies/boss&quest/cultist_captain_01.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_cultistcaptain_01.dbr,((charLevel*28)^1.5)+100,Quest,sm_mod,161794.7223,166392.5068,103.0,121.0,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsboss/chthonian_bolvar.dbr,BOSS,174,MEASURED,MEASURED
records/creatures/enemies/boss&quest/cultist_cultleader_01.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_cultistleader_01.dbr,((charLevel*32)^1.5)+100,Quest,sm_mod,197653.062,203270.4772,103.0,121.0,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsboss/chthonian_bloodlord.dbr,BOSS,171,MEASURED,MEASURED
records/creatures/enemies/boss&quest/eldritcharmor_roguelike_02a.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_roguelikefinal_01.dbr,((charLevel*33)^1.5)+500,Quest,sm3,207385.3354,213268.1136,103.0,121.0,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx3/tombheretic_morgoneth.dbr,BOSS,175,MEASURED,MEASURED
records/creatures/enemies/boss&quest/eldritcharmor_roguelike_02b.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_roguelikefinal_01.dbr,((charLevel*33)^1.5)+500,Quest,sm3,207385.3354,213268.1136,103.0,121.0,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx3/tombheretic_morgoneth.dbr,BOSS,175,MEASURED,MEASURED
records/creatures/enemies/boss&quest/eldritcharmor_roguelikemagi_01.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_roguelikemagi_01.dbr,((charLevel*26)^1.5)+500,Quest,sm3,145183.4379,149297.5071,103.0,121.0,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx3/tombheretic_magi.dbr,BOSS,177,MEASURED,MEASURED
records/creatures/enemies/boss&quest/eldritcharmor_roguelikemagi_02.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_roguelikemagi_01.dbr,((charLevel*26)^1.5)+500,Quest,sm3,145183.4379,149297.5071,103.0,121.0,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx3/tombheretic_magi.dbr,BOSS,177,MEASURED,MEASURED
records/creatures/enemies/boss&quest/eldritcharmor_roguelikemagi_03.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_roguelikemagi_01.dbr,((charLevel*26)^1.5)+500,Quest,sm3,145183.4379,149297.5071,103.0,121.0,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx3/tombheretic_magi.dbr,BOSS,177,MEASURED,MEASURED
records/creatures/enemies/boss&quest/eldritcharmor_roguelikemagi_04.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_roguelikemagi_01.dbr,((charLevel*26)^1.5)+500,Quest,sm3,145183.4379,149297.5071,103.0,121.0,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx3/tombheretic_magi.dbr,BOSS,177,MEASURED,MEASURED
records/creatures/enemies/boss&quest/eldritcharmor_roguelikemagi_05.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_roguelikemagi_01.dbr,((charLevel*26)^1.5)+500,Quest,sm3,145183.4379,149297.5071,103.0,121.0,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx3/tombheretic_magi.dbr,BOSS,177,MEASURED,MEASURED
records/creatures/enemies/boss&quest/eldritcharmor_roguelikemagi_06.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_roguelikemagi_01.dbr,((charLevel*26)^1.5)+500,Quest,sm3,145183.4379,149297.5071,103.0,121.0,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx3/tombheretic_magi.dbr,BOSS,177,MEASURED,MEASURED
records/creatures/enemies/boss&quest/eldritcharmor_roguelikemagi_07.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_roguelikemagi_01.dbr,((charLevel*26)^1.5)+500,Quest,sm3,145183.4379,149297.5071,103.0,121.0,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx3/tombheretic_magi.dbr,BOSS,177,MEASURED,MEASURED
records/creatures/enemies/boss&quest/eldritchhound_basaltcrags.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_hound_basaltcrags_01.dbr,((charLevel*30)^1.5)+500,Quest,sm2,179824.9341,184924.0331,103.0,121.0,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx2/eldritchhound_basalt.dbr,BOSS,179,MEASURED,MEASURED
records/creatures/enemies/boss&quest/eldritchhound_gatheringpower.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_hound_gatheringpower_01.dbr,((charLevel*30)^1.5)+500,Quest,sm2,179824.9341,184924.0331,103.0,121.0,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx2/eldritchhound_gatheringpower.dbr,BOSS,171,MEASURED,MEASURED
records/creatures/enemies/boss&quest/eldritchlizard_heartastribute_01.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_lizard_heartastribute_01.dbr,((charLevel*30)^1.5)+500,Quest,sm2,179824.9341,184924.0331,103.0,121.0,81.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE) onarix_enrage.dbr=40.0,records/proxies/poolsbossgdx2/eldritchlizard_heartastribute.dbr,BOSS,171,MEASURED,MEASURED
records/creatures/enemies/boss&quest/ghostcrab_mineboss_01.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_swampcrab_roguelike01.dbr,((charLevel*33)^1.5)+500,Quest,sm1,207385.3354,213268.1136,103.0,121.0,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx1/ghostcrab_mine.dbr,BOSS,172,MEASURED,MEASURED
records/creatures/enemies/boss&quest/giant_fire_01.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_giantfire_01.dbr,((charLevel*30)^1.5)+500,Quest,sm3,179824.9341,184924.0331,103.0,121.0,49.0,damage_totaladjuster.dbr[5]=24.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx3/giant_fire.dbr,BOSS,174,MEASURED,MEASURED
records/creatures/enemies/boss&quest/giant_storm_01.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_giantstorm_01.dbr,((charLevel*30)^1.5)+500,Quest,sm3,179824.9341,184924.0331,103.0,121.0,49.0,damage_totaladjuster.dbr[5]=24.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx3/giant_storm.dbr,BOSS,174|179,MEASURED,MEASURED
records/creatures/enemies/boss&quest/gryphon_templeboss.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_gryphontemple_01.dbr,((charLevel*30)^1.5)+500,Quest,sm2,179824.9341,184924.0331,103.0,121.0,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx2/gryphon_temple.dbr,BOSS,172,MEASURED,MEASURED
records/creatures/enemies/boss&quest/human_chthonickurn_blackheart_01.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_blackheart_01.dbr,((charLevel*30)^1.5)+500,Quest,sm3,179824.9341,184924.0331,103.0,121.0,49.0,damage_totaladjuster.dbr[5]=24.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx3/kurnchthonic_blackheart.dbr,BOSS,175,MEASURED,MEASURED
records/creatures/enemies/boss&quest/hypporaven_evernightvalley_01.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_hypporaven_evernight_01.dbr,((charLevel*30)^1.5)+500,Quest,sm3,179824.9341,184924.0331,103.0,121.0,49.0,damage_totaladjuster.dbr[5]=24.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx3/hypporaven_evernight.dbr,BOSS,172,MEASURED,MEASURED
records/creatures/enemies/boss&quest/korvaak_lieutenant_02.dbr,1,0,,106|107|108,106,108,MEASURED-SET,records/creatures/enemies/bios/bio_boss_kymonlieutenant_02.dbr,((charLevel*30)^1.5)+500,Quest,sm2,179824.9341,184924.0331,103.0,121.0,41.0,damage_totaladjuster.dbr[3]=16.0(IN-RANGE) armorbase05.dbr[105]=25.0(IN-RANGE),records/proxies/poolsbossgdx2/korvaakfinal.dbr,BOSS,180,MEASURED,MEASURED
