wave,content_tier,band,n_pool_rows,n_spawn_points,n_proxies,n_distinct_pools,n_roster_records,n_champ_records,n_distinct_records,sum_spawn_min,sum_spawn_max,sum_champion_min,sum_champion_max,pool_kinds,spawnMinAdj,spawnMaxAdj,spawnChampionMinAdj,spawnChampionMaxAdj,G_life_pct,D_damage_pct,grade,basis
163,17,B (Lap D),12,5,5,12,21,30,51,22.0,25.0,6.0,6.0,BOSS|HERO|trash,0.0,0.0,1.0,1.0,330.0,44.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
164,17,B (Lap D),15,5,5,15,36,0,36,44.0,52.0,0.0,0.0,BOSS|trash,0.0,0.0,1.0,1.0,332.0,44.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
165,17,B (Lap D),9,5,5,9,21,0,21,9.0,9.0,0.0,0.0,BOSS,0.0,0.0,1.0,1.0,334.0,44.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
166,17,B (Lap D),12,5,5,12,50,0,50,33.0,39.0,0.0,0.0,BOSS|trash,0.0,0.0,1.0,1.0,336.0,45.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
167,17,B (Lap D),16,5,5,16,22,90,112,36.0,42.0,9.0,9.0,BOSS|BOUNTY|DEVOTION|trash,0.0,0.0,1.0,1.0,338.0,45.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
168,17,B (Lap D),15,5,5,15,42,59,101,41.0,51.0,6.0,6.0,DEVOTION|HERO|trash,0.0,0.0,1.0,1.0,340.0,45.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
169,17,B (Lap D),10,6,6,10,18,0,18,11.0,11.0,0.0,0.0,BOSS,0.0,0.0,1.0,1.0,342.0,45.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
170,17,B (Lap D),9,5,5,9,23,0,23,9.0,9.0,0.0,0.0,BOSS,0.0,0.0,1.0,1.0,344.0,45.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
171,18,C (Lap I),12,6,6,12,36,11,47,30.0,35.0,2.0,2.0,BOSS|HERO|trash,0.0,0.0,1.0,1.0,420.0,56.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
172,18,C (Lap I),16,5,5,16,13,77,90,19.0,22.0,8.0,8.0,BOSS|DEVOTION|HERO|trash,0.0,0.0,1.0,1.0,430.0,57.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
173,18,C (Lap I),11,6,6,11,29,10,39,27.0,33.0,2.0,2.0,BOSS|HERO|trash,0.0,0.0,1.0,1.0,440.0,58.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
174,18,C (Lap I),10,5,5,10,27,0,27,36.0,41.0,0.0,0.0,BOSS|trash,0.0,0.0,1.0,1.0,450.0,59.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
175,18,C (Lap I),13,6,6,10,11,15,26,7.0,7.0,6.0,6.0,BOSS|HERO,0.0,0.0,1.0,1.0,460.0,60.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
176,18,C (Lap I),9,5,5,9,18,12,30,19.0,22.0,3.0,3.0,BOSS|HERO|trash,0.0,0.0,1.0,1.0,470.0,71.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
177,18,C (Lap I),11,5,5,11,19,29,48,16.0,18.0,6.0,6.0,BOSS|HERO|trash,0.0,0.0,1.0,1.0,480.0,72.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
178,18,C (Lap I),12,5,5,12,11,37,48,16.0,18.0,6.0,6.0,BOSS|HERO|trash,0.0,0.0,1.0,1.0,490.0,73.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
179,18,C (Lap I),10,6,6,10,10,0,10,10.0,10.0,0.0,0.0,BOSS,0.0,0.0,1.0,1.0,500.0,74.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
180,18,C (Lap I),8,6,6,8,16,0,16,8.0,8.0,0.0,0.0,BOSS,0.0,0.0,1.0,1.0,510.0,75.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
181,19,C (Lap I),12,6,6,12,25,9,34,30.0,35.0,2.0,2.0,BOSS|HERO|trash,0.0,0.0,1.0,1.0,556.0,86.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
182,19,C (Lap I),10,5,5,10,13,8,21,14.0,16.0,2.0,2.0,BOSS|HERO|trash,0.0,0.0,1.0,1.0,572.0,87.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
183,19,C (Lap I),13,6,6,13,12,40,52,14.0,16.0,8.0,8.0,BOSS|HERO|trash,0.0,0.0,1.0,1.0,588.0,88.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
184,19,C (Lap I),13,6,6,13,37,16,53,38.0,44.0,3.0,3.0,BOSS|HERO|trash,0.0,0.0,1.0,1.0,604.0,89.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
185,19,C (Lap I),10,6,6,10,19,9,28,8.0,8.0,2.0,2.0,BOSS|HERO,0.0,0.0,1.0,1.0,620.0,90.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
186,19,C (Lap I),8,5,5,8,23,9,32,13.0,15.0,2.0,2.0,BOSS|HERO|trash,0.0,0.0,1.0,1.0,636.0,101.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
187,19,C (Lap I),10,5,5,10,20,13,33,19.0,22.0,3.0,3.0,BOSS|HERO|trash,0.0,0.0,1.0,1.0,652.0,102.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
188,19,C (Lap I),13,5,5,13,5,64,69,1.0,1.0,12.0,12.0,BOSS|HERO,0.0,0.0,1.0,1.0,668.0,103.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
189,19,C (Lap I),11,6,6,11,25,0,25,15.0,15.0,0.0,0.0,BOSS,0.0,0.0,1.0,1.0,684.0,104.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
190,19,C (Lap I),8,6,6,8,20,0,20,8.0,8.0,0.0,0.0,BOSS,0.0,0.0,1.0,1.0,700.0,105.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
191,20,C (Lap I),10,6,6,10,33,13,46,24.0,28.0,2.0,2.0,BOSS|HERO|trash,0.0,0.0,1.0,1.0,765.0,111.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
192,20,C (Lap I),8,5,5,8,15,10,25,14.0,16.0,2.0,2.0,BOSS|HERO|trash,0.0,0.0,1.0,1.0,790.0,112.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
193,20,C (Lap I),13,6,6,13,18,26,44,15.0,17.0,6.0,6.0,BOSS|HERO|trash,0.0,0.0,1.0,1.0,815.0,113.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
194,20,C (Lap I),10,5,5,10,23,0,23,23.0,26.0,0.0,0.0,BOSS|trash,0.0,0.0,1.0,1.0,840.0,114.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
195,20,C (Lap I),8,6,6,8,23,0,23,12.0,12.0,0.0,0.0,BOSS,0.0,0.0,1.0,1.0,865.0,115.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
196,20,C (Lap I),17,5,5,17,43,68,111,25.0,28.0,6.0,6.0,BOSS|DEVOTION|trash,0.0,0.0,1.0,1.0,890.0,122.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
197,20,C (Lap I),11,5,5,11,12,20,32,15.0,17.0,4.0,4.0,BOSS|HERO|trash,0.0,0.0,1.0,1.0,915.0,123.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
198,20,C (Lap I),10,5,5,10,18,22,40,13.0,15.0,5.0,5.0,BOSS|HERO|trash,0.0,0.0,1.0,1.0,940.0,124.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
199,20,C (Lap I),6,6,6,5,10,0,10,6.0,6.0,0.0,0.0,BOSS,0.0,0.0,1.0,1.0,965.0,125.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
200,20,C (Lap I),6,6,6,6,13,0,13,6.0,6.0,0.0,0.0,BOSS,0.0,0.0,1.0,1.0,990.0,130.0,MEASURED,"data/kc2/pe6_crucible_wave_pools_v2.csv (legolas pe6 emission, re-verified below) + balancingadjustment_survivalmode_enemies03.dbr@sm_mod"
