wave,content_tier,record,archive,field,value,grade
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterDefensiveAbility,62.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterDefensiveAbilityModifier,5.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterLifeModifier,310.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterLifeRegenModifier,67.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterManaRegenModifier,67.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterOffensiveAbility,49.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterOffensiveAbilityModifier,3.5,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterPercentHealIncreaseModifier,-60.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterSpellCastSpeedModifier,11.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,defensivePercentCurrentLife,8.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveCritDamageModifier,27.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensivePhysicalModifier,-19.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowBleedingModifier,-61.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowColdModifier,-61.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowFireModifier,-61.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowLifeModifier,-61.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowLightningModifier,-61.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowPhysicalModifier,-61.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowPoisonModifier,-61.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveTotalDamageModifier,42.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,retaliationTotalDamageModifier,74.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,skillCooldownReduction,0.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnChampionMaxAdj,1.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnChampionMinAdj,1.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnMaxAdj,0.0,MEASURED
153,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnMinAdj,0.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterAttackSpeedModifier,11.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterDefensiveAbility,63.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterDefensiveAbilityModifier,5.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterLifeModifier,312.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterLifeRegenModifier,68.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterManaRegenModifier,68.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterOffensiveAbility,49.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterOffensiveAbilityModifier,3.5,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterPercentHealIncreaseModifier,-60.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterSpellCastSpeedModifier,11.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,defensivePercentCurrentLife,8.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveCritDamageModifier,27.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensivePhysicalModifier,-19.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowBleedingModifier,-61.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowColdModifier,-61.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowFireModifier,-61.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowLifeModifier,-61.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowLightningModifier,-61.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowPhysicalModifier,-61.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowPoisonModifier,-61.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveTotalDamageModifier,42.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,retaliationTotalDamageModifier,74.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,skillCooldownReduction,0.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnChampionMaxAdj,1.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnChampionMinAdj,1.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnMaxAdj,0.0,MEASURED
154,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnMinAdj,0.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterAttackSpeedModifier,11.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterDefensiveAbility,63.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterDefensiveAbilityModifier,5.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterLifeModifier,314.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterLifeRegenModifier,68.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterManaRegenModifier,68.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterOffensiveAbility,49.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterOffensiveAbilityModifier,3.5,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterPercentHealIncreaseModifier,-60.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterSpellCastSpeedModifier,11.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,defensivePercentCurrentLife,8.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveCritDamageModifier,27.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensivePhysicalModifier,-19.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowBleedingModifier,-62.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowColdModifier,-62.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowFireModifier,-62.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowLifeModifier,-62.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowLightningModifier,-62.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowPhysicalModifier,-62.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowPoisonModifier,-62.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveTotalDamageModifier,42.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,retaliationTotalDamageModifier,74.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,skillCooldownReduction,0.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnChampionMaxAdj,1.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnChampionMinAdj,1.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnMaxAdj,0.0,MEASURED
155,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnMinAdj,0.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterAttackSpeedModifier,11.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterDefensiveAbility,64.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterDefensiveAbilityModifier,5.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterLifeModifier,316.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterLifeRegenModifier,69.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterManaRegenModifier,69.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterOffensiveAbility,50.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterOffensiveAbilityModifier,3.5,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterPercentHealIncreaseModifier,-60.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterSpellCastSpeedModifier,11.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,defensivePercentCurrentLife,8.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveCritDamageModifier,27.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensivePhysicalModifier,-20.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowBleedingModifier,-62.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowColdModifier,-62.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowFireModifier,-62.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowLifeModifier,-62.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowLightningModifier,-62.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowPhysicalModifier,-62.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowPoisonModifier,-62.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveTotalDamageModifier,43.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,retaliationTotalDamageModifier,74.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,skillCooldownReduction,0.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnChampionMaxAdj,1.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnChampionMinAdj,1.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnMaxAdj,0.0,MEASURED
156,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnMinAdj,0.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterAttackSpeedModifier,11.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterDefensiveAbility,65.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterDefensiveAbilityModifier,5.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterLifeModifier,318.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterLifeRegenModifier,69.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterManaRegenModifier,69.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterOffensiveAbility,50.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterOffensiveAbilityModifier,3.5,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterPercentHealIncreaseModifier,-60.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterSpellCastSpeedModifier,11.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,defensivePercentCurrentLife,8.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveCritDamageModifier,27.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensivePhysicalModifier,-20.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowBleedingModifier,-62.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowColdModifier,-62.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowFireModifier,-62.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowLifeModifier,-62.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowLightningModifier,-62.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowPhysicalModifier,-62.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowPoisonModifier,-62.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveTotalDamageModifier,43.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,retaliationTotalDamageModifier,74.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,skillCooldownReduction,0.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnChampionMaxAdj,1.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnChampionMinAdj,1.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnMaxAdj,0.0,MEASURED
157,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnMinAdj,0.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterAttackSpeedModifier,11.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterDefensiveAbility,65.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterDefensiveAbilityModifier,5.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterLifeModifier,320.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterLifeRegenModifier,69.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterManaRegenModifier,69.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterOffensiveAbility,50.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterOffensiveAbilityModifier,3.5,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterPercentHealIncreaseModifier,-60.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterSpellCastSpeedModifier,11.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,defensivePercentCurrentLife,8.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveCritDamageModifier,27.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensivePhysicalModifier,-20.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowBleedingModifier,-62.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowColdModifier,-62.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowFireModifier,-62.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowLifeModifier,-62.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowLightningModifier,-62.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowPhysicalModifier,-62.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowPoisonModifier,-62.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveTotalDamageModifier,43.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,retaliationTotalDamageModifier,74.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,skillCooldownReduction,0.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnChampionMaxAdj,1.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnChampionMinAdj,1.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnMaxAdj,0.0,MEASURED
158,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,spawnMinAdj,0.0,MEASURED
159,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterAttackSpeedModifier,11.0,MEASURED
159,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterDefensiveAbility,66.0,MEASURED
159,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterDefensiveAbilityModifier,5.0,MEASURED
159,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterLifeModifier,322.0,MEASURED
159,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterLifeRegenModifier,70.0,MEASURED
159,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterManaRegenModifier,70.0,MEASURED
159,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterOffensiveAbility,50.0,MEASURED
159,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterOffensiveAbilityModifier,3.5,MEASURED
159,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterPercentHealIncreaseModifier,-60.0,MEASURED
159,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,characterSpellCastSpeedModifier,11.0,MEASURED
159,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,defensivePercentCurrentLife,8.0,MEASURED
159,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveCritDamageModifier,27.0,MEASURED
159,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensivePhysicalModifier,-21.0,MEASURED
159,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowBleedingModifier,-63.0,MEASURED
159,16,records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod,offensiveSlowColdModifier,-63.0,MEASURED
