kit_id,group,group_intent_rationale
d4-blood-wave,WHIRLWIND,delivery=self-origin · geometry=whirlwind · treatment=damage · dependency=one-shot
di-whirlwind-barb,WHIRLWIND,delivery=self-origin · geometry=whirlwind · treatment=damage · dependency=one-shot
gd-eor-warlord,WHIRLWIND,delivery=self-origin · geometry=whirlwind · treatment=damage · dependency=one-shot
hades1-aspect-guan-yu,WHIRLWIND,delivery=self-origin · geometry=whirlwind · treatment=damage · dependency=one-shot
le-warpath-vk,WHIRLWIND,delivery=self-origin · geometry=whirlwind · treatment=damage · dependency=one-shot
poe1-cyclone,WHIRLWIND,delivery=self-origin · geometry=whirlwind · treatment=damage · dependency=one-shot
poe2-twister,WHIRLWIND,delivery=self-origin · geometry=whirlwind · treatment=damage · dependency=one-shot
tq2-whirlwind-rogue,WHIRLWIND,delivery=self-origin · geometry=whirlwind · treatment=damage · dependency=one-shot
ud-cwc-spin-caster,WHIRLWIND,delivery=self-origin · geometry=whirlwind · treatment=damage · dependency=one-shot
ud-whirlwind-str,WHIRLWIND,delivery=self-origin · geometry=whirlwind · treatment=damage · dependency=one-shot
vs-fuwalafuwaloo,WHIRLWIND,delivery=self-origin · geometry=whirlwind · treatment=damage · dependency=one-shot
