field,family,type,cls,description,n_templates,example_template
retaliationSlowRunSpeedDurationMin,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,Seconds,2,backup/parameters_retaliation.tpl
retaliationSlowRunSpeedDurationModifier,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,,2,backup/parameters_retaliation.tpl
retaliationSlowRunSpeedDurationModifierChance,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,,2,backup/parameters_retaliation.tpl
retaliationSlowRunSpeedGlobal,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",bool,variable,,2,backup/parameters_retaliation.tpl
retaliationSlowRunSpeedMax,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,,2,backup/parameters_retaliation.tpl
retaliationSlowRunSpeedMin,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,,2,backup/parameters_retaliation.tpl
retaliationSlowRunSpeedModifier,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,,2,backup/parameters_retaliation.tpl
retaliationSlowRunSpeedModifierChance,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",real,array,,2,backup/parameters_retaliation.tpl
retaliationSlowRunSpeedXOR,"APPLIED-SLOW (acts on the caster's TARGET, not on the caster)",bool,variable,,2,backup/parameters_retaliation.tpl
tab1RunSpeedNumber,UI-DISPLAY (decoy),file_dbr,variable,,1,ingameui/charstatstab1.tpl
tab1RunSpeedRollover,UI-DISPLAY (decoy),file_dbr,variable,,1,ingameui/charstatstab1.tpl
tab1RunSpeedText,UI-DISPLAY (decoy),file_dbr,variable,,1,ingameui/charstatstab1.tpl
tab2PetRunSpeedRollover,UI-DISPLAY (decoy),file_dbr,variable,,1,ingameui/charstatstab2.tpl
tab2PetRunSpeedText,UI-DISPLAY (decoy),string,variable,,1,ingameui/charstatstab2.tpl
tab2RunSpeedRollover,UI-DISPLAY (decoy),file_dbr,variable,,1,ingameui/charstatstab2.tpl
tab2RunSpeedText,UI-DISPLAY (decoy),string,variable,,1,ingameui/charstatstab2.tpl
