pack_name,pack_url,publisher,pack_price_usd,pack_license,asset_count_approx,geometry,timing,element,target_type,mixamo_rig_compatible,anchor_points,style_register,performance_tier,quality_rating,bc_axis_mapping,notes
Realistic ARPG VFX Starter Pack - Lightning Spells,https://assetstore.unity.com/packages/vfx/particles/spells/realistic-arpg-vfx-starter-pack-lightning-spells-329839,Piloto Studio,38,single-seat,unknown,single-target/small-AOE/chain/projectile,instant/triggered,lightning,target-locked/ground-aoe/projectile,partial,"hands,weapon",realistic,high,3.0 (not enough ratings / 52 favorites),Axis2:single-target+small-AOE+chain,"ARPG-labeled lightning pack. Keywords: magic/fantasy/shock. Built-in+URP+HDRP. v1.1 Nov 2025. 87.9MB. Realistic register — style match question for ChatGPT-Meshy pipeline."
70 Fantasy Spells Effects Pack,https://assetstore.unity.com/packages/vfx/particles/spells/70-fantasy-spells-effects-pack-112526,GAPH,16,single-seat,70 spells,single-target/small-AOE/large-AOE/projectile/aura,instant/sustained,neutral/arcane,projectile/target-locked/ground-aoe/aura,partial,"hands,weapon,body,ground",stylized,mid,4.1 (32 reviews / 1623 favorites),Axis2:all-5-bins,"70 confirmed spell effects. HDR/VFX/Spell/Magic keywords. 288MB. v Mar 2023. Large content pack."
Magic Effects Pack 1,https://assetstore.unity.com/packages/vfx/particles/spells/magic-effects-pack-1-99856,kripto289,41,single-seat,unknown,small-AOE/projectile/large-AOE,instant/triggered,fire/neutral/arcane,target-locked/ground-aoe/projectile,partial,"hands,weapon",stylized,mid,4.4 (70 reviews / 2612 favorites),Axis2:small-AOE+large-AOE+projectile,"Keywords: fire/fireballs/particles/magical/medieval. v1.3.01 Dec 2023. 155.4MB. Mobile compatible. High review quality signal from kripto289 publisher."
Mesh Effects,https://assetstore.unity.com/packages/vfx/particles/spells/mesh-effects-67803,kripto289,23,single-seat,unknown,single-target/small-AOE/aura,instant/triggered,neutral/arcane/dark,target-locked/aura,partial,"body,weapon,hands",stylized,mid,4.5 (221 reviews / 7347 favorites),Axis2:single-target+small-AOE/Axis4:mitigator,"Mesh-attached magical effects. Mobile+VR+AAA HDR. 64.7MB. May 2022. Extremely high favorite count suggests long-standing utility."
Realistic Effects Pack 4,https://assetstore.unity.com/packages/vfx/particles/spells/realistic-effects-pack-4-85675,kripto289,42,single-seat,unknown,single-target/small-AOE/large-AOE/projectile,instant/triggered,fire/water/neutral,target-locked/ground-aoe/projectile,partial,"hands,weapon",realistic,high,4.4 (270 reviews / 7194 favorites),Axis2:single-target+small-AOE+large-AOE+projectile,"Keywords: magic/spell/fire/water. 210.2MB. v1.3 May 2022. Very high engagement — kripto289's premium realistic pack. Older but battle-tested."
RPG Effect Pack,https://assetstore.unity.com/packages/vfx/particles/spells/rpg-effect-pack-262875,IndieImpulse,20,single-seat,unknown,small-AOE/projectile/persistent-ground,instant/triggered,lightning/water/neutral,target-locked/ground-aoe/projectile,partial,"hands,weapon",stylized,mid,3.0 (not enough ratings / 14 favorites),Axis2:small-AOE+projectile,"Keywords: magic/lightning/ice/shield/trail/laser. 20.6MB. v1.0 Nov 2023. Low adoption signals caution."
Ultimate Elemental Magic VFX Pack,https://assetstore.unity.com/packages/vfx/particles/spells/ultimate-elemental-magic-vfx-pack-286603,IndieImpulse,40,single-seat,unknown,small-AOE/large-AOE/projectile/chain,instant/triggered,fire/water/lightning/arcane,target-locked/ground-aoe/projectile,partial,"hands,weapon",stylized,mid,3.0 (not enough ratings / 9 favorites),Axis2:small-AOE+large-AOE+chain,"Fire/ice/lightning/arcane elements. 164.6MB. v1.0 Feb 2026. Recent release with low adoption — evaluation risk."
Fantasy RPG Magic Spell Pack 3,https://assetstore.unity.com/packages/vfx/particles/spells/fantasy-rpg-magic-spell-pack-3-224168,Piloto Studio,15,single-seat,unknown,small-AOE/large-AOE/projectile,instant,fire/neutral,target-locked/ground-aoe/projectile,partial,"hands,weapon",stylized,mid,3.0 (not enough ratings / 35 favorites),Axis2:small-AOE+large-AOE+projectile,"Keywords: Fire/magic. 20.2MB. v1.4 Aug 2025. Low adoption. Piloto Studio has several similar packs — possible overlap."
MOBA / ARPG Effect Pack,https://assetstore.unity.com/packages/vfx/particles/moba-arpg-effect-pack-120799,Kalamona,19,single-seat,unknown,small-AOE/large-AOE/projectile/aura/persistent-ground,instant/sustained/triggered,neutral/arcane/fire/lightning,target-locked/ground-aoe/projectile/aura,partial,"hands,weapon,ground,body",stylized,mid,4.2 (231 reviews / 183 favorites),Axis2:all-5-bins/Axis1:all-engagement,"Specifically designed for MOBA/ARPG visual language. 6.7MB (surprisingly small). v1.0 Jun 2018. 231 reviews suggests strong adoption despite small file size."
VFX Graph - Summon Creatures Vol 1,https://assetstore.unity.com/packages/vfx/vfx-graph-summon-creatures-vol-1-250854,Gabriel Aguiar Prod,12,single-seat,8+ summon effects,multi-spawn/large-AOE,instant/triggered,neutral/arcane,ground-aoe/target-locked,partial,"ground,body",stylized,high,3.0 (not enough ratings / 61 favorites),Axis2A:proxy-heavy/Axis2:multi-spawn,"VFX Graph only (requires URP or HDRP — no Built-in). Tiger/phoenix/dragon summon effects. 46.4MB. v1.2 Mar 2026. Directly serves Axis 2A proxy substrate. VFX Graph requirement constrains usage."
Ultimate Movement FX - Dash Blink Speed Trails,https://assetstore.unity.com/packages/vfx/ultimate-movement-fx-dash-blink-speed-trails-314877,TvitchiVFX,30,single-seat,unknown,other,instant,neutral/physical,self,partial,"body",stylized,mid,3.0 (not enough ratings / 35 favorites),Axis1:close-fast+mid-fast+ranged-fast,"Dash/blink/teleport/sprint movement VFX. URP only (no Built-in or HDRP). 122.7MB. v1.1. Directly serves Axis 1 mobility bins — rare specialized pack."
Ultimate Aura VFX Pack - RPG & Fantasy Effects,https://assetstore.unity.com/packages/vfx/particles/spells/ultimate-aura-vfx-pack-rpg-fantasy-effects-340734,Hovl Studio,17,single-seat,unknown,aura,sustained,neutral/arcane,aura,partial,"body",stylized,mid,3.0 (not enough ratings / 10 favorites),Axis4:tank-mitigator/Axis2B:mixed,"Keywords: magic aura/particle/glowing/energy aura. Built-in+URP+HDRP. v2.0 Feb 2026. 15.6MB. Recent Hovl aura pack."
Aoe Spell Vfx Set,https://assetstore.unity.com/packages/vfx/particles/spells/aoe-spell-vfx-set-304954,XAL,10,single-seat,unknown,large-AOE/small-AOE,instant/triggered,neutral/dark/void,ground-aoe/target-locked,partial,"ground",stylized,mid,3.0 (not enough ratings / 3 favorites),Axis2:small-AOE+large-AOE,"Keywords: magic/AOE/demonic/toxic/fantasy. 21.8MB. v1.0 Jan 2025. Very low adoption — evaluation risk."
