kit_id,corpus_class,court,game,e4_x,e4_y,e4_source,e5_x_aligned,e5_y_aligned,supplementary,displacement,mover_rank
d3-m6-sentries,annex,,d3,-0.567643,-0.178080,stored,-0.549690,-0.246032,1,0.070284,548
d3-manald-heal,annex,,d3,-0.180872,0.392759,stored,-0.157627,-0.332065,1,0.725196,125
d3-masquerade-spear,annex,,d3,0.122255,0.459549,stored,-0.026267,-0.009355,1,0.491864,266
d3-mundunugu-sb,annex,,d3,-0.386768,-0.110918,stored,-0.372883,-0.142104,1,0.034137,559
d3-natalya-rov,annex,,d3,-0.590635,-0.068729,stored,-0.493520,-0.236797,1,0.194108,483
d3-pestilence-lance,annex,,d3,-0.342234,0.319309,stored,-0.290321,-0.222721,1,0.544510,225
d3-poj-tempest-rush,annex,,d3,0.749274,-0.591003,stored,0.610863,-0.392194,1,0.242245,453
d3-raekor-boulder,annex,,d3,-0.310872,-0.312281,stored,0.028469,-0.638606,1,0.470787,279
d3-raiment-shenlong,annex,,d3,-0.052012,0.048151,stored,-0.023950,-0.809971,1,0.858581,81
d3-rathma-aotd,annex,,d3,-0.777121,-0.036209,stored,-0.632823,-0.117549,1,0.165645,504
d3-rolands,annex,,d3,0.374894,-0.203028,stored,0.295162,-0.381410,1,0.195390,479
d3-s6-impale,annex,,d3,0.000333,0.165397,stored,-0.074256,-0.546042,1,0.715338,128
d3-shield-bash,annex,,d3,-0.383034,-0.151729,projected,-0.269470,-0.611807,1,0.473886,275
d3-sotl-hammer,annex,,d3,0.321821,0.137171,stored,0.197711,-0.172450,1,0.333569,383
d3-spectral-blade,annex,,d3,0.436920,-0.254211,projected,0.337908,-0.548429,1,0.310431,401
d3-sunwuko-wol,annex,,d3,-0.237177,0.106225,stored,-0.231538,-0.287725,1,0.393991,341
d3-tal-meteor,annex,,d3,-0.768570,0.078578,stored,-0.456392,-0.485820,1,0.644980,163
d3-trag-nova,annex,,d3,0.298968,-0.303246,stored,0.222533,-0.345660,1,0.087414,541
d3-typhon-hydra,annex,,d3,-0.490218,-0.106112,stored,-0.513944,-0.101177,1,0.024233,560
d3-ue-multishot,annex,,d3,0.367521,0.299625,stored,0.212514,-0.067849,1,0.398829,335
d3-uliana-ep,annex,,d3,-0.525787,-0.403305,stored,-0.163934,-0.525656,1,0.381979,354
d3-vyr-archon,annex,,d3,-0.180558,-0.440123,stored,-0.084358,-0.396253,1,0.105731,536
d3-wave-of-force,annex,,d3,0.199771,-0.499536,projected,0.152977,-0.376853,1,0.131304,525
d3-wizard-black-hole,annex,,d3,0.001035,0.242820,projected,0.088874,-0.146054,1,0.398671,337
d3-ww-wastes,annex,,d3,0.989093,-1.012515,stored,0.713894,-0.405152,1,0.666802,158
d3-zbarb,annex,,d3,-0.203916,-0.219933,stored,-0.109054,-0.342289,1,0.154822,511
d3-zero-dogs,annex,,d3,-0.272135,0.261128,stored,-0.224435,-0.426381,1,0.689161,143
d3-znec,annex,,d3,-0.437062,-0.029968,stored,-0.388381,-0.244612,1,0.220094,463
d3-zuni-carnevil,annex,,d3,-0.225687,0.223217,stored,-0.311054,-0.150591,1,0.383432,353
d4-andariel-flurry,annex,,d4,-0.179783,0.021127,stored,-0.151145,-0.522024,1,0.543906,226
d4-auradin-paladin,annex,,d4,0.244478,-0.619839,stored,0.154770,-0.252594,1,0.378043,355
d4-ball-lightning,annex,,d4,0.272825,0.088294,stored,0.267354,-0.312398,1,0.400729,332
d4-bash,annex,,d4,-0.202869,0.040473,stored,-0.088879,-0.686747,1,0.736099,122
d4-blade-shift,annex,,d4,0.434142,-0.363518,projected,0.373588,-0.548977,1,0.195095,480
d4-blazing-abyss-warlock,annex,,d4,-0.361934,0.232067,stored,-0.211904,-0.349636,1,0.600738,190
d4-blood-lance,annex,,d4,0.262875,0.555548,stored,0.164017,0.008275,1,0.556130,214
d4-blood-surge,annex,,d4,0.139364,-0.257648,stored,0.145773,-0.401886,1,0.144381,516
d4-blood-wave,annex,,d4,0.106728,-0.693432,stored,0.004904,-0.185542,1,0.517997,248
d4-bone-spear,annex,,d4,0.074781,0.509570,stored,-0.006348,-0.112227,1,0.627068,171
d4-bouldercane,annex,,d4,0.242472,0.031989,stored,0.220744,-0.366192,1,0.398773,336
d4-cataclysm,annex,,d4,0.083883,-0.200213,stored,0.036461,-0.092503,1,0.117687,530
d4-chain-lightning,annex,,d4,0.324636,0.662956,stored,0.239185,0.024301,1,0.644347,164
d4-dance-of-knives,annex,,d4,0.718972,-0.383208,stored,0.558214,-0.336655,1,0.167363,503
d4-death-trap,annex,,d4,-1.058389,-0.352380,stored,-0.866147,-0.061614,1,0.348571,376
d4-dread-claws-warlock,annex,,d4,-0.357157,-0.007431,stored,-0.232235,-0.384318,1,0.397051,340
d4-earthquake-barb,annex,,d4,-0.350951,-0.389005,stored,-0.108746,-0.330669,1,0.249131,443
d4-evade-sb,annex,,d4,0.130121,-0.486152,stored,0.345952,-0.502037,1,0.216415,467
d4-flame-shield-immortal,annex,,d4,0.008658,-0.466026,stored,-0.045409,-0.277701,1,0.195933,478
d4-frozen-orb,annex,,d4,0.331468,0.494895,stored,0.179928,-0.015330,1,0.532253,239
d4-hammerdin-paladin,annex,,d4,0.292830,0.077526,stored,0.185214,-0.298567,1,0.391187,344
d4-heartseeker,annex,,d4,0.165719,0.372959,stored,0.083676,-0.312923,1,0.690771,140
d4-hota,annex,,d4,-0.375349,0.032942,stored,-0.262012,-0.437535,1,0.483936,270
d4-ice-shards,annex,,d4,0.224420,0.514614,stored,0.080969,-0.036773,1,0.569741,207
d4-incinerate,annex,,d4,1.624780,-0.565132,projected,0.877390,-0.190345,1,0.836097,84
d4-infinimist,annex,,d4,-0.404638,-0.338782,stored,-0.232939,-0.103763,1,0.291058,417
d4-kick,annex,,d4,-0.383034,-0.151729,projected,-0.269470,-0.611807,1,0.473886,276
d4-lightning-spear,annex,,d4,-0.499215,-0.074365,stored,-0.508392,-0.109927,1,0.036727,558
d4-lightning-storm,annex,,d4,0.819772,-0.386346,stored,0.645875,-0.336026,1,0.181031,494
d4-mighty-throw,annex,,d4,-0.610210,-0.197116,stored,-0.574618,-0.158483,1,0.052529,553
d4-minion-necro,annex,,d4,-0.347332,-0.303838,stored,-0.481269,-0.268273,1,0.138578,520
d4-payback-sb,annex,,d4,-0.047674,-0.187263,stored,0.022729,-0.430073,1,0.252811,441
d4-pen-shot,annex,,d4,0.170382,0.073175,stored,0.144931,-0.102188,1,0.177200,496
d4-pulverize,annex,,d4,-0.288024,0.006815,stored,-0.195046,-0.505457,1,0.520642,247
d4-quill-volley,annex,,d4,0.321437,0.440532,stored,0.164034,-0.041773,1,0.507340,257
d4-rabies-lacerate,annex,,d4,-0.022260,0.187472,stored,-0.029973,-0.394104,1,0.581627,200
d4-rapid-fire,annex,,d4,0.164215,0.313770,stored,0.057103,-0.209970,1,0.534581,236
d4-shadowblight,annex,,d4,-0.683562,0.144260,stored,-0.445686,-0.069630,1,0.319897,391
d4-spiritborn-vortex,annex,,d4,-0.154070,0.065458,projected,0.081216,-0.626829,1,0.731178,123
d4-thorns-barb,annex,,d4,0.111146,-0.054962,stored,0.113870,-0.496119,1,0.441165,294
d4-tornado-werewolf,annex,,d4,0.271892,0.487905,stored,0.103104,-0.001558,1,0.517749,249
d4-touch-of-death,annex,,d4,-0.574049,-0.189533,stored,-0.478621,-0.341980,1,0.179851,495
d4-twisting-blades,annex,,d4,0.040518,0.114394,stored,-0.060937,-0.391201,1,0.515674,251
d4-wind-shear,annex,,d4,0.402358,0.622909,projected,0.303393,-0.191510,1,0.820410,86
d4-wing-strike-arbiter,annex,,d4,-0.337188,-0.057421,stored,-0.284488,-0.416040,1,0.362471,371
d4-ww-dust-devils,annex,,d4,0.695344,-0.409024,stored,0.519634,-0.356446,1,0.183407,491
di-blood-knight,annex,,di,-0.274157,-0.017414,stored,-0.120037,-0.415326,1,0.426716,307
di-bombardment-wizard-pvp,annex,,di,-0.407767,0.116054,stored,-0.331324,-0.252818,1,0.376710,356
di-bone-wall-necro-pvp,annex,,di,0.139183,0.239822,stored,-0.006779,-0.239118,1,0.500687,264
di-corpse-explosion-necro,annex,,di,-0.287684,0.202329,stored,-0.297809,-0.245939,1,0.448382,291
di-crusader-banner-support,annex,,di,-0.552131,-0.237833,stored,-0.516127,-0.349735,1,0.117551,531
di-cyclone-monk-pvp,annex,,di,0.099786,-0.389776,stored,0.071717,-0.455876,1,0.071813,546
di-cyclone-strike-monk-base,annex,,di,-0.283969,-0.004998,projected,0.004864,-0.665658,1,0.721038,126
di-draw-quarter-crusader,annex,,di,-0.040799,-0.741599,stored,0.021157,-0.336887,1,0.409427,322
di-druid-bear,annex,,di,0.014034,-0.989020,stored,-0.178008,-0.337466,1,0.679267,152
di-frenzy-barb,annex,,di,0.121868,0.057892,stored,0.190356,-0.492012,1,0.554152,215
di-hota-wotb-barb,annex,,di,-0.558025,-0.128231,stored,-0.433494,-0.596590,1,0.484632,269
di-meteor-wizard,annex,,di,-0.646847,0.232374,stored,-0.368452,-0.480392,1,0.765206,101
di-minion-necro,annex,,di,0.068342,-0.958983,stored,-0.070108,0.076889,1,1.045083,61
di-monk-sss,annex,,di,-0.049663,-0.290598,stored,-0.286499,-0.566896,1,0.363912,370
di-multishot-dh,annex,,di,0.697220,0.534147,stored,0.360725,-0.125554,1,0.740564,119
di-ray-of-frost-wizard,annex,,di,1.028713,-0.531191,stored,0.516436,-0.190282,1,0.615343,177
di-spiritform-druid-pvp,annex,,di,0.073588,-0.307486,stored,-0.032726,-0.136747,1,0.201133,474
di-tempest,annex,,di,0.246449,-0.349966,stored,-0.063590,-0.173148,1,0.356916,373
di-vengeance-strafe-dh,annex,,di,0.457894,0.344802,stored,0.136730,-0.052319,1,0.510736,254
di-warlock-launch,annex,,di,-0.499821,-0.003948,stored,-0.405499,-0.128926,1,0.156576,510
di-whirlwind-barb,annex,,di,1.057511,-1.561857,stored,0.595225,-0.270149,1,1.371940,21
hades1-ares-doom,annex,,hades1,-0.385010,0.425372,stored,-0.253077,-0.742485,1,1.175285,50
hades1-aspect-chiron,annex,,hades1,0.252748,0.475487,stored,0.088346,-0.445073,1,0.935126,71
hades1-aspect-guan-yu,annex,,hades1,0.426257,-0.838615,stored,0.240005,-0.368163,1,0.505980,259
hades1-athena-dash,annex,,hades1,-0.005986,-0.556009,stored,0.128242,-0.447657,1,0.172502,498
hades1-beowulf-cast,annex,,hades1,-0.038167,0.177411,stored,-0.197162,-0.519150,1,0.714477,129
hades1-merciful-end,annex,,hades1,-0.286201,-0.328645,stored,-0.068705,-0.361631,1,0.219983,464
hades1-zeus-chain,annex,,hades1,0.265677,0.591397,stored,0.148107,-0.107478,1,0.708695,133
hades2-glorious-disaster,annex,,hades2,-0.096387,-0.494777,stored,-0.064253,-0.388436,1,0.111090,533
hades2-hail-storm,annex,,hades2,-0.195523,0.353696,stored,-0.194889,-0.336676,1,0.690373,141
hades2-hephaestus-blast,annex,,hades2,-0.800364,0.278332,stored,-0.450344,-0.671931,1,1.012676,63
hades2-medea-skull-cast,annex,,hades2,-0.293811,0.388693,stored,-0.219887,-0.307698,1,0.700303,138
hot-archer,annex,,hot,0.401204,0.549966,stored,0.217076,-0.004281,1,0.584032,198
hot-astronomer-orbs,annex,,hot,0.337810,-0.566288,stored,0.195548,-0.336649,1,0.270135,429
hot-blood-catcher,annex,,hot,0.051275,-0.010692,projected,-0.184582,-0.426216,1,0.477795,274
hot-cleric-radiant,annex,,hot,0.360167,-0.719886,stored,0.230783,-0.377745,1,0.365787,367
hot-dragons-breath,annex,,hot,0.867015,0.388336,stored,0.306259,-0.162089,1,0.785757,94
hot-exterminator-burn,annex,,hot,0.966728,0.344078,stored,0.366797,-0.110994,1,0.752998,106
hot-kugelblitz,annex,,hot,0.159440,-0.384721,stored,-0.106561,-0.126641,1,0.370623,362
hot-landsknecht-grenades,annex,,hot,0.109659,0.126115,stored,-0.005185,0.001848,1,0.169208,502
hot-meteor-strike,annex,,hot,-0.196262,-0.214762,stored,-0.322339,-0.083509,1,0.181996,493
hot-norseman-frost-avalanche,annex,,hot,-0.328103,0.118629,stored,-0.306652,-0.370809,1,0.489908,267
hot-phantom-needles,annex,,hot,0.488804,-0.071386,stored,0.257638,0.008004,1,0.244418,450
hot-sage-ring-blades,annex,,hot,0.545223,0.020297,stored,0.430552,-0.123524,1,0.183940,490
hot-shieldmaiden-block,annex,,hot,0.210526,-0.405250,stored,0.090957,-0.318015,1,0.148009,515
hot-sorceress-splinters,annex,,hot,0.401204,0.549966,stored,0.217076,-0.004281,1,0.584032,199
hot-spirit-warrior,annex,,hot,-0.199614,-0.286748,stored,-0.279771,-0.338148,1,0.095221,538
hot-swordsman,annex,,hot,0.332938,-0.247390,stored,0.252700,-0.349813,1,0.130109,526
hot-warlock,annex,,hot,-0.144567,0.161124,stored,-0.163275,-0.161341,1,0.323007,390
la-arthetinean-skill-machinist,annex,,la,-0.140370,0.192646,projected,-0.263908,-0.116646,1,0.333051,384
la-asuras-path-breaker,annex,,la,-0.135821,0.251974,projected,-0.041598,-0.569689,1,0.827048,85
la-barrage-enhancement-artillerist,annex,,la,-0.533596,0.483425,projected,-0.223274,-0.696684,1,1.220228,43
la-berserkers-technique,annex,,la,-0.233537,0.226125,projected,-0.137592,-0.587927,1,0.819687,87
la-blessed-aura-paladin,annex,,la,-0.180051,0.080854,projected,-0.103547,-0.484382,1,0.570390,206
la-brawl-king-storm-breaker,annex,,la,-0.184700,0.150248,projected,-0.121622,-0.583306,1,0.736261,120
la-communication-overflow-summoner,annex,,la,-0.236501,-0.109065,projected,-0.269110,-0.132862,1,0.040370,556
la-control-glaivier,annex,,la,-0.238521,-0.055850,projected,-0.245708,-0.423991,1,0.368211,364
la-death-strike-sharpshooter,annex,,la,-0.244150,0.298224,projected,-0.267555,-0.302138,1,0.600818,189
la-deathblow-striker,annex,,la,-0.184700,0.150248,projected,-0.121622,-0.583306,1,0.736261,121
la-demonic-impulse-shadowhunter,annex,,la,-0.096269,0.089528,projected,-0.087164,-0.610922,1,0.700509,135
la-desperate-salvation-bard,annex,,la,-0.182355,0.236709,projected,-0.111929,-0.297615,1,0.538946,232
la-drizzle-aeromancer,annex,,la,-0.227519,0.188956,projected,-0.157635,-0.263604,1,0.457924,285
la-energy-overflow-soulfist,annex,,la,-0.086984,0.176097,projected,-0.025628,-0.565067,1,0.743700,114
la-enhanced-weapon-deadeye,annex,,la,-0.066991,0.249293,projected,-0.164768,-0.356662,1,0.613793,178
la-esoteric-flurry-striker,annex,,la,-0.067778,0.129760,projected,-0.055842,-0.557386,1,0.687249,145
la-esoteric-skill-wardancer,annex,,la,-0.213192,0.110016,projected,-0.152944,-0.636842,1,0.749284,107
la-evolutionary-legacy-machinist,annex,,la,-0.267281,0.118992,projected,-0.352185,-0.113042,1,0.247080,446
la-ferality-wildsoul,annex,,la,,,,,,1,,
la-first-intention-wardancer,annex,,la,-0.214811,0.046303,projected,-0.181547,-0.526025,1,0.573294,205
la-full-bloom-artist,annex,,la,-0.276355,0.264833,projected,-0.173605,-0.268225,1,0.542871,228
la-full-moon-souleater,annex,,la,-0.213192,0.110016,projected,-0.152944,-0.636842,1,0.749284,108
la-grace-empress-arcanist,annex,,la,-0.041719,0.410863,projected,-0.100747,-0.329607,1,0.742819,116
la-gravity-training-destroyer,annex,,la,-0.295703,0.163509,projected,0.075787,-0.867047,1,1.095469,57
la-hunger-reaper,annex,,la,-0.067907,0.214776,projected,-0.123687,-0.569909,1,0.786665,93
la-igniter-sorceress,annex,,la,-0.533596,0.483425,projected,-0.223274,-0.696684,1,1.220228,44
la-judgment-paladin,annex,,la,-0.314850,-0.004719,projected,-0.234355,-0.409384,1,0.412593,319
la-liberator-valkyrie,annex,,la,,,,,,1,,
la-loyal-companion-sharpshooter,annex,,la,-0.127227,0.277736,projected,-0.201775,-0.276217,1,0.558947,213
la-lunar-voice-reaper,annex,,la,0.049015,0.194288,projected,-0.057906,-0.543989,1,0.745979,112
la-master-summoner,annex,,la,-0.402260,-0.012699,projected,-0.345058,-0.161236,1,0.159171,507
la-mayhem-berserker,annex,,la,-0.067778,0.129760,projected,-0.055842,-0.557386,1,0.687249,146
la-nights-edge-souleater,annex,,la,-0.238521,-0.055850,projected,-0.245708,-0.423991,1,0.368211,365
la-order-emperor-arcanist,annex,,la,-0.041719,0.410863,projected,-0.100747,-0.329607,1,0.742819,117
la-peacemaker-gunslinger,annex,,la,-0.036540,0.292292,projected,-0.131282,-0.299426,1,0.599254,193
la-perfect-suppression-shadowhunter,annex,,la,-0.096269,0.089528,projected,-0.087164,-0.610922,1,0.700509,136
la-phantom-beast-awakening-wildsoul,annex,,la,,,,,,1,,
la-pinnacle-glaivier,annex,,la,-0.213192,0.110016,projected,-0.152944,-0.636842,1,0.749284,109
la-predator-slayer,annex,,la,-0.067778,0.129760,projected,-0.055842,-0.557386,1,0.687249,147
la-punisher-slayer,annex,,la,-0.370149,0.146842,projected,-0.232614,-0.584048,1,0.743717,113
la-rage-hammer-destroyer,annex,,la,-0.048704,0.145519,projected,0.151123,-0.507535,1,0.682943,149
la-rage-hammer-destroyer-bt,annex,,la,-0.488721,0.052970,projected,-0.415842,-0.542588,1,0.600000,191
la-recurrence-artist,annex,,la,-0.386473,0.123148,projected,-0.327511,-0.201433,1,0.329893,385
la-reflux-sorceress,annex,,la,-0.240662,0.088937,projected,-0.253495,-0.250480,1,0.339660,379
la-remaining-energy-deathblade,annex,,la,-0.096269,0.089528,projected,-0.087164,-0.610922,1,0.700509,137
la-robust-spirit-soulfist,annex,,la,-0.389355,0.193179,projected,-0.202399,-0.591729,1,0.806867,89
la-shining-knight-valkyrie,annex,,la,,,,,,1,,
la-shock-training-scrapper,annex,,la,-0.389355,0.193179,projected,-0.202399,-0.591729,1,0.806867,90
la-surge-deathblade,annex,,la,-0.213192,0.110016,projected,-0.152944,-0.636842,1,0.749284,110
la-taijutsu-scrapper,annex,,la,-0.086984,0.176097,projected,-0.025628,-0.565067,1,0.743700,115
la-time-to-hunt-gunslinger,annex,,la,0.073584,0.326662,projected,-0.063570,-0.192869,1,0.537330,233
la-wind-fury-aeromancer,annex,,la,-0.215496,0.265871,projected,-0.161326,-0.450076,1,0.717994,127
mcd-dynamo-torment,annex,,mcd,-0.520589,0.430903,projected,-0.264254,-0.670790,1,1.131121,54
mcd-fireworks,annex,,mcd,-0.408687,0.142476,projected,-0.318810,-0.231598,1,0.384720,352
mcd-soul,annex,,mcd,0.659391,-0.062023,projected,0.441331,-0.340253,1,0.353499,374
mcd-speed,annex,,mcd,-0.103553,0.041470,projected,-0.218527,-0.361809,1,0.419348,315
mcd-summoner,annex,,mcd,-0.629418,-0.073622,projected,-0.590017,-0.131213,1,0.069779,549
tl1-alchemist-summoner,annex,,tl1,0.628724,-1.351477,stored,0.504612,-0.152028,1,1.205853,46
tl1-ricochet-vanquisher,annex,,tl1,0.167721,0.621343,stored,0.064414,0.019317,1,0.610825,182
tl2-arc-beam,annex,,tl2,1.627558,-0.455826,projected,1.128305,-0.418945,1,0.500614,265
tl2-bot-engineer,annex,,tl2,-0.591191,-0.938119,stored,-0.711742,-0.070024,1,0.876426,76
tl2-cannon-engineer,annex,,tl2,0.136185,-0.133175,stored,0.029654,-0.143554,1,0.107036,534
tl2-emberquake-engineer,annex,,tl2,0.329442,-0.607963,stored,0.005435,-0.284607,1,0.457755,286
tl2-flame-hammer-engineer,annex,,tl2,-0.301665,-0.299986,stored,-0.249915,-0.490475,1,0.197394,477
tl2-glaive-outlander,annex,,tl2,0.424690,0.569293,stored,0.225134,-0.009517,1,0.612244,180
tl2-hailstorm-embermage,annex,,tl2,-0.163617,0.255036,stored,-0.173873,-0.157227,1,0.412390,320
tl2-prismatic-embermage,annex,,tl2,0.308535,0.529482,stored,0.083274,-0.039943,1,0.612362,179
tl2-shadowling-outlander,annex,,tl2,-0.396562,-0.687241,stored,-0.505901,-0.163867,1,0.534673,235
tl2-shotgonne-outlander,annex,,tl2,0.746300,0.277751,stored,0.223617,-0.057882,1,0.621166,173
tl2-wolf-shade-berserker,annex,,tl2,-0.169169,-0.305353,stored,-0.196155,-0.696746,1,0.392322,342
tli-carino2-lethal-flash,annex,,tli,0.130536,0.357753,stored,-0.025719,-0.429088,1,0.802206,91
tli-erika3-vendetta,annex,,tli,0.093450,0.158809,stored,0.046129,-0.701619,1,0.861729,79
tli-gemma-frost-caster,annex,,tli,0.404020,0.391362,stored,0.241861,0.011653,1,0.412886,317
tli-iris2-thunder-magus,annex,,tli,-0.043999,-0.460013,stored,-0.092739,-0.057057,1,0.405893,325
tli-moto-bots,annex,,tli,-0.591191,-0.938119,stored,-0.711742,-0.070024,1,0.876426,77
tli-rehan-berserker,annex,,tli,-0.216711,-0.270695,stored,-0.193391,-0.507654,1,0.238103,457
tli-rosa-unsullied,annex,,tli,0.081915,0.045258,stored,0.007025,-0.631170,1,0.680561,150
tli-sage-elixir,annex,,tli,,,,,,1,,
tli-youga-spirit-magus,annex,,tli,0.156310,-0.578817,stored,0.060906,-0.058924,1,0.528575,241
tq-battlemage-warfare-earth,annex,,tq,-0.311778,-0.435923,stored,-0.375289,-0.254069,1,0.192625,485
tq-brigand-poison,annex,,tq,0.046537,0.437487,stored,-0.056984,-0.132744,1,0.579552,201
tq-calculated-strike,annex,,tq,-0.383034,-0.151729,projected,-0.269470,-0.611807,1,0.473886,277
tq-distortion-templar,annex,,tq,0.015882,-0.488976,stored,-0.163825,-0.102175,1,0.426508,308
tq-dream-harbinger,annex,,tq,-0.024849,-0.438627,stored,-0.183814,-0.726446,1,0.328801,386
tq-druid-squall-caster,annex,,tq,-0.300854,0.139571,stored,-0.274595,-0.149938,1,0.290698,418
tq-elementalist-volcanic-storm,annex,,tq,0.200415,0.326742,stored,0.094364,-0.061881,1,0.402833,329
tq-flame-surge,annex,,tq,0.858693,0.178737,projected,0.343468,-0.287876,1,0.695115,139
tq-ice-shard-oracle,annex,,tq,0.300724,0.626891,stored,0.158160,-0.020930,1,0.663322,159
tq-liche-king-conjurer,annex,,tq,-0.249175,-0.432430,stored,-0.170959,0.115181,1,0.553169,217
tq-marksmanship-haruspex,annex,,tq,0.283571,0.551296,stored,0.120116,-0.199050,1,0.767943,99
tq-onslaught-assassin,annex,,tq,0.069039,0.144650,stored,0.026326,-0.779588,1,0.925225,72
tq-petmaster-summoner,annex,,tq,0.071358,-1.268322,stored,-0.055382,-0.177299,1,1.098360,56
tq-phantom-strike-dreamkiller,annex,,tq,-0.389985,-0.396086,stored,-0.564670,-0.552006,1,0.234149,458
tq-ranger-hunting-nature,annex,,tq,0.085236,-0.062343,stored,-0.111686,-0.304694,1,0.312269,397
tq-rune-weapon-thunderer,annex,,tq,0.031742,-0.335416,stored,-0.068183,-0.581324,1,0.265434,435
tq-shield-charge-conqueror,annex,,tq,-0.040799,-0.741599,stored,0.021157,-0.336887,1,0.409427,323
tq-ternion-bone-charmer,annex,,tq,0.587585,0.457930,stored,0.253223,-0.011501,1,0.576336,203
tq-thane-storm-warfare,annex,,tq,0.079530,-0.227325,stored,-0.014721,-0.541081,1,0.327607,387
tq-trap-magician,annex,,tq,-0.760271,-0.209236,stored,-0.815766,-0.167897,1,0.069200,550
tq-warlock-poison-vitality,annex,,tq,-0.044996,-0.028395,stored,-0.084572,-0.657236,1,0.630085,168
tq2-bastion-tank,annex,,tq2,-0.246529,-0.448816,stored,-0.184792,-0.456335,1,0.062193,551
tq2-elementalist,annex,,tq2,0.201919,0.385931,stored,0.118832,-0.156679,1,0.548934,218
tq2-forge-turrets,annex,,tq2,-0.813569,-0.281295,stored,-0.802856,-0.140577,1,0.141125,519
tq2-stormblade-ice-shards,annex,,tq2,0.288823,0.485696,stored,0.194500,-0.284591,1,0.776040,95
tq2-whirlwind-rogue,annex,,tq2,1.110810,-1.489798,stored,0.619168,-0.282394,1,1.303663,27
