key_group,atlas_key,status,cross_ref,key_completeness,cell_members,cell_tier_span,cell_games,cell_neg,rank_in_cell,representative,source,cell_id,kit_id,folk_name,corpus,game,tier,canon_tier,negative,flags,lineage,gx,proxy,geo,commit,econ,mob,elem_p,avg_conf,spend_stratum,basin,meta,power_rating,eras,prov,mechanics_status,blocking_mechanics,mech_note
DRHFSI-HCDD-SP-LI-~~,DRHFSI-HCDD-SP-LI-~~,,,12,2,T1,2,0,2,False,canon,SOLO|CHAIN|INST×econ:spend,poe2-lightning-arrow-deadeye,Lightning Arrow Deadeye,poe2,poe2,T1,deep,False,,,,solo,chain,instant,mana-light,very-high,lightning,0.85,,,,,0.1;0.2-dawn;0.3-edict;0.4;0.5-ancients,kb;bm,have-core,direct-hit instant verbs native,Chaining lightning arrows with Deadeye projectile multiplication — PoE2's statistically dominant endgame archetype across every patch so far
IMMFHI-MNDM-SU-PH-~~,IMMFHI-MNDM-SU-PH-~~,,,12,2,T1,2,0,1,True,canon,HEAVY|SINGLE|INST×econ:summon,gd-skeleton-ritualist,Skeleton Ritualist,gd,gd,T1,deep,False,,,,heavy,single,instant,summon-uptime,med,physical,0.78,,,,,aom-2017;patch-1.1-1.2,gt;cf;kb,partial,soul-control troop command exists; turret/pet AI variants + summon economy needed,"The skeletal legion with Primalist support totems healing the bone wall — GD's classic army necro, fragile summons in numbers with the playe"
IMMFHI-MNDM-SU-PH-~~,IMMFHI-MNDM-SU-PH-~~,,,12,2,T1,2,0,2,False,canon,HEAVY|SINGLE|INST×econ:summon,le-skeleton-necro,Skeleton Necromancer,le,le,T1,deep,False,,,,heavy,single,instant,summon-uptime,med,physical,0.78,,,,,beta-0.8-0.9;1.0-launch;1.4-omens,eg;kb,partial,soul-control troop command exists; turret/pet AI variants + summon economy needed,"The classic skeletal legion — warriors, mages, and death-knight upgrades on aggressive stances; LE's minion default and the beginner-list st"
IRMVSI-_LDG-SP-FI-~~,IRMVSI-_LDG-SP-FI-~~,,,11,2,T1,2,0,1,True,canon,SOLO|LARGE|INST×econ:spend,d4-blazing-abyss-warlock,Blazing Abyss Warlock,d4,d4,T1,deep,False,,,,solo,large-AOE,instant,unknown,unknown,fire,0.33,,,,,loh-s13-14,sky;gl,have-core,direct-hit instant verbs native,The Warlock's caster path — abyssal fire zones with Hell Fracture and a Summoner sibling rounding the class's three S-tier launch paths. SEA
IRMVSI-_LDG-SP-FI-~~,IRMVSI-_LDG-SP-FI-~~,,,11,2,T1,2,0,2,False,canon,SOLO|LARGE|INST×econ:spend,d2-wl-fire,Fire Warlock,d2,d2,T1,moderate,False,,,,solo,large-AOE,instant,unknown,unknown,fire,0.37,,,,,rotw-s13+,iv,have-core,direct-hit instant verbs native,Fire-school Warlock; slightly nerfed in 3.2 but S-tier with proper gear. SEARCH-DERIVED; details thin.
SMHFSI-MSMT-SP-PH-~~,SMHFSI-MSMT-SP-PH-~~,,,12,2,T1,2,0,1,True,canon,SOLO|SMALL|INST×GAP-P1-01,poe1-boneshatter,Boneshatter,poe1,poe1,T1,deep,False,,,GAP-P1-01,solo,small-AOE,instant,self-damage-ramp,med,physical,0.8,,,,,3.14-3.19;3.20+,kb,have-core,direct-hit instant verbs native,Each strike adds self-damaging trauma stacks that raise the skill's damage — an escalating self-harm ramp balanced against armour and recove
SMHFSI-MSMT-SP-PH-~~,SMHFSI-MSMT-SP-PH-~~,,,12,2,T1,2,0,2,False,canon,SOLO|SMALL|INST×econ:spend,d4-bash,Bash Barbarian,d4,d4,T1,deep,False,,,,solo,small-AOE,instant,generator-as-spender-inversion,med,physical,0.87,,,,,voh-s6+,kb;sky,have-core,direct-hit instant verbs native,"A BASIC skill promoted to throne — Bash with the cleave aspect one-buttoned the Vessel of Hatred meta, the generator-as-whole-build pattern "
_RHFSI-PMDD-SP-__-~~,_RHFSI-PMDD-SP-__-~~,,,10,2,T3,1,0,1,True,canon,SOLO|MULTI|INST×GX-17,hot-sorceress-splinters,Arcane Splinters Sorceress,hot,hot,T3,moderate,False,,,GX-17,solo,multi-spawn,instant,projectile-count-scaling,player-verb,n/a,0.85,,,,,hot-1.0-2024;hot-1.1-2026,sf-hot;kb,have-core,battle-sim auto-aim native,Homing splinter volleys stacked for range and screen coverage — forum-paired with Ring Blades as the kill-on-spawn toolkit; the auto-seeking
_RHFSI-PMDD-SP-__-~~,_RHFSI-PMDD-SP-__-~~,,,10,2,T3,1,0,2,False,canon,SOLO|MULTI|INST×econ:spend,hot-archer,Archer (multishot),hot,hot,T3,moderate,False,,,,solo,multi-spawn,instant,projectile-count-scaling,player-verb,n/a,0.87,,,,,hot-ea-2023;hot-1.0-2024,fw;kb,have-core,direct-hit instant verbs native,"Fan-of-arrows auto-fire scaled through multistrike and pierce traits — the projectile-count platform of the roster, the class you take when "
_RHFSI-PNDD-RC-__-~~,_RHFSI-PNDD-RC-__-~~,,,10,2,T3,1,0,1,True,canon,SOLO|SINGLE|INST×GX-17,vs-holy-wand,Holy Wand (Magic Wand evo),vs,vs,T3,deep,False,,,GX-17,solo,single,instant,evolution-recipe,player-verb,n/a,0.83,,,,,vs-1.0-2022;vs-1.13-14-2025+,sg;kb,have-core,battle-sim auto-aim native,"Fires at the NEAREST enemy with no cooldown after evolution — pure aim-automation as a weapon identity; the player supplies position, the wa"
_RHFSI-PNDD-RC-__-~~,_RHFSI-PNDD-RC-__-~~,,,10,2,T3,1,0,2,False,canon,SOLO|SINGLE|INST×econ:recipe,vs-thousand-edge,Thousand Edge (Knife evo),vs,vs,T3,deep,False,,,,solo,single,instant,evolution-recipe,player-verb,n/a,0.83,,,,,vs-1.0-2022;vs-1.13-14-2025+,cg;eg,have-core,direct-hit instant verbs native,"An endless wall of daggers in the FACED direction — the one weapon family where the player's movement doubles as aiming, since the knife str"
DDHFLI-KSDD-SU-PH-~~,DDHFLI-KSDD-SU-PH-~~,,,12,1,T2b,1,0,1,True,canon,LIGHT|SMALL|INST×GX-11,di-tempest,Tempest (Mist Touched clones),di,di,T2b,deep,False,,,GX-11,light,small-AOE,instant,uptime-passive,skill-IS-movement,physical,0.82,f2p-viable,,pve,,di-tempest-2024;di-5.0-2026,db;sk,partial,echo/clone actors — troop-command adjacent,Wind-verb wave-clear whose passive — Mist Touched — fights alongside as a CLONE mechanic; the 2024 class holding the solo-PvE throne through
DDHFSC-_MDD-MT-PH-~~,DDHFSC-_MDD-MT-PH-~~,,,11,1,T1,1,0,1,True,canon,SOLO|MULTI|CHAN×GX-01,d4-dance-of-knives,Dance of Knives Rogue,d4,d4,T1,deep,False,,,GX-01,solo,multi-spawn,channel,charge-metered-channel,full_move-during,physical,0.82,,,,,s7-s12,kb,blocked-new,sustained-stream/channel verb + movement-tax tuning,"Channel WHILE MOVING as orbiting knives spray outward from the gliding rogue — the game's first native channel-move skill, a knife tornado y"
DDHFSI-HCMD-SP-PH-~~,DDHFSI-HCMD-SP-PH-~~,,,12,1,T2,1,0,1,True,canon,SOLO|CHAIN|INST×GX-10,tl2-glaive-outlander,Glaive Outlander,tl,tl2,T2,deep,False,,,GX-10,solo,chain,instant,mana-spender,high,physical,0.87,,,,,tl2-2012,tlf;kb,blocked-new,return-path/carom projectile solver,Hurl the glaive and watch it CAROM target to target before curving home — Glaive Throw's bouncing return arc under Venomous Hail volleys; th
DDHFSI-HSDD-AM-CH-~~,DDHFSI-HSDD-AM-CH-~~,,,12,1,T1,1,0,1,True,canon,SOLO|SMALL|INST×GAP-P1-12,poe1-pconc,Poisonous Concoction,poe1,poe1,T1,deep,False,,,GAP-P1-12,solo,small-AOE,instant,flask-charge-ammo,high,chaos,0.85,,,,,3.14-3.19;3.20+,mb;kb,have-core,direct-hit instant verbs native,UNARMED flask-thrower: lobs exploding poison vials whose damage scales off LIFE FLASK charges — the consumable-charge pool as ammunition; le
DDHFSI-HSDD-SP-PH-~~,DDHFSI-HSDD-SP-PH-~~,,,12,1,T1,1,0,1,True,canon,SOLO|SMALL|INST×GAP-P1-06,poe1-spectral-helix,Spectral Helix,poe1,poe1,T1,moderate,False,,,GAP-P1-06,solo,small-AOE,instant,mana-light,high,physical,0.78,,,,,3.14-3.19;3.20+,kb,have-core,direct-hit instant verbs native,"Thrown weapon corkscrews outward in a helix, hitting along its spiral path — projectile with rotational micro-motion."
DDHFSI-HSMD-SP-PH-~~,DDHFSI-HSMD-SP-PH-~~,,,12,1,T2,1,0,1,True,canon,SOLO|SMALL|INST×econ:spend,tl2-shotgonne-outlander,Shotgonne Outlander,tl,tl2,T2,moderate,False,,,,solo,small-AOE,instant,mana-spender,high,physical,0.85,,,,,tl2-2012,tlf;kb,have-core,direct-hit instant verbs native,"Point-blank scattergun volleys with Rapid Fire dumping the drum — the gunslinger Outlander built on TL2's signature weapon class, the Shotgo"
DDHFSI-MNDD-SP-LI-~~,DDHFSI-MNDD-SP-LI-~~,,,12,1,T1,1,0,1,True,canon,SOLO|SINGLE|INST×GAP-P1-07,poe1-spectral-throw,Spectral Throw,poe1,poe1,T1,deep,False,,,GAP-P1-07,solo,single,instant,mana-light,med,lightning,0.78,,,,,1.x;2.x,kb,have-core,direct-hit instant verbs native,"Weapon copy flies out and RETURNS through enemies, hitting on both passes — the boomerang dr/dt sign-flip in shipped canon; 1.x's Ele Buzzsa"
DDHFSI-_MDD-SP-CH-~~,DDHFSI-_MDD-SP-CH-~~,,,11,1,T1,1,0,1,True,canon,SOLO|MULTI|INST×GAP-P1-07,poe1-venom-gyre,Venom Gyre,poe1,poe1,T1,moderate,False,,,GAP-P1-07,solo,multi-spawn,instant,catch-stack-release,movement-skill-coupled,chaos,0.8,,,,,3.7-3.13;3.20+,kb,have-core,direct-hit instant verbs native,"Thrown poison projectiles that RETURN and are caught, then re-released in a burst via Whirling Blades — catch-and-release ammo economy on a "
DDHFS_-____-SP-__-~~,DDHFS_-____-SP-__-~~,open,,6,1,RDR,1,0,1,True,roster,SOLO|UNSPEC|UNSPEC×econ:spend,K9,Twin-Blade Fencer,rdr-roster,rdr-roster,RDR,roster,False,bc-cell-verbatim;coordinate-drift,,,solo,,,mana-spender,,,0.3,,,,,rdr-part-f-2026-07-11,part-f,verify,no rule matched — Mac pass to classify,COORDINATE DRIFT recorded: CellDef melee/high/var/DEX vs Sketch-A mid/high/flat — batch-1 fired Sketch-A; reconcile at batch-2. Sketch-A coo
DDHSHI-HSDD-SP-PH-~~,DDHSHI-HSDD-SP-PH-~~,,,12,1,T1,1,0,1,True,canon,HEAVY|SMALL|INST×GX-11,le-dive-bomb-falconer,Dive Bomb Falconer,le,le,T1,deep,False,,,GX-11 GX-19,heavy,small-AOE,instant,command-cadence,very-high,physical,0.8,,,,,1.0-launch;1.2-woven;1.4-omens,gg;lw;kb,partial,soul-control troop command exists; turret/pet AI variants + summon economy needed,"YOUR BIRD does the killing — command Dive Bomb strikes while you kite untouchable, the falcon executing called attacks on your mark; Season "
DDHSLI-HLDD-SP-PH-~~,DDHSLI-HLDD-SP-PH-~~,,,12,1,T1,1,0,1,True,canon,LIGHT|LARGE|INST×GX-03,le-explosive-trap-falconer,Explosive Trap Falconer,le,le,T1,deep,False,,,GX-03,light,large-AOE,instant,trap-stock-deploy,high,physical,0.77,,,,,1.0-launch;1.1-harbingers,kb,blocked-new,mark/tag ledger + consume-trigger operators,"Carpet the floor with explosive traps the falcon's dives detonate — the 1.0 launch's most overtuned archetype, deploy-density gameplay where"
DDHSSI-HNDD-SP-PH-~~,DDHSSI-HNDD-SP-PH-~~,,,12,1,T1,1,0,1,True,canon,SOLO|SINGLE|INST×GX-16,d3-s6-impale,Shadow Impale,d3,d3,T1,deep,False,,,GX-16,solo,single,instant,hatred-spender,high,physical,0.88,,,,,set-era;late-sets;s39,db;kb,have-core,direct-hit instant verbs native,Shadow's Mantle turns Impale into a single-target execution profession — melee-range knife throws deleting elites while trash is someone els
DDHVLI-HMDD-SP-PH-~~,DDHVLI-HMDD-SP-PH-~~,,,12,1,T1,1,0,1,True,canon,LIGHT|MULTI|INST×GX-09,poe2-twister,Twister Spirit Walker,poe2,poe2,T1,deep,False,,,GX-09,light,multi-spawn,instant,mana-light,high,physical,0.77,,,,,0.2-dawn;0.3-edict;0.4;0.5-ancients,kb;aoe;bm,designed-addendum,rotational/orbital substrate addendum — build pending,Whirling Slash spins off wandering TWISTER projectiles that bounce along walls and chew whatever they touch — spawned wandering hazards as t
DDHVSI-HMMD-SP-LI-~~,DDHVSI-HMMD-SP-LI-~~,,,12,1,T1,1,0,1,True,canon,SOLO|MULTI|INST×econ:spend,poe2-lightning-spear-amazon,Lightning Spear Amazon,poe2,poe2,T1,deep,False,,,,solo,multi-spawn,instant,mana-light,high,lightning,0.83,,,,,0.2-dawn;0.3-edict,kb,have-core,direct-hit instant verbs native,Thrown lightning spears fork into bolt cascades under Amazon's elemental crit engine — Dawn of the Hunt's day-one meta monarch and the Huntr
DDLFHI-HLDD-SU-PO-~~,DDLFHI-HLDD-SU-PO-~~,,,12,1,T2,1,0,1,True,canon,HEAVY|LARGE|INST×econ:summon,chr-bee-warden,Bee Swarm Warden,chronicon,chronicon,T2,deep,False,,,,heavy,large-AOE,instant,summon-uptime,high,poison,0.8,,,,,1.0-2020;ancient-beasts-dlc,kb,partial,soul-control troop command exists; turret/pet AI variants + summon economy needed,Weaponized apiary — swarms of summoned bees blanketing the screen in stinging DoT clouds while the Warden kites; Chronicon's beloved oddball
DDLFSI-HNCD-CD-PI-~~,DDLFSI-HNCD-CD-PI-~~,,,12,1,T1,1,1,1,False,canon,SOLO|SINGLE|INST×econ:cooldown,gd-blade-trap,Blade Trap,gd,gd,T1,negative,True,,,,solo,single,instant,cooldown-utility,high,pierce,0.87,,,,,base-2016;aom-2017;fg-2019;patch-1.1-1.2,cf;kb,have-core,direct-hit instant verbs native,GD's running punchline — a single-target immobilize on a long cooldown that no build economy ever wanted; ten years of patch notes and forum
DDLFSI-HSDD-DW-PO-~~,DDLFSI-HSDD-DW-PO-~~,,,12,1,T2b,1,0,1,True,canon,SOLO|SMALL|INST×econ:dot-walk,ud-toxic-flame,Toxic Flame DoT,undecember,undecember,T2b,deep,False,,,,solo,small-AOE,instant,hit-and-walk-DoT,high,poison,0.82,,kr-trunk,,,ud-launch-2022,gop;kb,have-core,direct-hit instant verbs native,The poison-fire DoT rune that shows up in launch guides for BOTH strength and dexterity paths — the classless system's poster child: one ski
DDLSHI-MCDD-SP-LI-~~,DDLSHI-MCDD-SP-LI-~~,,,12,1,T1,1,0,1,True,canon,HEAVY|CHAIN|INST×GAP-D2-04,d2-trapsin,Trapsin,d2,d2,T1,deep,False,,,GAP-D2-04,heavy,chain,instant,mana-mid,med(BoS),lightning,0.77,,,,,lod-1.10+;d2r;rotw-s13+,od;kb,partial,soul-control troop command exists; turret/pet AI variants + summon economy needed,Deploys stationary trap emitters (Lightning/Death Sentry) that fire autonomously; Death Sentry chains corpse explosions. Player is a placer-
DDLSH_-____-SP-__-~~,DDLSH_-____-SP-__-~~,open,"gates:proxy-P0/P1,E6",6,1,RDR,1,0,1,True,roster,HEAVY|UNSPEC|UNSPEC×econ:spend,K11,Trap Assassin (D2 Trapsin / PoE2 grenade Merc),rdr-roster,rdr-roster,RDR,roster,False,bc-cell-verbatim;proxy-octet-heavy,,,heavy,,,mana-spender,,,0.3,,,,,rdr-part-f-2026-07-11,part-f,partial,soul-control troop command exists; turret/pet AI variants + summon economy needed,mid/low/spiky/DEX/heavy — traps = stationary emitters. Gates: proxy-P0/P1 + E6.
DDMFLI-HMDD-SP-PH-~~,DDMFLI-HMDD-SP-PH-~~,,,12,1,T2b,1,0,1,True,canon,LIGHT|MULTI|INST×GX-11,ud-illusion-family,Illusion Family (Arrow/Axe/Hook),undecember,undecember,T2b,moderate,False,,,GX-11,light,multi-spawn,instant,echo-uptime,high,physical,0.77,,kr-trunk,,,ud-launch-2022;ud-s7-2025,pt;pgm,partial,echo/clone actors — troop-command adjacent,"Illusion Arrow, Illusion Axe, Illusion Hook — echo-copies of your own attacks fighting beside the originals across three weapon families; th"
DDMFSC-MNDD-SP-PH-~~,DDMFSC-MNDD-SP-PH-~~,,,12,1,T1,1,1,1,False,canon,SOLO|SINGLE|CHAN×econ:spend,d2-blade-sin,Blade Fury sin,d2,d2,T1,negative,True,,,,solo,single,channel,mana-light,med,physical,0.6,,,,,lod,kb,blocked-new,sustained-stream/channel verb + movement-tax tuning,Blade skills (Fury/Sentinel/Shield) chronically undertuned pre-D2R; documented dead branch for two decades.
DDMFSI-HMMD-SP-LI-~~,DDMFSI-HMMD-SP-LI-~~,,,12,1,T1,1,1,1,False,canon,SOLO|MULTI|INST×econ:spend,gd-stun-jacks,Stun Jacks (launch era),gd,gd,T1,negative,True,,,,solo,multi-spawn,instant,mana-spender,high,lightning,0.82,,,,,base-2016;aom-2017,cf;kb,have-core,direct-hit instant verbs native,"The scattered stun-caltrops that spent GD's first years as the Demolitionist's dead branch — throw pattern too random, damage too thin — unt"
DDMFSI-HSDD-AM-CH-~~,DDMFSI-HSDD-AM-CH-~~,,,12,1,T1,1,1,1,False,canon,SOLO|SMALL|INST×GX-14,poe2-concoction,Concoction Pathfinder,poe2,poe2,T1,negative,True,,,GX-14,solo,small-AOE,instant,flask-charge-ammo,high,chaos,0.82,,,,,0.2-dawn;0.3-edict;0.4;0.5-ancients,kb;mt,blocked-new,finite-ammo/consumable economy,"PoE1's league-start QUEEN ported to PoE2 and died — flask-charge throwing suffers terrible scaling, poor clear, and zero patch fixes across "
DDMSLI-HLMD-CD-SH-~~,DDMSLI-HLMD-CD-SH-~~,,,12,1,T1,1,0,1,True,canon,LIGHT|LARGE|INST×GX-03,d4-death-trap,Death Trap Rogue,d4,d4,T1,deep,False,,,GX-03,light,large-AOE,instant,cooldown-reset-loop,high,shadow,0.73,,,,,voh-s6+;s7-s12,kb,blocked-new,mark/tag ledger + consume-trigger operators,"The ultimate becomes the rotation — cooldown-collapsed Death Traps vacuum packs into a killing point, chain-deployed through reset aspects; "
DDMSLI-HSCD-SP-PH-~~,DDMSLI-HSCD-SP-PH-~~,,,12,1,T1,1,0,1,True,canon,LIGHT|SMALL|INST×econ:spend,d2-ghost-pvp,Ghost,d2,d2,T1,moderate,False,,,,light,small-AOE,instant,mana-mid,high,physical,0.63,,,,,lod-1.10+,kb,verify,no rule matched — Mac pass to classify,PvP-named hybrid: Mind Blast stunlock + traps + claw WW burst; control-chain dueling identity.
DDMSLI-HSDD-SP-PH-~~,DDMSLI-HSDD-SP-PH-~~,,,12,1,T1,1,0,1,True,canon,LIGHT|SMALL|INST×GX-19,le-bomb-lance-falconer,Bomb Lance Falconer,le,le,T1,deep,False,,,GX-19,light,small-AOE,instant,unknown,high,physical,0.33,,,,,1.4-omens,gg;mx-le,partial,soul-control troop command exists; turret/pet AI variants + summon economy needed,"Season 4's second new Rogue skill, riding the Falconer's ballista-and-bird engine to the top of the endgame pile with imprint crafting. SEAR"
DDMSLI-HSMD-CD-CO-~~,DDMSLI-HSMD-CD-CO-~~,,,12,1,T1,1,0,1,True,canon,LIGHT|SMALL|INST×GX-03,gd-roh-infiltrator,Rune of Hagarrad Infiltrator,gd,gd,T1,deep,False,,,GX-03 GX-19,light,small-AOE,instant,cooldown-trap-cycle,high,cold,0.75,,,,,aom-2017;patch-1.1-1.2,gt;cf;kb,partial,soul-control troop command exists; turret/pet AI variants + summon economy needed,"Inscribe a RUNE on the floor and let them step on it — Hagarrad's cold shard-burst trap armed where you drew it, Kalastor as the fire siblin"
DDMSSI-HSMD-CD-FI-~~,DDMSSI-HSMD-CD-FI-~~,,,12,1,T1,1,0,1,True,canon,SOLO|SMALL|INST×econ:cooldown,gd-canister-saboteur,Canister Bomb Saboteur,gd,gd,T1,moderate,False,,,,solo,small-AOE,instant,cooldown-rotation,high,fire,0.85,,,,,base-2016;patch-1.1-1.2,gt;kb,have-core,direct-hit instant verbs native,"Lobbed cluster bombs stun-locking packs under fragment rain — the grenadier rhythm of throw, scatter, detonate; Demolitionist's burst identi"
DMHFLC-HSDD-SP-PH-~~,DMHFLC-HSDD-SP-PH-~~,,,12,1,T1,1,0,1,True,canon,LIGHT|SMALL|CHAN×econ:spend,d2-ww-sin,Whirlwind Assassin,d2,d2,T1,moderate,False,,,,light,small-AOE,channel,mana-light,high-during-skill,physical,0.67,,,,,lod-1.10+;d2r,kb,blocked-new,sustained-stream/channel verb + movement-tax tuning,Chaos-runeword claws grant Whirlwind to the Assassin; borrowed-spin melee with claw speed math.
DMHFLI-HSDD-MT-PH-~~,DMHFLI-HSDD-MT-PH-~~,,,12,1,T1,1,0,1,True,canon,LIGHT|SMALL|INST×GX-11,poe2-whirling-assault-ma,Whirling Assault Martial Artist,poe2,poe2,T1,deep,False,degenerate-famous,,GX-11 GX-17,light,small-AOE,instant,clone-sustained-charge-loop,high,physical,0.37,,,,,0.5-ancients,aoe;bm,partial,echo/clone actors — troop-command adjacent,"Hollow Form CLONES cast Whirling Assault for you, bypassing its attack restrictions while clone interactions sustain permanent Power Charges"
DMHFLI-HSDD-SP-PH-~~,DMHFLI-HSDD-SP-PH-~~,,,12,1,T1,1,0,1,True,canon,LIGHT|SMALL|INST×GX-09,le-bladestorm-bd,Bladestorm Bladedancer,le,le,T1,deep,False,,,GX-09,light,small-AOE,instant,unknown,high,physical,0.33,,,,,1.4-omens,lb;mx-le,designed-addendum,rotational/orbital substrate addendum — build pending,One of Season 4's two new Rogue skills and an immediate S-tier — a persistent storm of orbiting blades under the restructured Rogue tree. SE
DMHFLI-MNDD-SP-PH-~~,DMHFLI-MNDD-SP-PH-~~,,,12,1,T1,1,0,1,True,canon,LIGHT|SINGLE|INST×econ:spend,d2-kicksin,Kicksin,d2,d2,T1,moderate,False,,,,light,single,instant,none,med,physical,0.67,,,,,lod;d2r,kb,verify,no rule matched — Mac pass to classify,Dragon Talon multi-kick with crushing-blow stacking; percent-HP boss shredder identity.
