global_wave,tier,tier_wave,spawn_points,ambush_points,archives,raw_min,raw_max,raw_E,glad_adj_min,glad_adj_max,glad_adj_E,n_trash,n_boss,n_hero,n_devotion,n_bounty,nemesis_wave,aspirant_E,challenger_E,gladiator_E
19,2,9,4,0,sm_mod,15.0,16.0,16.0,21.6,19.0,20.8,3,0,2,0,0,False,16.0,16.0,16.0
20,2,10,3,0,sm_mod,11.0,14.0,12.25,16.8,17.0,16.65,2,2,0,0,0,False,12.25,12.25,12.25
21,3,1,4,1,sm_mod,15.0,20.0,16.75,21.6,23.0,21.6,5,0,3,0,0,False,16.75,16.75,16.75
22,3,2,4,1,sm_mod,21.0,23.0,22.0,30.0,27.0,28.5,4,0,0,0,0,False,22.0,22.0,22.0
23,3,3,4,0,sm_mod,16.0,19.0,17.5,22.6,22.0,22.45,6,3,0,0,0,False,17.5,17.5,17.5
24,3,4,6,1,sm_mod,30.0,33.0,32.0,42.0,38.0,40.5,7,0,1,0,0,False,32.0,32.0,32.0
25,3,5,4,0,sm_mod,13.0,22.0,18.0,17.8,24.0,21.8,4,1,0,6,0,False,18.0,18.0,18.0
26,3,6,5,1,sm_mod,28.0,30.0,29.0,39.6,35.0,37.3,5,0,0,0,0,False,29.0,29.0,29.0
27,3,7,5,0,sm_mod,12.0,19.0,14.5,19.2,23.0,20.1,7,0,2,0,0,False,14.5,14.5,14.5
28,3,8,4,0,sm_mod,20.0,27.0,23.25,28.8,31.0,29.85,7,0,0,0,0,False,23.25,23.25,23.25
29,3,9,3,1,sm_mod,8.0,13.0,11.0,10.8,14.0,12.95,2,0,3,0,0,False,14.0,11.0,11.0
30,3,10,4,1,sm_mod,20.0,23.0,21.5,27.4,26.0,26.7,2,2,0,0,0,False,25.0,21.5,21.5
31,4,1,4,0,sm_mod,15.0,18.0,17.25,21.6,21.0,22.1,4,0,0,0,3,False,17.25,17.25,17.25
32,4,2,5,1,sm_mod,21.0,27.0,23.83,31.2,32.0,31.58,10,0,0,0,0,False,23.83,23.83,23.83
33,4,3,4,0,sm_mod,7.0,10.0,10.0,9.6,11.0,11.8,1,0,4,0,3,False,16.0,10.0,10.0
34,4,4,4,1,sm_mod,21.0,25.0,23.5,28.8,28.0,28.9,3,0,1,0,0,False,23.5,23.5,23.5
35,4,5,5,1,sm_mod,15.0,17.0,17.0,20.2,19.0,20.6,2,1,2,6,0,False,22.0,17.0,17.0
36,4,6,5,1,sm_mod,23.0,25.0,24.5,33.6,30.0,32.4,9,0,0,0,0,False,24.5,24.5,24.5
37,4,7,5,0,sm_mod,16.0,17.0,16.5,22.4,20.0,21.2,3,2,0,0,0,False,16.5,16.5,16.5
38,4,8,4,0,sm_mod,8.0,9.0,8.5,14.4,13.0,13.7,4,0,0,0,0,False,8.5,8.5,8.5
39,4,9,4,1,sm_mod,7.0,10.0,10.0,9.6,11.0,11.8,1,0,2,6,0,False,12.5,10.0,10.0
40,4,10,4,0,sm_mod,12.0,13.0,13.0,16.6,15.0,16.3,1,3,0,6,0,False,13.5,13.0,13.0
41,5,1,2,0,sm_mod,11.0,15.0,12.5,15.6,17.0,15.85,3,0,0,0,0,False,12.5,12.5,12.5
42,5,2,4,0,sm1+sm_mod,7.0,13.0,11.0,10.6,15.0,14.0,4,2,0,0,3,False,12.0,11.0,11.0
43,5,3,6,1,sm_mod,26.0,28.0,27.5,37.2,33.0,35.6,5,0,1,0,0,False,27.5,27.5,27.5
44,5,4,4,0,sm1+sm_mod,18.0,20.0,18.67,26.4,24.0,24.87,8,0,0,0,0,False,18.67,18.67,18.67
45,5,5,5,0,sm_mod,10.0,15.0,13.0,14.0,17.0,16.2,4,2,1,0,0,False,16.0,13.0,13.0
46,5,6,3,1,sm_mod,6.0,8.0,8.0,8.4,9.0,9.7,1,0,2,0,0,False,8.0,8.0,8.0
47,5,7,4,0,sm_mod,16.0,18.0,17.0,24.0,22.0,23.1,6,0,0,0,0,False,17.0,17.0,17.0
48,5,8,4,0,sm_mod,6.0,8.0,8.0,8.2,9.0,9.6,1,3,6,0,0,False,13.25,8.0,8.0
49,5,9,4,1,sm_mod,20.0,20.0,20.0,28.8,24.0,26.4,5,0,0,0,0,False,20.0,20.0,20.0
50,5,10,5,0,sm1+sm_mod,18.0,21.0,20.0,26.2,25.0,26.27,5,2,0,0,0,False,20.0,20.0,20.0
51,6,1,3,0,sm1+sm_mod,0.0,3.0,3.0,0.0,3.0,3.0,0,0,5,0,5,False,8.0,3.0,3.0
52,6,2,5,1,sm1+sm_mod,23.0,26.0,25.5,32.4,30.0,32.3,6,0,1,0,0,False,25.5,25.5,25.5
53,6,3,2,0,sm1+sm_mod,10.0,11.0,10.5,14.4,13.0,13.7,4,0,0,0,0,False,10.5,10.5,10.5
54,6,4,4,0,sm1+sm_mod,18.0,20.0,19.0,25.0,23.0,24.0,4,3,0,0,0,False,19.0,19.0,19.0
55,6,5,4,0,sm_mod,10.0,11.0,11.0,12.8,12.0,12.9,1,2,0,6,0,False,17.5,11.0,11.0
56,6,6,6,1,sm1+sm_mod,29.0,35.0,32.0,42.0,41.0,41.7,12,0,0,0,0,False,32.0,32.0,32.0
57,6,7,5,0,sm_mod,24.0,25.0,25.0,33.6,29.0,31.8,4,0,0,0,3,False,25.0,25.0,25.0
58,6,8,2,0,sm_mod,13.0,14.0,13.5,18.0,16.0,17.0,3,0,0,0,0,False,13.5,13.5,13.5
59,6,9,4,0,sm1+sm_mod,16.0,21.0,19.5,22.8,24.0,24.6,6,1,0,6,0,False,19.5,19.5,19.5
60,6,10,4,0,sm_mod,5.0,7.0,6.5,6.8,8.0,7.9,1,2,0,6,0,False,6.5,6.5,6.5
61,7,1,3,0,sm_mod,13.0,13.0,13.0,17.8,15.0,16.4,4,2,0,0,0,False,13.0,13.0,13.0
62,7,2,6,1,sm1+sm_mod,26.0,32.0,28.5,37.2,37.0,36.6,12,0,1,0,0,False,28.5,28.5,28.5
63,7,3,4,0,sm1+sm_mod,13.0,14.0,14.0,17.8,16.0,17.4,2,1,4,0,0,False,14.0,14.0,14.0
64,7,4,5,0,sm_mod,20.0,27.0,22.75,28.8,31.0,29.2,8,0,1,0,0,False,22.75,22.75,22.75
65,7,5,4,0,sm_mod,2.0,4.0,4.0,2.0,4.0,4.0,0,2,4,0,0,False,4.0,4.0,4.0
66,7,6,4,0,sm1,13.0,20.0,17.17,19.2,23.0,21.93,9,0,4,0,0,False,17.17,17.17,17.17
67,7,7,5,1,sm_mod,21.0,27.0,24.5,30.0,31.0,31.2,8,0,0,6,0,False,24.5,24.5,24.5
68,7,8,3,0,sm_mod,17.0,17.0,17.0,24.0,20.0,22.0,5,0,0,0,0,False,17.0,17.0,17.0
69,7,9,4,0,sm1+sm_mod,18.0,18.0,18.0,25.0,21.0,23.0,5,2,0,0,0,False,18.0,18.0,18.0
70,7,10,5,0,sm1+sm_mod,18.0,24.0,22.17,26.4,28.0,28.57,8,0,0,0,5,False,22.17,22.17,22.17
71,8,1,4,0,sm_mod,20.0,22.0,20.5,28.8,26.0,26.9,8,0,0,0,0,False,20.5,20.5,20.5
72,8,2,4,0,sm_mod,9.0,13.0,11.5,11.6,14.0,13.45,2,4,0,6,0,False,11.5,11.5,11.5
73,8,3,3,1,sm_mod,16.0,20.0,18.25,22.8,23.0,23.3,5,0,0,0,0,False,18.25,18.25,18.25
74,8,4,3,1,sm1+sm_mod,17.0,22.0,19.75,22.8,24.0,23.8,3,0,3,0,0,False,19.75,19.75,19.75
75,8,5,5,1,sm1+sm_mod,12.0,19.0,16.25,16.6,21.0,19.7,6,3,0,12,0,False,16.25,16.25,16.25
76,8,6,6,1,sm_mod,29.0,35.0,32.25,40.8,40.0,40.8,10,0,1,0,0,False,32.25,32.25,32.25
77,8,7,4,0,sm_mod,4.0,9.0,8.0,6.0,10.0,9.6,2,0,2,6,3,False,8.0,8.0,8.0
78,8,8,4,1,sm1+sm_mod,17.0,28.0,23.17,25.2,32.0,29.73,8,0,0,0,0,False,23.17,23.17,23.17
79,8,9,4,0,sm1+sm_mod,9.0,11.0,10.5,13.0,13.0,13.5,2,4,3,0,0,False,10.5,10.5,10.5
80,8,10,5,0,sm_mod,21.0,24.0,23.0,27.2,26.0,27.15,3,3,1,0,0,False,23.0,23.0,23.0
81,9,1,3,0,sm_mod,14.0,15.0,15.0,19.2,17.0,18.6,4,0,1,0,0,False,15.0,15.0,15.0
82,9,2,4,1,sm_mod,7.0,11.0,10.5,9.6,12.0,12.3,1,0,3,6,3,False,10.5,10.5,10.5
83,9,3,2,0,sm_mod,8.0,12.0,10.5,12.0,14.0,13.7,4,0,0,0,0,False,10.5,10.5,10.5
84,9,4,4,0,sm1+sm_mod,19.0,23.0,20.33,26.2,26.0,25.5,9,3,0,0,0,False,20.33,20.33,20.33
85,9,5,6,1,sm_mod,24.0,26.0,26.0,33.6,30.0,32.8,7,0,1,6,0,False,26.0,26.0,26.0
86,9,6,5,0,sm_mod,16.0,19.0,18.0,22.6,22.0,22.8,3,2,1,0,0,False,18.0,18.0,18.0
87,9,7,5,1,sm1+sm_mod,29.0,39.0,33.75,39.4,44.0,41.75,7,3,0,0,0,False,33.75,33.75,33.75
88,9,8,5,0,sm1+sm_mod,17.0,24.0,21.25,24.0,27.0,26.35,4,0,6,0,0,False,21.25,21.25,21.25
89,9,9,3,0,sm1,3.0,3.0,3.0,3.0,3.0,3.0,0,6,0,0,0,False,3.0,3.0,3.0
90,9,10,2,0,sm1+sm_mod,1.0,2.0,2.0,1.0,2.0,2.0,0,1,3,0,0,True,2.0,2.0,2.0
91,10,1,5,1,sm_mod,27.0,39.0,33.0,38.4,44.0,41.65,8,0,0,0,0,False,33.0,33.0,33.0
92,10,2,6,1,sm1+sm2+sm_mod,25.0,32.0,28.42,34.4,36.0,35.37,8,4,0,0,0,False,28.42,28.42,28.42
93,10,3,3,1,sm1+sm2+sm_mod,7.0,10.0,9.75,9.6,11.0,11.6,2,0,4,0,5,False,9.75,9.75,9.75
94,10,4,6,1,sm_mod,19.0,33.0,26.83,27.4,38.0,34.23,9,2,1,0,0,False,26.83,26.83,26.83
95,10,5,4,0,sm2+sm_mod,11.0,18.0,14.38,15.4,21.0,18.05,8,4,0,6,0,False,14.38,14.38,14.38
96,10,6,4,1,sm2+sm_mod,10.0,14.0,13.33,14.4,16.0,16.6,4,0,3,6,0,False,13.33,13.33,13.33
97,10,7,3,1,sm_mod,6.0,9.0,8.5,8.4,10.0,10.2,1,0,3,0,0,False,8.5,8.5,8.5
98,10,8,5,0,sm2+sm_mod,19.0,24.0,22.17,26.2,28.0,27.98,6,2,1,0,0,False,22.17,22.17,22.17
99,10,9,5,0,sm1+sm2+sm_mod,14.0,17.0,16.5,19.0,19.0,20.0,2,1,7,0,0,False,16.5,16.5,16.5
100,10,10,3,0,sm2+sm_mod,2.0,3.0,3.0,2.0,3.0,3.0,0,5,1,0,0,True,3.0,3.0,3.0
101,11,1,5,1,sm2+sm_mod,20.0,23.0,22.5,27.6,26.0,27.83,5,0,6,0,0,False,22.5,22.5,22.5
102,11,2,4,0,sm2+sm_mod,13.0,14.0,14.0,17.8,16.0,17.4,2,3,1,0,0,False,14.0,14.0,14.0
103,11,3,6,1,sm1+sm2+sm_mod,22.0,32.0,27.5,31.2,36.0,34.35,12,0,5,0,0,False,27.5,27.5,27.5
104,11,4,2,0,sm2+sm_mod,2.0,2.0,2.0,2.0,2.0,2.0,0,4,0,0,0,False,2.0,2.0,2.0
105,11,5,4,0,sm2+sm_mod,13.0,18.0,16.5,17.8,20.0,20.03,5,4,3,0,0,False,16.5,16.5,16.5
106,11,6,4,0,sm1+sm2+sm_mod,12.0,28.0,19.0,16.8,30.0,22.85,8,0,5,0,0,False,19.0,19.0,19.0
107,11,7,5,1,sm2+sm_mod,20.0,29.0,24.33,28.8,33.0,31.0,7,1,0,0,3,False,24.33,24.33,24.33
108,11,8,5,0,sm1+sm_mod,15.0,23.0,20.08,21.6,26.0,25.13,8,0,0,12,0,False,20.08,20.08,20.08
109,11,9,6,1,sm2+sm_mod,23.0,26.0,24.5,32.0,30.0,31.0,4,6,0,0,0,False,24.5,24.5,24.5
110,11,10,4,0,sm2+sm_mod,3.0,4.0,4.0,3.0,4.0,4.0,0,8,0,6,0,True,4.0,4.0,4.0
111,12,1,6,1,sm2+sm_mod,33.0,40.0,36.5,46.8,46.0,46.4,13,0,0,0,0,False,36.5,36.5,36.5
112,12,2,4,1,sm1+sm2+sm_mod,8.0,12.0,9.75,10.2,14.0,11.77,3,9,0,0,0,False,9.75,9.75,9.75
113,12,3,5,0,sm1+sm2+sm_mod,15.0,27.0,22.83,22.8,31.0,29.27,8,0,3,0,0,False,22.83,22.83,22.83
114,12,4,4,1,sm2+sm_mod,14.0,15.0,14.83,18.8,17.0,18.3,6,6,0,0,0,False,14.83,14.83,14.83
115,12,5,5,0,sm2+sm_mod,7.0,16.0,11.75,9.2,18.0,13.98,4,4,4,0,3,True,11.75,11.75,11.75
116,12,6,4,0,sm2+sm_mod,14.0,21.0,19.5,20.4,24.0,24.6,9,0,0,6,0,False,19.5,19.5,19.5
117,12,7,5,0,sm2+sm_mod,24.0,28.0,26.83,33.6,32.0,33.77,8,0,0,0,3,False,26.83,26.83,26.83
118,12,8,6,1,sm1+sm2+sm_mod,17.0,25.0,22.17,23.6,28.0,27.3,7,3,0,0,3,False,22.17,22.17,22.17
119,12,9,5,0,sm1+sm2+sm_mod,20.0,27.0,23.33,27.4,31.0,29.13,4,4,1,0,0,False,23.33,23.33,23.33
120,12,10,5,1,sm1+sm2+sm_mod,17.0,21.0,19.5,23.6,24.0,24.5,10,2,0,0,0,True,19.5,19.5,19.5
121,13,1,5,0,sm_mod,19.0,19.0,19.0,27.4,23.0,25.2,2,3,0,0,0,False,19.0,19.0,19.0
122,13,2,5,1,sm2+sm_mod,19.0,27.0,23.75,26.4,30.0,29.1,5,0,6,0,1,False,23.75,23.75,23.75
123,13,3,4,0,sm1+sm2,17.0,27.0,21.0,23.8,30.0,26.23,9,4,0,0,0,False,21.0,21.0,21.0
124,13,4,6,1,sm1+sm2+sm_mod,28.0,35.0,31.5,39.4,40.0,40.0,14,2,0,0,0,False,31.5,31.5,31.5
125,13,5,4,0,sm2+sm_mod,14.0,20.0,17.33,18.8,22.0,21.03,5,2,0,0,0,True,17.33,17.33,17.33
126,13,6,6,1,sm1+sm_mod,35.0,36.0,36.0,48.0,41.0,45.0,6,0,0,0,5,False,36.0,36.0,36.0
127,13,7,4,0,sm1+sm_mod,8.0,10.0,10.0,10.6,11.0,11.8,3,3,0,0,10,False,10.0,10.0,10.0
128,13,8,6,1,sm2+sm_mod,21.0,30.0,26.08,30.0,34.0,32.73,7,0,10,0,0,False,26.08,26.08,26.08
129,13,9,5,1,sm2+sm_mod,17.0,18.0,18.0,23.8,21.0,22.9,5,3,0,6,0,False,18.0,18.0,18.0
130,13,10,5,0,sm2+sm_mod,15.0,15.0,15.0,19.8,17.0,18.4,3,6,0,0,0,True,15.0,15.0,15.0
131,14,1,5,0,sm2+sm_mod,10.0,23.0,17.25,14.0,25.0,20.8,4,4,3,0,0,False,17.25,17.25,17.25
132,14,2,5,0,sm1+sm_mod,13.0,19.0,16.5,17.6,22.0,20.6,4,4,0,6,0,False,16.5,16.5,16.5
133,14,3,6,1,sm1+sm2+sm_mod,14.0,25.0,21.92,20.2,29.0,27.67,8,2,1,6,0,False,21.92,21.92,21.92
134,14,4,5,1,sm2+sm_mod,18.0,25.0,23.0,25.2,28.0,28.35,8,0,5,0,0,False,23.0,23.0,23.0
135,14,5,5,1,sm1+sm2+sm_mod,0.0,5.0,5.0,0.0,5.0,5.0,0,0,10,0,5,False,5.0,5.0,5.0
136,14,6,5,1,sm1+sm2+sm_mod,30.0,42.0,36.75,42.0,47.0,45.7,13,0,0,0,0,False,36.75,36.75,36.75
137,14,7,4,0,sm1+sm2+sm_mod,3.0,5.0,4.5,3.0,6.0,5.15,0,7,0,6,0,False,4.5,4.5,4.5
138,14,8,6,1,sm2+sm_mod,13.0,18.0,17.08,17.6,20.0,20.53,5,3,3,0,0,False,17.08,17.08,17.08
139,14,9,5,1,sm_mod,23.0,28.0,26.0,32.2,32.0,32.8,7,1,0,0,0,False,26.0,26.0,26.0
140,14,10,4,0,sm1+sm2+sm_mod,8.0,11.0,9.5,10.2,12.0,11.22,4,5,0,0,0,True,9.5,9.5,9.5
141,15,1,6,1,sm3+sm_mod,7.0,27.0,20.42,9.6,30.0,24.62,6,0,7,0,3,False,20.42,20.42,20.42
142,15,2,6,1,sm3+sm_mod,14.0,17.0,17.0,19.0,19.0,20.5,2,5,5,6,0,False,17.0,17.0,17.0
143,15,3,6,1,sm3+sm_mod,18.0,30.0,24.46,25.2,33.0,29.81,8,0,5,0,0,False,24.46,24.46,24.46
144,15,4,5,0,sm3+sm_mod,15.0,18.0,17.0,20.0,20.0,20.55,4,4,1,0,0,False,17.0,17.0,17.0
145,15,5,4,0,sm3+sm_mod,11.0,18.0,14.25,15.2,20.0,17.6,8,2,0,0,0,False,14.25,14.25,14.25
146,15,6,6,1,sm_mod,22.0,24.0,23.25,29.4,27.0,28.55,6,3,0,0,0,False,23.25,23.25,23.25
147,15,7,5,1,sm3+sm_mod,9.0,24.0,17.38,13.0,26.0,20.92,8,4,3,6,0,False,17.38,17.38,17.38
148,15,8,6,1,sm3,14.0,31.0,24.33,20.4,34.0,29.67,9,0,7,0,0,False,24.33,24.33,24.33
149,15,9,5,1,sm3,5.0,7.0,5.5,5.0,8.0,5.85,0,20,0,0,0,False,5.5,5.5,5.5
150,15,10,6,1,sm3+sm_mod,13.0,20.0,17.88,17.4,22.0,21.4,8,3,0,6,0,True,17.88,17.88,17.88
151,16,1,5,1,sm3,13.0,22.0,18.5,19.2,25.0,23.3,5,0,3,0,0,False,18.5,18.5,18.5
152,16,2,6,1,sm3,6.0,11.0,10.5,8.2,12.0,12.1,2,4,6,6,0,False,10.5,10.5,10.5
153,16,3,6,1,sm3,12.0,18.0,16.75,18.0,21.0,21.3,4,0,2,0,11,False,16.75,16.75,16.75
154,16,4,4,0,sm3,9.0,10.0,9.5,11.4,11.0,11.2,3,7,0,0,0,True,9.5,9.5,9.5
155,16,5,5,0,sm3,12.0,17.0,14.33,16.4,19.0,17.53,6,3,0,0,5,False,14.33,14.33,14.33
156,16,6,6,1,sm3,16.0,21.0,18.62,22.2,24.0,23.33,8,5,0,0,0,False,18.62,18.62,18.62
157,16,7,6,1,sm3,7.0,16.0,13.88,10.6,18.0,16.98,8,3,4,6,0,False,13.88,13.88,13.88
158,16,8,6,1,sm3,15.0,36.0,25.0,21.6,39.0,30.3,9,0,4,6,0,False,25.0,25.0,25.0
159,16,9,5,1,sm3,5.0,7.0,5.5,5.0,8.0,5.85,0,13,0,0,0,False,5.5,5.5,5.5
160,16,10,5,0,sm3,4.0,5.0,5.0,4.0,5.0,5.0,0,5,1,0,0,True,5.0,5.0,5.0
161,17,1,6,1,sm3,10.0,15.0,13.33,14.0,17.0,16.37,4,2,5,0,0,True,13.33,13.33,13.33
162,17,2,5,1,sm3,6.0,8.0,8.0,8.0,9.0,9.5,1,4,0,12,0,False,8.0,8.0,8.0
163,17,3,5,1,sm3,8.0,15.0,12.5,11.8,18.0,16.2,3,3,6,0,0,False,12.5,12.5,12.5
164,17,4,5,0,sm3,11.0,16.0,13.25,15.0,18.0,16.38,8,7,0,0,0,False,13.25,13.25,13.25
165,17,5,5,0,sm3,5.0,5.0,5.0,5.0,5.0,5.0,0,9,0,0,0,True,5.0,5.0,5.0
166,17,6,5,1,sm3,10.0,15.0,11.92,13.8,17.0,14.92,7,5,0,0,0,False,11.92,11.92,11.92
167,17,7,5,1,sm3,12.0,17.0,15.75,16.6,19.0,19.12,6,1,0,6,3,False,15.75,15.75,15.75
168,17,8,5,1,sm3,12.0,21.0,17.33,18.0,24.0,22.0,9,0,3,3,0,False,17.33,17.33,17.33
169,17,9,6,1,sm3,6.0,7.0,6.5,6.0,8.0,7.15,0,10,0,0,0,False,6.5,6.5,6.5
170,17,10,5,0,sm3,5.0,5.0,5.0,5.0,5.0,5.0,0,9,0,0,0,True,5.0,5.0,5.0
171,18,1,6,1,sm3,11.0,17.0,14.67,15.0,19.0,17.83,5,5,2,0,0,True,14.67,14.67,14.67
172,18,2,5,1,sm3,5.0,11.0,9.17,6.8,12.0,10.73,3,5,2,6,0,False,9.17,9.17,9.17
173,18,3,6,1,sm3,13.0,19.0,16.5,18.8,22.0,21.0,6,3,2,0,0,False,16.5,16.5,16.5
174,18,4,5,0,sm3,13.0,20.0,16.67,17.4,23.0,20.73,5,5,0,0,0,False,16.67,16.67,16.67
175,18,5,6,1,sm3,4.0,6.0,6.0,4.0,6.0,6.0,0,7,6,0,0,True,6.0,6.0,6.0
176,18,6,5,1,sm3,8.0,11.0,9.83,10.2,12.0,11.47,3,3,3,0,0,True,9.83,9.83,9.83
177,18,7,5,1,sm3,8.0,13.0,11.5,13.2,16.0,15.7,2,3,6,0,0,False,11.5,11.5,11.5
178,18,8,5,1,sm3,8.0,11.0,10.5,10.4,12.0,12.2,2,4,6,0,0,False,10.5,10.5,10.5
179,18,9,6,1,sm3,6.0,6.0,6.0,6.0,6.0,6.0,0,10,0,0,0,True,6.0,6.0,6.0
180,18,10,6,1,sm3,6.0,6.0,6.0,6.0,6.0,6.0,0,8,0,0,0,True,6.0,6.0,6.0
181,19,1,6,1,sm3,12.0,17.0,14.83,16.2,19.0,18.02,5,5,2,0,0,True,14.83,14.83,14.83
182,19,2,5,1,sm3,6.0,10.0,8.5,7.8,11.0,10.0,2,6,2,0,0,False,8.5,8.5,8.5
183,19,3,6,1,sm3,7.0,12.0,11.0,9.2,13.0,12.65,2,3,8,0,0,False,11.0,11.0,11.0
184,19,4,6,1,sm3,14.0,18.0,16.67,20.0,21.0,21.23,6,4,3,0,0,False,16.67,16.67,16.67
185,19,5,6,1,sm3,5.0,6.0,6.0,5.0,6.0,6.0,0,8,2,0,0,True,6.0,6.0,6.0
186,19,6,5,1,sm3,8.0,11.0,10.0,11.6,13.0,12.85,3,3,2,0,0,True,10.0,10.0,10.0
187,19,7,5,1,sm3,8.0,10.0,9.5,10.2,11.0,11.1,3,4,3,0,0,True,9.5,9.5,9.5
188,19,8,5,1,sm3,1.0,5.0,5.0,1.0,5.0,5.0,0,1,12,0,0,True,5.0,5.0,5.0
189,19,9,6,1,sm3,7.0,10.0,8.33,8.6,13.0,10.77,0,11,0,0,0,True,8.33,8.33,8.33
190,19,10,6,1,sm3,6.0,6.0,6.0,6.0,6.0,6.0,0,8,0,0,0,True,6.0,6.0,6.0
191,20,1,6,1,sm3,11.0,18.0,15.0,15.0,20.0,18.2,4,4,2,0,0,True,15.0,15.0,15.0
192,20,2,5,1,sm3,8.0,10.0,9.5,10.2,11.0,11.1,2,4,2,0,0,True,9.5,9.5,9.5
193,20,3,6,1,sm3,8.0,11.0,10.5,10.2,12.0,12.1,2,5,6,0,0,True,10.5,10.5,10.5
194,20,4,5,0,sm3,10.0,12.0,11.17,13.8,14.0,14.13,3,7,0,0,0,False,11.17,11.17,11.17
195,20,5,6,1,sm3,8.0,8.0,8.0,9.8,9.0,9.4,0,8,0,0,0,True,8.0,8.0,8.0
196,20,6,5,1,sm3,7.0,12.0,10.33,9.0,14.0,12.62,3,8,0,6,0,True,10.33,10.33,10.33
197,20,7,5,1,sm3,7.0,10.0,9.5,9.2,11.0,11.1,2,5,4,0,0,False,9.5,9.5,9.5
198,20,8,5,1,sm3,7.0,10.0,9.5,9.2,11.0,11.1,2,3,5,0,0,True,9.5,9.5,9.5
199,20,9,6,1,sm3,6.0,6.0,6.0,6.0,6.0,6.0,0,6,0,0,0,True,6.0,6.0,6.0
200,20,10,6,1,sm3,6.0,6.0,6.0,6.0,6.0,6.0,0,6,0,0,0,True,6.0,6.0,6.0
