body_record,in_pool_waves,in_frozen_baton_roll,slot,slot_field,skill_record,skill_archive,skill_class,chance_pct,delay_s,timeout_s,range_band,character_attack_speed,short_range_max,medium_range_max,long_range_max,skillCooldownTime,skillActiveDuration,skillChargeDuration,skillChargeLevel,skillWindUpTime,chargeDuration,skillProjectileSpeed,projectileSpeed,skillTargetRadius,projectileExplosionRadius,dropHeight,dropRadius,projectileLaunchNumber,skillTargetNumber
records/creatures/enemies/boss&quest/chthonianrylok_ekketzul.dbr,159,NO,special4,specialAttack4SkillName,records/skills/nonplayerskillsgdx1/bossskills/ekketzul_volcano.dbr,gdx1,Skill_AttackProjectileAreaEffect,100.0,9.0,5.0,AnyRange,1.100000023841858,4.0,10.0,18.0,,10.0,,,,,,,,1.5,,,,
records/creatures/enemies/boss&quest/chthonianrylok_ekketzul.dbr,159,NO,special5,specialAttack5SkillName,records/skills/nonplayerskillsgdx1/bossskills/ekketzul_commandturret.dbr,sm1,Skill_AttackWave,100.0,11.0,5.0,MediumRange,1.100000023841858,4.0,10.0,18.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/chthonianservitor_lunalvalgoth.dbr,159,NO,special1,specialAttackSkillName,records/skills/nonplayerskillsgdx1/bossskills/lunalvalgoth_impale.dbr,gdx1,Skill_AttackWeapon,100.0,4.0,1.0,ShortRange,1.149999976158142,4.0,14.0,20.0,,,,,,,,,,,,,,1
records/creatures/enemies/boss&quest/chthonianservitor_lunalvalgoth.dbr,159,NO,special2,specialAttack2SkillName,records/skills/nonplayerskillsgdx1/bossskills/lunalvalgoth_spitburst.dbr,gdx1,Skill_AttackProjectile,100.0,7.0,3.0,MediumRange,1.149999976158142,4.0,14.0,20.0,,,,,,,,,,1.5,,,,
records/creatures/enemies/boss&quest/chthonianservitor_lunalvalgoth.dbr,159,NO,special3,specialAttack3SkillName,records/skills/nonplayerskillsgdx1/bossskills/lunalvalgoth_triplechaoswave.dbr,gdx1,Skill_AttackWave,100.0,6.0,6.0,MediumRange,1.149999976158142,4.0,14.0,20.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/chthonianservitor_lunalvalgoth.dbr,159,NO,special4,specialAttack4SkillName,records/skills/nonplayerskillsgdx1/bossskills/lunalvalgoth_summonservitors.dbr,gdx1,Skill_SpawnPet,100.0,16.0,10.0,AnyRange,1.149999976158142,4.0,14.0,20.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/humanwendigo_darkwood_01.dbr,159,NO,basic,attackSkillName,records/skills/nonplayerskillsgdx1/bossskills/avris_bloodorbnova.dbr,gdx1,Skill_AttackProjectileRing,,,,,0.75,4.0,16.0,18.0,,,,,,,,,,1.5,,,12,
records/creatures/enemies/boss&quest/humanwendigo_darkwood_01.dbr,159,NO,special1,specialAttackSkillName,records/skills/nonplayerskillsgdx1/bossskills/avris_bloodorbburst.dbr,gdx1,Skill_AttackProjectileFan,100.0,5.0,1.0,LongRange,0.75,4.0,16.0,18.0,,,,,,,,,,1.5,,,5,
records/creatures/enemies/boss&quest/humanwendigo_darkwood_01.dbr,159,NO,special2,specialAttack2SkillName,records/skills/nonplayerskillsgdx1/bossskills/avris_reapspirit.dbr,gdx1,Skill_AttackSpellChaosSpawnPet,100.0,13.0,3.0,AnyRange,0.75,4.0,16.0,18.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/humanwendigo_darkwood_01.dbr,159,NO,special3,specialAttack3SkillName,records/skills/nonplayerskillsgdx1/bossskills/avris_screech.dbr,gdx1,Skill_AttackRadius,100.0,6.0,2.0,ShortRange,0.75,4.0,16.0,18.0,,,,,,,,,8.0,,,,,
records/creatures/enemies/boss&quest/humanwendigo_darkwood_01.dbr,159,NO,special4,specialAttack4SkillName,records/skills/nonplayerskillsgdx1/bossskills/avris_bloodlink.dbr,gdx1,Skill_AttackBuff,100.0,12.0,6.0,ShortRange,0.75,4.0,16.0,18.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/korvaakmessenger_02.dbr,159,NO,special1,specialAttackSkillName,records/skills/nonplayerskillsgdx2/bossskills/pets/turret_messenger_02_firestorm.dbr,gdx2,Skill_BuffAttackRadiusDrop,100.0,11.0,6.0,AnyRange,1.0,6.0,8.0,18.0,,4.0,,,,,,,5.0,2.5,24.0,2.0,1,
records/creatures/enemies/boss&quest/korvaakmessenger_02.dbr,159,NO,special2,specialAttack2SkillName,records/skills/nonplayerskillsgdx2/bossskills/messenger_02_impale.dbr,gdx2,Skill_AttackWeapon,100.0,6.0,5.0,ShortRange,1.0,6.0,8.0,18.0,,,,,,,,,,,,,,1
records/creatures/enemies/boss&quest/korvaakmessenger_02.dbr,159,NO,special3,specialAttack3SkillName,records/skills/nonplayerskillsgdx2/bossskills/messenger_02_cleavefire.dbr,gdx2,Skill_AttackWave,100.0,8.0,6.0,ShortRange,1.0,6.0,8.0,18.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/korvaakmessenger_02.dbr,159,NO,special4,specialAttack4SkillName,records/skills/nonplayerskillsgdx2/bossskills/messenger_02_doublestrikefire.dbr,gdx2,Skill_AttackWeapon,100.0,9.0,5.0,ShortRange,1.0,6.0,8.0,18.0,,,,,,,,,,,,,,1
records/creatures/enemies/boss&quest/korvaakmessenger_02b.dbr,159,NO,special1,specialAttackSkillName,records/skills/nonplayerskillsgdx2/bossskills/pets/turret_messenger_02_firestorm.dbr,gdx2,Skill_BuffAttackRadiusDrop,100.0,11.0,6.0,AnyRange,1.0,6.0,8.0,18.0,,4.0,,,,,,,5.0,2.5,24.0,2.0,1,
records/creatures/enemies/boss&quest/korvaakmessenger_02b.dbr,159,NO,special2,specialAttack2SkillName,records/skills/nonplayerskillsgdx2/bossskills/messenger_02_impale.dbr,gdx2,Skill_AttackWeapon,100.0,6.0,5.0,ShortRange,1.0,6.0,8.0,18.0,,,,,,,,,,,,,,1
records/creatures/enemies/boss&quest/korvaakmessenger_02b.dbr,159,NO,special3,specialAttack3SkillName,records/skills/nonplayerskillsgdx2/bossskills/messenger_02_cleavefire.dbr,gdx2,Skill_AttackWave,100.0,8.0,6.0,ShortRange,1.0,6.0,8.0,18.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/korvaakmessenger_02b.dbr,159,NO,special4,specialAttack4SkillName,records/skills/nonplayerskillsgdx2/bossskills/messenger_02_doublestrikefire.dbr,gdx2,Skill_AttackWeapon,100.0,9.0,5.0,ShortRange,1.0,6.0,8.0,18.0,,,,,,,,,,,,,,1
records/creatures/enemies/boss&quest/manticore_jaggedwaste_01.dbr,159,NO,special1,specialAttackSkillName,records/skills/nonplayerskills/bossskills/mogara_maul.dbr,base,Skill_AttackWeapon,100.0,6.0,1.0,ShortRange,1.0,4.0,15.0,20.0,,,,,,,,,,,,,,3
records/creatures/enemies/boss&quest/manticore_jaggedwaste_01.dbr,159,NO,special2,specialAttack2SkillName,records/skills/nonplayerskills/bossskills/mogara_tailstrike.dbr,base,Skill_AttackWeapon,100.0,8.0,3.0,ShortRange,1.0,4.0,15.0,20.0,,,,,,,,,,,,,,1
records/creatures/enemies/boss&quest/manticore_jaggedwaste_01.dbr,159,NO,special3,specialAttack3SkillName,records/skills/nonplayerskills/bossskills/mogara_shadowstrike.dbr,base,Skill_AttackWeaponBlink,100.0,5.0,1.0,LongRange,1.0,4.0,15.0,20.0,,,,,,,,,,,,,,1
records/creatures/enemies/boss&quest/rokwind_01.dbr,159,NO,special1,specialAttackSkillName,records/skills/nonplayerskillsgdx3/bossskills/avinnia_doubleclaw.dbr,gdx3,Skill_AttackWeapon,100.0,4.0,1.0,ShortRange,1.0,4.0,10.0,12.0,,,,,,,,,,,,,,1
records/creatures/enemies/boss&quest/rokwind_01.dbr,159,NO,special2,specialAttack2SkillName,records/skills/nonplayerskillsgdx3/bossskills/avinnia_gust.dbr,gdx3,Skill_AttackWave,100.0,8.0,3.0,MediumRange,1.0,4.0,10.0,12.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/rokwind_01.dbr,159,NO,special3,specialAttack3SkillName,records/skills/nonplayerskillsgdx3/bossskills/avinnia_tornadoespattern_01.dbr,gdx3,Skill_AttackPattern,100.0,18.0,5.0,LongRange,1.0,4.0,10.0,12.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/rokwind_01.dbr,159,NO,special4,specialAttack4SkillName,records/skills/nonplayerskillsgdx3/bossskills/avinnia_tornadoespattern_02.dbr,gdx3,Skill_AttackPattern,100.0,18.0,15.0,LongRange,1.0,4.0,10.0,12.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/skeletalgolem_stepsoftorment_01.dbr,159,NO,special1,specialAttackSkillName,records/skills/nonplayerskills/buffoffensive/skeletalgolem_boneprison.dbr,base,Skill_AttackBuff,100.0,10.0,5.0,LongRange,1.2999999523162842,4.0,7.0,20.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/skeletalgolem_stepsoftorment_01.dbr,159,NO,special2,specialAttack2SkillName,records/skills/nonplayerskills/bossskills/ilgorr_doublestrike.dbr,base,Skill_AttackWave,100.0,6.0,3.0,ShortRange,1.2999999523162842,4.0,7.0,20.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/skeletalgolem_stepsoftorment_01.dbr,159,NO,special3,specialAttack3SkillName,records/skills/nonplayerskills/bossskills/ilgorr_summonrevenant01.dbr,base,Skill_SpawnPetMonster,100.0,16.0,7.0,AnyRange,1.2999999523162842,4.0,7.0,20.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,160,NO,basic,attackSkillName,records/skills/nonplayerskillsgdx2/bossskills/tombguardian_massiveswipe.dbr,gdx2,Skill_WeaponPool_ChargedFinale,,,,,1.2000000476837158,4.0,6.0,18.0,,,3.0,3,,,,,,,,,,5
records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,160,NO,special1,specialAttackSkillName,records/skills/nonplayerskillsgdx2/bossskills/tombguardian_megapunch.dbr,gdx2,Skill_AttackWeapon,100.0,8.0,2.0,ShortRange,1.2000000476837158,4.0,6.0,18.0,,,,,,,,,,,,,,1
records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,160,NO,special2,specialAttack2SkillName,records/skills/nonplayerskillsgdx2/bossskills/tombguardian_doubleswipe.dbr,gdx2,Skill_AttackWave,100.0,6.0,5.0,ShortRange,1.2000000476837158,4.0,6.0,18.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,160,NO,special3,specialAttack3SkillName,records/skills/nonplayerskillsgdx2/bossskills/tombguardian_celestialbreath.dbr,gdx2,Skill_AttackWave,100.0,9.0,2.0,MediumRange,1.2000000476837158,4.0,6.0,18.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,160,NO,special4,specialAttack4SkillName,records/skills/nonplayerskillsgdx2/bossskills/tombguardian_shatteringstomp.dbr,gdx2,Skill_AttackRadius,100.0,11.0,4.0,MediumRange,1.2000000476837158,4.0,6.0,18.0,,,,,,,,,8.0,,,,,
records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,160,NO,special5,specialAttack5SkillName,records/skills/nonplayerskillsgdx2/bossskills/tombguardian_celestialteleport.dbr,gdx2,Skill_AttackRadiusTeleport,100.0,7.0,2.0,LongRange,1.2000000476837158,4.0,6.0,18.0,,,,,,,,,10.0,,,,,
records/creatures/enemies/boss&quest/statue_templeguardian_02.dbr,159,NO,basic,attackSkillName,records/skills/nonplayerskillsgdx2/bossskills/statueminiboss_overwhelmingstrength.dbr,gdx2,Skill_WeaponPool_ChargedScaling,,,,,1.0,4.0,9.0,20.0,,,3.0,3,,,,,,,,,,
records/creatures/enemies/boss&quest/statue_templeguardian_02.dbr,159,NO,special1,specialAttackSkillName,records/skills/nonplayerskillsgdx2/bossskills/statueminiboss_squash.dbr,gdx2,Skill_AttackWeapon,100.0,5.0,2.0,ShortRange,1.0,4.0,9.0,20.0,,,,,,,,,,,,,,1
records/creatures/enemies/boss&quest/statue_templeguardian_02.dbr,159,NO,special2,specialAttack2SkillName,records/skills/nonplayerskillsgdx2/bossskills/statueminiboss_doubleswipe.dbr,gdx2,Skill_AttackWave,100.0,6.0,2.0,ShortRange,1.0,4.0,9.0,20.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/statue_templeguardian_02.dbr,159,NO,special3,specialAttack3SkillName,records/skills/nonplayerskillsgdx2/bossskills/statueminiboss_eldritchstomp.dbr,gdx2,Skill_AttackProjectileRing,100.0,8.0,3.0,MediumRange,1.0,4.0,9.0,20.0,,,,,,,,,,1.5,,,10,
records/creatures/enemies/boss&quest/statue_templeguardian_03.dbr,159,NO,basic,attackSkillName,records/skills/nonplayerskillsgdx2/bossskills/statueminiboss_overwhelmingstrength.dbr,gdx2,Skill_WeaponPool_ChargedScaling,,,,,1.0,4.0,9.0,20.0,,,3.0,3,,,,,,,,,,
records/creatures/enemies/boss&quest/statue_templeguardian_03.dbr,159,NO,special1,specialAttackSkillName,records/skills/nonplayerskillsgdx2/bossskills/statueminiboss_squash.dbr,gdx2,Skill_AttackWeapon,100.0,5.0,2.0,ShortRange,1.0,4.0,9.0,20.0,,,,,,,,,,,,,,1
records/creatures/enemies/boss&quest/statue_templeguardian_03.dbr,159,NO,special2,specialAttack2SkillName,records/skills/nonplayerskillsgdx2/bossskills/statueminiboss_doubleswipe.dbr,gdx2,Skill_AttackWave,100.0,6.0,2.0,ShortRange,1.0,4.0,9.0,20.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/statue_templeguardian_03.dbr,159,NO,special3,specialAttack3SkillName,records/skills/nonplayerskillsgdx2/bossskills/statueminiboss_eldritchstomp.dbr,gdx2,Skill_AttackProjectileRing,100.0,8.0,3.0,MediumRange,1.0,4.0,9.0,20.0,,,,,,,,,,1.5,,,10,
records/creatures/enemies/boss&quest/stonegryphon_templeguardian_01.dbr,159,NO,special1,specialAttackSkillName,records/skills/nonplayerskillsgdx2/bossskills/inashkor_soulclaws.dbr,gdx2,Skill_AttackWeapon,100.0,3.0,1.0,ShortRange,1.149999976158142,3.0,7.0,20.0,,,,,,,,,,,,,,1
records/creatures/enemies/boss&quest/stonegryphon_templeguardian_01.dbr,159,NO,special2,specialAttack2SkillName,records/skills/nonplayerskillsgdx2/bossskills/inashkor_aetherbreath.dbr,gdx2,Skill_AttackWave,100.0,6.0,3.0,MediumRange,1.149999976158142,3.0,7.0,20.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/stonegryphon_templeguardian_01.dbr,159,NO,special3,specialAttack3SkillName,records/skills/nonplayerskillsgdx2/bossskills/inashkor_avalanche.dbr,gdx2,Skill_BuffAttackRadiusDrop,100.0,9.0,5.0,AnyRange,1.149999976158142,3.0,7.0,20.0,,12.0,,,,,,,8.0,1.600000023841858,25.0,10.0,6,
records/creatures/enemies/boss&quest/wendigo_ancient_namadea.dbr,159,NO,special1,specialAttackSkillName,records/skills/nonplayerskillsgdx1/bossskills/wendigoancient_tripleswipe.dbr,gdx1,Skill_AttackWeapon,100.0,5.0,2.0,ShortRange,1.2000000476837158,4.0,10.0,22.0,,,,,,,,,,,,,,1
records/creatures/enemies/boss&quest/wendigo_ancient_namadea.dbr,159,NO,special2,specialAttack2SkillName,records/skills/nonplayerskillsgdx1/bossskills/wendigoancient_bonepath.dbr,gdx1,Skill_AttackWave,100.0,7.0,4.0,MediumRange,1.2000000476837158,4.0,10.0,22.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/wendigo_ancient_namadea.dbr,159,NO,special3,specialAttack3SkillName,records/skills/nonplayerskillsgdx1/bossskills/wendigoancient_ram.dbr,gdx1,Skill_AttackWeapon,100.0,5.0,0.0,ShortRange,1.2000000476837158,4.0,10.0,22.0,,,,,,,,,,,,,,1
records/creatures/enemies/boss&quest/wendigo_ancient_namadea.dbr,159,NO,special4,specialAttack4SkillName,records/skills/nonplayerskillsgdx1/bossskills/wendigoancient_soulwell.dbr,gdx1,Skill_AttackProjectileAreaEffect,100.0,4.0,2.0,LongRange,1.2000000476837158,4.0,10.0,22.0,2.0,6.0,,,,,,,,2.5,,,,
records/creatures/enemies/boss&quest/wendigo_ancient_namadea.dbr,159,NO,special5,specialAttack5SkillName,records/skills/nonplayerskillsgdx1/bossskills/wendigoancient_summonwraith.dbr,gdx1,Skill_SpawnPet,100.0,16.0,8.0,AnyRange,1.2000000476837158,4.0,10.0,22.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/witchgod_finalboss.dbr,159,NO,special1,specialAttackSkillName,records/skills/nonplayerskills/bossskills/witchgodguardian_sentinel_eldritchbreath.dbr,base,Skill_AttackWave,100.0,6.0,2.0,ShortRange,1.0,7.0,9.0,18.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/witchgod_finalboss.dbr,159,NO,special2,specialAttack2SkillName,records/skills/nonplayerskills/bossskills/witchgodguardian_sentinel_earthring.dbr,base,Skill_AttackProjectileRing,100.0,6.0,5.0,MediumRange,1.0,7.0,9.0,18.0,,,,,,,,,,0.10000000149011612,,,6,
records/creatures/enemies/boss&quest/witchgod_finalboss.dbr,159,NO,special3,specialAttack3SkillName,records/skills/nonplayerskills/bossskills/witchgodguardian_sentinel_eldritchrain.dbr,base,Skill_BuffAttackRadiusDrop,100.0,10.0,7.0,AnyRange,1.0,7.0,9.0,18.0,,16.0,,,,,,,15.0,1.7999999523162842,18.0,18.0,5,
records/creatures/enemies/boss&quest/witchgod_finalboss.dbr,159,NO,special4,specialAttack4SkillName,records/skills/nonplayerskills/bossskills/witchgodguardian_sentinel_summonbeacon.dbr,base,Skill_SpawnPetMonster,100.0,15.0,10.0,AnyRange,1.0,7.0,9.0,18.0,,,,,,,,,,,,,,
records/creatures/enemies/boss&quest/witchgod_finalboss.dbr,159,NO,special5,specialAttack5SkillName,records/skills/nonplayerskills/bossskills/witchgodguardian_sentinel_eldritchblast.dbr,base,Skill_AttackRadius,90.0,15.0,12.0,MediumRange,1.0,7.0,9.0,18.0,,,,,,,,,10.0,,,,,
records/creatures/enemies/boss&quest/yeti_rimehorn_01.dbr,159,NO,special1,specialAttackSkillName,records/skills/nonplayerskillsgdx3/bossskills/rimehorn_leap.dbr,gdx3,Skill_AttackRadiusLeap,100.0,10.0,2.0,LongRange,1.0,8.0,10.0,12.0,,,,,,,,,6.0,,,,,
records/creatures/enemies/boss&quest/yeti_rimehorn_01.dbr,159,NO,special2,specialAttack2SkillName,records/skills/nonplayerskillsgdx3/bossskills/rimehorn_groundpound.dbr,gdx3,Skill_AttackProjectileRing,100.0,12.0,5.0,ShortRange,1.0,8.0,10.0,12.0,,,,,,,,,,,,,8,
records/creatures/enemies/hero/wendigocannibal_h01.dbr,160,NO,special1,specialAttackSkillName,records/skills/nonplayerskillsgdx1/attackmelee/wendigocannibal_hungeringswipe.dbr,gdx1,Skill_AttackWeapon,100.0,4.0,0.0,ShortRange,1.0,4.0,10.0,20.0,,,,,,,,,,,,,,1
records/creatures/enemies/hero/wendigocannibal_h01.dbr,160,NO,special2,specialAttack2SkillName,records/skills/nonplayerskillsgdx1/buffoffensive/wendigocannibal_bloodlink.dbr,gdx1,Skill_AttackBuff,100.0,9.0,2.0,ShortRange,1.0,4.0,10.0,20.0,,,,,,,,,,,,,,
records/creatures/enemies/hero/wendigocannibal_h01.dbr,160,NO,special3,specialAttack3SkillName,records/skills/nonplayerskills/heroskills/charnarion_firestorm.dbr,base,Skill_AttackProjectileDrop,100.0,5.0,0.0,AnyRange,1.0,4.0,10.0,20.0,,,,,,,,,8.0,1.5,20.0,10.0,,
records/creatures/enemies/hero/wendigocannibal_h01.dbr,160,NO,special4,specialAttack4SkillName,records/skills/nonplayerskills/heroskills/charrus_flamebarrage.dbr,base,Skill_AttackProjectileRing,100.0,4.0,0.0,MediumRange,1.0,4.0,10.0,20.0,,,,,,,,,,1.5,,,16,
records/creatures/enemies/hero/wendigocannibal_h02.dbr,160,NO,special1,specialAttackSkillName,records/skills/nonplayerskillsgdx1/attackmelee/wendigocannibal_hungeringswipe.dbr,gdx1,Skill_AttackWeapon,100.0,4.0,0.0,ShortRange,1.0,4.0,10.0,20.0,,,,,,,,,,,,,,1
records/creatures/enemies/hero/wendigocannibal_h02.dbr,160,NO,special2,specialAttack2SkillName,records/skills/nonplayerskillsgdx1/buffoffensive/wendigocannibal_bloodlink.dbr,gdx1,Skill_AttackBuff,100.0,9.0,2.0,ShortRange,1.0,4.0,10.0,20.0,,,,,,,,,,,,,,
records/creatures/enemies/hero/wendigocannibal_h02.dbr,160,NO,special3,specialAttack3SkillName,records/skills/nonplayerskills/heroskills/aldanar_vitalitynova.dbr,base,Skill_AttackProjectileRing,100.0,7.0,3.0,ShortRange,1.0,4.0,10.0,20.0,,,,,,,,,,,,,16,
records/creatures/enemies/hero/wendigocannibal_h02.dbr,160,NO,special4,specialAttack4SkillName,records/skills/nonplayerskills/heroskills/baldim_chaoswave.dbr,base,Skill_AttackProjectileRing,100.0,6.0,2.0,MediumRange,1.0,4.0,10.0,20.0,,,,,,,,,,1.5,,,8,
records/creatures/enemies/hero/wendigocannibal_h02.dbr,160,NO,special5,specialAttack5SkillName,records/skills/nonplayerskills/heroskills/ordarion_chaosblink.dbr,base,Skill_AttackWeaponBlink,100.0,5.0,1.0,LongRange,1.0,4.0,10.0,20.0,,,,,,,,,,,,,,1
records/creatures/enemies/hero/wendigocannibal_h03.dbr,160,NO,special1,specialAttackSkillName,records/skills/nonplayerskillsgdx1/attackmelee/wendigocannibal_hungeringswipe.dbr,gdx1,Skill_AttackWeapon,100.0,4.0,0.0,ShortRange,1.0,4.0,10.0,20.0,,,,,,,,,,,,,,1
