t_s,colour,area,cx,cy,ground_r_px
864.05,green,361,1726.8,383.9,771.4
864.05,green,72,1664.8,386.3,709.3
864.05,green,1630,1615.8,424.5,655.9
864.05,green,352,1752.5,401.3,794.1
864.05,green,287,440.8,415.7,519.8
864.05,green,43,1732.1,411.9,772.8
864.05,green,56,1666.9,426.3,706.9
864.05,green,84,945.8,422.0,19.3
864.05,green,1923,1686.1,466.7,729.5
864.05,green,47,1658.1,443.1,698.6
864.05,green,42,1719.9,445.2,760.5
864.05,green,607,1738.5,474.6,783.1
864.05,green,319,1406.2,488.9,460.0
864.05,green,95,440.5,541.9,560.4
864.05,green,167,461.9,552.9,548.9
864.05,green,188,386.5,566.4,628.0
864.05,green,78,358.8,567.9,654.5
864.05,green,167,1076.3,625.3,383.5
864.05,green,47,675.1,619.9,455.5
864.05,green,57,1248.9,633.7,478.3
864.05,green,178,1223.7,641.2,475.1
864.05,green,177,1145.2,649.3,450.1
864.05,green,304,1415.1,650.5,614.2
864.05,green,46,742.7,650.4,466.0
864.05,green,80,1164.8,669.5,492.4
864.05,green,123,354.2,674.7,759.2
864.05,green,583,1071.4,684.1,487.9
864.05,green,418,1124.9,683.7,502.1
864.05,green,80,1101.3,690.7,507.3
864.05,green,212,1081.9,700.6,520.3
864.05,green,49,1134.0,701.7,536.7
864.05,green,51,1103.4,717.1,555.3
864.05,green,44,421.2,728.6,775.6
864.05,green,292,1339.4,810.1,804.7
864.05,green,163,1174.3,937.9,971.7
864.05,green,301,723.2,970.6,1036.0
864.05,green,104,404.7,973.6,1156.3
864.05,green,160,378.4,991.3,1197.7
864.05,green,79,1219.9,1002.9,1099.8
864.05,green,50,1209.7,998.8,1090.1
864.05,green,571,1277.1,1003.4,1115.6
864.05,green,204,1289.3,1027.6,1162.2
864.0667,cyan,769,584.7,368.7,391.8
864.0667,cyan,62,684.5,555.8,362.8
864.0667,cyan,729,1264.5,650.8,513.1
864.0667,cyan,82,281.7,687.4,831.7
864.0667,cyan,76,334.1,698.8,802.5
864.0667,cyan,194,308.8,697.3,820.8
864.0667,cyan,302,882.2,700.5,511.6
864.0667,cyan,740,892.5,752.3,605.8
864.0667,cyan,711,615.7,843.6,845.4
864.0667,cyan,132,1194.7,855.9,828.9
864.0667,cyan,62,915.1,877.2,835.8
864.0667,cyan,817,372.3,953.2,1139.3
864.0667,cyan,1931,1287.8,983.6,1083.5
864.0667,cyan,47,1134.1,996.8,1071.6
864.0667,cyan,51,1109.9,1003.9,1081.0
864.0667,cyan,71,1125.0,1009.5,1093.6
864.0667,cyan,41,1145.0,1008.4,1094.7
864.0667,green,367,10.1,167.4,1067.5
864.0667,green,603,61.3,185.7,1006.4
864.0667,green,55,1487.1,171.5,712.6
864.0667,green,539,53.7,296.2,939.5
864.0667,green,321,145.1,322.8,838.6
864.0667,green,48,80.0,317.1,904.4
864.0667,green,2842,45.6,367.0,921.7
864.0667,green,57,1669.0,358.5,721.0
864.0667,green,340,1730.2,385.5,774.4
864.0667,green,47,1667.7,384.5,712.5
864.0667,green,1041,1609.6,422.8,649.7
864.0667,green,315,1755.2,402.5,796.8
864.0667,green,206,1644.4,425.2,684.4
864.0667,green,316,448.2,419.8,512.1
864.0667,green,157,957.5,424.0,9.6
864.0667,green,1568,1689.5,470.1,733.5
864.0667,green,55,1660.7,444.9,701.4
864.0667,green,71,1681.6,449.8,722.7
864.0667,green,319,1743.3,472.9,787.5
864.0667,green,43,1609.8,457.5,652.0
864.0667,green,378,1402.4,491.9,457.7
864.0667,green,68,444.2,546.0,559.9
864.0667,green,182,462.5,555.0,550.1
864.0667,green,294,399.9,568.7,617.5
864.0667,green,186,1078.1,627.5,388.0
864.0667,green,41,677.4,622.8,458.3
864.0667,green,188,1226.2,643.6,480.2
864.0667,green,131,1150.1,651.4,455.7
864.0667,green,414,1408.5,650.4,609.2
864.0667,green,51,744.0,652.8,469.4
864.0667,green,52,1061.4,653.3,429.8
864.0667,green,78,1167.1,672.1,497.8
864.0667,green,130,357.3,678.7,761.3
864.0667,green,604,1073.5,686.5,492.7
864.0667,green,44,376.2,679.2,747.0
864.0667,green,71,1150.3,679.1,503.1
864.0667,green,313,1121.1,688.5,509.4
864.0667,green,85,1103.2,692.8,511.6
864.0667,green,211,1084.5,703.3,525.7
864.0667,green,45,1135.9,704.1,541.7
864.0667,green,49,1105.1,719.7,560.5
864.0667,green,106,438.0,724.5,758.5
864.0667,green,42,423.4,732.5,779.3
864.0667,green,397,1331.9,807.1,796.4
864.0667,green,88,1164.3,920.8,938.4
864.0667,green,129,1175.6,939.7,975.1
864.0667,green,373,726.3,967.5,1029.7
864.0667,green,109,406.9,977.8,1162.1
864.0667,green,145,384.0,993.0,1197.9
864.0667,green,79,1219.9,1002.9,1099.8
864.0667,green,50,1209.7,998.8,1090.1
864.0667,green,572,1277.2,1003.4,1115.7
864.0667,green,201,1289.5,1027.4,1162.0
864.0833,cyan,827,585.8,370.1,389.9
864.0833,cyan,43,693.1,568.9,373.0
864.0833,cyan,721,1265.7,653.0,517.2
864.0833,cyan,63,282.2,692.0,836.2
864.0833,cyan,95,334.2,702.3,806.6
864.0833,cyan,194,310.2,699.5,822.2
864.0833,cyan,231,882.7,702.9,515.8
864.0833,cyan,635,893.8,756.0,612.5
864.0833,cyan,699,616.7,846.7,850.2
864.0833,cyan,126,1195.6,858.2,833.3
864.0833,cyan,73,916.8,888.1,856.0
864.0833,cyan,40,366.4,928.6,1103.7
864.0833,cyan,761,374.0,956.9,1144.5
864.0833,cyan,1937,1287.8,983.6,1083.6
864.0833,cyan,97,1138.9,1003.5,1084.7
864.0833,cyan,81,1125.8,1011.2,1096.8
864.0833,green,110,5.7,171.6,1067.9
864.0833,green,55,1487.1,171.5,712.6
864.0833,green,111,77.7,196.8,982.6
864.0833,green,252,58.0,290.7,938.0
864.0833,green,195,48.6,308.1,938.8
864.0833,green,68,79.7,317.8,904.3
864.0833,green,259,144.8,324.2,838.2
864.0833,green,958,74.1,357.9,895.7
864.0833,green,1344,24.8,382.7,939.1
864.0833,green,42,1669.2,384.0,714.1
864.0833,green,203,1729.9,386.6,773.9
864.0833,green,1061,1610.0,423.8,650.0
864.0833,green,176,1753.2,403.3,794.6
864.0833,green,230,1650.7,433.4,690.7
864.0833,green,137,442.2,421.4,518.0
864.0833,green,105,467.1,426.0,493.0
864.0833,green,154,958.1,426.0,5.9
864.0833,green,88,1696.1,440.4,736.4
864.0833,green,624,1686.7,468.9,730.5
864.0833,green,40,1610.4,458.7,652.7
864.0833,green,108,1744.1,472.8,788.4
864.0833,green,348,1702.7,492.7,752.1
864.0833,green,45,1746.0,489.4,794.0
864.0833,green,212,1407.8,493.5,463.6
864.0833,green,105,1382.8,496.1,440.9
864.0833,green,230,466.8,559.3,549.7
864.0833,green,119,418.2,569.8,601.9
864.0833,green,115,390.1,572.3,629.4
864.0833,green,217,1078.7,629.3,391.4
864.0833,green,50,677.7,625.3,461.9
864.0833,green,189,1226.8,645.9,484.1
864.0833,green,127,1151.3,653.1,459.1
864.0833,green,155,1388.9,647.7,591.5
864.0833,green,170,1416.8,655.1,621.2
864.0833,green,55,1063.0,655.2,433.6
864.0833,green,53,745.0,655.6,473.5
864.0833,green,82,1168.1,674.7,502.6
864.0833,green,463,1068.7,689.9,497.9
864.0833,green,83,1094.8,680.4,487.1
864.0833,green,47,377.3,681.8,749.0
864.0833,green,83,1150.0,682.3,508.5
864.0833,green,287,1121.7,690.4,513.0
864.0833,green,46,1094.6,692.8,509.4
864.0833,green,81,1104.0,695.2,516.2
864.0833,green,210,1085.1,705.7,530.2
864.0833,green,49,1137.0,706.6,546.4
864.0833,green,49,1105.9,722.3,565.3
864.0833,green,86,440.9,727.0,759.9
864.0833,green,138,1314.7,798.6,774.4
864.0833,green,124,1341.5,815.6,814.8
864.0833,green,115,1161.8,919.0,934.5
864.0833,green,42,915.4,931.9,937.5
864.0833,green,44,1175.4,941.3,978.0
864.0833,green,179,734.0,951.5,998.9
864.0833,green,94,407.8,981.2,1167.2
864.0833,green,96,724.5,983.2,1058.6
864.0833,green,79,1219.9,1002.9,1099.8
864.0833,green,50,1209.7,998.8,1090.1
864.0833,green,571,1277.2,1003.4,1115.7
864.0833,green,200,1289.4,1027.4,1162.0
864.1,cyan,836,584.5,371.5,390.5
864.1,cyan,736,1266.2,655.7,521.5
864.1,cyan,76,283.0,694.9,838.8
864.1,cyan,204,309.9,703.5,827.0
864.1,cyan,91,335.1,705.7,809.9
864.1,cyan,140,883.0,705.6,520.8
864.1,cyan,710,894.0,760.7,621.2
864.1,cyan,738,617.0,849.9,855.6
864.1,cyan,136,1196.1,861.6,839.4
864.1,cyan,340,371.7,940.9,1120.2
864.1,cyan,431,376.0,974.4,1171.5
864.1,cyan,1961,1288.0,983.4,1083.2
864.1,cyan,88,1139.1,1006.9,1091.0
864.1,cyan,70,1125.8,1014.5,1102.9
864.1,green,107,3.6,172.2,1069.3
864.1,green,55,1487.1,171.5,712.6
864.1,green,42,876.3,205.4,424.7
864.1,green,237,59.6,293.1,935.3
864.1,green,210,48.3,309.3,938.6
864.1,green,307,145.2,326.2,837.0
864.1,green,792,74.3,361.6,894.6
864.1,green,142,23.1,352.7,947.6
864.1,green,492,33.6,373.2,932.2
864.1,green,61,53.2,373.0,912.7
864.1,green,74,1729.6,388.6,773.3
864.1,green,506,12.1,403.8,949.1
864.1,green,1029,1608.5,427.2,648.5
864.1,green,110,1754.0,405.9,795.2
864.1,green,155,1654.0,438.5,694.2
864.1,green,118,442.9,424.1,517.1
864.1,green,109,467.1,428.7,492.9
864.1,green,140,954.9,428.8,5.1
864.1,green,439,1693.2,468.7,736.9
864.1,green,336,1703.0,493.8,752.8
864.1,green,162,1407.3,496.0,464.4
864.1,green,122,1383.4,499.1,443.1
864.1,green,300,469.5,563.4,550.7
864.1,green,120,419.0,573.1,603.8
864.1,green,49,385.8,575.9,636.1
864.1,green,201,1078.6,631.9,396.0
864.1,green,47,677.5,627.6,465.4
864.1,green,221,1227.3,648.9,489.0
864.1,green,177,1389.6,650.9,596.1
864.1,green,85,1205.3,653.0,484.0
864.1,green,88,1151.5,655.3,462.9
864.1,green,121,1414.6,657.5,622.7
864.1,green,65,1063.8,657.4,437.8
864.1,green,51,745.1,658.4,478.2
864.1,green,82,1168.8,677.8,508.1
864.1,green,543,1073.0,691.5,501.6
864.1,green,54,376.9,684.8,752.9
864.1,green,72,1150.9,685.4,514.3
864.1,green,285,1121.9,693.2,517.9
864.1,green,46,1094.6,696.0,515.1
864.1,green,80,1104.0,698.5,522.1
864.1,green,207,1085.0,708.7,535.7
864.1,green,49,1137.3,709.7,552.0
864.1,green,43,1106.2,725.5,571.2
864.1,green,88,441.8,730.8,764.5
864.1,green,150,1314.6,802.1,780.1
864.1,green,71,1344.8,821.1,825.4
864.1,green,126,1162.0,922.6,941.0
864.1,green,131,733.9,953.4,1002.4
864.1,green,95,408.9,984.5,1172.0
864.1,green,79,1219.9,1002.9,1099.8
864.1,green,50,1209.7,998.8,1090.1
864.1,green,576,1277.4,1003.4,1115.8
864.1,green,194,1289.8,1027.3,1162.0
864.1167,cyan,847,586.6,373.2,387.6
864.1167,cyan,109,710.4,573.4,367.0
864.1167,cyan,712,1270.9,660.2,531.1
864.1167,cyan,81,287.4,698.8,839.5
864.1167,cyan,101,339.6,708.3,809.6
864.1167,cyan,229,313.7,707.7,828.9
864.1167,cyan,232,896.0,742.8,587.8
864.1167,cyan,466,901.2,783.3,662.4
864.1167,cyan,747,621.5,854.3,861.3
864.1167,cyan,131,1200.3,866.0,848.5
864.1167,cyan,348,377.2,945.3,1124.3
864.1167,cyan,1953,1288.0,983.3,1083.2
864.1167,cyan,403,379.8,979.0,1177.1
864.1167,cyan,86,1142.3,1009.6,1096.5
864.1167,green,55,1487.1,171.5,712.6
864.1167,green,231,4.7,180.6,1061.4
864.1167,green,107,879.6,213.1,410.0
864.1167,green,42,56.9,292.6,938.2
864.1167,green,183,49.9,311.3,936.1
864.1167,green,280,149.0,327.9,832.6
864.1167,green,40,10.5,331.9,966.6
864.1167,green,650,79.3,368.4,887.9
864.1167,green,170,25.0,355.2,945.1
864.1167,green,410,35.4,374.3,930.1
864.1167,green,55,56.5,375.6,909.0
864.1167,green,42,1738.0,393.6,780.7
864.1167,green,598,12.6,405.8,948.4
864.1167,green,987,1611.3,431.9,651.3
864.1167,green,76,1760.9,409.9,801.7
864.1167,green,68,446.8,427.2,513.2
864.1167,green,164,475.8,433.2,484.3
864.1167,green,169,961.8,430.8,3.8
864.1167,green,236,1703.9,466.6,747.2
864.1167,green,50,1687.4,489.4,736.0
864.1167,green,318,1708.2,496.6,758.7
864.1167,green,59,1408.1,499.1,466.7
864.1167,green,172,1384.4,502.9,446.2
864.1167,green,40,473.4,567.2,550.4
864.1167,green,110,487.8,573.2,543.3
864.1167,green,172,428.4,576.3,598.3
864.1167,green,130,1082.7,633.0,399.2
864.1167,green,218,1390.4,654.2,601.0
864.1167,green,46,1226.1,654.3,496.8
864.1167,green,114,1207.1,657.7,492.3
864.1167,green,87,1155.8,659.7,472.1
864.1167,green,56,1418.7,660.8,629.8
864.1167,green,59,1068.5,661.3,446.0
864.1167,green,60,749.0,662.5,483.4
864.1167,green,83,1173.9,681.8,517.0
864.1167,green,535,1077.2,695.3,509.5
864.1167,green,65,1154.6,689.9,523.4
864.1167,green,268,1126.5,697.3,526.6
864.1167,green,40,1099.5,700.0,523.6
864.1167,green,65,1108.6,702.9,531.3
864.1167,green,202,1089.8,712.9,544.4
864.1167,green,41,1141.8,714.0,561.0
864.1167,green,44,1110.9,729.6,579.7
864.1167,green,84,446.1,734.9,767.2
864.1167,green,155,1318.8,806.2,788.8
864.1167,green,48,1350.0,826.7,837.0
864.1167,green,172,1165.1,925.2,946.5
864.1167,green,120,742.9,948.9,992.2
864.1167,green,79,1219.9,1002.9,1099.8
864.1167,green,50,1209.7,998.8,1090.1
864.1167,green,567,1277.1,1003.4,1115.6
864.1167,green,199,1289.8,1027.1,1161.6
864.1333,cyan,809,590.2,375.5,383.0
864.1333,cyan,134,723.2,575.7,361.6
864.1333,cyan,47,1218.1,576.7,377.1
864.1333,cyan,718,1274.9,663.9,539.0
864.1333,cyan,76,291.5,704.0,842.1
864.1333,cyan,229,316.7,711.2,830.7
864.1333,cyan,101,342.5,713.4,813.6
864.1333,cyan,172,899.7,745.3,592.0
864.1333,cyan,440,905.2,787.7,670.3
864.1333,cyan,754,624.8,858.3,866.9
864.1333,cyan,131,1204.5,870.7,858.0
864.1333,cyan,264,384.3,946.6,1122.7
864.1333,cyan,488,379.5,979.7,1178.4
864.1333,cyan,1964,1288.1,983.3,1083.1
864.1333,cyan,73,1143.8,1013.0,1103.0
864.1333,cyan,42,1123.1,1016.5,1106.2
864.1333,green,55,1487.1,171.5,712.6
864.1333,green,255,5.9,181.6,1059.5
864.1333,green,58,80.3,202.8,975.3
864.1333,green,133,883.7,217.8,400.6
864.1333,green,46,4.5,276.1,997.0
864.1333,green,199,51.3,313.0,934.1
864.1333,green,294,151.7,329.5,829.2
864.1333,green,43,12.7,333.5,963.9
864.1333,green,520,32.4,366.2,934.9
864.1333,green,636,82.3,372.1,884.1
864.1333,green,166,1703.0,372.1,750.6
864.1333,green,48,58.5,377.8,906.6
864.1333,green,49,41.8,387.5,921.5
864.1333,green,648,12.5,408.9,948.2
864.1333,green,58,1744.2,398.2,786.3
864.1333,green,892,1615.0,437.6,655.2
864.1333,green,227,482.4,437.2,477.8
864.1333,green,206,961.9,432.0,5.9
864.1333,green,55,4.1,439.8,956.1
864.1333,green,224,1709.3,469.7,753.1
864.1333,green,305,1713.3,499.6,764.7
864.1333,green,233,1383.0,507.6,447.6
864.1333,green,41,476.6,570.4,550.4
864.1333,green,106,490.5,576.5,543.9
864.1333,green,244,435.8,579.6,594.5
864.1333,green,149,1086.5,638.2,409.6
864.1333,green,299,1389.2,657.5,604.4
864.1333,green,104,1210.7,661.8,500.8
864.1333,green,99,1159.5,664.2,481.3
864.1333,green,51,1072.7,665.5,454.6
864.1333,green,45,753.3,666.2,487.6
864.1333,green,83,1177.9,685.8,525.6
864.1333,green,529,1080.7,699.7,518.3
864.1333,green,65,1158.6,693.9,531.9
864.1333,green,264,1130.6,701.3,535.0
864.1333,green,68,1112.6,707.1,539.9
864.1333,green,203,1094.0,717.0,552.9
864.1333,green,46,1145.7,718.7,570.6
864.1333,green,43,1114.9,733.8,588.3
864.1333,green,91,449.6,738.7,770.1
864.1333,green,84,1304.4,798.2,769.0
864.1333,green,156,1322.5,810.8,798.1
864.1333,green,272,1165.6,924.6,945.6
864.1333,green,137,749.0,947.9,989.1
864.1333,green,79,1219.9,1002.9,1099.8
864.1333,green,50,1209.7,998.8,1090.1
864.1333,green,570,1277.2,1003.4,1115.7
864.1333,green,196,1289.9,1027.0,1161.5
864.15,cyan,857,593.8,379.1,377.8
