t_s,fire_red,chaos_magenta,vit_green,frost_blue,light_yellow,aether_teal,green_r0_60,sat_r0_60,green_r60_120,sat_r60_120,green_r120_200,sat_r120_200,green_r200_300,sat_r200_300,green_r300_450,sat_r300_450,green_r450_650,sat_r450_650,plates,ring_plates,boss_banner,boss_txt_px
862.2333,0.02018326,0.0017636,0.01204765,0.00876736,0.00444493,0.00164738,0.01958848,0.22831276,0.00197542,0.10343503,0.00189894,0.10923533,0.01390733,0.1110571,0.00075876,0.10547781,0.0,0.06833883,6,1,0,895
862.25,0.01827016,0.00189525,0.01190394,0.00879099,0.00440008,0.00172502,0.02041152,0.27160494,0.00307287,0.1010755,0.00020842,0.10258904,0.01442901,0.0962487,0.0007851,0.11115268,0.0,0.06733381,7,1,0,896
862.2667,0.01849489,0.00184172,0.01153742,0.00869213,0.00464988,0.00178964,0.02139918,0.30024691,0.0,0.10870281,0.00064842,0.11296373,0.014512,0.10001897,0.00101168,0.10979324,8.08e-06,0.06529951,7,1,0,896
862.2833,0.0198071,0.00178434,0.01119888,0.00857398,0.00463493,0.00179061,0.021893,0.23703704,0.00109745,0.14431519,0.00041684,0.11810477,0.01476098,0.10188039,0.00104856,0.11400856,0.0,0.06500851,7,1,0,899
862.3,0.02003183,0.0018287,0.0110489,0.00851514,0.00485147,0.00184655,0.02205761,0.1762963,0.0,0.11978709,0.00030105,0.11064796,0.01522337,0.11661766,0.00120663,0.11703832,0.0,0.06338916,7,1,0,898
862.3167,0.01950858,0.00176312,0.01073929,0.00863329,0.00464603,0.00192226,0.02024691,0.16296296,0.0,0.08839991,0.00020842,0.09997221,0.01563834,0.10866215,0.00115394,0.12099545,0.0,0.06164587,7,1,0,898
862.3333,0.01835311,0.00166667,0.01070313,0.0088966,0.00460359,0.0020298,0.0217284,0.11473251,0.00175593,0.10524583,0.00034737,0.0920754,0.0173812,0.10308973,0.0012646,0.12140644,8.08e-06,0.05928016,7,1,0,892
862.35,0.0187553,0.00156588,0.01070554,0.00911989,0.00466098,0.00203993,0.0217284,0.09382716,0.00065847,0.11139157,9.263e-05,0.08545227,0.0171915,0.10764251,0.00116448,0.12852506,5.39e-06,0.05973551,7,1,0,893
862.3667,0.01862317,0.00152874,0.01014998,0.00919078,0.00505015,0.00203318,0.02156379,0.0982716,0.0,0.11243415,6.947e-05,0.08799963,0.01773689,0.11264583,0.00100114,0.13103317,0.0,0.05852033,8,1,0,893
862.3833,0.01886478,0.00146123,0.00991512,0.0091657,0.00533854,0.00206067,0.02139918,0.10205761,0.0,0.1065079,0.0006021,0.09469223,0.01803329,0.11294224,0.0009906,0.13524322,0.0,0.05774433,7,1,0,894
862.4,0.01859423,0.00146798,0.00991609,0.00920235,0.00516011,0.00198302,0.02139918,0.09349794,0.00214004,0.09575285,0.0020842,0.10106063,0.01804515,0.10267476,0.00100114,0.13494815,0.0,0.05653723,8,1,0,892
862.4167,0.01825714,0.00146316,0.00981337,0.00927373,0.00470438,0.00205392,0.02139918,0.08329218,0.00982221,0.10156936,0.00171368,0.1036543,0.01962202,0.09994783,0.00105383,0.13231358,0.0,0.05617887,8,1,0,893
862.4333,0.01781154,0.0014294,0.00967641,0.0092554,0.004606,0.00204282,0.02139918,0.08115226,0.00636523,0.09690518,0.00270946,0.10631745,0.02021483,0.09551361,0.00115394,0.12850398,0.0,0.05512534,7,1,0,893
862.45,0.01776765,0.00142409,0.00983025,0.00929736,0.00438175,0.00206163,0.02139918,0.08016461,0.0036216,0.09372256,0.00345051,0.10309851,0.0203334,0.08885042,0.0011276,0.12394617,0.0,0.05484243,7,1,0,893
862.4667,0.0176249,0.00141927,0.00978299,0.00935475,0.00439959,0.00216387,0.02222222,0.08016461,0.00488367,0.10019754,0.0059284,0.10110694,0.01985915,0.08835246,0.00110125,0.12182797,0.0,0.05333624,7,1,0,893
862.4833,0.01770448,0.00142072,0.01047164,0.00941165,0.004049,0.00247251,0.02469136,0.07950617,0.01772388,0.12220149,0.00731786,0.11400584,0.02242009,0.10038651,0.00105383,0.12184378,0.0,0.05312608,7,1,0,893
862.5,0.01735677,0.00142313,0.01081067,0.00949942,0.00401669,0.00266831,0.02864198,0.08395062,0.02562555,0.14464442,0.01095364,0.12389422,0.02438822,0.10945651,0.00111706,0.12149075,0.0,0.05186239,8,1,0,893
862.5167,0.01747058,0.00142458,0.01082755,0.00972849,0.0038151,0.00262394,0.02946502,0.09465021,0.02354039,0.14030948,0.00963364,0.12861841,0.02473205,0.11065399,0.00132256,0.12336656,0.0,0.05147709,8,1,0,894
862.5333,0.01732012,0.0013995,0.01099344,0.00971692,0.00381414,0.00243152,0.02386831,0.11325103,0.00932836,0.12362818,0.00947154,0.11083322,0.02407996,0.11342834,0.00179151,0.12012077,1.347e-05,0.04955865,8,1,0,893
862.55,0.01781636,0.00146412,0.01283709,0.00986834,0.0037365,0.002106,0.02139918,0.15028807,0.00949298,0.13109087,0.00664629,0.100088,0.02268093,0.11281182,0.00193378,0.12091114,5.658e-05,0.04877188,8,1,0,892
862.5667,0.01784867,0.00144772,0.01339072,0.0101712,0.00374373,0.00208719,0.02139918,0.17596708,0.00916374,0.13312116,0.00692418,0.10103747,0.02147159,0.11293038,0.00210239,0.12013131,0.00016705,0.04641695,9,1,0,893
862.5833,0.01827305,0.00149643,0.01381366,0.01059124,0.00370611,0.00209587,0.0217284,0.21366255,0.00718832,0.14338235,0.00389051,0.10441851,0.01977615,0.11753059,0.00215508,0.11975193,0.00021555,0.04577298,8,1,0,892
862.6,0.01811777,0.00150367,0.01431086,0.01057051,0.00384886,0.00200714,0.0217284,0.22748971,0.0036216,0.14415057,0.00226946,0.10747534,0.01945604,0.12140757,0.00286115,0.11633225,0.00030986,0.04408088,5,0,0,891
862.6167,0.01850357,0.00162905,0.01501254,0.01062404,0.00365258,0.00183642,0.02337449,0.26205761,0.00038411,0.14958297,0.00247788,0.10335325,0.01864982,0.12762022,0.00348291,0.11628483,0.00028022,0.04274174,6,0,0,891
862.6333,0.01872878,0.00168065,0.0153477,0.01052132,0.00364583,0.00181375,0.02337449,0.24312757,0.0,0.15029631,0.00206104,0.10951322,0.01831784,0.13608555,0.00412047,0.11270708,0.00033141,0.04197653,5,0,0,892
862.65,0.01933208,0.00166377,0.01565201,0.01051215,0.0035653,0.00183353,0.0237037,0.24279835,0.0,0.15139377,0.00085684,0.11669214,0.01978801,0.1475268,0.00454727,0.11054673,0.00034489,0.04192533,8,0,0,891
862.6667,0.01953125,0.00176746,0.01541908,0.01055652,0.00366464,0.00181906,0.0237037,0.25069959,0.0,0.14974759,0.0,0.12850262,0.02141231,0.16391207,0.00509,0.10709543,0.0003853,0.04186336,8,1,0,891
862.6833,0.02091242,0.00178144,0.01483989,0.01067901,0.00355662,0.00179398,0.02337449,0.24592593,0.0,0.17059921,0.00030105,0.14992358,0.02678317,0.18748222,0.00582241,0.10646314,0.00030447,0.04262858,10,1,0,892
862.7,0.02074846,0.00177614,0.0148206,0.01083382,0.00366995,0.00177517,0.02337449,0.25366255,0.0,0.18909131,0.0,0.15219304,0.02834819,0.18473158,0.00682882,0.10320153,0.00035566,0.04228908,10,0,0,890
862.7167,0.0211521,0.00187211,0.01472319,0.01099633,0.00360243,0.00181858,0.02633745,0.24839506,0.0,0.22113696,0.0,0.15650039,0.02610737,0.19112207,0.00961093,0.09990305,0.00033411,0.04288724,8,0,0,895
862.7333,0.02098187,0.00183208,0.01445071,0.01090808,0.00365789,0.00181954,0.02666667,0.22271605,0.0,0.23266023,0.0,0.15969617,0.02140046,0.19946884,0.012314,0.09506597,0.00042572,0.04359049,8,0,0,894
862.75,0.02121721,0.00191647,0.0147772,0.01097126,0.0034973,0.00172743,0.02567901,0.16790123,0.0,0.22514267,0.0,0.17704136,0.01701366,0.21162145,0.01378409,0.09127745,0.00039339,0.04442846,8,0,0,895
862.7667,0.02027922,0.00195554,0.01511478,0.01109423,0.00345149,0.00178916,0.02567901,0.178107,0.0,0.21049166,0.0,0.17866241,0.01559091,0.2014844,0.01574948,0.08710956,0.00051194,0.04520715,8,0,0,896
862.7833,0.01952402,0.00212288,0.01509934,0.011155,0.00326968,0.0017501,0.0255144,0.19061728,0.0,0.17460492,0.0,0.17403085,0.0116428,0.19927914,0.01789403,0.08576592,0.00050116,0.04482184,9,0,0,898
862.8,0.019511,0.00213156,0.01532938,0.01127122,0.00340712,0.0018451,0.02567901,0.21300412,0.0,0.15260097,0.0,0.17669399,0.00857204,0.2125581,0.02019664,0.08514416,0.00054697,0.04553587,9,0,0,898
862.8167,0.02011815,0.00217544,0.01618248,0.01177614,0.00352672,0.00191647,0.03160494,0.37135802,0.0,0.17822651,0.0,0.1936455,0.00748127,0.21492934,0.02253088,0.08813177,0.00068439,0.04911138,8,0,0,909
862.8333,0.02072868,0.00228492,0.01605662,0.0122854,0.00386429,0.00205826,0.03193416,0.24790123,0.0,0.20269974,0.0,0.20784123,0.00704259,0.22552879,0.02613497,0.09016039,0.00055775,0.05437899,10,0,0,127
862.85,0.02088493,0.00174383,0.01683883,0.0120327,0.00382861,0.00196518,0.03193416,0.21399177,0.0,0.20379719,0.0,0.21478857,0.00559613,0.22386892,0.02997618,0.09389622,0.00061972,0.04560592,7,0,0,147
862.8667,0.02498071,0.0017255,0.01853009,0.01199315,0.00398148,0.00192757,0.03160494,0.43654321,0.0,0.24522608,0.0,0.24121162,0.00416153,0.24264915,0.03061902,0.10208974,0.00065475,0.04639539,8,0,0,273
862.8833,0.02852382,0.00162326,0.01884404,0.01169319,0.00411699,0.00187934,0.03160494,0.72921811,0.0,0.42778753,0.0,0.29567876,0.00258465,0.23804894,0.03091936,0.10398664,0.00065205,0.04469521,14,3,0,377
862.9,0.03487751,0.00146653,0.01847849,0.01151669,0.00445216,0.00191599,0.03160494,0.80757202,0.0,0.66472783,0.0,0.41091195,0.00174286,0.25477805,0.02880643,0.10618914,0.00044728,0.04390574,11,0,0,494
862.9167,0.03835166,0.00129678,0.01699026,0.01136719,0.00541811,0.00188657,0.03160494,0.78650206,0.0,0.73886084,0.0,0.46382752,0.00122119,0.26039789,0.01515934,0.09099819,0.00033141,0.0441644,9,1,0,493
862.9333,0.03975405,0.00114873,0.01758247,0.01167872,0.00636574,0.0019348,0.02271605,0.79654321,0.0,0.76102941,0.0,0.50972627,0.00055724,0.26979987,0.01565464,0.0922944,0.00021286,0.04394615,8,0,0,482
862.95,0.04089988,0.00098573,0.01797984,0.0111521,0.00681327,0.00191358,0.01761317,0.80296296,0.0,0.75581651,0.0,0.5448335,0.00042682,0.2804586,0.01650824,0.09310585,0.00026675,0.0402467,8,1,0,428
862.9667,0.04194975,0.00092834,0.01791281,0.01107012,0.00745419,0.00185185,0.03127572,0.82271605,0.0,0.79861721,0.0,0.51387152,0.00028455,0.28239116,0.01590756,0.10088311,0.00034489,0.03915007,8,2,0,384
862.9833,0.04033758,0.00098862,0.01907022,0.01081163,0.00755883,0.00180218,0.03160494,0.78995885,0.0,0.78050922,0.0,0.47695799,0.0001897,0.27099734,0.02248872,0.10930848,0.00054158,0.03579011,6,0,0,268
863.0,0.03811487,0.00104794,0.0204022,0.01064381,0.00639468,0.0019729,0.03160494,0.76493827,0.0,0.70977831,0.0,0.43001714,4.742e-05,0.24909893,0.03761645,0.12598533,0.00060625,0.03306066,7,2,0,227
863.0167,0.03522377,0.0009756,0.01856289,0.01018374,0.00533131,0.00154369,0.02320988,0.60345679,0.0,0.56897498,0.0,0.36621741,0.0,0.25462392,0.01689289,0.11098934,0.00110472,0.03117725,8,2,0,226
863.0333,0.03266927,0.00115162,0.01809172,0.0103178,0.00453414,0.00154851,0.02271605,0.50304527,0.0,0.46510097,2.316e-05,0.3584827,0.0,0.24890923,0.01556506,0.10620495,0.0016436,0.03172961,9,2,0,326
863.05,0.03184751,0.00094473,0.01918981,0.01001254,0.00468364,0.00162375,0.03489712,0.44279835,0.0,0.43909131,0.0,0.35512482,0.0,0.23896187,0.03394385,0.12162248,0.00257318,0.03155447,11,0,0,385
863.0667,0.03669801,0.00084684,0.01916329,0.00971451,0.00581501,0.00156057,0.03522634,0.53481481,0.0,0.53797191,0.0,0.39268677,0.0,0.26709665,0.03224192,0.11892994,0.00345426,0.03426507,11,3,0,347
863.0833,0.04175588,0.00084298,0.01688368,0.00908372,0.00538146,0.00142602,0.0345679,0.66930041,0.0,0.65962467,4.632e-05,0.45921912,0.0,0.29342929,0.01203473,0.10013489,0.00403087,0.03392287,8,3,0,226
863.1,0.04095727,0.00081404,0.01788773,0.00890095,0.00643084,0.0013913,0.03522634,0.68049383,0.0,0.6171532,0.0,0.45028021,0.0,0.29685573,0.01212431,0.09952367,0.00483381,0.03442673,8,0,0,144
863.1167,0.04134259,0.00079234,0.02032793,0.00828704,0.00946759,0.00143084,0.03588477,0.68444444,0.0,0.60431299,0.0,0.46808856,0.0,0.33044437,0.02801606,0.13119125,0.0076926,0.03714002,6,0,0,145
863.1333,0.04220631,0.00081115,0.0210489,0.0078477,0.00994551,0.00134259,0.03555556,0.6763786,0.0,0.61797629,0.0,0.47413274,0.0,0.34185004,0.01927981,0.12332441,0.01004214,0.03899379,6,0,0,144
863.15,0.04252267,0.00080199,0.02019194,0.00754051,0.00787085,0.00136236,0.0345679,0.62403292,0.0,0.59569798,0.0,0.45729702,0.0,0.33353884,0.0067972,0.09683113,0.00939817,0.0381181,7,1,0,143
863.1667,0.04227527,0.00075039,0.02429687,0.00724103,0.01361738,0.00137828,0.03555556,0.54271605,0.0,0.55081212,0.0,0.46260016,0.0,0.35854358,0.02136113,0.15274733,0.01454723,0.04612056,5,0,0,142
863.1833,0.03786699,0.00068432,0.02667197,0.00704668,0.00943625,0.00147087,0.03390947,0.38600823,0.0,0.44167032,0.0,0.40526145,0.0,0.32431471,0.01878978,0.11860325,0.01585942,0.04747047,5,1,0,138
863.2,0.03349585,0.00076389,0.02704041,0.00693432,0.00766059,0.0014593,0.0345679,0.31802469,0.0,0.36419008,0.0,0.37420685,0.0,0.30299725,0.01831029,0.0903132,0.01837332,0.04954249,6,0,0,140
863.2167,0.03056568,0.0009809,0.02667728,0.00689815,0.00673081,0.00146267,0.03325103,0.24592593,0.0,0.31167691,0.0,0.35389746,0.0,0.28931519,0.00914197,0.06387261,0.01899304,0.04863446,7,0,0,140
863.2333,0.02881318,0.00111304,0.02777585,0.00689188,0.00618056,0.00184221,0.03423868,0.18600823,0.0,0.26179763,0.0,0.35822797,0.0,0.28451342,0.01549656,0.0585455,0.02069322,0.05235817,5,0,0,140
863.25,0.02710455,0.00107832,0.02975019,0.00702643,0.00592785,0.0017636,0.03358025,0.16576132,0.0,0.22777656,0.0,0.36003427,0.0,0.28305511,0.02149286,0.05487291,0.025395,0.05537593,7,0,0,139
863.2667,0.02559703,0.0014376,0.0311849,0.00716435,0.00563223,0.00167679,0.02469136,0.15621399,0.0,0.22492318,0.0,0.35500903,0.0,0.28337523,0.02389032,0.05391392,0.02955251,0.05703839,8,0,0,138
863.2833,0.02575424,0.00182195,0.02858893,0.00695361,0.00543596,0.00161699,0.01613169,0.15242798,0.0,0.22217954,0.0,0.36950581,0.0,0.29252822,0.00441555,0.03477111,0.02875496,0.05199172,7,0,0,137
863.3,0.02609761,0.00173852,0.02943673,0.00674431,0.0046277,0.00211323,0.01711934,0.05646091,0.0,0.21976514,0.0,0.35051642,0.0,0.3038509,0.00886798,0.04215845,0.03074884,0.05742908,8,0,0,0
863.3167,0.02708816,0.00125482,0.02998264,0.00663194,0.00465664,0.00195071,0.03555556,0.0763786,0.0,0.22541703,0.0,0.35336483,0.00050982,0.31001612,0.01072272,0.04764364,0.03451295,0.05860924,6,0,0,0
863.3333,0.02651138,0.00137297,0.02809365,0.00656202,0.00430122,0.00162182,0.03555556,0.06699588,0.0,0.23836699,0.0,0.36707424,0.0,0.30824955,0.00330902,0.03931311,0.02790082,0.04619331,10,1,0,0
863.35,0.0272608,0.00149884,0.0287365,0.00637635,0.00460503,0.00196084,0.03522634,0.18106996,0.0,0.25740781,0.0,0.37913946,0.00014227,0.30657782,0.00554841,0.03890739,0.03176733,0.05084928,8,0,0,136
863.3667,0.02817901,0.00148389,0.0277363,0.0068832,0.00425926,0.0022637,0.03555556,0.20411523,0.0,0.23902546,0.0,0.39761938,0.0,0.32162335,0.004953,0.04580997,0.031735,0.051954,9,1,0,136
863.3833,0.02874904,0.00175588,0.02675347,0.00718461,0.00432292,0.00213735,0.03572016,0.22123457,0.0,0.23770852,0.0,0.4064425,0.00036754,0.33949066,0.00344075,0.05022025,0.02919415,0.04525834,8,1,0,137
863.4,0.03009645,0.00185667,0.02556858,0.007636,0.00414448,0.00243104,0.03539095,0.2090535,0.0,0.22492318,0.0,0.4055625,0.00034383,0.35944466,0.00226046,0.05974687,0.02398582,0.03919857,7,0,0,139
863.4167,0.03080488,0.00167004,0.02624807,0.00777633,0.00421248,0.00300637,0.03440329,0.18930041,0.0,0.22442932,0.00113473,0.41049511,0.00042682,0.36275254,0.00316676,0.07054862,0.03172961,0.04954249,6,0,0,141
863.4333,0.03113522,0.00213542,0.02371094,0.00812307,0.00402778,0.00269531,0.03572016,0.14930041,0.0,0.22602063,0.0,0.39935621,0.0,0.36857394,0.00136471,0.08211967,0.02157969,0.03653917,6,0,0,143
863.45,0.0308261,0.00191406,0.02504389,0.00836275,0.004239,0.0028723,0.03572016,0.15654321,0.00115233,0.21982002,0.00326525,0.38886573,0.00139903,0.36263398,0.00260296,0.09154618,0.01565464,0.0308135,7,0,0,144
863.4667,0.03107928,0.0018668,0.02823158,0.00895255,0.00393326,0.00353443,0.03506173,0.1017284,0.0,0.18744513,0.00013895,0.37355843,0.0001897,0.35067106,0.00200228,0.09825907,0.02730266,0.04654089,8,2,0,38
863.4833,0.03076389,0.00244358,0.02652778,0.0091739,0.0041387,0.00335407,0.03720165,0.08757202,0.00257902,0.18799385,0.00215368,0.35107221,0.00197999,0.33453476,0.00167559,0.11189563,0.01781288,0.04710672,8,2,0,874
863.5,0.02914062,0.00151861,0.02702932,0.00857253,0.00373939,0.00335069,0.03506173,0.0727572,0.00021949,0.13125549,0.00157473,0.32840072,0.00131604,0.32137437,0.00130675,0.09597226,0.01629591,0.03344327,5,1,0,879
863.5167,0.02741319,0.00152296,0.02638214,0.00894531,0.00426698,0.00322242,0.03572016,0.058107,0.0,0.1165496,0.0,0.2897272,0.0,0.30447928,0.00051111,0.09910214,0.01366884,0.03458032,7,1,0,880
863.5333,0.02661507,0.00128231,0.02871672,0.00896846,0.00415316,0.00330247,0.03983539,0.05925926,0.00252414,0.1059043,0.00185262,0.26622204,0.00136346,0.30153894,0.0014174,0.0966836,0.01957234,0.04252619,7,1,0,879
863.55,0.02639323,0.00141011,0.02690924,0.00926215,0.00405237,0.0029374,0.03588477,0.07802469,0.0,0.11029412,0.0,0.23861794,7.114e-05,0.29972494,0.00076403,0.08964929,0.01363382,0.0347339,9,1,0,879
863.5667,0.02532311,0.00141493,0.02673852,0.00944252,0.00379147,0.00313899,0.0436214,0.10123457,0.00477392,0.11512291,0.00152841,0.21583067,0.00039125,0.30440814,0.00213927,0.08860599,0.01306799,0.03425429,6,1,0,881
863.5833,0.02447,0.00142506,0.02719088,0.00965181,0.00384211,0.00309414,0.03588477,0.09711934,0.00065847,0.12209175,0.00013895,0.19401603,0.00028455,0.29551598,0.00152278,0.08965982,0.01636597,0.03653378,7,2,0,881
863.6,0.02468171,0.00144531,0.02523872,0.00984954,0.00367091,0.0029485,0.03555556,0.08641975,0.0,0.13932177,0.0,0.16560141,0.00026084,0.30038888,0.00120663,0.08947013,0.01317307,0.0326996,7,1,0,881
863.6167,0.0241059,0.00141348,0.02688416,0.00991512,0.00390095,0.0028125,0.03572016,0.09514403,0.00049385,0.16461809,0.00127368,0.1511741,0.00158873,0.29762639,0.00291384,0.09323758,0.01675666,0.03736905,6,1,0,881
863.6333,0.02429012,0.00133488,0.02586661,0.0104755,0.00373891,0.00279851,0.03539095,0.10979424,0.0,0.17180641,0.0,0.15015516,0.00123305,0.286197,0.00209712,0.0918834,0.01392481,0.03681669,7,1,0,883
863.65,0.0233314,0.00127122,0.02760513,0.01056906,0.00394531,0.00247058,0.03522634,0.12427984,0.00631036,0.15710053,0.00083368,0.1446436,0.00144646,0.2715783,0.00409413,0.09217321,0.01665966,0.04019551,6,1,0,882
863.6667,0.02364101,0.00114969,0.02716869,0.01107591,0.00376157,0.00235388,0.03522634,0.13366255,0.0,0.16149034,0.0,0.13873836,0.0,0.26210519,0.00157021,0.09298993,0.01548489,0.03971051,8,1,0,884
863.6833,0.02316889,0.00105421,0.02584491,0.01116561,0.00387539,0.00229697,0.03374486,0.13679012,0.0,0.16758121,0.0,0.14892779,0.0,0.24390591,0.00128567,0.09431248,0.01485439,0.03980751,9,0,0,884
863.7,0.02351466,0.00104263,0.02622251,0.01162857,0.00369309,0.00221113,0.03358025,0.13201646,0.0,0.18497586,0.0,0.15446251,0.0,0.22905008,0.00059541,0.09822219,0.01556303,0.04275522,8,1,0,884
863.7167,0.02344763,0.00107012,0.02578077,0.01172454,0.00403983,0.00202498,0.03374486,0.12790123,0.0,0.17109306,0.0,0.16124774,0.0,0.20949919,0.0,0.09863318,0.01455262,0.04206544,8,0,0,170
863.7333,0.0230787,0.00107012,0.02555314,0.01177662,0.00395833,0.00194637,0.0327572,0.16921811,0.0,0.17054434,0.0,0.18072345,0.0,0.19830693,0.0,0.09511339,0.0154795,0.04239955,8,0,0,169
863.75,0.02448206,0.00105035,0.02608989,0.01160831,0.00409674,0.0019401,0.03555556,0.20938272,0.0,0.17592186,0.0,0.18732342,0.0,0.21923314,1.054e-05,0.09394891,0.01334821,0.04221633,5,0,0,169
863.7667,0.02999759,0.00093316,0.02568818,0.01100212,0.00420091,0.00196373,0.03489712,0.25580247,0.0,0.19457858,0.0,0.20425177,0.0,0.24309969,0.0,0.11751781,0.01500798,0.05134506,11,0,0,169
863.7833,0.0299865,0.00092882,0.02567033,0.01100502,0.00421971,0.00196518,0.03489712,0.25580247,0.0,0.19457858,0.0,0.20376546,0.0,0.2433131,0.0,0.11751781,0.01493792,0.05182197,11,0,0,169
863.8,0.03370129,0.00097994,0.02518808,0.01087529,0.00482542,0.00195457,0.03555556,0.31127572,0.0,0.21636304,0.0,0.22988745,0.0,0.25780138,0.0,0.13549614,0.01473584,0.05731592,9,1,0,163
863.8167,0.03302855,0.00099633,0.02485774,0.01053337,0.00591291,0.00191117,0.03555556,0.3163786,0.0,0.20736392,0.0,0.23509796,0.0,0.25002371,8.431e-05,0.13081714,0.015043,0.05778475,7,0,0,159
863.8333,0.03405382,0.00104167,0.02415509,0.01048225,0.00728974,0.00188465,0.03572016,0.39588477,0.0,0.20527875,0.0,0.25103052,0.0,0.25337902,0.00046369,0.14531784,0.0145607,0.05908077,10,0,0,159
863.85,0.03445313,0.00122058,0.02371431,0.01038291,0.00739535,0.0019131,0.03423868,0.37925926,0.0,0.21471686,0.0,0.27238201,0.0,0.25391255,0.00067445,0.14959638,0.01454992,0.05943374,9,2,0,158
863.8667,0.03280141,0.00136285,0.02319252,0.01042486,0.00667342,0.0018967,0.03325103,0.27835391,0.0,0.21998464,0.0,0.27622621,0.0,0.24669212,0.00116448,0.14071787,0.01638213,0.05961427,7,1,0,159
863.8833,0.03055507,0.00153453,0.02267506,0.01041184,0.00601563,0.00193769,0.03407407,0.19835391,0.0,0.22563652,0.0,0.27437358,0.0,0.23504932,0.00185474,0.1264174,0.01681863,0.05739944,10,1,0,159
863.9,0.02817323,0.00170139,0.02289497,0.01061101,0.00458574,0.00191262,0.0309465,0.16395062,0.0,0.21817384,0.0,0.26860729,0.0,0.21993266,0.00206551,0.11653248,0.01871551,0.05581781,6,0,0,159
863.9167,0.02691937,0.00179109,0.02235002,0.0108994,0.0036439,0.00193673,0.03423868,0.1799177,0.0,0.23167252,0.0,0.24966421,0.0,0.20494641,0.00281373,0.11037811,0.01966126,0.05561843,7,0,0,39
