id,canonical_name,source_library,cultural_lineage_canonical,historical_period_canonical,cultural_lineage_confidence,named_mythological_match
4391,"Saber of Charlemagne",wikidata,european,medieval,0.9,"Charlemagne (european_medieval, tier_2)"
4395,"Queen Elizabeth's Pocket Pistol",wikidata,european,early_modern,0.7,"Henry VIII (european_medieval, tier_2)"
4996,"Sword of Freyr",wikidata,european,medieval,0.9,"Freyr (norse, tier_1)"
5097,Galatine,wikidata,european,medieval,0.9,"Gawain (european_medieval, tier_1)"
5105,Ascalon,wikidata,european,medieval,0.9,"Saint George (european_medieval, tier_2)"
5108,Excalibur,wikidata,european,medieval,1.0,"Arthur (european_medieval, tier_1)"
5131,Hrunting,wikidata,european,medieval,0.9,"Beowulf (norse, tier_1)"
5135,"Nægling",wikidata,european,medieval,0.9,"Beowulf (norse, tier_1)"
5137,Hauteclere,wikidata,european,medieval,0.9,"Charlemagne (european_medieval, tier_2)"
5144,"Hǫfuð",wikidata,european,medieval,0.9,"Heimdall (norse, tier_1)"
5165,Aroundight,wikidata,european,medieval,0.9,"Lancelot (european_medieval, tier_1)"
13367,"Narmer Macehead",wikidata,middle_eastern,pre_classical,0.9,"Narmer (egyptian, tier_2)"
16859,"Herculean Horn",nick-aschenbach-dnd-data,fantasy_generic,fictional,0.5,"Heracles (greek, tier_1)"
16861,"Herculean Horn (uncommon variant)",nick-aschenbach-dnd-data,fantasy_generic,fictional,0.5,"Heracles (greek, tier_1)"
16863,"Herculean Horn (very rare variant)",nick-aschenbach-dnd-data,fantasy_generic,fictional,0.5,"Heracles (greek, tier_1)"
20816,Excalibur,osrsbox-db,european,fictional,1.0,"Arthur (european_medieval, tier_1)"
24024,"Tilting visor",royal_armouries,european,early_modern,0.7,"Henry VIII (european_medieval, tier_2)"
24290,"Matchlock breech-loading shield gun",royal_armouries,european,contemporary,0.7,"Henry VIII (european_medieval, tier_2)"
27932,"Left cuisse and poleyn",royal_armouries,european,early_modern,0.7,"Henry VIII (european_medieval, tier_2)"
159244,Pike,royal_armouries,unknown,unknown,0.0,"Henry VIII (european_medieval, tier_2)"
159288,Pike,royal_armouries,unknown,unknown,0.0,"Henry VIII (european_medieval, tier_2)"
159291,Pike,royal_armouries,unknown,unknown,0.0,"Henry VIII (european_medieval, tier_2)"
161803,"Wall Chart",royal_armouries,european,industrial,0.7,"William the Conqueror (european_medieval, tier_2)"
173933,"CIM-10 Bomarc",wikipedia,european,modern,0.7,"Heracles (greek, tier_1)"
173945,"Katyusha rocket launcher",wikipedia,european,unknown,0.7,"Suvorov (slavic, tier_2)"
173949,"UGM-27 Polaris",wikipedia,european,modern,0.7,"Poseidon (greek, tier_1)"
173950,"UGM-73 Poseidon",wikipedia,european,modern,0.9,"Poseidon (greek, tier_1)"
173952,"Trident (missile)",wikipedia,european,unknown,0.7,"Poseidon (greek, tier_1)"
173959,"War hammer",wikipedia,european,unknown,0.7,"Charles Martel (european_medieval, tier_2)"
173979,"MIM-104 Patriot",wikipedia,middle_eastern,classical,0.7,"Heracles (greek, tier_1)"
173995,Longsword,wikipedia,european,medieval,0.7,"Henry VIII (european_medieval, tier_2)"
174014,"M142 HIMARS",wikipedia,european,unknown,0.7,"Heracles (greek, tier_1)"
174017,Naginata,wikipedia,east_asian,medieval,0.9,"Tomoe Gozen (east_asian, tier_1)"
174029,Kukri,wikipedia,south_asian,unknown,0.7,"Alexander the Great (greek, tier_2)"
174056,"GBU-43/B MOAB",wikipedia,southeast_asian,contemporary,0.7,"Heracles (greek, tier_1)"
174103,"Mjölnir",wikipedia,european,medieval,1.0,"Thor (norse, tier_1)"
174104,Katar,wikipedia,south_asian,unknown,0.7,"Shivaji Bhonsle (vedic_hindu, tier_2)"
174108,Cutlass,wikipedia,east_asian,unknown,0.7,"Oisín (celtic, tier_1)"
174117,Sten,wikipedia,east_asian,unknown,0.7,"Turpin (european_medieval, tier_1)"
174145,Vajra,wikipedia,south_asian,pre_classical,0.9,"Indra (vedic_hindu, tier_1)"
174155,"Tantō",wikipedia,east_asian,contemporary,0.7,"Sadamune (east_asian, tier_2)"
174194,"M3 Lee",wikipedia,east_asian,unknown,0.7,"Odysseus (greek, tier_1)"
174207,"Nike Hercules",wikipedia,european,unknown,0.65,"Heracles (greek, tier_1)"
174224,"PGM-17 Thor",wikipedia,european,modern,0.7,"Thor (norse, tier_1)"
174288,"Mauser BK-27",wikipedia,middle_eastern,classical,0.7,"Isis (egyptian, tier_1)"
174291,Agni-III,wikipedia,east_asian,contemporary,0.7,"Agni (vedic_hindu, tier_1)"
174333,"Battersea Shield",wikipedia,european,classical,1.0,"Julius Caesar (greek, tier_2)"
174383,"Bloodhound (missile)",wikipedia,european,unknown,0.7,"Heracles (greek, tier_1)"
174473,"Arjun (tank)",wikipedia,south_asian,modern,0.7,"Arjuna (vedic_hindu, tier_1)"
174474,"UGM-96 Trident I",wikipedia,european,modern,0.7,"Poseidon (greek, tier_1)"
174520,"Valmet M82",wikipedia,european,modern,0.9,"Odin (norse, tier_1)"
174537,"KelTec SUB-2000",wikipedia,european,contemporary,0.7,"Grendel (norse, tier_1)"
174603,Fireflash,wikipedia,european,classical,0.7,"Artemis (greek, tier_1)"
174611,"Grand Slam (bomb)",wikipedia,european,unknown,0.7,"Merlin (european_medieval, tier_1)"
174631,"Combat Vehicle Reconnaissance (Tracked)",wikipedia,european,unknown,0.7,"Saladin (egyptian, tier_2)"
174632,"FV101 Scorpion",wikipedia,european,modern,0.7,"Heracles (greek, tier_1)"
174662,"Sabre (tank)",wikipedia,european,contemporary,0.7,"Apophis (egyptian, tier_1)"
174799,"MGR-1 Honest John",wikipedia,european,modern,0.7,"Heracles (greek, tier_1)"
174957,"AGM-131 SRAM II",wikipedia,european,classical,0.7,"Heracles (greek, tier_1)"
175035,"Trishul (missile)",wikipedia,south_asian,contemporary,0.7,"Drona (vedic_hindu, tier_1)"
175087,"Operation Aphrodite",wikipedia,east_asian,unknown,0.7,"Aphrodite (greek, tier_1)"
175093,"6.5×55mm Swedish",wikipedia,european,classical,0.7,"Grendel (norse, tier_1)"
175139,"R-14 Chusovaya",wikipedia,middle_eastern,medieval,0.7,"Thor (norse, tier_1)"
175173,Curtana,wikipedia,european,medieval,1.0,"Tristan (european_medieval, tier_1)"
175174,"MIM-23 Hawk",wikipedia,east_asian,modern,0.7,"Heracles (greek, tier_1)"
175200,Ame-no-Nuboko,wikipedia,east_asian,industrial,0.7,"Amaterasu (east_asian, tier_1)"
175312,"Sting Ray (torpedo)",wikipedia,european,modern,0.7,"Merlin (european_medieval, tier_1)"
175339,NASAMS,wikipedia,european,unknown,0.7,"Heracles (greek, tier_1)"
175412,"Swiss sabre",wikipedia,european,early_modern,0.7,"Achilles (greek, tier_1)"
175417,"M114 155 mm howitzer",wikipedia,east_asian,classical,0.7,"William the Conqueror (european_medieval, tier_2)"
175440,"Thornycroft Antar",wikipedia,middle_eastern,modern,0.7,"Merlin (european_medieval, tier_1)"
175441,"FNSS ACV-19",wikipedia,middle_eastern,unknown,0.7,"Heracles (greek, tier_1)"
175448,"M3 scout car",wikipedia,european,modern,0.7,"Heracles (greek, tier_1)"
175456,"Mjolnir (comics)",wikipedia,unknown,unknown,0.3,"Thor (norse, tier_1)"
175462,"Alvis Saladin",wikipedia,european,modern,0.7,"Saladin (egyptian, tier_2)"
175482,"Ghauri (missile)",wikipedia,east_asian,contemporary,0.7,"Prithviraj Chauhan (vedic_hindu, tier_2)"
175548,"Vickers K machine gun",wikipedia,south_asian,classical,0.7,"Galahad (european_medieval, tier_1)"
175580,Joyeuse,wikipedia,european,medieval,1.0,"Charlemagne (european_medieval, tier_2)"
175657,"Artemis 30",wikipedia,european,modern,0.9,"Artemis (greek, tier_1)"
175669,"Claíomh Solais",wikipedia,european,modern,0.7,"Lugh (celtic, tier_1)"
175693,"Sword of Victory",wikipedia,southeast_asian,contemporary,0.7,"Garuda (vedic_hindu, tier_1)"
175708,"Cavalier tank",wikipedia,european,modern,0.7,"Merlin (european_medieval, tier_1)"
175736,"46 cm/45 Type 94 naval gun",wikipedia,east_asian,unknown,0.7,"Miyamoto Musashi (east_asian, tier_2)"
175777,"Fox armoured reconnaissance vehicle",wikipedia,european,modern,0.7,"Saladin (egyptian, tier_2)"
175792,"Zweihänder",wikipedia,european,early_modern,0.7,"Maximilian I (european_medieval, tier_2)"
175890,"Mark 7 nuclear bomb",wikipedia,european,unknown,0.7,"Thor (norse, tier_1)"
175907,"KelTec P11",wikipedia,european,contemporary,0.7,"Grendel (norse, tier_1)"
176029,"M38 Wolfhound",wikipedia,european,modern,0.7,"Saladin (egyptian, tier_2)"
176051,Ghauri-II,wikipedia,east_asian,contemporary,0.7,"Agni (vedic_hindu, tier_1)"
176135,"M982 Excalibur",wikipedia,european,unknown,0.9,"Arthur (european_medieval, tier_1)"
176150,"MGM-134 Midgetman",wikipedia,european,unknown,0.9,"Heracles (greek, tier_1)"
176223,"Cannone da 90/53",wikipedia,european,modern,0.7,"Andrea Doria (european_medieval, tier_2)"
176258,"Astros II",wikipedia,middle_eastern,classical,0.7,"Heracles (greek, tier_1)"
176276,"Coventry armoured car",wikipedia,european,unknown,0.7,"Heracles (greek, tier_1)"
176278,"AMT AutoMag II",wikipedia,european,modern,0.9,"Grendel (norse, tier_1)"
176294,"ELVO Leonidas-2",wikipedia,european,modern,0.7,"Leonidas (greek, tier_2)"
176295,"ELVO Kentaurus",wikipedia,european,unknown,0.9,"Leonidas (greek, tier_2)"
176360,"Elements of an Italian Light-Cavalry Armor <i>alla Tedesca</i> (in the German Fashion)",met-museum,european,medieval,1.0,"Saint George (european_medieval, tier_2)"
176443,W49,wikipedia,european,modern,0.7,"Thor (norse, tier_1)"
176456,W62,wikipedia,european,modern,0.7,"Thor (norse, tier_1)"
176461,W68,wikipedia,european,unknown,0.7,"Poseidon (greek, tier_1)"
176469,"Thin Man (nuclear bomb)",wikipedia,european,modern,0.9,"Set (egyptian, tier_1)"
176481,"Marmon–Herrington CTLS",wikipedia,southeast_asian,modern,0.7,"Heracles (greek, tier_1)"
176487,"Landsverk Lynx",wikipedia,european,classical,0.7,"Alvíss (norse, tier_1)"
176514,Warwolf,wikipedia,european,medieval,0.7,"Edward I (european_medieval, tier_2)"
176517,Kh-58,wikipedia,east_asian,classical,0.7,"Heracles (greek, tier_1)"
176565,"Kogarasu Maru",wikipedia,east_asian,medieval,0.7,"Amakuni (east_asian, tier_2)"
176575,Agni-II,wikipedia,east_asian,unknown,0.7,"Agni (vedic_hindu, tier_1)"
176621,"M19 tank transporter",wikipedia,european,medieval,0.7,"Heracles (greek, tier_1)"
176704,"Condor (APC)",wikipedia,east_asian,modern,0.7,"Heracles (greek, tier_1)"
176705,"SK-105 Kürassier",wikipedia,european,classical,0.7,"Heracles (greek, tier_1)"
176709,"9K720 Iskander",wikipedia,european,contemporary,0.7,"Alexander the Great (greek, tier_2)"
176745,".500 Wyoming Express",wikipedia,european,medieval,0.7,"Beowulf (norse, tier_1)"
176762,Hyunmoo,wikipedia,east_asian,modern,0.7,"Heracles (greek, tier_1)"
176770,"Taifun (rocket)",wikipedia,european,modern,0.7,"Loki (norse, tier_1)"
176774,"Robert Truax",wikipedia,south_asian,modern,0.7,"Thor (norse, tier_1)"
176834,Otomat,wikipedia,european,unknown,0.7,"Theseus (greek, tier_1)"
176853,Vel,wikipedia,south_asian,pre_classical,0.9,"Skanda (vedic_hindu, tier_1)"
176855,"Nægling",wikipedia,european,medieval,0.9,"Beowulf (norse, tier_1)"
176975,"M88 recovery vehicle",wikipedia,southeast_asian,unknown,0.7,"Heracles (greek, tier_1)"
177014,"Tank EX",wikipedia,south_asian,contemporary,0.7,"Karna (vedic_hindu, tier_1)"
177747,"Balder Side Sword",fextralife-ds1,fantasy_generic,fictional,0.5,"Baldr (norse, tier_1)"
177952,"Agni (missile)",wikipedia,south_asian,contemporary,0.7,"Agni (vedic_hindu, tier_1)"
177960,"Dulle Griet",wikipedia,european,medieval,0.7,"Maximilian I (european_medieval, tier_2)"
180526,"Shield Depicting Saint George Slaying the Dragon",met-museum,european,early_modern,1.0,"Saint George (european_medieval, tier_2)"
180618,"GQM-163 Coyote",wikipedia,european,classical,0.65,"Heracles (greek, tier_1)"
180631,"155 mm gun M1",wikipedia,east_asian,classical,0.7,"William the Conqueror (european_medieval, tier_2)"
180646,"Robert Keyes",wikipedia,european,early_modern,0.7,"Elizabeth I (european_medieval, tier_2)"
180669,"Colt Diamondback",wikipedia,european,modern,0.9,"Cleopatra (egyptian, tier_2)"
180672,"ASM-135 ASAT",wikipedia,european,classical,0.7,"Thor (norse, tier_1)"
180679,Mistilteinn,wikipedia,european,medieval,0.9,"Baldr (norse, tier_1)"
181325,"Migration Period sword",wikipedia,east_asian,unknown,0.7,"Beowulf (norse, tier_1)"
181333,"Dragoon 300",wikipedia,european,classical,0.9,"Heracles (greek, tier_1)"
181335,".264 Winchester Magnum",wikipedia,european,classical,0.9,"Grendel (norse, tier_1)"
181361,"International MXT-MV",wikipedia,european,contemporary,0.7,"Heracles (greek, tier_1)"
181492,Hyunmoo-3,wikipedia,east_asian,unknown,0.7,"Heracles (greek, tier_1)"
181691,"Wallace Sword",wikipedia,european,medieval,0.7,"William Wallace (european_medieval, tier_2)"
181700,"S-500 missile system",wikipedia,european,medieval,0.7,"Prometheus (greek, tier_1)"
181777,"ČZ 2000",wikipedia,european,contemporary,0.7,"Lada (slavic, tier_1)"
181810,Agni-IV,wikipedia,east_asian,unknown,0.7,"Agni (vedic_hindu, tier_1)"
181816,AS.15TT,wikipedia,european,modern,0.7,"Anubis (egyptian, tier_1)"
181817,"Sword of Attila",wikipedia,middle_eastern,medieval,0.7,"Charlemagne (european_medieval, tier_2)"
181836,Colada,wikipedia,european,medieval,1.0,"El Cid (european_medieval, tier_2)"
181848,"Imperial Sword",wikipedia,european,unknown,1.0,"Henry the Fowler (european_medieval, tier_2)"
181914,"Black Knight (vehicle)",wikipedia,european,classical,0.65,"Heracles (greek, tier_1)"
181959,"8-inch gun M1",wikipedia,european,classical,0.7,"William the Conqueror (european_medieval, tier_2)"
182085,"5.6×39mm",wikipedia,european,classical,0.7,"Grendel (norse, tier_1)"
182089,Bichuwa,wikipedia,south_asian,unknown,0.7,"Shivaji Bhonsle (vedic_hindu, tier_2)"
182097,"Narmer Macehead",wikipedia,european,contemporary,0.7,"Narmer (egyptian, tier_2)"
182254,Shaheen-III,wikipedia,south_asian,contemporary,0.7,"Agni (vedic_hindu, tier_1)"
182266,"SLWH Pegasus",wikipedia,south_asian,contemporary,0.7,"Heracles (greek, tier_1)"
182302,"CITER 155 mm L33 gun",wikipedia,european,classical,0.7,"Heracles (greek, tier_1)"
182311,"Canon de 305 mm Modèle 1893/96 gun",wikipedia,european,classical,0.7,"Charlemagne (european_medieval, tier_2)"
182497,"21 cm Mörser 10",wikipedia,european,unknown,0.7,"Isis (egyptian, tier_1)"
182543,"QF 6-pounder Hotchkiss",wikipedia,east_asian,industrial,0.7,"Aegir (norse, tier_1)"
182653,"Surya missile",wikipedia,south_asian,unknown,0.7,"Surya (vedic_hindu, tier_1)"
183402,"MIM-23A Hawk American Surface-to-Air Missile (SAM) System",odin-army-tradoc,european,contemporary,0.7,"Heracles (greek, tier_1)"
183487,"Y-9 Chinese Medium Transport Aircraft",odin-army-tradoc,east_asian,contemporary,0.7,"Heracles (greek, tier_1)"
183519,"AVIC AG600 Kunlong (Kun Dragon) Chinese Utility Amphibious Flying Boat",odin-army-tradoc,east_asian,contemporary,0.7,"Heracles (greek, tier_1)"
183698,"VAB MK3 French 6x6 Amphibious Infantry Fighting Vehicle (IFV)",odin-army-tradoc,european,contemporary,0.7,"Heracles (greek, tier_1)"
183712,"SLWH Pegasus Singaporean 155mm Towed Howitzer",odin-army-tradoc,southeast_asian,contemporary,1.0,"Heracles (greek, tier_1)"
183961,"MERLIN Swiss 4x4 Light Tactical Vehicle",odin-army-tradoc,european,contemporary,0.7,"Merlin (european_medieval, tier_1)"
184003,"Caracal German 4x4 Air Assault Vehicle",odin-army-tradoc,european,contemporary,0.7,"Heracles (greek, tier_1)"
184005,"Ermine 4x4 Quad Dutch Lightweight Tactical Vehicle",odin-army-tradoc,european,contemporary,0.7,"Heracles (greek, tier_1)"
184007,"Survivor R German 4x4 Armored Wheeled Vehicle",odin-army-tradoc,european,contemporary,0.7,"Heracles (greek, tier_1)"
184058,"Arma 8x8 Turkish Amphibious Armored Personnel Carrier (APC)",odin-army-tradoc,middle_eastern,contemporary,0.7,"Heracles (greek, tier_1)"
184118,"Serval VBMR-L French 4x4 Light Multi-Role Armored Vehicle",odin-army-tradoc,european,contemporary,0.7,"Heracles (greek, tier_1)"
184640,"UH-60Q Black Hawk American Medical Evacuation Helicopter",odin-army-tradoc,middle_eastern,contemporary,0.7,"Heracles (greek, tier_1)"
184900,"UH-60L Black Hawk American Utility Helicopter",odin-army-tradoc,middle_eastern,contemporary,0.7,"Heracles (greek, tier_1)"
184972,"MAN 41.372 German 28 Ton Mobile Crane",odin-army-tradoc,european,contemporary,0.7,"Heracles (greek, tier_1)"
184973,"M88A2 Hercules American Armored Recovery Vehicle",odin-army-tradoc,european,contemporary,1.0,"Heracles (greek, tier_1)"
185047,"Pandur II Austrian 8x8 Amphibious Armored Personnel Carrier (APC)",odin-army-tradoc,european,contemporary,0.7,"Heracles (greek, tier_1)"
185145,"THeMIS Combat with GUARDIAN 2.0 Estonian Tracked Unmanned Ground Vehicle (UGV)",odin-army-tradoc,european,contemporary,1.0,"Themis (greek, tier_1)"
185146,"THeMIS Cargo Estonian Tracked Unmanned Ground Vehicle (UGV)",odin-army-tradoc,european,contemporary,1.0,"Themis (greek, tier_1)"
185154,"THeMIS Combat with deFNder Medium Estonian Tracked Unmanned Ground Vehicle (UGV)",odin-army-tradoc,european,contemporary,1.0,"Themis (greek, tier_1)"
185155,"THeMIS Combat with R400S-MK2-D-HD Estonian Tracked Unmanned Ground Vehicle (UGV)",odin-army-tradoc,european,contemporary,1.0,"Themis (greek, tier_1)"
185156,"THeMIS Combat with PROTECTOR RWS Estonian Tracked Unmanned Ground Vehicle (UGV)",odin-army-tradoc,european,contemporary,1.0,"Themis (greek, tier_1)"
185157,"THeMIS Combat with ADDER DM Estonian Tracked Unmanned Ground Vehicle (UGV)",odin-army-tradoc,european,contemporary,1.0,"Themis (greek, tier_1)"
185611,"HMS Tyne British River-Class Offshore Patrol Vessel",odin-army-tradoc,european,contemporary,0.7,"Hadrian (greek, tier_2)"
185677,"KC-130J American Multirole Tactical Tanker",odin-army-tradoc,middle_eastern,contemporary,0.7,"Heracles (greek, tier_1)"
185688,"A400M-180 Atlas French Transport Aircraft",odin-army-tradoc,european,contemporary,0.7,"Heracles (greek, tier_1)"
185730,"An-12 (Cub) Russian Transport Aircraft",odin-army-tradoc,east_asian,contemporary,0.7,"Heracles (greek, tier_1)"
185734,"EC-130H (Compass Call) American Airborne Electronic Warfare System",odin-army-tradoc,european,contemporary,1.0,"Heracles (greek, tier_1)"
185857,"Merlin-VR Russian Unmanned Aerial Vehicle (UAV)",odin-army-tradoc,european,contemporary,0.7,"Merlin (european_medieval, tier_1)"
186187,"C-130H Hercules American Transport Aircraft",odin-army-tradoc,european,contemporary,0.7,"Heracles (greek, tier_1)"
186288,"C-130E Hercules American Transport Aircraft",odin-army-tradoc,southeast_asian,contemporary,0.7,"Heracles (greek, tier_1)"
186357,"Navistar ATX6 Czechoslovakian 6x6 Truck",odin-army-tradoc,european,contemporary,0.7,"Heracles (greek, tier_1)"
186675,"THeMIS Combat Support Estonian Tracked Unmanned Ground Vehicle (UGV)",odin-army-tradoc,european,contemporary,1.0,"Themis (greek, tier_1)"
186871,"TADEN gun",wikipedia,european,classical,0.7,"Turpin (european_medieval, tier_1)"
186884,"Grendel P30",wikipedia,european,contemporary,0.9,"Grendel (norse, tier_1)"
186972,"QF 5.25-inch naval gun",wikipedia,european,classical,0.7,"Dido (egyptian, tier_1)"
187043,".476 Nitro Express",wikipedia,south_asian,classical,0.7,"Wayland the Smith (european_medieval, tier_1)"
187044,".475 Nitro Express",wikipedia,south_asian,modern,0.7,"Wayland the Smith (european_medieval, tier_1)"
187112,"Cannone da 152/45",wikipedia,european,classical,0.7,"Andrea Doria (european_medieval, tier_2)"
187121,SAMP/T,wikipedia,european,contemporary,0.7,"Cronus (greek, tier_1)"
187298,"Mercedes-Benz Zetros",wikipedia,european,contemporary,0.7,"Heracles (greek, tier_1)"
187326,"Anoa (armoured personnel carrier)",wikipedia,southeast_asian,contemporary,0.7,"Garuda (vedic_hindu, tier_1)"
187328,"XM1219 armed robotic vehicle",wikipedia,european,contemporary,0.65,"Heracles (greek, tier_1)"
187329,".577/500 Nitro Express",wikipedia,south_asian,medieval,0.7,"Wayland the Smith (european_medieval, tier_1)"
187331,".577/500 No. 2 Black Powder Express",wikipedia,south_asian,medieval,0.7,"Wayland the Smith (european_medieval, tier_1)"
187679,"BL 12-inch Mk XI – XII naval gun",wikipedia,european,industrial,0.7,"Heracles (greek, tier_1)"
187688,Agni-V,wikipedia,east_asian,unknown,0.7,"Agni (vedic_hindu, tier_1)"
187745,"AMZ Żubr",wikipedia,european,contemporary,0.7,"Heracles (greek, tier_1)"
187806,".500 Black Powder Express",wikipedia,south_asian,medieval,0.7,"Wayland the Smith (european_medieval, tier_1)"
187818,"High Velocity Aircraft Rocket",wikipedia,east_asian,unknown,0.7,"Heracles (greek, tier_1)"
187937,"24 cm Theodor Bruno Kanone (E)",wikipedia,european,modern,0.7,"Odin (norse, tier_1)"
188089,"RML 10-inch 18-ton gun",wikipedia,european,modern,0.7,"Heracles (greek, tier_1)"
188230,"RML 12.5-inch 38-ton gun",wikipedia,european,industrial,0.7,"Agamemnon (greek, tier_1)"
188234,"Splitterskyddad EnhetsPlattform",wikipedia,european,contemporary,0.7,"Thor (norse, tier_1)"
188301,"Harpoon (missile)",wikipedia,east_asian,unknown,0.7,"Poseidon (greek, tier_1)"
188362,"Redmane Freyja",fextralife-elden-ring,fantasy_generic,fictional,0.5,"Freyja (norse, tier_1)"
188430,"M74 armored recovery vehicle",wikipedia,east_asian,medieval,0.7,"Heracles (greek, tier_1)"
188527,"320 mm Model 1934 naval gun",wikipedia,european,classical,0.9,"Andrea Doria (european_medieval, tier_2)"
188637,"Chenowth Advanced Light Strike Vehicle",wikipedia,european,unknown,0.9,"Heracles (greek, tier_1)"
188673,"6mm AR",wikipedia,european,classical,0.9,"Grendel (norse, tier_1)"
188708,"Nexter Aravis",wikipedia,european,contemporary,0.7,"Heracles (greek, tier_1)"
188718,"Seax of Beagnoth",wikipedia,east_asian,industrial,0.7,"Augustus (greek, tier_2)"
189121,".300 AAC Blackout",wikipedia,european,classical,0.9,"Grendel (norse, tier_1)"
189141,"MAN SX",wikipedia,european,contemporary,0.7,"Heracles (greek, tier_1)"
189172,"Radioplane RP-77",wikipedia,european,modern,0.75,"Loki (norse, tier_1)"
189488,"6.5-06 A-Square",wikipedia,european,contemporary,0.9,"Genghis Khan (east_asian, tier_2)"
189505,"Type 73 light machine gun",wikipedia,east_asian,unknown,0.7,"Isis (egyptian, tier_1)"
189518,"Golden Weapon for Bravery",wikipedia,european,early_modern,0.7,"Saint George (european_medieval, tier_2)"
