source,season_id,substrate,archetype,kit_size,modifier,swarm_wr,magic_wr,elite_wr,mini_boss_wr,boss_wr,damage_role_frac,defensive_role_frac,kit_size_note
historical_R1R2,season_099003,wind,wind_caster,N/A,0.0509,1.000,1.000,1.000,0.600,0.190,N/A,N/A,pre_disposition3
historical_R1R2,season_100001,fire,fire_mage,N/A,0.0509,1.000,1.000,0.960,0.170,0.000,N/A,N/A,pre_disposition3
historical_R1R2,season_100001,fire,fire_mage,N/A,0.0509,1.000,1.000,0.975,0.110,0.010,N/A,N/A,pre_disposition3
historical_R1R2,season_100001,water,water_mage,N/A,0.0509,1.000,1.000,0.995,0.350,0.240,N/A,N/A,pre_disposition3
historical_R1R2,season_100001,water,water_mage,N/A,0.0509,1.000,1.000,0.985,0.510,0.130,N/A,N/A,pre_disposition3
historical_R1R2,season_100001,earth,earth_caster,N/A,0.0509,1.000,1.000,0.965,0.080,0.010,N/A,N/A,pre_disposition3
historical_R1R2,season_100001,earth,earth_caster,N/A,0.0509,1.000,1.000,0.990,0.310,0.000,N/A,N/A,pre_disposition3
historical_R1R2,season_100001,wind,wind_caster,N/A,0.0509,1.000,1.000,0.965,0.040,0.010,N/A,N/A,pre_disposition3
historical_R1R2,season_100001,wind,wind_caster,N/A,0.0509,1.000,1.000,0.995,0.550,0.040,N/A,N/A,pre_disposition3
historical_R1R2,season_100003,fire,fire_mage,N/A,0.0509,1.000,1.000,0.965,0.040,0.600,N/A,N/A,pre_disposition3
historical_R1R2,season_100003,water,water_mage,N/A,0.0509,1.000,1.000,0.960,0.260,0.410,N/A,N/A,pre_disposition3
historical_R1R2,season_100003,water,water_mage,N/A,0.0509,1.000,1.000,0.805,0.200,0.680,N/A,N/A,pre_disposition3
historical_R1R2,season_100003,earth,earth_caster,N/A,0.0509,1.000,1.000,0.995,0.290,0.410,N/A,N/A,pre_disposition3
historical_R1R2,season_100003,earth,earth_caster,N/A,0.0509,1.000,1.000,1.000,0.230,0.340,N/A,N/A,pre_disposition3
TC1_season200001,season_200001,water,water_mage,11,0.2575,1.0,1.0,0.58,0.0,0.0,0.36,0.18,TC1_cold_start_disp3
TC1_season200001,season_200001,fire,fire_mage,11,0.1028,1.0,1.0,0.43,0.0,0.0,0.64,0.09,TC1_cold_start_disp3
TC1_season200001,season_200001,earth,earth_caster,11,0.1338,1.0,1.0,0.5,0.0,0.0,0.55,0.18,TC1_cold_start_disp3
TC1_season200001,season_200001,wind,wind_controller,12,0.505,1.0,1.0,0.495,0.0,0.0,0.42,0.08,TC1_cold_start_disp3
TC1_season200001,season_200001,lightning,lightning_controller,13,0.0719,1.0,1.0,0.47,0.0,0.0,0.54,0.15,TC1_cold_start_disp3
TC1_season200001,season_200001,holy,holy_caster,5,0.1338,1.0,1.0,0.49,0.0,0.0,0.8,0.2,TC1_cold_start_disp3
TC1_season200001,season_200001,shadow,shadow_mage,5,0.0719,1.0,1.0,0.5,0.0,0.0,0.6,0.2,TC1_cold_start_disp3
TC1_season200001,season_200001,physical,physical_warrior,11,0.1338,1.0,1.0,0.535,0.0,0.0,0.36,0.27,TC1_cold_start_disp3
TC1_season200001,season_200001,water,water_mage,12,0.2575,1.0,1.0,0.5,0.0,0.0,0.5,0.17,TC1_cold_start_disp3
TC1_season200001,season_200001,fire,fire_controller,13,0.5669,1.0,1.0,0.475,0.0,0.0,0.31,0.08,TC1_cold_start_disp3
TC1_season200001,season_200001,earth,experimental,8,0.1338,1.0,1.0,0.5,0.0,0.0,0.5,0.0,TC1_cold_start_disp3
TC2_season200002,season_200002,earth,earth_controller,12,0.505,1.0,1.0,0.5,0.0,0.0,0.5,0.08,TC2_cold_start_disp3
TC2_season200002,season_200002,fire,fire_mage,11,0.0719,1.0,1.0,0.5,0.0,0.0,0.55,0.18,TC2_cold_start_disp3
TC2_season200002,season_200002,water,water_mage,11,0.1338,1.0,1.0,0.5,0.0,0.0,0.73,0.18,TC2_cold_start_disp3
TC2_season200002,season_200002,wind,wind_caster,11,0.1338,1.0,1.0,0.5,0.0,0.0,0.64,0.09,TC2_cold_start_disp3
TC2_season200002,season_200002,lightning,lightning_controller,13,0.1338,1.0,1.0,0.5,0.0,0.0,0.38,0.23,TC2_cold_start_disp3
TC2_season200002,season_200002,holy,holy_controller,6,0.505,1.0,1.0,0.5,0.0,0.0,0.33,0.0,TC2_cold_start_disp3
TC2_season200002,season_200002,shadow,shadow_mage,5,0.1338,1.0,1.0,0.5,0.0,0.0,0.8,0.2,TC2_cold_start_disp3
TC2_season200002,season_200002,physical,hunter,13,1.0,0.7617,1.0,0.5,0.0,0.0,0.46,0.23,TC2_cold_start_disp3
TC2_season200002,season_200002,earth,earth_caster,11,0.1338,1.0,1.0,0.51,0.0,0.0,0.45,0.27,TC2_cold_start_disp3
TC2_season200002,season_200002,fire,fire_mage,11,0.0719,1.0,1.0,0.5,0.0,0.0,0.55,0.36,TC2_cold_start_disp3
TC2_season200002,season_200002,water,experimental,12,0.1338,1.0,1.0,0.5,0.0,0.0,0.42,0.25,TC2_cold_start_disp3
