controller,field,base,crucible,changed
records/controllers/enemy/controller_aetherialbloater.dbr,BuffSelfBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,0
records/controllers/enemy/controller_aetherialbloater.dbr,BuffAllyBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,0
records/controllers/enemy/controller_aetherialbloater.dbr,DebuffEnemyBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,0
records/controllers/enemy/controller_aetherialbloater.dbr,healLeaderHealthPercentage,70,70,0
records/controllers/enemy/controller_aetherialbloater.dbr,healAllyHealthPercentage,70,70,0
records/controllers/enemy/controller_aetherialbloater.dbr,BuffAllyTargeting,BuffWeakest,BuffWeakest,0
records/controllers/enemy/controller_aetherialbloater.dbr,RoamBehavior,Roam,Roam,0
records/controllers/enemy/controller_aetherialbloater.dbr,MinRoamDistance,2.0,2.0,0
records/controllers/enemy/controller_aetherialbloater.dbr,RoamDistance,5.0,2.0,1
records/controllers/enemy/controller_aetherialbloater.dbr,MinTimeBeforeRoam,6000,2000,1
records/controllers/enemy/controller_aetherialbloater.dbr,MaxTimeBeforeRoam,16000,2000,1
records/controllers/enemy/controller_aetherialbloater.dbr,MinWanderDistance,2.0,2.0,0
records/controllers/enemy/controller_aetherialbloater.dbr,WanderDistance,5.0,0.0,1
records/controllers/enemy/controller_aetherialbloater.dbr,TeleportToLeaderDistance,40.0,40.0,0
records/controllers/enemy/controller_aetherialbloater.dbr,ChanceToIdleOnPatrol,0,0,0
records/controllers/enemy/controller_aetherialbloater.dbr,MinPatrolIdleTime,0,1000,1
records/controllers/enemy/controller_aetherialbloater.dbr,MaxPatrolIdleTime,0,5000,1
records/controllers/enemy/controller_aetherialbloater.dbr,ChanceToRespondToDistressCall,50,50,0
records/controllers/enemy/controller_aetherialbloater.dbr,DistressResponseBehavior,RespondToSameGroup,RespondToSameGroup,0
records/controllers/enemy/controller_aetherialbloater.dbr,DistressResponseGroup,Aetherial,Aetherial,0
records/controllers/enemy/controller_aetherialbloater.dbr,RandomAngerChance,0,0,0
records/controllers/enemy/controller_aetherialbloater.dbr,RandomAngerEvaluationTime,0,0,0
records/controllers/enemy/controller_aetherialbloater.dbr,DodgeDistance,0.0,0.0,0
records/controllers/enemy/controller_aetherialbloater.dbr,DodgeDelay,0,0,0
records/controllers/enemy/controller_aetherialbloater.dbr,DodgeChance,0,0,0
records/controllers/enemy/controller_aetherialbloater.dbr,MinDodgeDistance,0.0,0.0,0
records/controllers/enemy/controller_aetherialbloater.dbr,LeadChance,30;50;80,30;50;80,0
records/controllers/enemy/controller_aetherialbloater.dbr,RepositionChance,0,0,0
records/controllers/enemy/controller_aetherialbloater.dbr,randomRepositionChance,0,0,0
records/controllers/enemy/controller_aetherialbloater.dbr,minSwingPause,0.0,0.0,0
records/controllers/enemy/controller_aetherialbloater.dbr,maxSwingPause,0.30000001192092896,0.30000001192092896,0
records/controllers/enemy/controller_aetherialbloater.dbr,ignoreSleepingEnemies,True,True,0
records/controllers/enemy/controller_aetherialbloater.dbr,randomEmoteChance,50,0,1
records/controllers/enemy/controller_aetherialbloater.dbr,randomEmoteMinTime,6000,6000,0
records/controllers/enemy/controller_aetherialbloater.dbr,randomEmoteMaxTime,10000,10000,0
records/controllers/enemy/controller_aetherialbloater.dbr,ignorePetsChance,35,35,0
records/controllers/enemy/controller_aetherialbloater.dbr,ignorePetsInterval,7000,7000,0
records/controllers/enemy/controller_aetherialbloater.dbr,petAngerTransference,17,17,0
records/controllers/enemy/controller_aetherialbloater.dbr,petTargetLevelRange,1000,1000,0
records/controllers/enemy/controller_aetherialbloater.dbr,petTargetLeastAttacked,False,False,0
records/controllers/enemy/controller_aetherialbloater.dbr,petTargetGreatestHealth,False,False,0
records/controllers/enemy/controller_aetherialbloater.dbr,lootDropAttachPointName,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_aetherialbloater.dbr,lootDropCallbackPoint,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_aetherialbloater.dbr,dyingSkillCallbackPoint,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_aetherialcolossus.dbr,ViewDistance,15.0,80.0,1
records/controllers/enemy/controller_aetherialcolossus.dbr,pathingViewDistance,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_aetherialcolossus.dbr,enemyTooClose,0.0,0.0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,InnerViewDistance,4.0,12.0,1
records/controllers/enemy/controller_aetherialcolossus.dbr,MaxYViewDistance,10.0,10.0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,AngerTolerance,0.0,0.0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,AttackedAnger,16.0,15.0,1
records/controllers/enemy/controller_aetherialcolossus.dbr,AllyAttackedAnger,4.0,8.0,1
records/controllers/enemy/controller_aetherialcolossus.dbr,ForgiveRate,0.0,0.0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,SightAngerRate,4.0,5.0,1
records/controllers/enemy/controller_aetherialcolossus.dbr,InnerSightAngerRate,8.0,10.0,1
records/controllers/enemy/controller_aetherialcolossus.dbr,ProjectileAnger,3.0,5.0,1
records/controllers/enemy/controller_aetherialcolossus.dbr,FleeBehavior,NeverFlee,NeverFlee,0
records/controllers/enemy/controller_aetherialcolossus.dbr,FleeTime,0,0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,FleeTarget,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_aetherialcolossus.dbr,maxFleeCount,0,0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,FleeDelay,0,0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,FleeChance,0,0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,fleeDistance,0.0,0.0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,ClearAngerWhenFleeing,False,False,0
records/controllers/enemy/controller_aetherialcolossus.dbr,ResetOriginAfterFleeing,False,False,0
records/controllers/enemy/controller_aetherialcolossus.dbr,PursuitTime,10000,10000,0
records/controllers/enemy/controller_aetherialcolossus.dbr,MaxPursuitDistance,75.0,125.0,1
records/controllers/enemy/controller_aetherialcolossus.dbr,EmoteBeforePursuingChance,20,0,1
records/controllers/enemy/controller_aetherialcolossus.dbr,BuffSelfBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,0
records/controllers/enemy/controller_aetherialcolossus.dbr,BuffAllyBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,0
records/controllers/enemy/controller_aetherialcolossus.dbr,DebuffEnemyBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,0
records/controllers/enemy/controller_aetherialcolossus.dbr,healLeaderHealthPercentage,70,70,0
records/controllers/enemy/controller_aetherialcolossus.dbr,healAllyHealthPercentage,70,70,0
records/controllers/enemy/controller_aetherialcolossus.dbr,BuffAllyTargeting,BuffWeakest,BuffWeakest,0
records/controllers/enemy/controller_aetherialcolossus.dbr,RoamBehavior,Roam,Roam,0
records/controllers/enemy/controller_aetherialcolossus.dbr,MinRoamDistance,2.0,2.0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,RoamDistance,5.0,2.0,1
records/controllers/enemy/controller_aetherialcolossus.dbr,MinTimeBeforeRoam,6000,2000,1
records/controllers/enemy/controller_aetherialcolossus.dbr,MaxTimeBeforeRoam,16000,2000,1
records/controllers/enemy/controller_aetherialcolossus.dbr,MinWanderDistance,2.0,2.0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,WanderDistance,5.0,0.0,1
records/controllers/enemy/controller_aetherialcolossus.dbr,TeleportToLeaderDistance,40.0,40.0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,ChanceToIdleOnPatrol,0,0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,MinPatrolIdleTime,0,1000,1
records/controllers/enemy/controller_aetherialcolossus.dbr,MaxPatrolIdleTime,0,5000,1
records/controllers/enemy/controller_aetherialcolossus.dbr,ChanceToRespondToDistressCall,50,50,0
records/controllers/enemy/controller_aetherialcolossus.dbr,DistressResponseBehavior,RespondToSameGroup,RespondToSameGroup,0
records/controllers/enemy/controller_aetherialcolossus.dbr,DistressResponseGroup,Aetherial,Aetherial,0
records/controllers/enemy/controller_aetherialcolossus.dbr,RandomAngerChance,0,0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,RandomAngerEvaluationTime,0,0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,DodgeDistance,0.0,0.0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,DodgeDelay,0,0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,DodgeChance,0,0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,MinDodgeDistance,0.0,0.0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,LeadChance,30;50;80,30;50;80,0
records/controllers/enemy/controller_aetherialcolossus.dbr,RepositionChance,0,0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,randomRepositionChance,0,0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,minSwingPause,0.0,0.0,0
records/controllers/enemy/controller_aetherialcolossus.dbr,maxSwingPause,0.30000001192092896,0.30000001192092896,0
records/controllers/enemy/controller_aetherialcolossus.dbr,ignoreSleepingEnemies,True,True,0
records/controllers/enemy/controller_aetherialcolossus.dbr,randomEmoteChance,50,0,1
records/controllers/enemy/controller_aetherialcolossus.dbr,randomEmoteMinTime,6000,6000,0
records/controllers/enemy/controller_aetherialcolossus.dbr,randomEmoteMaxTime,10000,10000,0
records/controllers/enemy/controller_aetherialcolossus.dbr,ignorePetsChance,35,35,0
records/controllers/enemy/controller_aetherialcolossus.dbr,ignorePetsInterval,7000,7000,0
records/controllers/enemy/controller_aetherialcolossus.dbr,petAngerTransference,17,17,0
records/controllers/enemy/controller_aetherialcolossus.dbr,petTargetLevelRange,1000,1000,0
records/controllers/enemy/controller_aetherialcolossus.dbr,petTargetLeastAttacked,False,False,0
records/controllers/enemy/controller_aetherialcolossus.dbr,petTargetGreatestHealth,False,False,0
records/controllers/enemy/controller_aetherialcolossus.dbr,lootDropAttachPointName,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_aetherialcolossus.dbr,lootDropCallbackPoint,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_aetherialcolossus.dbr,dyingSkillCallbackPoint,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_aetherialcorruption.dbr,ViewDistance,15.0,80.0,1
records/controllers/enemy/controller_aetherialcorruption.dbr,pathingViewDistance,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_aetherialcorruption.dbr,enemyTooClose,5.0,0.0,1
records/controllers/enemy/controller_aetherialcorruption.dbr,InnerViewDistance,4.0,12.0,1
records/controllers/enemy/controller_aetherialcorruption.dbr,MaxYViewDistance,10.0,10.0,0
records/controllers/enemy/controller_aetherialcorruption.dbr,AngerTolerance,1.0,0.0,1
records/controllers/enemy/controller_aetherialcorruption.dbr,AttackedAnger,15.0,15.0,0
records/controllers/enemy/controller_aetherialcorruption.dbr,AllyAttackedAnger,4.0,8.0,1
records/controllers/enemy/controller_aetherialcorruption.dbr,ForgiveRate,2.0,0.0,1
records/controllers/enemy/controller_aetherialcorruption.dbr,SightAngerRate,4.0,5.0,1
records/controllers/enemy/controller_aetherialcorruption.dbr,InnerSightAngerRate,10.0,10.0,0
records/controllers/enemy/controller_aetherialcorruption.dbr,ProjectileAnger,2.0,5.0,1
records/controllers/enemy/controller_aetherialcorruption.dbr,FleeBehavior,NeverFlee,NeverFlee,0
records/controllers/enemy/controller_aetherialcorruption.dbr,FleeTime,3000,0,1
records/controllers/enemy/controller_aetherialcorruption.dbr,FleeTarget,AwayFromEnemy,__ABSENT__,1
records/controllers/enemy/controller_aetherialcorruption.dbr,maxFleeCount,3,0,1
records/controllers/enemy/controller_aetherialcorruption.dbr,FleeDelay,0,0,0
records/controllers/enemy/controller_aetherialcorruption.dbr,FleeChance,0,0,0
records/controllers/enemy/controller_aetherialcorruption.dbr,fleeDistance,16.0,0.0,1
records/controllers/enemy/controller_aetherialcorruption.dbr,ClearAngerWhenFleeing,False,False,0
records/controllers/enemy/controller_aetherialcorruption.dbr,ResetOriginAfterFleeing,False,False,0
records/controllers/enemy/controller_aetherialcorruption.dbr,PursuitTime,10000,10000,0
records/controllers/enemy/controller_aetherialcorruption.dbr,MaxPursuitDistance,75.0,125.0,1
records/controllers/enemy/controller_aetherialcorruption.dbr,EmoteBeforePursuingChance,20,0,1
records/controllers/enemy/controller_aetherialcorruption.dbr,BuffSelfBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,0
records/controllers/enemy/controller_aetherialcorruption.dbr,BuffAllyBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,0
records/controllers/enemy/controller_aetherialcorruption.dbr,DebuffEnemyBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,0
records/controllers/enemy/controller_aetherialcorruption.dbr,healLeaderHealthPercentage,20,20,0
records/controllers/enemy/controller_aetherialcorruption.dbr,healAllyHealthPercentage,20,20,0
records/controllers/enemy/controller_aetherialcorruption.dbr,BuffAllyTargeting,BuffStrongest,BuffStrongest,0
records/controllers/enemy/controller_aetherialcorruption.dbr,RoamBehavior,Roam,Roam,0
records/controllers/enemy/controller_aetherialcorruption.dbr,MinRoamDistance,2.0,2.0,0
records/controllers/enemy/controller_aetherialcorruption.dbr,RoamDistance,5.0,2.0,1
records/controllers/enemy/controller_aetherialcorruption.dbr,MinTimeBeforeRoam,6000,2000,1
records/controllers/enemy/controller_aetherialcorruption.dbr,MaxTimeBeforeRoam,16000,2000,1
records/controllers/enemy/controller_aetherialcorruption.dbr,MinWanderDistance,2.0,2.0,0
records/controllers/enemy/controller_aetherialcorruption.dbr,WanderDistance,0.0,0.0,0
records/controllers/enemy/controller_aetherialcorruption.dbr,TeleportToLeaderDistance,40.0,40.0,0
records/controllers/enemy/controller_aetherialcorruption.dbr,ChanceToIdleOnPatrol,75,0,1
records/controllers/enemy/controller_aetherialcorruption.dbr,MinPatrolIdleTime,0,1000,1
records/controllers/enemy/controller_aetherialcorruption.dbr,MaxPatrolIdleTime,1500,5000,1
records/controllers/enemy/controller_aetherialcorruption.dbr,ChanceToRespondToDistressCall,50,50,0
records/controllers/enemy/controller_aetherialcorruption.dbr,DistressResponseBehavior,RespondToSameGroup,RespondToSameGroup,0
records/controllers/enemy/controller_aetherialcorruption.dbr,DistressResponseGroup,Aetherial,Aetherial,0
records/controllers/enemy/controller_aetherialcorruption.dbr,RandomAngerChance,10,10,0
records/controllers/enemy/controller_aetherialcorruption.dbr,RandomAngerEvaluationTime,3000,3000,0
records/controllers/enemy/controller_aetherialcorruption.dbr,DodgeDistance,0.0,0.0,0
records/controllers/enemy/controller_aetherialcorruption.dbr,DodgeDelay,0,0,0
records/controllers/enemy/controller_aetherialcorruption.dbr,DodgeChance,0,0,0
records/controllers/enemy/controller_aetherialcorruption.dbr,MinDodgeDistance,0.0,0.0,0
records/controllers/enemy/controller_aetherialcorruption.dbr,LeadChance,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_aetherialcorruption.dbr,RepositionChance,0,0,0
records/controllers/enemy/controller_aetherialcorruption.dbr,randomRepositionChance,0,0,0
records/controllers/enemy/controller_aetherialcorruption.dbr,minSwingPause,0.5,0.5,0
records/controllers/enemy/controller_aetherialcorruption.dbr,maxSwingPause,1.100000023841858,1.100000023841858,0
records/controllers/enemy/controller_aetherialcorruption.dbr,ignoreSleepingEnemies,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_aetherialcorruption.dbr,randomEmoteChance,100,0,1
records/controllers/enemy/controller_aetherialcorruption.dbr,randomEmoteMinTime,5000,5000,0
records/controllers/enemy/controller_aetherialcorruption.dbr,randomEmoteMaxTime,10000,10000,0
records/controllers/enemy/controller_aetherialcorruption.dbr,ignorePetsChance,0,0,0
records/controllers/enemy/controller_aetherialcorruption.dbr,ignorePetsInterval,7000,7000,0
records/controllers/enemy/controller_aetherialcorruption.dbr,petAngerTransference,17,17,0
records/controllers/enemy/controller_aetherialcorruption.dbr,petTargetLevelRange,1000,1000,0
records/controllers/enemy/controller_aetherialcorruption.dbr,petTargetLeastAttacked,False,False,0
records/controllers/enemy/controller_aetherialcorruption.dbr,petTargetGreatestHealth,False,False,0
records/controllers/enemy/controller_aetherialcorruption.dbr,lootDropAttachPointName,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_aetherialcorruption.dbr,lootDropCallbackPoint,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_aetherialcorruption.dbr,dyingSkillCallbackPoint,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_aetherialimp.dbr,ViewDistance,15.0,80.0,1
records/controllers/enemy/controller_aetherialimp.dbr,pathingViewDistance,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_aetherialimp.dbr,enemyTooClose,0.0,0.0,0
records/controllers/enemy/controller_aetherialimp.dbr,InnerViewDistance,4.0,12.0,1
records/controllers/enemy/controller_aetherialimp.dbr,MaxYViewDistance,10.0,10.0,0
records/controllers/enemy/controller_aetherialimp.dbr,AngerTolerance,5.0,0.0,1
records/controllers/enemy/controller_aetherialimp.dbr,AttackedAnger,10.0,15.0,1
records/controllers/enemy/controller_aetherialimp.dbr,AllyAttackedAnger,4.0,8.0,1
records/controllers/enemy/controller_aetherialimp.dbr,ForgiveRate,2.0,0.0,1
records/controllers/enemy/controller_aetherialimp.dbr,SightAngerRate,9.0,5.0,1
records/controllers/enemy/controller_aetherialimp.dbr,InnerSightAngerRate,8.0,10.0,1
records/controllers/enemy/controller_aetherialimp.dbr,ProjectileAnger,2.0,5.0,1
records/controllers/enemy/controller_aetherialimp.dbr,FleeBehavior,NeverFlee,NeverFlee,0
records/controllers/enemy/controller_aetherialimp.dbr,FleeTime,3000,0,1
records/controllers/enemy/controller_aetherialimp.dbr,FleeTarget,AwayFromEnemy,__ABSENT__,1
records/controllers/enemy/controller_aetherialimp.dbr,maxFleeCount,2,0,1
records/controllers/enemy/controller_aetherialimp.dbr,FleeDelay,3000,0,1
records/controllers/enemy/controller_aetherialimp.dbr,FleeChance,75,0,1
records/controllers/enemy/controller_aetherialimp.dbr,fleeDistance,10.0,0.0,1
records/controllers/enemy/controller_aetherialimp.dbr,ClearAngerWhenFleeing,False,False,0
records/controllers/enemy/controller_aetherialimp.dbr,ResetOriginAfterFleeing,False,False,0
records/controllers/enemy/controller_aetherialimp.dbr,PursuitTime,10000,10000,0
records/controllers/enemy/controller_aetherialimp.dbr,MaxPursuitDistance,75.0,125.0,1
records/controllers/enemy/controller_aetherialimp.dbr,EmoteBeforePursuingChance,20,0,1
records/controllers/enemy/controller_aetherialimp.dbr,BuffSelfBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,0
records/controllers/enemy/controller_aetherialimp.dbr,BuffAllyBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,0
records/controllers/enemy/controller_aetherialimp.dbr,DebuffEnemyBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,0
records/controllers/enemy/controller_aetherialimp.dbr,healLeaderHealthPercentage,80,80,0
records/controllers/enemy/controller_aetherialimp.dbr,healAllyHealthPercentage,80,80,0
records/controllers/enemy/controller_aetherialimp.dbr,BuffAllyTargeting,BuffStrongest,BuffStrongest,0
records/controllers/enemy/controller_aetherialimp.dbr,RoamBehavior,Roam,Roam,0
records/controllers/enemy/controller_aetherialimp.dbr,MinRoamDistance,2.0,2.0,0
records/controllers/enemy/controller_aetherialimp.dbr,RoamDistance,4.0,2.0,1
records/controllers/enemy/controller_aetherialimp.dbr,MinTimeBeforeRoam,6000,2000,1
records/controllers/enemy/controller_aetherialimp.dbr,MaxTimeBeforeRoam,12000,2000,1
records/controllers/enemy/controller_aetherialimp.dbr,MinWanderDistance,2.0,2.0,0
records/controllers/enemy/controller_aetherialimp.dbr,WanderDistance,0.0,0.0,0
records/controllers/enemy/controller_aetherialimp.dbr,TeleportToLeaderDistance,40.0,40.0,0
records/controllers/enemy/controller_aetherialimp.dbr,ChanceToIdleOnPatrol,75,0,1
records/controllers/enemy/controller_aetherialimp.dbr,MinPatrolIdleTime,0,1000,1
records/controllers/enemy/controller_aetherialimp.dbr,MaxPatrolIdleTime,1500,5000,1
records/controllers/enemy/controller_aetherialimp.dbr,ChanceToRespondToDistressCall,100,100,0
records/controllers/enemy/controller_aetherialimp.dbr,DistressResponseBehavior,RespondToSameGroup,RespondToSameGroup,0
records/controllers/enemy/controller_aetherialimp.dbr,DistressResponseGroup,Aetherial,Aetherial,0
records/controllers/enemy/controller_aetherialimp.dbr,RandomAngerChance,10,10,0
records/controllers/enemy/controller_aetherialimp.dbr,RandomAngerEvaluationTime,3000,3000,0
records/controllers/enemy/controller_aetherialimp.dbr,DodgeDistance,0.0,0.0,0
records/controllers/enemy/controller_aetherialimp.dbr,DodgeDelay,0,0,0
records/controllers/enemy/controller_aetherialimp.dbr,DodgeChance,0,0,0
records/controllers/enemy/controller_aetherialimp.dbr,MinDodgeDistance,0.0,0.0,0
records/controllers/enemy/controller_aetherialimp.dbr,LeadChance,0,0,0
records/controllers/enemy/controller_aetherialimp.dbr,RepositionChance,0,0,0
records/controllers/enemy/controller_aetherialimp.dbr,randomRepositionChance,5,5,0
records/controllers/enemy/controller_aetherialimp.dbr,minSwingPause,0.20000000298023224,0.20000000298023224,0
records/controllers/enemy/controller_aetherialimp.dbr,maxSwingPause,0.5,0.5,0
records/controllers/enemy/controller_aetherialimp.dbr,ignoreSleepingEnemies,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_aetherialimp.dbr,randomEmoteChance,100,0,1
records/controllers/enemy/controller_aetherialimp.dbr,randomEmoteMinTime,5000,5000,0
records/controllers/enemy/controller_aetherialimp.dbr,randomEmoteMaxTime,10000,10000,0
records/controllers/enemy/controller_aetherialimp.dbr,ignorePetsChance,0,0,0
records/controllers/enemy/controller_aetherialimp.dbr,ignorePetsInterval,7000,7000,0
records/controllers/enemy/controller_aetherialimp.dbr,petAngerTransference,17,17,0
records/controllers/enemy/controller_aetherialimp.dbr,petTargetLevelRange,1000,1000,0
records/controllers/enemy/controller_aetherialimp.dbr,petTargetLeastAttacked,False,False,0
records/controllers/enemy/controller_aetherialimp.dbr,petTargetGreatestHealth,False,False,0
records/controllers/enemy/controller_aetherialimp.dbr,lootDropAttachPointName,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_aetherialimp.dbr,lootDropCallbackPoint,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_aetherialimp.dbr,dyingSkillCallbackPoint,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_avian.dbr,ViewDistance,15.0,80.0,1
records/controllers/enemy/controller_avian.dbr,pathingViewDistance,__ABSENT__,__ABSENT__,0
records/controllers/enemy/controller_avian.dbr,enemyTooClose,0.0,0.0,0
records/controllers/enemy/controller_avian.dbr,InnerViewDistance,4.0,4.0,0
records/controllers/enemy/controller_avian.dbr,MaxYViewDistance,10.0,10.0,0
records/controllers/enemy/controller_avian.dbr,AngerTolerance,0.0,0.0,0
records/controllers/enemy/controller_avian.dbr,AttackedAnger,16.0,15.0,1
records/controllers/enemy/controller_avian.dbr,AllyAttackedAnger,4.0,8.0,1
records/controllers/enemy/controller_avian.dbr,ForgiveRate,0.0,0.0,0
records/controllers/enemy/controller_avian.dbr,SightAngerRate,4.0,5.0,1
records/controllers/enemy/controller_avian.dbr,InnerSightAngerRate,8.0,10.0,1
records/controllers/enemy/controller_avian.dbr,ProjectileAnger,3.0,5.0,1
records/controllers/enemy/controller_avian.dbr,FleeBehavior,NeverFlee,NeverFlee,0
records/controllers/enemy/controller_avian.dbr,FleeTime,0,0,0
records/controllers/enemy/controller_avian.dbr,FleeTarget,AwayFromEnemy,AwayFromEnemy,0
records/controllers/enemy/controller_avian.dbr,maxFleeCount,0,0,0
records/controllers/enemy/controller_avian.dbr,FleeDelay,5000,5000,0
records/controllers/enemy/controller_avian.dbr,FleeChance,0,0,0
records/controllers/enemy/controller_avian.dbr,fleeDistance,8.0,8.0,0
records/controllers/enemy/controller_avian.dbr,ClearAngerWhenFleeing,False,False,0
records/controllers/enemy/controller_avian.dbr,ResetOriginAfterFleeing,False,False,0
records/controllers/enemy/controller_avian.dbr,PursuitTime,10000,10000,0
records/controllers/enemy/controller_avian.dbr,MaxPursuitDistance,75.0,125.0,1
records/controllers/enemy/controller_avian.dbr,EmoteBeforePursuingChance,20,0,1
records/controllers/enemy/controller_avian.dbr,BuffSelfBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,0
records/controllers/enemy/controller_avian.dbr,BuffAllyBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,0
records/controllers/enemy/controller_avian.dbr,DebuffEnemyBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,0
records/controllers/enemy/controller_avian.dbr,healLeaderHealthPercentage,70,70,0
records/controllers/enemy/controller_avian.dbr,healAllyHealthPercentage,70,70,0
records/controllers/enemy/controller_avian.dbr,BuffAllyTargeting,BuffWeakest,BuffWeakest,0
records/controllers/enemy/controller_avian.dbr,RoamBehavior,Roam,Roam,0
records/controllers/enemy/controller_avian.dbr,MinRoamDistance,2.0,2.0,0
records/controllers/enemy/controller_avian.dbr,RoamDistance,5.0,5.0,0
records/controllers/enemy/controller_avian.dbr,MinTimeBeforeRoam,6000,6000,0
records/controllers/enemy/controller_avian.dbr,MaxTimeBeforeRoam,16000,16000,0
records/controllers/enemy/controller_avian.dbr,MinWanderDistance,2.0,2.0,0
records/controllers/enemy/controller_avian.dbr,WanderDistance,0.0,0.0,0
