archive,map,spawn_point,nearest_beacon_m,inside_aura,aura_exit_along_march_m,march_to_patrol_centroid_m,aura_fraction_of_march
survivalmode1/resources/Maps.arc,survivalworld_c.map,records/scriptentities/spawnpoint02.dbr,35.8438,False,0.0,40.1763,0.0
survivalmode1/resources/Maps.arc,survivalworld_c.map,records/scriptentities/spawnpoint03.dbr,10.5401,False,0.0,48.8936,0.0
survivalmode1/resources/Maps.arc,survivalworld_d.map,records/scriptentities/tier16spawnpoint01.dbr,1.2222,True,6.7778,38.6123,0.175536
survivalmode1/resources/Maps.arc,survivalworld_d.map,records/scriptentities/spawnpoint04.dbr,13.2715,False,0.0,35.5357,0.0
survivalmode1/resources/Maps.arc,survivalworld_d.map,records/scriptentities/spawnpoint03.dbr,24.8589,False,0.0,39.4942,0.0
survivalmode1/resources/Maps.arc,survivalworld_d.map,records/scriptentities/spawnpoint06.dbr,6.1463,True,1.8537,44.1417,0.041994
survivalmode1/resources/Maps.arc,survivalworld_e.map,records/scriptentities/spawnpoint02.dbr,17.9392,False,0.0,36.4944,0.0
survivalmode1/resources/Maps.arc,survivalworld_e.map,records/scriptentities/spawnpoint04.dbr,33.6842,False,0.0,43.4291,0.0
survivalmode1/resources/Maps.arc,survivalworld_e.map,records/scriptentities/tier16spawnpoint01.dbr,0.8086,True,7.1914,37.8877,0.189809
survivalmode1/resources/Maps.arc,survivalworld_e.map,records/scriptentities/spawnpoint06.dbr,10.2632,False,0.0,27.7897,0.0
survivalmode1/resources/Maps.arc,survivalworld_e.map,records/scriptentities/spawnpoint03.dbr,7.959,True,0.041,36.8169,0.001114
survivalmode1/resources/Maps.arc,survivalworld_f.map,records/scriptentities/spawnpoint02.dbr,3.2918,True,4.7082,39.9199,0.117942
survivalmode1/resources/Maps.arc,survivalworld_f.map,records/scriptentities/tier16spawnpoint01.dbr,0.7184,True,7.2816,43.0399,0.169183
survivalmode1/resources/Maps.arc,survivalworld_f.map,records/scriptentities/spawnpoint05.dbr,33.2528,False,0.0,13.1041,0.0
survivalmode1/resources/Maps.arc,survivalworld_f.map,records/scriptentities/spawnpoint04.dbr,12.6335,False,0.0,31.5698,0.0
survivalmode1/resources/Maps.arc,survivalworld_f.map,records/scriptentities/spawnpoint03.dbr,7.0107,True,0.9893,39.948,0.024765
survivalmode1/resources/Maps.arc,survivalworld_f.map,records/scriptentities/spawnpoint06.dbr,12.9241,False,0.0,30.2118,0.0
survivalmode1/resources/Maps.arc,survivalworld_g.map,records/scriptentities/spawnpoint04.dbr,9.3153,False,0.0,41.2485,0.0
survivalmode1/resources/Maps.arc,survivalworld_g.map,records/scriptentities/tier16spawnpoint01.dbr,0.7631,True,7.2369,34.8524,0.207645
survivalmode1/resources/Maps.arc,survivalworld_g.map,records/scriptentities/spawnpoint05.dbr,29.6163,False,0.0,6.2663,0.0
survivalmode1/resources/Maps.arc,survivalworld_g.map,records/scriptentities/spawnpoint03.dbr,8.1412,False,0.0,43.9644,0.0
survivalmode1/resources/Maps.arc,survivalworld_g.map,records/scriptentities/spawnpoint06.dbr,9.0535,False,0.0,31.0292,0.0
survivalmode1/resources/Maps.arc,survivalworld_g.map,records/scriptentities/spawnpoint02.dbr,15.8951,False,0.0,39.5818,0.0
survivalmode1/resources/Maps.arc,survivalworld_j.map,records/scriptentities/spawnpoint04.dbr,13.1078,False,0.0,39.9557,0.0
survivalmode1/resources/Maps.arc,survivalworld_j.map,records/scriptentities/spawnpoint03.dbr,9.0936,False,0.0,45.4053,0.0
survivalmode1/resources/Maps.arc,survivalworld_j.map,records/scriptentities/tier16spawnpoint01.dbr,1.0252,True,6.9748,45.5218,0.153219
survivalmode1/resources/Maps.arc,survivalworld_j.map,records/scriptentities/spawnpoint05.dbr,26.9191,False,0.0,13.1271,0.0
survivalmode1/resources/Maps.arc,survivalworld_j.map,records/scriptentities/spawnpoint02.dbr,12.7688,False,0.0,42.3309,0.0
survivalmode1/resources/Maps.arc,survivalworld_j.map,records/scriptentities/spawnpoint06.dbr,9.5986,False,0.0,48.014,0.0
survivalmode2/resources/Maps.arc,survivalworld_h.map,records/scriptentities/spawnpoint04.dbr,16.9376,False,0.0,44.6936,0.0
survivalmode2/resources/Maps.arc,survivalworld_h.map,records/scriptentities/spawnpoint05.dbr,6.5979,True,1.4021,20.5935,0.068085
survivalmode2/resources/Maps.arc,survivalworld_h.map,records/scriptentities/spawnpoint02.dbr,14.3119,False,0.0,50.037,0.0
survivalmode2/resources/Maps.arc,survivalworld_h.map,records/scriptentities/spawnpoint03.dbr,6.8071,True,1.1929,44.933,0.026548
survivalmode2/resources/Maps.arc,survivalworld_h.map,records/scriptentities/spawnpoint06.dbr,9.4073,False,0.0,41.4493,0.0
survivalmode2/resources/Maps.arc,survivalworld_h.map,records/scriptentities/tier16spawnpoint01.dbr,6.8755,True,1.1245,33.484,0.033583
survivalmode2/resources/Maps.arc,survivalworld_i.map,records/scriptentities/spawnpoint05.dbr,28.5753,False,0.0,3.5607,0.0
survivalmode2/resources/Maps.arc,survivalworld_i.map,records/scriptentities/spawnpoint04.dbr,12.0966,False,0.0,38.9355,0.0
survivalmode2/resources/Maps.arc,survivalworld_i.map,records/scriptentities/spawnpoint03.dbr,22.1904,False,0.0,38.9128,0.0
survivalmode2/resources/Maps.arc,survivalworld_i.map,records/scriptentities/spawnpoint06.dbr,11.2379,False,0.0,37.6863,0.0
survivalmode2/resources/Maps.arc,survivalworld_i.map,records/scriptentities/tier16spawnpoint01.dbr,0.9476,True,7.0524,37.5597,0.187765
survivalmode2/resources/Maps.arc,survivalworld_i.map,records/scriptentities/spawnpoint02.dbr,9.0767,False,0.0,39.7713,0.0
survivalmode3/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnpoint05.dbr,14.1461,False,0.0,13.9674,0.0
survivalmode3/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnpoint02.dbr,9.9158,False,0.0,34.1639,0.0
survivalmode3/resources/Maps.arc,survivalworld_a.map,records/scriptentities/tier16spawnpoint01.dbr,0.5064,True,7.4936,33.562,0.223277
survivalmode3/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnpoint03.dbr,18.8732,False,0.0,30.157,0.0
survivalmode3/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnpoint04.dbr,6.6034,True,1.3966,33.1628,0.042114
survivalmode3/resources/Maps.arc,survivalworld_a.map,records/scriptentities/spawnpoint06.dbr,8.5666,False,0.0,37.0368,0.0
survivalmode3/resources/Maps.arc,survivalworld_b.map,records/scriptentities/spawnpoint02.dbr,0.9864,True,7.0136,35.6231,0.196885
survivalmode3/resources/Maps.arc,survivalworld_b.map,records/scriptentities/spawnpoint04.dbr,32.981,False,0.0,29.011,0.0
survivalmode3/resources/Maps.arc,survivalworld_b.map,records/scriptentities/tier16spawnpoint01.dbr,0.5095,True,7.4905,35.4719,0.211168
survivalmode3/resources/Maps.arc,survivalworld_b.map,records/scriptentities/spawnpoint05.dbr,28.9673,False,0.0,10.2968,0.0
survivalmode3/resources/Maps.arc,survivalworld_b.map,records/scriptentities/spawnpoint06.dbr,15.3883,False,0.0,40.0385,0.0
survivalmode3/resources/Maps.arc,survivalworld_b.map,records/scriptentities/spawnpoint03.dbr,7.7114,True,0.2886,35.061,0.00823
survivalmode3/resources/Maps.arc,survivalworld_c.map,records/scriptentities/spawnpoint05.dbr,23.9011,False,0.0,12.1338,0.0
survivalmode3/resources/Maps.arc,survivalworld_c.map,records/scriptentities/spawnpoint04.dbr,14.8879,False,0.0,28.7501,0.0
survivalmode3/resources/Maps.arc,survivalworld_c.map,records/scriptentities/spawnpoint06.dbr,8.952,False,0.0,28.6137,0.0
survivalmode3/resources/Maps.arc,survivalworld_c.map,records/scriptentities/tier16spawnpoint01.dbr,30.1517,False,0.0,30.6971,0.0
survivalmode3/resources/Maps.arc,survivalworld_c.map,records/scriptentities/spawnpoint02.dbr,7.8505,True,0.1495,33.6275,0.004446
survivalmode3/resources/Maps.arc,survivalworld_c.map,records/scriptentities/spawnpoint03.dbr,7.486,True,0.514,39.3307,0.013068
survivalmode3/resources/Maps.arc,survivalworld_d.map,records/scriptentities/tier16spawnpoint01.dbr,1.2222,True,6.7778,37.0233,0.18307
survivalmode3/resources/Maps.arc,survivalworld_d.map,records/scriptentities/spawnpoint02.dbr,8.589,False,0.0,29.6401,0.0
survivalmode3/resources/Maps.arc,survivalworld_d.map,records/scriptentities/spawnpoint05.dbr,28.485,False,0.0,10.4955,0.0
survivalmode3/resources/Maps.arc,survivalworld_d.map,records/scriptentities/spawnpoint04.dbr,11.5175,False,0.0,35.1954,0.0
survivalmode3/resources/Maps.arc,survivalworld_d.map,records/scriptentities/spawnpoint03.dbr,24.8589,False,0.0,36.2111,0.0
survivalmode3/resources/Maps.arc,survivalworld_d.map,records/scriptentities/spawnpoint06.dbr,8.2317,False,0.0,41.0269,0.0
survivalmode3/resources/Maps.arc,survivalworld_e.map,records/scriptentities/spawnpoint02.dbr,17.9392,False,0.0,35.599,0.0
survivalmode3/resources/Maps.arc,survivalworld_e.map,records/scriptentities/spawnpoint04.dbr,10.405,False,0.0,37.9572,0.0
survivalmode3/resources/Maps.arc,survivalworld_e.map,records/scriptentities/tier16spawnpoint01.dbr,0.2394,True,7.7606,37.5539,0.206652
survivalmode3/resources/Maps.arc,survivalworld_e.map,records/scriptentities/spawnpoint06.dbr,10.2632,False,0.0,32.8423,0.0
survivalmode3/resources/Maps.arc,survivalworld_e.map,records/scriptentities/spawnpoint03.dbr,8.1677,False,0.0,41.3921,0.0
survivalmode3/resources/Maps.arc,survivalworld_f.map,records/scriptentities/spawnpoint02.dbr,6.6823,True,1.3177,44.1144,0.029871
survivalmode3/resources/Maps.arc,survivalworld_f.map,records/scriptentities/spawnpoint05.dbr,33.2676,False,0.0,14.2428,0.0
survivalmode3/resources/Maps.arc,survivalworld_f.map,records/scriptentities/spawnpoint04.dbr,12.5543,False,0.0,42.6403,0.0
survivalmode3/resources/Maps.arc,survivalworld_f.map,records/scriptentities/tier16spawnpoint01.dbr,0.2363,True,7.7637,42.9404,0.180803
survivalmode3/resources/Maps.arc,survivalworld_f.map,records/scriptentities/spawnpoint03.dbr,11.7802,False,0.0,29.8274,0.0
survivalmode3/resources/Maps.arc,survivalworld_g.map,records/scriptentities/spawnpoint04.dbr,3.228,True,4.772,33.3767,0.142973
survivalmode3/resources/Maps.arc,survivalworld_g.map,records/scriptentities/tier16spawnpoint01.dbr,0.4435,True,7.5565,38.3881,0.196846
survivalmode3/resources/Maps.arc,survivalworld_g.map,records/scriptentities/spawnpoint05.dbr,18.2363,False,0.0,13.6908,0.0
survivalmode3/resources/Maps.arc,survivalworld_g.map,records/scriptentities/spawnpoint03.dbr,11.2692,False,0.0,30.2747,0.0
survivalmode3/resources/Maps.arc,survivalworld_g.map,records/scriptentities/spawnpoint06.dbr,9.0535,False,0.0,38.7393,0.0
survivalmode3/resources/Maps.arc,survivalworld_g.map,records/scriptentities/spawnpoint02.dbr,15.6664,False,0.0,51.4191,0.0
survivalmode3/resources/Maps.arc,survivalworld_h.map,records/scriptentities/spawnpoint04.dbr,16.9376,False,0.0,47.9108,0.0
survivalmode3/resources/Maps.arc,survivalworld_h.map,records/scriptentities/spawnpoint05.dbr,13.0287,False,0.0,16.4979,0.0
survivalmode3/resources/Maps.arc,survivalworld_h.map,records/scriptentities/spawnpoint03.dbr,6.8071,True,1.1929,43.7648,0.027256
survivalmode3/resources/Maps.arc,survivalworld_h.map,records/scriptentities/spawnpoint06.dbr,12.4168,False,0.0,37.6705,0.0
survivalmode3/resources/Maps.arc,survivalworld_h.map,records/scriptentities/tier16spawnpoint01.dbr,0.491,True,7.509,29.6763,0.253029
survivalmode3/resources/Maps.arc,survivalworld_h.map,records/scriptentities/spawnpoint02.dbr,8.6548,False,0.0,44.0327,0.0
survivalmode3/resources/Maps.arc,survivalworld_i.map,records/scriptentities/spawnpoint05.dbr,36.0427,False,0.0,4.1115,0.0
survivalmode3/resources/Maps.arc,survivalworld_i.map,records/scriptentities/spawnpoint04.dbr,11.5503,False,0.0,41.2318,0.0
survivalmode3/resources/Maps.arc,survivalworld_i.map,records/scriptentities/spawnpoint03.dbr,12.5577,False,0.0,40.3727,0.0
survivalmode3/resources/Maps.arc,survivalworld_i.map,records/scriptentities/spawnpoint06.dbr,11.9323,False,0.0,38.1751,0.0
survivalmode3/resources/Maps.arc,survivalworld_i.map,records/scriptentities/tier16spawnpoint01.dbr,0.4292,True,7.5708,36.9523,0.20488
survivalmode3/resources/Maps.arc,survivalworld_i.map,records/scriptentities/spawnpoint02.dbr,8.6127,False,0.0,32.3906,0.0
survivalmode3/resources/Maps.arc,survivalworld_j.map,records/scriptentities/spawnpoint04.dbr,13.1078,False,0.0,41.2257,0.0
survivalmode3/resources/Maps.arc,survivalworld_j.map,records/scriptentities/spawnpoint03.dbr,9.0936,False,0.0,49.3517,0.0
survivalmode3/resources/Maps.arc,survivalworld_j.map,records/scriptentities/tier16spawnpoint01.dbr,0.7631,True,7.2369,45.7372,0.158228
survivalmode3/resources/Maps.arc,survivalworld_j.map,records/scriptentities/spawnpoint05.dbr,28.3509,False,0.0,20.6556,0.0
survivalmode3/resources/Maps.arc,survivalworld_j.map,records/scriptentities/spawnpoint06.dbr,6.7167,True,1.2833,46.38,0.027669
survivalmode3/resources/Maps.arc,survivalworld_j.map,records/scriptentities/spawnpoint02.dbr,19.4161,False,0.0,42.4049,0.0
