row_kind,record_path,record_archive,display_name,wave,spawn_level,n_actors_this_wave,threat_tier,monster_classification,halt_attr,halt_own,named_in_commission,bio_record,wave_crit_damage_modifier_pct,oa_attr_characterDexterity,oa_flat_bio,oa_flat_own_skills,oa_flat_wave_surv,oa_flat_ultimate_pak,oa_mod_pct_own_skills,oa_mod_pct_wave_surv,oa_mod_pct_ultimate_pak,oa_mod_pct_total,oa_level_term,oa_attr_term,OA,da_attr_characterStrength,da_flat_bio,da_flat_own_skills,da_flat_wave_surv,da_flat_ultimate_pak,da_mod_pct_own_skills,da_mod_pct_wave_surv,da_mod_pct_ultimate_pak,da_mod_pct_total,da_level_term,da_attr_term,DA,pool_proxy_levels,level_basis,OA_at_proxy_lo,OA_at_proxy_hi,DA_at_proxy_lo,DA_at_proxy_hi,m2p_pth_at_proxy_lo,m2p_pth_at_proxy_hi,p2m_pth_at_proxy_lo,p2m_pth_at_proxy_hi,m2p_pth_raw,m2p_pth_effective,m2p_pth_floored_at_55,m2p_p_hit_pct,m2p_p_miss_pct,m2p_sub70_damage_scalar,m2p_p_normal_x1_0_pct,m2p_p_crit_any_pct,m2p_expected_mult_given_hit,m2p_expected_mult_per_swing,m2p_p_tier2_x1.1_pct,m2p_p_tier3_x1.2_pct,m2p_p_tier4_x1.3_pct,m2p_p_tier5_x1.4_pct,m2p_p_tier6_x1.5_pct,m2p_tier_mass_sum_check_pct,p2m_pth_raw,p2m_pth_effective,p2m_pth_floored_at_55,p2m_p_hit_pct,p2m_p_miss_pct,p2m_sub70_damage_scalar,p2m_p_normal_x1_0_pct,p2m_p_crit_any_pct,p2m_expected_mult_given_hit,p2m_expected_mult_per_swing,p2m_p_tier2_x1.1_pct,p2m_p_tier3_x1.2_pct,p2m_p_tier4_x1.3_pct,p2m_p_tier5_x1.4_pct,p2m_p_tier6_x1.5_pct,p2m_tier_mass_sum_check_pct,m2p_defender_DA,p2m_attacker_OA
monster,records/creatures/enemies/boss&quest/humanwendigo_darkwood_01.dbr,sm1,Avris Marrowill,159,109.0,2,boss,Quest,False,False,False,records/creatures/enemies/bios/bio_boss_humanwendigo_darkwood.dbr,27.0,927.0,863.0,0.0,50.0,50.0,0.0,3.5,-8.0,-4.5,1308.0,463.5,2664.4475,758.5,736.7,0.0,66.0,75.0,0.0,5.0,-8.0,-3.0,1308.0,379.25,2541.0015,106|107|108,DIVERGENT,2598.5525,2642.4825,2478.291,2520.098,90.2171,91.4756,111.6971,110.524,92.1024,92.1024,False,92.1024,7.8976,1.0,90.0,2.1024,1.002283,0.923126,2.1024,0.0,0.0,0.0,0.0,100.0,109.938,109.938,False,100.0,0.0,1.0,80.062,19.938,1.024876,1.024876,15.0,4.938,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/boss&quest/korvaakmessenger_02b.dbr,sm2,"Okaloth ~ ""The Messenger""",159,109.0,1,boss,Quest,False,False,False,records/creatures/enemies/bios/bio_boss_themessenger.dbr,27.0,927.0,950.2,0.0,50.0,50.0,2.8,3.5,-8.0,-1.7,1308.0,463.5,2826.7311,758.5,813.0,0.0,66.0,75.0,0.0,5.0,-8.0,-3.0,1308.0,379.25,2615.0125,106|107|108,DIVERGENT,2753.7946,2803.3357,2550.265,2593.43,94.6354,96.029,109.6784,108.4696,96.6846,96.6846,False,96.6846,3.3154,1.0,90.0,6.6846,1.006914,0.973531,6.6846,0.0,0.0,0.0,0.0,100.0,107.8657,107.8657,False,100.0,0.0,1.0,82.1343,17.8657,1.020731,1.020731,15.0,2.8657,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/boss&quest/skeletalgolem_stepsoftorment_01.dbr,sm_mod,"Ilgorr, the Eternal",159,106.0,2,boss,Quest,False,False,False,records/creatures/enemies/bios/bio_boss_stepsoftorment_golem_phase01.dbr,27.0,898.0,842.0,0.0,50.0,50.0,0.0,3.5,-8.0,-4.5,1272.0,449.0,2596.165,739.0,739.0,0.0,66.0,75.0,0.0,5.0,-8.0,-3.0,1272.0,369.5,2498.855,106|107|108,AGREE,2596.165,2640.095,2498.855,2541.05,90.1485,91.4074,111.1199,109.9366,90.1485,90.1485,False,90.1485,9.8515,1.0,90.0,0.1485,1.000165,0.901633,0.1485,0.0,0.0,0.0,0.0,100.0,111.1199,111.1199,False,100.0,0.0,1.0,78.8801,21.1199,1.02724,1.02724,15.0,6.1199,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,sm2,The Steward,160,108.0,2,boss,Quest,False,False,True,records/creatures/enemies/bios/bio_boss_tombguardian.dbr,27.0,919.0,856.0,0.0,50.0,50.0,2.0,3.5,-8.0,-2.5,1296.0,459.5,2696.7125,752.0,730.4,0.0,67.0,75.0,0.0,5.0,-8.0,-3.0,1296.0,376.0,2521.068,106|107|108,AGREE,2651.8625,2696.7125,2479.261,2521.068,91.7435,93.0201,111.6698,110.4968,93.0201,93.0201,False,93.0201,6.9799,1.0,90.0,3.0201,1.003247,0.933221,3.0201,0.0,0.0,0.0,0.0,100.0,110.4968,110.4968,False,100.0,0.0,1.0,79.5032,20.4968,1.025994,1.025994,15.0,5.4968,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/boss&quest/swampcrab_ugdenbog_01.dbr,sm1,Carraxus Foul,152,106.0,2,boss,Quest,True,False,False,records/creatures/enemies/bios/bio_boss_swampcrab_darkwood01.dbr,27.0,903.0,842.0,0.0,48.0,50.0,0.0,3.5,-8.0,-4.5,1272.0,451.5,2596.6425,739.0,717.8,0.0,61.0,75.0,0.0,5.0,-8.0,-3.0,1272.0,369.5,2473.441,106|107|108,AGREE,2596.6425,2640.5725,2473.441,2515.248,90.1622,91.421,111.8332,110.66,90.1622,90.1622,False,90.1622,9.8378,1.0,90.0,0.1622,1.00018,0.901784,0.1622,0.0,0.0,0.0,0.0,100.0,111.8332,111.8332,False,100.0,0.0,1.0,78.1668,21.8332,1.028666,1.028666,15.0,6.8332,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/boss&quest/witch_janaxia.dbr,sm1,"Janaxia, the Betrayer",156,109.0,2,boss,Quest,True,True,False,records/creatures/enemies/bios/bio_boss_witch_jaanxia.dbr,27.0,927.0,863.0,0.0,50.0,50.0,0.0,3.5,-8.0,-4.5,1308.0,463.5,2664.4475,758.5,736.7,0.0,64.0,75.0,0.0,5.0,-8.0,-3.0,1308.0,379.25,2539.0615,106|107|108,DIVERGENT,2598.5525,2642.4825,2476.351,2518.158,90.2171,91.4756,111.7515,110.5784,92.1024,92.1024,False,92.1024,7.8976,1.0,90.0,2.1024,1.002283,0.923126,2.1024,0.0,0.0,0.0,0.0,100.0,109.9923,109.9923,False,100.0,0.0,1.0,80.0077,19.9923,1.024985,1.024985,15.0,4.9923,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/boss&quest/witchgod_finalboss.dbr,sm_mod,The Sentinel,159,109.0,2,boss,Quest,False,False,False,records/creatures/enemies/bios/bio_boss_witchgodguardian_temple.dbr,27.0,981.5,863.0,0.0,50.0,50.0,0.0,3.5,-8.0,-4.5,1308.0,490.75,2690.4713,758.5,791.2,0.0,66.0,75.0,0.0,5.0,-8.0,-3.0,1308.0,379.25,2593.8665,106|107|108,DIVERGENT,2623.86,2668.2675,2529.701,2572.478,90.9429,92.2112,110.2547,109.0561,92.8429,92.8429,False,92.8429,7.1571,1.0,90.0,2.8429,1.003062,0.931271,2.8429,0.0,0.0,0.0,0.0,100.0,108.4574,108.4574,False,100.0,0.0,1.0,81.5426,18.4574,1.021915,1.021915,15.0,3.4574,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/bounties/cu_bounty04.dbr,sm1,Vanoxxis Bile,153,107.0,1,hero,Hero,True,True,False,records/creatures/enemies/bios/bio_hero_standard_extrahealth01.dbr,27.0,913.8,841.0,0.0,49.0,50.0,0.0,3.5,-8.0,-4.5,1284.0,456.9,2613.2595,741.9,742.6,0.0,62.0,75.0,0.0,5.0,-8.0,-3.0,1284.0,370.95,2511.5135,107|108,AGREE,2613.2595,2635.4155,2511.5135,2532.999,90.6392,91.2736,110.7648,110.1623,90.6392,90.6392,False,90.6392,9.3608,1.0,90.0,0.6392,1.000705,0.907031,0.6392,0.0,0.0,0.0,0.0,100.0,110.7648,110.7648,False,100.0,0.0,1.0,79.2352,20.7648,1.02653,1.02653,15.0,5.7648,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/bounties/cu_bounty07.dbr,sm1,Sllancar the Tainted,153,107.0,1,hero,Hero,True,True,False,records/creatures/enemies/bios/bio_hero_standard_01.dbr,27.0,913.8,841.0,0.0,49.0,50.0,0.0,3.5,-8.0,-4.5,1284.0,456.9,2613.2595,741.9,742.6,0.0,62.0,75.0,0.0,5.0,-8.0,-3.0,1284.0,370.95,2511.5135,107|108,AGREE,2613.2595,2635.4155,2511.5135,2532.999,90.6392,91.2736,110.7648,110.1623,90.6392,90.6392,False,90.6392,9.3608,1.0,90.0,0.6392,1.000705,0.907031,0.6392,0.0,0.0,0.0,0.0,100.0,110.7648,110.7648,False,100.0,0.0,1.0,79.2352,20.7648,1.02653,1.02653,15.0,5.7648,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/bounties/cu_bounty08.dbr,sm1,Chillpincer,153,107.0,1,hero,Hero,True,True,False,records/creatures/enemies/bios/bio_hero_standard_01.dbr,27.0,913.8,841.0,0.0,49.0,50.0,0.0,3.5,-8.0,-4.5,1284.0,456.9,2613.2595,741.9,742.6,0.0,62.0,75.0,5.0,5.0,-8.0,2.0,1284.0,370.95,2638.241,107|108,AGREE,2613.2595,2635.4155,2638.241,2660.834,90.6392,91.2736,107.2162,106.5848,90.6392,90.6392,False,90.6392,9.3608,1.0,90.0,0.6392,1.000705,0.907031,0.6392,0.0,0.0,0.0,0.0,100.0,107.2162,107.2162,False,100.0,0.0,1.0,82.7838,17.2162,1.019432,1.019432,15.0,2.2162,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/bounties/odv_bounty07.dbr,sm_mod,Horvald Shieldbreaker,153,107.0,1,hero,Hero,True,True,False,records/creatures/enemies/bios/bio_hero_standard_01.dbr,27.0,913.8,841.0,0.0,49.0,50.0,0.0,3.5,-8.0,-4.5,1284.0,456.9,2613.2595,741.9,742.6,0.0,62.0,75.0,0.0,5.0,-8.0,-3.0,1284.0,370.95,2511.5135,107|108,AGREE,2613.2595,2635.4155,2511.5135,2532.999,90.6392,91.2736,110.7648,110.1623,90.6392,90.6392,False,90.6392,9.3608,1.0,90.0,0.6392,1.000705,0.907031,0.6392,0.0,0.0,0.0,0.0,100.0,110.7648,110.7648,False,100.0,0.0,1.0,79.2352,20.7648,1.02653,1.02653,15.0,5.7648,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/bounties/ro_bounty11.dbr,sm_mod,Rixna Plaguefeather,153,107.0,1,hero,Hero,True,True,False,records/creatures/enemies/bios/bio_hero_support_01.dbr,27.0,913.8,841.0,0.0,49.0,50.0,0.0,3.5,-8.0,-4.5,1284.0,456.9,2613.2595,741.9,742.6,0.0,62.0,75.0,0.0,5.0,-8.0,-3.0,1284.0,370.95,2511.5135,107|108,AGREE,2613.2595,2635.4155,2511.5135,2532.999,90.6392,91.2736,110.7648,110.1623,90.6392,90.6392,False,90.6392,9.3608,1.0,90.0,0.6392,1.000705,0.907031,0.6392,0.0,0.0,0.0,0.0,100.0,110.7648,110.7648,False,100.0,0.0,1.0,79.2352,20.7648,1.02653,1.02653,15.0,5.7648,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/bounties/ro_bounty19.dbr,sm_mod,Grum ~ Diseased,153,107.0,1,hero,Hero,True,True,False,records/creatures/enemies/bios/bio_hero_standard_extrahealth01.dbr,27.0,913.8,841.0,0.0,49.0,50.0,0.0,3.5,-8.0,-4.5,1284.0,456.9,2613.2595,741.9,742.6,0.0,62.0,75.0,0.0,5.0,-8.0,-3.0,1284.0,370.95,2511.5135,107|108,AGREE,2613.2595,2635.4155,2511.5135,2532.999,90.6392,91.2736,110.7648,110.1623,90.6392,90.6392,False,90.6392,9.3608,1.0,90.0,0.6392,1.000705,0.907031,0.6392,0.0,0.0,0.0,0.0,100.0,110.7648,110.7648,False,100.0,0.0,1.0,79.2352,20.7648,1.02653,1.02653,15.0,5.7648,0.0,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/chthoniandevourer_a01.dbr,sm_mod,Chthonian Hungerer,157,102.0,1,trash,Common,True,False,False,records/creatures/enemies/bios/bio_chthoniandevourer_a01.dbr,27.0,713.4,713.0,-4.0,50.0,50.0,0.0,3.5,-8.0,-4.5,1224.0,356.7,2335.1635,617.0,346.6,0.0,65.0,75.0,0.0,5.0,-8.0,-3.0,1224.0,308.5,2011.527,102|103|104,AGREE,2335.1635,2376.897,2011.527,2047.029,82.516,83.7555,124.8879,123.8783,82.516,82.516,False,82.516,17.484,1.0,82.516,0.0,1.0,0.82516,0.0,0.0,0.0,0.0,0.0,100.0,124.8879,124.8879,False,100.0,0.0,1.0,65.1121,34.8879,1.059664,1.059664,15.0,15.0,4.8879,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/chthoniandevourer_a01.dbr,sm_mod,Chthonian Hungerer,158,102.0,4,trash,Common,True,False,False,records/creatures/enemies/bios/bio_chthoniandevourer_a01.dbr,27.0,713.4,713.0,-4.0,50.0,50.0,0.0,3.5,-8.0,-4.5,1224.0,356.7,2335.1635,617.0,346.6,0.0,65.0,75.0,0.0,5.0,-8.0,-3.0,1224.0,308.5,2011.527,102|103|104,AGREE,2335.1635,2376.897,2011.527,2047.029,82.516,83.7555,124.8879,123.8783,82.516,82.516,False,82.516,17.484,1.0,82.516,0.0,1.0,0.82516,0.0,0.0,0.0,0.0,0.0,100.0,124.8879,124.8879,False,100.0,0.0,1.0,65.1121,34.8879,1.059664,1.059664,15.0,15.0,4.8879,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/chthoniandevourer_b01.dbr,sm_mod,Chthonian Devourer,157,103.0,1,trash,Champion,True,False,False,records/creatures/enemies/bios/bio_chthoniandevourer_b01.dbr,27.0,781.6,775.4,-4.0,50.0,50.0,0.0,3.5,-8.0,-4.5,1236.0,390.8,2438.781,679.5,427.0,0.0,65.0,75.0,0.0,5.0,-8.0,-3.0,1236.0,339.75,2131.4675,103|104|105,AGREE,2438.781,2481.565,2131.4675,2168.8125,85.5794,86.831,121.4814,120.4232,85.5794,85.5794,False,85.5794,14.4206,1.0,85.5794,0.0,1.0,0.855794,0.0,0.0,0.0,0.0,0.0,100.0,121.4814,121.4814,False,100.0,0.0,1.0,68.5186,31.4814,1.049444,1.049444,15.0,15.0,1.4814,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/chthoniandevourer_b01.dbr,sm_mod,Chthonian Devourer,158,103.0,4,trash,Champion,True,False,False,records/creatures/enemies/bios/bio_chthoniandevourer_b01.dbr,27.0,781.6,775.4,-4.0,50.0,50.0,0.0,3.5,-8.0,-4.5,1236.0,390.8,2438.781,679.5,427.0,0.0,65.0,75.0,0.0,5.0,-8.0,-3.0,1236.0,339.75,2131.4675,103|104|105,AGREE,2438.781,2481.565,2131.4675,2168.8125,85.5794,86.831,121.4814,120.4232,85.5794,85.5794,False,85.5794,14.4206,1.0,85.5794,0.0,1.0,0.855794,0.0,0.0,0.0,0.0,0.0,100.0,121.4814,121.4814,False,100.0,0.0,1.0,68.5186,31.4814,1.049444,1.049444,15.0,15.0,1.4814,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/chthoniandevourer_b02.dbr,sm_mod,Chthonian Gorger,158,103.0,4,trash,Champion,True,False,False,records/creatures/enemies/bios/bio_chthoniandevourer_b01.dbr,27.0,781.6,775.4,-4.0,50.0,50.0,0.0,3.5,-8.0,-4.5,1236.0,390.8,2438.781,679.5,427.0,0.0,65.0,75.0,0.0,5.0,-8.0,-3.0,1236.0,339.75,2131.4675,103|104|105,AGREE,2438.781,2481.565,2131.4675,2168.8125,85.5794,86.831,121.4814,120.4232,85.5794,85.5794,False,85.5794,14.4206,1.0,85.5794,0.0,1.0,0.855794,0.0,0.0,0.0,0.0,0.0,100.0,121.4814,121.4814,False,100.0,0.0,1.0,68.5186,31.4814,1.049444,1.049444,15.0,15.0,1.4814,0.0,0.0,100.0,2591.0,3259.0
monster,records/creatures/enemies/chthonianherald_b01.dbr,sm3,Chthonian Portent,156,109.0,2,trash,Champion,True,False,False,records/creatures/enemies/bios/bio_chthonianherald_b01.dbr,27.0,867.5,816.2,0.0,50.0,50.0,0.0,3.5,-8.0,-4.5,1308.0,433.75,2591.3422,813.0,575.0,0.0,64.0,75.0,0.0,5.0,-8.0,-3.0,1308.0,406.5,2408.645,104|105|106,DIVERGENT,2483.666,2526.7365,2309.22,2348.99,86.8923,88.1446,116.4548,115.3337,90.0098,90.0098,False,90.0098,9.9902,1.0,90.0,0.0098,1.000011,0.900108,0.0098,0.0,0.0,0.0,0.0,100.0,113.6542,113.6542,False,100.0,0.0,1.0,76.3458,23.6542,1.032308,1.032308,15.0,8.6542,0.0,0.0,0.0,100.0,2591.0,3259.0
