build_id,build_name,skill_hit,class_hit,activity_hit,all_three,skill_class,skill_activity,class_activity
96,Lunar Assault Werewolf Oracle,True,True,False,False,True,False,False
97,Spirit Walker Twisters,True,True,False,False,True,False,False
98,Minion Army Shaman,True,True,False,False,True,False,False
99,Boneshatter Warbringer,True,True,False,False,True,False,False
100,Boneshatter Titan,True,True,False,False,True,False,False
101,Walking Calamity Shaman,True,True,False,False,True,False,False
102,Spiral Volley Pathfinder,True,True,False,False,True,False,False
103,Lightning Minion Shaman,True,True,False,False,True,False,False
104,Spiral Volley Deadeye,True,True,False,False,True,False,False
105,Demon Calamity Bear Shaman,True,True,False,False,True,False,False
