record,body_class,template_name,pak_binding,is_lapb_70,summoners,n_summoners,level_set,level_lo,level_hi,bio_record,life_equation,winner_archive,base_life_lo,base_life_hi,passive_pct_lo,passive_pct_hi,ehp_w151_lo,ehp_w151_hi,ehp_w160_lo,ehp_w160_hi,ehp_w170_lo,ehp_w170_hi,lapb_life,hardening_ratio_lo,own_characterLifeModifier,own_applied,life_grade,level_grade
records/creatures/enemies/aetherialcorruption_b03_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,True,records/creatures/enemies/aetherialfleshshaper_c01.dbr|records/creatures/enemies/boss&quest/aetherial_guardian02.dbr|records/creatures/enemies/bounties/cu_bounty05.dbr|records/creatures/enemies/bounties/pm_bounty05.dbr|records/creatures/enemies/bounties/pm_bounty07.dbr|records/creatures/enemies/devotion/aetherialfleshshaper_h01.dbr,14,104|105|106|107|108,104,108,records/creatures/enemies/bios/bio_aetherialcorruption_b01.dbr,((charLevel*20)^1.33)+50,sm1,25933.5735,27265.9494,86.0,121.0,278007,301834,282675,306741,287862,312195,74248.0,3.8072,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/aetherialcorruption_c01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/boss&quest/aetherial_fleshweaverkrieg.dbr|records/creatures/enemies/boss&quest/aetherial_fleshweaverkriegb.dbr|records/creatures/enemies/boss&quest/aetherialfleshshaper_haraxis.dbr,3,106|107|108,106,108,records/creatures/enemies/bios/bio_aetherialcorruption_c01.dbr,((charLevel*28)^1.33)+50,sm1,41581.4393,42626.8744,103.0,121.0,452821,471879,460306,479552,468622,488077,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/aetherialimp_a00_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/aetherialfleshshaper_b01.dbr,1,104|105|106,104,106,records/creatures/enemies/bios/bio_aetherialimp_a00.dbr,((charLevel*6)^1.33)+50,sm1,5269.0986,5403.0089,74.0,88.0,55852,58028,56800,59000,57854,60081,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/aetherialworm_b01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,True,records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,1,106|107|108,106,108,records/creatures/enemies/bios/bio_aetherialworm_b01.dbr,((charLevel*20)^1.33)+40,sm1,26587.6874,27255.9494,103.0,121.0,289539,301723,294325,306629,299643,312080,74221.0,3.9655,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/aetherialworm_b02_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,True,records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,1,106|107|108,106,108,records/creatures/enemies/bios/bio_aetherialworm_b01.dbr,((charLevel*20)^1.33)+40,sm1,26587.6874,27255.9494,103.0,121.0,289539,301723,294325,306629,299643,312080,74221.0,3.9655,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/aetherialworm_b03_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,True,records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,1,106|107|108,106,108,records/creatures/enemies/bios/bio_aetherialworm_b01.dbr,((charLevel*20)^1.33)+40,sm1,26587.6874,27255.9494,103.0,121.0,289539,301723,294325,306629,299643,312080,74221.0,3.9655,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/aetherialworm_b04_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,True,records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,1,106|107|108,106,108,records/creatures/enemies/bios/bio_aetherialworm_b01.dbr,((charLevel*20)^1.33)+40,sm1,26587.6874,27255.9494,103.0,121.0,289539,301723,294325,306629,299643,312080,74221.0,3.9655,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/beetle_a01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/groblesand_c02.dbr,1,104|105|106,104,106,records/creatures/enemies/bios/bio_beetle_a00_summon.dbr,((charLevel*6)^1.28)+25,sm2,3807.9994,3901.369,74.0,88.0,40364,41900,41050,42602,41811,43383,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/bonerat_witchgod_a01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,True,records/creatures/enemies/boss&quest/witchgod_finalboss.dbr,1,106|107|108,106,108,records/creatures/enemies/bios/bio_bonerat_witchgod_a01.dbr,((charLevel*10)^1.33)+20,sm_mod,10579.8269,10845.6403,88.0,102.0,113627,118000,115531,119952,117647,122121,27887.0,4.1428,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/bonerat_witchgod_b01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,True,records/creatures/enemies/boss&quest/witchgod_finalboss.dbr,1,106|107|108,106,108,records/creatures/enemies/bios/bio_bonerat_witchgod_b01.dbr,((charLevel*15)^1.33)+20,sm_mod,18127.4867,18583.2909,88.0,102.0,194689,202186,197952,205531,201577,209247,47783.0,4.1427,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/boss&quest/beetle_maggot01_maggotsummon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/boss&quest/beetle_maggot01.dbr,1,106|107|108,106,108,records/creatures/enemies/bios/bio_beetle_a01.dbr,((charLevel*9)^1.33)+25,sm2,9204.0839,9435.141,88.0,102.0,98851,102654,100508,104352,102349,106239,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/chthonianabomination_tentacles_a01.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/bounties/kc_bounty13.dbr|records/creatures/enemies/chthonianmonstrosity_summon.dbr|records/creatures/enemies/devotion/chthonianmonstrosity_h01.dbr,3,106|107|108,106,108,records/creatures/enemies/bios/bio_trap_fireflare_01.dbr,((charLevel*10)^1.25)+60,sm_mod,6108.2862,6251.2693,0.0,0.0,60227,61637,61327,62762,62548,64012,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/chthoniandevourer_a00_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/boss&quest/cultist_burrwitchcathedral_01.dbr,1,106|107|108,106,108,records/creatures/enemies/bios/bio_chthoniandevourer_a00.dbr,((charLevel*4)^1.28)+15,sm_mod,2321.8975,2377.7577,88.0,102.0,24937,25870,25355,26298,25819,26773,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/chthoniandevourer_a01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,True,records/creatures/enemies/boss&quest/cultist_summoner_01.dbr|records/creatures/enemies/devotion/chthoniandevourer_h06.dbr,2,106|107|108,106,108,records/creatures/enemies/bios/bio_chthoniandevourer_a00.dbr,((charLevel*4)^1.28)+15,sm_mod,2321.8975,2377.7577,88.0,102.0,24937,25870,25355,26298,25819,26773,5898.0,4.2989,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/chthoniandevourer_b01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,True,records/creatures/enemies/boss&quest/cultist_summoner_01.dbr|records/creatures/enemies/bounties/kc_bounty13.dbr|records/creatures/enemies/devotion/chthonianmonstrosity_h01.dbr,3,106|107|108,106,108,records/creatures/enemies/bios/bio_chthoniandevourer_b01.dbr,((charLevel*12)^1.28)+30,sm_mod,9443.3347,9671.2735,88.0,102.0,101421,105223,103121,106964,105009,108898,23986.0,4.2992,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/chthoniandevourer_b02_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,True,records/creatures/enemies/boss&quest/cultist_summoner_01.dbr|records/creatures/enemies/boss&quest/human_chthonickurn_stronghold_chieftain_01.dbr,2,106|107|108,106,108,records/creatures/enemies/bios/bio_chthoniandevourer_b01.dbr,((charLevel*12)^1.28)+30,sm_mod,9443.3347,9671.2735,88.0,102.0,101421,105223,103121,106964,105009,108898,23986.0,4.2992,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/chthoniandreadguard_a01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/boss&quest/chthonianherald_prodromus_01.dbr|records/creatures/enemies/boss&quest/chthonianherald_prodromus_01b.dbr,2,106|107|108,106,108,records/creatures/enemies/bios/bio_chthoniandreadguard_a01_summon.dbr,((charLevel*16)^1.33)+100,sm_mod,19830.4222,20327.079,103.0,121.0,215953,225020,219522,228679,223488,232745,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/chthoniandreadguard_b01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/boss&quest/chthonianherald_prodromus_01.dbr|records/creatures/enemies/boss&quest/chthonianherald_prodromus_01b.dbr|records/creatures/enemies/boss&quest/human_chthonickurn_stronghold_chieftain_01.dbr,3,106|107|108,106,108,records/creatures/enemies/bios/bio_chthoniandreadguard_b01_summon.dbr,((charLevel*21)^1.33)+100,sm_mod,28427.514,29140.5781,103.0,121.0,309575,322586,314692,327831,320378,333659,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/chthoniandreadguard_c01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/boss&quest/chthonianherald_prodromus_01.dbr|records/creatures/enemies/boss&quest/chthonianherald_prodromus_01b.dbr,2,106|107|108,106,108,records/creatures/enemies/bios/bio_chthoniandreadguard_c01_summon.dbr,((charLevel*25)^1.33)+100,sm_mod,35820.4575,36719.6177,103.0,121.0,390084,406486,396532,413095,403696,420439,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/chthonianfiend_a01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,True,records/creatures/enemies/boss&quest/cultist_summoner_01.dbr|records/creatures/enemies/bounties/exile_bounty12.dbr|records/creatures/enemies/chthonianminion_b01_summon.dbr|records/creatures/enemies/devotion/chthonianminion_h01.dbr|records/creatures/enemies/devotion/chthonianminion_h02.dbr|records/creatures/enemies/devotion/chthonianminion_h03.dbr,10,106|107|108,106,108,records/creatures/enemies/bios/bio_chthonicvoidfiend_01.dbr,((charLevel*9)^1.33)+50,sm_mod,9229.0839,9460.141,88.0,102.0,99120,102926,100781,104629,102627,106521,23442.0,4.2992,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/chthonianfiend_a02_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,True,records/creatures/enemies/boss&quest/cultist_summoner_01.dbr,1,106|107|108,106,108,records/creatures/enemies/bios/bio_chthonicvoidfiend_01.dbr,((charLevel*9)^1.33)+50,sm_mod,9229.0839,9460.141,88.0,102.0,99120,102926,100781,104629,102627,106521,23442.0,4.2992,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/chthonianfiend_c01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/bounties/exile_bounty12.dbr|records/creatures/enemies/bounties/kc_bounty19.dbr|records/creatures/enemies/devotion/chthonianminion_h01.dbr|records/creatures/enemies/devotion/chthonianminion_h02.dbr|records/creatures/enemies/devotion/chthonianminion_h03.dbr|records/creatures/enemies/devotion/chthonianminion_h04.dbr,9,107|108,107,108,records/creatures/enemies/bios/bio_chthonicvoidfiend_c01.dbr,((charLevel*16)^1.33)+80,sm_mod,20058.3677,20307.079,96.0,102.0,217031,220941,220642,224596,224653,228657,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/chthonianherald_a01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/boss&quest/avian_worldtear_01.dbr|records/creatures/enemies/boss&quest/avian_worldtear_01b.dbr,2,106|107|108,106,108,records/creatures/enemies/bios/bio_chthonianherald_a01.dbr,((charLevel*26)^1.33)+100,sm3,37733.2178,38680.5263,103.0,121.0,410914,428193,417706,435155,425253,442892,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/chthonianherald_b01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/boss&quest/avian_worldtear_01.dbr|records/creatures/enemies/boss&quest/avian_worldtear_01b.dbr,2,106|107|108,106,108,records/creatures/enemies/bios/bio_chthonianherald_b01.dbr,((charLevel*32)^1.33)+100,sm3,49702.8091,50951.4178,103.0,121.0,541263,564032,550210,573203,560150,583393,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/chthonianleech_a01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,True,records/creatures/enemies/boss&quest/cultist_summoner_01.dbr,1,106|107|108,106,108,records/creatures/enemies/bios/bio_chthonianleech_a01.dbr,((charLevel*22)^1.29)+100,sm_mod,22198.8577,22738.2005,139.0,154.0,249737,259215,253732,263308,258172,267856,75032.0,3.3817,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/chthonianminion_b01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,True,records/creatures/enemies/boss&quest/cultist_cultleader_01.dbr,1,106|107|108,106,108,records/creatures/enemies/bios/bio_chthonian_02.dbr,((charLevel*16)^1.5)+225,sm_mod,70070.5549,72056.6111,103.0,121.0,763068,797666,775681,810636,789695,825048,188490.0,4.1152,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/chthonianmonstrosity_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/boss&quest/chthonianherald_prodromus_01.dbr|records/creatures/enemies/boss&quest/chthonianherald_prodromus_01b.dbr,2,106|107|108,106,108,records/creatures/enemies/bios/bio_chthonianabomination_summon01.dbr,((charLevel*36)^1.5)+1000,sm3,236728.7477,243431.6874,103.0,121.0,2577976,2694788,2620587,2738606,2667932,2787292,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/chthonianrylok_b01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/boss&quest/chthonianherald_prodromus_01.dbr|records/creatures/enemies/boss&quest/chthonianherald_prodromus_01b.dbr|records/creatures/enemies/boss&quest/human_chthonickurn_stronghold_chieftain_01.dbr,3,106|107|108,106,108,records/creatures/enemies/bios/bio_chthonianrylok_b01.dbr,((charLevel*36)^1.33)+100,gdx1,58114.8437,59575.2013,103.0,121.0,632870,659497,643331,670221,654954,682136,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/chthonianrylok_c01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/boss&quest/chthonianherald_prodromus_01.dbr|records/creatures/enemies/boss&quest/chthonianherald_prodromus_01b.dbr,2,106|107|108,106,108,records/creatures/enemies/bios/bio_chthonianrylok_c01.dbr,((charLevel*38)^1.33)+100,gdx1,62440.3138,64009.5528,103.0,121.0,679975,708585,691214,720107,703702,732909,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/chthonianservitor_a01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,True,records/creatures/enemies/boss&quest/chthonianservitor_lunalvalgoth.dbr,1,106|107|108,106,108,records/creatures/enemies/bios/bio_chthonianservitor_a01.dbr,((charLevel*17)^1.33)+45,sm1,21432.1968,21970.5583,103.0,121.0,233396,243214,237254,247168,241540,251562,57653.0,4.1152,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/eldritcharmor_a01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/boss&quest/stonegryphon_templeguardian_01.dbr,1,106|107|108,106,108,records/creatures/enemies/bios/bio_eldritcharmor_a01.dbr,((charLevel*11)^1.33)+30,sm2,12016.9604,12318.6978,88.0,102.0,129062,134027,131225,136244,133628,138708,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/eldritcharmor_a02_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/boss&quest/stonegryphon_templeguardian_01.dbr,1,106|107|108,106,108,records/creatures/enemies/bios/bio_eldritcharmor_a01.dbr,((charLevel*11)^1.33)+30,sm2,12016.9604,12318.6978,88.0,102.0,129062,134027,131225,136244,133628,138708,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/eldritcharmor_a03_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/boss&quest/stonegryphon_templeguardian_01.dbr,1,106|107|108,106,108,records/creatures/enemies/bios/bio_eldritcharmor_a01.dbr,((charLevel*11)^1.33)+30,sm2,12016.9604,12318.6978,88.0,102.0,129062,134027,131225,136244,133628,138708,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/eldritcharmor_b01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,False,records/creatures/enemies/boss&quest/stonegryphon_templeguardian_01.dbr,1,106|107|108,106,108,records/creatures/enemies/bios/bio_eldritcharmor_b01.dbr,((charLevel*14)^1.33)+50,sm2,16569.8876,16985.7285,88.0,102.0,177960,184804,180943,187862,184257,191259,,,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
records/creatures/enemies/faction/skeleton_a01_summon.dbr,Monster,database/templates/monster.tpl,monsterAttributePak -> records/game/balancingadjustment_mp+difficulty_enemies01.dbr,True,records/creatures/enemies/nemesis/nemesis_orderdeathsvigil_01_revenantsummon.dbr,1,109,109,109,records/creatures/enemies/bios/bio_skeletonfodder_01.dbr,((charLevel*5.6)^1.28)+24,sm_mod,3701.7872,3701.7872,110.0,110.0,40571,40571,41237,41237,41978,41978,9403.0,4.3855,0.0,NO,MEASURED,DERIVED-INHERITED-FROM-SUMMONER
