track_id,wave,t_birth_s,t_last_s,n_frames,r_birth_gpx,r_birth_m_lo119,r_birth_m_hi125,r_min_gpx,r_min_m_lo119,r_min_m_hi125,at_frustum_boundary,G_MAX,N_MIN,H_GAP,basis
T00039,151,686.5833,688.85,126,701.68,5.8965,5.6134,41.74,0.3507,0.3339,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00040,151,686.6,687.0833,18,22.97,0.193,0.1838,17.65,0.1484,0.1412,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00041,151,686.65,686.8,6,107.15,0.9004,0.8572,104.15,0.8752,0.8332,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00042,151,686.6833,687.1333,18,81.74,0.6869,0.6539,33.41,0.2807,0.2673,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00043,151,686.7333,687.0667,21,568.93,4.7809,4.5515,554.93,4.6633,4.4395,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00044,151,686.9333,687.1,7,244.62,2.0557,1.957,238.3,2.0025,1.9064,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00045,151,687.1833,687.5667,13,451.68,3.7956,3.6134,451.68,3.7956,3.6134,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00046,151,687.2667,687.45,6,467.73,3.9305,3.7419,467.73,3.9305,3.7419,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00047,151,687.35,687.5167,6,396.8,3.3344,3.1744,396.8,3.3344,3.1744,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00048,151,687.5167,687.8,10,460.12,3.8666,3.681,380.75,3.1996,3.046,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00049,151,687.5167,687.8833,10,518.34,4.3558,4.1467,424.47,3.567,3.3958,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00050,151,687.6167,688.0333,24,571.9,4.8059,4.5752,555.37,4.667,4.443,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00051,151,687.6333,687.8,11,582.43,4.8944,4.6595,582.04,4.8911,4.6563,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00052,151,687.6333,688.0333,25,573.69,4.821,4.5896,561.17,4.7157,4.4894,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00053,151,687.7167,687.95,6,374.73,3.149,2.9978,211.07,1.7737,1.6886,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00054,151,687.75,688.0667,9,282.89,2.3772,2.2631,259.64,2.1818,2.0771,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00055,151,687.8667,688.0167,8,317.25,2.6659,2.538,236.12,1.9842,1.889,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00056,151,687.8667,688.2833,26,1282.57,10.7779,10.2606,1160.09,9.7487,9.2807,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00057,151,688.1,688.1833,6,151.57,1.2737,1.2125,140.53,1.1809,1.1242,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00058,151,688.1,688.3,7,285.85,2.4021,2.2868,245.87,2.0661,1.9669,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00059,151,688.4,688.6667,8,579.9,4.8731,4.6392,564.1,4.7404,4.5128,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00060,151,688.5167,688.8,10,221.18,1.8586,1.7694,189.14,1.5894,1.5131,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00061,151,688.5167,689.1,18,100.21,0.8421,0.8017,89.51,0.7522,0.7161,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00062,151,688.55,688.7667,10,65.18,0.5477,0.5214,65.18,0.5477,0.5214,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00063,151,688.55,688.9,11,392.83,3.3011,3.1426,302.81,2.5446,2.4224,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00064,151,688.5833,689.3,34,180.7,1.5185,1.4456,180.7,1.5185,1.4456,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00065,151,688.6333,688.85,6,520.18,4.3713,4.1615,498.4,4.1882,3.9872,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00066,151,688.65,688.9667,10,115.33,0.9691,0.9226,115.33,0.9691,0.9226,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00067,151,688.65,689.0833,9,564.39,4.7428,4.5151,520.07,4.3704,4.1606,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00068,151,688.7333,689.1,10,633.31,5.3219,5.0665,509.12,4.2783,4.073,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00069,151,688.8167,688.95,6,293.35,2.4651,2.3468,214.39,1.8016,1.7151,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00070,151,688.85,689.0,6,470.32,3.9523,3.7626,435.53,3.6599,3.4842,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00071,151,688.8667,689.15,8,447.38,3.7595,3.579,427.73,3.5943,3.4218,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00072,151,688.9,690.0,30,297.32,2.4985,2.3785,220.07,1.8493,1.7605,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00073,151,688.95,689.1833,8,416.27,3.4981,3.3302,395.63,3.3246,3.165,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00074,151,688.9667,689.1833,9,189.57,1.593,1.5166,188.11,1.5807,1.5048,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00075,151,688.9667,689.3333,9,371.67,3.1233,2.9734,289.9,2.4362,2.3192,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00076,151,688.9833,689.7667,19,227.65,1.9131,1.8212,100.3,0.8429,0.8024,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00077,151,688.9833,689.7667,42,1059.13,8.9003,8.4731,1045.47,8.7854,8.3637,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00078,151,689.0167,689.2333,7,211.16,1.7744,1.6892,208.16,1.7493,1.6653,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00079,151,689.05,689.35,11,306.02,2.5716,2.4481,300.94,2.5289,2.4075,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00080,151,689.1667,689.4,15,1382.03,11.6137,11.0563,1306.0,10.9748,10.448,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00081,151,689.1667,689.4667,10,233.4,1.9614,1.8672,233.4,1.9614,1.8672,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00082,151,689.1833,689.35,9,205.83,1.7297,1.6466,145.64,1.2239,1.1651,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00083,151,689.2,689.3333,7,205.8,1.7294,1.6464,159.92,1.3439,1.2794,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00084,151,689.2,689.9333,45,558.76,4.6955,4.4701,558.09,4.6898,4.4647,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00085,151,689.2333,689.3333,6,109.08,0.9167,0.8727,88.35,0.7425,0.7068,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00086,151,689.25,689.6833,25,171.12,1.438,1.369,70.03,0.5885,0.5603,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00087,151,689.3167,689.7833,16,173.29,1.4562,1.3863,51.95,0.4366,0.4156,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00088,151,689.3333,689.6333,8,372.53,3.1305,2.9802,326.97,2.7476,2.6157,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00089,151,689.3833,690.15,45,1031.24,8.6659,8.2499,945.42,7.9447,7.5634,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00090,151,689.4,689.5167,6,239.2,2.0101,1.9136,238.15,2.0013,1.9052,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00091,151,689.4,689.6167,6,256.71,2.1572,2.0537,233.0,1.958,1.864,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00092,151,689.4833,689.7333,11,515.2,4.3294,4.1216,515.2,4.3294,4.1216,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00093,151,689.55,689.9333,24,446.77,3.7544,3.5742,430.78,3.62,3.4463,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00094,151,689.5667,690.0667,30,1161.24,9.7583,9.2899,977.06,8.2106,7.8165,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00095,151,689.5667,691.3667,101,1198.3,10.0697,9.5864,474.47,3.9871,3.7958,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00096,151,689.5833,689.8,9,169.35,1.4231,1.3548,160.64,1.3499,1.2851,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00097,151,689.6167,690.0,11,383.28,3.2208,3.0662,365.12,3.0682,2.921,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00098,151,689.6833,689.8833,7,395.58,3.3242,3.1647,365.09,3.068,2.9208,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00099,151,689.7,689.8167,6,188.81,1.5867,1.5105,187.87,1.5787,1.5029,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00100,151,689.7333,689.9833,16,1191.35,10.0113,9.5308,1118.96,9.403,8.9517,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00101,151,689.8,690.1,9,180.42,1.5162,1.4434,149.51,1.2564,1.1961,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00102,151,690.0833,690.8667,44,1076.0,9.042,8.608,652.49,5.4831,5.2199,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00103,151,690.35,690.6167,9,344.45,2.8946,2.7556,318.83,2.6792,2.5506,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00104,151,690.4,691.95,92,1058.56,8.8954,8.4685,1045.81,8.7884,8.3665,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00105,151,690.45,690.6333,7,272.92,2.2934,2.1834,272.92,2.2934,2.1834,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00106,151,690.4833,692.25,105,1133.0,9.521,9.064,376.39,3.163,3.0111,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00107,151,690.5833,692.3,101,1031.35,8.6668,8.2508,555.49,4.668,4.4439,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00108,151,690.6167,690.8,8,1145.42,9.6253,9.1633,850.02,7.1431,6.8002,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00109,151,690.7,690.7833,6,1265.06,10.6307,10.1204,993.28,8.3469,7.9462,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00110,151,690.7,690.85,7,898.16,7.5476,7.1853,701.27,5.893,5.6102,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00111,151,690.7,691.4667,47,870.9,7.3185,6.9672,339.16,2.8501,2.7133,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00112,151,690.75,692.55,98,1001.45,8.4155,8.0116,285.12,2.3959,2.2809,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00113,151,690.7667,692.55,103,963.06,8.093,7.7045,388.97,3.2687,3.1118,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00114,151,690.8,691.3667,26,830.25,6.9769,6.642,460.71,3.8715,3.6856,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00115,151,690.8,692.0333,73,932.96,7.84,7.4637,158.86,1.3349,1.2708,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00116,151,690.8167,692.0333,72,985.74,8.2835,7.8859,303.03,2.5465,2.4242,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00117,151,690.85,692.1167,65,413.89,3.4781,3.3111,23.47,0.1972,0.1877,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00118,151,690.85,692.55,98,1340.3,11.263,10.7224,603.05,5.0676,4.8244,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00119,151,690.8833,691.1667,16,342.38,2.8772,2.7391,342.38,2.8772,2.7391,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00120,151,691.25,692.0,38,573.96,4.8232,4.5916,563.16,4.7324,4.5052,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00121,151,691.3,692.55,71,1349.29,11.3386,10.7943,666.94,5.6045,5.3355,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00122,151,691.3667,691.45,6,452.39,3.8016,3.6192,382.92,3.2178,3.0633,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00123,151,691.3667,691.6333,7,366.44,3.0793,2.9315,256.55,2.1558,2.0524,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00124,151,691.3833,691.6333,12,240.8,2.0235,1.9264,147.44,1.239,1.1795,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00125,151,691.4833,691.6167,9,237.97,1.9997,1.9037,167.46,1.4073,1.3397,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00126,151,691.4833,692.55,50,580.26,4.8761,4.6421,562.09,4.7235,4.4967,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00127,151,691.8,692.55,41,243.16,2.0434,1.9453,221.24,1.8591,1.7699,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00128,151,692.0333,692.55,29,287.48,2.4158,2.2998,58.04,0.4877,0.4643,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00129,151,692.1667,692.55,21,577.91,4.8564,4.6233,576.42,4.8438,4.6113,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00130,151,692.2,693.05,15,525.27,4.4141,4.2022,521.5,4.3823,4.172,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00131,151,692.9333,693.1,8,568.5,4.7773,4.548,505.14,4.2448,4.0411,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00132,151,692.9333,694.3,83,536.89,4.5117,4.2951,250.69,2.1067,2.0055,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00133,151,692.9333,694.9667,119,494.0,4.1513,3.952,81.88,0.6881,0.655,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00134,151,692.9333,695.4833,144,1058.56,8.8954,8.4685,1046.97,8.7981,8.3758,1,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00135,151,692.9333,696.2833,187,331.32,2.7842,2.6505,239.4,2.0118,1.9152,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00136,151,692.9333,696.3833,192,577.68,4.8544,4.6214,118.11,0.9926,0.9449,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00137,151,692.9333,697.5333,232,235.56,1.9795,1.8845,210.62,1.7699,1.685,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00138,151,692.95,693.2333,12,469.75,3.9475,3.758,372.01,3.1261,2.9761,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00139,151,693.25,693.3667,6,311.63,2.6187,2.493,309.36,2.5996,2.4749,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00140,151,693.2833,693.6,9,317.47,2.6678,2.5397,241.32,2.0279,1.9306,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00141,151,693.35,693.5333,6,177.55,1.492,1.4204,140.98,1.1847,1.1278,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00142,151,693.3833,693.8167,14,282.96,2.3778,2.2637,210.67,1.7703,1.6853,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00143,151,693.55,693.8,16,577.6,4.8538,4.6208,558.3,4.6916,4.4664,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00144,151,693.5667,693.7667,8,70.25,0.5903,0.562,70.25,0.5903,0.562,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00145,151,693.5833,693.8,14,576.72,4.8464,4.6138,561.96,4.7224,4.4957,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00146,151,693.6,693.7667,8,235.67,1.9804,1.8854,226.44,1.9028,1.8115,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00147,151,693.6167,693.8,12,568.75,4.7794,4.55,565.21,4.7497,4.5217,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00148,151,693.6167,693.8,7,620.98,5.2183,4.9678,604.6,5.0806,4.8368,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00149,151,693.65,694.4333,19,253.43,2.1296,2.0274,197.32,1.6581,1.5785,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00150,151,693.7,694.1333,13,236.24,1.9852,1.8899,236.04,1.9835,1.8883,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00151,151,693.8167,694.4167,12,267.96,2.2518,2.1437,233.91,1.9656,1.8713,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00152,151,693.95,694.4167,13,182.77,1.5358,1.4621,102.16,0.8585,0.8173,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00153,151,694.2667,694.4167,6,263.66,2.2157,2.1093,251.76,2.1156,2.014,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00154,151,694.55,696.1333,66,101.36,0.8517,0.8108,21.19,0.178,0.1695,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00155,151,694.65,695.1,13,395.43,3.3229,3.1634,395.43,3.3229,3.1634,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00156,151,694.7,694.9667,9,131.56,1.1055,1.0525,89.97,0.756,0.7197,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00157,151,694.7167,695.1333,26,286.58,2.4082,2.2926,280.46,2.3568,2.2437,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00158,151,694.7333,694.9,6,85.84,0.7214,0.6867,63.32,0.5321,0.5066,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00159,151,694.7833,694.95,8,249.35,2.0954,1.9948,246.36,2.0703,1.9709,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00160,151,694.7833,696.75,109,729.1,6.1269,5.8328,293.27,2.4644,2.3461,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00161,151,694.8667,695.0333,7,677.75,5.6954,5.422,676.35,5.6836,5.4108,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00162,151,694.9,695.3833,11,281.65,2.3668,2.2532,262.07,2.2023,2.0965,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00163,151,694.9,695.7833,22,414.51,3.4833,3.3161,396.33,3.3305,3.1706,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00164,151,694.9167,695.0833,6,286.93,2.4112,2.2954,251.56,2.1139,2.0125,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00165,151,694.9167,695.5833,14,502.64,4.2239,4.0211,495.72,4.1657,3.9657,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00166,151,694.9833,695.35,6,85.93,0.7221,0.6874,83.95,0.7055,0.6716,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00167,151,695.0167,695.7,22,576.72,4.8464,4.6138,558.76,4.6955,4.4701,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00168,151,695.05,695.15,7,550.51,4.6262,4.4041,550.43,4.6254,4.4034,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00169,151,695.0833,695.55,12,422.44,3.5499,3.3795,393.85,3.3097,3.1508,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00170,151,695.1,695.7,20,533.34,4.4819,4.2667,502.61,4.2236,4.0208,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00171,151,695.3833,695.5667,6,259.37,2.1795,2.0749,243.43,2.0456,1.9474,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
T00172,151,695.4,695.6,7,162.15,1.3626,1.2972,126.05,1.0593,1.0084,0,60.0,6,6,"Lap H-2 nameplate census, player-relative ground offsets"
