quantity,value,unit,source_record,source_archive,source_field,index,grade,note
weapon_base_physical_max,740.0,damage,records/items/gearweapons/melee2h/d107_blunt2h.dbr,gdx2,offensivePhysicalMax,,MEASURED,
weapon_bonus_physical_min,48.0,damage,records/items/gearweapons/melee2h/d107_blunt2h.dbr,gdx2,offensiveBonusPhysicalMin,,MEASURED,
weapon_bonus_physical_max,62.0,damage,records/items/gearweapons/melee2h/d107_blunt2h.dbr,gdx2,offensiveBonusPhysicalMax,,MEASURED,
weapon_conversion_1,Chaos->Physical 50.0%,conversion,records/items/gearweapons/melee2h/d107_blunt2h.dbr,gdx2,conversionPercentage,,MEASURED,Lap A camera read 55% -- record says 50%; camera and table DISAGREE (see method)
weapon_conversion_2,Lightning->Physical 50.0%,conversion,records/items/gearweapons/melee2h/d107_blunt2h.dbr,gdx2,conversionPercentage2,,MEASURED,Lap A camera read 46%
eor_conversion_skill_scoped,Fire->Physical 100.0%,conversion,records/skills/itemskillsgdx2/skillmodifiers/upgradedgdx2/mace2h_d107_eyeofreckoning.dbr,gdx2,conversionPercentage,,MEASURED,EoR-scoped: all EoR fire damage becomes physical
component_conversion,Aether->Physical 25%,conversion,records/items/materia/compa_sealmight.dbr,gdx1,conversionPercentage,,MEASURED,
channel_timeBetweenAttacks,200.0,0.8ms_quanta,records/skills/playerclass09/eyeofreckoning1.dbr,gdx2,timeBetweenAttacks,,MEASURED,template: 'Time between hits to enemies along the path'
channel_period_at_100pct_AS,0.16,seconds,(composed),,timeBetweenAttacks*0.0008,,DERIVED,quantum established at PE-1 across the whole spin/beam family
attack_speed_stat_line,196.0,percent,measured-player-sheet.csv,,attack_speed,frame 511,MEASURED,
attack_speed_implied_by_APS,182.1918,percent,measured-player-sheet.csv,,attacks_per_second / weapon_attacks_per_second,frames 511/495,MEASURED-DERIVED,"the sheet's own two readings do NOT agree; both carried, LO/HI per R-PM4-2 (monotone scalar)"
channel_hit_period_LO,0.08782,seconds,(composed),,period_at_100pct / attack_speed_multiplier,,DERIVED-BRACKET,
channel_hit_rate_LO,11.387,hits_per_second,(composed),,1 / hit_period,,DERIVED-BRACKET,
channel_hit_period_HI,0.081633,seconds,(composed),,period_at_100pct / attack_speed_multiplier,,DERIVED-BRACKET,
channel_hit_rate_HI,12.25,hits_per_second,(composed),,1 / hit_period,,DERIVED-BRACKET,
channel_duration,0.25,seconds,records/skills/playerclass09/eyeofreckoning1.dbr,gdx2,duration,,MEASURED,channel re-arm window; useResetsDuration=True
channel_rotationSpeedMultiplier,0.35,ratio,records/skills/playerclass09/eyeofreckoning1.dbr,gdx2,rotationSpeedMultiplier,,MEASURED,turning cost while channelling
channel_canUseWhileMoving,True,bool,records/skills/playerclass09/eyeofreckoning1.dbr,gdx2,canUseWhileMoving,,MEASURED,Lap G positive control -- reproduced from this seat
sheet_eor_damage_per_hit,43691-59761,damage,measured-player-sheet.csv,,eye_of_reckoning_damage_per_hit,frame 511,MEASURED-BY-CAMERA,the GAME'S OWN composed per-hit figure -- the run-of-record magnitude
sheet_weapon_damage_per_hit,16972-40930,damage,measured-player-sheet.csv,,weapon_damage_per_hit,frame 511,MEASURED-BY-CAMERA,
