stat,value,source,source_kind,rank_used,index_note,grade,basis
augmentSkillLevel3,3.0,set:warborn@3pc,set,3,set-index=pieces-1=2,MEASURED,record field read at the save's own allocation
augmentSkillLevel4,2.0,gear:chest:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel4,2.0,gear:feet:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel4,2.0,gear:hands:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel4,2.0,gear:ring1:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel4,2.0,gear:waist:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel4,2.0,gear:shoulders:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel5,2.0,gear:feet:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
augmentSkillLevel5,2.0,gear:hands:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterArmorStrengthReqReduction,12.0,skill:passive2.dbr,skill,5,exact,MEASURED,record field read at the save's own allocation
characterAttackSpeedModifier,8.0,gear:neck:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterAttackSpeedModifier,5.0,gear:neck:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterAttackSpeedModifier,17.0,gear:hands:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterAttackSpeedModifier,8.0,gear:ring1:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterAttackSpeedModifier,24.0,gear:weapon:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterAttackSpeedModifier,10.0,set:warborn@3pc,set,3,set-index=pieces-1=2,MEASURED,record field read at the save's own allocation
characterAttackSpeedModifier,13.0,devotion:tier2_21b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterAttackSpeedModifier,13.0,devotion:tier2_21c.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterAttackSpeedModifier,6.0,devotion:tier3_20f.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterAttackSpeedModifier,14.0,auramod:fieldcommand2.dbr,auramod,12,exact,MEASURED,record field read at the save's own allocation
characterBaseAttackSpeed,-0.18000000715255737,gear:weapon:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterConstitutionModifier,15.0,devotion:tier2_17a.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterConstitutionModifier,38.0,skill:passive2.dbr,skill,5,exact,MEASURED,record field read at the save's own allocation
characterDefensiveAbility,40.0,gear:head:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterDefensiveAbility,70.0,gear:neck:augment,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterDefensiveAbility,85.0,gear:feet:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterDefensiveAbility,18.0,gear:ring1:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterDefensiveAbility,52.0,gear:ring1:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterDefensiveAbility,40.0,gear:ring2:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterDefensiveAbility,70.0,gear:ring2:augment,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterDefensiveAbility,12.0,devotion:tier1_08b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterDefensiveAbility,12.0,devotion:tier1_29a.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterDefensiveAbility,15.0,devotion:tier1_29b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterDefensiveAbility,15.0,devotion:tier1_29c.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterDefensiveAbility,10.0,devotion:tier1_29d.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterDefensiveAbility,45.0,devotion:tier2_02e.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterDefensiveAbility,15.0,devotion:tier2_05b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterDefensiveAbility,40.0,devotion:tier2_17d.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterDefensiveAbility,15.0,devotion:tier1_39c.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterDefensiveAbility,25.0,devotion:tier2_37b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterDefensiveAbility,50.0,devotion:tier3_20c.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterDefensiveAbility,50.0,devotion:tier3_20f.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterDefensiveAbility,100.0,skill:fieldcommand1.dbr,skill,14,exact,MEASURED,record field read at the save's own allocation
characterDefensiveAbilityModifier,1.0,devotion:tier2_37e.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterDefensiveAbilityModifier,1.0,devotion:tier2_37f.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterDexterity,55.0,gear:legs:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterDexterity,20.0,devotion:tier2_05b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterDexterity,175.0,skill:_classtraining_class01.dbr,skill,50,exact,MEASURED,record field read at the save's own allocation
characterDexterity,128.0,skill:_classtraining_class09.dbr,skill,51,exact,MEASURED,record field read at the save's own allocation
characterEnergyAbsorptionPercent,20.0,gear:head:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterHealIncreasePercent,22.0,auramod:presenceofvirtue2.dbr,auramod,10,exact,MEASURED,record field read at the save's own allocation
characterIntelligence,20.0,gear:neck:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterIntelligence,38.0,gear:legs:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterIntelligence,55.0,gear:legs:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterIntelligence,15.0,devotion:tier1_42b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterIntelligence,75.0,skill:_classtraining_class01.dbr,skill,50,exact,MEASURED,record field read at the save's own allocation
characterIntelligence,128.0,skill:_classtraining_class09.dbr,skill,51,exact,MEASURED,record field read at the save's own allocation
characterLife,342.0,gear:neck:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterLife,330.0,gear:neck:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterLife,720.0,gear:chest:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterLife,100.0,gear:feet:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterLife,255.0,gear:ring1:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterLife,160.0,gear:ring1:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterLife,100.0,gear:waist:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterLife,470.0,gear:shoulders:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterLife,330.0,gear:medal:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterLife,322.0,gear:relic:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterLife,160.0,gear:weapon:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterLife,250.0,devotion:tier2_02a.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterLife,250.0,devotion:tier2_21b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterLife,250.0,devotion:tier2_21c.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterLife,110.0,devotion:tier1_39c.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterLife,60.0,devotion:tier1_42c.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterLife,250.0,devotion:tier2_37e.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterLife,250.0,devotion:tier2_37f.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterLife,300.0,devotion:tier3_20b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterLife,350.0,devotion:tier3_20c.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterLife,1400.0,skill:_classtraining_class01.dbr,skill,50,exact,MEASURED,record field read at the save's own allocation
characterLife,1275.0,skill:_classtraining_class09.dbr,skill,51,exact,MEASURED,record field read at the save's own allocation
characterLifeModifier,4.0,gear:head:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterLifeModifier,15.0,gear:weapon:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterLifeModifier,4.0,devotion:tier1_29d.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterLifeModifier,6.0,devotion:tier2_02b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterLifeModifier,6.0,devotion:tier2_05d.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterLifeModifier,16.0,skill:passive1.dbr,skill,10,exact,MEASURED,record field read at the save's own allocation
characterLifeModifier,16.0,auramod:presenceofvirtue2.dbr,auramod,10,exact,MEASURED,record field read at the save's own allocation
characterLifeRegen,30.0,devotion:tier2_02d.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterLifeRegen,30.0,skill:passive2.dbr,skill,5,exact,MEASURED,record field read at the save's own allocation
characterLifeRegenModifier,33.0,devotion:tier2_02d.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterLifeRegenModifier,25.0,skill:passive2.dbr,skill,5,exact,MEASURED,record field read at the save's own allocation
characterMana,220.0,gear:hands:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterMana,300.0,devotion:tier2_02a.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterMana,500.0,skill:_classtraining_class01.dbr,skill,50,exact,MEASURED,record field read at the save's own allocation
characterMana,663.0,skill:_classtraining_class09.dbr,skill,51,exact,MEASURED,record field read at the save's own allocation
characterManaLimitReserve,205.0,skill:fieldcommand1.dbr,skill,14,exact,MEASURED,record field read at the save's own allocation
characterManaLimitReserve,50.0,auramod:fieldcommand2.dbr,auramod,12,exact,MEASURED,record field read at the save's own allocation
characterManaLimitReserve,170.0,skill:presenceofvirtue1.dbr,skill,13,exact,MEASURED,record field read at the save's own allocation
characterManaLimitReserve,100.0,auramod:presenceofvirtue2.dbr,auramod,10,exact,MEASURED,record field read at the save's own allocation
characterManaLimitReserve,107.0,auramod:presenceofvirtue3.dbr,auramod,11,exact,MEASURED,record field read at the save's own allocation
characterManaLimitReserve,300.0,itemskill:compa_presenceofmight_01.dbr,itemskill,1,scalar,MEASURED,record field read at the save's own allocation
characterManaRegen,2.5,gear:neck:augment,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterManaRegen,1.7999999523162842,gear:ring1:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterManaRegen,2.5,gear:ring2:augment,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterManaRegen,2.5,devotion:tier2_02c.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterManaRegen,7.099999904632568,skill:presenceofvirtue1.dbr,skill,13,exact,MEASURED,record field read at the save's own allocation
characterManaRegenModifier,20.0,gear:medal:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterManaRegenModifier,33.0,devotion:tier2_02c.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterManaRegenModifier,10.0,devotion:tier1_38a.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterOffensiveAbility,56.0,gear:chest:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterOffensiveAbility,30.0,gear:chest:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterOffensiveAbility,34.0,gear:legs:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterOffensiveAbility,52.0,gear:ring2:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterOffensiveAbility,42.0,gear:ring2:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterOffensiveAbility,70.0,gear:shoulders:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterOffensiveAbility,8.0,gear:shoulders:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterOffensiveAbility,35.0,gear:shoulders:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterOffensiveAbility,50.0,gear:medal:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterOffensiveAbility,18.0,devotion:tier1_08d.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterOffensiveAbility,40.0,devotion:tier2_17d.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterOffensiveAbility,12.0,devotion:tier1_38b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterOffensiveAbility,10.0,devotion:tier1_42b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterOffensiveAbility,100.0,skill:fieldcommand1.dbr,skill,14,exact,MEASURED,record field read at the save's own allocation
characterOffensiveAbility,141.0,skill:presenceofvirtue1.dbr,skill,13,exact,MEASURED,record field read at the save's own allocation
characterOffensiveAbility,80.0,itemskill:gladiatorpersistence.dbr,itemskill,2,exact,MEASURED,record field read at the save's own allocation
characterOffensiveAbilityModifier,2.0,gear:chest:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterOffensiveAbilityModifier,2.0,gear:ring1:augment,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterOffensiveAbilityModifier,6.0,gear:ring2:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterOffensiveAbilityModifier,3.0,gear:waist:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterOffensiveAbilityModifier,3.0,gear:relic:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterRunSpeedModifier,6.0,gear:chest:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterRunSpeedModifier,10.0,gear:feet:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterRunSpeedModifier,6.0,devotion:tier2_02b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterRunSpeedModifier,5.0,devotion:tier2_21d.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterRunSpeedModifier,5.0,devotion:tier1_39b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterRunSpeedModifier,6.0,devotion:tier3_20c.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterShieldStrengthReqReduction,10.0,devotion:tier1_29b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterSpellCastSpeedModifier,5.0,gear:neck:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterSpellCastSpeedModifier,17.0,gear:hands:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterSpellCastSpeedModifier,10.0,gear:hands:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterSpellCastSpeedModifier,8.0,gear:ring1:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterSpellCastSpeedModifier,5.0,devotion:tier2_21b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterSpellCastSpeedModifier,5.0,devotion:tier2_21c.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterSpellCastSpeedModifier,6.0,devotion:tier3_20f.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterSpellCastSpeedModifier,14.0,auramod:fieldcommand2.dbr,auramod,12,exact,MEASURED,record field read at the save's own allocation
characterStrength,55.0,gear:legs:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterStrength,18.0,gear:legs:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterStrength,20.0,devotion:tier2_02e.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterStrength,20.0,devotion:tier2_05b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterStrength,25.0,devotion:tier2_17a.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterStrength,15.0,devotion:tier1_39b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
characterStrength,250.0,skill:_classtraining_class01.dbr,skill,50,exact,MEASURED,record field read at the save's own allocation
characterStrength,255.0,skill:_classtraining_class09.dbr,skill,51,exact,MEASURED,record field read at the save's own allocation
characterStrengthModifier,5.0,gear:neck:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterStrengthModifier,5.0,gear:medal:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterStrengthModifier,18.0,skill:passive1.dbr,skill,10,exact,MEASURED,record field read at the save's own allocation
characterTotalSpeedModifier,6.0,gear:relic:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
characterTotalSpeedModifier,6.0,devotion:tier1_38b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
conversionPercentage,30.0,gear:chest:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
conversionPercentage,25.0,gear:hands:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
conversionPercentage,100.0,gear:waist:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
conversionPercentage,30.0,gear:shoulders:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
conversionPercentage,50.0,gear:weapon:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
conversionPercentage,25.0,gear:weapon:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
conversionPercentage2,50.0,gear:weapon:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensiveAetherModifier,24.0,devotion:tier1_42d.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
offensiveBonusPhysicalMax,62.0,gear:weapon:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensiveBonusPhysicalMin,48.0,gear:weapon:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensiveChaosModifier,66.0,gear:ring1:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensiveCritDamageModifier,4.0,gear:waist:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensiveCritDamageModifier,15.0,devotion:tier2_21e.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
offensiveCritDamageModifier,37.0,skill:divinemandate1.dbr,skill,13,exact,MEASURED,record field read at the save's own allocation
offensiveElementalMin,15.0,devotion:tier2_17e.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
offensiveElementalModifier,50.0,devotion:tier2_17b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
offensiveElementalModifier,60.0,devotion:tier2_17e.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
offensiveFireMin,10.0,gear:ring1:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensiveFireModifier,40.0,gear:legs:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensiveFireModifier,66.0,gear:ring1:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensiveFireModifier,45.0,gear:ring2:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensiveFireModifier,143.0,skill:divinemandate1.dbr,skill,13,exact,MEASURED,record field read at the save's own allocation
offensiveGlobalChance,100.0,skill:presenceofvirtue1.dbr,skill,13,scalar,MEASURED,record field read at the save's own allocation
offensiveLifeLeechMin,5.0,gear:legs:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensiveLifeLeechMin,3.0,gear:hands:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensiveLifeLeechMin,5.0,devotion:tier2_02d.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
offensiveLifeLeechMin,4.0,devotion:tier2_05e.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
offensiveLifeLeechMin,3.0,devotion:tier1_42c.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
offensiveLifeModifier,24.0,devotion:tier1_42d.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalMax,13.0,gear:chest:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalMax,740.0,gear:weapon:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalMax,30.0,set:warborn@3pc,set,3,set-index=pieces-1=2,MEASURED,record field read at the save's own allocation
offensivePhysicalMax,12.0,devotion:tier2_37c.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalMax,56.0,auramod:presenceofvirtue3.dbr,auramod,11,exact,MEASURED,record field read at the save's own allocation
offensivePhysicalMax,22.0,itemskill:gladiatorpersistence.dbr,itemskill,2,exact,MEASURED,record field read at the save's own allocation
offensivePhysicalMin,7.0,gear:chest:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalMin,12.0,gear:ring1:augment,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalMin,144.0,gear:weapon:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalMin,13.0,gear:weapon:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalMin,18.0,set:warborn@3pc,set,3,set-index=pieces-1=2,MEASURED,record field read at the save's own allocation
offensivePhysicalMin,9.0,devotion:tier2_37c.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalMin,43.0,auramod:presenceofvirtue3.dbr,auramod,11,exact,MEASURED,record field read at the save's own allocation
offensivePhysicalMin,18.0,itemskill:gladiatorpersistence.dbr,itemskill,2,exact,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,62.0,gear:head:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,50.0,gear:neck:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,62.0,gear:chest:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,40.0,gear:legs:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,60.0,gear:feet:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,65.0,gear:hands:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,66.0,gear:ring1:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,50.0,gear:ring1:augment,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,45.0,gear:ring2:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,56.0,gear:ring2:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,76.0,gear:waist:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,62.0,gear:shoulders:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,45.0,gear:medal:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,50.0,gear:medal:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,75.0,gear:medal:affix,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,110.0,gear:relic:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,200.0,gear:weapon:base,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,50.0,gear:weapon:component,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,80.0,gear:weapon:augment,gear,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,15.0,devotion:tier1_08a.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,24.0,devotion:tier1_08c.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,40.0,devotion:tier2_05a.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,50.0,devotion:tier2_05c.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,50.0,devotion:tier2_17b.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,15.0,devotion:tier1_39a.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,24.0,devotion:tier1_39d.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,40.0,devotion:tier2_37a.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
offensivePhysicalModifier,50.0,devotion:tier2_37c.dbr,devotion,1,scalar,MEASURED,record field read at the save's own allocation
