eng_id,regime,play_time_start,play_time_end,pts_start,pts_end,dur_s,kills,coverage,delta_coverage,delta_covered_s,n_frames_decoded,n_ok,n_greedy_path,n_trunc_demoted,n_ocrspike_demoted,unreadable_break_s,hp_max_seen,hp_min,intake_hp,healed_hp,n_drops,drop_p50,drop_max,damage_spent,damage_dps_coverage
12,R1,1126,1135,772.0,781.0,9.0,5,1.0,0.9956,14.933,225,225,0,0,0,0,314,292,24,24,4,5,10,188.0,1.0
13,R2,1470,1472,1134.0,1136.5,2.5,4,1.0,0.9961,8.467,128,128,0,0,0,0,366,344,24,24,5,5,5,279.0,1.0
14,R2,1478,1483,1142.5,1147.5,5.0,9,1.0,0.9939,10.933,165,165,0,0,0,0,366,366,0,0,0,0,0,797.7,1.0
15,R2,1494,1494,1158.0,1158.0,0.0,1,1.0,0.9889,5.933,90,90,0,0,0,0,366,366,0,0,0,0,0,70.4,1.0
16,R2,1503,1511,1167.5,1175.5,8.0,7,1.0,0.9952,13.933,210,210,0,0,0,0,366,366,0,0,0,0,0,805.4,1.0
17,R2,1521,1526,1185.5,1190.0,4.5,6,1.0,0.9968,10.467,158,158,0,0,0,0,366,334,32,32,1,32,32,549.9,1.0
18,R2,1537,1542,1201.0,1206.0,5.0,4,1.0,0.9939,10.933,165,165,0,0,0,0,366,334,37,6,2,18,32,402.8,1.0
19,R2,1552,1555,1216.5,1219.5,3.0,4,1.0,0.9926,8.933,135,135,1,0,0,0,366,317,55,104,5,8,33,725.5,1.0
20,R2,1563,1563,1227.5,1227.5,0.0,1,1.0,0.9889,5.933,90,90,0,0,0,0,366,362,7,7,2,3,4,326.2,1.0
21,R2,1824,1828,1490.0,1494.5,4.5,6,1.0,0.9968,10.467,158,158,0,0,0,0,443,436,7,7,2,3,4,811.3,1.0
22,R2,1848,1875,1514.5,1541.0,26.5,18,0.9836,0.9908,32.2,488,480,62,6,0,0,443,410,54,53,10,5,12,2849.6,1.0
23,R2,1880,1896,1546.5,1562.0,15.5,18,0.9969,0.9985,21.467,323,322,5,1,0,0,443,406,65,65,2,32,37,3421.7,1.0
24,R2,1903,1907,1569.0,1573.0,4.0,3,1.0,0.9933,9.933,150,150,2,0,0,0,443,405,75,75,2,37,38,317.7,0.895
25,R2,2068,2072,1736.0,1740.0,4.0,10,0.9933,0.9933,9.933,150,149,2,0,0,0,451,413,38,38,1,38,38,2342.3,1.0
26,R2,2080,2085,1748.0,1753.5,5.5,13,0.9942,0.9971,11.467,173,172,2,1,0,0,451,413,43,43,2,21,38,4230.0,1.0
27,R2,2097,2105,1766.0,1774.5,8.5,8,1.0,0.9977,14.467,218,218,0,0,0,0,451,451,0,0,0,0,0,2543.9,1.0
28,R2,2112,2114,1781.0,1783.5,2.5,7,0.9766,0.9647,8.2,128,125,17,0,0,0,451,425,0,26,0,0,0,1961.2,1.0
29,R2,2120,2128,1789.0,1797.5,8.5,5,0.9862,0.9977,14.467,218,215,22,1,0,0,451,295,199,225,5,26,106,3264.7,1.0
30,R2,2144,2144,1813.0,1813.0,0.0,1,1.0,0.9889,5.933,90,90,0,0,0,0,451,451,0,0,0,0,0,368.1,1.0
31,R2,2153,2177,1822.0,1846.5,24.5,24,0.6747,0.6732,20.533,458,309,68,1,0,5.6,451,77,360,444,17,18,103,6627.1,0.983
32,R2,2637,2642,2309.0,2313.5,4.5,9,1.0,0.9968,10.467,158,158,0,0,0,0,471,471,0,0,0,0,0,5051.0,1.0
33,R2,2648,2648,2320.0,2320.0,0.0,1,1.0,0.9889,5.933,90,90,0,0,0,0,471,471,0,0,0,0,0,522.5,1.0
34,R2,2683,2683,2355.5,2356.0,0.5,3,0.9796,0.9744,6.333,98,96,0,0,0,0,471,467,4,4,1,4,4,1700.2,1.0
35,R2,2815,2820,2489.5,2495.0,5.5,6,1.0,0.9971,11.467,173,173,0,0,0,0,471,452,26,26,12,1,9,2458.9,1.0
36,R2,2939,2953,2617.0,2631.0,14.0,15,0.9933,0.9967,19.933,300,298,8,0,0,0,491,351,284,145,22,8,39,6572.0,1.0
37,R2,2962,2964,2640.0,2642.0,2.0,7,1.0,0.9917,7.933,120,120,0,0,0,0,491,491,0,0,0,0,0,3917.9,1.0
38,R2,2976,2999,2654.5,2677.5,23.0,27,0.7839,0.7862,22.8,435,341,0,1,0,5.8,491,195,494,323,23,10,74,13882.8,1.0
39,R2,3027,3027,2705.5,2705.5,0.0,1,0.0,0.0,0.0,90,0,0,0,0,5.93,,,0,0,0,0,0,1385.1,1.0
40,R2,3045,3050,2724.0,2728.5,4.5,8,0.9937,0.9968,10.467,158,157,1,1,0,0,491,469,57,67,5,10,17,5945.4,1.0
41,R2,3689,3691,3372.5,3375.0,2.5,4,1.0,0.9961,8.467,128,128,0,0,0,0,672,662,10,10,1,10,10,2715.1,1.0
42,R2,3703,3707,3387.0,3390.5,3.5,4,1.0,0.9965,9.467,143,143,0,0,0,0,672,672,0,0,0,0,0,1575.4,1.0
43,R2,3712,3719,3396.0,3402.5,6.5,9,1.0,0.9973,12.467,188,188,0,0,0,0,672,660,12,12,1,12,12,4118.8,0.917
44,R2,3725,3744,3409.0,3427.5,18.5,25,1.0,0.9986,24.467,368,368,1,0,0,0,672,605,95,95,3,21,67,13960.1,1.0
45,R2,3752,3753,3436.0,3437.0,1.0,2,1.0,0.9905,6.933,105,105,0,0,0,0,672,672,0,0,0,0,0,1201.7,1.0
46,R2,3768,3769,3451.5,3452.5,1.0,2,1.0,0.9905,6.933,105,105,0,0,0,0,672,672,0,0,0,0,0,1085.7,1.0
47,R2,3776,3785,3460.0,3468.5,8.5,10,1.0,0.9977,14.467,218,218,0,0,0,0,672,654,23,23,2,11,12,5531.6,1.0
48,R2,3800,3804,3483.5,3488.0,4.5,5,1.0,0.9968,10.467,158,158,1,0,0,0,672,619,81,81,20,1,35,3062.1,1.0
49,R2,3812,3816,3495.5,3500.0,4.5,8,1.0,0.9968,10.467,158,158,1,0,0,0,672,611,84,83,13,2,32,4643.1,1.0
50,R2,3824,3830,3508.0,3514.0,6.0,8,0.9611,0.9555,11.467,180,173,1,7,0,0,672,587,95,95,5,12,47,5539.9,1.0
51,R2,3836,3840,3519.5,3523.5,4.0,10,0.9733,0.9933,9.933,150,146,0,3,0,0,672,635,46,46,11,1,36,5516.7,1.0
52,R2,3845,3851,3529.0,3535.0,6.0,10,1.0,0.9944,11.933,180,180,0,0,0,0,672,648,37,37,3,12,13,6231.7,1.0
53,R2,3858,3885,3541.5,3569.0,27.5,41,1.0,0.999,33.467,503,503,0,0,0,0,672,558,136,136,2,68,71,19808.1,0.97
54,R2,3891,3897,3574.5,3580.5,6.0,9,1.0,0.9944,11.933,180,180,0,0,0,0,672,672,0,0,0,0,0,4923.1,0.957
55,R2,3919,3936,3602.5,3619.5,17.0,16,0.9768,0.9739,22.4,345,337,1,8,0,0,672,544,370,369,6,57,113,10725.0,0.978
56,R2,4256,4264,3944.0,3952.5,8.5,8,1.0,0.9977,14.467,218,218,0,0,0,0,707,707,0,0,0,0,0,4798.7,0.964
57,R2,4272,4272,3960.0,3960.0,0.0,1,1.0,0.9889,5.933,90,90,0,0,0,0,707,707,0,0,0,0,0,716.2,1.0
58,R2,4279,4281,3967.5,3969.5,2.0,10,1.0,0.9917,7.933,120,120,0,0,0,0,707,685,22,22,1,22,22,6458.7,1.0
59,R2,4294,4296,3982.0,3984.5,2.5,3,1.0,0.9961,8.467,128,128,0,0,0,0,707,676,31,31,1,31,31,2130.5,1.0
60,R2,4303,4308,3991.0,3996.0,5.0,8,1.0,0.9939,10.933,165,165,0,0,0,0,707,707,0,0,0,0,0,4223.8,1.0
61,R2,4319,4330,4013.0,4023.5,10.5,13,1.0,0.998,16.467,248,248,1,0,0,0,707,623,150,150,6,12,84,7245.4,1.0
62,R2,4358,4359,4051.5,4052.5,1.0,9,1.0,0.9905,6.933,105,105,0,0,0,0,707,581,151,151,18,2,51,4880.4,1.0
63,R2,4370,4373,4063.5,4067.0,3.5,6,1.0,0.9965,9.467,143,143,0,0,0,0,707,697,10,10,1,10,10,3405.2,1.0
64,R2,4387,4394,4081.0,4087.5,6.5,9,1.0,0.9973,12.467,188,188,0,0,0,0,707,707,0,0,0,0,0,5184.4,1.0
65,R2,4418,4422,4111.5,4116.0,4.5,6,1.0,0.9968,10.467,158,158,0,0,0,0,707,697,10,10,1,10,10,3239.4,1.0
66,R2,4428,4431,4122.0,4125.0,3.0,5,1.0,0.9926,8.933,135,135,0,0,0,0,707,707,0,0,0,0,0,3305.2,1.0
67,R2,4437,4437,4130.5,4130.5,0.0,1,1.0,0.9889,5.933,90,90,0,0,0,0,707,707,0,0,0,0,0,713.2,1.0
68,R2,4448,4455,4142.0,4148.5,6.5,10,1.0,0.9973,12.467,188,188,0,0,0,0,707,707,0,0,0,0,0,5002.3,1.0
69,R2,4472,4472,4166.0,4166.0,0.0,1,1.0,0.9889,5.933,90,90,0,0,0,0,707,707,0,0,0,0,0,768.5,1.0
70,R2,4506,4511,4200.0,4205.0,5.0,3,1.0,0.9939,10.933,165,165,0,0,0,0,707,707,0,0,0,0,0,1597.0,1.0
71,R2,4518,4519,4211.5,4213.0,1.5,4,1.0,0.9956,7.467,113,113,0,0,0,0,707,696,11,11,1,11,11,2518.0,1.0
72,R2,4544,4554,4238.5,4249.0,10.5,16,0.9637,0.9616,15.867,248,239,0,0,0,0,707,691,42,42,16,1,16,9767.3,1.0
73,R2,4564,4573,4258.5,4267.5,9.0,16,0.9511,0.9422,14.133,225,214,0,11,0,0,707,541,149,171,2,74,76,7992.3,1.0
74,R2,4604,4608,4298.5,4302.5,4.0,5,1.0,0.9933,9.933,150,150,0,0,0,0,707,707,0,0,0,0,0,3271.0,1.0
75,R2,4987,4993,4685.5,4691.0,5.5,7,0.5665,0.5565,6.4,173,98,55,1,0,0,747,692,81,88,3,19,44,5802.5,1.0
76,R2,5018,5025,4716.0,4722.5,6.5,13,0.6915,0.704,8.8,188,130,42,0,0,0,747,747,0,0,0,0,0,6725.6,0.958
77,R2,5345,5351,5043.0,5048.5,5.5,8,0.7919,0.8174,9.4,173,137,83,0,0,0,747,690,70,70,2,35,57,4087.5,1.0
78,R2,5377,5388,5075.5,5087.0,11.5,21,0.4068,0.3848,6.733,263,107,98,0,0,4.07,747,732,27,20,4,5,15,10279.4,1.0
79,R2,5395,5404,5094.0,5103.0,9.0,11,0.5822,0.5778,8.667,225,131,40,0,0,0,747,693,83,77,10,1,54,5235.1,0.966
80,R2,5412,5414,5110.5,5113.0,2.5,10,0.2344,0.2118,1.8,128,30,30,0,0,0,747,747,0,0,0,0,0,5711.4,1.0
81,R2,5431,5441,5129.5,5140.0,10.5,11,0.6008,0.6101,10.067,248,149,72,2,0,2.87,747,626,124,124,4,1,121,6453.6,0.875
82,R2,5447,5450,5145.5,5148.5,3.0,6,0.6815,0.7185,6.467,135,92,12,3,0,0,747,0,924,177,5,110,541,4847.2,1.0
83,R2,5505,5508,5208.5,5212.0,3.5,11,0.2098,0.1825,1.733,143,30,18,0,0,3.47,747,747,0,0,0,0,0,5946.9,1.0
84,R2,5530,5530,5233.5,5233.5,0.0,1,0.9444,0.9889,5.933,90,85,7,5,0,0,430,238,378,188,32,2,185,1590.2,1.0
85,R2,5558,5558,5262.0,5262.0,0.0,1,0.2444,0.2556,1.533,90,22,7,0,0,4.33,434,414,1,21,1,1,1,1862.0,1.0
86,R2,5638,5643,5343.0,5347.5,4.5,12,0.5759,0.5714,6.0,158,91,10,1,0,0,747,605,215,262,3,77,108,5197.7,0.85
87,R2,5648,5655,5353.0,5359.5,6.5,5,0.6755,0.6827,8.533,188,127,16,1,0,0,747,571,138,357,2,69,71,3837.2,1.0
88,R2,5791,5797,5497.5,5503.5,6.0,6,0.9833,0.9944,11.933,180,177,11,2,0,0,726,81,879,269,17,27,304,7992.1,1.0
89,R2,5808,5808,5515.0,5515.0,0.0,1,0.9889,0.9889,5.933,90,89,1,0,0,0,759,33,366,761,16,1,244,1003.9,1.0
90,R3,6475,6478,6184.0,6186.5,2.5,7,0.0,0.0,0.0,128,0,0,0,0,8.47,,,0,0,0,0,0,3530.4,0.938
91,R3,6493,6493,6202.0,6202.0,0.0,4,0.0,0.0,0.0,90,0,0,0,0,5.93,,,0,0,0,0,0,3628.0,1.0
92,R3,6505,6506,6213.5,6215.0,1.5,5,0.0,0.0,0.0,113,0,0,0,0,7.47,,,0,0,0,0,0,3930.3,1.0
93,R3,6520,6528,6228.5,6237.0,8.5,17,0.0,0.0,0.0,218,0,0,0,0,14.47,,,0,0,0,0,0,8772.9,1.0
94,R3,6541,6546,6249.5,6255.0,5.5,15,0.9769,0.9681,11.133,173,169,0,0,0,0,1600,1499,101,101,1,101,101,8720.7,1.0
95,R3,6565,6573,6273.5,6282.0,8.5,14,0.8624,0.8736,12.667,218,188,0,2,0,0,1600,1575,44,44,3,16,16,7866.0,0.964
96,R3,6580,6580,6289.0,6289.0,0.0,1,0.8556,0.8445,5.067,90,77,0,0,0,0,1600,1600,0,0,0,0,0,366.5,0.909
97,R3,6656,6668,6367.0,6379.0,12.0,15,0.9889,0.9815,17.667,270,267,0,0,0,0,1600,1600,0,0,0,0,0,9803.0,1.0
98,R3,6681,6685,6391.5,6395.5,4.0,6,0.9267,0.9133,9.133,150,139,0,0,0,0,1600,1499,145,46,20,1,65,4744.3,1.0
99,R3,6696,6700,6407.0,6411.0,4.0,7,0.6067,0.5933,5.933,150,91,0,0,0,0,1600,1456,109,21,15,1,42,3287.4,0.947
100,R3,6707,6713,6418.0,6424.0,6.0,13,0.7944,0.8056,9.667,180,143,23,23,1,0,1600,121,414,1550,33,1,117,9076.9,0.826
101,R3,6724,6731,6436.0,6443.0,7.0,20,1.0,0.9949,12.933,195,195,0,0,0,0,1600,1588,16,16,2,8,12,15047.2,1.0
102,R3,6748,6769,6459.5,6481.0,21.5,27,0.9855,0.9988,27.467,413,407,0,1,2,0,1600,1375,318,318,3,91,136,18877.8,0.981
103,R3,6782,6820,6494.0,6531.5,37.5,29,0.9724,0.9762,42.467,653,635,6,13,0,0,1600,1355,846,821,14,69,118,24188.6,1.0
104,R3,6827,6828,6539.0,6540.0,1.0,2,1.0,0.9905,6.933,105,105,0,0,0,0,1600,1600,0,0,0,0,0,2000.9,1.0
105,R3,6847,6851,6561.0,6564.5,3.5,8,0.5594,0.5684,5.4,143,80,0,1,1,3.07,1600,1505,111,35,18,1,57,6372.3,1.0
