witch-doctor/soul-harvest	200	7766123	Wed, 25 Apr 2012 19:00:20 GMT
witch-doctor/spirit-barrage	200	8224949	Mon, 12 Mar 2012 17:52:42 GMT
witch-doctor/spirit-walk	404	10	
witch-doctor/summon-zombie-dogs	200	8085505	Thu, 19 Jul 2012 20:53:56 GMT
witch-doctor/wall-of-zombies	200	6827650	Mon, 26 Mar 2012 20:27:49 GMT
witch-doctor/zombie-charger	404	10	
wizard/arcane-orb	200	7382328	Thu, 19 Jul 2012 20:55:23 GMT
wizard/arcane-torrent	200	8279180	Wed, 25 Apr 2012 19:00:24 GMT
wizard/archon	200	9584132	Mon, 12 Mar 2012 17:52:37 GMT
wizard/blizzard	200	8672553	Mon, 12 Mar 2012 17:52:39 GMT
wizard/diamond-skin	404	10	
wizard/disintegrate	200	6260659	Fri, 24 Feb 2012 01:10:47 GMT
wizard/electrocute	200	6773276	Fri, 27 Jul 2012 22:22:18 GMT
wizard/energy-armor	200	4067878	Fri, 24 Feb 2012 01:10:55 GMT
wizard/energy-twister	404	10	
wizard/explosive-blast	200	7013605	Mon, 26 Mar 2012 20:27:53 GMT
wizard/familiar	200	7503740	Fri, 24 Feb 2012 01:11:03 GMT
wizard/frost-nova	404	10	
wizard/hydra	200	6993510	Fri, 24 Feb 2012 01:10:50 GMT
wizard/ice-armor	404	10	
wizard/magic-missile	404	10	
wizard/magic-weapon	404	10	
wizard/meteor	200	5210598	Fri, 24 Feb 2012 01:11:01 GMT
wizard/mirror-image	200	8573680	Fri, 24 Feb 2012 01:10:50 GMT
wizard/ray-of-frost	200	6787217	Fri, 24 Feb 2012 01:11:03 GMT
wizard/shock-pulse	404	10	
wizard/slow-time	200	9043827	Wed, 25 Apr 2012 19:00:23 GMT
wizard/spectral-blade	404	10	
wizard/storm-armor	404	10	
wizard/teleport	200	7311662	Wed, 25 Apr 2012 19:00:26 GMT
wizard/wave-of-force	200	7817807	Thu, 19 Jul 2012 20:55:24 GMT
