layer,family,subject,occupant,rva,verdict,grade,method
record,controller_param,Guardian of Empyrion,30,records/controllers/pets/controller_celestialguardian_aggressive.dbr,ignorePetsChance,MEASURED,field read
record,controller_param,Guardian of Empyrion,30,records/controllers/pets/controller_celestialguardian_aggressive.dbr,petAngerTransference,MEASURED,field read
rtti,hierarchy,classInfo@Pet,classInfo@Monster,0x107ff5b8+0x08,Pet DERIVES FROM Monster,DECODED,"RTTI_ClassInfo base pointer at +0x08, both ends exported by name"
rtti,hierarchy,classInfo@ControllerPet,classInfo@ControllerMonster,0x007fd308+0x08,ControllerPet DERIVES FROM ControllerMonster,DECODED,"RTTI_ClassInfo base pointer at +0x08, both ends exported by name"
rtti,hierarchy,classInfo@Player,classInfo@Character,0x107ff5a0+0x08,Player DERIVES FROM Character,DECODED,"RTTI_ClassInfo base pointer at +0x08, both ends exported by name"
binary,state_machine,RegisterStates@ControllerPet,jmp RegisterStates@ControllerMonster,0x000e8e90,"a pet registers EXACTLY the ControllerMonster state set - no additions, no removals",DECODED,bounded disasm: a bare jmp
binary,state_machine,RegisterTemporaryStates@ControllerPet,jmp RegisterTemporaryStates@ControllerMonster,0x000e8ef0,same,DECODED,bounded disasm: a bare jmp
binary,state_machine,ControllerMonster registered states,Startup|Idle|Pursue|Attack|JumpAttack|RepositionForAttack|Flee|Roam|Wander|WanderPause|Return|Dying|Dead|FollowLeader|DefendLeader|NavigateObstacle|Move|Charge|DodgeAttack|Panic|Paralyze|Confused|Immobile|Trapped|Stunned|KnockedDown|Sleeping|Scared|Patrol|WaitToAttack|QuestMove|QuestWalk|QuestPlayAnimation|QuestUseSkill|GettingUp|TakeHit,0x000f87c0,"36 state names, string-literal exact",MEASURED,push-literal scan over the bounded body
body_vtable,Confusion,Player,0x000084d0 (ret 4 stub),Character vtable +0x3c8,player-side occupant,MEASURED,vtable slot read
body_vtable,Confusion,Pet / PetPlayerScaling,0x002d9670 CombatExertInfluenceConfusion@Monster,Character vtable +0x3c8,PET-SIDE OCCUPANT - PetPlayerScaling inherits Pet's vftable at this slot,MEASURED,vtable slot read on ??_7Pet@GAME@@6BObject@1@@ and ??_7PetPlayerScaling@GAME@@6BObject@1@@
body_vtable,Confusion,Monster,0x002d9670 CombatExertInfluenceConfusion@Monster,Character vtable +0x3c8,monster-side occupant,MEASURED,vtable slot read
body_vtable,Fear,Player,0x00054690 CombatExertInfluenceFear@Character,Character vtable +0x3c4,player-side occupant,MEASURED,vtable slot read
body_vtable,Fear,Pet / PetPlayerScaling,0x00054690 (same),Character vtable +0x3c4,PET-SIDE OCCUPANT - PetPlayerScaling inherits Pet's vftable at this slot,MEASURED,vtable slot read on ??_7Pet@GAME@@6BObject@1@@ and ??_7PetPlayerScaling@GAME@@6BObject@1@@
body_vtable,Fear,Monster,0x00054690 (same),Character vtable +0x3c4,monster-side occupant,MEASURED,vtable slot read
body_vtable,Taunt,Player,0x000546d0 CombatExertInfluenceTaunt@Character,Character vtable +0x3cc,player-side occupant,MEASURED,vtable slot read
body_vtable,Taunt,Pet / PetPlayerScaling,0x000546d0 (same),Character vtable +0x3cc,PET-SIDE OCCUPANT - PetPlayerScaling inherits Pet's vftable at this slot,MEASURED,vtable slot read on ??_7Pet@GAME@@6BObject@1@@ and ??_7PetPlayerScaling@GAME@@6BObject@1@@
body_vtable,Taunt,Monster,0x000546d0 (same),Character vtable +0x3cc,monster-side occupant,MEASURED,vtable slot read
controller_vtable,Fear,ControllerPlayer +0x84,0x0000f100 (`ret 8` stub),+0x84,"NO-OP on the player (D-7 § 3.4, RE-DERIVED here)",DECODED,bounded disasm of the occupant
controller_vtable,Fear,ControllerMonster / ControllerPet / ControllerAlly +0x84,0x000f6c50 ScareMe@ControllerMonster,+0x84,"REAL: latches a scared-until value at Controller+0x530 if the new one is larger, then drives the current AI state via state vtable +0xd0",DECODED,bounded disasm of the occupant
controller_vtable,Taunt,ControllerPlayer +0x8c,0x0000f100 (`ret 8` stub),+0x8c,NO-OP on the player,DECODED,bounded disasm of the occupant
controller_vtable,Taunt,ControllerMonster / ControllerPet / ControllerAlly +0x8c,0x000f9c80 TauntMe@ControllerMonster,+0x8c,"REAL: if InPursuitRange@ControllerMonster(id) [0x000fb7a0] then AddAnger@AngerManager(id, amount, forced=true)",DECODED,bounded disasm of the occupant
controller_vtable,Confusion,the pet's controller,state vtable +0x9c (`Confused`),+0x9c,CombatExertInfluenceConfusion@Monster tail-jumps into the CURRENT AI STATE's +0x9c; the ControllerMonster state set registers a `Confused` state,DECODED,bounded disasm
controller_vtable,involuntary-effect ladder,BeginStun,BYTE-IDENTICAL across ControllerPlayer / ControllerMonster / ControllerPet / ControllerAlly,+0x090,"the shared forwarder (ICF-folded); it dispatches to the CURRENT AI STATE's slot 40 - which for a pet is a ControllerMonsterState*, not a ControllerPlayerState*",MEASURED,vtable slot read on all four classes
controller_vtable,involuntary-effect ladder,EndStun,BYTE-IDENTICAL across ControllerPlayer / ControllerMonster / ControllerPet / ControllerAlly,+0x094,"the shared forwarder (ICF-folded); it dispatches to the CURRENT AI STATE's slot 40 - which for a pet is a ControllerMonsterState*, not a ControllerPlayerState*",MEASURED,vtable slot read on all four classes
controller_vtable,involuntary-effect ladder,BeginSleep,BYTE-IDENTICAL across ControllerPlayer / ControllerMonster / ControllerPet / ControllerAlly,+0x0a8,"the shared forwarder (ICF-folded); it dispatches to the CURRENT AI STATE's slot 40 - which for a pet is a ControllerMonsterState*, not a ControllerPlayerState*",MEASURED,vtable slot read on all four classes
controller_vtable,involuntary-effect ladder,EndSleep,BYTE-IDENTICAL across ControllerPlayer / ControllerMonster / ControllerPet / ControllerAlly,+0x0ac,"the shared forwarder (ICF-folded); it dispatches to the CURRENT AI STATE's slot 40 - which for a pet is a ControllerMonsterState*, not a ControllerPlayerState*",MEASURED,vtable slot read on all four classes
controller_vtable,involuntary-effect ladder,BeginImmobilize (Freeze 0x2d / Petrify 0x2e / Immobilize 0x2f),BYTE-IDENTICAL across ControllerPlayer / ControllerMonster / ControllerPet / ControllerAlly,+0x0b0,"the shared forwarder (ICF-folded); it dispatches to the CURRENT AI STATE's slot 40 - which for a pet is a ControllerMonsterState*, not a ControllerPlayerState*",MEASURED,vtable slot read on all four classes
controller_vtable,involuntary-effect ladder,EndImmobilize,BYTE-IDENTICAL across ControllerPlayer / ControllerMonster / ControllerPet / ControllerAlly,+0x0b4,"the shared forwarder (ICF-folded); it dispatches to the CURRENT AI STATE's slot 40 - which for a pet is a ControllerMonsterState*, not a ControllerPlayerState*",MEASURED,vtable slot read on all four classes
controller_vtable,involuntary-effect ladder,BeginTrap,BYTE-IDENTICAL across ControllerPlayer / ControllerMonster / ControllerPet / ControllerAlly,+0x0b8,"the shared forwarder (ICF-folded); it dispatches to the CURRENT AI STATE's slot 40 - which for a pet is a ControllerMonsterState*, not a ControllerPlayerState*",MEASURED,vtable slot read on all four classes
controller_vtable,involuntary-effect ladder,EndTrap,BYTE-IDENTICAL across ControllerPlayer / ControllerMonster / ControllerPet / ControllerAlly,+0x0bc,"the shared forwarder (ICF-folded); it dispatches to the CURRENT AI STATE's slot 40 - which for a pet is a ControllerMonsterState*, not a ControllerPlayerState*",MEASURED,vtable slot read on all four classes
record,innate_resistance,Deathstalker :: defensiveConfusion,500.0,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,the route is live at the binary layer; THIS body resists it by 500.0,MEASURED,field read on the body's innate passive
record,innate_resistance,Deathstalker :: defensiveFear,500.0,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,the route is live at the binary layer; THIS body resists it by 500.0,MEASURED,field read on the body's innate passive
record,innate_resistance,Deathstalker :: defensiveConvert,500.0,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,the route is live at the binary layer; THIS body resists it by 500.0,MEASURED,field read on the body's innate passive
record,innate_resistance,Deathstalker :: defensiveTotalSpeedResistance,500.0,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,the route is live at the binary layer; THIS body resists it by 500.0,MEASURED,field read on the body's innate passive
record,innate_resistance,Deathstalker :: defensiveStun,0.0,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,the route is live at the binary layer; THIS body resists it by 0.0,MEASURED,field read on the body's innate passive
record,innate_resistance,Deathstalker :: defensiveFreeze,<ABSENT => 0>,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,the route is live at the binary layer; THIS body resists it by <absent>,MEASURED,field read on the body's innate passive
record,innate_resistance,Deathstalker :: defensivePetrify,<ABSENT => 0>,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,the route is live at the binary layer; THIS body resists it by <absent>,MEASURED,field read on the body's innate passive
record,innate_resistance,Deathstalker :: defensiveSleep,<ABSENT => 0>,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,the route is live at the binary layer; THIS body resists it by <absent>,MEASURED,field read on the body's innate passive
record,innate_resistance,Deathstalker :: defensiveTrap,<ABSENT => 0>,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,the route is live at the binary layer; THIS body resists it by <absent>,MEASURED,field read on the body's innate passive
record,innate_resistance,Deathstalker :: defensiveKnockdown,0.0,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,the route is live at the binary layer; THIS body resists it by 0.0,MEASURED,field read on the body's innate passive
record,innate_resistance,Deathstalker :: defensiveLifeLeach,<ABSENT => 0>,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,the route is live at the binary layer; THIS body resists it by <absent>,MEASURED,field read on the body's innate passive
record,innate_resistance,Deathstalker :: defensiveBleeding,88.0,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,the route is live at the binary layer; THIS body resists it by 88.0,MEASURED,field read on the body's innate passive
record,innate_resistance,Deathstalker :: defensivePercentCurrentLife,500.0,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,the route is live at the binary layer; THIS body resists it by 500.0,MEASURED,field read on the body's innate passive
record,innate_resistance,Deathstalker :: defensivePercentReflectionResistance,50.0,records/skills/itemskillsgdx1/pets/petskill_deathstalker_passiveproperties.dbr,the route is live at the binary layer; THIS body resists it by 50.0,MEASURED,field read on the body's innate passive
record,innate_resistance,Guardian of Empyrion :: defensiveConfusion,500.0,records/skills/playerclass09/pets/petskill_celestialguardian_innate01.dbr,the route is live at the binary layer; THIS body resists it by 500.0,MEASURED,field read on the body's innate passive
record,innate_resistance,Guardian of Empyrion :: defensiveFear,500.0,records/skills/playerclass09/pets/petskill_celestialguardian_innate01.dbr,the route is live at the binary layer; THIS body resists it by 500.0,MEASURED,field read on the body's innate passive
record,innate_resistance,Guardian of Empyrion :: defensiveConvert,500.0,records/skills/playerclass09/pets/petskill_celestialguardian_innate01.dbr,the route is live at the binary layer; THIS body resists it by 500.0,MEASURED,field read on the body's innate passive
record,innate_resistance,Guardian of Empyrion :: defensiveTotalSpeedResistance,500.0,records/skills/playerclass09/pets/petskill_celestialguardian_innate01.dbr,the route is live at the binary layer; THIS body resists it by 500.0,MEASURED,field read on the body's innate passive
record,innate_resistance,Guardian of Empyrion :: defensiveStun,0.0,records/skills/playerclass09/pets/petskill_celestialguardian_innate01.dbr,the route is live at the binary layer; THIS body resists it by 0.0,MEASURED,field read on the body's innate passive
record,innate_resistance,Guardian of Empyrion :: defensiveFreeze,<ABSENT => 0>,records/skills/playerclass09/pets/petskill_celestialguardian_innate01.dbr,the route is live at the binary layer; THIS body resists it by <absent>,MEASURED,field read on the body's innate passive
record,innate_resistance,Guardian of Empyrion :: defensivePetrify,<ABSENT => 0>,records/skills/playerclass09/pets/petskill_celestialguardian_innate01.dbr,the route is live at the binary layer; THIS body resists it by <absent>,MEASURED,field read on the body's innate passive
record,innate_resistance,Guardian of Empyrion :: defensiveSleep,<ABSENT => 0>,records/skills/playerclass09/pets/petskill_celestialguardian_innate01.dbr,the route is live at the binary layer; THIS body resists it by <absent>,MEASURED,field read on the body's innate passive
record,innate_resistance,Guardian of Empyrion :: defensiveTrap,<ABSENT => 0>,records/skills/playerclass09/pets/petskill_celestialguardian_innate01.dbr,the route is live at the binary layer; THIS body resists it by <absent>,MEASURED,field read on the body's innate passive
record,innate_resistance,Guardian of Empyrion :: defensiveKnockdown,0.0,records/skills/playerclass09/pets/petskill_celestialguardian_innate01.dbr,the route is live at the binary layer; THIS body resists it by 0.0,MEASURED,field read on the body's innate passive
record,innate_resistance,Guardian of Empyrion :: defensiveLifeLeach,<ABSENT => 0>,records/skills/playerclass09/pets/petskill_celestialguardian_innate01.dbr,the route is live at the binary layer; THIS body resists it by <absent>,MEASURED,field read on the body's innate passive
record,innate_resistance,Guardian of Empyrion :: defensiveBleeding,88.0,records/skills/playerclass09/pets/petskill_celestialguardian_innate01.dbr,the route is live at the binary layer; THIS body resists it by 88.0,MEASURED,field read on the body's innate passive
record,innate_resistance,Guardian of Empyrion :: defensivePercentCurrentLife,500.0,records/skills/playerclass09/pets/petskill_celestialguardian_innate01.dbr,the route is live at the binary layer; THIS body resists it by 500.0,MEASURED,field read on the body's innate passive
record,innate_resistance,Guardian of Empyrion :: defensivePercentReflectionResistance,50.0,records/skills/playerclass09/pets/petskill_celestialguardian_innate01.dbr,the route is live at the binary layer; THIS body resists it by 50.0,MEASURED,field read on the body's innate passive
binary,invincible,DBR field -> live flag,"Load@Character reads ""invincible"" (literal VA 0x104f4b9c) with LoadTable::GetBool(default=0) and writes al to BOTH Character+0x1845 (IsInvincibleInDbr) AND Character+0x1844 (IsInvincible)",0x00043d0a / 0x00043d17,the DBR flag IS the live flag at spawn - no runtime step needed,DECODED,"byte-exact disp32 scan for 0x1844 (16 sites) and 0x1845 (9 sites) over .text, every site decoded"
binary,invincible,IsInvincible@Character,"mov al, byte ptr [ecx+0x1844]; ret",0x00059c80,Character vtable slot 262 (+0x418); Monster/Pet/PetPlayerScaling all inherit it; Player overrides it (0x0031b090) to OR in IsPlayingVideo,DECODED,bounded disasm + vtable read
binary,invincible,SubtractLife@Character,"mov eax,[vtable+0x418]; call eax; test al,al; jne <return>",0x000542b4,early-return: NO LIFE LOSS. Guarded by a force-bool at [ebp+0x10]; a second immunity byte at Character+0x1846 refuses immediately after,DECODED,"byte-exact disp32 0x418 scan over .text (66 instructions, 5 are this gate)"
binary,invincible,SubtractLife@SkillManager,"mov eax,[vtable+0x418]; call eax; test al,al; jne <return>",0x004405f1,early-return: NO LIFE LOSS,DECODED,"byte-exact disp32 0x418 scan over .text (66 instructions, 5 are this gate)"
binary,invincible,AddDamage@DurationDamageManager,"mov eax,[vtable+0x418]; call eax; test al,al; jne <return>",0x00208a53,early-return: NO DoT IS ENROLLED,DECODED,"byte-exact disp32 0x418 scan over .text (66 instructions, 5 are this gate)"
binary,invincible,AddFixedDamage@DurationDamageManager,"mov eax,[vtable+0x418]; call eax; test al,al; jne <return>",0x00208d46,early-return: NO CONTROL BUCKET IS ENROLLED - this is the function that fills the fixed-damage buckets UpdateFxAndInfluence elects from (D-8 § 3.1),DECODED,"byte-exact disp32 0x418 scan over .text (66 instructions, 5 are this gate)"
binary,invincible,DebufTarget@Character,"mov eax,[vtable+0x418]; call eax; test al,al; jne <return>",0x0005302f,early-return: NO DEBUFF TRANSFER,DECODED,"byte-exact disp32 0x418 scan over .text (66 instructions, 5 are this gate)"
binary,invincible,IsTargetable@Monster,"cmp byte [esi+0x1845],0",0x002dc783,an invincible-IN-DBR body SKIPS the runtime IsInvincible test and stays TARGETABLE (targetable <=> [+0x182e] != 0 AND the tested byte == 0). Invincible-by-declaration therefore means DRAWS ATTACKS BUT TAKES NONE - the shipped aggro-sink shape,DECODED,bounded disasm
binary,influence-driver,Fear (Character +0x3c4),call dword ptr [esi+0x3c4],0x0020a19f,"sole driver = UpdateFxAndInfluence@DurationDamageManager - the SAME function D-8 pinned; it reads the fixed-damage buckets, so the invincible gate on AddFixedDamage forecloses it",DECODED,"byte-exact disp32 0x3c4 scan (25 instructions, 1 is a call)"
binary,influence-driver,Confusion (Character +0x3c8),call dword ptr [esi+0x3c8],0x0020a15b,"same driver, same foreclosure",DECODED,"byte-exact disp32 0x3c8 scan (26 instructions, 1 is a call)"
binary,influence-driver,Taunt (Character +0x3cc),call dword ptr [eax+0x3cc],0x000dcf4c,"DIFFERENT DRIVER: Execute@CombatAttributeInfluenceDamage_Taunt - hit-resolution side, NOT the duration-damage ladder. Whether the invincible gate covers this path was NOT decoded on this lap",UNDERIVABLE-WITH-PATH-NAMED,"byte-exact disp32 0x3cc scan (17 instructions, 1 is a call). PATH TO CLOSE: decode the caller of Execute@CombatAttributeInfluenceDamage_Taunt (0x000dcf30) and test it for the +0x418 gate"
