wave,tier,difficulty,characterAttackSpeedModifier,characterDefensiveAbility,characterDefensiveAbilityModifier,characterLifeModifier,characterLifeRegenModifier,characterManaRegenModifier,characterOffensiveAbility,characterOffensiveAbilityModifier,characterPercentHealIncreaseModifier,characterSpellCastSpeedModifier,defensivePercentCurrentLife,offensiveCritDamageModifier,offensivePhysicalModifier,offensiveSlowBleedingModifier,offensiveSlowColdModifier,offensiveSlowFireModifier,offensiveSlowLifeModifier,offensiveSlowLightningModifier,offensiveSlowPhysicalModifier,offensiveSlowPoisonModifier,offensiveTotalDamageModifier,retaliationTotalDamageModifier,skillCooldownReduction,spawnChampionMaxAdj,spawnChampionMinAdj
22,3,aspirant,1.0,2.0,0.0,21.0,0.0,0.0,9.0,0.0,-25.0,1.0,1.0,0.0,0.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,5.0,2.0,0.0,0,0
23,3,aspirant,1.0,2.0,0.0,21.0,0.0,0.0,11.0,0.0,-25.0,1.0,1.0,0.0,0.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,5.0,2.0,0.0,0,0
24,3,aspirant,1.0,2.0,0.0,23.0,0.0,0.0,11.0,0.0,-25.0,1.0,1.0,0.0,0.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,5.0,2.0,0.0,0,0
25,3,aspirant,1.0,2.0,0.0,23.0,0.0,0.0,11.0,0.0,-25.0,1.0,1.0,0.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,5.0,2.0,0.0,0,0
26,3,aspirant,2.0,2.0,0.0,24.0,0.0,0.0,11.0,0.0,-25.0,2.0,1.0,0.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,5.0,2.0,0.0,0,0
27,3,aspirant,2.0,3.0,0.0,24.0,0.0,0.0,14.0,0.0,-25.0,2.0,1.0,0.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,5.0,2.0,0.0,0,0
28,3,aspirant,2.0,3.0,0.0,26.0,0.0,0.0,14.0,0.0,-25.0,2.0,1.0,0.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,5.0,2.0,0.0,0,0
29,3,aspirant,2.0,3.0,0.0,26.0,0.0,0.0,14.0,0.0,-25.0,2.0,2.0,0.0,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,5.0,2.0,0.0,0,0
30,3,aspirant,2.0,3.0,0.0,27.0,0.0,0.0,14.0,0.0,-25.0,2.0,2.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,6.0,2.0,0.0,0,0
31,4,aspirant,2.0,4.0,0.0,27.0,1.0,1.0,16.0,0.0,-25.0,2.0,2.0,0.0,0.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,6.0,2.0,0.0,0,0
32,4,aspirant,2.0,4.0,0.0,28.0,1.0,1.0,16.0,0.0,-25.0,2.0,2.0,0.0,0.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,6.0,2.0,0.0,0,0
33,4,aspirant,2.0,4.0,0.0,28.0,1.0,1.0,16.0,0.0,-25.0,2.0,2.0,0.0,0.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,6.0,3.0,0.0,0,0
34,4,aspirant,2.0,4.0,1.0,29.0,1.0,1.0,16.0,0.699999988079071,-25.0,2.0,2.0,0.0,0.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,6.0,3.0,0.0,0,0
35,4,aspirant,2.0,4.0,1.0,29.0,1.0,1.0,16.0,0.699999988079071,-25.0,2.0,2.0,0.0,0.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,7.0,3.0,0.0,0,0
36,4,aspirant,2.0,4.0,1.0,30.0,1.0,1.0,16.0,0.699999988079071,-25.0,2.0,2.0,0.0,0.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,7.0,3.0,0.0,0,0
37,4,aspirant,2.0,4.0,1.0,30.0,1.0,1.0,16.0,0.699999988079071,-25.0,2.0,2.0,0.0,0.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,-11.0,7.0,3.0,0.0,0,0
38,4,aspirant,2.0,5.0,1.0,32.0,1.0,1.0,17.0,0.699999988079071,-25.0,2.0,2.0,0.0,0.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,7.0,3.0,0.0,0,0
39,4,aspirant,2.0,5.0,1.0,32.0,1.0,1.0,17.0,0.699999988079071,-25.0,2.0,2.0,0.0,0.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,7.0,3.0,0.0,0,0
40,4,aspirant,2.0,5.0,1.0,33.0,1.0,1.0,17.0,0.699999988079071,-25.0,2.0,2.0,0.0,0.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,8.0,4.0,0.0,0,0
41,5,aspirant,2.0,5.0,1.0,33.0,1.0,1.0,17.0,0.699999988079071,-25.0,2.0,2.0,0.0,0.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,8.0,4.0,0.0,0,0
42,5,aspirant,2.0,5.0,1.0,34.0,2.0,2.0,17.0,0.699999988079071,-25.0,2.0,2.0,0.0,0.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,8.0,5.0,0.0,0,0
43,5,aspirant,2.0,5.0,1.0,34.0,2.0,2.0,17.0,0.699999988079071,-25.0,2.0,2.0,0.0,0.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,8.0,5.0,0.0,0,0
44,5,aspirant,2.0,6.0,1.0,34.0,2.0,2.0,18.0,0.699999988079071,-25.0,2.0,2.0,0.0,0.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,8.0,5.0,0.0,0,0
45,5,aspirant,2.0,6.0,1.0,34.0,2.0,2.0,18.0,0.699999988079071,-25.0,2.0,2.0,0.0,0.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,9.0,5.0,0.0,0,0
46,5,aspirant,2.0,6.0,1.0,35.0,2.0,2.0,18.0,0.699999988079071,-25.0,2.0,2.0,0.0,0.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,9.0,5.0,0.0,0,0
47,5,aspirant,2.0,6.0,1.0,35.0,2.0,2.0,18.0,0.699999988079071,-25.0,2.0,2.0,0.0,0.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,9.0,5.0,0.0,0,0
48,5,aspirant,2.0,7.0,1.0,35.0,2.0,2.0,18.0,0.699999988079071,-25.0,2.0,2.0,0.0,0.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,9.0,6.0,0.0,0,0
49,5,aspirant,2.0,7.0,1.0,36.0,2.0,2.0,18.0,0.699999988079071,-25.0,2.0,2.0,0.0,0.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,9.0,6.0,0.0,0,0
50,5,aspirant,2.0,7.0,1.0,36.0,2.0,2.0,18.0,0.699999988079071,-25.0,2.0,2.0,0.0,0.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,10.0,6.0,0.0,0,0
51,6,aspirant,2.0,7.0,1.0,36.0,3.0,3.0,18.0,0.699999988079071,-26.0,2.0,2.0,0.0,0.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,10.0,6.0,0.0,0,0
52,6,aspirant,2.0,7.0,1.0,37.0,3.0,3.0,18.0,0.699999988079071,-26.0,2.0,3.0,0.0,0.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,10.0,6.0,0.0,0,0
53,6,aspirant,2.0,8.0,1.0,37.0,3.0,3.0,18.0,0.699999988079071,-26.0,2.0,3.0,0.0,0.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,10.0,6.0,0.0,0,0
54,6,aspirant,2.0,8.0,1.0,37.0,3.0,3.0,18.0,0.699999988079071,-27.0,2.0,3.0,0.0,0.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,11.0,6.0,0.0,0,0
55,6,aspirant,3.0,8.0,1.0,37.0,3.0,3.0,18.0,0.699999988079071,-27.0,3.0,3.0,0.0,0.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,11.0,7.0,0.0,0,0
56,6,aspirant,3.0,8.0,1.0,37.0,4.0,4.0,18.0,0.699999988079071,-27.0,3.0,3.0,0.0,0.0,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,11.0,8.0,0.0,0,0
57,6,aspirant,3.0,8.0,1.0,37.0,4.0,4.0,18.0,0.699999988079071,-28.0,3.0,3.0,0.0,0.0,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,11.0,8.0,0.0,0,0
58,6,aspirant,3.0,8.0,1.0,37.0,4.0,4.0,18.0,0.699999988079071,-28.0,3.0,3.0,0.0,0.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,12.0,8.0,0.0,0,0
59,6,aspirant,3.0,9.0,1.0,38.0,4.0,4.0,19.0,0.699999988079071,-28.0,3.0,3.0,0.0,0.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,12.0,8.0,0.0,0,0
60,6,aspirant,3.0,9.0,1.0,38.0,4.0,4.0,19.0,0.699999988079071,-29.0,3.0,3.0,0.0,0.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,12.0,9.0,0.0,0,0
61,7,aspirant,3.0,10.0,1.0,38.0,4.0,4.0,19.0,0.699999988079071,-29.0,3.0,3.0,0.0,0.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,12.0,9.0,0.0,0,0
62,7,aspirant,3.0,10.0,1.0,38.0,5.0,5.0,19.0,0.699999988079071,-29.0,3.0,3.0,0.0,0.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,13.0,10.0,0.0,0,0
63,7,aspirant,3.0,10.0,1.0,39.0,5.0,5.0,19.0,0.699999988079071,-30.0,3.0,3.0,0.0,0.0,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0,13.0,10.0,0.0,0,0
64,7,aspirant,3.0,10.0,1.0,39.0,5.0,5.0,19.0,0.699999988079071,-30.0,3.0,3.0,0.0,0.0,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0,13.0,10.0,0.0,0,0
65,7,aspirant,3.0,10.0,2.0,39.0,5.0,5.0,19.0,1.399999976158142,-30.0,3.0,3.0,0.0,0.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,13.0,10.0,0.0,0,0
66,7,aspirant,4.0,11.0,2.0,40.0,6.0,6.0,20.0,1.399999976158142,-31.0,4.0,3.0,0.0,0.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,14.0,10.0,0.0,0,0
67,7,aspirant,4.0,11.0,2.0,40.0,6.0,6.0,20.0,1.399999976158142,-31.0,4.0,3.0,0.0,0.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,14.0,11.0,0.0,0,0
68,7,aspirant,4.0,11.0,2.0,40.0,6.0,6.0,20.0,1.399999976158142,-31.0,4.0,3.0,0.0,0.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,14.0,11.0,0.0,1,0
69,7,aspirant,4.0,11.0,2.0,40.0,6.0,6.0,20.0,1.399999976158142,-32.0,4.0,4.0,0.0,0.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,14.0,11.0,0.0,1,0
70,7,aspirant,4.0,11.0,2.0,40.0,7.0,7.0,20.0,1.399999976158142,-32.0,4.0,4.0,0.0,0.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,-21.0,15.0,11.0,0.0,1,0
71,8,aspirant,4.0,12.0,2.0,41.0,7.0,7.0,21.0,1.399999976158142,-32.0,4.0,4.0,0.0,0.0,-22.0,-22.0,-22.0,-22.0,-22.0,-22.0,-22.0,15.0,12.0,0.0,1,0
72,8,aspirant,4.0,12.0,2.0,41.0,7.0,7.0,21.0,1.399999976158142,-33.0,4.0,4.0,0.0,0.0,-22.0,-22.0,-22.0,-22.0,-22.0,-22.0,-22.0,15.0,13.0,0.0,1,0
73,8,aspirant,4.0,12.0,2.0,41.0,8.0,8.0,21.0,1.399999976158142,-33.0,4.0,4.0,0.0,0.0,-22.0,-22.0,-22.0,-22.0,-22.0,-22.0,-22.0,15.0,13.0,0.0,1,0
74,8,aspirant,4.0,13.0,2.0,42.0,8.0,8.0,22.0,1.399999976158142,-33.0,4.0,4.0,0.0,0.0,-22.0,-22.0,-22.0,-22.0,-22.0,-22.0,-22.0,15.0,13.0,0.0,1,0
75,8,aspirant,4.0,13.0,2.0,42.0,8.0,8.0,22.0,1.399999976158142,-35.0,4.0,4.0,0.0,0.0,-22.0,-22.0,-22.0,-22.0,-22.0,-22.0,-22.0,15.0,14.0,0.0,1,0
76,8,aspirant,4.0,13.0,2.0,42.0,9.0,9.0,22.0,1.399999976158142,-35.0,4.0,4.0,0.0,0.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,16.0,14.0,0.0,1,0
77,8,aspirant,4.0,13.0,2.0,42.0,9.0,9.0,22.0,1.399999976158142,-35.0,4.0,4.0,0.0,0.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,16.0,14.0,0.0,1,0
78,8,aspirant,4.0,13.0,2.0,42.0,9.0,9.0,22.0,1.399999976158142,-36.0,4.0,4.0,0.0,0.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,16.0,14.0,0.0,1,0
79,8,aspirant,4.0,14.0,2.0,42.0,10.0,10.0,22.0,1.399999976158142,-36.0,4.0,4.0,0.0,0.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,16.0,14.0,0.0,1,0
80,8,aspirant,4.0,14.0,2.0,43.0,10.0,10.0,22.0,1.399999976158142,-36.0,4.0,4.0,0.0,0.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,16.0,15.0,0.0,1,0
81,9,aspirant,4.0,14.0,2.0,43.0,10.0,10.0,22.0,1.399999976158142,-37.0,4.0,4.0,0.0,0.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,17.0,16.0,0.0,1,0
82,9,aspirant,4.0,14.0,2.0,44.0,11.0,11.0,22.0,1.399999976158142,-37.0,4.0,4.0,0.0,0.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,17.0,16.0,0.0,1,0
83,9,aspirant,4.0,15.0,2.0,44.0,11.0,11.0,22.0,1.399999976158142,-37.0,4.0,4.0,0.0,0.0,-25.0,-25.0,-25.0,-25.0,-25.0,-25.0,-25.0,17.0,16.0,0.0,1,0
84,9,aspirant,4.0,15.0,2.0,44.0,12.0,12.0,22.0,1.399999976158142,-38.0,4.0,4.0,0.0,0.0,-25.0,-25.0,-25.0,-25.0,-25.0,-25.0,-25.0,17.0,18.0,0.0,1,0
85,9,aspirant,4.0,16.0,2.0,46.0,12.0,12.0,23.0,1.399999976158142,-38.0,4.0,4.0,0.0,0.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,17.0,18.0,0.0,1,1
86,9,aspirant,4.0,16.0,2.0,46.0,12.0,12.0,23.0,1.399999976158142,-38.0,4.0,4.0,0.0,0.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,18.0,18.0,0.0,1,1
87,9,aspirant,4.0,16.0,2.0,47.0,13.0,13.0,23.0,1.399999976158142,-39.0,4.0,4.0,0.0,0.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,18.0,18.0,0.0,1,1
88,9,aspirant,4.0,16.0,2.0,47.0,13.0,13.0,23.0,1.399999976158142,-39.0,4.0,4.0,0.0,0.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,18.0,18.0,0.0,1,1
89,9,aspirant,4.0,16.0,2.0,47.0,14.0,14.0,23.0,1.399999976158142,-39.0,4.0,4.0,0.0,0.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,18.0,19.0,0.0,1,1
90,9,aspirant,4.0,17.0,2.0,48.0,14.0,14.0,23.0,1.399999976158142,-40.0,4.0,4.0,0.0,0.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,18.0,19.0,0.0,1,1
91,10,aspirant,4.0,17.0,2.0,48.0,15.0,15.0,23.0,1.399999976158142,-40.0,4.0,5.0,0.0,0.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,19.0,20.0,0.0,1,1
92,10,aspirant,4.0,17.0,2.0,49.0,15.0,15.0,23.0,1.399999976158142,-40.0,4.0,5.0,0.0,0.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,19.0,21.0,0.0,1,1
93,10,aspirant,4.0,17.0,2.0,49.0,16.0,16.0,23.0,1.399999976158142,-41.0,4.0,5.0,0.0,0.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,19.0,21.0,0.0,1,1
94,10,aspirant,4.0,18.0,3.0,49.0,16.0,16.0,24.0,2.0999999046325684,-41.0,4.0,5.0,0.0,0.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,19.0,21.0,0.0,1,1
95,10,aspirant,5.0,18.0,3.0,50.0,17.0,17.0,24.0,2.0999999046325684,-41.0,5.0,5.0,0.0,0.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,-28.0,19.0,22.0,0.0,1,1
96,10,aspirant,5.0,19.0,3.0,51.0,17.0,17.0,25.0,2.0999999046325684,-42.0,5.0,5.0,0.0,0.0,-29.0,-29.0,-29.0,-29.0,-29.0,-29.0,-29.0,20.0,22.0,0.0,1,1
97,10,aspirant,5.0,19.0,3.0,51.0,18.0,18.0,25.0,2.0999999046325684,-42.0,5.0,5.0,0.0,0.0,-29.0,-29.0,-29.0,-29.0,-29.0,-29.0,-29.0,20.0,22.0,0.0,1,1
98,10,aspirant,5.0,19.0,3.0,51.0,18.0,18.0,25.0,2.0999999046325684,-42.0,5.0,5.0,0.0,0.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,20.0,23.0,0.0,1,1
99,10,aspirant,5.0,19.0,3.0,52.0,19.0,19.0,25.0,2.0999999046325684,-43.0,5.0,5.0,0.0,0.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,20.0,24.0,0.0,1,1
100,10,aspirant,5.0,20.0,3.0,53.0,20.0,20.0,26.0,2.0999999046325684,-43.0,5.0,5.0,0.0,0.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,20.0,24.0,0.0,1,1
101,11,aspirant,5.0,20.0,3.0,54.0,20.0,20.0,26.0,2.0999999046325684,-43.0,5.0,5.0,0.0,0.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,21.0,24.0,0.0,1,1
102,11,aspirant,5.0,20.0,3.0,54.0,21.0,21.0,26.0,2.0999999046325684,-44.0,5.0,5.0,0.0,0.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,21.0,25.0,0.0,1,1
103,11,aspirant,5.0,20.0,3.0,55.0,22.0,22.0,26.0,2.0999999046325684,-44.0,5.0,5.0,1.0,0.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,21.0,26.0,0.0,1,1
104,11,aspirant,5.0,21.0,3.0,55.0,22.0,22.0,26.0,2.0999999046325684,-44.0,5.0,5.0,1.0,0.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,21.0,26.0,0.0,1,1
105,11,aspirant,5.0,21.0,3.0,55.0,23.0,23.0,26.0,2.0999999046325684,-45.0,5.0,5.0,1.0,0.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,21.0,26.0,0.0,1,1
106,11,aspirant,6.0,22.0,3.0,55.0,23.0,23.0,26.0,2.0999999046325684,-45.0,6.0,5.0,1.0,0.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,22.0,27.0,0.0,1,1
107,11,aspirant,6.0,22.0,3.0,56.0,24.0,24.0,26.0,2.0999999046325684,-45.0,6.0,5.0,1.0,0.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,22.0,27.0,0.0,1,1
108,11,aspirant,6.0,22.0,3.0,57.0,25.0,25.0,26.0,2.0999999046325684,-46.0,6.0,5.0,1.0,0.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,22.0,28.0,0.0,1,1
109,11,aspirant,6.0,22.0,3.0,58.0,26.0,26.0,26.0,2.0999999046325684,-46.0,6.0,5.0,1.0,0.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,22.0,29.0,0.0,1,1
110,11,aspirant,6.0,23.0,3.0,58.0,26.0,26.0,27.0,2.0999999046325684,-46.0,6.0,6.0,1.0,0.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,22.0,29.0,0.0,1,1
111,12,aspirant,6.0,23.0,3.0,59.0,27.0,27.0,27.0,2.0999999046325684,-47.0,6.0,6.0,1.0,0.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,23.0,30.0,0.0,1,1
112,12,aspirant,6.0,23.0,3.0,60.0,28.0,28.0,27.0,2.0999999046325684,-47.0,6.0,6.0,1.0,0.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,23.0,30.0,0.0,1,1
113,12,aspirant,6.0,23.0,3.0,60.0,28.0,28.0,27.0,2.0999999046325684,-47.0,6.0,6.0,2.0,0.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,23.0,30.0,0.0,1,1
114,12,aspirant,6.0,24.0,3.0,61.0,29.0,29.0,27.0,2.0999999046325684,-48.0,6.0,6.0,2.0,0.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,23.0,31.0,0.0,1,1
