eng_id,play_time,level,dur_s,kills,n_events,n_bursts,A,B,ehp,ehp_seen,ehp_modal,coverage,delta_covered_s,intake_hp,healed_hp,n_drops,travel_s,active_s,inter_drop_gap_median
34,2683,6,0.5,3,2,1,1.5,2.0,471,471,,0.9796,6.333,4,4,1,0,0.5,
35,2815,6,5.5,6,5,2,1.2,2.5,471,471,471,1.0,11.467,26,26,12,2.5,3.0,0.2
36,2939,7,14.0,15,8,4,1.875,2.0,491,491,491,0.9933,19.933,284,145,22,10.0,4.0,0.4
37,2962,7,2.0,7,3,1,2.3333,3.0,491,491,,1.0,7.933,0,0,0,0,2.0,
38,2976,7,23.0,27,16,5,1.6875,3.2,491,491,491,0.7839,22.8,494,323,23,7.5,15.5,0.6
39,3027,7,0.0,1,1,1,1.0,1.0,,,,0.0,0.0,0,0,0,0,0.0,
40,3045,7,4.5,8,3,2,2.6667,1.5,491,491,491,0.9937,10.467,57,67,5,3.0,1.5,1.5666
41,3689,8,2.5,4,3,2,1.3333,1.5,672,672,672,1.0,8.467,10,10,1,0,2.5,
42,3703,8,3.5,4,3,2,1.3333,1.5,672,672,672,1.0,9.467,0,0,0,0,3.5,
43,3712,8,6.5,9,8,1,1.125,8.0,672,672,672,1.0,12.467,12,12,1,0,6.5,
44,3725,8,18.5,25,13,6,1.9231,2.1667,672,672,672,1.0,24.467,95,95,3,6.0,12.5,8.1333
45,3752,8,1.0,2,2,1,1.0,2.0,672,672,672,1.0,6.933,0,0,0,0,1.0,
46,3768,8,1.0,2,2,1,1.0,2.0,672,672,672,1.0,6.933,0,0,0,0,1.0,
47,3776,8,8.5,10,7,2,1.4286,3.5,672,672,672,1.0,14.467,23,23,2,5.0,3.5,0.5333
48,3800,8,4.5,5,3,2,1.6667,1.5,672,672,672,1.0,10.467,81,81,20,3.5,1.0,0.1333
49,3812,8,4.5,8,4,2,2.0,2.0,672,672,672,1.0,10.467,84,83,13,0,4.5,0.1333
50,3824,8,6.0,8,6,1,1.3333,6.0,672,672,672,0.9611,11.467,95,95,5,0,6.0,0.9
51,3836,8,4.0,10,5,1,2.0,5.0,672,672,672,0.9733,9.933,46,46,11,0,4.0,0.3333
52,3845,8,6.0,10,5,2,2.0,2.5,672,672,672,1.0,11.933,37,37,3,2.5,3.5,1.3
53,3858,8,27.5,41,23,4,1.7826,5.75,672,672,672,1.0,33.467,136,136,2,7.0,20.5,2.1334
54,3891,8,6.0,9,7,1,1.2857,7.0,672,672,672,1.0,11.933,0,0,0,0,6.0,
55,3919,8,17.0,16,11,8,1.4545,1.375,672,672,672,0.9768,22.4,370,369,6,5.0,12.0,2.3333
56,4256,9,8.5,8,6,3,1.3333,2.0,707,707,707,1.0,14.467,0,0,0,5.5,3.0,
57,4272,9,0.0,1,1,1,1.0,1.0,707,707,707,1.0,5.933,0,0,0,0,0.0,
58,4279,9,2.0,10,3,1,3.3333,3.0,707,707,707,1.0,7.933,22,22,1,0,2.0,
59,4294,9,2.5,3,2,2,1.5,1.0,707,707,707,1.0,8.467,31,31,1,2.5,0.0,
60,4303,9,5.0,8,4,2,2.0,2.0,707,707,707,1.0,10.933,0,0,0,2.5,2.5,
61,4319,9,10.5,13,8,4,1.625,2.0,707,707,707,1.0,16.467,150,150,6,6.5,4.0,2.3334
62,4358,9,1.0,9,2,1,4.5,2.0,707,707,707,1.0,6.933,151,151,18,0,1.0,0.0667
63,4370,9,3.5,6,5,1,1.2,5.0,707,707,707,1.0,9.467,10,10,1,0,3.5,
64,4387,9,6.5,9,5,2,1.8,2.5,707,707,707,1.0,12.467,0,0,0,2.5,4.0,
65,4418,9,4.5,6,3,2,2.0,1.5,707,707,707,1.0,10.467,10,10,1,3.0,1.5,
66,4428,9,3.0,5,3,1,1.6667,3.0,707,707,707,1.0,8.933,0,0,0,0,3.0,
67,4437,9,0.0,1,1,1,1.0,1.0,707,707,707,1.0,5.933,0,0,0,0,0.0,
68,4448,9,6.5,10,6,1,1.6667,6.0,707,707,707,1.0,12.467,0,0,0,0,6.5,
69,4472,9,0.0,1,1,1,1.0,1.0,707,707,707,1.0,5.933,0,0,0,0,0.0,
70,4506,9,5.0,3,3,2,1.0,1.5,707,707,707,1.0,10.933,0,0,0,3.5,1.5,
71,4518,9,1.5,4,3,1,1.3333,3.0,707,707,707,1.0,7.467,11,11,1,0,1.5,
72,4544,9,10.5,16,7,4,2.2857,1.75,707,707,707,0.9637,15.867,42,42,16,2.5,8.0,0.2
73,4564,9,9.0,16,6,3,2.6667,2.0,707,707,707,0.9511,14.133,149,171,2,2.5,6.5,2.0
74,4604,9,4.0,5,4,2,1.25,2.0,707,707,707,1.0,9.933,0,0,0,0,4.0,
75,4987,10,5.5,7,3,2,2.3333,1.5,747,747,747,0.5665,6.4,81,88,3,4.5,1.0,1.0333
76,5018,10,6.5,13,8,2,1.625,4.0,747,747,747,0.6915,8.8,0,0,0,0,6.5,
77,5345,10,5.5,8,6,2,1.3333,3.0,747,747,747,0.7919,9.4,70,70,2,0,5.5,3.0667
78,5377,10,11.5,21,7,3,3.0,2.3333,747,747,747,0.4068,6.733,27,20,4,6.5,5.0,0.2
79,5395,10,9.0,11,7,3,1.5714,2.3333,747,747,747,0.5822,8.667,83,77,10,0,9.0,0.2
80,5412,10,2.5,10,4,1,2.5,4.0,747,747,747,0.2344,1.8,0,0,0,0,2.5,
81,5431,10,10.5,11,6,3,1.8333,2.0,747,747,747,0.6008,10.067,124,124,4,8.0,2.5,0.2
82,5447,10,3.0,6,4,1,1.5,4.0,747,747,747,0.6815,6.467,924,177,5,0,3.0,1.5333
83,5505,10,3.5,11,5,1,2.2,5.0,747,747,747,0.2098,1.733,0,0,0,0,3.5,
84,5530,10,0.0,1,1,1,1.0,1.0,747,430,747,0.9444,5.933,378,188,32,0,0.0,0.1333
85,5558,10,0.0,1,1,1,1.0,1.0,747,434,747,0.2444,1.533,1,21,1,0,0.0,
86,5638,10,4.5,12,5,1,2.4,5.0,747,747,747,0.5759,6.0,215,262,3,0,4.5,1.0333
87,5648,10,6.5,5,3,3,1.6667,1.0,747,747,747,0.6755,8.533,138,357,2,4.5,2.0,2.6667
88,5791,10,6.0,6,3,3,2.0,1.0,759,726,759,0.9833,11.933,879,269,17,6.0,0.0,0.3666
89,5808,11,0.0,1,1,1,1.0,1.0,759,759,759,0.9889,5.933,366,761,16,0,0.0,0.2
