=== archive gdx1: /Users/admin/Games/vendor/grim-dawn/gdx1/database/GDX1.arz
    sha256 e28ab2515477ac80bdc3f955b6aa804eee791d4c51fda64c9ea01306522a4539
    records 18447  strings 57204
    defensiveFireDurationChance                  0.0
    defensiveFireDurationModifier                0.0
    defensiveFireDurationModifierChance          0.0
    defensiveFireMaxResist                       0.0
    defensiveFireModifier                        0.0
    defensiveFireModifierChance                  0.0
    defensiveKnockdown                           0.0
    defensiveKnockdownChance                     0.0
    defensiveKnockdownModifier                   0.0
    defensiveKnockdownModifierChance             0.0
    defensiveLife                                0.0
    defensiveLifeChance                          0.0
    defensiveLifeDuration                        0.0
    defensiveLifeDurationChance                  0.0
    defensiveLifeDurationModifier                0.0
    defensiveLifeDurationModifierChance          0.0
    defensiveLifeMaxResist                       0.0
    defensiveLifeModifier                        0.0
    defensiveLifeModifierChance                  0.0
    defensiveLightning                           0.0
    defensiveLightningChance                     0.0
    defensiveLightningDuration                   0.0
    defensiveLightningDurationChance             0.0
    defensiveLightningDurationModifier           0.0
    defensiveLightningDurationModifierChance     0.0
    defensiveLightningMaxResist                  0.0
    defensiveLightningModifier                   0.0
    defensiveLightningModifierChance             0.0
    defensivePhysical                            0.0
    defensivePhysicalChance                      0.0
    defensivePhysicalDuration                    0.0
    defensivePhysicalDurationChance              0.0
    defensivePhysicalDurationChanceModifier      0.0
    defensivePhysicalDurationModifier            0.0
    defensivePhysicalMaxResist                   0.0
    defensivePhysicalModifier                    0.0
    defensivePhysicalModifierChance              0.0
    defensivePierce                              0.0
    defensivePierceChance                        0.0
    defensivePierceDuration                      0.0
    defensivePierceDurationChance                0.0
    defensivePierceDurationModifier              0.0
    defensivePierceDurationModifierChance        0.0
    defensivePierceMaxResist                     0.0
    defensivePierceModifier                      0.0
    defensivePierceModifierChance                0.0
    defensivePoison                              0.0
    defensivePoisonChance                        0.0
    defensivePoisonDuration                      0.0
    defensivePoisonDurationChance                0.0
    defensivePoisonDurationModifier              0.0
    defensivePoisonDurationModifierChance        0.0
    defensivePoisonMaxResist                     0.0
    defensivePoisonModifier                      0.0
    defensivePoisonModifierChance                0.0
    defensiveProtection                          0.0
    defensiveProtectionChance                    0.0
    defensiveProtectionModifier                  0.0
    defensiveProtectionModifierChance            0.0
    defensiveSlowLifeLeach                       0.0
    defensiveSlowLifeLeachChance                 0.0
    defensiveSlowLifeLeachDuration               0.0
    defensiveSlowLifeLeachDurationChance         0.0
    defensiveSlowLifeLeachDurationModifier       0.0
    defensiveSlowLifeLeachDurationModifierChance 0.0
    defensiveSlowLifeLeachMaxResist              0.0
    defensiveSlowLifeLeachModifier               0.0
    defensiveSlowLifeLeachModifierChance         0.0
    defensiveSlowManaLeach                       0.0
    defensiveSlowManaLeachChance                 0.0
    defensiveSlowManaLeachDuration               0.0
    defensiveSlowManaLeachDurationChance         0.0
    defensiveSlowManaLeachDurationModifier       0.0
    defensiveSlowManaLeachDurationModifierChance 0.0
    defensiveSlowManaLeachMaxResist              0.0
    defensiveSlowManaLeachModifier               0.0
    defensiveSlowManaLeachModifierChance         0.0
    defensiveStun                                0.0
    defensiveStunChance                          0.0
    defensiveStunMaxResist                       0.0
    defensiveStunModifier                        0.0
    defensiveStunModifierChance                  0.0
    dispelDamageOverTime                         False
    dispelFriendly                               False
    distanceProfile                              Long
    dualRangedOnly                               False
    dualWieldOnly                                False
    elementalDamageQualifier                     False
    excludeRacialDamage                          False
    exclusiveSkill                               False
    fireDamageQualifier                          False
    hideFromUI                                   False
    isPetDisplayable                             False
    lifeDamageQualifier                          False
    lightningDamageQualifier                     False
    notDispelable                                False
    offensiveAetherGlobal                        False
    offensiveAetherXOR                           False
    offensiveChaosGlobal                         False
    offensiveChaosXOR                            False
    offensiveColdChance                          0.0
    offensiveColdGlobal                          False
    offensiveColdMax                             0.0
    offensiveColdModifier                        0.0
    offensiveColdModifierChance                  0.0
    offensiveColdXOR                             False
    offensiveConfusionChance                     0.0
    offensiveConfusionGlobal                     False
    offensiveConfusionMax                        0.0
    offensiveConfusionMin                        0.0
    offensiveConfusionXOR                        False
    offensiveConvertChance                       0.0
    offensiveConvertGlobal                       False
    offensiveConvertMax                          0.0
    offensiveConvertMin                          0.0
    offensiveConvertXOR                          False
    offensiveFearChance                          0.0
    offensiveFearGlobal                          False
    offensiveFearMax                             0.0
    offensiveFearMin                             0.0
    offensiveFearXOR                             False
    offensiveFireChance                          0.0
    offensiveFireGlobal                          False
    offensiveFireMax                             0.0
    offensiveFireMin                             0.0
    offensiveFireModifier                        0.0
    offensiveFireModifierChance                  0.0
    offensiveFireXOR                             False
    offensiveGlobalChance                        0.0
    offensiveKnockdownGlobal                     False
    offensiveKnockdownXOR                        False
    offensiveLifeChance                          0.0
    offensiveLifeGlobal                          False
    offensiveLifeMax                             0.0
    offensiveLifeMin                             0.0
    offensiveLifeModifier                        0.0
    offensiveLifeModifierChance                  0.0
    offensiveLifeXOR                             False
    offensiveLightningGlobal                     False
    offensiveLightningModifier                   0.0
    offensiveLightningModifierChance             0.0
    offensiveLightningXOR                        False
    offensiveManaBurnDrainMin                    10.0
    offensivePercentCurrentLifeChance            0.0
    offensivePercentCurrentLifeGlobal            False
    offensivePercentCurrentLifeXOR               False
    offensivePhysicalChance                      0.0
    offensivePhysicalGlobal                      False
    offensivePhysicalMax                         0.0
    offensivePhysicalMin                         0.0
    offensivePhysicalModifier                    0.0
    offensivePhysicalModifierChance              0.0
    offensivePhysicalXOR                         False
    offensivePierceChance                        0.0
    offensivePierceGlobal                        False
    offensivePierceMax                           0.0
    offensivePierceModifier                      0.0
    offensivePierceModifierChance                0.0
    offensivePierceRatioChance                   0.0
    offensivePierceRatioGlobal                   False
    offensivePierceRatioMax                      0.0
    offensivePierceRatioMin                      0.0
    offensivePierceRatioModifier                 0.0
    offensivePierceRatioModifierChance           0.0
    offensivePierceRatioXOR                      False
    offensivePierceXOR                           False
    offensivePoisonChance                        0.0
    offensivePoisonGlobal                        False
    offensivePoisonMax                           0.0
    offensivePoisonMin                           0.0
    offensivePoisonModifier                      0.0
    offensivePoisonModifierChance                0.0
    offensivePoisonXOR                           False
    offensiveSlowAttackSpeedChance               0.0
    offensiveSlowAttackSpeedDurationMax          0.0
    offensiveSlowAttackSpeedDurationMin          0.0
    offensiveSlowAttackSpeedDurationModifier     0.0
    offensiveSlowAttackSpeedGlobal               False
    offensiveSlowAttackSpeedMax                  0.0
    offensiveSlowAttackSpeedMin                  0.0
    offensiveSlowAttackSpeedModifier             0.0
    offensiveSlowAttackSpeedModifierChance       0.0
    offensiveSlowAttackSpeedXOR                  False
    offensiveSlowBleedingChance                  0.0
    offensiveSlowBleedingDurationMax             0.0
    offensiveSlowBleedingDurationMin             0.0
    offensiveSlowBleedingDurationModifier        0.0
    offensiveSlowBleedingGlobal                  False
    offensiveSlowBleedingMax                     0.0
    offensiveSlowBleedingMin                     0.0
    offensiveSlowBleedingModifier                0.0
    offensiveSlowBleedingModifierChance          0.0
    offensiveSlowBleedingXOR                     False
    offensiveSlowColdChance                      0.0
    offensiveSlowColdDurationMax                 0.0
    offensiveSlowColdDurationMin                 0.0
    offensiveSlowColdDurationModifier            0.0
    offensiveSlowColdGlobal                      False
    offensiveSlowColdMax                         0.0
    offensiveSlowColdMin                         0.0
    offensiveSlowColdModifier                    0.0
    offensiveSlowColdModifierChance              0.0
    offensiveSlowColdXOR                         False
    offensiveSlowDefensiveAbilityChance          0.0
    offensiveSlowDefensiveAbilityDurationMax     0.0
    offensiveSlowDefensiveAbilityDurationMin     0.0
    offensiveSlowDefensiveAbilityDurationModifier 0.0
    offensiveSlowDefensiveAbilityGlobal          False
    offensiveSlowDefensiveAbilityMax             0.0
    offensiveSlowDefensiveAbilityMin             0.0
    offensiveSlowDefensiveAbilityModifier        0.0
    offensiveSlowDefensiveAbilityModifierChance  0.0
    offensiveSlowDefensiveAbilityXOR             False
    offensiveSlowDefensiveReductionChance        0.0
    offensiveSlowDefensiveReductionDurationMax   0.0
    offensiveSlowDefensiveReductionDurationMin   0.0
    offensiveSlowDefensiveReductionDurationModifier 0.0
    offensiveSlowDefensiveReductionGlobal        False
    offensiveSlowDefensiveReductionMax           0.0
    offensiveSlowDefensiveReductionMin           0.0
    offensiveSlowDefensiveReductionModifier      0.0
    offensiveSlowDefensiveReductionModifierChance 0.0
    offensiveSlowDefensiveReductionXOR           False
    offensiveSlowFireChance                      0.0
    offensiveSlowFireDurationMax                 0.0
    offensiveSlowFireDurationMin                 0.0
    offensiveSlowFireDurationModifier            0.0
    offensiveSlowFireGlobal                      False
    offensiveSlowFireMax                         0.0
    offensiveSlowFireMin                         0.0
    offensiveSlowFireModifier                    0.0
    offensiveSlowFireModifierChance              0.0
    offensiveSlowFireXOR                         False
    offensiveSlowLifeChance                      0.0
    offensiveSlowLifeDurationMax                 0.0
    offensiveSlowLifeDurationMin                 0.0
    offensiveSlowLifeDurationModifier            0.0
    offensiveSlowLifeGlobal                      False
    offensiveSlowLifeLeachChance                 0.0
    offensiveSlowLifeLeachDurationMax            0.0
    offensiveSlowLifeLeachDurationMin            0.0
    offensiveSlowLifeLeachDurationModifier       0.0
    offensiveSlowLifeLeachGlobal                 False
    offensiveSlowLifeLeachMax                    0.0
    offensiveSlowLifeLeachMin                    0.0
    offensiveSlowLifeLeachModifier               0.0
    offensiveSlowLifeLeachModifierChance         0.0
    offensiveSlowLifeLeachXOR                    False
    offensiveSlowLifeMax                         0.0
    offensiveSlowLifeMin                         0.0
    offensiveSlowLifeModifier                    0.0
    offensiveSlowLifeModifierChance              0.0
    offensiveSlowLifeXOR                         False
    offensiveSlowLightningChance                 0.0
    offensiveSlowLightningDurationMax            0.0
    offensiveSlowLightningDurationMin            0.0
    offensiveSlowLightningDurationModifier       0.0
    offensiveSlowLightningGlobal                 False
    offensiveSlowLightningMax                    0.0
    offensiveSlowLightningMin                    0.0
    offensiveSlowLightningModifier               0.0
    offensiveSlowLightningModifierChance         0.0
    offensiveSlowLightningXOR                    False
    offensiveSlowManaLeachChance                 0.0
    offensiveSlowManaLeachDurationMax            0.0
    offensiveSlowManaLeachDurationMin            0.0
    offensiveSlowManaLeachDurationModifier       0.0
    offensiveSlowManaLeachGlobal                 False
    offensiveSlowManaLeachMax                    0.0
    offensiveSlowManaLeachMin                    0.0
    offensiveSlowManaLeachModifier               0.0
    offensiveSlowManaLeachModifierChance         0.0
    offensiveSlowManaLeachXOR                    False
    offensiveSlowOffensiveAbilityChance          0.0
    offensiveSlowOffensiveAbilityDurationMax     0.0
    offensiveSlowOffensiveAbilityDurationMin     0.0
    offensiveSlowOffensiveAbilityDurationModifier 0.0
    offensiveSlowOffensiveAbilityGlobal          False
    offensiveSlowOffensiveAbilityMax             0.0
    offensiveSlowOffensiveAbilityMin             0.0
    offensiveSlowOffensiveAbilityModifier        0.0
    offensiveSlowOffensiveAbilityModifierChance  0.0
    offensiveSlowOffensiveAbilityXOR             False
    offensiveSlowOffensiveReductionChance        0.0
    offensiveSlowOffensiveReductionDurationMax   0.0
    offensiveSlowOffensiveReductionDurationMin   0.0
    offensiveSlowOffensiveReductionDurationModifier 0.0
    offensiveSlowOffensiveReductionGlobal        False
    offensiveSlowOffensiveReductionMax           0.0
    offensiveSlowOffensiveReductionMin           0.0
    offensiveSlowOffensiveReductionModifier      0.0
    offensiveSlowOffensiveReductionModifierChance 0.0
    offensiveSlowOffensiveReductionXOR           False
    offensiveSlowPhysicalChance                  0.0
    offensiveSlowPhysicalDurationMax             0.0
    offensiveSlowPhysicalDurationMin             0.0
    offensiveSlowPhysicalDurationModifier        0.0
    offensiveSlowPhysicalGlobal                  False
    offensiveSlowPhysicalMax                     0.0
    offensiveSlowPhysicalMin                     0.0
    offensiveSlowPhysicalModifier                0.0
    offensiveSlowPhysicalModifierChance          0.0
    offensiveSlowPhysicalXOR                     False
    offensiveSlowPoisonChance                    0.0
    offensiveSlowPoisonDurationMax               0.0
    offensiveSlowPoisonDurationMin               0.0
    offensiveSlowPoisonDurationModifier          0.0
    offensiveSlowPoisonGlobal                    False
    offensiveSlowPoisonMax                       0.0
    offensiveSlowPoisonMin                       0.0
    offensiveSlowPoisonModifier                  0.0
    offensiveSlowPoisonModifierChance            0.0
    offensiveSlowPoisonXOR                       False
    offensiveSlowRunSpeedChance                  0.0
    offensiveSlowRunSpeedDurationMax             0.0
    offensiveSlowRunSpeedDurationMin             0.0
    offensiveSlowRunSpeedDurationModifier        0.0
    offensiveSlowRunSpeedGlobal                  False
    offensiveSlowRunSpeedMax                     0.0
    offensiveSlowRunSpeedMin                     0.0
    offensiveSlowRunSpeedModifier                0.0
    offensiveSlowRunSpeedModifierChance          0.0
    offensiveSlowRunSpeedXOR                     False
    offensiveStunChance                          0.0
    offensiveStunGlobal                          False
    offensiveStunMax                             0.0
    offensiveStunMin                             0.0
    offensiveStunModifier                        0.0
    offensiveStunModifierChance                  0.0
    offensiveStunXOR                             False
    offensiveTauntChance                         0.0
    offensiveTauntGlobal                         False
    offensiveTauntMax                            0.0
    offensiveTauntMin                            0.0
    offensiveTauntXOR                            False
    physicalDamageQualifier                      False
    pierceDamageQualifier                        False
    poisonDamageQualifier                        False
    retaliationAetherChance                      0.0
    retaliationAetherGlobal                      False
    retaliationAetherMax                         0.0
    retaliationAetherMin                         0.0
    retaliationAetherModifier                    0.0
    retaliationAetherModifierChance              0.0
    retaliationAetherXOR                         False
    retaliationChaosChance                       0.0
    retaliationChaosGlobal                       False
    retaliationChaosMax                          0.0
    retaliationChaosMin                          0.0
    retaliationChaosModifier                     0.0
    retaliationChaosModifierChance               0.0
    retaliationChaosXOR                          False
    retaliationColdChance                        0.0
    retaliationColdGlobal                        False
    retaliationColdMax                           0.0
    retaliationColdMin                           0.0
    retaliationColdModifier                      0.0
    retaliationColdModifierChance                0.0
    retaliationColdXOR                           False
    retaliationConfusionChance                   0.0
    retaliationConfusionGlobal                   False
    retaliationConfusionMax                      0.0
    retaliationConfusionMin                      0.0
    retaliationConfusionXOR                      False
    retaliationConvertChance                     0.0
    retaliationConvertGlobal                     False
    retaliationConvertMax                        0.0
    retaliationConvertMin                        0.0
    retaliationConvertXOR                        False
    retaliationElementalChance                   0.0
    retaliationElementalGlobal                   False
    retaliationElementalMax                      0.0
    retaliationElementalMin                      0.0
    retaliationElementalModifier                 0.0
    retaliationElementalModifierChance           0.0
    retaliationElementalXOR                      False
    retaliationFearChance                        0.0
    retaliationFearGlobal                        False
    retaliationFearMax                           0.0
    retaliationFearMin                           0.0
    retaliationFearXOR                           False
    retaliationFireChance                        0.0
    retaliationFireGlobal                        False
    retaliationFireMax                           0.0
    retaliationFireMin                           0.0
    retaliationFireModifier                      0.0
    retaliationFireModifierChance                0.0
    retaliationFireXOR                           False
    retaliationFreezeChance                      0.0
    retaliationFreezeGlobal                      False
    retaliationFreezeMax                         0.0
    retaliationFreezeMin                         0.0
    retaliationFreezeXOR                         False
    retaliationGlobalChance                      0.0
    retaliationLifeChance                        0.0
    retaliationLifeGlobal                        False
    retaliationLifeMax                           0.0
    retaliationLifeMin                           0.0
    retaliationLifeModifier                      0.0
    retaliationLifeModifierChance                0.0
    retaliationLifeXOR                           False
    retaliationLightningChance                   0.0
    retaliationLightningGlobal                   False
    retaliationLightningMax                      0.0
    retaliationLightningMin                      0.0
    retaliationLightningModifier                 0.0
    retaliationLightningModifierChance           0.0
    retaliationLightningXOR                      False
    retaliationPercentCurrentLifeChance          0.0
    retaliationPercentCurrentLifeMax             0.0
    retaliationPercentCurrentLifeMin             0.0
    retaliationPercentCurrentLifeXOR             False
    retaliationPercentcurrentLifeGlobal          False
    retaliationPetrifyChance                     0.0
    retaliationPetrifyGlobal                     False
    retaliationPetrifyMax                        0.0
    retaliationPetrifyMin                        0.0
    retaliationPetrifyXOR                        False
    retaliationPhysicalChance                    0.0
    retaliationPhysicalGlobal                    False
    retaliationPhysicalMax                       0.0
    retaliationPhysicalMin                       0.0
    retaliationPhysicalModifier                  0.0
    retaliationPhysicalModifierChance            0.0
    retaliationPhysicalXOR                       False
    retaliationPierceChance                      0.0
    retaliationPierceGlobal                      False
    retaliationPierceMax                         0.0
    retaliationPierceMin                         0.0
    retaliationPierceModifier                    0.0
    retaliationPierceModifierChance              0.0
    retaliationPierceRatioChance                 0.0
    retaliationPierceRatioGlobal                 False
    retaliationPierceRatioMax                    0.0
    retaliationPierceRatioMin                    0.0
    retaliationPierceRatioModifier               0.0
    retaliationPierceRatioModifierChance         0.0
    retaliationPierceRatioXOR                    False
    retaliationPierceXOR                         False
    retaliationPoisonChance                      0.0
    retaliationPoisonGlobal                      False
    retaliationPoisonMax                         0.0
    retaliationPoisonMin                         0.0
    retaliationPoisonModifier                    0.0
    retaliationPoisonModifierChance              0.0
    retaliationPoisonXOR                         False
    retaliationSleepChance                       0.0
    retaliationSleepGlobal                       False
    retaliationSleepMax                          0.0
    retaliationSleepMin                          0.0
    retaliationSleepModifier                     0.0
    retaliationSleepModifierChance               0.0
    retaliationSleepXOR                          False
    retaliationSlowAttackSpeedChance             0.0
    retaliationSlowAttackSpeedDurationMax        0.0
    retaliationSlowAttackSpeedDurationMin        0.0
    retaliationSlowAttackSpeedDurationModifier   0.0
    retaliationSlowAttackSpeedDurationModifierChance 0.0
    retaliationSlowAttackSpeedGlobal             False
    retaliationSlowAttackSpeedMax                0.0
    retaliationSlowAttackSpeedMin                0.0
    retaliationSlowAttackSpeedModifier           0.0
    retaliationSlowAttackSpeedModifierChance     0.0
    retaliationSlowAttackSpeedXOR                False
    retaliationSlowBleedingChance                0.0
    retaliationSlowBleedingDurationMax           0.0
    retaliationSlowBleedingDurationMin           0.0
    retaliationSlowBleedingDurationModifier      0.0
    retaliationSlowBleedingDurationModifierChance 0.0
    retaliationSlowBleedingGlobal                False
    retaliationSlowBleedingMax                   0.0
    retaliationSlowBleedingMin                   0.0
    retaliationSlowBleedingModifier              0.0
    retaliationSlowBleedingModifierChance        0.0
    retaliationSlowBleedingXOR                   False
    retaliationSlowColdChance                    0.0
    retaliationSlowColdDurationMax               0.0
    retaliationSlowColdDurationMin               0.0
    retaliationSlowColdDurationModifier          0.0
    retaliationSlowColdDurationModifierChance    0.0
    retaliationSlowColdGlobal                    False
    retaliationSlowColdMax                       0.0
    retaliationSlowColdMin                       0.0
    retaliationSlowColdModifier                  0.0
    retaliationSlowColdModifierChance            0.0
    retaliationSlowColdXOR                       False
    retaliationSlowDefensiveAbilityChance        0.0
    retaliationSlowDefensiveAbilityDurationMax   0.0
    retaliationSlowDefensiveAbilityDurationMin   0.0
    retaliationSlowDefensiveAbilityDurationModifier 0.0
    retaliationSlowDefensiveAbilityDurationModifierChance 0.0
    retaliationSlowDefensiveAbilityGlobal        False
    retaliationSlowDefensiveAbilityMax           0.0
    retaliationSlowDefensiveAbilityMin           0.0
    retaliationSlowDefensiveAbilityModifier      0.0
    retaliationSlowDefensiveAbilityModifierChance 0.0
    retaliationSlowDefensiveAbilityXOR           False
    retaliationSlowFireChance                    0.0
    retaliationSlowFireDurationMax               0.0
    retaliationSlowFireDurationMin               0.0
    retaliationSlowFireDurationModifier          0.0
    retaliationSlowFireDurationModifierChance    0.0
    retaliationSlowFireGlobal                    False
    retaliationSlowFireMax                       0.0
    retaliationSlowFireMin                       0.0
    retaliationSlowFireModifier                  0.0
    retaliationSlowFireModifierChance            0.0
    retaliationSlowFireXOR                       False
    retaliationSlowLifeChance                    0.0
    retaliationSlowLifeDurationMax               0.0
    retaliationSlowLifeDurationMin               0.0
    retaliationSlowLifeDurationModifier          0.0
    retaliationSlowLifeDurationModifierChance    0.0
    retaliationSlowLifeGlobal                    False
    retaliationSlowLifeLeachChance               0.0
    retaliationSlowLifeLeachDurationMax          0.0
    retaliationSlowLifeLeachDurationMin          0.0
    retaliationSlowLifeLeachDurationModifier     0.0
    retaliationSlowLifeLeachDurationModifierChance 0.0
    retaliationSlowLifeLeachGlobal               False
    retaliationSlowLifeLeachMax                  0.0
    retaliationSlowLifeLeachMin                  0.0
    retaliationSlowLifeLeachModifier             0.0
    retaliationSlowLifeLeachModifierChance       0.0
    retaliationSlowLifeLeachXOR                  False
    retaliationSlowLifeMax                       0.0
    retaliationSlowLifeMin                       0.0
    retaliationSlowLifeModifier                  0.0
    retaliationSlowLifeModifierChance            0.0
    retaliationSlowLifeXOR                       False
    retaliationSlowLightningChance               0.0
    retaliationSlowLightningDurationMax          0.0
    retaliationSlowLightningDurationMin          0.0
    retaliationSlowLightningDurationModifier     0.0
    retaliationSlowLightningDurationModifierChance 0.0
    retaliationSlowLightningGlobal               False
    retaliationSlowLightningMax                  0.0
    retaliationSlowLightningMin                  0.0
    retaliationSlowLightningModifier             0.0
    retaliationSlowLightningModifierChance       0.0
    retaliationSlowLightningXOR                  False
    retaliationSlowManaLeachChance               0.0
    retaliationSlowManaLeachDurationMax          0.0
    retaliationSlowManaLeachDurationMin          0.0
    retaliationSlowManaLeachDurationModifier     0.0
    retaliationSlowManaLeachDurationModifierChance 0.0
    retaliationSlowManaLeachGlobal               False
    retaliationSlowManaLeachMax                  0.0
    retaliationSlowManaLeachMin                  0.0
    retaliationSlowManaLeachModifier             0.0
    retaliationSlowManaLeachModifierChance       0.0
    retaliationSlowManaLeachXOR                  False
    retaliationSlowOffensiveAbilityChance        0.0
    retaliationSlowOffensiveAbilityDurationMax   0.0
    retaliationSlowOffensiveAbilityDurationMin   0.0
    retaliationSlowOffensiveAbilityDurationModifier 0.0
    retaliationSlowOffensiveAbilityDurationModifierChance 0.0
    retaliationSlowOffensiveAbilityGlobal        False
    retaliationSlowOffensiveAbilityMax           0.0
    retaliationSlowOffensiveAbilityMin           0.0
    retaliationSlowOffensiveAbilityModifier      0.0
    retaliationSlowOffensiveAbilityModifierChance 0.0
    retaliationSlowOffensiveAbilityXOR           False
    retaliationSlowOffensiveReductionChance      0.0
    retaliationSlowOffensiveReductionDurationMax 0.0
    retaliationSlowOffensiveReductionDurationMin 0.0
    retaliationSlowOffensiveReductionDurationModifier 0.0
    retaliationSlowOffensiveReductionDurationModifierChance 0.0
    retaliationSlowOffensiveReductionGlobal      False
    retaliationSlowOffensiveReductionMax         0.0
    retaliationSlowOffensiveReductionMin         0.0
    retaliationSlowOffensiveReductionModifier    0.0
    retaliationSlowOffensiveReductionModifierChance 0.0
    retaliationSlowOffensiveReductionXOR         False
    retaliationSlowPhysicalChance                0.0
    retaliationSlowPhysicalDurationMax           0.0
    retaliationSlowPhysicalDurationMin           0.0
    retaliationSlowPhysicalDurationModifier      0.0
    retaliationSlowPhysicalDurationModifierChance 0.0
    retaliationSlowPhysicalGlobal                False
    retaliationSlowPhysicalMax                   0.0
    retaliationSlowPhysicalMin                   0.0
    retaliationSlowPhysicalModifier              0.0
    retaliationSlowPhysicalModifierChance        0.0
    retaliationSlowPhysicalXOR                   False
    retaliationSlowPoisonChance                  0.0
    retaliationSlowPoisonDurationMax             0.0
    retaliationSlowPoisonDurationMin             0.0
    retaliationSlowPoisonDurationModifier        0.0
    retaliationSlowPoisonDurationModifierChance  0.0
    retaliationSlowPoisonGlobal                  False
    retaliationSlowPoisonMax                     0.0
    retaliationSlowPoisonMin                     0.0
    retaliationSlowPoisonModifier                0.0
    retaliationSlowPoisonModifierChance          0.0
    retaliationSlowPoisonXOR                     False
    retaliationSlowRunSpeedChance                0.0
    retaliationSlowRunSpeedDurationMax           0.0
    retaliationSlowRunSpeedDurationMin           0.0
    retaliationSlowRunSpeedDurationModifier      0.0
    retaliationSlowRunSpeedDurationModifierChance 0.0
    retaliationSlowRunSpeedGlobal                False
    retaliationSlowRunSpeedMax                   0.0
    retaliationSlowRunSpeedMin                   0.0
    retaliationSlowRunSpeedModifier              0.0
    retaliationSlowRunSpeedModifierChance        0.0
    retaliationSlowRunSpeedXOR                   False
    retaliationStunChance                        0.0
    retaliationStunGlobal                        False
    retaliationStunMax                           0.0
    retaliationStunMin                           0.0
    retaliationStunModifier                      0.0
    retaliationStunModifierChance                0.0
    retaliationStunXOR                           False
    retaliationTotalDamageGlobal                 False
    retaliationTotalDamageModifier               0.0
    retaliationTotalDamageModifierChance         0.0
    retaliationTotalDamageXOR                    False
    retaliationTrapChance                        0.0
    retaliationTrapGlobal                        False
    retaliationTrapMax                           0.0
    retaliationTrapMin                           0.0
    retaliationTrapXOR                           False
    skillActiveDuration                          5.0
    skillBaseDescription                         tagEnemySkillNullification01Desc
