### EDITION III
  archive base  /Users/admin/Games/vendor/grim-dawn-edition-III-20260808/database/database.arz
    offensiveKnockdownMax                          3
    offensiveKnockdownMin                          1.5
    offensiveKnockdownModifier                     0
    offensiveKnockdownModifierChance               0
    offensiveKnockdownXOR                          False
    offensiveLifeChance                            0
    offensiveLifeGlobal                            False
    offensiveLifeMax                               0
    offensiveLifeMin                               0
    offensiveLifeModifier                          0
    offensiveLifeModifierChance                    0
    offensiveLifeXOR                               False
    offensiveLightningChance                       0
    offensiveLightningGlobal                       False
    offensiveLightningMax                          0
    offensiveLightningMin                          0
    offensiveLightningModifier                     0
    offensiveLightningModifierChance               0
    offensiveLightningXOR                          False
    offensivePercentCurrentLifeChance              0
    offensivePercentCurrentLifeGlobal              False
    offensivePercentCurrentLifeMax                 0
    offensivePercentCurrentLifeMin                 0
    offensivePercentCurrentLifeXOR                 False
    offensivePhysicalChance                        0
    offensivePhysicalGlobal                        False
    offensivePhysicalMax                           0
    offensivePhysicalMin                           [90, 115, 140, 164, 190, 215, 242, 269, 296, 315, 344, 368, 390, 415, 443, 466, 488, 509, 536, 564, 593, 615, 643, 665, 694, 726]  (n=26)
    offensivePhysicalModifier                      0
    offensivePhysicalModifierChance                0
    offensivePhysicalXOR                           False
    offensivePierceChance                          0
    offensivePierceGlobal                          False
    offensivePierceMax                             0
    offensivePierceMin                             0
    offensivePierceModifier                        0
    offensivePierceModifierChance                  0
    offensivePierceRatioChance                     0
    offensivePierceRatioGlobal                     False
    offensivePierceRatioMax                        0
    offensivePierceRatioMin                        0
    offensivePierceRatioModifier                   0
    offensivePierceRatioModifierChance             0
    offensivePierceRatioXOR                        False
    offensivePierceXOR                             False
    offensivePoisonChance                          0
    offensivePoisonGlobal                          False
    offensivePoisonMax                             0
    offensivePoisonMin                             0
    offensivePoisonModifier                        0
    offensivePoisonModifierChance                  0
    offensivePoisonXOR                             False
    offensiveSlowAttackSpeedChance                 0
    offensiveSlowAttackSpeedDurationMax            0
    offensiveSlowAttackSpeedDurationMin            0
    offensiveSlowAttackSpeedDurationModifier       0
    offensiveSlowAttackSpeedGlobal                 False
    offensiveSlowAttackSpeedMax                    0
    offensiveSlowAttackSpeedMin                    0
    offensiveSlowAttackSpeedModifier               0
    offensiveSlowAttackSpeedModifierChance         0
    offensiveSlowAttackSpeedXOR                    False
    offensiveSlowBleedingChance                    0
    offensiveSlowBleedingDurationMax               0
    offensiveSlowBleedingDurationMin               0
    offensiveSlowBleedingDurationModifier          0
    offensiveSlowBleedingGlobal                    False
    offensiveSlowBleedingMax                       0
    offensiveSlowBleedingMin                       0
    offensiveSlowBleedingModifier                  0
    offensiveSlowBleedingModifierChance            0
    offensiveSlowBleedingXOR                       False
    offensiveSlowColdChance                        0
    offensiveSlowColdDurationMax                   0
    offensiveSlowColdDurationMin                   0
    offensiveSlowColdDurationModifier              0
    offensiveSlowColdGlobal                        False
    offensiveSlowColdMax                           0
    offensiveSlowColdMin                           0
    offensiveSlowColdModifier                      0
    offensiveSlowColdModifierChance                0
    offensiveSlowColdXOR                           False
    offensiveSlowDefensiveAbilityChance            0
    offensiveSlowDefensiveAbilityDurationMax       0
    offensiveSlowDefensiveAbilityDurationMin       0
    offensiveSlowDefensiveAbilityDurationModifier  0
    offensiveSlowDefensiveAbilityGlobal            False
    offensiveSlowDefensiveAbilityMax               0
    offensiveSlowDefensiveAbilityMin               0
    offensiveSlowDefensiveAbilityModifier          0
    offensiveSlowDefensiveAbilityModifierChance    0
    offensiveSlowDefensiveAbilityXOR               False
    offensiveSlowDefensiveReductionChance          0
    offensiveSlowDefensiveReductionDurationMax     0
    offensiveSlowDefensiveReductionDurationMin     0
    offensiveSlowDefensiveReductionDurationModifier 0
    offensiveSlowDefensiveReductionGlobal          False
    offensiveSlowDefensiveReductionMax             0
    offensiveSlowDefensiveReductionMin             0
    offensiveSlowDefensiveReductionModifier        0
    offensiveSlowDefensiveReductionModifierChance  0
    offensiveSlowDefensiveReductionXOR             False
    offensiveSlowFireChance                        0
    offensiveSlowFireDurationMax                   0
    offensiveSlowFireDurationMin                   0
    offensiveSlowFireDurationModifier              0
    offensiveSlowFireGlobal                        False
    offensiveSlowFireMax                           0
    offensiveSlowFireMin                           0
    offensiveSlowFireModifier                      0
    offensiveSlowFireModifierChance                0
    offensiveSlowFireXOR                           False
    offensiveSlowLifeChance                        0
    offensiveSlowLifeDurationMax                   0
    offensiveSlowLifeDurationMin                   0
    offensiveSlowLifeDurationModifier              0
    offensiveSlowLifeGlobal                        False
    offensiveSlowLifeLeachChance                   0
    offensiveSlowLifeLeachDurationMax              0
    offensiveSlowLifeLeachDurationMin              0
    offensiveSlowLifeLeachDurationModifier         0
    offensiveSlowLifeLeachGlobal                   False
    offensiveSlowLifeLeachMax                      0
    offensiveSlowLifeLeachMin                      0
    offensiveSlowLifeLeachModifier                 0
    offensiveSlowLifeLeachModifierChance           0
    offensiveSlowLifeLeachXOR                      False
    offensiveSlowLifeMax                           0
    offensiveSlowLifeMin                           0
    offensiveSlowLifeModifier                      0
    offensiveSlowLifeModifierChance                0
    offensiveSlowLifeXOR                           False
    offensiveSlowLightningChance                   0
    offensiveSlowLightningDurationMax              0
    offensiveSlowLightningDurationMin              0
    offensiveSlowLightningDurationModifier         0
    offensiveSlowLightningGlobal                   False
    offensiveSlowLightningMax                      0
    offensiveSlowLightningMin                      0
    offensiveSlowLightningModifier                 0
    offensiveSlowLightningModifierChance           0
    offensiveSlowLightningXOR                      False
    offensiveSlowManaLeachChance                   0
    offensiveSlowManaLeachDurationMax              0
    offensiveSlowManaLeachDurationMin              0
    offensiveSlowManaLeachDurationModifier         0
    offensiveSlowManaLeachGlobal                   False
    offensiveSlowManaLeachMax                      0
    offensiveSlowManaLeachMin                      0
    offensiveSlowManaLeachModifier                 0
    offensiveSlowManaLeachModifierChance           0
    offensiveSlowManaLeachXOR                      False
    offensiveSlowOffensiveAbilityChance            0
    offensiveSlowOffensiveAbilityDurationMax       0
    offensiveSlowOffensiveAbilityDurationMin       0
    offensiveSlowOffensiveAbilityDurationModifier  0
    offensiveSlowOffensiveAbilityGlobal            False
    offensiveSlowOffensiveAbilityMax               0
    offensiveSlowOffensiveAbilityMin               0
    offensiveSlowOffensiveAbilityModifier          0
    offensiveSlowOffensiveAbilityModifierChance    0
    offensiveSlowOffensiveAbilityXOR               False
    offensiveSlowOffensiveReductionChance          0
    offensiveSlowOffensiveReductionDurationMax     0
    offensiveSlowOffensiveReductionDurationMin     0
    offensiveSlowOffensiveReductionDurationModifier 0
    offensiveSlowOffensiveReductionGlobal          False
    offensiveSlowOffensiveReductionMax             0
    offensiveSlowOffensiveReductionMin             0
    offensiveSlowOffensiveReductionModifier        0
    offensiveSlowOffensiveReductionModifierChance  0
    offensiveSlowOffensiveReductionXOR             False
    offensiveSlowPhysicalChance                    0
    offensiveSlowPhysicalDurationMax               0
    offensiveSlowPhysicalDurationMin               0
    offensiveSlowPhysicalDurationModifier          0
    offensiveSlowPhysicalGlobal                    False
    offensiveSlowPhysicalMax                       0
    offensiveSlowPhysicalMin                       0
    offensiveSlowPhysicalModifier                  0
    offensiveSlowPhysicalModifierChance            0
    offensiveSlowPhysicalXOR                       False
    offensiveSlowPoisonChance                      0
    offensiveSlowPoisonDurationMax                 0
    offensiveSlowPoisonDurationMin                 0
    offensiveSlowPoisonDurationModifier            0
    offensiveSlowPoisonGlobal                      False
    offensiveSlowPoisonMax                         0
    offensiveSlowPoisonMin                         0
    offensiveSlowPoisonModifier                    0
    offensiveSlowPoisonModifierChance              0
    offensiveSlowPoisonXOR                         False
    offensiveSlowRunSpeedChance                    0
    offensiveSlowRunSpeedDurationMax               0
    offensiveSlowRunSpeedDurationMin               0
    offensiveSlowRunSpeedDurationModifier          0
    offensiveSlowRunSpeedGlobal                    False
    offensiveSlowRunSpeedMax                       0
    offensiveSlowRunSpeedMin                       0
    offensiveSlowRunSpeedModifier                  0
    offensiveSlowRunSpeedModifierChance            0
    offensiveSlowRunSpeedXOR                       False
    offensiveStunChance                            0
    offensiveStunGlobal                            False
    offensiveStunModifier                          0
    offensiveStunModifierChance                    0
    offensiveStunXOR                               False
    offensiveTauntChance                           0
    offensiveTauntGlobal                           False
    offensiveTauntMax                              0
    offensiveTauntMin                              0
    offensiveTauntXOR                              False
    ragDollAmplification                           1.5
    ragDollDirection                               Push
    ragDollEffect                                  TakeHit
    retaliationColdChance                          0
    retaliationColdGlobal                          False
    retaliationColdMax                             0
    retaliationColdMin                             0
    retaliationColdModifier                        0
    retaliationColdModifierChance                  0
    retaliationColdXOR                             False
    retaliationFireChance                          0
    retaliationFireGlobal                          False
    retaliationFireMax                             0
    retaliationFireMin                             0
    retaliationFireModifier                        0
    retaliationFireModifierChance                  0
    retaliationFireXOR                             False
    retaliationGlobalChance                        0
    retaliationLifeChance                          0
    retaliationLifeGlobal                          False
    retaliationLifeMax                             0
    retaliationLifeMin                             0
    retaliationLifeModifier                        0
    retaliationLifeModifierChance                  0
    retaliationLifeXOR                             False
    retaliationLightningChance                     0
    retaliationLightningGlobal                     False
    retaliationLightningMax                        0
    retaliationLightningMin                        0
    retaliationLightningModifier                   0
    retaliationLightningModifierChance             0
    retaliationLightningXOR                        False
    retaliationPercentCurrentLifeChance            0
    retaliationPercentCurrentLifeMax               0
    retaliationPercentCurrentLifeMin               0
    retaliationPercentCurrentLifeXOR               False
    retaliationPercentcurrentLifeGlobal            False
    retaliationPhysicalChance                      0
    retaliationPhysicalGlobal                      False
    retaliationPhysicalMax                         0
    retaliationPhysicalMin                         0
    retaliationPhysicalModifier                    0
    retaliationPhysicalModifierChance              0
    retaliationPhysicalXOR                         False
    retaliationPierceChance                        0
    retaliationPierceGlobal                        False
    retaliationPierceMax                           0
    retaliationPierceMin                           0
    retaliationPierceModifier                      0
    retaliationPierceModifierChance                0
    retaliationPierceRatioChance                   0
    retaliationPierceRatioGlobal                   False
    retaliationPierceRatioMax                      0
    retaliationPierceRatioMin                      0
    retaliationPierceRatioModifier                 0
    retaliationPierceRatioModifierChance           0
    retaliationPierceRatioXOR                      False
    retaliationPierceXOR                           False
    retaliationPoisonChance                        0
    retaliationPoisonGlobal                        False
    retaliationPoisonMax                           0
    retaliationPoisonMin                           0
    retaliationPoisonModifier                      0
    retaliationPoisonModifierChance                0
    retaliationPoisonXOR                           False
    retaliationSlowAttackSpeedChance               0
    retaliationSlowAttackSpeedDurationMax          0
    retaliationSlowAttackSpeedDurationMin          0
    retaliationSlowAttackSpeedDurationModifier     0
    retaliationSlowAttackSpeedDurationModifierChance 0
    retaliationSlowAttackSpeedGlobal               False
    retaliationSlowAttackSpeedMax                  0
    retaliationSlowAttackSpeedMin                  0
    retaliationSlowAttackSpeedModifier             0
    retaliationSlowAttackSpeedModifierChance       0
    retaliationSlowAttackSpeedXOR                  False
    retaliationSlowBleedingChance                  0
    retaliationSlowBleedingDurationMax             0
    retaliationSlowBleedingDurationMin             0
    retaliationSlowBleedingDurationModifier        0
    retaliationSlowBleedingDurationModifierChance  0
    retaliationSlowBleedingGlobal                  False
    retaliationSlowBleedingMax                     0
    retaliationSlowBleedingMin                     0
    retaliationSlowBleedingModifier                0
    retaliationSlowBleedingModifierChance          0
    retaliationSlowBleedingXOR                     False
    retaliationSlowColdChance                      0
    retaliationSlowColdDurationMax                 0
    retaliationSlowColdDurationMin                 0
    retaliationSlowColdDurationModifier            0
    retaliationSlowColdDurationModifierChance      0
    retaliationSlowColdGlobal                      False
    retaliationSlowColdMax                         0
    retaliationSlowColdMin                         0
    retaliationSlowColdModifier                    0
    retaliationSlowColdModifierChance              0
    retaliationSlowColdXOR                         False
    retaliationSlowDefensiveAbilityChance          0
    retaliationSlowDefensiveAbilityDurationMax     0
    retaliationSlowDefensiveAbilityDurationMin     0
    retaliationSlowDefensiveAbilityDurationModifier 0
    retaliationSlowDefensiveAbilityDurationModifierChance 0
    retaliationSlowDefensiveAbilityGlobal          False
    retaliationSlowDefensiveAbilityMax             0
    retaliationSlowDefensiveAbilityMin             0
    retaliationSlowDefensiveAbilityModifier        0
    retaliationSlowDefensiveAbilityModifierChance  0
    retaliationSlowDefensiveAbilityXOR             False
    retaliationSlowFireChance                      0
    retaliationSlowFireDurationMax                 0
    retaliationSlowFireDurationMin                 0
    retaliationSlowFireDurationModifier            0
    retaliationSlowFireDurationModifierChance      0
    retaliationSlowFireGlobal                      False
    retaliationSlowFireMax                         0
    retaliationSlowFireMin                         0
    retaliationSlowFireModifier                    0
    retaliationSlowFireModifierChance              0
    retaliationSlowFireXOR                         False
    retaliationSlowLifeChance                      0
    retaliationSlowLifeDurationMax                 0
    retaliationSlowLifeDurationMin                 0
    retaliationSlowLifeDurationModifier            0
    retaliationSlowLifeDurationModifierChance      0
    retaliationSlowLifeGlobal                      False
    retaliationSlowLifeLeachChance                 0
    retaliationSlowLifeLeachDurationMax            0
    retaliationSlowLifeLeachDurationMin            0
    retaliationSlowLifeLeachDurationModifier       0
    retaliationSlowLifeLeachDurationModifierChance 0
    retaliationSlowLifeLeachGlobal                 False
    retaliationSlowLifeLeachMax                    0
    retaliationSlowLifeLeachMin                    0
    retaliationSlowLifeLeachModifier               0
    retaliationSlowLifeLeachModifierChance         0
    retaliationSlowLifeLeachXOR                    False
    retaliationSlowLifeMax                         0
    retaliationSlowLifeMin                         0
    retaliationSlowLifeModifier                    0
    retaliationSlowLifeModifierChance              0
    retaliationSlowLifeXOR                         False
    retaliationSlowLightningChance                 0
    retaliationSlowLightningDurationMax            0
    retaliationSlowLightningDurationMin            0
    retaliationSlowLightningDurationModifier       0
    retaliationSlowLightningDurationModifierChance 0
    retaliationSlowLightningGlobal                 False
    retaliationSlowLightningMax                    0
    retaliationSlowLightningMin                    0
    retaliationSlowLightningModifier               0
    retaliationSlowLightningModifierChance         0
    retaliationSlowLightningXOR                    False
    retaliationSlowManaLeachChance                 0
    retaliationSlowManaLeachDurationMax            0
    retaliationSlowManaLeachDurationMin            0
    retaliationSlowManaLeachDurationModifier       0
    retaliationSlowManaLeachDurationModifierChance 0
    retaliationSlowManaLeachGlobal                 False
    retaliationSlowManaLeachMax                    0
    retaliationSlowManaLeachMin                    0
    retaliationSlowManaLeachModifier               0
    retaliationSlowManaLeachModifierChance         0
    retaliationSlowManaLeachXOR                    False
    retaliationSlowOffensiveAbilityChance          0
    retaliationSlowOffensiveAbilityDurationMax     0
    retaliationSlowOffensiveAbilityDurationMin     0
    retaliationSlowOffensiveAbilityDurationModifier 0
    retaliationSlowOffensiveAbilityDurationModifierChance 0
    retaliationSlowOffensiveAbilityGlobal          False
    retaliationSlowOffensiveAbilityMax             0
    retaliationSlowOffensiveAbilityMin             0
    retaliationSlowOffensiveAbilityModifier        0
    retaliationSlowOffensiveAbilityModifierChance  0
    retaliationSlowOffensiveAbilityXOR             False
    retaliationSlowOffensiveReductionChance        0
    retaliationSlowOffensiveReductionDurationMax   0
    retaliationSlowOffensiveReductionDurationMin   0
    retaliationSlowOffensiveReductionDurationModifier 0
    retaliationSlowOffensiveReductionDurationModifierChance 0
    retaliationSlowOffensiveReductionGlobal        False
    retaliationSlowOffensiveReductionMax           0
    retaliationSlowOffensiveReductionMin           0
    retaliationSlowOffensiveReductionModifier      0
    retaliationSlowOffensiveReductionModifierChance 0
    retaliationSlowOffensiveReductionXOR           False
    retaliationSlowPhysicalChance                  0
    retaliationSlowPhysicalDurationMax             0
    retaliationSlowPhysicalDurationMin             0
    retaliationSlowPhysicalDurationModifier        0
    retaliationSlowPhysicalDurationModifierChance  0
    retaliationSlowPhysicalGlobal                  False
    retaliationSlowPhysicalMax                     0
    retaliationSlowPhysicalMin                     0
    retaliationSlowPhysicalModifier                0
    retaliationSlowPhysicalModifierChance          0
    retaliationSlowPhysicalXOR                     False
    retaliationSlowPoisonChance                    0
    retaliationSlowPoisonDurationMax               0
    retaliationSlowPoisonDurationMin               0
    retaliationSlowPoisonDurationModifier          0
    retaliationSlowPoisonDurationModifierChance    0
    retaliationSlowPoisonGlobal                    False
    retaliationSlowPoisonMax                       0
    retaliationSlowPoisonMin                       0
    retaliationSlowPoisonModifier                  0
    retaliationSlowPoisonModifierChance            0
    retaliationSlowPoisonXOR                       False
    retaliationSlowRunSpeedChance                  0
    retaliationSlowRunSpeedDurationMax             0
    retaliationSlowRunSpeedDurationMin             0
    retaliationSlowRunSpeedDurationModifier        0
    retaliationSlowRunSpeedDurationModifierChance  0
    retaliationSlowRunSpeedGlobal                  False
    retaliationSlowRunSpeedMax                     0
    retaliationSlowRunSpeedMin                     0
    retaliationSlowRunSpeedModifier                0
    retaliationSlowRunSpeedModifierChance          0
    retaliationSlowRunSpeedXOR                     False
    retaliationStunChance                          0
    retaliationStunGlobal                          False
    retaliationStunMax                             0
    retaliationStunMin                             0
    retaliationStunModifier                        0
    retaliationStunModifierChance                  0
    retaliationStunXOR                             False
    skillAllowsWarmUp                              True
    skillBaseDescription                           tagClass01SkillDescription03A
    skillConnectionOff                             [ui/skills/skillallocation/skills_connectoroffcenter.tex, ui/skills/skillallocation/skills_connectoroffcenter.tex, ui/skills/skillallocation/skills_connectoroffcenter.tex, ui/skills/skillallocation/skills_connectoroffcenter.tex]  (n=4)
    skillConnectionOn                              [ui/skills/skillallocation/skills_connectoroncenter.tex, ui/skills/skillallocation/skills_connectoroncenter.tex, ui/skills/skillallocation/skills_connectoroncenter.tex, ui/skills/skillallocation/skills_connectoroncenter.tex]  (n=4)
    skillCooldownReduction                         0
    skillCooldownReductionModifier                 0
    skillCooldownTime                              3.5
    skillDisplayName                               tagClass01SkillName03A
    skillDownBitmapName                            ui/skills/icons/class01/skillicon_blitz1_down.tex
    skillHitSound                                  records/sounds/skillsounds/class01/spak_blitz.dbr
    skillManaCost                                  [30, 33, 36, 39, 42, 45, 48, 52, 55, 59, 62, 65, 68, 71, 74, 77, 80, 83, 86, 89, 92, 95, 98, 101, 104, 107]  (n=26)
    skillManaCostReduction                         0
    skillManaCostReductionModifier                 0
    skillMasteryLevelRequired                      0
    skillMaxLevel                                  16
    skillSpecialAnimationName                      Blitz
    skillTargetAngle                               180
    skillTargetNumber                              3
    skillTier                                      3
    skillUltimateLevel                             26
    skillUpBitmapName                              ui/skills/icons/class01/skillicon_blitz1_up.tex
    skillWarmUpSound                               records/sounds/skillsounds/class01/spak_blitz_warmup.dbr
    targetFxPakName                                records/fx/skillclass01/weaponpool01_fxpak.dbr
    templateName                                   database/templates/skill_attackweaponcharge.tpl
    unarmedOnly                                    False
    warmUpEffectAttachPoint                        Upper Body
    warmUpEffectName                               records/fx/skillclass01/blitz1_warmuploop_fx01.dbr
    weaponDamagePct                                [135, 150, 165, 180, 195, 210, 225, 240, 255, 270, 285, 300, 315, 330, 345, 360, 368, 376, 384, 392, 400, 408, 416, 424, 432, 440]  (n=26)

--- records/skills/playerclass09/eyeofreckoning1.dbr
  [gdx2] rtype=Skill_AttackRadiusSpin  fields=311
    Axe                                            True
    Axe2h                                          True
    Class                                          Skill_AttackRadiusSpin
    Dagger                                         True
    Mace                                           True
    Mace2h                                         True
    Magical                                        False
    Offhand                                        False
    Ranged1h                                       False
    Ranged2h                                       False
    Scepter                                        True
    Shield                                         False
    Spear                                          False
    Spear2h                                        True
    Staff                                          False
    Sword                                          True
    Sword2h                                        True
    canUseWhileMoving                              True
    defensiveCrowdControl                          [10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]  (n=26)
    defensiveCrowdControlMaxResist                 [10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]  (n=26)
    delayMovement                                  True
    distanceProfile                                Melee
    dualRangedOnly                                 False
    dualWieldOnly                                  False
    duration                                       0.25
    excludeRacialDamage                            False
    exclusiveSkill                                 False
    isPetDisplayable                               False
    loopSound                                      records/sounds/skillsounds/class09/spak_eyeofreckoning_loop.dbr
