differing_coord,value_a,value_b,cell_key_a,cell_key_b
12-activation,active,triggered,full-move|self-origin|flat|whirlwind|damage|none|tank|spend|solo|melee|high|channel|active|one-shot,full-move|self-origin|flat|whirlwind|damage|none|tank|spend|solo|melee|high|channel|triggered|one-shot
13-dependency,apply→detonate,build→spend,full-move|at-target|spiky|dash_attack|damage|none|tank|generator-spender|solo|melee|med|instant|active|apply→detonate,full-move|at-target|spiky|dash_attack|damage|none|tank|generator-spender|solo|melee|med|instant|active|build→spend
13-dependency,build→spend,one-shot,full-move|at-target|flat|totem|damage|none|tank|spend|heavy|ranged|med|instant|active|build→spend,full-move|at-target|flat|totem|damage|none|tank|spend|heavy|ranged|med|instant|active|one-shot
13-dependency,build→spend,one-shot,full-move|projectile|flat|single_target|damage|none|tank|generator-spender|solo|ranged|high|instant|active|build→spend,full-move|projectile|flat|single_target|damage|none|tank|generator-spender|solo|ranged|high|instant|active|one-shot
13-dependency,build→spend,one-shot,rooted|projectile|spiky|circle|damage|none|glass|spend|solo|ranged|med|instant|active|build→spend,rooted|projectile|spiky|circle|damage|none|glass|spend|solo|ranged|med|instant|active|one-shot
3-amp,flat,spiky,full-move|at-target|flat|dash_attack|damage|none|tank|cooldown|solo|melee|med|instant|triggered|one-shot,full-move|at-target|spiky|dash_attack|damage|none|tank|cooldown|solo|melee|med|instant|triggered|one-shot
3-amp,flat,spiky,full-move|at-target|flat|totem|damage|none|tank|cooldown|heavy|ranged|med|instant|active|apply→detonate,full-move|at-target|spiky|totem|damage|none|tank|cooldown|heavy|ranged|med|instant|active|apply→detonate
3-amp,flat,spiky,rooted|at-target|flat|ground_targeted_circle|damage|none|tank|spend|solo|melee|med|instant|active|one-shot,rooted|at-target|spiky|ground_targeted_circle|damage|none|tank|spend|solo|melee|med|instant|active|one-shot
3-amp,flat,var,full-move|at-target|flat|ground_targeted_circle|damage|hard-stop|glass|spend|solo|ranged|med|instant|active|one-shot,full-move|at-target|var|ground_targeted_circle|damage|hard-stop|glass|spend|solo|ranged|med|instant|active|one-shot
3-amp,flat,var,full-move|at-target|flat|melee_strike|damage|none|tank|generator-spender|solo|melee|high|instant|active|build→spend,full-move|at-target|var|melee_strike|damage|none|tank|generator-spender|solo|melee|high|instant|active|build→spend
3-amp,flat,var,full-move|projectile|flat|chain|damage|none|evade|spend|solo|dual|high|instant|active|one-shot,full-move|projectile|var|chain|damage|none|evade|spend|solo|dual|high|instant|active|one-shot
3-amp,flat,var,full-move|projectile|flat|multi_projectile|damage|none|mitigate|spend|solo|ranged|high|instant|active|one-shot,full-move|projectile|var|multi_projectile|damage|none|mitigate|spend|solo|ranged|high|instant|active|one-shot
4-geometry,blank,dash_attack,full-move|blank|flat|blank|blank|unknown|blank|unknown|solo|melee|high|instant|unknown|unknown,full-move|blank|flat|dash_attack|blank|unknown|blank|unknown|solo|melee|high|instant|unknown|unknown
4-geometry,chain,circle,full-move|projectile|flat|chain|damage|hex|mitigate|spend|solo|ranged|low|instant|triggered|one-shot,full-move|projectile|flat|circle|damage|hex|mitigate|spend|solo|ranged|low|instant|triggered|one-shot
4-geometry,chain,circle,full-move|projectile|flat|chain|damage|none|evade|spend|solo|ranged|high|instant|active|one-shot,full-move|projectile|flat|circle|damage|none|evade|spend|solo|ranged|high|instant|active|one-shot
4-geometry,chain,circle,walk|projectile|var|chain|damage|none|mitigate|spend|solo|ranged|high|instant|active|one-shot,walk|projectile|var|circle|damage|none|mitigate|spend|solo|ranged|high|instant|active|one-shot
4-geometry,chain,melee_strike,full-move|at-target|flat|chain|damage|none|tank|unknown|solo|melee|low|instant|active|one-shot,full-move|at-target|flat|melee_strike|damage|none|tank|unknown|solo|melee|low|instant|active|one-shot
4-geometry,chain,multi_projectile,full-move|projectile|flat|chain|damage|none|mitigate|spend|solo|ranged|high|instant|active|one-shot,full-move|projectile|flat|multi_projectile|damage|none|mitigate|spend|solo|ranged|high|instant|active|one-shot
4-geometry,circle,melee_strike,full-move|projectile|flat|circle|damage|hard-stop|mitigate|spend|solo|ranged|high|instant|active|one-shot,full-move|projectile|flat|melee_strike|damage|hard-stop|mitigate|spend|solo|ranged|high|instant|active|one-shot
4-geometry,circle,single_target,full-move|projectile|flat|circle|damage|hard-stop|mitigate|spend|solo|ranged|high|instant|active|one-shot,full-move|projectile|flat|single_target|damage|hard-stop|mitigate|spend|solo|ranged|high|instant|active|one-shot
4-geometry,circle,whirlwind,full-move|self-origin|flat|circle|damage|none|tank|spend|solo|melee|high|channel|active|one-shot,full-move|self-origin|flat|whirlwind|damage|none|tank|spend|solo|melee|high|channel|active|one-shot
4-geometry,ground_targeted_circle,melee_strike,full-move|at-target|flat|ground_targeted_circle|damage|none|evade|generator-spender|solo|melee|high|instant|active|one-shot,full-move|at-target|flat|melee_strike|damage|none|evade|generator-spender|solo|melee|high|instant|active|one-shot
4-geometry,ground_targeted_circle,melee_strike,rooted|at-target|flat|ground_targeted_circle|damage|none|tank|spend|solo|melee|med|instant|active|one-shot,rooted|at-target|flat|melee_strike|damage|none|tank|spend|solo|melee|med|instant|active|one-shot
4-geometry,ground_targeted_circle,multi_projectile,walk|at-target|flat|ground_targeted_circle|damage|none|tank|reserve|heavy|dual|med|instant|active|one-shot,walk|at-target|flat|multi_projectile|damage|none|tank|reserve|heavy|dual|med|instant|active|one-shot
4-geometry,melee_strike,single_target,full-move|projectile|flat|melee_strike|damage|hard-stop|mitigate|spend|solo|ranged|high|instant|active|one-shot,full-move|projectile|flat|single_target|damage|hard-stop|mitigate|spend|solo|ranged|high|instant|active|one-shot
4-geometry,melee_strike,single_target,walk|at-target|flat|melee_strike|damage|none|tank|unknown|light|melee|high|instant|active|one-shot,walk|at-target|flat|single_target|damage|none|tank|unknown|light|melee|high|instant|active|one-shot
4-geometry,multi_projectile,single_target,full-move|projectile|flat|multi_projectile|damage|none|evade|spend|solo|ranged|high|instant|active|build→spend,full-move|projectile|flat|single_target|damage|none|evade|spend|solo|ranged|high|instant|active|build→spend
4-geometry,multi_projectile,single_target,full-move|projectile|flat|multi_projectile|damage|none|glass|finite|solo|ranged|high|instant|active|one-shot,full-move|projectile|flat|single_target|damage|none|glass|finite|solo|ranged|high|instant|active|one-shot
4-geometry,multi_projectile,single_target,full-move|projectile|flat|multi_projectile|damage|none|glass|spend|solo|ranged|high|instant|active|one-shot,full-move|projectile|flat|single_target|damage|none|glass|spend|solo|ranged|high|instant|active|one-shot
5b-ctrl_function,blind,hard-stop,walk|at-target|flat|ground_targeted_circle|damage|blind|tank|unknown|solo|melee|high|instant|active|one-shot,walk|at-target|flat|ground_targeted_circle|damage|hard-stop|tank|unknown|solo|melee|high|instant|active|one-shot
5b-ctrl_function,expose,hard-stop,full-move|projectile|flat|multi_projectile|damage|expose|tank|spend|solo|ranged|high|instant|active|one-shot,full-move|projectile|flat|multi_projectile|damage|hard-stop|tank|spend|solo|ranged|high|instant|active|one-shot
5b-ctrl_function,expose,none,full-move|projectile|flat|multi_projectile|damage|expose|tank|spend|solo|ranged|high|instant|active|one-shot,full-move|projectile|flat|multi_projectile|damage|none|tank|spend|solo|ranged|high|instant|active|one-shot
5b-ctrl_function,expose,none,full-move|self-origin|flat|circle|damage|expose|tank|self-cost|solo|melee|high|instant|active|one-shot,full-move|self-origin|flat|circle|damage|none|tank|self-cost|solo|melee|high|instant|active|one-shot
5b-ctrl_function,expose,none,walk|at-target|flat|ground_targeted_circle|damage|expose|tank|cooldown|solo|dual|low|instant|triggered|one-shot,walk|at-target|flat|ground_targeted_circle|damage|none|tank|cooldown|solo|dual|low|instant|triggered|one-shot
5b-ctrl_function,hard-stop,hex,full-move|at-target|flat|ground_targeted_circle|control|hard-stop|evade|generator-spender|solo|melee|high|instant|active|one-shot,full-move|at-target|flat|ground_targeted_circle|control|hex|evade|generator-spender|solo|melee|high|instant|active|one-shot
5b-ctrl_function,hard-stop,none,full-move|at-target|flat|multi_projectile|damage|hard-stop|mitigate|spend|solo|melee|high|instant|active|one-shot,full-move|at-target|flat|multi_projectile|damage|none|mitigate|spend|solo|melee|high|instant|active|one-shot
5b-ctrl_function,hard-stop,none,full-move|projectile|flat|multi_projectile|damage|hard-stop|tank|spend|solo|ranged|high|instant|active|one-shot,full-move|projectile|flat|multi_projectile|damage|none|tank|spend|solo|ranged|high|instant|active|one-shot
5b-ctrl_function,hard-stop,none,walk|at-target|var|ground_targeted_circle|damage|hard-stop|mitigate|unknown|solo|ranged|med|instant|active|one-shot,walk|at-target|var|ground_targeted_circle|damage|none|mitigate|unknown|solo|ranged|med|instant|active|one-shot
5b-ctrl_function,knockback,none,full-move|self-origin|flat|whirlwind|damage|knockback|tank|reserve|solo|melee|high|channel|active|one-shot,full-move|self-origin|flat|whirlwind|damage|none|tank|reserve|solo|melee|high|channel|active|one-shot
5b-ctrl_function,none,stun,full-move|at-target|flat|melee_strike|damage|none|tank|reserve|solo|melee|high|instant|active|one-shot,full-move|at-target|flat|melee_strike|damage|stun|tank|reserve|solo|melee|high|instant|active|one-shot
5b-ctrl_function,none,stun,full-move|aura-pulse|flat|aura|damage|none|tank|reserve|solo|melee|high|instant|active|one-shot,full-move|aura-pulse|flat|aura|damage|stun|tank|reserve|solo|melee|high|instant|active|one-shot
5b-ctrl_function,none,stun,rooted|self-origin|flat|circle|damage|none|tank|spend|solo|melee|high|instant|active|one-shot,rooted|self-origin|flat|circle|damage|stun|tank|spend|solo|melee|high|instant|active|one-shot
5b-ctrl_function,none,taunt,full-move|at-target|flat|totem|damage|none|tank|reserve|heavy|ranged|med|instant|active|one-shot,full-move|at-target|flat|totem|damage|taunt|tank|reserve|heavy|ranged|med|instant|active|one-shot
6-defense,absorb,evade,full-move|self-origin|flat|circle|damage|taunt|absorb|reserve|heavy|melee|med|instant|active|one-shot,full-move|self-origin|flat|circle|damage|taunt|evade|reserve|heavy|melee|med|instant|active|one-shot
6-defense,absorb,tank,full-move|at-target|spiky|ground_targeted_circle|damage|none|absorb|cooldown|light|ranged|med|instant|active|one-shot,full-move|at-target|spiky|ground_targeted_circle|damage|none|tank|cooldown|light|ranged|med|instant|active|one-shot
6-defense,evade,mitigate,full-move|projectile|flat|chain|damage|none|evade|spend|solo|ranged|high|instant|active|one-shot,full-move|projectile|flat|chain|damage|none|mitigate|spend|solo|ranged|high|instant|active|one-shot
6-defense,evade,tank,full-move|at-target|flat|totem|damage|none|evade|finite|heavy|ranged|med|instant|active|apply→detonate,full-move|at-target|flat|totem|damage|none|tank|finite|heavy|ranged|med|instant|active|apply→detonate
6-defense,evade,tank,full-move|at-target|var|ground_targeted_circle|damage|none|evade|spend|solo|melee|high|instant|active|one-shot,full-move|at-target|var|ground_targeted_circle|damage|none|tank|spend|solo|melee|high|instant|active|one-shot
6-defense,evade,tank,full-move|self-origin|flat|whirlwind|damage|knockback|evade|reserve|solo|melee|high|channel|active|one-shot,full-move|self-origin|flat|whirlwind|damage|knockback|tank|reserve|solo|melee|high|channel|active|one-shot
6-defense,glass,mitigate,full-move|projectile|flat|circle|damage|hard-stop|glass|spend|solo|ranged|high|instant|active|one-shot,full-move|projectile|flat|circle|damage|hard-stop|mitigate|spend|solo|ranged|high|instant|active|one-shot
6-defense,glass,mitigate,full-move|projectile|flat|multi_projectile|damage|none|glass|spend|solo|ranged|high|instant|active|one-shot,full-move|projectile|flat|multi_projectile|damage|none|mitigate|spend|solo|ranged|high|instant|active|one-shot
6-defense,glass,tank,full-move|projectile|flat|multi_projectile|damage|none|glass|spend|solo|ranged|high|instant|active|one-shot,full-move|projectile|flat|multi_projectile|damage|none|tank|spend|solo|ranged|high|instant|active|one-shot
6-defense,glass,tank,rooted|beam|flat|cone|damage|none|glass|spend|solo|dual|high|channel|active|build→spend,rooted|beam|flat|cone|damage|none|tank|spend|solo|dual|high|channel|active|build→spend
6-defense,mitigate,tank,full-move|projectile|flat|multi_projectile|damage|none|mitigate|spend|solo|ranged|high|instant|active|one-shot,full-move|projectile|flat|multi_projectile|damage|none|tank|spend|solo|ranged|high|instant|active|one-shot
6-defense,mitigate,tank,rooted|at-target|flat|melee_strike|damage|none|mitigate|spend|solo|melee|med|instant|active|one-shot,rooted|at-target|flat|melee_strike|damage|none|tank|spend|solo|melee|med|instant|active|one-shot
6-defense,mitigate,tank,walk|at-target|var|ground_targeted_circle|damage|none|mitigate|unknown|solo|ranged|med|instant|active|one-shot,walk|at-target|var|ground_targeted_circle|damage|none|tank|unknown|solo|ranged|med|instant|active|one-shot
7-economy_model,cooldown,finite,full-move|at-target|flat|totem|damage|none|tank|cooldown|heavy|ranged|med|instant|active|apply→detonate,full-move|at-target|flat|totem|damage|none|tank|finite|heavy|ranged|med|instant|active|apply→detonate
7-economy_model,finite,spend,full-move|projectile|flat|multi_projectile|damage|none|glass|finite|solo|ranged|high|instant|active|one-shot,full-move|projectile|flat|multi_projectile|damage|none|glass|spend|solo|ranged|high|instant|active|one-shot
7-economy_model,finite,spend,full-move|projectile|flat|single_target|damage|none|glass|finite|solo|ranged|high|instant|active|one-shot,full-move|projectile|flat|single_target|damage|none|glass|spend|solo|ranged|high|instant|active|one-shot
7-economy_model,finite,spend,walk|at-target|spiky|ground_targeted_circle|damage|none|tank|finite|solo|melee|med|instant|active|one-shot,walk|at-target|spiky|ground_targeted_circle|damage|none|tank|spend|solo|melee|med|instant|active|one-shot
7-economy_model,finite,unknown,full-move|self-origin|flat|ring|damage|none|glass|finite|solo|dual|high|instant|active|one-shot,full-move|self-origin|flat|ring|damage|none|glass|unknown|solo|dual|high|instant|active|one-shot
7-economy_model,generator-spender,self-cost,walk|at-target|flat|ground_targeted_circle|damage|none|tank|generator-spender|solo|melee|high|instant|active|build→spend,walk|at-target|flat|ground_targeted_circle|damage|none|tank|self-cost|solo|melee|high|instant|active|build→spend
7-economy_model,generator-spender,spend,full-move|at-target|flat|melee_strike|damage|none|evade|generator-spender|solo|melee|high|instant|active|one-shot,full-move|at-target|flat|melee_strike|damage|none|evade|spend|solo|melee|high|instant|active|one-shot
7-economy_model,reserve,spend,full-move|at-target|flat|totem|damage|none|tank|reserve|heavy|melee|med|instant|active|one-shot,full-move|at-target|flat|totem|damage|none|tank|spend|heavy|melee|med|instant|active|one-shot
7-economy_model,reserve,spend,full-move|at-target|flat|totem|damage|none|tank|reserve|heavy|ranged|med|instant|active|one-shot,full-move|at-target|flat|totem|damage|none|tank|spend|heavy|ranged|med|instant|active|one-shot
7-economy_model,reserve,spend,full-move|self-origin|flat|whirlwind|damage|none|tank|reserve|solo|melee|high|channel|active|one-shot,full-move|self-origin|flat|whirlwind|damage|none|tank|spend|solo|melee|high|channel|active|one-shot
7-economy_model,reserve,unknown,full-move|at-target|flat|totem|damage|none|tank|reserve|heavy|ranged|med|instant|active|one-shot,full-move|at-target|flat|totem|damage|none|tank|unknown|heavy|ranged|med|instant|active|one-shot
7-economy_model,self-cost,spend,full-move|self-origin|flat|circle|damage|none|tank|self-cost|solo|melee|high|instant|active|one-shot,full-move|self-origin|flat|circle|damage|none|tank|spend|solo|melee|high|instant|active|one-shot
7-economy_model,self-cost,spend,walk|projectile|flat|chain|damage|none|tank|self-cost|solo|ranged|high|instant|active|one-shot,walk|projectile|flat|chain|damage|none|tank|spend|solo|ranged|high|instant|active|one-shot
7-economy_model,spend,spend+finite,rooted|projectile|flat|cone|damage|none|evade|spend+finite|solo|ranged|high|instant|active|one-shot,rooted|projectile|flat|cone|damage|none|evade|spend|solo|ranged|high|instant|active|one-shot
7-economy_model,spend,unknown,full-move|at-target|flat|totem|damage|none|tank|spend|heavy|ranged|med|instant|active|one-shot,full-move|at-target|flat|totem|damage|none|tank|unknown|heavy|ranged|med|instant|active|one-shot
7-economy_model,spend,unknown,walk|at-target|flat|ground_targeted_circle|damage|none|mitigate|spend|solo|melee|high|instant|active|one-shot,walk|at-target|flat|ground_targeted_circle|damage|none|mitigate|unknown|solo|melee|high|instant|active|one-shot
7-economy_model,spend,unknown,walk|self-origin|flat|multi_projectile|damage|none|tank|spend|solo|dual|high|instant|active|one-shot,walk|self-origin|flat|multi_projectile|damage|none|tank|unknown|solo|dual|high|instant|active|one-shot
8-proxy,heavy,light,full-move|at-target|flat|totem|damage|none|tank|spend|heavy|dual|med|instant|active|apply→detonate,full-move|at-target|flat|totem|damage|none|tank|spend|light|dual|med|instant|active|apply→detonate
8-proxy,light,solo,rooted|at-target|flat|melee_strike|damage|none|mitigate|spend|light|melee|med|instant|active|one-shot,rooted|at-target|flat|melee_strike|damage|none|mitigate|spend|solo|melee|med|instant|active|one-shot
9-range,dual,ranged,full-move|projectile|flat|chain|damage|none|evade|spend|solo|dual|high|instant|active|one-shot,full-move|projectile|flat|chain|damage|none|evade|spend|solo|ranged|high|instant|active|one-shot
9-range,melee,ranged,full-move|at-target|flat|totem|damage|none|tank|reserve|heavy|melee|med|instant|active|one-shot,full-move|at-target|flat|totem|damage|none|tank|reserve|heavy|ranged|med|instant|active|one-shot
9-range,melee,ranged,full-move|at-target|flat|totem|damage|none|tank|spend|heavy|melee|med|instant|active|one-shot,full-move|at-target|flat|totem|damage|none|tank|spend|heavy|ranged|med|instant|active|one-shot
9-range,melee,ranged,full-move|self-origin|flat|circle|damage|taunt|absorb|reserve|heavy|melee|med|instant|active|one-shot,full-move|self-origin|flat|circle|damage|taunt|absorb|reserve|heavy|ranged|med|instant|active|one-shot
