cell_key,population,representative_kit_id,isotope_kit_ids
full-move|at-target|flat|melee_strike|damage|none|glass|cooldown|light|melee|med|instant|active|one-shot,1,d2-enchantress,
full-move|at-target|flat|melee_strike|damage|none|tank|free|solo|melee|high|instant|triggered|build→spend,1,d2-frenzy-barb,
full-move|at-target|flat|melee_strike|damage|none|tank|generator-spender|solo|melee|high|instant|active|build→spend,1,gd-righteous-fervor-dervish,
full-move|at-target|flat|melee_strike|damage|none|tank|reserve|solo|melee|high|instant|active|one-shot,1,tq-rune-weapon-thunderer,
full-move|at-target|flat|melee_strike|damage|none|tank|unknown|solo|melee|low|instant|active|one-shot,1,chr-bleed-berserker,
full-move|at-target|flat|melee_strike|damage|stun|tank|free|solo|melee|high|instant|triggered|apply→detonate,1,chr-fulmination-templar,
full-move|at-target|flat|melee_strike|damage|stun|tank|reserve|solo|melee|high|instant|active|one-shot,1,tq-dream-harbinger,
full-move|at-target|flat|multi_projectile|damage|hard-stop|mitigate|spend|solo|melee|high|instant|active|one-shot,1,poe1-frost-blades,
full-move|at-target|flat|multi_projectile|damage|hard-stop|tank|cooldown|heavy|ranged|high|instant|active|apply→detonate,1,poe1-icicle-mines,
full-move|at-target|flat|multi_projectile|damage|none|evade|free|light|dual|med|instant|triggered|one-shot,1,ud-illusion-family,
full-move|at-target|flat|multi_projectile|damage|none|mitigate|free|light|dual|high|instant|triggered|apply→detonate,1,poe1-poets-pen-vd,
full-move|at-target|flat|multi_projectile|damage|none|mitigate|spend|solo|melee|high|instant|active|one-shot,1,poe1-lightning-strike,
full-move|at-target|flat|single_target|damage|none|tank|cooldown|heavy|ranged|med|instant|active|one-shot,1,d3-typhon-hydra,
full-move|at-target|flat|single_target|damage|none|tank|spend|solo|melee|high|instant|active|one-shot,1,d4-twisting-blades,
full-move|at-target|flat|single_target|damage|none|tank|unknown|heavy|melee|med|instant|active|one-shot,1,gd-pet-conjurer,
full-move|at-target|flat|totem|damage|expose|tank|finite|heavy|ranged|med|instant|active|one-shot,1,le-wraithlord-necro,
full-move|at-target|flat|totem|damage|hard-stop|tank|spend|light|dual|med|instant|active|one-shot,1,d3-mundunugu-sb,
full-move|at-target|flat|totem|damage|hex|tank|self-cost|heavy|ranged|high|instant|active|apply→detonate,1,poe1-forbidden-rite,
full-move|at-target|flat|totem|damage|knockback|tank|spend|solo|melee|med|instant|active|one-shot,1,tq-battlemage-warfare-earth,
full-move|at-target|flat|totem|damage|none|evade|finite|heavy|ranged|med|instant|active|apply→detonate,1,tq-trap-magician,
full-move|at-target|flat|totem|damage|none|glass|cooldown|heavy|ranged|med|instant|active|one-shot,1,d2-hydra-sorc,
full-move|at-target|flat|totem|damage|none|mitigate|cooldown|light|ranged|med|instant|active|one-shot,1,poe1-armageddon-brand,
full-move|at-target|flat|totem|damage|none|mitigate|spend|solo|ranged|low|instant|active|one-shot,1,tq-druid-squall-caster,
full-move|at-target|flat|totem|damage|none|tank|cooldown|heavy|dual|low|instant|triggered|apply→detonate,1,gd-wendigo-totem-ritualist,
full-move|at-target|flat|totem|damage|none|tank|cooldown|heavy|ranged|med|instant|active|apply→detonate,1,poe1-seismic-trap,
full-move|at-target|flat|totem|damage|none|tank|finite|heavy|ranged|med|instant|active|apply→detonate,1,tq2-forge-turrets,
full-move|at-target|flat|totem|damage|none|tank|reserve|heavy|melee|med|instant|active|one-shot,1,poe2-infernal-legion,
full-move|at-target|flat|totem|damage|none|tank|reserve|heavy|ranged|med|instant|active|one-shot,1,poe2-minion-infernalist,
full-move|at-target|flat|totem|damage|none|tank|spend|heavy|dual|med|instant|active|apply→detonate,1,le-storm-totem-shaman,
full-move|at-target|flat|totem|damage|none|tank|spend|heavy|melee|high|instant|active|one-shot,1,le-squirrel-bm,
full-move|at-target|flat|totem|damage|none|tank|spend|heavy|melee|med|instant|active|one-shot,1,le-skeleton-necro,
full-move|at-target|flat|totem|damage|none|tank|spend|heavy|ranged|med|instant|active|build→spend,1,d3-m6-sentries,
full-move|at-target|flat|totem|damage|none|tank|spend|heavy|ranged|med|instant|active|one-shot,1,chr-mechanist-turret-drone,
full-move|at-target|flat|totem|damage|none|tank|spend|light|dual|med|instant|active|apply→detonate,1,d4-mighty-throw,
full-move|at-target|flat|totem|damage|none|tank|spend|solo|melee|low|instant|active|apply→detonate,1,d4-touch-of-death,
full-move|at-target|flat|totem|damage|none|tank|unknown|heavy|ranged|med|instant|active|one-shot,1,poe1-siege-ballista,
full-move|at-target|flat|totem|damage|stun|tank|spend|heavy|melee|low|instant|active|apply→detonate,1,poe2-warbringer-totems,
full-move|at-target|flat|totem|damage|taunt|tank|reserve|heavy|ranged|med|instant|active|one-shot,2,tli-moto-bots,tl2-bot-engineer
full-move|at-target|flat|vortex_pull|damage|none|glass|finite|light|dual|high|instant|active|one-shot,1,vs-je-ne-viv,
full-move|at-target|flat|vortex_pull|damage|none|tank|cooldown|solo|melee|med|instant|active|one-shot,1,d3-zbarb,
full-move|at-target|flat|vortex_pull|damage|none|tank|spend|solo|melee|high|instant|active|build→spend,1,di-frenzy-barb,
full-move|at-target|flat|vortex_pull|damage|stun|glass|spend|solo|ranged|high|instant|active|one-shot,1,ud-lightning-vortex,
full-move|at-target|spiky|dash_attack|damage|hard-stop|tank|cooldown|solo|melee|med|instant|active|one-shot,1,gd-shadow-strike-infiltrator,
full-move|at-target|spiky|dash_attack|damage|none|evade|spend|solo|melee|low|instant|active|one-shot,1,d2-charger,
full-move|at-target|spiky|dash_attack|damage|none|tank|cooldown|solo|melee|med|instant|triggered|one-shot,1,d3-leapquake,
full-move|at-target|spiky|dash_attack|damage|none|tank|generator-spender|solo|melee|med|instant|active|apply→detonate,1,d3-uliana-ep,
full-move|at-target|spiky|dash_attack|damage|none|tank|generator-spender|solo|melee|med|instant|active|build→spend,1,d3-raekor-boulder,
full-move|at-target|spiky|ground_targeted_circle|control|hard-stop|glass|unknown|solo|dual|med|instant|triggered|apply→detonate,1,vs-out-of-bounds-freeze,
full-move|at-target|spiky|ground_targeted_circle|control|hard-stop|tank|unknown|solo|dual|med|instant|active|one-shot,1,hot-norseman-frost-avalanche,
full-move|at-target|spiky|ground_targeted_circle|control|hex|glass|finite|solo|ranged|low|instant|active|build→spend,1,chr-plague-curse-warlock,
full-move|at-target|spiky|ground_targeted_circle|control|none|tank|spend|solo|melee|low|wind-up|active|one-shot,1,poe2-smith-ignite,
full-move|at-target|spiky|ground_targeted_circle|damage|expose|evade|spend+cooldown|heavy|dual|high|instant|active|one-shot,1,le-dive-bomb-falconer,
full-move|at-target|spiky|ground_targeted_circle|damage|hard-stop|evade|cooldown|light|dual|med|instant|active|apply→detonate,1,gd-roh-infiltrator,
full-move|at-target|spiky|ground_targeted_circle|damage|hard-stop|tank|spend|solo|melee|med|instant|active|one-shot,1,chr-frost-berserker,
full-move|at-target|spiky|ground_targeted_circle|damage|hex|tank|free|heavy|ranged|high|instant|triggered|apply→detonate,1,poe1-hexblast-mines,
full-move|at-target|spiky|ground_targeted_circle|damage|hex|tank|unknown|solo|dual|med|instant|active|one-shot,1,vs-vlad-dracula,
full-move|at-target|spiky|ground_targeted_circle|damage|knockback|glass|reserve|solo|ranged|low|instant|active|one-shot,1,hot-meteor-strike,
full-move|at-target|spiky|ground_targeted_circle|damage|knockback|tank|generator-spender|solo|melee|high|instant|active|one-shot,1,tli-rehan-berserker,
full-move|at-target|spiky|ground_targeted_circle|damage|none|absorb|cooldown|light|ranged|med|instant|active|one-shot,1,di-warlock-launch,
full-move|at-target|spiky|ground_targeted_circle|damage|none|glass|free|solo|melee|low|wind-up|triggered|apply→detonate,1,hades2-hephaestus-blast,
full-move|at-target|spiky|ground_targeted_circle|damage|none|glass|spend|solo|ranged|med|wind-up|active|one-shot,1,d2-meteorb,
full-move|at-target|spiky|ground_targeted_circle|damage|none|mitigate|spend|solo|ranged|med|instant|active|one-shot,1,d2-fohdin,
full-move|at-target|spiky|ground_targeted_circle|damage|none|tank|cooldown|light|ranged|low|instant|active|build→spend,1,d3-lon-bombardment,
full-move|at-target|spiky|ground_targeted_circle|damage|none|tank|cooldown|light|ranged|med|instant|active|one-shot,1,d3-natalya-rov,
full-move|at-target|spiky|ground_targeted_circle|damage|none|tank|cooldown|solo|ranged|med|wind-up|active|one-shot,1,d3-tal-meteor,
full-move|at-target|spiky|ground_targeted_circle|damage|none|tank|spend|light|dual|high|instant|active|one-shot,1,d3-sunwuko-wol,
full-move|at-target|spiky|ground_targeted_circle|damage|none|tank|spend|solo|ranged|low|wind-up|active|one-shot,1,d3-lod-bazooka,
full-move|at-target|spiky|ground_targeted_circle|damage|stun|evade|spend|light|dual|med|instant|active|apply→detonate,1,d2-ghost-pvp,
full-move|at-target|spiky|ground_targeted_circle|damage|stun|tank|cooldown|solo|dual|med|instant|active|apply→detonate,1,gd-canister-saboteur,
full-move|at-target|spiky|melee_strike|damage|knockback|tank|generator-spender|light|melee|high|instant|triggered|one-shot,1,tl2-wolf-shade-berserker,
full-move|at-target|spiky|melee_strike|damage|none|evade|spend|solo|dual|high|instant|active|one-shot,1,d3-s6-impale,
full-move|at-target|spiky|melee_strike|damage|stun|glass|finite|solo|ranged|med|instant|active|one-shot,1,vs-thunder-loop,
full-move|at-target|spiky|single_target|control|hex|glass|free|solo|melee|med|wind-up|triggered|one-shot,1,hades1-ares-doom,
full-move|at-target|spiky|totem|damage|blind|tank|cooldown|light|dual|med|instant|active|apply→detonate,1,d4-death-trap,
full-move|at-target|spiky|totem|damage|hard-stop|tank|cooldown|heavy|ranged|high|instant|active|apply→detonate,1,poe1-glacial-cascade-mines,
full-move|at-target|spiky|totem|damage|none|evade|spend|light|dual|high|instant|active|apply→detonate,1,le-explosive-trap-falconer,
full-move|at-target|spiky|totem|damage|none|evade|spend|light|melee|high|instant|active|one-shot,1,le-shadow-bladedancer,
full-move|at-target|spiky|totem|damage|none|tank|cooldown|heavy|ranged|med|instant|active|apply→detonate,3,poe1-fire-trap,poe1-ea-ballista;poe1-pizza-sticks
full-move|at-target|spiky|totem|damage|none|tank|cooldown|heavy|ranged|med|instant|triggered|apply→detonate,1,gd-mortar-purifier,
full-move|at-target|spiky|totem|damage|stun|evade|generator-spender|light|melee|med|instant|active|build→spend,1,poe2-tempest-bell,
full-move|at-target|var|ground_targeted_circle|damage|hard-stop|glass|spend|solo|ranged|med|instant|active|one-shot,1,d2-blizzard-sorc,
full-move|at-target|var|ground_targeted_circle|damage|none|evade|spend|solo|melee|high|instant|active|one-shot,1,poe2-howa-invoker,
full-move|at-target|var|ground_targeted_circle|damage|none|tank|spend|solo|melee|high|instant|active|one-shot,1,poe2-gemling-stacker,
full-move|at-target|var|melee_strike|damage|none|tank|generator-spender|solo|melee|high|instant|active|build→spend,1,d3-raiment-shenlong,
full-move|at-target|var|totem|damage|none|glass|spend|solo|ranged|high|instant|active|one-shot,1,d2-fire-sorc,
full-move|at-target|var|totem|damage|none|mitigate|cooldown|light|ranged|high|instant|active|one-shot,1,poe1-storm-brand,
full-move|at-target|var|totem|damage|none|tank|cooldown|light|dual|high|instant|triggered|one-shot,1,d4-lightning-spear,
full-move|aura-pulse|flat|aura|damage|none|absorb|reserve|solo|melee|med|instant|active|one-shot,1,le-fire-aura-spellblade,
full-move|aura-pulse|flat|aura|damage|none|tank|reserve|solo|melee|high|instant|active|one-shot,1,vs-soul-eater,
full-move|aura-pulse|flat|aura|damage|stun|tank|reserve|solo|melee|high|instant|active|one-shot,1,hot-cleric-radiant,
full-move|aura-pulse|flat|self_buff|damage|hard-stop|mitigate|reserve|solo|melee|high|instant|active|one-shot,1,poe1-aurastacker,
full-move|beam|flat|cone|control|none|glass|free|solo|dual|high|instant|triggered|one-shot,1,hot-dragons-breath,
full-move|beam|flat|cone|control|none|glass|spend|solo|dual|high|instant|active|one-shot,1,hot-exterminator-burn,
full-move|beam|flat|ring|damage|none|glass|unknown|solo|ranged|high|instant|active|one-shot,1,vs-phieraggi,
full-move|beam|spiky|line|control|hard-stop|absorb|finite|solo|dual|low|instant|active|one-shot,1,vs-infinite-corridor-crimson-shroud,
full-move|blank|blank|totem|blank|unknown|blank|unknown|heavy|melee|low|instant|unknown|unknown,1,poe1-totem-hierophant,
full-move|blank|flat|blank|blank|unknown|blank|unknown|light|melee|med|instant|unknown|unknown,1,le-ring-of-shields,
full-move|blank|flat|blank|blank|unknown|blank|unknown|solo|melee|high|instant|unknown|unknown,1,poe1-vaal-blade-vortex,
full-move|blank|flat|dash_attack|blank|unknown|blank|unknown|solo|melee|high|instant|unknown|unknown,2,le-shift-bladedancer,d3-dashing-strike-monk
full-move|blank|spiky|totem|blank|unknown|blank|unknown|light|melee|low|blank|unknown|unknown,1,d3-call-of-the-ancients,
full-move|line|flat|blank|damage|none|glass|spend|solo|dual|low|instant|active|one-shot,1,d2-firewall-sorc,
full-move|orbit|flat|blank|damage|hex|mitigate|generator-spender|solo|melee|high|instant|active|build→spend,1,poe1-poison-bv,
full-move|orbit|flat|ricochet_bounce|damage|none|tank|spend|solo|dual|high|instant|triggered|one-shot,1,le-hammer-throw-paladin,
full-move|orbit|flat|ring|damage|none|evade|spend|light|melee|high|instant|active|one-shot,1,le-bladestorm-bd,
full-move|orbit|flat|ring|damage|none|glass|spend|solo|dual|high|instant|active|one-shot,1,hot-sage-ring-blades,
full-move|orbit|flat|ring|damage|stun|glass|finite|solo|melee|high|instant|active|one-shot,1,vs-unholy-vespers,
full-move|orbit|flat|ring|damage|stun|glass|reserve|solo|melee|med|instant|active|one-shot,1,hot-astronomer-orbs,
full-move|orbit|var|blank|damage|none|tank|spend|solo|melee|high|instant|active|one-shot,1,d4-ball-lightning,
full-move|other|flat|circle|damage|stun|glass|reserve|light|dual|med|instant|active|one-shot,1,hot-kugelblitz,
full-move|projectile|flat|chain|control|hex|tank|spend|solo|dual|med|instant|triggered|one-shot,1,le-shield-throw-time-rot-vk,
full-move|projectile|flat|chain|damage|expose|absorb|spend|solo|ranged|low|instant|active|one-shot,1,poe2-erasure-edc-lich,
full-move|projectile|flat|chain|damage|hard-stop|evade|spend|light|ranged|high|instant|active|one-shot,1,ud-ice-crystal-arrow,
full-move|projectile|flat|chain|damage|hex|mitigate|spend|solo|ranged|low|instant|triggered|one-shot,1,poe1-edc,
full-move|projectile|flat|chain|damage|none|evade|spend|solo|dual|high|instant|active|one-shot,1,tl2-glaive-outlander,
full-move|projectile|flat|chain|damage|none|evade|spend|solo|ranged|high|instant|active|one-shot,1,poe2-lightning-arrow-deadeye,
full-move|projectile|flat|chain|damage|none|evade|spend|solo|ranged|high|instant|triggered|apply→detonate,1,tl1-ricochet-vanquisher,
full-move|projectile|flat|chain|damage|none|glass|finite|solo|ranged|high|instant|triggered|one-shot,1,vs-runetracer-no-future,
full-move|projectile|flat|chain|damage|none|mitigate|spend|solo|ranged|high|instant|active|one-shot,1,poe1-lightning-arrow,
full-move|projectile|flat|chain|damage|stun|glass|free|solo|ranged|high|instant|triggered|one-shot,1,hades1-zeus-chain,
full-move|projectile|flat|circle|damage|hard-stop|glass|spend|solo|ranged|high|instant|active|one-shot,1,tli-gemma-frost-caster,
full-move|projectile|flat|circle|damage|hard-stop|mitigate|spend|solo|ranged|high|instant|active|one-shot,1,poe1-ice-shot,
full-move|projectile|flat|circle|damage|hex|mitigate|finite|solo|dual|high|instant|active|one-shot,1,poe1-pconc,
full-move|projectile|flat|circle|damage|hex|mitigate|spend|solo|ranged|low|instant|triggered|one-shot,1,poe1-caustic-arrow,
full-move|projectile|flat|circle|damage|none|evade|spend|solo|ranged|high|instant|active|one-shot,1,d3-ue-multishot,
full-move|projectile|flat|circle|damage|none|evade|spend|solo|ranged|high|instant|triggered|one-shot,1,chr-arrow-storm-warden,
full-move|projectile|flat|circle|damage|none|glass|finite|light|dual|med|instant|active|one-shot,1,vs-vandalier,
full-move|projectile|flat|circle|damage|none|mitigate|spend|solo|dual|high|instant|active|one-shot,1,poe1-spectral-helix,
full-move|projectile|flat|circle|damage|none|tank|spend|solo|ranged|low|instant|active|build→spend,1,gd-dee-witch-hunter,
full-move|projectile|flat|cone|damage|none|evade|cooldown|solo|ranged|high|instant|active|one-shot,1,di-vengeance-strafe-dh,
full-move|projectile|flat|cone|damage|none|tank|spend|solo|ranged|high|instant|triggered|one-shot,1,tq-ternion-bone-charmer,
full-move|projectile|flat|dash_attack|damage|hex|mitigate|generator-spender|solo|dual|high|instant|active|one-shot,1,poe1-venom-gyre,
full-move|projectile|flat|line|damage|none|glass|finite|solo|dual|high|instant|active|one-shot,1,vs-heaven-sword,
full-move|projectile|flat|line|damage|none|glass|reserve|solo|ranged|high|instant|active|one-shot,1,hot-phantom-needles,
full-move|projectile|flat|melee_strike|damage|hard-stop|mitigate|spend|solo|ranged|high|instant|active|one-shot,1,tq2-stormblade-ice-shards,
full-move|projectile|flat|melee_strike|damage|none|evade|reserve|light|ranged|med|instant|active|one-shot,1,tq-ranger-hunting-nature,
full-move|projectile|flat|melee_strike|damage|none|glass|finite|solo|ranged|high|instant|triggered|build→spend,1,hades1-aspect-chiron,
full-move|projectile|flat|multi_projectile|damage|expose|tank|spend|solo|ranged|high|instant|active|one-shot,1,gd-phantasmal-blades-witch-hunter,
full-move|projectile|flat|multi_projectile|damage|hard-stop|glass|spend|solo|ranged|med|instant|active|one-shot,1,d2-frozen-orb-sorc,
full-move|projectile|flat|multi_projectile|damage|hard-stop|tank|spend|solo|ranged|high|instant|active|one-shot,1,d4-frozen-orb,
full-move|projectile|flat|multi_projectile|damage|none|evade|spend|solo|ranged|high|instant|active|build→spend,1,ud-spread-rapid-dex,
full-move|projectile|flat|multi_projectile|damage|none|glass|finite|solo|ranged|high|instant|active|one-shot,1,vs-thousand-edge,
full-move|projectile|flat|multi_projectile|damage|none|glass|spend|solo|ranged|high|instant|active|one-shot,2,hot-archer,hot-sorceress-splinters
full-move|projectile|flat|multi_projectile|damage|none|mitigate|spend|solo|ranged|high|instant|active|one-shot,2,poe1-tornado-shot,poe1-wander
full-move|projectile|flat|multi_projectile|damage|none|mitigate|spend|solo|ranged|low|instant|active|one-shot,1,poe1-split-arrow-bleed,
full-move|projectile|flat|multi_projectile|damage|none|tank|spend|solo|ranged|high|instant|active|one-shot,1,d4-quill-volley,
full-move|projectile|flat|single_target|damage|hard-stop|mitigate|spend|solo|ranged|high|instant|active|one-shot,1,tq-ice-shard-oracle,
full-move|projectile|flat|single_target|damage|hard-stop|tank|spend|solo|ranged|high|instant|triggered|one-shot,1,d4-ice-shards,
full-move|projectile|flat|single_target|damage|hex|absorb|free|solo|ranged|low|instant|triggered|one-shot,1,poe1-soulrend,
full-move|projectile|flat|single_target|damage|none|evade|spend|solo|ranged|high|instant|active|build→spend,1,tq-marksmanship-haruspex,
full-move|projectile|flat|single_target|damage|none|evade|unknown|solo|ranged|low|instant|active|one-shot,1,chr-high-ranger-warden,
full-move|projectile|flat|single_target|damage|none|glass|finite|solo|ranged|high|instant|active|one-shot,1,vs-holy-wand,
full-move|projectile|flat|single_target|damage|none|glass|free|solo|ranged|high|instant|triggered|one-shot,1,chr-crown-proc-engine,
full-move|projectile|flat|single_target|damage|none|glass|spend|solo|ranged|high|instant|active|one-shot,1,tl2-prismatic-embermage,
full-move|projectile|flat|single_target|damage|none|tank|generator-spender|solo|ranged|high|channel|active|build→spend,1,d3-god-hungering,
full-move|projectile|flat|single_target|damage|none|tank|generator-spender|solo|ranged|high|instant|active|build→spend,1,d4-heartseeker,
full-move|projectile|flat|single_target|damage|none|tank|generator-spender|solo|ranged|high|instant|active|one-shot,1,d4-rapid-fire,
full-move|projectile|flat|vortex_pull|control|none|evade|spend|solo|ranged|low|instant|active|build→spend,1,poe2-poison-pathfinder,
full-move|projectile|spiky|chain|damage|none|glass|spend|solo|ranged|high|instant|active|one-shot,1,d2-lightning-sorc,
full-move|projectile|spiky|chain|damage|none|tank|spend|light|dual|high|instant|triggered|build→spend,1,chr-mechanist-saw-master,
full-move|projectile|spiky|circle|control|none|evade|spend|solo|ranged|med|instant|active|one-shot,1,poe2-gas-arrow-ignite,
full-move|projectile|spiky|circle|damage|blind|evade|finite|solo|ranged|med|instant|active|build→spend,1,poe2-witchhunter-grenades,
full-move|projectile|spiky|circle|damage|knockback|glass|free|solo|ranged|med|instant|triggered|one-shot,1,hot-landsknecht-grenades,
full-move|projectile|spiky|circle|damage|none|evade|spend|light|dual|med|instant|active|one-shot,1,le-bomb-lance-falconer,
full-move|projectile|spiky|circle|damage|none|glass|finite|solo|dual|low|wind-up|active|apply→detonate,1,hades2-medea-skull-cast,
full-move|projectile|spiky|circle|damage|none|mitigate|spend|solo|ranged|med|instant|active|one-shot,1,poe1-elemental-hit,
full-move|projectile|spiky|line|damage|none|glass|finite|solo|ranged|med|instant|active|one-shot,1,vs-hellfire,
full-move|projectile|spiky|line|damage|none|tank|spend|solo|ranged|med|instant|active|one-shot,1,d4-pen-shot,
full-move|projectile|spiky|melee_strike|damage|none|evade|finite|solo|ranged|high|instant|active|one-shot,1,tli-carino2-lethal-flash,
full-move|projectile|spiky|melee_strike|damage|stun|evade|finite|solo|dual|med|instant|triggered|one-shot,1,hades1-beowulf-cast,
full-move|projectile|spiky|multi_projectile|damage|hex|mitigate|spend|solo|ranged|med|channel|active|build→spend,1,poe1-scourge-arrow,
full-move|projectile|spiky|single_target|damage|none|evade|spend|solo|ranged|med|instant|active|one-shot,1,tq-brigand-poison,
full-move|projectile|var|chain|damage|none|evade|spend|solo|dual|high|instant|active|one-shot,1,poe2-lightning-spear-amazon,
full-move|projectile|var|chain|damage|none|tank|spend|solo|ranged|high|instant|active|one-shot,1,d4-chain-lightning,
full-move|projectile|var|multi_projectile|damage|none|mitigate|spend|solo|ranged|high|instant|active|one-shot,1,poe1-spark,
full-move|projectile|var|multi_projectile|damage|none|tank|spend|light|dual|high|instant|active|one-shot,1,d4-tornado-werewolf,
full-move|self-origin|flat|chain|damage|hard-stop|mitigate|free|solo|melee|high|instant|triggered|one-shot,1,poe1-autobomber,
full-move|self-origin|flat|circle|control|none|tank|cooldown|solo|dual|med|instant|active|one-shot,1,di-spiritform-druid-pvp,
full-move|self-origin|flat|circle|damage|expose|tank|self-cost|solo|melee|high|instant|active|one-shot,1,le-reaper-form-lich,
full-move|self-origin|flat|circle|damage|fear|absorb|cooldown|heavy|ranged|med|instant|active|one-shot,1,tq-liche-king-conjurer,
full-move|self-origin|flat|circle|damage|hard-stop|mitigate|free|solo|melee|high|channel|triggered|one-shot,1,poe1-coc-ice-nova,
full-move|self-origin|flat|circle|damage|hex|tank|generator-spender|solo|melee|med|instant|active|one-shot,1,le-werebear-druid,
full-move|self-origin|flat|circle|damage|knockback|evade|free|solo|melee|med|instant|triggered|one-shot,1,hot-shieldmaiden-block,
full-move|self-origin|flat|circle|damage|none|absorb|self-cost|heavy|dual|med|instant|triggered|one-shot,1,chr-bloodbinder-warlock,
full-move|self-origin|flat|circle|damage|none|evade|reserve|heavy|dual|low|instant|active|one-shot,1,chr-bee-warden,
full-move|self-origin|flat|circle|damage|none|glass|finite|light|dual|low|instant|active|one-shot,1,vs-la-borra,
full-move|self-origin|flat|circle|damage|none|glass|reserve|heavy|ranged|med|instant|active|one-shot,1,ud-summon-strand,
