controller,n_monsters,group,field,crucible_value,base_game_value,owner_archive,slot
records/controllers/enemy/controller_aetherialbloater.dbr,5,RandomAnger,RandomAngerEvaluationTime,0,0,SurvivalMode1.arz,0x504
records/controllers/enemy/controller_aetherialbloater.dbr,5,Dodging,DodgeDistance,0.0,0.0,SurvivalMode1.arz,0x3a8
records/controllers/enemy/controller_aetherialbloater.dbr,5,Dodging,DodgeDelay,0,0,SurvivalMode1.arz,0x510
records/controllers/enemy/controller_aetherialbloater.dbr,5,Dodging,DodgeChance,0,0,SurvivalMode1.arz,0x2dc
records/controllers/enemy/controller_aetherialbloater.dbr,5,Dodging,MinDodgeDistance,0.0,0.0,SurvivalMode1.arz,0x3ac
records/controllers/enemy/controller_aetherialbloater.dbr,5,Attacking,LeadChance,30;50;80,30;50;80,SurvivalMode1.arz,
records/controllers/enemy/controller_aetherialbloater.dbr,5,Attacking,RepositionChance,0,0,SurvivalMode1.arz,0x3b0
records/controllers/enemy/controller_aetherialbloater.dbr,5,Attacking,randomRepositionChance,0,0,SurvivalMode1.arz,0x2e0
records/controllers/enemy/controller_aetherialbloater.dbr,5,Attacking,minSwingPause,0.0,0.0,SurvivalMode1.arz,0x2f0
records/controllers/enemy/controller_aetherialbloater.dbr,5,Attacking,maxSwingPause,0.30000001192092896,0.30000001192092896,SurvivalMode1.arz,0x2f4
records/controllers/enemy/controller_aetherialbloater.dbr,5,Sleep,ignoreSleepingEnemies,True,True,SurvivalMode1.arz,0x4d9
records/controllers/enemy/controller_aetherialbloater.dbr,5,Emote,randomEmoteChance,0,50,SurvivalMode1.arz,0x514
records/controllers/enemy/controller_aetherialbloater.dbr,5,Emote,randomEmoteMinTime,6000,6000,SurvivalMode1.arz,0x518
records/controllers/enemy/controller_aetherialbloater.dbr,5,Emote,randomEmoteMaxTime,10000,10000,SurvivalMode1.arz,0x51c
records/controllers/enemy/controller_aetherialbloater.dbr,5,PetBehaviour,ignorePetsChance,35,35,SurvivalMode1.arz,0x56c
records/controllers/enemy/controller_aetherialbloater.dbr,5,PetBehaviour,ignorePetsInterval,7000,7000,SurvivalMode1.arz,0x570
records/controllers/enemy/controller_aetherialbloater.dbr,5,PetBehaviour,petAngerTransference,17,17,SurvivalMode1.arz,
records/controllers/enemy/controller_aetherialbloater.dbr,5,PetBehaviour,petTargetLevelRange,1000,1000,SurvivalMode1.arz,0x580
records/controllers/enemy/controller_aetherialbloater.dbr,5,PetBehaviour,petTargetLeastAttacked,False,False,SurvivalMode1.arz,0x584
records/controllers/enemy/controller_aetherialbloater.dbr,5,PetBehaviour,petTargetGreatestHealth,False,False,SurvivalMode1.arz,0x585
records/controllers/enemy/controller_aetherialbloater.dbr,5,Loot,lootDropAttachPointName,__ABSENT__,__ABSENT__,SurvivalMode1.arz,
records/controllers/enemy/controller_aetherialbloater.dbr,5,Loot,lootDropCallbackPoint,__ABSENT__,__ABSENT__,SurvivalMode1.arz,
records/controllers/enemy/controller_aetherialbloater.dbr,5,Dying,dyingSkillCallbackPoint,__ABSENT__,__ABSENT__,SurvivalMode1.arz,
records/controllers/enemy/controller_aetherialbloater.dbr,5,Leader (HIDDEN — not in .tpl),LeaderBehavior,__ABSENT__,__ABSENT__,SurvivalMode1.arz,0x360
records/controllers/enemy/controller_aetherialbloater.dbr,5,Leader (HIDDEN — not in .tpl),LeaderDistance,__ABSENT__,__ABSENT__,SurvivalMode1.arz,0x364
records/controllers/enemy/controller_aetherialbloater.dbr,5,Leader (HIDDEN — not in .tpl),MaxFollowers,__ABSENT__,__ABSENT__,SurvivalMode1.arz,0x368
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Fleeing,FleeBehavior,NeverFlee,NeverFlee,SurvivalMode1.arz,0x304
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Fleeing,FleeTime,0,0,SurvivalMode1.arz,0x310
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Fleeing,FleeTarget,__ABSENT__,__ABSENT__,SurvivalMode1.arz,0x308
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Fleeing,maxFleeCount,0,0,SurvivalMode1.arz,0x30c
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Fleeing,FleeDelay,0,0,SurvivalMode1.arz,0x314
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Fleeing,FleeChance,0,0,SurvivalMode1.arz,0x2d8
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Fleeing,fleeDistance,0.0,0.0,SurvivalMode1.arz,0x318
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Fleeing,ClearAngerWhenFleeing,False,False,SurvivalMode1.arz,0x31c
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Fleeing,ResetOriginAfterFleeing,False,False,SurvivalMode1.arz,0x3a4
records/controllers/enemy/controller_aetherialcolossus.dbr,4,SkillUsage,BuffSelfBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,SurvivalMode1.arz,0x324
records/controllers/enemy/controller_aetherialcolossus.dbr,4,SkillUsage,BuffAllyBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,SurvivalMode1.arz,0x328
records/controllers/enemy/controller_aetherialcolossus.dbr,4,SkillUsage,DebuffEnemyBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,SurvivalMode1.arz,0x330
records/controllers/enemy/controller_aetherialcolossus.dbr,4,SkillUsage,healLeaderHealthPercentage,70,70,SurvivalMode1.arz,0x358
records/controllers/enemy/controller_aetherialcolossus.dbr,4,SkillUsage,healAllyHealthPercentage,70,70,SurvivalMode1.arz,0x35c
records/controllers/enemy/controller_aetherialcolossus.dbr,4,SkillUsage,BuffAllyTargeting,BuffWeakest,BuffWeakest,SurvivalMode1.arz,0x32c
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Roaming,RoamBehavior,Roam,Roam,SurvivalMode1.arz,0x320
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Roaming,MinRoamDistance,2.0,2.0,SurvivalMode1.arz,0x39c
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Roaming,RoamDistance,2.0,5.0,SurvivalMode1.arz,0x374
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Roaming,MinTimeBeforeRoam,2000,6000,SurvivalMode1.arz,0x394
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Roaming,MaxTimeBeforeRoam,2000,16000,SurvivalMode1.arz,0x398
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Roaming,MinWanderDistance,2.0,2.0,SurvivalMode1.arz,0x3a0
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Roaming,WanderDistance,0.0,5.0,SurvivalMode1.arz,0x370
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Roaming,TeleportToLeaderDistance,40.0,40.0,SurvivalMode1.arz,0x378
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Patrolling,ChanceToIdleOnPatrol,0,0,SurvivalMode1.arz,0x37c
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Patrolling,MinPatrolIdleTime,1000,0,SurvivalMode1.arz,0x380
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Patrolling,MaxPatrolIdleTime,5000,0,SurvivalMode1.arz,0x384
records/controllers/enemy/controller_aetherialcolossus.dbr,4,RandomAnger,RandomAngerChance,0,0,SurvivalMode1.arz,0x390
records/controllers/enemy/controller_aetherialcolossus.dbr,4,RandomAnger,RandomAngerEvaluationTime,0,0,SurvivalMode1.arz,0x504
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Dodging,DodgeDistance,0.0,0.0,SurvivalMode1.arz,0x3a8
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Dodging,DodgeDelay,0,0,SurvivalMode1.arz,0x510
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Dodging,DodgeChance,0,0,SurvivalMode1.arz,0x2dc
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Dodging,MinDodgeDistance,0.0,0.0,SurvivalMode1.arz,0x3ac
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Attacking,LeadChance,30;50;80,30;50;80,SurvivalMode1.arz,
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Attacking,RepositionChance,0,0,SurvivalMode1.arz,0x3b0
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Attacking,randomRepositionChance,0,0,SurvivalMode1.arz,0x2e0
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Attacking,minSwingPause,0.0,0.0,SurvivalMode1.arz,0x2f0
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Attacking,maxSwingPause,0.30000001192092896,0.30000001192092896,SurvivalMode1.arz,0x2f4
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Sleep,ignoreSleepingEnemies,True,True,SurvivalMode1.arz,0x4d9
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Emote,randomEmoteChance,0,50,SurvivalMode1.arz,0x514
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Emote,randomEmoteMinTime,6000,6000,SurvivalMode1.arz,0x518
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Emote,randomEmoteMaxTime,10000,10000,SurvivalMode1.arz,0x51c
records/controllers/enemy/controller_aetherialcolossus.dbr,4,PetBehaviour,ignorePetsChance,35,35,SurvivalMode1.arz,0x56c
records/controllers/enemy/controller_aetherialcolossus.dbr,4,PetBehaviour,ignorePetsInterval,7000,7000,SurvivalMode1.arz,0x570
records/controllers/enemy/controller_aetherialcolossus.dbr,4,PetBehaviour,petAngerTransference,17,17,SurvivalMode1.arz,
records/controllers/enemy/controller_aetherialcolossus.dbr,4,PetBehaviour,petTargetLevelRange,1000,1000,SurvivalMode1.arz,0x580
records/controllers/enemy/controller_aetherialcolossus.dbr,4,PetBehaviour,petTargetLeastAttacked,False,False,SurvivalMode1.arz,0x584
records/controllers/enemy/controller_aetherialcolossus.dbr,4,PetBehaviour,petTargetGreatestHealth,False,False,SurvivalMode1.arz,0x585
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Loot,lootDropAttachPointName,__ABSENT__,__ABSENT__,SurvivalMode1.arz,
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Loot,lootDropCallbackPoint,__ABSENT__,__ABSENT__,SurvivalMode1.arz,
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Dying,dyingSkillCallbackPoint,__ABSENT__,__ABSENT__,SurvivalMode1.arz,
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Leader (HIDDEN — not in .tpl),LeaderBehavior,__ABSENT__,__ABSENT__,SurvivalMode1.arz,0x360
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Leader (HIDDEN — not in .tpl),LeaderDistance,__ABSENT__,__ABSENT__,SurvivalMode1.arz,0x364
records/controllers/enemy/controller_aetherialcolossus.dbr,4,Leader (HIDDEN — not in .tpl),MaxFollowers,__ABSENT__,__ABSENT__,SurvivalMode1.arz,0x368
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Fleeing,FleeBehavior,NeverFlee,NeverFlee,SurvivalMode1.arz,0x304
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Fleeing,FleeTime,0,3000,SurvivalMode1.arz,0x310
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Fleeing,FleeTarget,__ABSENT__,AwayFromEnemy,SurvivalMode1.arz,0x308
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Fleeing,maxFleeCount,0,3,SurvivalMode1.arz,0x30c
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Fleeing,FleeDelay,0,0,SurvivalMode1.arz,0x314
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Fleeing,FleeChance,0,0,SurvivalMode1.arz,0x2d8
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Fleeing,fleeDistance,0.0,16.0,SurvivalMode1.arz,0x318
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Fleeing,ClearAngerWhenFleeing,False,False,SurvivalMode1.arz,0x31c
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Fleeing,ResetOriginAfterFleeing,False,False,SurvivalMode1.arz,0x3a4
records/controllers/enemy/controller_aetherialcorruption.dbr,9,SkillUsage,BuffSelfBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,SurvivalMode1.arz,0x324
records/controllers/enemy/controller_aetherialcorruption.dbr,9,SkillUsage,BuffAllyBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,SurvivalMode1.arz,0x328
records/controllers/enemy/controller_aetherialcorruption.dbr,9,SkillUsage,DebuffEnemyBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,SurvivalMode1.arz,0x330
records/controllers/enemy/controller_aetherialcorruption.dbr,9,SkillUsage,healLeaderHealthPercentage,20,20,SurvivalMode1.arz,0x358
records/controllers/enemy/controller_aetherialcorruption.dbr,9,SkillUsage,healAllyHealthPercentage,20,20,SurvivalMode1.arz,0x35c
records/controllers/enemy/controller_aetherialcorruption.dbr,9,SkillUsage,BuffAllyTargeting,BuffStrongest,BuffStrongest,SurvivalMode1.arz,0x32c
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Roaming,RoamBehavior,Roam,Roam,SurvivalMode1.arz,0x320
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Roaming,MinRoamDistance,2.0,2.0,SurvivalMode1.arz,0x39c
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Roaming,RoamDistance,2.0,5.0,SurvivalMode1.arz,0x374
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Roaming,MinTimeBeforeRoam,2000,6000,SurvivalMode1.arz,0x394
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Roaming,MaxTimeBeforeRoam,2000,16000,SurvivalMode1.arz,0x398
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Roaming,MinWanderDistance,2.0,2.0,SurvivalMode1.arz,0x3a0
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Roaming,WanderDistance,0.0,0.0,SurvivalMode1.arz,0x370
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Roaming,TeleportToLeaderDistance,40.0,40.0,SurvivalMode1.arz,0x378
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Patrolling,ChanceToIdleOnPatrol,0,75,SurvivalMode1.arz,0x37c
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Patrolling,MinPatrolIdleTime,1000,0,SurvivalMode1.arz,0x380
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Patrolling,MaxPatrolIdleTime,5000,1500,SurvivalMode1.arz,0x384
records/controllers/enemy/controller_aetherialcorruption.dbr,9,RandomAnger,RandomAngerChance,10,10,SurvivalMode1.arz,0x390
records/controllers/enemy/controller_aetherialcorruption.dbr,9,RandomAnger,RandomAngerEvaluationTime,3000,3000,SurvivalMode1.arz,0x504
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Dodging,DodgeDistance,0.0,0.0,SurvivalMode1.arz,0x3a8
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Dodging,DodgeDelay,0,0,SurvivalMode1.arz,0x510
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Dodging,DodgeChance,0,0,SurvivalMode1.arz,0x2dc
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Dodging,MinDodgeDistance,0.0,0.0,SurvivalMode1.arz,0x3ac
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Attacking,LeadChance,__ABSENT__,__ABSENT__,SurvivalMode1.arz,
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Attacking,RepositionChance,0,0,SurvivalMode1.arz,0x3b0
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Attacking,randomRepositionChance,0,0,SurvivalMode1.arz,0x2e0
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Attacking,minSwingPause,0.5,0.5,SurvivalMode1.arz,0x2f0
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Attacking,maxSwingPause,1.100000023841858,1.100000023841858,SurvivalMode1.arz,0x2f4
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Sleep,ignoreSleepingEnemies,__ABSENT__,__ABSENT__,SurvivalMode1.arz,0x4d9
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Emote,randomEmoteChance,0,100,SurvivalMode1.arz,0x514
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Emote,randomEmoteMinTime,5000,5000,SurvivalMode1.arz,0x518
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Emote,randomEmoteMaxTime,10000,10000,SurvivalMode1.arz,0x51c
records/controllers/enemy/controller_aetherialcorruption.dbr,9,PetBehaviour,ignorePetsChance,0,0,SurvivalMode1.arz,0x56c
records/controllers/enemy/controller_aetherialcorruption.dbr,9,PetBehaviour,ignorePetsInterval,7000,7000,SurvivalMode1.arz,0x570
records/controllers/enemy/controller_aetherialcorruption.dbr,9,PetBehaviour,petAngerTransference,17,17,SurvivalMode1.arz,
records/controllers/enemy/controller_aetherialcorruption.dbr,9,PetBehaviour,petTargetLevelRange,1000,1000,SurvivalMode1.arz,0x580
records/controllers/enemy/controller_aetherialcorruption.dbr,9,PetBehaviour,petTargetLeastAttacked,False,False,SurvivalMode1.arz,0x584
records/controllers/enemy/controller_aetherialcorruption.dbr,9,PetBehaviour,petTargetGreatestHealth,False,False,SurvivalMode1.arz,0x585
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Loot,lootDropAttachPointName,__ABSENT__,__ABSENT__,SurvivalMode1.arz,
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Loot,lootDropCallbackPoint,__ABSENT__,__ABSENT__,SurvivalMode1.arz,
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Dying,dyingSkillCallbackPoint,__ABSENT__,__ABSENT__,SurvivalMode1.arz,
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Leader (HIDDEN — not in .tpl),LeaderBehavior,__ABSENT__,__ABSENT__,SurvivalMode1.arz,0x360
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Leader (HIDDEN — not in .tpl),LeaderDistance,__ABSENT__,__ABSENT__,SurvivalMode1.arz,0x364
records/controllers/enemy/controller_aetherialcorruption.dbr,9,Leader (HIDDEN — not in .tpl),MaxFollowers,__ABSENT__,__ABSENT__,SurvivalMode1.arz,0x368
records/controllers/enemy/controller_aetherialimp.dbr,3,Fleeing,FleeBehavior,NeverFlee,NeverFlee,SurvivalMode1.arz,0x304
records/controllers/enemy/controller_aetherialimp.dbr,3,Fleeing,FleeTime,0,3000,SurvivalMode1.arz,0x310
records/controllers/enemy/controller_aetherialimp.dbr,3,Fleeing,FleeTarget,__ABSENT__,AwayFromEnemy,SurvivalMode1.arz,0x308
records/controllers/enemy/controller_aetherialimp.dbr,3,Fleeing,maxFleeCount,0,2,SurvivalMode1.arz,0x30c
records/controllers/enemy/controller_aetherialimp.dbr,3,Fleeing,FleeDelay,0,3000,SurvivalMode1.arz,0x314
records/controllers/enemy/controller_aetherialimp.dbr,3,Fleeing,FleeChance,0,75,SurvivalMode1.arz,0x2d8
records/controllers/enemy/controller_aetherialimp.dbr,3,Fleeing,fleeDistance,0.0,10.0,SurvivalMode1.arz,0x318
records/controllers/enemy/controller_aetherialimp.dbr,3,Fleeing,ClearAngerWhenFleeing,False,False,SurvivalMode1.arz,0x31c
records/controllers/enemy/controller_aetherialimp.dbr,3,Fleeing,ResetOriginAfterFleeing,False,False,SurvivalMode1.arz,0x3a4
records/controllers/enemy/controller_aetherialimp.dbr,3,SkillUsage,BuffSelfBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,SurvivalMode1.arz,0x324
records/controllers/enemy/controller_aetherialimp.dbr,3,SkillUsage,BuffAllyBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,SurvivalMode1.arz,0x328
records/controllers/enemy/controller_aetherialimp.dbr,3,SkillUsage,DebuffEnemyBehavior,WhenEnemyIsSeen,WhenEnemyIsSeen,SurvivalMode1.arz,0x330
records/controllers/enemy/controller_aetherialimp.dbr,3,SkillUsage,healLeaderHealthPercentage,80,80,SurvivalMode1.arz,0x358
records/controllers/enemy/controller_aetherialimp.dbr,3,SkillUsage,healAllyHealthPercentage,80,80,SurvivalMode1.arz,0x35c
records/controllers/enemy/controller_aetherialimp.dbr,3,SkillUsage,BuffAllyTargeting,BuffStrongest,BuffStrongest,SurvivalMode1.arz,0x32c
records/controllers/enemy/controller_aetherialimp.dbr,3,Roaming,RoamBehavior,Roam,Roam,SurvivalMode1.arz,0x320
records/controllers/enemy/controller_aetherialimp.dbr,3,Roaming,MinRoamDistance,2.0,2.0,SurvivalMode1.arz,0x39c
records/controllers/enemy/controller_aetherialimp.dbr,3,Roaming,RoamDistance,2.0,4.0,SurvivalMode1.arz,0x374
records/controllers/enemy/controller_aetherialimp.dbr,3,Roaming,MinTimeBeforeRoam,2000,6000,SurvivalMode1.arz,0x394
records/controllers/enemy/controller_aetherialimp.dbr,3,Roaming,MaxTimeBeforeRoam,2000,12000,SurvivalMode1.arz,0x398
records/controllers/enemy/controller_aetherialimp.dbr,3,Roaming,MinWanderDistance,2.0,2.0,SurvivalMode1.arz,0x3a0
records/controllers/enemy/controller_aetherialimp.dbr,3,Roaming,WanderDistance,0.0,0.0,SurvivalMode1.arz,0x370
records/controllers/enemy/controller_aetherialimp.dbr,3,Roaming,TeleportToLeaderDistance,40.0,40.0,SurvivalMode1.arz,0x378
records/controllers/enemy/controller_aetherialimp.dbr,3,Patrolling,ChanceToIdleOnPatrol,0,75,SurvivalMode1.arz,0x37c
records/controllers/enemy/controller_aetherialimp.dbr,3,Patrolling,MinPatrolIdleTime,1000,0,SurvivalMode1.arz,0x380
records/controllers/enemy/controller_aetherialimp.dbr,3,Patrolling,MaxPatrolIdleTime,5000,1500,SurvivalMode1.arz,0x384
records/controllers/enemy/controller_aetherialimp.dbr,3,RandomAnger,RandomAngerChance,10,10,SurvivalMode1.arz,0x390
records/controllers/enemy/controller_aetherialimp.dbr,3,RandomAnger,RandomAngerEvaluationTime,3000,3000,SurvivalMode1.arz,0x504
records/controllers/enemy/controller_aetherialimp.dbr,3,Dodging,DodgeDistance,0.0,0.0,SurvivalMode1.arz,0x3a8
records/controllers/enemy/controller_aetherialimp.dbr,3,Dodging,DodgeDelay,0,0,SurvivalMode1.arz,0x510
records/controllers/enemy/controller_aetherialimp.dbr,3,Dodging,DodgeChance,0,0,SurvivalMode1.arz,0x2dc
records/controllers/enemy/controller_aetherialimp.dbr,3,Dodging,MinDodgeDistance,0.0,0.0,SurvivalMode1.arz,0x3ac
records/controllers/enemy/controller_aetherialimp.dbr,3,Attacking,LeadChance,0,0,SurvivalMode1.arz,
records/controllers/enemy/controller_aetherialimp.dbr,3,Attacking,RepositionChance,0,0,SurvivalMode1.arz,0x3b0
records/controllers/enemy/controller_aetherialimp.dbr,3,Attacking,randomRepositionChance,5,5,SurvivalMode1.arz,0x2e0
records/controllers/enemy/controller_aetherialimp.dbr,3,Attacking,minSwingPause,0.20000000298023224,0.20000000298023224,SurvivalMode1.arz,0x2f0
records/controllers/enemy/controller_aetherialimp.dbr,3,Attacking,maxSwingPause,0.5,0.5,SurvivalMode1.arz,0x2f4
records/controllers/enemy/controller_aetherialimp.dbr,3,Sleep,ignoreSleepingEnemies,__ABSENT__,__ABSENT__,SurvivalMode1.arz,0x4d9
records/controllers/enemy/controller_aetherialimp.dbr,3,Emote,randomEmoteChance,0,100,SurvivalMode1.arz,0x514
records/controllers/enemy/controller_aetherialimp.dbr,3,Emote,randomEmoteMinTime,5000,5000,SurvivalMode1.arz,0x518
records/controllers/enemy/controller_aetherialimp.dbr,3,Emote,randomEmoteMaxTime,10000,10000,SurvivalMode1.arz,0x51c
records/controllers/enemy/controller_aetherialimp.dbr,3,PetBehaviour,ignorePetsChance,0,0,SurvivalMode1.arz,0x56c
records/controllers/enemy/controller_aetherialimp.dbr,3,PetBehaviour,ignorePetsInterval,7000,7000,SurvivalMode1.arz,0x570
records/controllers/enemy/controller_aetherialimp.dbr,3,PetBehaviour,petAngerTransference,17,17,SurvivalMode1.arz,
