kit_id,game,e4_x,e4_y,e5_x_aligned,e5_y_aligned,displacement,anchor_flag
le-manifest-armor,le,-0.513277,-0.318640,-0.571406,-0.515235,0.205008,0
le-reaper-form-lich,le,0.260681,-0.263930,0.185394,-0.118716,0.163570,0
le-ring-of-shields,le,-0.207874,-0.374587,-0.121955,-0.234583,0.164265,0
le-runic-invocation,le,0.180452,0.269897,0.004044,0.092828,0.249947,0
le-shadow-bladedancer,le,-0.352247,-0.101640,-0.768511,-0.224021,0.433881,0
le-shield-bash-le,le,,,-0.308323,-1.587490,,0
le-shield-throw-time-rot-vk,le,0.299129,0.559370,0.141085,0.164311,0.425499,0
le-shift-bladedancer,le,0.094619,-0.468390,0.422073,-0.243132,0.397451,0
le-skeleton-necro,le,-0.567007,-0.382056,-0.518701,-0.287534,0.106151,1
le-smite-paladin,le,-0.058693,0.059714,0.070736,-0.447493,0.523460,1
le-soul-feast,le,,,0.017224,0.069757,,0
le-squirrel-bm,le,-0.440096,-0.308403,-0.409801,-0.586712,0.279953,1
le-storm-totem-shaman,le,-0.753381,-0.312785,-0.878650,-0.265602,0.133861,1
le-swarmblade-druid,le,0.207238,-0.384655,0.174747,-0.344353,0.051769,0
le-tempest-strike,le,,,-0.053926,-1.373740,,0
le-umbral-blades,le,0.232458,0.481437,0.141958,0.086685,0.404994,0
le-warpath-vk,le,1.023354,-1.282978,1.007880,-0.594700,0.688452,1
le-werebear-druid,le,0.172608,-0.389170,0.192620,-0.307495,0.084091,0
le-wraithlord-necro,le,-0.638445,-0.210144,-0.639552,-0.019899,0.190248,1
poe1-aegis-max-block,poe1,-0.294487,0.265010,-0.074374,-0.324463,0.629229,1
poe1-animate-weapon,poe1,-0.367088,-0.047619,-0.312006,-0.092904,0.071307,0
poe1-arc,poe1,0.341191,0.885927,0.450252,0.163163,0.730946,0
poe1-archmage,poe1,0.313200,0.572577,0.311181,0.272865,0.299719,0
poe1-armageddon-brand,poe1,-0.561422,-0.114100,-0.519735,0.032478,0.152391,0
poe1-aurabot,poe1,0.335493,-0.288550,0.250405,-0.004169,0.296837,1
poe1-aurastacker,poe1,0.488713,-0.409831,0.348386,-0.129815,0.313210,0
poe1-autobomber,poe1,0.333171,0.317061,0.516859,-0.257021,0.602753,1
poe1-ball-lightning,poe1,0.313200,0.572577,0.311181,0.272865,0.299719,0
poe1-bane,poe1,-0.115689,0.295648,-0.159797,0.083557,0.216629,0
poe1-baron-zombies,poe1,-0.319146,-0.052749,-0.482099,-1.015587,0.976530,0
poe1-blade-flurry,poe1,0.404213,-0.480614,0.549276,-1.007368,0.546363,0
poe1-bladefall-bladeblast,poe1,-0.770020,0.163815,-0.398626,-0.052602,0.429849,1
poe1-boneshatter,poe1,-0.172285,0.090895,-0.164590,-1.183268,1.274186,0
poe1-caustic-arrow,poe1,0.268045,0.462450,0.076310,0.218376,0.310378,0
poe1-charged-dash,poe1,,,1.293389,-0.494874,,0
poe1-cleave,poe1,,,0.116391,-1.427795,,0
poe1-coc-ice-nova,poe1,0.721516,-0.339901,0.949995,-0.901000,0.605834,0
poe1-cold-dot-occ,poe1,-0.189656,0.175305,-0.004824,0.120916,0.192668,0
poe1-crackling-lance,poe1,0.584734,0.235380,1.269378,-0.118902,0.770878,0
poe1-cwdt-loop,poe1,0.307953,0.159095,0.266247,-0.083317,0.245974,1
poe1-cyclone,poe1,0.989093,-1.012515,1.109488,-0.743546,0.294684,1
poe1-dark-pact,poe1,0.133576,0.510646,0.237598,0.151932,0.373492,0
poe1-deaths-oath,poe1,0.339591,-0.351505,0.266301,-0.044323,0.315804,1
poe1-detonate-dead,poe1,-0.610847,0.299587,-0.456297,-0.130392,0.456911,1
poe1-discharge,poe1,0.050912,-0.126129,0.132387,-0.356715,0.244557,0
poe1-divine-ire,poe1,0.926367,-0.313476,0.977642,-0.076947,0.242023,1
poe1-ea-ballista,poe1,-1.088547,-0.395053,-1.236879,0.013170,0.434337,1
poe1-earthquake,poe1,-0.819921,0.064963,-0.464097,-1.267102,1.378770,0
poe1-earthshatter,poe1,-1.104616,-0.053893,-0.653767,-1.212352,1.243097,0
poe1-edc,poe1,0.296036,0.775800,0.262360,0.299117,0.477871,0
poe1-elemental-hit,poe1,0.140616,0.325427,0.157114,0.111370,0.214692,0
poe1-facebreaker,poe1,-0.077895,0.240043,-0.097321,-1.080699,1.320885,0
poe1-fire-trap,poe1,-1.088547,-0.395053,-0.889660,0.026041,0.465700,1
poe1-flameblast,poe1,0.433304,-0.301807,0.497528,-0.128938,0.184414,0
poe1-flicker,poe1,-0.014922,-0.164369,0.488996,-0.450170,0.579323,0
poe1-forbidden-rite,poe1,-0.658482,-0.213155,-0.435135,0.133184,0.412110,1
poe1-freezing-pulse,poe1,0.266955,0.775740,0.275905,0.104234,0.671565,0
poe1-frost-blades,poe1,0.205141,0.341722,0.025988,-0.908025,1.262523,0
poe1-generals-cry,poe1,-0.440779,-0.159926,-0.555838,-0.101270,0.129148,0
poe1-glacial-cascade-mines,poe1,-0.951606,-0.267038,-0.547929,0.041033,0.507802,1
poe1-glacial-hammer,poe1,,,-0.202907,-1.400093,,0
poe1-golementalist,poe1,-0.213247,-0.222452,-0.773696,0.048015,0.622298,0
poe1-heavy-strike-stun,poe1,-0.604023,-0.174121,-0.484020,-1.135679,0.969017,0
poe1-hexblast-mines,poe1,-0.691514,0.084811,-0.454111,-0.042141,0.269216,0
poe1-hoag,poe1,-0.518844,-0.160671,-0.752712,-0.207710,0.238551,0
poe1-ice-shot,poe1,0.386177,0.434409,0.265289,0.132835,0.324902,0
poe1-icicle-mines,poe1,-0.474020,0.010553,-0.289697,-0.151356,0.245335,0
poe1-incinerate,poe1,1.388631,0.046582,1.075564,-0.229075,0.417131,1
poe1-kinetic-fusillade,poe1,0.310237,0.644089,0.289760,0.142554,0.501954,0
poe1-lacerate-glad,poe1,-0.201248,0.303280,0.010118,-1.091781,1.410982,0
poe1-lightning-arrow,poe1,0.404138,0.693396,0.451241,0.147535,0.547890,0
poe1-lightning-conduit,poe1,-0.413774,0.433658,-0.131486,-0.252299,0.741770,1
poe1-lightning-strike,poe1,0.195110,0.287360,0.037953,-0.935365,1.232783,0
poe1-low-life-shavs,poe1,-0.203821,0.002563,-0.152740,-0.124364,0.136820,0
poe1-minion-pact-bv,poe1,0.196820,0.222560,0.707055,-0.493405,0.879174,0
poe1-mjolner,poe1,0.053227,0.624531,-0.156862,-0.813999,1.453790,1
poe1-molten-strike,poe1,0.237066,0.331722,0.017963,-0.952169,1.302452,0
poe1-pconc,poe1,0.405449,0.362325,0.076570,0.099574,0.420951,0
poe1-pizza-sticks,poe1,-1.088547,-0.395053,-0.521435,-0.055662,0.660910,1
poe1-poets-pen-vd,poe1,-0.152122,0.369901,-0.096496,0.009159,0.365005,0
poe1-poison-bv,poe1,0.324799,0.111780,0.716296,-0.557777,0.775613,0
poe1-reaper,poe1,,,-0.403399,-1.444637,,0
poe1-righteous-fire,poe1,0.271361,-0.136898,0.267551,-0.174232,0.037528,1
poe1-scourge-arrow,poe1,0.596807,0.292121,0.677295,-0.032701,0.334646,0
poe1-seismic-trap,poe1,-0.979928,-0.414086,-0.813481,-0.813959,0.433132,1
poe1-siege-ballista,poe1,-0.666243,-0.325536,-1.097812,-0.016411,0.530858,1
poe1-skeleton-mages,poe1,-0.232393,-0.124408,-0.147513,0.083332,0.224411,0
poe1-soulrend,poe1,0.126149,0.571286,0.166770,0.198803,0.374692,1
poe1-spark,poe1,0.365783,0.715055,0.322021,0.150496,0.566253,0
poe1-spectral-helix,poe1,0.405324,0.336365,0.442434,0.023019,0.315535,0
poe1-spectral-throw,poe1,0.274502,0.599336,0.069709,0.102661,0.537239,0
poe1-spectres,poe1,-0.345262,0.174103,-0.748512,-0.032767,0.453217,0
poe1-split-arrow-bleed,poe1,0.258504,0.597062,0.223614,0.167193,0.431283,0
poe1-srs,poe1,-0.281842,0.183590,-0.759585,-0.073441,0.542497,0
poe1-sst,poe1,0.222682,0.668209,0.219478,0.161210,0.507009,0
poe1-storm-brand,poe1,-0.452089,0.081594,-0.109727,0.047696,0.344036,0
poe1-sweep,poe1,,,0.232132,-1.409579,,0
poe1-tectonic-slam,poe1,-0.289150,0.112208,-0.173033,-1.215184,1.332460,0
poe1-tornado-shot,poe1,0.383361,0.593013,0.302397,0.146210,0.454080,0
poe1-totem-hierophant,poe1,-1.261352,-0.722966,-1.764663,0.052937,0.924850,0
poe1-toxic-rain,poe1,-0.142768,0.396745,-0.141072,-0.025996,0.422745,0
poe1-vaal-blade-vortex,poe1,0.261617,-0.113346,0.125751,-0.156870,0.142668,0
poe1-venom-gyre,poe1,0.233642,0.135755,0.457452,-0.007519,0.265741,0
poe1-viper-poison,poe1,0.000113,0.266894,-0.028097,-1.184278,1.451447,0
poe1-wander,poe1,0.383361,0.593013,0.302397,0.146210,0.454080,0
poe1-warchief,poe1,-0.935831,-0.514512,-1.205294,-0.142207,0.459588,1
poe1-ward-loop,poe1,0.380911,0.271948,0.275734,-0.020185,0.310489,0
poe1-whispering-ice,poe1,-0.284479,0.454721,-0.194046,-0.041273,0.504170,0
poe1-wild-strike,poe1,,,-0.129626,-1.378463,,0
poe1-winter-orb,poe1,0.683825,0.060259,1.035994,-0.386131,0.568584,0
poe1-woc-ignite,poe1,0.222496,0.124416,0.258438,-0.028870,0.157443,0
poe1-wormblaster,poe1,0.292602,0.691515,0.137340,0.024155,0.685183,0
poe2-acolyte-darkness,poe2,-0.036678,0.078441,-0.083885,-1.117256,1.196628,0
poe2-archmage-totems,poe2,-1.019149,-0.162770,-1.122930,0.090673,0.273868,0
poe2-blood-mage,poe2,-0.396885,0.498220,0.175722,-0.129226,0.849451,0
poe2-bonestorm,poe2,-0.233814,0.579540,0.271823,-0.116847,0.860595,0
poe2-chronomancer-01,poe2,,,-0.087293,0.021246,,0
poe2-cof-comet,poe2,-0.124229,0.446092,-0.070745,-0.262597,0.710705,0
poe2-concoction,poe2,,,-0.266049,-0.005675,,0
poe2-demon-form,poe2,0.371568,0.087552,0.272506,-0.069623,0.185788,0
poe2-erasure-edc-lich,poe2,0.269883,0.649060,0.344759,0.494273,0.171946,0
poe2-galvanic-shards,poe2,0.707954,0.635755,0.241951,0.028127,0.765748,0
poe2-gas-arrow-ignite,poe2,0.169883,0.302440,-0.058077,0.047628,0.341899,0
poe2-gemling-stacker,poe2,-0.112028,0.139114,0.040772,-1.103072,1.251548,0
poe2-howa-invoker,poe2,-0.058730,0.211174,-0.084849,-1.026710,1.238159,0
poe2-ice-strike-invoker,poe2,-0.057782,0.094651,-0.125597,-1.297261,1.393563,0
poe2-infernal-legion,poe2,-0.563882,-0.690671,-0.528491,-0.166532,0.525332,1
poe2-lightning-arrow-deadeye,poe2,0.395512,0.612974,0.360228,-0.154727,0.768512,0
poe2-lightning-spear-amazon,poe2,0.407112,0.691334,0.370868,0.081086,0.611323,0
poe2-minion-infernalist,poe2,-0.566022,-0.545883,-0.984506,0.032703,0.714067,1
poe2-perfect-strike-01,poe2,,,0.068865,-1.793028,,0
poe2-poison-pathfinder,poe2,0.276454,0.497088,0.112849,-0.043255,0.564568,0
poe2-rake-ritualist,poe2,0.036907,0.151103,0.215286,-0.822392,0.989702,0
poe2-shaman-bear,poe2,0.325515,-0.263476,0.105006,-1.213991,0.975758,0
poe2-smith-ignite,poe2,-0.529113,0.213909,-0.192722,-1.179745,1.433677,0
poe2-snipe-mirage-deadeye,poe2,0.398847,-0.166893,0.641072,-0.255602,0.257958,0
poe2-spark-stormweaver,poe2,0.521105,0.358979,0.464597,0.155240,0.211430,0
poe2-spiral-volley,poe2,0.416419,0.515765,0.279822,-0.185104,0.714056,0
poe2-supporting-fire,poe2,-0.279809,-0.205701,-0.415259,0.015361,0.259259,0
poe2-tempest-bell,poe2,-0.598798,-0.325593,-0.357005,-1.356230,1.058619,0
poe2-tempest-flurry,poe2,-0.105706,-0.017145,-0.041912,-1.249285,1.233790,0
poe2-titan-hotg,poe2,-0.757158,0.123225,-0.485112,-1.495452,1.641379,0
poe2-twister,poe2,0.642788,-0.954025,0.257375,0.133545,1.153842,1
poe2-walking-calamity,poe2,0.307206,-0.285360,0.021762,-0.173158,0.306705,0
poe2-wall-of-shields,poe2,,,-0.398533,0.033717,,0
poe2-warbringer-totems,poe2,-0.834954,-0.439401,-1.152419,-0.218791,0.386591,1
poe2-whirling-assault-ma,poe2,-0.215080,0.003333,0.571165,-0.824729,1.141871,0
poe2-witchhunter-grenades,poe2,-0.039706,0.262687,-0.034638,-0.035238,0.297969,0
