episode_id,v_on_gpx_s,t_start,t_end,duration_s,wave,wave_at_end,mean_speed_gpx_s,peak_speed_gpx_s,path_len_gpx,net_displacement_gpx,straightness,channel_probed,channel_frames_sampled,channel_frames_with_player_damage,channeling_visible
34,200.0,760.1,760.7167,0.6167,155,156,758.21,837.75,528.2,489.4,0.9264,1,6,6,1
35,200.0,761.3,762.8167,1.5167,156,156,584.73,1226.33,818.3,246.5,0.3013,0,0,0,
36,200.0,763.0167,764.8333,1.8167,156,156,458.97,920.66,795.7,251.8,0.3165,0,0,0,
37,200.0,765.0,769.4167,4.4167,156,156,518.44,1242.25,2117.1,197.2,0.0931,0,0,0,
38,200.0,769.6,771.35,1.75,156,156,426.22,735.77,690.9,201.8,0.2922,0,0,0,
39,200.0,771.6167,771.8667,0.25,156,156,326.39,424.8,99.9,0.6,0.0057,0,0,0,
40,200.0,772.85,773.1,0.25,156,156,211.17,247.28,61.3,1.6,0.0253,0,0,0,
41,200.0,773.6,775.7667,2.1667,156,156,448.71,586.26,986.6,493.1,0.4998,0,0,0,
42,200.0,776.0667,777.7,1.6333,156,156,356.54,493.52,599.9,119.4,0.199,0,0,0,
43,200.0,778.1167,780.0833,1.9667,156,156,444.08,689.32,903.8,305.5,0.338,0,0,0,
44,200.0,780.5667,781.8,1.2333,157,157,604.69,688.41,773.0,756.4,0.9785,1,12,0,0
45,200.0,782.1167,782.4167,0.3,157,157,465.35,581.2,148.6,147.2,0.9907,0,0,0,
46,200.0,782.6167,783.0667,0.45,157,157,474.6,687.58,259.0,226.9,0.8762,0,0,0,
47,200.0,783.4,784.55,1.15,157,157,413.99,683.43,457.6,245.1,0.5357,0,0,0,
48,200.0,784.7,785.75,1.05,157,157,561.22,1296.49,629.7,523.6,0.8315,0,0,0,
49,200.0,785.95,786.3833,0.4333,157,157,605.24,910.53,240.2,239.1,0.995,1,4,4,1
50,200.0,786.55,787.2333,0.6833,157,157,354.44,1137.64,292.3,239.5,0.8194,0,0,0,
51,200.0,788.0833,788.4333,0.35,157,157,301.54,588.56,112.5,85.8,0.7627,0,0,0,
52,200.0,788.6,790.15,1.55,157,157,310.64,981.31,865.7,330.6,0.3819,0,0,0,
53,200.0,790.75,791.05,0.3,157,157,288.09,455.68,127.2,74.0,0.5815,0,0,0,
54,200.0,791.3167,797.45,6.1333,157,157,447.38,1132.49,2701.7,268.8,0.0995,0,0,0,
55,200.0,797.65,798.1833,0.5333,157,157,826.38,2433.16,512.6,459.9,0.8973,1,5,4,1
56,200.0,798.5333,799.2833,0.75,157,157,542.24,769.66,417.6,417.5,1.0,0,0,0,
57,200.0,799.45,799.7667,0.3167,157,158,507.96,632.27,196.3,93.4,0.4758,0,0,0,
58,200.0,799.9333,801.5667,1.6333,158,158,752.27,1766.94,1138.1,558.8,0.491,1,16,1,1
59,200.0,801.8667,810.55,8.6833,158,158,485.07,3504.45,3943.1,1283.7,0.3256,0,0,0,
60,200.0,812.0167,813.3,1.2833,158,159,374.82,484.57,528.0,121.8,0.2306,0,0,0,
61,200.0,813.5,815.7333,2.2333,159,159,527.89,883.76,1242.6,603.6,0.4857,0,0,0,
62,200.0,817.3833,817.7,0.3167,159,159,203.35,264.15,66.8,4.4,0.0652,0,0,0,
63,200.0,817.9167,819.5667,1.65,159,159,259.57,475.75,452.2,77.2,0.1707,0,0,0,
64,200.0,819.7833,820.2667,0.4833,159,159,633.91,741.29,336.7,336.6,0.9996,1,4,4,1
65,200.0,820.4333,823.9833,3.55,159,159,400.88,804.1,1401.4,111.5,0.0795,0,0,0,
66,200.0,825.2667,827.9167,2.65,159,159,510.57,2698.67,1300.6,420.7,0.3235,0,0,0,
67,200.0,828.1667,828.9833,0.8167,159,159,479.55,667.78,345.7,285.7,0.8266,0,0,0,
68,200.0,829.5833,831.9167,2.3333,159,159,547.89,1179.51,1190.4,110.7,0.093,0,0,0,
69,200.0,832.1167,833.2,1.0833,159,159,395.96,771.96,412.9,299.0,0.724,0,0,0,
70,200.0,834.25,837.55,3.3,159,159,546.92,1970.88,1813.7,382.9,0.2111,0,0,0,
71,200.0,837.7667,838.6833,0.9167,159,159,391.35,639.29,361.6,354.5,0.9803,0,0,0,
72,200.0,839.6,841.05,1.45,160,160,556.91,672.33,814.6,263.1,0.323,0,0,0,
73,200.0,841.2667,841.6167,0.35,160,160,339.44,397.54,128.0,120.6,0.9422,0,0,0,
74,200.0,843.35,843.6333,0.2833,160,160,208.41,229.33,86.4,8.6,0.0993,0,0,0,
75,200.0,844.05,845.3833,1.3333,160,160,460.21,1872.75,637.0,448.4,0.7038,0,0,0,
76,200.0,845.5833,845.8667,0.2833,160,160,468.22,669.43,141.4,140.6,0.9946,0,0,0,
77,200.0,846.1,846.6333,0.5333,160,160,527.82,686.29,288.1,287.6,0.9983,0,0,0,
78,200.0,847.25,847.6667,0.4167,160,160,203.06,286.99,97.2,23.5,0.242,0,0,0,
79,200.0,847.9833,848.4167,0.4333,160,160,662.82,2360.34,390.9,313.5,0.802,1,4,4,1
80,200.0,848.7,850.1833,1.4833,160,160,401.08,593.54,596.8,117.2,0.1964,0,0,0,
81,200.0,850.5667,851.9667,1.4,160,160,501.95,676.84,699.4,392.3,0.5609,0,0,0,
82,200.0,852.2,854.2667,2.0667,160,160,276.47,543.75,627.5,246.6,0.3931,0,0,0,
83,200.0,854.65,856.6833,2.0333,160,160,428.75,708.52,848.6,707.7,0.834,0,0,0,
84,200.0,857.1,858.6667,1.5667,160,160,505.26,1798.45,810.5,220.0,0.2715,0,0,0,
85,200.0,859.25,864.0,4.75,160,160,576.91,2388.14,2830.9,116.0,0.041,0,0,0,
