chain_id,tick_idx,t_s,frame,gap_frames,magnitude_hp,implied_rate_hp_per_s,basis
5,3,735.6333,44138,6,71,710.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
5,4,735.7333,44144,6,71,710.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
5,5,735.8167,44149,5,50,500.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
5,6,735.9167,44155,6,27,270.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
6,0,738.3833,44303,,12,120.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
6,1,738.4667,44308,5,76,760.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
6,2,738.5667,44314,6,86,860.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
6,3,738.6833,44321,7,13,130.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
6,4,738.7667,44326,5,10,100.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,0,744.8167,44689,,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,1,744.9167,44695,6,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,2,745.0333,44702,7,15,150.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,3,745.1333,44708,6,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,4,745.2333,44714,6,15,150.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,5,745.3333,44720,6,15,150.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,6,745.4333,44726,6,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,7,745.5500,44733,7,15,150.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,8,745.6500,44739,6,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,9,745.7500,44745,6,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,10,745.8333,44750,5,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,11,745.9333,44756,6,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,12,746.0500,44763,7,13,130.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,13,746.1500,44769,6,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,14,746.2500,44775,6,15,150.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,15,746.3667,44782,7,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,16,746.4500,44787,5,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,17,746.5667,44794,7,15,150.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,18,746.6667,44800,6,15,150.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,19,746.7667,44806,6,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,20,746.8667,44812,6,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,21,746.9833,44819,7,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,22,747.0833,44825,6,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,23,747.1833,44831,6,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,24,747.3000,44838,7,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,25,747.3833,44843,5,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
7,26,747.4833,44849,6,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
8,0,751.7333,45104,,159,1590.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
8,1,751.8167,45109,5,15,150.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
8,2,751.9000,45114,5,15,150.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
8,3,752.0000,45120,6,536,5360.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
9,0,757.0667,45424,,380,3800.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
9,1,757.1500,45429,5,52,520.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
9,2,757.2667,45436,7,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
9,3,757.3667,45442,6,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
9,4,757.4833,45449,7,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
10,0,757.5500,45453,,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
10,1,757.6500,45459,6,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
10,2,757.7500,45465,6,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
10,3,757.8500,45471,6,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
10,4,757.9667,45478,7,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
11,0,758.1667,45490,,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
11,1,758.2833,45497,7,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
11,2,758.3667,45502,5,10,100.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
11,3,758.4667,45508,6,10,100.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
11,4,758.5833,45515,7,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
11,5,758.6833,45521,6,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
11,6,758.7833,45527,6,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
11,7,758.9000,45534,7,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
11,8,758.9833,45539,5,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
11,9,759.0833,45545,6,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
11,10,759.2000,45552,7,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
11,11,759.3000,45558,6,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
11,12,759.4167,45565,7,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
11,13,759.5167,45571,6,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
11,14,759.6167,45577,6,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
11,15,759.7167,45583,6,51,510.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
11,16,759.8167,45589,6,54,540.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
12,0,761.8500,45711,,67,670.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
12,1,761.9500,45717,6,67,670.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
12,2,762.0667,45724,7,67,670.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
12,3,762.1667,45730,6,67,670.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
13,0,762.8333,45770,,204,2040.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
13,1,762.9167,45775,5,52,520.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
13,2,763.0167,45781,6,52,520.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
13,3,763.1000,45786,5,55,550.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
14,0,768.2667,46096,,12,120.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
14,1,768.3667,46102,6,12,120.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
14,2,768.4500,46107,5,12,120.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
14,3,768.5667,46114,7,12,120.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
14,4,768.6500,46119,5,9,90.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
15,0,768.7500,46125,,9,90.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
15,1,768.8667,46132,7,12,120.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
15,2,768.9500,46137,5,12,120.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
15,3,769.0667,46144,7,12,120.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
15,4,769.1667,46150,6,12,120.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
15,5,769.2500,46155,5,12,120.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
15,6,769.3667,46162,7,11,110.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
15,7,769.4500,46167,5,9,90.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
15,8,769.5500,46173,6,10,100.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
15,9,769.6667,46180,7,10,100.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
16,0,769.9167,46195,,215,2150.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
16,1,770.0000,46200,5,16,160.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
16,2,770.1000,46206,6,16,160.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
16,3,770.2167,46213,7,16,160.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
16,4,770.3000,46218,5,8,80.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
16,5,770.4167,46225,7,13,130.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
16,6,770.5167,46231,6,1069,10690.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
16,7,770.6167,46237,6,32,320.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
16,8,770.7167,46243,6,31,310.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
17,0,770.8333,46250,,32,320.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
17,1,770.9333,46256,6,31,310.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
17,2,771.0167,46261,5,31,310.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
17,3,771.1167,46267,6,31,310.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
17,4,771.2167,46273,6,34,340.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
17,5,771.3167,46279,6,34,340.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
17,6,771.4333,46286,7,34,340.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
17,7,771.5333,46292,6,34,340.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
17,8,771.6333,46298,6,16,160.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
18,0,773.3667,46402,,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
18,1,773.4500,46407,5,16,160.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
18,2,773.5667,46414,7,16,160.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
18,3,773.6667,46420,6,16,160.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
19,0,774.0667,46444,,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
19,1,774.1833,46451,7,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
19,2,774.2667,46456,5,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
19,3,774.3667,46462,6,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
19,4,774.4833,46469,7,14,140.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
19,5,774.5833,46475,6,16,160.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
20,0,775.0000,46500,,11,110.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
20,1,775.1000,46506,6,11,110.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
20,2,775.2000,46512,6,11,110.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
20,3,775.3000,46518,6,10,100.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
21,0,784.4500,47067,,24,240.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
21,1,784.5667,47074,7,26,260.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
21,2,784.6833,47081,7,26,260.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
21,3,784.7667,47086,5,23,230.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
21,4,784.8667,47092,6,24,240.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
21,5,784.9833,47099,7,24,240.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
21,6,785.0667,47104,5,23,230.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
21,7,785.1833,47111,7,23,230.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
21,8,785.2667,47116,5,24,240.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
22,0,786.9833,47219,,36,360.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
22,1,787.0667,47224,5,82,820.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
22,2,787.1667,47230,6,36,360.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
22,3,787.2500,47235,5,11,110.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
23,0,792.2833,47537,,398,3980.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
23,1,792.3833,47543,6,26,260.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
23,2,792.5000,47550,7,26,260.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
23,3,792.5833,47555,5,26,260.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
24,0,793.2000,47592,,23,230.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
24,1,793.2833,47597,5,23,230.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
24,2,793.3833,47603,6,26,260.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
24,3,793.4833,47609,6,26,260.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
25,0,794.4167,47665,,890,8900.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
25,1,794.5167,47671,6,38,380.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
25,2,794.6167,47677,6,37,370.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
25,3,794.7167,47683,6,40,400.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
25,4,794.8333,47690,7,40,400.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
26,0,794.9167,47695,,822,8220.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
26,1,795.0333,47702,7,7,70.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
26,2,795.1333,47708,6,39,390.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
26,3,795.2333,47714,6,39,390.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
26,4,795.3333,47720,6,39,390.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
26,5,795.4333,47726,6,37,370.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
26,6,795.5167,47731,5,36,360.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
26,7,795.6167,47737,6,36,360.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
26,8,795.7333,47744,7,39,390.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
26,9,795.8167,47749,5,39,390.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
27,0,795.9333,47756,,36,360.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
27,1,796.0167,47761,5,36,360.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
27,2,796.1333,47768,7,36,360.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
27,3,796.2333,47774,6,36,360.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
27,4,796.3333,47780,6,36,360.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
27,5,796.4333,47786,6,37,370.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
27,6,796.5333,47792,6,36,360.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
27,7,796.6333,47798,6,36,360.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
27,8,796.7500,47805,7,37,370.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
27,9,796.8500,47811,6,39,390.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
27,10,796.9667,47818,7,39,390.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
28,0,797.9500,47877,,67,670.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
28,1,798.0667,47884,7,69,690.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
28,2,798.1667,47890,6,66,660.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
28,3,798.2667,47896,6,67,670.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
28,4,798.3667,47902,6,67,670.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
28,5,798.4667,47908,6,69,690.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
28,6,798.5667,47914,6,69,690.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
28,7,798.6833,47921,7,69,690.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
28,8,798.7833,47927,6,69,690.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
28,9,798.8833,47933,6,69,690.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
29,0,816.9833,49019,,362,3620.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
29,1,817.0667,49024,5,90,900.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
29,2,817.1667,49030,6,90,900.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
29,3,817.2833,49037,7,90,900.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
29,4,817.3833,49043,6,20,200.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
29,5,817.4833,49049,6,90,900.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
29,6,817.6000,49056,7,90,900.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
30,0,817.6833,49061,,87,870.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
30,1,817.7833,49067,6,87,870.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
30,2,817.8833,49073,6,87,870.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
30,3,817.9833,49079,6,391,3910.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
30,4,818.0833,49085,6,88,880.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
30,5,818.2000,49092,7,88,880.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
30,6,818.3000,49098,6,88,880.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
31,0,819.9833,49199,,26,260.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
31,1,820.0833,49205,6,29,290.0,"MEASURED - Lap K I-1 exact printed integer HP, 60fps, adjacent-frame delta"
