source,slot,kind,field,value,rank,index_state,grade
gear:ring1:base,ring1,item,defensiveElementalResistance,24.0,1,scalar,MEASURED
gear:ring1:component,ring1,component,characterDefensiveAbility,52.0,1,scalar,MEASURED
gear:ring1:component,ring1,component,characterLife,160.0,1,scalar,MEASURED
gear:ring1:component,ring1,component,defensiveBlockAmountModifier,8.0,1,scalar,MEASURED
gear:ring1:component,ring1,component,defensiveStun,10.0,1,scalar,MEASURED
gear:ring2:base,ring2,item,defensiveBleeding,30.0,1,scalar,MEASURED
gear:ring2:affix,ring2,affix,defensiveAether,30.0,1,scalar,MEASURED
gear:ring2:affix,ring2,affix,defensivePierce,30.0,1,scalar,MEASURED
gear:ring2:component,ring2,component,characterDefensiveAbility,40.0,1,scalar,MEASURED
gear:ring2:component,ring2,component,defensiveBleeding,15.0,1,scalar,MEASURED
gear:ring2:component,ring2,component,defensiveProtection,75.0,1,scalar,MEASURED
gear:ring2:augment,ring2,augment,characterDefensiveAbility,70.0,1,scalar,MEASURED
gear:ring2:augment,ring2,augment,defensiveElementalResistance,10.0,1,scalar,MEASURED
gear:waist:base,waist,item,conversionPercentage,100.0,1,scalar,MEASURED
gear:waist:base,waist,item,defensiveBleeding,22.0,1,scalar,MEASURED
gear:waist:base,waist,item,defensiveBleedingMaxResist,5.0,1,scalar,MEASURED
gear:waist:base,waist,item,defensiveChaos,20.0,1,scalar,MEASURED
gear:waist:base,waist,item,defensiveProtection,96.0,1,scalar,MEASURED
gear:waist:component,waist,component,characterLife,100.0,1,scalar,MEASURED
gear:waist:component,waist,component,defensiveElementalResistance,15.0,1,scalar,MEASURED
gear:waist:component,waist,component,defensivePierce,20.0,1,scalar,MEASURED
gear:waist:augment,waist,augment,defensiveAether,10.0,1,scalar,MEASURED
gear:waist:augment,waist,augment,defensivePoison,12.0,1,scalar,MEASURED
gear:shoulders:base,shoulders,item,characterLife,470.0,1,scalar,MEASURED
gear:shoulders:base,shoulders,item,conversionPercentage,30.0,1,scalar,MEASURED
gear:shoulders:base,shoulders,item,defensiveAether,27.0,1,scalar,MEASURED
gear:shoulders:base,shoulders,item,defensiveBleeding,28.0,1,scalar,MEASURED
gear:shoulders:base,shoulders,item,defensivePhysical,4.0,1,scalar,MEASURED
gear:shoulders:base,shoulders,item,defensiveProtection,1666.0,1,scalar,MEASURED
gear:shoulders:component,shoulders,component,defensiveAbsorptionModifier,12.0,1,scalar,MEASURED
gear:shoulders:component,shoulders,component,defensiveChaos,8.0,1,scalar,MEASURED
gear:shoulders:component,shoulders,component,defensiveElementalResistance,10.0,1,scalar,MEASURED
gear:shoulders:augment,shoulders,augment,defensiveAether,10.0,1,scalar,MEASURED
gear:shoulders:augment,shoulders,augment,defensivePoison,12.0,1,scalar,MEASURED
gear:medal:base,medal,item,defensiveChaos,44.0,1,scalar,MEASURED
gear:medal:affix,medal,affix,characterLife,330.0,1,scalar,MEASURED
gear:medal:affix,medal,affix,defensiveLife,20.0,1,scalar,MEASURED
gear:medal:affix,medal,affix,defensivePoison,28.0,1,scalar,MEASURED
gear:medal:component,medal,component,defensiveDisruption,30.0,1,scalar,MEASURED
gear:relic:base,relic,item,characterLife,322.0,1,scalar,MEASURED
gear:relic:base,relic,item,defensivePetrify,33.0,1,scalar,MEASURED
gear:relic:base,relic,item,defensiveStun,33.0,1,scalar,MEASURED
gear:weapon:base,weapon,item,characterLifeModifier,15.0,1,scalar,MEASURED
gear:weapon:base,weapon,item,conversionPercentage,50.0,1,scalar,MEASURED
gear:weapon:base,weapon,item,conversionPercentage2,50.0,1,scalar,MEASURED
gear:weapon:component,weapon,component,characterLife,160.0,1,scalar,MEASURED
gear:weapon:component,weapon,component,conversionPercentage,25.0,1,scalar,MEASURED
gear:weapon:augment,weapon,augment,defensivePierce,20.0,1,scalar,MEASURED
set:warborn@3pc,GLOBAL,set,defensiveAbsorptionModifier,10.0,3,set-index=pieces-1=2,MEASURED
set:warborn@3pc,GLOBAL,set,defensiveBonusProtection,120.0,3,set-index=pieces-1=2,MEASURED
devotion:tier1_08b.dbr,GLOBAL,devotion,characterDefensiveAbility,12.0,1,scalar,MEASURED
devotion:tier1_29a.dbr,GLOBAL,devotion,characterDefensiveAbility,12.0,1,scalar,MEASURED
devotion:tier1_29a.dbr,GLOBAL,devotion,defensiveProtection,20.0,1,scalar,MEASURED
devotion:tier1_29b.dbr,GLOBAL,devotion,characterDefensiveAbility,15.0,1,scalar,MEASURED
devotion:tier1_29b.dbr,GLOBAL,devotion,defensiveProtection,20.0,1,scalar,MEASURED
devotion:tier1_29c.dbr,GLOBAL,devotion,characterDefensiveAbility,15.0,1,scalar,MEASURED
devotion:tier1_29c.dbr,GLOBAL,devotion,defensiveProtection,40.0,1,scalar,MEASURED
devotion:tier1_29d.dbr,GLOBAL,devotion,characterDefensiveAbility,10.0,1,scalar,MEASURED
devotion:tier1_29d.dbr,GLOBAL,devotion,characterLifeModifier,4.0,1,scalar,MEASURED
devotion:tier1_29d.dbr,GLOBAL,devotion,defensiveProtectionModifier,8.0,1,scalar,MEASURED
devotion:tier2_02a.dbr,GLOBAL,devotion,characterLife,250.0,1,scalar,MEASURED
devotion:tier2_02b.dbr,GLOBAL,devotion,characterLifeModifier,6.0,1,scalar,MEASURED
devotion:tier2_02d.dbr,GLOBAL,devotion,characterLifeRegen,30.0,1,scalar,MEASURED
devotion:tier2_02d.dbr,GLOBAL,devotion,characterLifeRegenModifier,33.0,1,scalar,MEASURED
devotion:tier2_02e.dbr,GLOBAL,devotion,characterDefensiveAbility,45.0,1,scalar,MEASURED
devotion:tier2_05b.dbr,GLOBAL,devotion,characterDefensiveAbility,15.0,1,scalar,MEASURED
devotion:tier2_05c.dbr,GLOBAL,devotion,defensiveProtection,60.0,1,scalar,MEASURED
devotion:tier2_05d.dbr,GLOBAL,devotion,characterLifeModifier,6.0,1,scalar,MEASURED
devotion:tier2_05d.dbr,GLOBAL,devotion,defensiveFreeze,15.0,1,scalar,MEASURED
devotion:tier2_05d.dbr,GLOBAL,devotion,defensiveStun,15.0,1,scalar,MEASURED
devotion:tier2_05e.dbr,GLOBAL,devotion,defensiveProtection,80.0,1,scalar,MEASURED
devotion:tier2_17d.dbr,GLOBAL,devotion,characterDefensiveAbility,40.0,1,scalar,MEASURED
devotion:tier2_17d.dbr,GLOBAL,devotion,defensivePierce,18.0,1,scalar,MEASURED
devotion:tier2_17e.dbr,GLOBAL,devotion,defensiveElementalResistance,15.0,1,scalar,MEASURED
devotion:tier2_21b.dbr,GLOBAL,devotion,characterLife,250.0,1,scalar,MEASURED
devotion:tier2_21c.dbr,GLOBAL,devotion,characterLife,250.0,1,scalar,MEASURED
devotion:tier2_21e.dbr,GLOBAL,devotion,defensivePhysical,4.0,1,scalar,MEASURED
devotion:tier1_38c.dbr,GLOBAL,devotion,defensivePhysical,2.0,1,scalar,MEASURED
devotion:tier1_39b.dbr,GLOBAL,devotion,defensivePierce,10.0,1,scalar,MEASURED
devotion:tier1_39c.dbr,GLOBAL,devotion,characterDefensiveAbility,15.0,1,scalar,MEASURED
devotion:tier1_39c.dbr,GLOBAL,devotion,characterLife,110.0,1,scalar,MEASURED
devotion:tier1_39d.dbr,GLOBAL,devotion,defensiveProtectionModifier,10.0,1,scalar,MEASURED
devotion:tier1_42a.dbr,GLOBAL,devotion,defensiveLife,8.0,1,scalar,MEASURED
devotion:tier1_42c.dbr,GLOBAL,devotion,characterLife,60.0,1,scalar,MEASURED
devotion:tier2_37b.dbr,GLOBAL,devotion,characterDefensiveAbility,25.0,1,scalar,MEASURED
devotion:tier2_37b.dbr,GLOBAL,devotion,defensivePoison,15.0,1,scalar,MEASURED
devotion:tier2_37e.dbr,GLOBAL,devotion,characterDefensiveAbilityModifier,1.0,1,scalar,MEASURED
devotion:tier2_37e.dbr,GLOBAL,devotion,characterLife,250.0,1,scalar,MEASURED
devotion:tier2_37e.dbr,GLOBAL,devotion,defensiveAether,10.0,1,scalar,MEASURED
devotion:tier2_37f.dbr,GLOBAL,devotion,characterDefensiveAbilityModifier,1.0,1,scalar,MEASURED
devotion:tier2_37f.dbr,GLOBAL,devotion,characterLife,250.0,1,scalar,MEASURED
devotion:tier2_37f.dbr,GLOBAL,devotion,defensiveChaos,10.0,1,scalar,MEASURED
devotion:tier3_20b.dbr,GLOBAL,devotion,characterLife,300.0,1,scalar,MEASURED
devotion:tier3_20b.dbr,GLOBAL,devotion,defensiveProtection,90.0,1,scalar,MEASURED
devotion:tier3_20c.dbr,GLOBAL,devotion,characterDefensiveAbility,50.0,1,scalar,MEASURED
devotion:tier3_20c.dbr,GLOBAL,devotion,characterLife,350.0,1,scalar,MEASURED
devotion:tier3_20f.dbr,GLOBAL,devotion,characterDefensiveAbility,50.0,1,scalar,MEASURED
skill:_classtraining_class01.dbr,GLOBAL,skill,characterLife,1400.0,50,exact,MEASURED
skill:passive1.dbr,GLOBAL,skill,characterLifeModifier,16.0,10,exact,MEASURED
skill:passive2.dbr,GLOBAL,skill,characterLifeRegen,30.0,5,exact,MEASURED
skill:passive2.dbr,GLOBAL,skill,characterLifeRegenModifier,25.0,5,exact,MEASURED
skill:passive3.dbr,GLOBAL,skill,defensiveElementalResistance,24.0,12,exact,MEASURED
skill:passive3.dbr,GLOBAL,skill,defensiveTotalSpeedResistance,24.0,12,exact,MEASURED
skill:passive4.dbr,GLOBAL,skill,defensiveAbsorptionModifier,18.0,5,exact,MEASURED
skill:passive4.dbr,GLOBAL,skill,defensiveBleeding,20.0,5,exact,MEASURED
skill:passive4.dbr,GLOBAL,skill,defensiveFreeze,20.0,5,exact,MEASURED
skill:passive4.dbr,GLOBAL,skill,defensiveStun,20.0,5,exact,MEASURED
skill:fieldcommand1.dbr,GLOBAL,skill,characterDefensiveAbility,100.0,14,exact,MEASURED
skill:fieldcommand1.dbr,GLOBAL,skill,defensiveProtectionModifier,22.0,14,exact,MEASURED
skill:_classtraining_class09.dbr,GLOBAL,skill,characterLife,1275.0,51,exact,MEASURED
skill:divinemandate1.dbr,GLOBAL,skill,defensiveTotalSpeedResistance,26.0,13,exact,MEASURED
auramod:presenceofvirtue2.dbr,GLOBAL,auramod,characterLifeModifier,16.0,10,exact,MEASURED
auramod:presenceofvirtue2.dbr,GLOBAL,auramod,defensiveBlockAmountModifier,40.0,10,exact,MEASURED
auramod:presenceofvirtue2.dbr,GLOBAL,auramod,defensiveBlockModifier,10.0,10,exact,MEASURED
auramod:presenceofvirtue3.dbr,GLOBAL,auramod,defensivePercentCurrentLife,26.0,11,exact,MEASURED
auramod:presenceofvirtue3.dbr,GLOBAL,auramod,defensivePercentReflectionResistance,26.0,11,exact,MEASURED
itemskill:gladiatorpersistence.dbr,GLOBAL,itemskill,defensiveProtectionModifier,8.0,2,scalar,MEASURED
itemskill:compa_presenceofmight_01.dbr,GLOBAL,itemskill,defensiveBleeding,12.0,1,scalar,MEASURED
itemskill:compa_presenceofmight_01.dbr,GLOBAL,itemskill,defensiveLife,12.0,1,scalar,MEASURED
itemskill:compa_presenceofmight_01.dbr,GLOBAL,itemskill,defensivePierce,12.0,1,scalar,MEASURED
itemskill:compa_presenceofmight_01.dbr,GLOBAL,itemskill,defensiveProtectionModifier,8.0,1,scalar,MEASURED
