[2026-05-22T10:07:00Z] === Track H — Met Museum Open Access API ===
[2026-05-22T10:07:00Z] DB:      /Users/admin/Games/reincarnated-loadout/data/telemetry.db
[2026-05-22T10:07:00Z] Summary: /Users/admin/Games/reincarnated-collaboration/agentic_orchestration/legolas/research/weapon-library-import-2026-05-22/summaries/track-H-met-museum-summary.json
[2026-05-22T10:07:00Z] Step 1: fetching department object list from https://collectionapi.metmuseum.org/public/collection/v1/objects?departmentIds=4
[2026-05-22T10:07:00Z]   API reports total=13753, objectIDs list length=13753
[2026-05-22T10:07:00Z] Step 2: fetching 13753 objects at ≤5 concurrent threads
[2026-05-22T10:07:00Z]   Expected wall time: ~46–55 minutes
[2026-05-22T10:08:01Z]   Progress: 103/13753 (0.7%) | inserted=0 images=0 | 404s=0 errors=15 | rate=1.7/s ETA=135.3min
[2026-05-22T10:26:09Z]   Progress: 864/13753 (6.3%) | inserted=413 images=1037 | 404s=0 errors=342 | rate=0.8/s ETA=285.8min
[2026-05-22T10:27:10Z]   Progress: 904/13753 (6.6%) | inserted=413 images=1037 | 404s=0 errors=362 | rate=0.7/s ETA=286.6min
[2026-05-22T10:28:10Z]   Progress: 942/13753 (6.8%) | inserted=413 images=1037 | 404s=0 errors=380 | rate=0.7/s ETA=287.9min
[2026-05-22T10:29:10Z]   Progress: 987/13753 (7.2%) | inserted=413 images=1037 | 404s=0 errors=400 | rate=0.7/s ETA=286.8min
[2026-05-22T10:30:12Z]   Progress: 1035/13753 (7.5%) | inserted=513 images=1294 | 404s=0 errors=420 | rate=0.7/s ETA=285.0min
[2026-05-22T10:31:12Z]   Progress: 1078/13753 (7.8%) | inserted=513 images=1294 | 404s=0 errors=440 | rate=0.7/s ETA=284.5min
[2026-05-22T10:32:16Z]   Progress: 1125/13753 (8.2%) | inserted=513 images=1294 | 404s=0 errors=453 | rate=0.7/s ETA=283.6min
[2026-05-22T10:33:16Z]   Progress: 1164/13753 (8.5%) | inserted=513 images=1294 | 404s=0 errors=473 | rate=0.7/s ETA=284.1min
[2026-05-22T10:34:16Z]   Progress: 1218/13753 (8.9%) | inserted=613 images=1307 | 404s=0 errors=493 | rate=0.7/s ETA=280.7min
[2026-05-22T10:35:16Z]   Progress: 1262/13753 (9.2%) | inserted=613 images=1307 | 404s=0 errors=513 | rate=0.7/s ETA=279.8min
[2026-05-22T10:36:16Z]   Progress: 1305/13753 (9.5%) | inserted=613 images=1307 | 404s=0 errors=533 | rate=0.7/s ETA=279.2min
[2026-05-22T10:37:17Z]   Progress: 1341/13753 (9.8%) | inserted=613 images=1307 | 404s=0 errors=553 | rate=0.7/s ETA=280.3min
[2026-05-22T10:38:17Z]   Progress: 1387/13753 (10.1%) | inserted=713 images=1437 | 404s=0 errors=575 | rate=0.7/s ETA=278.9min
[2026-05-22T10:39:31Z]   Progress: 1438/13753 (10.5%) | inserted=713 images=1437 | 404s=0 errors=598 | rate=0.7/s ETA=278.5min
[2026-05-22T10:40:31Z]   Progress: 1485/13753 (10.8%) | inserted=713 images=1437 | 404s=0 errors=621 | rate=0.7/s ETA=276.9min
[2026-05-22T10:41:31Z]   Progress: 1526/13753 (11.1%) | inserted=713 images=1437 | 404s=0 errors=638 | rate=0.7/s ETA=276.6min
[2026-05-22T10:42:31Z]   Progress: 1567/13753 (11.4%) | inserted=813 images=1504 | 404s=0 errors=660 | rate=0.7/s ETA=276.3min
[2026-05-22T10:43:31Z]   Progress: 1615/13753 (11.7%) | inserted=813 images=1504 | 404s=0 errors=678 | rate=0.7/s ETA=274.5min
[2026-05-22T10:44:32Z]   Progress: 1656/13753 (12.0%) | inserted=813 images=1504 | 404s=0 errors=701 | rate=0.7/s ETA=274.2min
[2026-05-22T10:45:46Z]   Progress: 1702/13753 (12.4%) | inserted=813 images=1504 | 404s=0 errors=723 | rate=0.7/s ETA=274.5min
[2026-05-22T10:46:46Z]   Progress: 1742/13753 (12.7%) | inserted=913 images=1634 | 404s=0 errors=742 | rate=0.7/s ETA=274.2min
[2026-05-22T10:47:46Z]   Progress: 1793/13753 (13.0%) | inserted=913 images=1634 | 404s=0 errors=762 | rate=0.7/s ETA=272.0min
[2026-05-22T10:48:46Z]   Progress: 1837/13753 (13.4%) | inserted=913 images=1634 | 404s=0 errors=782 | rate=0.7/s ETA=271.0min
[2026-05-22T10:49:47Z]   Progress: 1879/13753 (13.7%) | inserted=913 images=1634 | 404s=0 errors=802 | rate=0.7/s ETA=270.3min
[2026-05-22T10:50:59Z]   Progress: 1921/13753 (14.0%) | inserted=1013 images=1689 | 404s=0 errors=817 | rate=0.7/s ETA=271.0min
[2026-05-22T10:51:59Z]   Progress: 1971/13753 (14.3%) | inserted=1013 images=1689 | 404s=0 errors=837 | rate=0.7/s ETA=269.0min
[2026-05-22T10:52:59Z]   Progress: 2020/13753 (14.7%) | inserted=1013 images=1689 | 404s=0 errors=857 | rate=0.7/s ETA=267.2min
[2026-05-22T10:54:00Z]   Progress: 2060/13753 (15.0%) | inserted=1013 images=1689 | 404s=0 errors=876 | rate=0.7/s ETA=266.8min
[2026-05-22T10:55:00Z]   Progress: 2107/13753 (15.3%) | inserted=1113 images=1943 | 404s=0 errors=896 | rate=0.7/s ETA=265.3min
[2026-05-22T10:56:00Z]   Progress: 2151/13753 (15.6%) | inserted=1113 images=1943 | 404s=0 errors=916 | rate=0.7/s ETA=264.3min
[2026-05-22T10:57:00Z]   Progress: 2192/13753 (15.9%) | inserted=1113 images=1943 | 404s=0 errors=936 | rate=0.7/s ETA=263.7min
[2026-05-22T10:58:04Z]   Progress: 2227/13753 (16.2%) | inserted=1113 images=1943 | 404s=0 errors=948 | rate=0.7/s ETA=264.3min
[2026-05-22T10:59:08Z]   Progress: 2266/13753 (16.5%) | inserted=1113 images=1943 | 404s=0 errors=970 | rate=0.7/s ETA=264.3min
[2026-05-22T11:00:09Z]   Progress: 2307/13753 (16.8%) | inserted=1213 images=2090 | 404s=0 errors=990 | rate=0.7/s ETA=263.7min
[2026-05-22T11:01:09Z]   Progress: 2347/13753 (17.1%) | inserted=1213 images=2090 | 404s=0 errors=1010 | rate=0.7/s ETA=263.2min
[2026-05-22T11:02:21Z]   Progress: 2402/13753 (17.5%) | inserted=1213 images=2090 | 404s=0 errors=1030 | rate=0.7/s ETA=261.6min
[2026-05-22T11:03:22Z]   Progress: 2441/13753 (17.7%) | inserted=1213 images=2090 | 404s=0 errors=1050 | rate=0.7/s ETA=261.2min
[2026-05-22T11:04:22Z]   Progress: 2487/13753 (18.1%) | inserted=1313 images=2197 | 404s=0 errors=1070 | rate=0.7/s ETA=259.9min
[2026-05-22T11:05:22Z]   Progress: 2524/13753 (18.4%) | inserted=1313 images=2197 | 404s=0 errors=1090 | rate=0.7/s ETA=259.7min
[2026-05-22T11:06:24Z]   Progress: 2569/13753 (18.7%) | inserted=1313 images=2197 | 404s=0 errors=1109 | rate=0.7/s ETA=258.6min
[2026-05-22T11:07:32Z]   Progress: 2609/13753 (19.0%) | inserted=1313 images=2197 | 404s=0 errors=1130 | rate=0.7/s ETA=258.6min
[2026-05-22T11:08:33Z]   Progress: 2650/13753 (19.3%) | inserted=1413 images=2412 | 404s=0 errors=1150 | rate=0.7/s ETA=257.9min
[2026-05-22T11:09:33Z]   Progress: 2693/13753 (19.6%) | inserted=1413 images=2412 | 404s=0 errors=1170 | rate=0.7/s ETA=256.9min
[2026-05-22T11:10:33Z]   Progress: 2740/13753 (19.9%) | inserted=1413 images=2412 | 404s=0 errors=1194 | rate=0.7/s ETA=255.5min
[2026-05-22T11:11:35Z]   Progress: 2780/13753 (20.2%) | inserted=1413 images=2412 | 404s=0 errors=1214 | rate=0.7/s ETA=254.9min
[2026-05-22T11:12:35Z]   Progress: 2821/13753 (20.5%) | inserted=1413 images=2412 | 404s=0 errors=1233 | rate=0.7/s ETA=254.2min
[2026-05-22T11:13:35Z]   Progress: 2862/13753 (20.8%) | inserted=1513 images=2677 | 404s=0 errors=1253 | rate=0.7/s ETA=253.4min
[2026-05-22T11:14:35Z]   Progress: 2906/13753 (21.1%) | inserted=1513 images=2677 | 404s=0 errors=1273 | rate=0.7/s ETA=252.3min
[2026-05-22T11:15:36Z]   Progress: 2957/13753 (21.5%) | inserted=1513 images=2677 | 404s=0 errors=1292 | rate=0.7/s ETA=250.4min
[2026-05-22T11:16:36Z]   Progress: 2993/13753 (21.8%) | inserted=1513 images=2677 | 404s=0 errors=1312 | rate=0.7/s ETA=250.2min
[2026-05-22T11:17:36Z]   Progress: 3030/13753 (22.0%) | inserted=1513 images=2677 | 404s=0 errors=1332 | rate=0.7/s ETA=249.8min
[2026-05-22T11:18:48Z]   Progress: 3085/13753 (22.4%) | inserted=1613 images=2961 | 404s=0 errors=1352 | rate=0.7/s ETA=248.3min
[2026-05-22T11:20:02Z]   Progress: 3149/13753 (22.9%) | inserted=1613 images=2961 | 404s=0 errors=1370 | rate=0.7/s ETA=245.9min
[2026-05-22T11:21:02Z]   Progress: 3189/13753 (23.2%) | inserted=1613 images=2961 | 404s=0 errors=1390 | rate=0.7/s ETA=245.3min
[2026-05-22T11:22:02Z]   Progress: 3227/13753 (23.5%) | inserted=1713 images=3170 | 404s=0 errors=1412 | rate=0.7/s ETA=244.8min
[2026-05-22T11:23:02Z]   Progress: 3266/13753 (23.7%) | inserted=1713 images=3170 | 404s=0 errors=1433 | rate=0.7/s ETA=244.2min
[2026-05-22T11:24:16Z]   Progress: 3304/13753 (24.0%) | inserted=1713 images=3170 | 404s=0 errors=1454 | rate=0.7/s ETA=244.4min
[2026-05-22T11:25:16Z]   Progress: 3346/13753 (24.3%) | inserted=1713 images=3170 | 404s=0 errors=1474 | rate=0.7/s ETA=243.5min
[2026-05-22T11:26:17Z]   Progress: 3390/13753 (24.6%) | inserted=1713 images=3170 | 404s=0 errors=1494 | rate=0.7/s ETA=242.3min
[2026-05-22T11:27:17Z]   Progress: 3429/13753 (24.9%) | inserted=1813 images=3479 | 404s=0 errors=1515 | rate=0.7/s ETA=241.7min
[2026-05-22T11:28:17Z]   Progress: 3468/13753 (25.2%) | inserted=1813 images=3479 | 404s=0 errors=1538 | rate=0.7/s ETA=241.0min
[2026-05-22T11:29:17Z]   Progress: 3504/13753 (25.5%) | inserted=1813 images=3479 | 404s=0 errors=1553 | rate=0.7/s ETA=240.7min
[2026-05-22T11:30:17Z]   Progress: 3537/13753 (25.7%) | inserted=1813 images=3479 | 404s=0 errors=1564 | rate=0.7/s ETA=240.6min
[2026-05-22T11:31:17Z]   Progress: 3570/13753 (26.0%) | inserted=1813 images=3479 | 404s=0 errors=1579 | rate=0.7/s ETA=240.4min
[2026-05-22T11:32:28Z]   Progress: 3617/13753 (26.3%) | inserted=1913 images=3543 | 404s=0 errors=1595 | rate=0.7/s ETA=239.5min
[2026-05-22T11:34:26Z]   Progress: 3638/13753 (26.5%) | inserted=1913 images=3543 | 404s=0 errors=1610 | rate=0.7/s ETA=243.1min
[2026-05-22T11:35:29Z]   Progress: 3741/13753 (27.2%) | inserted=2013 images=3835 | 404s=0 errors=1629 | rate=0.7/s ETA=236.8min
[2026-05-22T11:36:42Z]   Progress: 3808/13753 (27.7%) | inserted=2013 images=3835 | 404s=0 errors=1645 | rate=0.7/s ETA=234.3min
[2026-05-22T11:37:55Z]   Progress: 3855/13753 (28.0%) | inserted=2013 images=3835 | 404s=0 errors=1665 | rate=0.7/s ETA=233.4min
[2026-05-22T11:39:08Z]   Progress: 3903/13753 (28.4%) | inserted=2113 images=3965 | 404s=0 errors=1685 | rate=0.7/s ETA=232.5min
[2026-05-22T11:40:21Z]   Progress: 3958/13753 (28.8%) | inserted=2113 images=3965 | 404s=0 errors=1705 | rate=0.7/s ETA=231.0min
[2026-05-22T11:41:23Z]   Progress: 3996/13753 (29.1%) | inserted=2113 images=3965 | 404s=0 errors=1724 | rate=0.7/s ETA=230.5min
[2026-05-22T11:42:23Z]   Progress: 4041/13753 (29.4%) | inserted=2113 images=3965 | 404s=0 errors=1743 | rate=0.7/s ETA=229.3min
[2026-05-22T11:43:23Z]   Progress: 4088/13753 (29.7%) | inserted=2213 images=4281 | 404s=0 errors=1763 | rate=0.7/s ETA=227.9min
[2026-05-22T11:44:23Z]   Progress: 4122/13753 (30.0%) | inserted=2213 images=4281 | 404s=0 errors=1783 | rate=0.7/s ETA=227.6min
[2026-05-22T11:45:24Z]   Progress: 4158/13753 (30.2%) | inserted=2213 images=4281 | 404s=0 errors=1803 | rate=0.7/s ETA=227.1min
[2026-05-22T11:46:28Z]   Progress: 4192/13753 (30.5%) | inserted=2213 images=4281 | 404s=0 errors=1815 | rate=0.7/s ETA=226.9min
[2026-05-22T11:47:39Z]   Progress: 4238/13753 (30.8%) | inserted=2313 images=4365 | 404s=0 errors=1831 | rate=0.7/s ETA=226.0min
[2026-05-22T11:48:43Z]   Progress: 4278/13753 (31.1%) | inserted=2313 images=4365 | 404s=0 errors=1851 | rate=0.7/s ETA=225.3min
[2026-05-22T11:49:43Z]   Progress: 4311/13753 (31.3%) | inserted=2313 images=4365 | 404s=0 errors=1871 | rate=0.7/s ETA=225.0min
[2026-05-22T11:50:43Z]   Progress: 4348/13753 (31.6%) | inserted=2313 images=4365 | 404s=0 errors=1889 | rate=0.7/s ETA=224.4min
[2026-05-22T11:51:47Z]   Progress: 4380/13753 (31.8%) | inserted=2313 images=4365 | 404s=0 errors=1905 | rate=0.7/s ETA=224.2min
[2026-05-22T11:52:52Z]   Progress: 4415/13753 (32.1%) | inserted=2313 images=4365 | 404s=0 errors=1925 | rate=0.7/s ETA=223.9min
[2026-05-22T11:53:53Z]   Progress: 4449/13753 (32.3%) | inserted=2413 images=4519 | 404s=0 errors=1944 | rate=0.7/s ETA=223.5min
[2026-05-22T11:54:53Z]   Progress: 4487/13753 (32.6%) | inserted=2413 images=4519 | 404s=0 errors=1964 | rate=0.7/s ETA=222.8min
[2026-05-22T11:55:54Z]   Progress: 4531/13753 (32.9%) | inserted=2413 images=4519 | 404s=0 errors=1980 | rate=0.7/s ETA=221.6min
[2026-05-22T11:57:06Z]   Progress: 4570/13753 (33.2%) | inserted=2413 images=4519 | 404s=0 errors=1999 | rate=0.7/s ETA=221.2min
[2026-05-22T11:58:06Z]   Progress: 4605/13753 (33.5%) | inserted=2413 images=4519 | 404s=0 errors=2014 | rate=0.7/s ETA=220.7min
[2026-05-22T11:59:06Z]   Progress: 4643/13753 (33.8%) | inserted=2513 images=4679 | 404s=0 errors=2034 | rate=0.7/s ETA=220.0min
[2026-05-22T12:00:07Z]   Progress: 4682/13753 (34.0%) | inserted=2513 images=4679 | 404s=0 errors=2054 | rate=0.7/s ETA=219.2min
[2026-05-22T12:01:07Z]   Progress: 4722/13753 (34.3%) | inserted=2513 images=4679 | 404s=0 errors=2074 | rate=0.7/s ETA=218.3min
[2026-05-22T12:02:13Z]   Progress: 4763/13753 (34.6%) | inserted=2513 images=4679 | 404s=0 errors=2090 | rate=0.7/s ETA=217.5min
[2026-05-22T12:03:14Z]   Progress: 4803/13753 (34.9%) | inserted=2513 images=4679 | 404s=0 errors=2105 | rate=0.7/s ETA=216.6min
[2026-05-22T12:04:14Z]   Progress: 4844/13753 (35.2%) | inserted=2613 images=4788 | 404s=0 errors=2125 | rate=0.7/s ETA=215.6min
[2026-05-22T12:05:28Z]   Progress: 4884/13753 (35.5%) | inserted=2613 images=4788 | 404s=0 errors=2150 | rate=0.7/s ETA=215.1min
[2026-05-22T12:06:29Z]   Progress: 4927/13753 (35.8%) | inserted=2613 images=4788 | 404s=0 errors=2165 | rate=0.7/s ETA=214.1min
[2026-05-22T12:07:42Z]   Progress: 4974/13753 (36.2%) | inserted=2613 images=4788 | 404s=0 errors=2180 | rate=0.7/s ETA=213.0min
[2026-05-22T12:08:55Z]   Progress: 5016/13753 (36.5%) | inserted=2713 images=4912 | 404s=0 errors=2200 | rate=0.7/s ETA=212.4min
[2026-05-22T12:10:07Z]   Progress: 5060/13753 (36.8%) | inserted=2713 images=4912 | 404s=0 errors=2222 | rate=0.7/s ETA=211.5min
[2026-05-22T12:11:09Z]   Progress: 5097/13753 (37.1%) | inserted=2713 images=4912 | 404s=0 errors=2244 | rate=0.7/s ETA=210.8min
[2026-05-22T12:12:21Z]   Progress: 5141/13753 (37.4%) | inserted=2713 images=4912 | 404s=0 errors=2264 | rate=0.7/s ETA=210.0min
[2026-05-22T12:13:23Z]   Progress: 5182/13753 (37.7%) | inserted=2713 images=4912 | 404s=0 errors=2288 | rate=0.7/s ETA=209.1min
[2026-05-22T12:14:23Z]   Progress: 5220/13753 (38.0%) | inserted=2813 images=5145 | 404s=0 errors=2308 | rate=0.7/s ETA=208.2min
[2026-05-22T12:15:23Z]   Progress: 5276/13753 (38.4%) | inserted=2813 images=5145 | 404s=0 errors=2327 | rate=0.7/s ETA=206.3min
[2026-05-22T12:16:24Z]   Progress: 5308/13753 (38.6%) | inserted=2813 images=5145 | 404s=0 errors=2347 | rate=0.7/s ETA=205.9min
[2026-05-22T12:17:24Z]   Progress: 5346/13753 (38.9%) | inserted=2813 images=5145 | 404s=0 errors=2367 | rate=0.7/s ETA=205.1min
[2026-05-22T12:18:24Z]   Progress: 5382/13753 (39.1%) | inserted=2813 images=5145 | 404s=0 errors=2387 | rate=0.7/s ETA=204.4min
[2026-05-22T12:19:37Z]   Progress: 5439/13753 (39.5%) | inserted=2913 images=5374 | 404s=0 errors=2402 | rate=0.7/s ETA=202.7min
[2026-05-22T12:20:37Z]   Progress: 5482/13753 (39.9%) | inserted=2913 images=5374 | 404s=0 errors=2422 | rate=0.7/s ETA=201.6min
[2026-05-22T12:21:38Z]   Progress: 5517/13753 (40.1%) | inserted=2913 images=5374 | 404s=0 errors=2442 | rate=0.7/s ETA=201.0min
[2026-05-22T12:22:38Z]   Progress: 5554/13753 (40.4%) | inserted=2913 images=5374 | 404s=0 errors=2464 | rate=0.7/s ETA=200.2min
[2026-05-22T12:23:38Z]   Progress: 5597/13753 (40.7%) | inserted=3013 images=5510 | 404s=0 errors=2483 | rate=0.7/s ETA=199.1min
[2026-05-22T12:24:38Z]   Progress: 5628/13753 (40.9%) | inserted=3013 images=5510 | 404s=0 errors=2501 | rate=0.7/s ETA=198.7min
[2026-05-22T12:25:39Z]   Progress: 5670/13753 (41.2%) | inserted=3013 images=5510 | 404s=0 errors=2516 | rate=0.7/s ETA=197.7min
[2026-05-22T12:26:52Z]   Progress: 5711/13753 (41.5%) | inserted=3013 images=5510 | 404s=0 errors=2536 | rate=0.7/s ETA=197.0min
[2026-05-22T12:28:04Z]   Progress: 5755/13753 (41.8%) | inserted=3013 images=5510 | 404s=0 errors=2556 | rate=0.7/s ETA=196.1min
[2026-05-22T12:29:04Z]   Progress: 5790/13753 (42.1%) | inserted=3113 images=5777 | 404s=0 errors=2576 | rate=0.7/s ETA=195.4min
[2026-05-22T12:30:05Z]   Progress: 5826/13753 (42.4%) | inserted=3113 images=5777 | 404s=0 errors=2596 | rate=0.7/s ETA=194.7min
[2026-05-22T12:31:05Z]   Progress: 5863/13753 (42.6%) | inserted=3113 images=5777 | 404s=0 errors=2616 | rate=0.7/s ETA=193.9min
[2026-05-22T12:32:05Z]   Progress: 5902/13753 (42.9%) | inserted=3113 images=5777 | 404s=0 errors=2638 | rate=0.7/s ETA=193.0min
[2026-05-22T12:33:19Z]   Progress: 5940/13753 (43.2%) | inserted=3113 images=5777 | 404s=0 errors=2661 | rate=0.7/s ETA=192.5min
[2026-05-22T12:34:20Z]   Progress: 5979/13753 (43.5%) | inserted=3113 images=5777 | 404s=0 errors=2683 | rate=0.7/s ETA=191.6min
[2026-05-22T12:35:20Z]   Progress: 6020/13753 (43.8%) | inserted=3213 images=6002 | 404s=0 errors=2695 | rate=0.7/s ETA=190.5min
[2026-05-22T12:36:32Z]   Progress: 6068/13753 (44.1%) | inserted=3213 images=6002 | 404s=0 errors=2711 | rate=0.7/s ETA=189.4min
[2026-05-22T12:37:32Z]   Progress: 6111/13753 (44.4%) | inserted=3213 images=6002 | 404s=0 errors=2730 | rate=0.7/s ETA=188.3min
[2026-05-22T12:38:34Z]   Progress: 6153/13753 (44.7%) | inserted=3313 images=6117 | 404s=0 errors=2741 | rate=0.7/s ETA=187.2min
[2026-05-22T12:39:46Z]   Progress: 6190/13753 (45.0%) | inserted=3313 images=6117 | 404s=0 errors=2762 | rate=0.7/s ETA=186.7min
[2026-05-22T12:40:46Z]   Progress: 6231/13753 (45.3%) | inserted=3313 images=6117 | 404s=0 errors=2782 | rate=0.7/s ETA=185.6min
[2026-05-22T12:41:47Z]   Progress: 6275/13753 (45.6%) | inserted=3313 images=6117 | 404s=0 errors=2803 | rate=0.7/s ETA=184.5min
[2026-05-22T12:42:47Z]   Progress: 6310/13753 (45.9%) | inserted=3313 images=6117 | 404s=0 errors=2818 | rate=0.7/s ETA=183.8min
[2026-05-22T12:43:47Z]   Progress: 6344/13753 (46.1%) | inserted=3413 images=6123 | 404s=0 errors=2829 | rate=0.7/s ETA=183.1min
[2026-05-22T12:44:48Z]   Progress: 6382/13753 (46.4%) | inserted=3413 images=6123 | 404s=0 errors=2847 | rate=0.7/s ETA=182.3min
[2026-05-22T12:45:49Z]   Progress: 6419/13753 (46.7%) | inserted=3413 images=6123 | 404s=0 errors=2866 | rate=0.7/s ETA=181.5min
[2026-05-22T12:46:49Z]   Progress: 6459/13753 (47.0%) | inserted=3413 images=6123 | 404s=0 errors=2886 | rate=0.7/s ETA=180.5min
[2026-05-22T12:47:49Z]   Progress: 6497/13753 (47.2%) | inserted=3413 images=6123 | 404s=0 errors=2906 | rate=0.7/s ETA=179.6min
[2026-05-22T12:48:50Z]   Progress: 6537/13753 (47.5%) | inserted=3513 images=6163 | 404s=0 errors=2927 | rate=0.7/s ETA=178.6min
[2026-05-22T12:49:59Z]   Progress: 6579/13753 (47.8%) | inserted=3513 images=6163 | 404s=0 errors=2951 | rate=0.7/s ETA=177.7min
[2026-05-22T12:51:04Z]   Progress: 6619/13753 (48.1%) | inserted=3513 images=6163 | 404s=0 errors=2971 | rate=0.7/s ETA=176.8min
[2026-05-22T12:52:04Z]   Progress: 6658/13753 (48.4%) | inserted=3513 images=6163 | 404s=0 errors=2994 | rate=0.7/s ETA=175.9min
[2026-05-22T12:53:18Z]   Progress: 6697/13753 (48.7%) | inserted=3513 images=6163 | 404s=0 errors=3016 | rate=0.7/s ETA=175.2min
[2026-05-22T12:54:18Z]   Progress: 6737/13753 (49.0%) | inserted=3613 images=6200 | 404s=0 errors=3036 | rate=0.7/s ETA=174.2min
[2026-05-22T12:55:18Z]   Progress: 6779/13753 (49.3%) | inserted=3613 images=6200 | 404s=0 errors=3056 | rate=0.7/s ETA=173.2min
[2026-05-22T12:56:18Z]   Progress: 6818/13753 (49.6%) | inserted=3613 images=6200 | 404s=0 errors=3077 | rate=0.7/s ETA=172.2min
[2026-05-22T12:57:19Z]   Progress: 6857/13753 (49.9%) | inserted=3613 images=6200 | 404s=0 errors=3098 | rate=0.7/s ETA=171.3min
[2026-05-22T12:58:19Z]   Progress: 6893/13753 (50.1%) | inserted=3613 images=6200 | 404s=0 errors=3116 | rate=0.7/s ETA=170.5min
[2026-05-22T12:59:19Z]   Progress: 6933/13753 (50.4%) | inserted=3613 images=6200 | 404s=0 errors=3139 | rate=0.7/s ETA=169.5min
[2026-05-22T13:00:19Z]   Progress: 6972/13753 (50.7%) | inserted=3713 images=6200 | 404s=0 errors=3158 | rate=0.7/s ETA=168.6min
[2026-05-22T13:01:19Z]   Progress: 7009/13753 (51.0%) | inserted=3713 images=6200 | 404s=0 errors=3179 | rate=0.7/s ETA=167.7min
[2026-05-22T13:02:19Z]   Progress: 7049/13753 (51.3%) | inserted=3713 images=6200 | 404s=0 errors=3200 | rate=0.7/s ETA=166.7min
[2026-05-22T13:03:33Z]   Progress: 7097/13753 (51.6%) | inserted=3713 images=6200 | 404s=0 errors=3221 | rate=0.7/s ETA=165.6min
[2026-05-22T13:04:33Z]   Progress: 7141/13753 (51.9%) | inserted=3813 images=6247 | 404s=0 errors=3241 | rate=0.7/s ETA=164.4min
[2026-05-22T13:05:34Z]   Progress: 7183/13753 (52.2%) | inserted=3813 images=6247 | 404s=0 errors=3261 | rate=0.7/s ETA=163.3min
[2026-05-22T13:06:34Z]   Progress: 7222/13753 (52.5%) | inserted=3813 images=6247 | 404s=0 errors=3281 | rate=0.7/s ETA=162.4min
[2026-05-22T13:07:36Z]   Progress: 7264/13753 (52.8%) | inserted=3813 images=6247 | 404s=0 errors=3304 | rate=0.7/s ETA=161.3min
