point,who,record,bio,life_eq,charLevel_eq,spawn,cl_mode,charLevel,own_lifemod,glad_src,M,base_life,eHP
p04,Korvaak's Tomb Guardian,records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,bio_boss_tombguardian,((charLevel*33)^1.5)+500,charLevel*1,103,floor,103.0,0.0,w160(i159),10.04,198664.90657782977,1994595.6620414106
p04,Korvaak's Tomb Guardian,records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,bio_boss_tombguardian,((charLevel*33)^1.5)+500,charLevel*1,103,floor,103.0,0.0,w159/i158,10.02,198664.90657782977,1990622.363909854
p04,Korvaak's Tomb Guardian,records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,bio_boss_tombguardian,((charLevel*33)^1.5)+500,charLevel*1,105,float,105.0,0.0,w160(i159),10.04,204464.62836727352,2052824.868807426
p04,Korvaak's Tomb Guardian,records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,bio_boss_tombguardian,((charLevel*33)^1.5)+500,charLevel*1,105,float,105.0,0.0,w159/i158,10.02,204464.62836727352,2048735.5762400806
p04,Korvaak's Tomb Guardian,records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,bio_boss_tombguardian,((charLevel*33)^1.5)+500,charLevel*1,105,floor,105.0,0.0,w160(i159),10.04,204464.62836727352,2052824.868807426
p04,Korvaak's Tomb Guardian,records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,bio_boss_tombguardian,((charLevel*33)^1.5)+500,charLevel*1,105,floor,105.0,0.0,w159/i158,10.02,204464.62836727352,2048735.5762400806
p06,Ulda Emberclaw,records/creatures/enemies/hero/wendigocannibal_h01.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,104,float,106.0,0.0,w160(i159),10.04,39795.10135614375,399542.8176156832
p06,Ulda Emberclaw,records/creatures/enemies/hero/wendigocannibal_h01.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,104,float,106.0,0.0,w159/i158,10.02,39795.10135614375,398746.91558856034
p06,Ulda Emberclaw,records/creatures/enemies/hero/wendigocannibal_h01.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,104,floor,106.0,0.0,w160(i159),10.04,39795.10135614375,399542.8176156832
p06,Ulda Emberclaw,records/creatures/enemies/hero/wendigocannibal_h01.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,104,floor,106.0,0.0,w159/i158,10.02,39795.10135614375,398746.91558856034
p06,Ulda Emberclaw,records/creatures/enemies/hero/wendigocannibal_h01.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,105,float,107.0,0.0,w160(i159),10.04,40359.849343453476,405212.8874082729
p06,Ulda Emberclaw,records/creatures/enemies/hero/wendigocannibal_h01.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,105,float,107.0,0.0,w159/i158,10.02,40359.849343453476,404405.6904214038
p06,Ulda Emberclaw,records/creatures/enemies/hero/wendigocannibal_h01.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,105,floor,107.0,0.0,w160(i159),10.04,40359.849343453476,405212.8874082729
p06,Ulda Emberclaw,records/creatures/enemies/hero/wendigocannibal_h01.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,105,floor,107.0,0.0,w159/i158,10.02,40359.849343453476,404405.6904214038
p06,Haldra the Bloodlust,records/creatures/enemies/hero/wendigocannibal_h02.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,104,float,106.0,0.0,w160(i159),10.04,39795.10135614375,399542.8176156832
p06,Haldra the Bloodlust,records/creatures/enemies/hero/wendigocannibal_h02.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,104,float,106.0,0.0,w159/i158,10.02,39795.10135614375,398746.91558856034
p06,Haldra the Bloodlust,records/creatures/enemies/hero/wendigocannibal_h02.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,104,floor,106.0,0.0,w160(i159),10.04,39795.10135614375,399542.8176156832
p06,Haldra the Bloodlust,records/creatures/enemies/hero/wendigocannibal_h02.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,104,floor,106.0,0.0,w159/i158,10.02,39795.10135614375,398746.91558856034
p06,Haldra the Bloodlust,records/creatures/enemies/hero/wendigocannibal_h02.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,105,float,107.0,0.0,w160(i159),10.04,40359.849343453476,405212.8874082729
p06,Haldra the Bloodlust,records/creatures/enemies/hero/wendigocannibal_h02.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,105,float,107.0,0.0,w159/i158,10.02,40359.849343453476,404405.6904214038
p06,Haldra the Bloodlust,records/creatures/enemies/hero/wendigocannibal_h02.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,105,floor,107.0,0.0,w160(i159),10.04,40359.849343453476,405212.8874082729
p06,Haldra the Bloodlust,records/creatures/enemies/hero/wendigocannibal_h02.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,105,floor,107.0,0.0,w159/i158,10.02,40359.849343453476,404405.6904214038
p06,Palros Protector of the Pack ~ Defender,records/creatures/enemies/hero/wendigocannibal_h03.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,104,float,106.0,0.0,w160(i159),10.04,39795.10135614375,399542.8176156832
p06,Palros Protector of the Pack ~ Defender,records/creatures/enemies/hero/wendigocannibal_h03.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,104,float,106.0,0.0,w159/i158,10.02,39795.10135614375,398746.91558856034
p06,Palros Protector of the Pack ~ Defender,records/creatures/enemies/hero/wendigocannibal_h03.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,104,floor,106.0,0.0,w160(i159),10.04,39795.10135614375,399542.8176156832
p06,Palros Protector of the Pack ~ Defender,records/creatures/enemies/hero/wendigocannibal_h03.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,104,floor,106.0,0.0,w159/i158,10.02,39795.10135614375,398746.91558856034
p06,Palros Protector of the Pack ~ Defender,records/creatures/enemies/hero/wendigocannibal_h03.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,105,float,107.0,0.0,w160(i159),10.04,40359.849343453476,405212.8874082729
p06,Palros Protector of the Pack ~ Defender,records/creatures/enemies/hero/wendigocannibal_h03.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,105,float,107.0,0.0,w159/i158,10.02,40359.849343453476,404405.6904214038
p06,Palros Protector of the Pack ~ Defender,records/creatures/enemies/hero/wendigocannibal_h03.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,105,floor,107.0,0.0,w160(i159),10.04,40359.849343453476,405212.8874082729
p06,Palros Protector of the Pack ~ Defender,records/creatures/enemies/hero/wendigocannibal_h03.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,105,floor,107.0,0.0,w159/i158,10.02,40359.849343453476,404405.6904214038
p06,Allcadius the Unburied ~ Reflective,records/creatures/enemies/hero/wendigocannibal_h04.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,104,float,106.0,0.0,w160(i159),10.04,39795.10135614375,399542.8176156832
p06,Allcadius the Unburied ~ Reflective,records/creatures/enemies/hero/wendigocannibal_h04.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,104,float,106.0,0.0,w159/i158,10.02,39795.10135614375,398746.91558856034
p06,Allcadius the Unburied ~ Reflective,records/creatures/enemies/hero/wendigocannibal_h04.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,104,floor,106.0,0.0,w160(i159),10.04,39795.10135614375,399542.8176156832
p06,Allcadius the Unburied ~ Reflective,records/creatures/enemies/hero/wendigocannibal_h04.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,104,floor,106.0,0.0,w159/i158,10.02,39795.10135614375,398746.91558856034
p06,Allcadius the Unburied ~ Reflective,records/creatures/enemies/hero/wendigocannibal_h04.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,105,float,107.0,0.0,w160(i159),10.04,40359.849343453476,405212.8874082729
p06,Allcadius the Unburied ~ Reflective,records/creatures/enemies/hero/wendigocannibal_h04.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,105,float,107.0,0.0,w159/i158,10.02,40359.849343453476,404405.6904214038
p06,Allcadius the Unburied ~ Reflective,records/creatures/enemies/hero/wendigocannibal_h04.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,105,floor,107.0,0.0,w160(i159),10.04,40359.849343453476,405212.8874082729
p06,Allcadius the Unburied ~ Reflective,records/creatures/enemies/hero/wendigocannibal_h04.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,105,floor,107.0,0.0,w159/i158,10.02,40359.849343453476,404405.6904214038
p06,Gaddo Evergrown ~ Bramble,records/creatures/enemies/hero/wendigocannibal_h05.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,104,float,106.0,0.0,w160(i159),10.04,39795.10135614375,399542.8176156832
p06,Gaddo Evergrown ~ Bramble,records/creatures/enemies/hero/wendigocannibal_h05.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,104,float,106.0,0.0,w159/i158,10.02,39795.10135614375,398746.91558856034
p06,Gaddo Evergrown ~ Bramble,records/creatures/enemies/hero/wendigocannibal_h05.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,104,floor,106.0,0.0,w160(i159),10.04,39795.10135614375,399542.8176156832
p06,Gaddo Evergrown ~ Bramble,records/creatures/enemies/hero/wendigocannibal_h05.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,104,floor,106.0,0.0,w159/i158,10.02,39795.10135614375,398746.91558856034
p06,Gaddo Evergrown ~ Bramble,records/creatures/enemies/hero/wendigocannibal_h05.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,105,float,107.0,0.0,w160(i159),10.04,40359.849343453476,405212.8874082729
p06,Gaddo Evergrown ~ Bramble,records/creatures/enemies/hero/wendigocannibal_h05.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,105,float,107.0,0.0,w159/i158,10.02,40359.849343453476,404405.6904214038
p06,Gaddo Evergrown ~ Bramble,records/creatures/enemies/hero/wendigocannibal_h05.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,105,floor,107.0,0.0,w160(i159),10.04,40359.849343453476,405212.8874082729
p06,Gaddo Evergrown ~ Bramble,records/creatures/enemies/hero/wendigocannibal_h05.dbr,bio_hero_standard_01,((charLevel*11)^1.50)-20,(charLevel*1)+2,105,floor,107.0,0.0,w159/i158,10.02,40359.849343453476,404405.6904214038
p01,Reanimator - Valdaran,records/creatures/enemies/nemesis/nemesis_aetherial_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1+2,106,float,108.0,0.0,w160(i159),10.04,325498.84231531876,3268008.3768458003
p01,Reanimator - Valdaran,records/creatures/enemies/nemesis/nemesis_aetherial_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1+2,106,float,108.0,0.0,w159/i158,10.02,325498.84231531876,3261498.3999994937
p01,Reanimator - Valdaran,records/creatures/enemies/nemesis/nemesis_aetherial_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1+2,106,floor,108.0,0.0,w160(i159),10.04,325498.84231531876,3268008.3768458003
p01,Reanimator - Valdaran,records/creatures/enemies/nemesis/nemesis_aetherial_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1+2,106,floor,108.0,0.0,w159/i158,10.02,325498.84231531876,3261498.3999994937
p03,nemesis_aetherialvanguard_01,records/creatures/enemies/nemesis/nemesis_aetherialvanguard_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1+5,106,float,111.0,0.0,w160(i159),10.04,338315.9523618004,3396692.161712476
p03,nemesis_aetherialvanguard_01,records/creatures/enemies/nemesis/nemesis_aetherialvanguard_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1+5,106,float,111.0,0.0,w159/i158,10.02,338315.9523618004,3389925.84266524
p03,nemesis_aetherialvanguard_01,records/creatures/enemies/nemesis/nemesis_aetherialvanguard_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1+5,106,floor,111.0,0.0,w160(i159),10.04,338315.9523618004,3396692.161712476
p03,nemesis_aetherialvanguard_01,records/creatures/enemies/nemesis/nemesis_aetherialvanguard_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1+5,106,floor,111.0,0.0,w159/i158,10.02,338315.9523618004,3389925.84266524
p02,nemesis_beast_01_p1,records/creatures/enemies/nemesis/nemesis_beast_01_p1.dbr,bio_boss_nemesis3phase_01,((charLevel*36)^1.5)+16000,(charLevel*1.1)+2,106,float,118.60000000000001,0.0,w160(i159),10.04,294984.9558122015,2961648.9563545026
p02,nemesis_beast_01_p1,records/creatures/enemies/nemesis/nemesis_beast_01_p1.dbr,bio_boss_nemesis3phase_01,((charLevel*36)^1.5)+16000,(charLevel*1.1)+2,106,float,118.60000000000001,0.0,w159/i158,10.02,294984.9558122015,2955749.2572382586
p02,nemesis_beast_01_p1,records/creatures/enemies/nemesis/nemesis_beast_01_p1.dbr,bio_boss_nemesis3phase_01,((charLevel*36)^1.5)+16000,(charLevel*1.1)+2,106,floor,118.0,0.0,w160(i159),10.04,292870.5491597111,2940420.313563499
p02,nemesis_beast_01_p1,records/creatures/enemies/nemesis/nemesis_beast_01_p1.dbr,bio_boss_nemesis3phase_01,((charLevel*36)^1.5)+16000,(charLevel*1.1)+2,106,floor,118.0,0.0,w159/i158,10.02,292870.5491597111,2934562.902580305
p02,Borreus the Underking,records/creatures/enemies/nemesis/nemesis_beast_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,float,118.60000000000001,0.0,w160(i159),10.04,371561.22504526586,3730474.699454469
p02,Borreus the Underking,records/creatures/enemies/nemesis/nemesis_beast_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,float,118.60000000000001,0.0,w159/i158,10.02,371561.22504526586,3723043.474953564
p02,Borreus the Underking,records/creatures/enemies/nemesis/nemesis_beast_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,floor,118.0,0.0,w160(i159),10.04,368896.76813636435,3703723.552089098
p02,Borreus the Underking,records/creatures/enemies/nemesis/nemesis_beast_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,floor,118.0,0.0,w159/i158,10.02,368896.76813636435,3696345.6167263705
p01,Defiler - Benn'Jahr,records/creatures/enemies/nemesis/nemesis_chthonian_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,float,118.60000000000001,0.0,w160(i159),10.04,371561.22504526586,3730474.699454469
p01,Defiler - Benn'Jahr,records/creatures/enemies/nemesis/nemesis_chthonian_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,float,118.60000000000001,0.0,w159/i158,10.02,371561.22504526586,3723043.474953564
p01,Defiler - Benn'Jahr,records/creatures/enemies/nemesis/nemesis_chthonian_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,floor,118.0,0.0,w160(i159),10.04,368896.76813636435,3703723.552089098
p01,Defiler - Benn'Jahr,records/creatures/enemies/nemesis/nemesis_chthonian_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,floor,118.0,0.0,w159/i158,10.02,368896.76813636435,3696345.6167263705
p02,nemesis_chthonianvoidborn_01,records/creatures/enemies/nemesis/nemesis_chthonianvoidborn_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,float,118.60000000000001,0.0,w160(i159),10.04,371561.22504526586,3730474.699454469
p02,nemesis_chthonianvoidborn_01,records/creatures/enemies/nemesis/nemesis_chthonianvoidborn_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,float,118.60000000000001,0.0,w159/i158,10.02,371561.22504526586,3723043.474953564
p02,nemesis_chthonianvoidborn_01,records/creatures/enemies/nemesis/nemesis_chthonianvoidborn_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,floor,118.0,0.0,w160(i159),10.04,368896.76813636435,3703723.552089098
p02,nemesis_chthonianvoidborn_01,records/creatures/enemies/nemesis/nemesis_chthonianvoidborn_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,floor,118.0,0.0,w159/i158,10.02,368896.76813636435,3696345.6167263705
p01,Curate Ignus,records/creatures/enemies/nemesis/nemesis_kymon_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,float,118.60000000000001,0.0,w160(i159),10.04,371561.22504526586,3730474.699454469
p01,Curate Ignus,records/creatures/enemies/nemesis/nemesis_kymon_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,float,118.60000000000001,0.0,w159/i158,10.02,371561.22504526586,3723043.474953564
p01,Curate Ignus,records/creatures/enemies/nemesis/nemesis_kymon_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,floor,118.0,0.0,w160(i159),10.04,368896.76813636435,3703723.552089098
p01,Curate Ignus,records/creatures/enemies/nemesis/nemesis_kymon_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,floor,118.0,0.0,w159/i158,10.02,368896.76813636435,3696345.6167263705
p01,Heavy - The Iron Maiden,records/creatures/enemies/nemesis/nemesis_kymon_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1,106,float,106.0,0.0,w160(i159),10.04,317052.17287203943,3183203.8156352756
p01,Heavy - The Iron Maiden,records/creatures/enemies/nemesis/nemesis_kymon_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1,106,float,106.0,0.0,w159/i158,10.02,317052.17287203943,3176862.772177835
p01,Heavy - The Iron Maiden,records/creatures/enemies/nemesis/nemesis_kymon_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1,106,floor,106.0,0.0,w160(i159),10.04,317052.17287203943,3183203.8156352756
p01,Heavy - The Iron Maiden,records/creatures/enemies/nemesis/nemesis_kymon_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1,106,floor,106.0,0.0,w159/i158,10.02,317052.17287203943,3176862.772177835
p01,Necromancer - Zantarin,records/creatures/enemies/nemesis/nemesis_orderdeathsvigil_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1,106,float,106.0,0.0,w160(i159),10.04,317052.17287203943,3183203.8156352756
p01,Necromancer - Zantarin,records/creatures/enemies/nemesis/nemesis_orderdeathsvigil_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1,106,float,106.0,0.0,w159/i158,10.02,317052.17287203943,3176862.772177835
p01,Necromancer - Zantarin,records/creatures/enemies/nemesis/nemesis_orderdeathsvigil_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1,106,floor,106.0,0.0,w160(i159),10.04,317052.17287203943,3183203.8156352756
p01,Necromancer - Zantarin,records/creatures/enemies/nemesis/nemesis_orderdeathsvigil_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1,106,floor,106.0,0.0,w159/i158,10.02,317052.17287203943,3176862.772177835
p01,Shriek,records/creatures/enemies/nemesis/nemesis_orderdeathsvigil_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,float,118.60000000000001,0.0,w160(i159),10.04,371561.22504526586,3730474.699454469
p01,Shriek,records/creatures/enemies/nemesis/nemesis_orderdeathsvigil_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,float,118.60000000000001,0.0,w159/i158,10.02,371561.22504526586,3723043.474953564
p01,Shriek,records/creatures/enemies/nemesis/nemesis_orderdeathsvigil_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,floor,118.0,0.0,w160(i159),10.04,368896.76813636435,3703723.552089098
p01,Shriek,records/creatures/enemies/nemesis/nemesis_orderdeathsvigil_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,floor,118.0,0.0,w159/i158,10.02,368896.76813636435,3696345.6167263705
p01,Assassin - Fabius,records/creatures/enemies/nemesis/nemesis_outlaw_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1,106,float,106.0,0.0,w160(i159),10.04,317052.17287203943,3183203.8156352756
p01,Assassin - Fabius,records/creatures/enemies/nemesis/nemesis_outlaw_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1,106,float,106.0,0.0,w159/i158,10.02,317052.17287203943,3176862.772177835
p01,Assassin - Fabius,records/creatures/enemies/nemesis/nemesis_outlaw_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1,106,floor,106.0,0.0,w160(i159),10.04,317052.17287203943,3183203.8156352756
p01,Assassin - Fabius,records/creatures/enemies/nemesis/nemesis_outlaw_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,charLevel*1,106,floor,106.0,0.0,w159/i158,10.02,317052.17287203943,3176862.772177835
p01,Vinn the Giant Ozmald,records/creatures/enemies/nemesis/nemesis_outlaw_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,float,118.60000000000001,0.0,w160(i159),10.04,371561.22504526586,3730474.699454469
p01,Vinn the Giant Ozmald,records/creatures/enemies/nemesis/nemesis_outlaw_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,float,118.60000000000001,0.0,w159/i158,10.02,371561.22504526586,3723043.474953564
p01,Vinn the Giant Ozmald,records/creatures/enemies/nemesis/nemesis_outlaw_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,floor,118.0,0.0,w160(i159),10.04,368896.76813636435,3703723.552089098
p01,Vinn the Giant Ozmald,records/creatures/enemies/nemesis/nemesis_outlaw_02.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,floor,118.0,0.0,w159/i158,10.02,368896.76813636435,3696345.6167263705
p01,Raddoth,records/creatures/enemies/nemesis/nemesis_undead_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,float,118.60000000000001,100.0,w160(i159),11.04,371561.22504526586,4102035.924499735
p01,Raddoth,records/creatures/enemies/nemesis/nemesis_undead_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,float,118.60000000000001,100.0,w159/i158,11.02,371561.22504526586,4094604.6999988295
p01,Raddoth,records/creatures/enemies/nemesis/nemesis_undead_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,floor,118.0,100.0,w160(i159),11.04,368896.76813636435,4072620.3202254623
p01,Raddoth,records/creatures/enemies/nemesis/nemesis_undead_01.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1.1)+2,106,floor,118.0,100.0,w159/i158,11.02,368896.76813636435,4065242.384862735
p01,Golem P2 - Moosilauke,records/creatures/enemies/nemesis/nemesis_undead_02b.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1),106,float,106.0,0.0,w160(i159),10.04,317052.17287203943,3183203.8156352756
p01,Golem P2 - Moosilauke,records/creatures/enemies/nemesis/nemesis_undead_02b.dbr,bio_boss_nemesis_01,((charLevel*42)^1.5)+20000,(charLevel*1),106,float,106.0,0.0,w159/i158,10.02,317052.17287203943,3176862.772177835
