body,name_tag,record,winner_archive,pool_slot,spawn_source,monster_class,proxy,proxy_lv_min,proxy_lv_max,level_offset_vs_proxy,charLevel,charLevel_grade,bio_record,bio_archive,life_equation,armorbase_record,armorbase_skill_level_eq,armorbase_index,armorbase_pct,ultimate_pct,gladiator_index,gladiator_pct,own_characterLifeModifier,own_applied,M,base_life,eHP,measured,residual_abs,residual_pct,verdict,note
Reaper of the Lost,tagGDX1Nemesis_Wendigo01,records/creatures/enemies/nemesis/nemesis_wendigo_01.dbr,sm1,p02.name3,pool,Boss,lv8_boss+,106,106,3,109,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_boss_nemesis_01.dbr,sm_mod,((charLevel*42)^1.5)+20000,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,329751.6885,3722896,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
The Underking,tagGDX3Nemesis_Beast02,records/creatures/enemies/nemesis/nemesis_beast_02.dbr,sm3,p02.name4,pool,Boss,lv8_boss+,106,106,3,109,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_boss_nemesis_01.dbr,sm_mod,((charLevel*42)^1.5)+20000,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,329751.6885,3722896,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
Reaper of Rot,tagGDX3Nemesis_Wendigo02,records/creatures/enemies/nemesis/nemesis_wendigo_02.dbr,sm3,p02.name5,pool,Boss,lv8_boss+,106,106,3,109,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_boss_nemesis_01.dbr,sm_mod,((charLevel*42)^1.5)+20000,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,329751.6885,3722896,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
Archmage Aleksander,tagGDX1Nemesis_Aetherial01,records/creatures/enemies/nemesis/nemesis_aetherialvanguard_01.dbr,sm1,p03.name1,pool,Boss,lv8_boss+,106,106,3,109,MEASURED-CAMERA,records/creatures/enemies/bios/bio_boss_nemesis_01.dbr,sm_mod,((charLevel*42)^1.5)+20000,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,329751.6885,3722896,3722896,0,0.0,EXACT,camera nameplate level; on the filmed board
Reaper of the Lost,tagGDX1Nemesis_Wendigo01,records/creatures/enemies/nemesis/nemesis_wendigo_01.dbr,sm1,p03.name2,pool,Boss,lv8_boss+,106,106,3,109,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_boss_nemesis_01.dbr,sm_mod,((charLevel*42)^1.5)+20000,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,329751.6885,3722896,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
"Galakros, the Mountain",tagGDX1MiniBoss_Aetherial02,records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,sm1,p04a.name1,pool,Quest,lv7_uber hero,103,105,3,106,MEASURED-CAMERA,records/creatures/enemies/bios/bio_boss_aetherial_colossusgalakros.dbr,sm1,((charLevel*33)^1.5)+500,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,105,103.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.07,207385.3354,2295755,2295755,0,0.0,EXACT,camera nameplate level; on the filmed board
The Steward,tagGDX2Boss_TombGuardian_01,records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,sm2,p04b.name1,pool,Quest,lv7_uber hero,103,105,3,106,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_boss_tombguardian.dbr,sm2,((charLevel*33)^1.5)+500,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,105,103.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.07,207385.3354,2295755,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
The Steward,tagGDX2Boss_TombGuardian_01,records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,sm2,p04b.name1,pool,Quest,lv7_uber hero,103,105,4,107,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_boss_tombguardian.dbr,sm2,((charLevel*33)^1.5)+500,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,106,111.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.15,210319.852,2345066,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
The Steward,tagGDX2Boss_TombGuardian_01,records/creatures/enemies/boss&quest/statue_korvaaktombguardian.dbr,sm2,p04b.name1,pool,Quest,lv7_uber hero,103,105,5,108,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_boss_tombguardian.dbr,sm2,((charLevel*33)^1.5)+500,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,107,121.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.25,213268.1136,2399266,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
Ulda Emberclaw,tagGDX1HeroWendigoCannibal_H01,records/creatures/enemies/hero/wendigocannibal_h01.dbr,sm1,p06.nameChampion1,pool,Hero,lv6_hero,104,105,3,107,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_hero_standard_01.dbr,sm_mod,((charLevel*11)^1.50)-20,records/skills/nonplayerskills/passive/armorbase04.dbr,charLevel*1,106,111.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.15,40359.8493,450012,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
Ulda Emberclaw,tagGDX1HeroWendigoCannibal_H01,records/creatures/enemies/hero/wendigocannibal_h01.dbr,sm1,p06.nameChampion1,pool,Hero,lv6_hero,104,105,4,108,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_hero_standard_01.dbr,sm_mod,((charLevel*11)^1.50)-20,records/skills/nonplayerskills/passive/armorbase04.dbr,charLevel*1,107,121.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.25,40927.2425,460431,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
Haldra the Bloodlust,tagGDX1HeroWendigoCannibal_H02,records/creatures/enemies/hero/wendigocannibal_h02.dbr,sm1,p06.nameChampion2,pool,Hero,lv6_hero,104,105,3,107,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_hero_standard_01.dbr,sm_mod,((charLevel*11)^1.50)-20,records/skills/nonplayerskills/passive/armorbase04.dbr,charLevel*1,106,111.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.15,40359.8493,450012,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
Haldra the Bloodlust,tagGDX1HeroWendigoCannibal_H02,records/creatures/enemies/hero/wendigocannibal_h02.dbr,sm1,p06.nameChampion2,pool,Hero,lv6_hero,104,105,4,108,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_hero_standard_01.dbr,sm_mod,((charLevel*11)^1.50)-20,records/skills/nonplayerskills/passive/armorbase04.dbr,charLevel*1,107,121.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.25,40927.2425,460431,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
"Palros, Protector of the Pack ~ Defender",tagGDX1HeroWendigoCannibal_H03,records/creatures/enemies/hero/wendigocannibal_h03.dbr,sm1,p06.nameChampion3,pool,Hero,lv6_hero,104,105,3,107,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_hero_standard_01.dbr,sm_mod,((charLevel*11)^1.50)-20,records/skills/nonplayerskills/passive/armorbase04.dbr,charLevel*1,106,111.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.15,40359.8493,450012,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
"Palros, Protector of the Pack ~ Defender",tagGDX1HeroWendigoCannibal_H03,records/creatures/enemies/hero/wendigocannibal_h03.dbr,sm1,p06.nameChampion3,pool,Hero,lv6_hero,104,105,4,108,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_hero_standard_01.dbr,sm_mod,((charLevel*11)^1.50)-20,records/skills/nonplayerskills/passive/armorbase04.dbr,charLevel*1,107,121.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.25,40927.2425,460431,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
Allcadius the Unburied ~ Reflective,tagGDX1HeroWendigoCannibal_H04,records/creatures/enemies/hero/wendigocannibal_h04.dbr,sm1,p06.nameChampion4,pool,Hero,lv6_hero,104,105,3,107,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_hero_standard_01.dbr,sm_mod,((charLevel*11)^1.50)-20,records/skills/nonplayerskills/passive/armorbase04.dbr,charLevel*1,106,111.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.15,40359.8493,450012,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
Allcadius the Unburied ~ Reflective,tagGDX1HeroWendigoCannibal_H04,records/creatures/enemies/hero/wendigocannibal_h04.dbr,sm1,p06.nameChampion4,pool,Hero,lv6_hero,104,105,4,108,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_hero_standard_01.dbr,sm_mod,((charLevel*11)^1.50)-20,records/skills/nonplayerskills/passive/armorbase04.dbr,charLevel*1,107,121.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.25,40927.2425,460431,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
Gaddo Evergrown ~ Bramble,tagGDX3HeroWendigoCannibal_H01,records/creatures/enemies/hero/wendigocannibal_h05.dbr,sm3,p06.nameChampion5,pool,Hero,lv6_hero,104,105,3,107,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_hero_standard_01.dbr,sm_mod,((charLevel*11)^1.50)-20,records/skills/nonplayerskills/passive/armorbase04.dbr,charLevel*1,106,111.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.15,40359.8493,450012,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
Gaddo Evergrown ~ Bramble,tagGDX3HeroWendigoCannibal_H01,records/creatures/enemies/hero/wendigocannibal_h05.dbr,sm3,p06.nameChampion5,pool,Hero,lv6_hero,104,105,4,108,"DERIVED (proxy band + 3; the +3 is MEASURED, DB-source NAMED-ABSENT)",records/creatures/enemies/bios/bio_hero_standard_01.dbr,sm_mod,((charLevel*11)^1.50)-20,records/skills/nonplayerskills/passive/armorbase04.dbr,charLevel*1,107,121.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.25,40927.2425,460431,,,,PREDICTION-uncorroborated,not drawn on the filmed board; level band carries the +3 offset measured on the two drawn pool bodies
Death Revenant,tagEnemySkeletonC04,records/creatures/enemies/nemesis/nemesis_orderdeathsvigil_01_revenantsummon.dbr,sm_mod,Zantarin.skill6,summon-of-Zantarin,Champion,(none - skill-spawned pet),,,,109,MEASURED-CAMERA,records/creatures/enemies/bios/bio_hero_standard_01.dbr,sm_mod,((charLevel*11)^1.50)-20,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,41497.2687,468504,468504,0,0.0,EXACT,summon level MEASURED per body; general summon-level rule NAMED-ABSENT (no petLevel field on any summon skill)
Skeletal Archer,tagEnemySkeletonA02,records/creatures/enemies/faction/skeleton_a02_summon.dbr,sm_mod,Zantarin.skill13,summon-of-Zantarin,Common,(none - skill-spawned pet),,,,109,MEASURED-CAMERA,records/creatures/enemies/bios/bio_skeletonfodder_01.dbr,base,((charLevel*5.6)^1.28)+24,records/skills/nonplayerskills/passive/armorbase01.dbr,charLevel*1,108,110.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.14,3701.7872,41237,41237,0,0.0,EXACT,summon level MEASURED per body; general summon-level rule NAMED-ABSENT (no petLevel field on any summon skill)
Aleksander's Shard,tagGDX1Nemesis_Aetherial01_Crystal,records/skills/nonplayerskillsgdx1/bossskills/nemesis/aetherialvanguard_crystal.dbr,gdx1,Aleksander.skill9,summon-of-Aleksander,Champion,(none - skill-spawned pet),,,,109,MEASURED-CAMERA,records/creatures/enemies/bios/bio_boss_nemesis_clustersummon.dbr,sm_mod,((charLevel*4)^1.5)+100,records/skills/nonplayerskills/passive/armorbase04.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,9203.9473,103912,103912,0,0.0,EXACT,summon level MEASURED per body; general summon-level rule NAMED-ABSENT (no petLevel field on any summon skill)
Aetherial Bileeater,tagGDX1EnemyAetherialBloater_B01,records/creatures/enemies/aetherialbloater_b01_summon.dbr,sm1,Galakros.skill12,summon-of-Galakros,Champion,(none - skill-spawned pet),,,,112,MEASURED-CAMERA,records/creatures/enemies/bios/bio_aetherialbloater_b01.dbr,gdx1,((charLevel*27)^1.33)+150,records/skills/nonplayerskills/passive/armorbase04.dbr,charLevel*1,111,129.0,580.0,159,324.0,50.0,NO (falsified: Bileeater +50 -> +4.41%),11.33,42726.8744,484095,484095,0,0.0,EXACT,summon level MEASURED per body; general summon-level rule NAMED-ABSENT (no petLevel field on any summon skill)
Aetherial Regurgitator,tagGDX1EnemyAetherialBloater_C01,records/creatures/enemies/aetherialbloater_c01_summon.dbr,sm1,Galakros.skill12b,summon-of-Galakros,Champion,(none - skill-spawned pet),,,,112,DERIVED (sibling of a measured summon),records/creatures/enemies/bios/bio_aetherialbloater_c01.dbr,gdx1,((charLevel*31)^1.33)+150,records/skills/nonplayerskills/passive/armorbase04.dbr,charLevel*1,111,129.0,580.0,159,324.0,100.0,NO (falsified: Bileeater +50 -> +4.41%),11.33,51314.7696,581396,,,,PREDICTION-uncorroborated,summon level MEASURED per body; general summon-level rule NAMED-ABSENT (no petLevel field on any summon skill)
"Kubacabra, the Enduring",tagGDX1Nemesis_Beast01B,records/creatures/enemies/nemesis/nemesis_beast_01_p2a.dbr,sm1,Kubacabra.deathspawn(P2) UNMANIFESTED,phase-UNWIRED-in-crucible,Boss,(none - deathspawn pool),,,,109,N/A - does not spawn in the Crucible,records/creatures/enemies/bios/bio_boss_nemesis3phase_02.dbr,sm1,((charLevel*19)^1.5)+9000,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,103247.5671,1165665,,,,PREDICTION-uncorroborated,sm1 record omits poolToSpawnOnDeath + chanceToSpawnOnDeath that gdx1 carries; overlay is whole-record replacement -> phase chain UNWIRED. Camera confirms. Row retained for provenance only; eHP is the CAMPAIGN value and must NOT be summed into the Crucible board.
"Kubacabra, the Enduring",tagGDX1Nemesis_Beast01B,records/creatures/enemies/nemesis/nemesis_beast_01_p2b.dbr,sm1,Kubacabra.deathspawn(P2b) UNMANIFESTED,phase-UNWIRED-in-crucible,Boss,(none - deathspawn pool),,,,109,N/A - does not spawn in the Crucible,records/creatures/enemies/bios/bio_boss_nemesis3phase_02.dbr,sm1,((charLevel*19)^1.5)+9000,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,103247.5671,1165665,,,,PREDICTION-uncorroborated,sm1 record omits poolToSpawnOnDeath + chanceToSpawnOnDeath that gdx1 carries; overlay is whole-record replacement -> phase chain UNWIRED. Camera confirms. Row retained for provenance only; eHP is the CAMPAIGN value and must NOT be summed into the Crucible board.
"Kubacabra, the Tenacious",tagGDX1Nemesis_Beast01C,records/creatures/enemies/nemesis/nemesis_beast_01_p3a.dbr,sm1,Kubacabra.deathspawn(P3a) UNMANIFESTED,phase-UNWIRED-in-crucible,Boss,(none - deathspawn pool),,,,109,N/A - does not spawn in the Crucible,records/creatures/enemies/bios/bio_boss_nemesis3phase_03.dbr,sm1,((charLevel*13)^1.5)+3000,records/skills/nonplayerskills/passive/armorbase05.dbr,charLevel*1,108,125.0,580.0,159,324.0,0.0,NO (falsified: Bileeater +50 -> +4.41%),11.29,56340.2167,636081,,,,PREDICTION-uncorroborated,sm1 record omits poolToSpawnOnDeath + chanceToSpawnOnDeath that gdx1 carries; overlay is whole-record replacement -> phase chain UNWIRED. Camera confirms. Row retained for provenance only; eHP is the CAMPAIGN value and must NOT be summed into the Crucible board.
