==============================================================================================================
STEP 2 — full field dump for one representative (Zantarin) so we can see the shape
==============================================================================================================
owners=['base', 'gdx1', 'gdx2', 'sm_mod']  fields=1007
  dHandedBuffSelfAnimWeight1                       = 100.0                                                                                      [sm_mod]
  dHandedChannelAnimSpeed                          = 1.0                                                                                        [sm_mod]
  dHandedChannelEndAnimSpeed                       = 1.0                                                                                        [sm_mod]
  dHandedChannelStartAnimSpeed                     = 1.0                                                                                        [sm_mod]
  dHandedChatAnimSpeed                             = 1.0                                                                                        [sm_mod]
  dHandedCriticalHitAnimSpeed                      = 1.0                                                                                        [sm_mod]
  dHandedDieAnimSpeed1                             = 1.0                                                                                        [sm_mod]
  dHandedDieAnimSpeed2                             = 1.0                                                                                        [sm_mod]
  dHandedDieAnimSpeed3                             = 1.0                                                                                        [sm_mod]
  dHandedDieAnimWeight1                            = 100.0                                                                                      [sm_mod]
  dHandedDieAnimWeight2                            = 100.0                                                                                      [sm_mod]
  dHandedDieAnimWeight3                            = 100.0                                                                                      [sm_mod]
  dHandedEmoteAnimSpeed1                           = 1.0                                                                                        [sm_mod]
  dHandedEmoteAnimSpeed2                           = 1.0                                                                                        [sm_mod]
  dHandedEmoteAnimSpeed3                           = 1.0                                                                                        [sm_mod]
  dHandedEmoteAnimWeight1                          = 100.0                                                                                      [sm_mod]
  dHandedEmoteAnimWeight2                          = 100.0                                                                                      [sm_mod]
  dHandedEmoteAnimWeight3                          = 100.0                                                                                      [sm_mod]
  dHandedFidgetAnimSpeed1                          = 1.0                                                                                        [sm_mod]
  dHandedFidgetAnimSpeed2                          = 1.0                                                                                        [sm_mod]
  dHandedFidgetAnimSpeed3                          = 1.0                                                                                        [sm_mod]
  dHandedFidgetAnimWeight1                         = 100.0                                                                                      [sm_mod]
  dHandedFidgetAnimWeight2                         = 100.0                                                                                      [sm_mod]
  dHandedFidgetAnimWeight3                         = 100.0                                                                                      [sm_mod]
  dHandedFleeAnimSpeed1                            = 1.0                                                                                        [sm_mod]
  dHandedFleeAnimSpeed2                            = 1.0                                                                                        [sm_mod]
  dHandedFleeAnimSpeed3                            = 1.0                                                                                        [sm_mod]
  dHandedFleeAnimWeight1                           = 100.0                                                                                      [sm_mod]
  dHandedFleeAnimWeight2                           = 100.0                                                                                      [sm_mod]
  dHandedFleeAnimWeight3                           = 100.0                                                                                      [sm_mod]
  dHandedGetUpFaceDownAnimSpeed                    = 1.0                                                                                        [sm_mod]
  dHandedGetUpFaceUpAnimSpeed                      = 1.0                                                                                        [sm_mod]
  dHandedIdleTranAnimSpeed                         = 1.0                                                                                        [sm_mod]
  dHandedLongIdleAnimSpeed                         = 1.0                                                                                        [sm_mod]
  dHandedPassItemAnimSpeed                         = 1.0                                                                                        [sm_mod]
  dHandedPickupAnimSpeed                           = 1.0                                                                                        [sm_mod]
  dHandedRallyAnimSpeed1                           = 1.0                                                                                        [sm_mod]
  dHandedRallyAnimSpeed2                           = 1.0                                                                                        [sm_mod]
  dHandedRallyAnimSpeed3                           = 1.0                                                                                        [sm_mod]
  dHandedRallyAnimWeight1                          = 100.0                                                                                      [sm_mod]
  dHandedRallyAnimWeight2                          = 100.0                                                                                      [sm_mod]
  dHandedRallyAnimWeight3                          = 100.0                                                                                      [sm_mod]
  dHandedRespawnAnimSpeed                          = 1.0                                                                                        [sm_mod]
  dHandedRunAnimSpeed                              = 1.0                                                                                        [sm_mod]
  dHandedSpawnAnimSpeed                            = 1.0                                                                                        [sm_mod]
  dHandedSpecialAnimSpeed1                         = 1.0                                                                                        [sm_mod]
  dHandedSpecialAnimSpeed10                        = 1.0                                                                                        [sm_mod]
  dHandedSpecialAnimSpeed11                        = 1.0                                                                                        [sm_mod]
  dHandedSpecialAnimSpeed12                        = 1.0                                                                                        [sm_mod]
  dHandedSpecialAnimSpeed13                        = 1.0                                                                                        [sm_mod]
  dHandedSpecialAnimSpeed14                        = 1.0                                                                                        [sm_mod]
  dHandedSpecialAnimSpeed15                        = 1.0                                                                                        [sm_mod]
  dHandedSpecialAnimSpeed2                         = 1.0                                                                                        [sm_mod]
  dHandedSpecialAnimSpeed3                         = 1.0                                                                                        [sm_mod]
  dHandedSpecialAnimSpeed4                         = 1.0                                                                                        [sm_mod]
  dHandedSpecialAnimSpeed5                         = 1.0                                                                                        [sm_mod]
  dHandedSpecialAnimSpeed6                         = 1.0                                                                                        [sm_mod]
  dHandedSpecialAnimSpeed7                         = 1.0                                                                                        [sm_mod]
  dHandedSpecialAnimSpeed8                         = 1.0                                                                                        [sm_mod]
  dHandedSpecialAnimSpeed9                         = 1.0                                                                                        [sm_mod]
  dHandedSpellAttackAnimSpeed                      = 1.0                                                                                        [sm_mod]
  dHandedStunAnimSpeed                             = 1.0                                                                                        [sm_mod]
  dHandedTakeHitAnimSpeed                          = 1.0                                                                                        [sm_mod]
  dHandedWaitingAnimSpeed1                         = 1.0                                                                                        [sm_mod]
  dHandedWaitingAnimSpeed2                         = 1.0                                                                                        [sm_mod]
  dHandedWaitingAnimSpeed3                         = 1.0                                                                                        [sm_mod]
  dHandedWaitingAnimWeight1                        = 100.0                                                                                      [sm_mod]
  dHandedWaitingAnimWeight2                        = 100.0                                                                                      [sm_mod]
  dHandedWaitingAnimWeight3                        = 100.0                                                                                      [sm_mod]
  dHandedWalkAnimSpeed                             = 1.0                                                                                        [sm_mod]
  dbIgnoreWhenPathing                              = False                                                                                      [sm_mod]
  deathAnimBlendTime                               = 250.0                                                                                      [sm_mod]
  deathFromEnemyRange                              = 0.0                                                                                        [sm_mod]
  deathSound1                                      = records/sounds/enemies/vocalizations/spak_skeletondeath.dbr                                [sm_mod]
  defaultChestPiece                                = records/items/enemygear/gear_skeleton_caster_b01.dbr                                       [sm_mod]
  defaultTeamMajor                                 = TeamMajor_Monster                                                                          [sm_mod]
  defaultTeamMinor                                 = TeamMinorMonster_Red                                                                       [sm_mod]
  defensiveAether                                  = 20.0                                                                                       [sm_mod]
  defensiveChaos                                   = 20.0                                                                                       [sm_mod]
  defensiveKnockdown                               = 500.0                                                                                      [sm_mod]
  defensiveLife                                    = 50.0                                                                                       [sm_mod]
  defensivePoison                                  = 50.0                                                                                       [sm_mod]
  deleteBehavior                                   = Dissolve                                                                                   [sm_mod]
  description                                      = tagNemesis_OrderDeathsVigil01                                                              [sm_mod]
  disallowRotation                                 = False                                                                                      [sm_mod]
  dissolveColorB                                   = 25                                                                                         [sm_mod]
  dissolveColorG                                   = 25                                                                                         [sm_mod]
  dissolveColorR                                   = 100                                                                                        [sm_mod]
  dissolveTexture                                  = fx/textures/dissolve32_01.tex                                                              [sm_mod]
  dissolveTime                                     = 10.0                                                                                       [sm_mod]
  distressCall                                     = True                                                                                       [sm_mod]
  distressCallGroup                                = Aetherial                                                                                  [sm_mod]
  distressCallRange                                = 50.0                                                                                       [sm_mod]
  distressCallTime                                 = 5000                                                                                       [sm_mod]
  dropItems                                        = False                                                                                      [sm_mod]
  dualRangedAlertAnimSpeed1                        = 1.0                                                                                        [sm_mod]
  dualRangedAlertAnimSpeed2                        = 1.0                                                                                        [sm_mod]
  dualRangedAlertAnimSpeed3                        = 1.0                                                                                        [sm_mod]
  dualRangedAlertAnimWeight1                       = 100.0                                                                                      [sm_mod]
  dualRangedAlertAnimWeight2                       = 100.0                                                                                      [sm_mod]
  dualRangedAlertAnimWeight3                       = 100.0                                                                                      [sm_mod]
  dualRangedAttTurnRight90AnimSpeed                = 1.0                                                                                        [sm_mod]
  dualRangedAttackAnimSpeed1                       = 1.0                                                                                        [sm_mod]
  dualRangedAttackAnimSpeed2                       = 1.0                                                                                        [sm_mod]
  dualRangedAttackAnimSpeed3                       = 1.0                                                                                        [sm_mod]
  dualRangedAttackAnimWeight1                      = 100.0                                                                                      [sm_mod]
  dualRangedAttackAnimWeight2                      = 100.0                                                                                      [sm_mod]
  dualRangedAttackAnimWeight3                      = 100.0                                                                                      [sm_mod]
  dualRangedAttackIdleAnimSpeed                    = 1.0                                                                                        [sm_mod]
  dualRangedAttackIdleAnimSpeed2                   = 1.0                                                                                        [sm_mod]
  dualRangedAttackIdleAnimSpeed3                   = 1.0                                                                                        [sm_mod]
  dualRangedAttackIdleAnimSpeed4                   = 1.0                                                                                        [sm_mod]
  dualRangedAttackIdleAnimSpeed5                   = 1.0                                                                                        [sm_mod]
  dualRangedAttackIdleAnimWeight2                  = 100.0                                                                                      [sm_mod]
  dualRangedAttackIdleAnimWeight3                  = 100.0                                                                                      [sm_mod]
  dualRangedAttackIdleAnimWeight4                  = 100.0                                                                                      [sm_mod]
  dualRangedAttackIdleAnimWeight5                  = 100.0                                                                                      [sm_mod]
  dualRangedBuffOtherAnimSpeed1                    = 1.0                                                                                        [sm_mod]
  dualRangedBuffOtherAnimSpeed2                    = 1.0                                                                                        [sm_mod]
  dualRangedBuffOtherAnimSpeed3                    = 1.0                                                                                        [sm_mod]
  dualRangedBuffOtherAnimWeight1                   = 100.0                                                                                      [sm_mod]
  dualRangedBuffOtherAnimWeight2                   = 100.0                                                                                      [sm_mod]
  dualRangedBuffOtherAnimWeight3                   = 100.0                                                                                      [sm_mod]
  dualRangedBuffSelfAnimSpeed1                     = 1.0                                                                                        [sm_mod]
  dualRangedBuffSelfAnimSpeed2                     = 1.0                                                                                        [sm_mod]
  dualRangedBuffSelfAnimSpeed3                     = 1.0                                                                                        [sm_mod]
  dualRangedBuffSelfAnimWeight1                    = 100.0                                                                                      [sm_mod]
  dualRangedBuffSelfAnimWeight2                    = 100.0                                                                                      [sm_mod]
  dualRangedBuffSelfAnimWeight3                    = 100.0                                                                                      [sm_mod]
  dualRangedChatAnimSpeed                          = 1.0                                                                                        [sm_mod]
  dualRangedCriticalHitAnimSpeed                   = 1.0                                                                                        [sm_mod]
  dualRangedDieAnimSpeed1                          = 1.0                                                                                        [sm_mod]
  dualRangedDieAnimSpeed2                          = 1.0                                                                                        [sm_mod]
