rollover_field,record,textTag,shipped_text,wired_into_rollover
infoText,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_infotext.dbr,tagCharStatsArmorTotalDescription,"The higher your Armor Rating, the less damage you will take from physical attacks. Bonuses on skills and on non-armor pieces are added to all armor slots.",
legsAbsorptionNumber,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_headnumber.dbr,,,
legsHitNumber,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_legshitnumber.dbr,,,
legsNumber,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_legsnumber.dbr,,,
legsText,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_legstext.dbr,tagCharStatsArmorLegs,Legs:,
rolloverStyle,records/ui/styles/rollover/style_default.dbr,,,
shouldersAbsorptionNumber,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_headnumber.dbr,,,
shouldersHitNumber,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_shouldershitnumber.dbr,,,
shouldersNumber,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_shouldersnumber.dbr,,,
shouldersText,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_shoulderstext.dbr,tagCharStatsArmorShoulders,Shoulders:,
titleText,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_titletext.dbr,tagCharStatsArmorTotal,Armor Rating,
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_absorptiontitle.dbr,tagCharStatsAbsorption,Armor Absorption,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_armshitnumber.dbr,,,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_armsnumber.dbr,,,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_armstext.dbr,tagCharStatsArmorArms,Arms:,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_bonushitnumber.dbr,,,False
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_bonusnumber.dbr,,,False
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_bonustext.dbr,tagCharStatsArmorBonus,Bonus:,False
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_chesthitnumber.dbr,,,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_chestnumber.dbr,,,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_chesttext.dbr,tagCharStatsArmorChest,Chest:,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_feethitnumber.dbr,,,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_feetnumber.dbr,,,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_feettext.dbr,tagCharStatsArmorFeet,Feet:,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_headhitnumber.dbr,,,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_headnumber.dbr,,,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_headtext.dbr,tagCharStatsArmorHead,Head:,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_hittitletext.dbr,tagCharStatsHitArmor,Chance to Hit Area,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_infotext.dbr,tagCharStatsArmorTotalDescription,"The higher your Armor Rating, the less damage you will take from physical attacks. Bonuses on skills and on non-armor pieces are added to all armor slots.",True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_jewelrynumber.dbr,,,False
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_jewelrytext.dbr,tagCharStatsArmorJewelry,Jewelry:,False
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_legshitnumber.dbr,,,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_legsnumber.dbr,,,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_legstext.dbr,tagCharStatsArmorLegs,Legs:,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_shouldershitnumber.dbr,,,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_shouldersnumber.dbr,,,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_shoulderstext.dbr,tagCharStatsArmorShoulders,Shoulders:,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_titletext.dbr,tagCharStatsArmorTotal,Armor Rating,True
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_waistnumber.dbr,,,False
,records/ui/character/characterinfotab1/charinfo_statsarmorbreakdown_waisttext.dbr,tagCharStatsArmorWaist,Waist:,False
