global_wave,tier,tier_wave,spawn_point,proxy_record,pool_record,pool_weight,ignore_game_balance,raw_spawn_min,raw_spawn_max,raw_champion_min,raw_champion_max,champion_chance,decoded_n_min,decoded_n_max,decoded_clamp_lo,decoded_c_min,decoded_c_max,regular_roster_n,champion_roster_n,regular_capacity,champion_capacity,proxy_pool_equation,e_bodies,bodies_lo,bodies_hi
152,16,2,3,records/proxies/tier16waves/proxy_w02_p03a.dbr,records/proxies/poolsbasicgdx3/thornedhorrorfrost_t3.dbr,100.0,False,5,6,0,0,0.0,7,7,7,2,2,3,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
152,16,2,4,records/proxies/tier16waves/proxy_w02_p04a.dbr,records/proxies/poolsbossgdx1/swampcrab_carraxus.dbr,100.0,False,1,1,0,0,0.0,2,2,2,2,2,1,0,1,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
152,16,2,4,records/proxies/tier16waves/proxy_w02_p04a.dbr,records/proxies/poolsbossgdx1/aetherialfleshshaper_hinissius.dbr,100.0,False,1,1,0,0,0.0,2,2,2,2,2,1,0,1,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
152,16,2,4,records/proxies/tier16waves/proxy_w02_p04a.dbr,records/proxies/poolsbossgdx1/aetherialfleshshaper_haraxis.dbr,100.0,False,1,1,0,0,0.0,2,2,2,2,2,1,0,1,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
152,16,2,4,records/proxies/tier16waves/proxy_w02_p04a.dbr,records/proxies/poolsbossgdx1/fleshweaverkrieg.dbr,100.0,True,1,1,0,0,0.0,1,1,1,0,0,2,0,2,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
152,16,2,5,records/proxies/tier16waves/proxy_w02_p05a.dbr,records/proxies/poolsherogdx1/aetherialcorruption_hero.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,5,0,5,records/proxies/proxypoolequation_01.dbr,3.0,3,3
152,16,2,6,records/proxies/tier16waves/proxy_w02_p06a.dbr,records/proxies/poolsdevotion/devotion_heroes01.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,14,0,14,records/proxies/proxypoolequation_01.dbr,3.0,3,3
152,16,2,6,records/proxies/tier16waves/proxy_w02_p06a.dbr,records/proxies/poolsdevotion/devotion_heroes02.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,13,0,13,records/proxies/proxypoolequation_01.dbr,3.0,3,3
152,16,2,6,records/proxies/tier16waves/proxy_w02_p06a.dbr,records/proxies/poolsdevotion/devotion_heroes03.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,13,0,13,records/proxies/proxypoolequation_01.dbr,3.0,3,3
152,16,2,6,records/proxies/tier16waves/proxy_w02_p06a.dbr,records/proxies/poolsdevotion/devotion_heroes04.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,13,0,13,records/proxies/proxypoolequation_01.dbr,3.0,3,3
152,16,2,6,records/proxies/tier16waves/proxy_w02_p06a.dbr,records/proxies/poolsdevotion/devotion_heroes05.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,13,0,13,records/proxies/proxypoolequation_01.dbr,3.0,3,3
152,16,2,6,records/proxies/tier16waves/proxy_w02_p06a.dbr,records/proxies/poolsdevotion/devotion_heroes06.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,13,0,13,records/proxies/proxypoolequation_01.dbr,3.0,3,3
153,16,3,1,records/proxies/tier16waves/proxy_w03_p01a.dbr,records/proxies/poolsbasicgdx1/wendigo_t3.dbr,100.0,False,4,5,0,0,0.0,6,6,6,2,2,6,0,inf,0,records/proxies/proxypoolequation_01.dbr,6.0,6,6
153,16,3,2,records/proxies/tier16waves/proxy_w03_p02a.dbr,records/proxies/poolsbounty/bounty_heroes01.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,15,0,15,records/proxies/proxypoolequation_01.dbr,3.0,3,3
153,16,3,2,records/proxies/tier16waves/proxy_w03_p02a.dbr,records/proxies/poolsbounty/bounty_heroes02.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,15,0,15,records/proxies/proxypoolequation_01.dbr,3.0,3,3
153,16,3,2,records/proxies/tier16waves/proxy_w03_p02a.dbr,records/proxies/poolsbounty/bounty_heroes03.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,13,0,13,records/proxies/proxypoolequation_01.dbr,3.0,3,3
153,16,3,2,records/proxies/tier16waves/proxy_w03_p02a.dbr,records/proxies/poolsbountygdx1/bounty_heroes01.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,8,0,8,records/proxies/proxypoolequation_01.dbr,3.0,3,3
153,16,3,2,records/proxies/tier16waves/proxy_w03_p02a.dbr,records/proxies/poolsbountygdx1/bounty_heroes02.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,8,0,8,records/proxies/proxypoolequation_01.dbr,3.0,3,3
153,16,3,3,records/proxies/tier16waves/proxy_w03_p03a.dbr,records/proxies/poolsbasic/skeletonrevenant_t3.dbr,100.0,False,6,6,0,0,0.0,8,7,7,2,2,4,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
153,16,3,3,records/proxies/tier16waves/proxy_w03_p03a.dbr,records/proxies/poolsbasicgdx3/giant_t3.dbr,100.0,False,5,6,0,0,0.0,7,7,7,2,2,6,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
153,16,3,4,records/proxies/tier16waves/proxy_w03_p04a.dbr,records/proxies/poolsbounty/bounty_heroes01.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,15,0,15,records/proxies/proxypoolequation_01.dbr,3.0,3,3
153,16,3,4,records/proxies/tier16waves/proxy_w03_p04a.dbr,records/proxies/poolsbounty/bounty_heroes02.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,15,0,15,records/proxies/proxypoolequation_01.dbr,3.0,3,3
153,16,3,4,records/proxies/tier16waves/proxy_w03_p04a.dbr,records/proxies/poolsbounty/bounty_heroes03.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,13,0,13,records/proxies/proxypoolequation_01.dbr,3.0,3,3
153,16,3,4,records/proxies/tier16waves/proxy_w03_p04a.dbr,records/proxies/poolsbountygdx1/bounty_heroes01.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,8,0,8,records/proxies/proxypoolequation_01.dbr,3.0,3,3
153,16,3,4,records/proxies/tier16waves/proxy_w03_p04a.dbr,records/proxies/poolsbountygdx1/bounty_heroes02.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,8,0,8,records/proxies/proxypoolequation_01.dbr,3.0,3,3
153,16,3,4,records/proxies/tier16waves/proxy_w03_p04a.dbr,records/proxies/poolsbountygdx3/bounty_heroes01.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,6,0,6,records/proxies/proxypoolequation_01.dbr,3.0,3,3
153,16,3,5,records/proxies/tier16waves/proxy_w03_p05a.dbr,records/proxies/poolsbasicgdx1/livingplant_t3.dbr,100.0,False,3,4,0,0,0.0,4,5,4,2,2,2,0,inf,0,records/proxies/proxypoolequation_01.dbr,4.5,4,5
153,16,3,6,records/proxies/tier16waves/proxy_w03_p06a.dbr,records/proxies/poolshero/chthoniandreadguard_hero.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,11,0,11,records/proxies/proxypoolequation_01.dbr,3.0,3,3
153,16,3,6,records/proxies/tier16waves/proxy_w03_p06a.dbr,records/proxies/poolsherogdx3/giant_hero.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,4,0,4,records/proxies/proxypoolequation_01.dbr,3.0,3,3
154,16,4,1,records/proxies/tier16waves/proxy_w04_p01a.dbr,records/proxies/poolsboss/chthonian_bloodlord.dbr,100.0,False,1,1,0,0,0.0,2,2,2,2,2,1,0,1,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
154,16,4,1,records/proxies/tier16waves/proxy_w04_p01a.dbr,records/proxies/poolsbossgdx2/fatherkymon.dbr,100.0,True,1,1,0,0,0.0,1,1,1,0,0,2,0,2,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
154,16,4,2,records/proxies/tier16waves/proxy_w04_p02a.dbr,records/proxies/poolsbossgdx1/chthonianrylok_gabalthunn.dbr,100.0,False,1,1,0,0,0.0,2,2,2,2,2,1,0,1,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
154,16,4,2,records/proxies/tier16waves/proxy_w04_p02a.dbr,records/proxies/poolsbossgdx3/chthoniantyrant_grulthunn.dbr,100.0,True,1,1,0,0,0.0,1,1,1,0,0,1,0,1,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
154,16,4,3,records/proxies/tier16waves/proxy_w04_p03a.dbr,records/proxies/poolsbossgdx1/nemesis_beast.dbr,100.0,True,1,1,0,0,0.0,1,1,1,0,0,2,0,2,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
154,16,4,3,records/proxies/tier16waves/proxy_w04_p03a.dbr,records/proxies/poolsbossgdx2/nemesis_eldritch.dbr,40.0,True,1,1,0,0,0.0,1,1,1,0,0,2,0,2,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
154,16,4,3,records/proxies/tier16waves/proxy_w04_p03a.dbr,records/proxies/poolsbossgdx3/nemesis_kurn.dbr,25.0,True,1,1,0,0,0.0,1,1,1,0,0,1,0,1,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
154,16,4,4,records/proxies/tier16waves/proxy_w04_p04a.dbr,records/proxies/poolsbasicgdx1/chthonianwretch_t3.dbr,100.0,False,6,7,0,0,0.0,8,8,8,2,2,3,0,inf,0,records/proxies/proxypoolequation_01.dbr,8.0,8,8
154,16,4,4,records/proxies/tier16waves/proxy_w04_p04a.dbr,records/proxies/poolsbasicgdx1/wendigocannibal_t3.dbr,100.0,False,6,7,0,0,0.0,8,8,8,2,2,3,0,inf,0,records/proxies/proxypoolequation_01.dbr,8.0,8,8
154,16,4,4,records/proxies/tier16waves/proxy_w04_p04a.dbr,records/proxies/poolsbasicgdx2/eldritcharmor_fire_t3.dbr,100.0,False,6,7,0,0,0.0,8,8,8,2,2,3,0,inf,0,records/proxies/proxypoolequation_01.dbr,8.0,8,8
155,16,5,1,records/proxies/tier16waves/proxy_w05_p01a.dbr,records/proxies/poolsbossgdx1/aetherialcorruption_intro.dbr,100.0,False,1,1,0,0,0.0,2,2,2,2,2,1,0,1,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
155,16,5,2,records/proxies/tier16waves/proxy_w05_p02a.dbr,records/proxies/poolsbossgdx1/humanascendant_mindthief.dbr,100.0,False,1,1,0,0,0.0,2,2,2,2,2,1,0,1,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
155,16,5,2,records/proxies/tier16waves/proxy_w05_p02a.dbr,records/proxies/poolsbossgdx2/eldritcharmor_mindreaper.dbr,100.0,False,1,1,0,0,0.0,2,2,2,2,2,1,0,1,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
155,16,5,3,records/proxies/tier16waves/proxy_w05_p03a.dbr,records/proxies/poolsbasicgdx1/aetherialimp_t3.dbr,100.0,False,5,7,0,0,0.0,7,8,7,2,2,2,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.5,7,8
155,16,5,3,records/proxies/tier16waves/proxy_w05_p03a.dbr,records/proxies/poolsbasicgdx1/aetherialcorruption_poison_t3.dbr,100.0,False,5,6,0,0,0.0,7,7,7,2,2,1,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
155,16,5,3,records/proxies/tier16waves/proxy_w05_p03a.dbr,records/proxies/poolsbasicgdx2/eldritchwraith_t3.dbr,100.0,False,5,6,0,0,0.0,7,7,7,2,2,3,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
155,16,5,4,records/proxies/tier16waves/proxy_w05_p04a.dbr,records/proxies/poolsbasicgdx1/aetherialimp_t3.dbr,100.0,False,5,7,0,0,0.0,7,8,7,2,2,2,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.5,7,8
155,16,5,4,records/proxies/tier16waves/proxy_w05_p04a.dbr,records/proxies/poolsbasicgdx1/aetherialcorruption_poison_t3.dbr,100.0,False,5,6,0,0,0.0,7,7,7,2,2,1,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
155,16,5,4,records/proxies/tier16waves/proxy_w05_p04a.dbr,records/proxies/poolsbasicgdx2/eldritchwraith_t3.dbr,100.0,False,5,6,0,0,0.0,7,7,7,2,2,3,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
155,16,5,6,records/proxies/tier16waves/proxy_w05_p06a.dbr,records/proxies/poolsbounty/bounty_heroes01.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,15,0,15,records/proxies/proxypoolequation_01.dbr,3.0,3,3
155,16,5,6,records/proxies/tier16waves/proxy_w05_p06a.dbr,records/proxies/poolsbounty/bounty_heroes02.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,15,0,15,records/proxies/proxypoolequation_01.dbr,3.0,3,3
155,16,5,6,records/proxies/tier16waves/proxy_w05_p06a.dbr,records/proxies/poolsbounty/bounty_heroes03.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,13,0,13,records/proxies/proxypoolequation_01.dbr,3.0,3,3
155,16,5,6,records/proxies/tier16waves/proxy_w05_p06a.dbr,records/proxies/poolsbountygdx1/bounty_heroes01.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,8,0,8,records/proxies/proxypoolequation_01.dbr,3.0,3,3
155,16,5,6,records/proxies/tier16waves/proxy_w05_p06a.dbr,records/proxies/poolsbountygdx1/bounty_heroes02.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,8,0,8,records/proxies/proxypoolequation_01.dbr,3.0,3,3
156,16,6,1,records/proxies/tier16waves/proxy_w06_p01a.dbr,records/proxies/poolsbossgdx1/witch_janaxia.dbr,100.0,False,1,1,0,0,0.0,2,2,2,2,2,1,0,1,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
156,16,6,2,records/proxies/tier16waves/proxy_w06_p02a.dbr,records/proxies/poolsbossgdx1/basilisk_witchritual.dbr,100.0,False,1,1,0,0,0.0,2,2,2,2,2,1,0,1,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
156,16,6,2,records/proxies/tier16waves/proxy_w06_p02a.dbr,records/proxies/poolsbossgdx3/direwolf_frozenwastes.dbr,100.0,True,1,1,0,0,0.0,1,1,1,0,0,1,0,1,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
156,16,6,3,records/proxies/tier16waves/proxy_w06_p03a.dbr,records/proxies/poolsbossgdx1/witch_larria.dbr,100.0,False,1,1,0,0,0.0,2,2,2,2,2,1,0,1,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
156,16,6,3,records/proxies/tier16waves/proxy_w06_p03a.dbr,records/proxies/poolsbossgdx3/kurnchthonic_shaman.dbr,100.0,True,1,1,0,0,0.0,1,1,1,0,0,1,0,1,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
156,16,6,4,records/proxies/tier16waves/proxy_w06_p04a.dbr,records/proxies/poolsbasicgdx1/aetherialbloater_t3.dbr,100.0,False,5,6,0,0,0.0,7,7,7,2,2,5,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
156,16,6,4,records/proxies/tier16waves/proxy_w06_p04a.dbr,records/proxies/poolsbasicgdx1/swampgolem_t3.dbr,100.0,False,3,5,0,0,0.0,4,6,4,2,2,3,0,inf,0,records/proxies/proxypoolequation_01.dbr,5.0,4,6
156,16,6,4,records/proxies/tier16waves/proxy_w06_p04a.dbr,records/proxies/poolsbasicgdx2/statue_t3.dbr,100.0,False,3,4,0,0,0.0,4,5,4,2,2,8,0,inf,0,records/proxies/proxypoolequation_01.dbr,4.5,4,5
156,16,6,4,records/proxies/tier16waves/proxy_w06_p04a.dbr,records/proxies/poolsbasicgdx3/chthonianherald_t3.dbr,100.0,False,5,6,0,0,0.0,7,7,7,2,2,6,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
156,16,6,5,records/proxies/tier16waves/proxy_w06_p05a.dbr,records/proxies/poolsbasicgdx1/aetherialcorruption_fire_t3.dbr,100.0,False,5,6,0,0,0.0,7,7,7,2,2,1,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
156,16,6,5,records/proxies/tier16waves/proxy_w06_p05a.dbr,records/proxies/poolsbasicgdx1/aetherialcorruption_ice_t3.dbr,100.0,False,5,6,0,0,0.0,7,7,7,2,2,1,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
156,16,6,5,records/proxies/tier16waves/proxy_w06_p05a.dbr,records/proxies/poolsbasicgdx1/aetherialcorruption_lightning_t3.dbr,100.0,False,5,6,0,0,0.0,7,7,7,2,2,1,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
156,16,6,6,records/proxies/tier16waves/proxy_w06_p06a.dbr,records/proxies/poolsbasicgdx1/humanwendigo_t3.dbr,100.0,False,5,6,0,0,0.0,7,7,7,2,2,4,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
157,16,7,1,records/proxies/tier16waves/proxy_w07_p01a.dbr,records/proxies/poolsbossgdx1/wendigocannibal_packla.dbr,100.0,False,1,1,0,0,0.0,2,2,2,2,2,1,0,1,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
157,16,7,1,records/proxies/tier16waves/proxy_w07_p01a.dbr,records/proxies/poolsboss/ghoul_nercropolis.dbr,100.0,False,1,1,0,0,0.0,2,2,2,2,2,1,0,1,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
157,16,7,1,records/proxies/tier16waves/proxy_w07_p01a.dbr,records/proxies/poolsbossgdx2/aetherialbloater_malmouthdocks.dbr,100.0,False,1,1,0,0,0.0,2,2,2,2,2,1,0,1,0,records/proxies/proxypoolequation_01.dbr,1.0,1,1
157,16,7,2,records/proxies/tier16waves/proxy_w07_p02a.dbr,records/proxies/poolsdevotiongdx1/devotion_heroes01.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,14,0,14,records/proxies/proxypoolequation_01.dbr,3.0,3,3
157,16,7,2,records/proxies/tier16waves/proxy_w07_p02a.dbr,records/proxies/poolsdevotiongdx1/devotion_heroes02.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,15,0,15,records/proxies/proxypoolequation_01.dbr,3.0,3,3
157,16,7,2,records/proxies/tier16waves/proxy_w07_p02a.dbr,records/proxies/poolsdevotiongdx1/devotion_heroes03.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,15,0,15,records/proxies/proxypoolequation_01.dbr,3.0,3,3
157,16,7,2,records/proxies/tier16waves/proxy_w07_p02a.dbr,records/proxies/poolsdevotiongdx3/devotion_heroes01.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,12,0,12,records/proxies/proxypoolequation_01.dbr,3.0,3,3
157,16,7,2,records/proxies/tier16waves/proxy_w07_p02a.dbr,records/proxies/poolsdevotiongdx3/devotion_heroes02.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,12,0,12,records/proxies/proxypoolequation_01.dbr,3.0,3,3
157,16,7,2,records/proxies/tier16waves/proxy_w07_p02a.dbr,records/proxies/poolsdevotiongdx3/devotion_heroes03.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,12,0,12,records/proxies/proxypoolequation_01.dbr,3.0,3,3
157,16,7,3,records/proxies/tier16waves/proxy_w07_p03a.dbr,records/proxies/poolsbasicgdx1/chthonianrylok_t3.dbr,100.0,False,4,5,0,0,0.0,6,6,6,2,2,5,0,inf,0,records/proxies/proxypoolequation_01.dbr,6.0,6,6
157,16,7,3,records/proxies/tier16waves/proxy_w07_p03a.dbr,records/proxies/poolsbasicgdx1/chthonianservitor_t3.dbr,100.0,False,4,5,0,0,0.0,6,6,6,2,2,5,0,inf,0,records/proxies/proxypoolequation_01.dbr,6.0,6,6
157,16,7,3,records/proxies/tier16waves/proxy_w07_p03a.dbr,records/proxies/poolsbasic/chthonianleech_t3.dbr,100.0,False,6,6,0,0,0.0,8,7,7,2,2,3,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
157,16,7,3,records/proxies/tier16waves/proxy_w07_p03a.dbr,records/proxies/poolsbasicgdx2/gargoyle_t3.dbr,100.0,False,3,4,0,0,0.0,4,5,4,2,2,6,0,inf,0,records/proxies/proxypoolequation_01.dbr,4.5,4,5
157,16,7,4,records/proxies/tier16waves/proxy_w07_p04a.dbr,records/proxies/poolsbasicgdx1/swampgolem_t3.dbr,100.0,False,3,5,0,0,0.0,4,6,4,2,2,3,0,inf,0,records/proxies/proxypoolequation_01.dbr,5.0,4,6
157,16,7,4,records/proxies/tier16waves/proxy_w07_p04a.dbr,records/proxies/poolsbasicgdx1/aetherialbloater_t3.dbr,100.0,False,5,6,0,0,0.0,7,7,7,2,2,5,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
157,16,7,4,records/proxies/tier16waves/proxy_w07_p04a.dbr,records/proxies/poolsbasic/skeletalgolem_t3.dbr,100.0,False,6,6,0,0,0.0,8,7,7,2,2,6,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
157,16,7,4,records/proxies/tier16waves/proxy_w07_p04a.dbr,records/proxies/poolsbasicgdx3/yetidire_t3.dbr,100.0,False,5,6,0,0,0.0,7,7,7,2,2,4,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
157,16,7,5,records/proxies/tier16waves/proxy_w07_p05a.dbr,records/proxies/poolsherogdx1/aetherialimp_hero.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,5,0,5,records/proxies/proxypoolequation_01.dbr,3.0,3,3
157,16,7,5,records/proxies/tier16waves/proxy_w07_p05a.dbr,records/proxies/poolsherogdx1/aetherialcorruption_hero.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,5,0,5,records/proxies/proxypoolequation_01.dbr,3.0,3,3
157,16,7,5,records/proxies/tier16waves/proxy_w07_p05a.dbr,records/proxies/poolsherogdx3/wight_hero.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,4,0,4,records/proxies/proxypoolequation_01.dbr,3.0,3,3
157,16,7,6,records/proxies/tier16waves/proxy_w07_p06a.dbr,records/proxies/poolsherogdx1/aetherialcolossus_hero.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,5,0,5,records/proxies/proxypoolequation_01.dbr,3.0,3,3
158,16,8,1,records/proxies/tier16waves/proxy_w08_p01a.dbr,records/proxies/poolsbasic/chthoniandevourer_t3.dbr,100.0,False,9,11,0,0,0.0,12,12,12,2,2,3,0,inf,0,records/proxies/proxypoolequation_01.dbr,12.0,12,12
158,16,8,1,records/proxies/tier16waves/proxy_w08_p01a.dbr,records/proxies/poolsbasicgdx1/swampcrab_t3.dbr,100.0,False,6,7,0,0,0.0,8,8,8,2,2,3,0,inf,0,records/proxies/proxypoolequation_01.dbr,8.0,8,8
158,16,8,1,records/proxies/tier16waves/proxy_w08_p01a.dbr,records/proxies/poolsbasicgdx2/sandlizard_t3.dbr,100.0,False,5,6,0,0,0.0,7,7,7,2,2,4,0,inf,0,records/proxies/proxypoolequation_01.dbr,7.0,7,7
158,16,8,2,records/proxies/tier16waves/proxy_w08_p02a.dbr,records/proxies/poolsdevotion/devotion_heroes01.dbr,100.0,False,0,0,1,1,100.0,1,1,1,3,3,0,14,0,14,records/proxies/proxypoolequation_01.dbr,3.0,3,3
