record,char_level,base_life,life_passive_pct,passive_sources,ehp_w151,ehp_w160,ehp_w170
records/creatures/enemies/aetherialbloater_b01_summon.dbr,104,38730.5263,86.0,armorbase04.dbr[103]=86.0,415191,422162,429908
records/creatures/enemies/aetherialbloater_b01_summon.dbr,105,39224.693,94.0,armorbase04.dbr[104]=94.0,423626,430687,438532
records/creatures/enemies/aetherialbloater_b01_summon.dbr,106,39720.4152,103.0,armorbase04.dbr[105]=103.0,432555,439704,447649
records/creatures/enemies/aetherialbloater_b01_summon.dbr,107,40217.6831,111.0,armorbase04.dbr[106]=111.0,441187,448427,456470
records/creatures/enemies/aetherialbloater_b01_summon.dbr,108,40716.4871,121.0,armorbase04.dbr[107]=121.0,450731,458060,466203
records/creatures/enemies/aetherialbloater_c01.dbr,104,46512.345,86.0,armorbase04.dbr[103]=86.0,498612,506984,516287
records/creatures/enemies/aetherialbloater_c01.dbr,105,47106.1867,94.0,armorbase04.dbr[104]=94.0,508746,517225,526647
records/creatures/enemies/aetherialbloater_c01.dbr,106,47701.8977,103.0,armorbase04.dbr[105]=103.0,519473,528060,537600
records/creatures/enemies/aetherialbloater_c01_summon.dbr,106,47701.8977,103.0,armorbase04.dbr[105]=103.0,519473,528060,537600
records/creatures/enemies/aetherialbloater_c01_summon.dbr,107,48299.4662,111.0,armorbase04.dbr[106]=111.0,529845,538539,548198
records/creatures/enemies/aetherialbloater_c01_summon.dbr,108,48898.8806,121.0,armorbase04.dbr[107]=121.0,541310,550112,559892
records/creatures/enemies/aetherialcolossus_a01.dbr,104,61715.0631,86.0,armorbase04.dbr[103]=86.0,661585,672694,685037
records/creatures/enemies/aetherialcolossus_a01.dbr,105,62605.8747,94.0,armorbase04.dbr[104]=94.0,676143,687412,699933
records/creatures/enemies/aetherialcolossus_a01.dbr,106,63500.9385,103.0,armorbase04.dbr[105]=103.0,691525,702955,715655
records/creatures/enemies/aetherialcolossus_b01.dbr,105,75564.9297,94.0,armorbase04.dbr[104]=94.0,816101,829702,844815
records/creatures/enemies/aetherialcolossus_b01.dbr,106,76644.8469,103.0,armorbase04.dbr[105]=103.0,834662,848458,863787
records/creatures/enemies/aetherialcolossus_c01.dbr,105,96434.0896,94.0,armorbase04.dbr[104]=94.0,1041488,1058846,1078133
records/creatures/enemies/aetherialcolossus_c01.dbr,106,97812.1304,103.0,armorbase04.dbr[105]=103.0,1065174,1082780,1102342
records/creatures/enemies/aetherialcolossus_c02.dbr,105,96434.0896,94.0,armorbase04.dbr[104]=94.0,1041488,1058846,1078133
records/creatures/enemies/aetherialcolossus_c02.dbr,106,97812.1304,103.0,armorbase04.dbr[105]=103.0,1065174,1082780,1102342
records/creatures/enemies/aetherialcolossus_c02_summon.dbr,106,97812.1304,103.0,armorbase04.dbr[105]=103.0,1065174,1082780,1102342
records/creatures/enemies/aetherialcolossus_c02_summon.dbr,107,99196.6868,111.0,armorbase04.dbr[106]=111.0,1088187,1106043,1125882
records/creatures/enemies/aetherialcolossus_c02_summon.dbr,108,100587.7283,121.0,armorbase04.dbr[107]=121.0,1113506,1131611,1151729
records/creatures/enemies/aetherialcorruption_a01.dbr,102,15745.9829,61.0,armorbase02.dbr[101]=61.0,164860,167694,170843
records/creatures/enemies/aetherialcorruption_a01.dbr,103,15950.9765,69.0,armorbase02.dbr[102]=69.0,168282,171153,174344
records/creatures/enemies/aetherialcorruption_a01_summon.dbr,103,15950.9765,69.0,armorbase02.dbr[102]=69.0,168282,171153,174344
records/creatures/enemies/aetherialcorruption_a01_summon.dbr,104,16156.628,74.0,armorbase02.dbr[103]=74.0,171260,174168,177399
records/creatures/enemies/aetherialcorruption_a01_summon.dbr,105,16362.9331,82.0,armorbase02.dbr[104]=82.0,174756,177701,180974
records/creatures/enemies/aetherialcorruption_a01_summon.dbr,106,16569.8876,88.0,armorbase02.dbr[105]=88.0,177960,180943,184257
records/creatures/enemies/aetherialcorruption_b01.dbr,103,25603.0887,78.0,armorbase03.dbr[102]=78.0,272416,277025,282146
records/creatures/enemies/aetherialcorruption_b01.dbr,104,25933.5735,86.0,armorbase03.dbr[103]=86.0,278007,282675,287862
records/creatures/enemies/aetherialcorruption_b01_summon.dbr,104,25933.5735,86.0,armorbase03.dbr[103]=86.0,278007,282675,287862
records/creatures/enemies/aetherialcorruption_b01_summon.dbr,105,26265.1086,94.0,armorbase03.dbr[104]=94.0,283663,288390,293643
records/creatures/enemies/aetherialcorruption_b01_summon.dbr,106,26597.6874,103.0,armorbase03.dbr[105]=103.0,289648,294436,299755
records/creatures/enemies/aetherialcorruption_b01_summon.dbr,107,26931.3031,111.0,armorbase03.dbr[106]=111.0,295436,300284,305670
records/creatures/enemies/aetherialcorruption_b01_summon.dbr,108,27265.9494,121.0,armorbase03.dbr[107]=121.0,301834,306741,312195
records/creatures/enemies/aetherialcorruption_b02.dbr,103,25603.0887,78.0,armorbase03.dbr[102]=78.0,272416,277025,282146
records/creatures/enemies/aetherialcorruption_b02.dbr,104,25933.5735,86.0,armorbase03.dbr[103]=86.0,278007,282675,287862
records/creatures/enemies/aetherialcorruption_b02_summon.dbr,104,25933.5735,86.0,armorbase03.dbr[103]=86.0,278007,282675,287862
records/creatures/enemies/aetherialcorruption_b02_summon.dbr,105,26265.1086,94.0,armorbase03.dbr[104]=94.0,283663,288390,293643
records/creatures/enemies/aetherialcorruption_b02_summon.dbr,106,26597.6874,103.0,armorbase03.dbr[105]=103.0,289648,294436,299755
records/creatures/enemies/aetherialcorruption_b02_summon.dbr,107,26931.3031,111.0,armorbase03.dbr[106]=111.0,295436,300284,305670
records/creatures/enemies/aetherialcorruption_b02_summon.dbr,108,27265.9494,121.0,armorbase03.dbr[107]=121.0,301834,306741,312195
records/creatures/enemies/aetherialcorruption_b03.dbr,103,25603.0887,78.0,armorbase03.dbr[102]=78.0,272416,277025,282146
records/creatures/enemies/aetherialcorruption_b03.dbr,104,25933.5735,86.0,armorbase03.dbr[103]=86.0,278007,282675,287862
records/creatures/enemies/aetherialcorruption_b03_summon.dbr,104,25933.5735,86.0,armorbase03.dbr[103]=86.0,278007,282675,287862
records/creatures/enemies/aetherialcorruption_b03_summon.dbr,105,26265.1086,94.0,armorbase03.dbr[104]=94.0,283663,288390,293643
records/creatures/enemies/aetherialcorruption_b03_summon.dbr,106,26597.6874,103.0,armorbase03.dbr[105]=103.0,289648,294436,299755
records/creatures/enemies/aetherialcorruption_b03_summon.dbr,107,26931.3031,111.0,armorbase03.dbr[106]=111.0,295436,300284,305670
records/creatures/enemies/aetherialcorruption_b03_summon.dbr,108,27265.9494,121.0,armorbase03.dbr[107]=121.0,301834,306741,312195
records/creatures/enemies/aetherialcorruption_c01.dbr,103,40025.4803,78.0,armorbase03.dbr[102]=78.0,425871,433075,441080
records/creatures/enemies/aetherialcorruption_c01.dbr,104,40542.4937,86.0,armorbase03.dbr[103]=86.0,434615,441913,450021
records/creatures/enemies/aetherialcorruption_c01_summon.dbr,106,41581.4393,103.0,armorbase03.dbr[105]=103.0,452821,460306,468622
records/creatures/enemies/aetherialcorruption_c01_summon.dbr,107,42103.3508,111.0,armorbase03.dbr[106]=111.0,461873,469452,477873
records/creatures/enemies/aetherialcorruption_c01_summon.dbr,108,42626.8744,121.0,armorbase03.dbr[107]=121.0,471879,479552,488077
records/creatures/enemies/aetherialfleshshaper_a01.dbr,103,11946.8063,69.0,armorbase02.dbr[102]=69.0,126038,128189,130578
records/creatures/enemies/aetherialfleshshaper_a01.dbr,104,12095.889,74.0,armorbase02.dbr[103]=74.0,128216,130393,132812
records/creatures/enemies/aetherialfleshshaper_b01.dbr,104,19329.0911,74.0,armorbase02.dbr[103]=74.0,204888,208367,212233
records/creatures/enemies/aetherialfleshshaper_b01.dbr,105,19570.1136,82.0,armorbase02.dbr[104]=82.0,209008,212531,216445
records/creatures/enemies/aetherialfleshshaper_b01.dbr,106,19811.8257,88.0,armorbase02.dbr[105]=88.0,212779,216345,220307
records/creatures/enemies/aetherialfleshshaper_c01.dbr,104,23371.6152,74.0,armorbase02.dbr[103]=74.0,247739,251946,256620
records/creatures/enemies/aetherialfleshshaper_c01.dbr,105,23663.242,82.0,armorbase02.dbr[104]=82.0,252723,256982,261715
records/creatures/enemies/aetherialfleshshaper_c01.dbr,106,23955.7031,88.0,armorbase02.dbr[105]=88.0,257284,261596,266387
records/creatures/enemies/aetherialimp_a00_summon.dbr,104,5269.0986,74.0,armorbase01.dbr[103]=74.0,55852,56800,57854
records/creatures/enemies/aetherialimp_a00_summon.dbr,105,5335.9485,82.0,armorbase01.dbr[104]=82.0,56987,57948,59015
records/creatures/enemies/aetherialimp_a00_summon.dbr,106,5403.0089,88.0,armorbase01.dbr[105]=88.0,58028,59000,60081
records/creatures/enemies/aetherialimp_a01.dbr,102,10083.1713,61.0,armorbase01.dbr[101]=61.0,105570,107385,109402
records/creatures/enemies/aetherialimp_a01.dbr,103,10214.2072,69.0,armorbase01.dbr[102]=69.0,107759,109598,111641
records/creatures/enemies/aetherialimp_a01.dbr,104,10345.6635,74.0,armorbase01.dbr[103]=74.0,109664,111526,113595
records/creatures/enemies/aetherialimp_b01.dbr,103,15930.9765,69.0,armorbase02.dbr[102]=69.0,168071,170939,174125
records/creatures/enemies/aetherialimp_b01.dbr,104,16136.628,74.0,armorbase02.dbr[103]=74.0,171048,173952,177180
records/creatures/enemies/aetherialimp_b01.dbr,105,16342.9331,82.0,armorbase02.dbr[104]=82.0,174542,177484,180752
records/creatures/enemies/aetherialimp_b01.dbr,106,16549.8876,88.0,armorbase02.dbr[105]=88.0,177745,180724,184034
records/creatures/enemies/aetherialworm_b01_summon.dbr,106,26587.6874,103.0,armorbase03.dbr[105]=103.0,289539,294325,299643
records/creatures/enemies/aetherialworm_b01_summon.dbr,107,26921.3031,111.0,armorbase03.dbr[106]=111.0,295326,300172,305556
records/creatures/enemies/aetherialworm_b01_summon.dbr,108,27255.9494,121.0,armorbase03.dbr[107]=121.0,301723,306629,312080
records/creatures/enemies/aetherialworm_b02_summon.dbr,106,26587.6874,103.0,armorbase03.dbr[105]=103.0,289539,294325,299643
records/creatures/enemies/aetherialworm_b02_summon.dbr,107,26921.3031,111.0,armorbase03.dbr[106]=111.0,295326,300172,305556
records/creatures/enemies/aetherialworm_b02_summon.dbr,108,27255.9494,121.0,armorbase03.dbr[107]=121.0,301723,306629,312080
records/creatures/enemies/aetherialworm_b03_summon.dbr,106,26587.6874,103.0,armorbase03.dbr[105]=103.0,289539,294325,299643
records/creatures/enemies/aetherialworm_b03_summon.dbr,107,26921.3031,111.0,armorbase03.dbr[106]=111.0,295326,300172,305556
records/creatures/enemies/aetherialworm_b03_summon.dbr,108,27255.9494,121.0,armorbase03.dbr[107]=121.0,301723,306629,312080
records/creatures/enemies/aetherialworm_b04_summon.dbr,106,26587.6874,103.0,armorbase03.dbr[105]=103.0,289539,294325,299643
records/creatures/enemies/aetherialworm_b04_summon.dbr,107,26921.3031,111.0,armorbase03.dbr[106]=111.0,295326,300172,305556
records/creatures/enemies/aetherialworm_b04_summon.dbr,108,27255.9494,121.0,armorbase03.dbr[107]=121.0,301723,306629,312080
records/creatures/enemies/avian_a01.dbr,103,38236.8541,78.0,armorbase04.dbr[102]=78.0,406840,413722,421370
records/creatures/enemies/avian_a01.dbr,104,38793.591,86.0,armorbase04.dbr[103]=86.0,415867,422850,430608
records/creatures/enemies/avian_b01.dbr,104,61815.0631,86.0,armorbase04.dbr[103]=86.0,662657,673784,686147
records/creatures/enemies/avian_b01.dbr,105,62705.8747,94.0,armorbase04.dbr[104]=94.0,677223,688510,701051
records/creatures/enemies/avian_b01.dbr,106,63600.9385,103.0,armorbase04.dbr[105]=103.0,692614,704062,716782
records/creatures/enemies/avian_c01.dbr,105,75614.9297,94.0,armorbase04.dbr[104]=94.0,816641,830251,845374
records/creatures/enemies/avian_c01.dbr,106,76694.8469,103.0,armorbase04.dbr[105]=103.0,835206,849011,864350
records/creatures/enemies/basilisk_a01.dbr,102,8741.2908,61.0,armorbase02.dbr[101]=61.0,91521,93094,94843
records/creatures/enemies/basilisk_a01.dbr,103,8855.1931,69.0,armorbase02.dbr[102]=69.0,93422,95016,96787
records/creatures/enemies/basilisk_b01.dbr,103,22256.9118,78.0,armorbase03.dbr[102]=78.0,236813,240819,245271
records/creatures/enemies/basilisk_b01.dbr,104,22544.1843,86.0,armorbase03.dbr[103]=86.0,241673,245731,250240
records/creatures/enemies/basilisk_c01.dbr,104,33046.4282,86.0,armorbase03.dbr[103]=86.0,354257,360206,366815
records/creatures/enemies/basilisk_c01.dbr,105,33468.9417,94.0,armorbase03.dbr[104]=94.0,361464,367488,374182
records/creatures/enemies/basilisk_c01.dbr,106,33892.7853,103.0,armorbase03.dbr[105]=103.0,369092,375193,381971
records/creatures/enemies/beaverriver_a01.dbr,103,3751.5023,69.0,armorbase01.dbr[102]=69.0,39578,40253,41003
records/creatures/enemies/beaverriver_a01.dbr,104,3797.9994,74.0,armorbase01.dbr[103]=74.0,40258,40942,41702
records/creatures/enemies/beaverriver_b01.dbr,104,9216.5971,74.0,armorbase02.dbr[103]=74.0,97695,99354,101198
records/creatures/enemies/beaverriver_b01.dbr,105,9329.8148,82.0,armorbase02.dbr[104]=82.0,99642,101321,103187
records/creatures/enemies/beaverriver_b01.dbr,106,9443.3347,88.0,armorbase02.dbr[105]=88.0,101421,103121,105009
records/creatures/enemies/beetle_a01_summon.dbr,104,3807.9994,74.0,armorbase02.dbr[103]=74.0,40364,41050,41811
records/creatures/enemies/beetle_a01_summon.dbr,105,3854.6219,82.0,armorbase02.dbr[104]=82.0,41167,41861,42632
records/creatures/enemies/beetle_a01_summon.dbr,106,3901.369,88.0,armorbase02.dbr[105]=88.0,41900,42602,43383
records/creatures/enemies/bonerat_witchgod_a01_summon.dbr,106,10579.8269,88.0,armorbase02.dbr[105]=88.0,113627,115531,117647
records/creatures/enemies/bonerat_witchgod_a01_summon.dbr,107,10712.5287,96.0,armorbase02.dbr[106]=96.0,115909,117837,119980
records/creatures/enemies/bonerat_witchgod_a01_summon.dbr,108,10845.6403,102.0,armorbase02.dbr[107]=102.0,118000,119952,122121
records/creatures/enemies/bonerat_witchgod_b01_summon.dbr,106,18127.4867,88.0,armorbase02.dbr[105]=88.0,194689,197952,201577
records/creatures/enemies/bonerat_witchgod_b01_summon.dbr,107,18355.0373,96.0,armorbase02.dbr[106]=96.0,198601,201905,205576
records/creatures/enemies/bonerat_witchgod_b01_summon.dbr,108,18583.2909,102.0,armorbase02.dbr[107]=102.0,202186,205531,209247
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,106,350483.0882,103.0,armorbase05.dbr[105]=103.0,3816760,3879847,3949944
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,107,355312.5909,111.0,armorbase05.dbr[106]=111.0,3897779,3961735,4032797
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss01.dbr,108,360164.7144,121.0,armorbase05.dbr[107]=121.0,3987023,4051853,4123885
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss02.dbr,106,302052.1729,103.0,armorbase05.dbr[105]=103.0,3289348,3343717,3404127
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss02.dbr,107,306265.6399,111.0,armorbase05.dbr[106]=111.0,3359734,3414861,3476115
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss02.dbr,108,310498.8423,121.0,armorbase05.dbr[107]=121.0,3437222,3493111,3555211
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss03.dbr,106,302052.1729,103.0,armorbase05.dbr[105]=103.0,3289348,3343717,3404127
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss03.dbr,107,306265.6399,111.0,armorbase05.dbr[106]=111.0,3359734,3414861,3476115
records/creatures/enemies/boss&quest/aetherial_enclave_sideboss03.dbr,108,310498.8423,121.0,armorbase05.dbr[107]=121.0,3437222,3493111,3555211
records/creatures/enemies/boss&quest/aetherial_final02.dbr,106,207385.3354,103.0,armorbase05.dbr[105]=103.0,2258426,2295755,2337232
records/creatures/enemies/boss&quest/aetherial_final02.dbr,107,210319.852,111.0,armorbase05.dbr[106]=111.0,2307208,2345066,2387130
records/creatures/enemies/boss&quest/aetherial_final02.dbr,108,213268.1136,121.0,armorbase05.dbr[107]=121.0,2360878,2399266,2441919
records/creatures/enemies/boss&quest/aetherial_fleshhulk_mine.dbr,106,144783.4379,103.0,armorbase05.dbr[105]=103.0,1576691,1602752,1631709
records/creatures/enemies/boss&quest/aetherial_fleshhulk_mine.dbr,107,146835.6663,111.0,armorbase05.dbr[106]=111.0,1610787,1637217,1666584
records/creatures/enemies/boss&quest/aetherial_fleshhulk_mine.dbr,108,148897.5071,121.0,armorbase05.dbr[107]=121.0,1648295,1675096,1704876
records/creatures/enemies/boss&quest/aetherial_fleshweaverkrieg.dbr,106,179824.9341,103.0,armorbase05.dbr[105]=103.0,1958293,1990662,2026627
records/creatures/enemies/boss&quest/aetherial_fleshweaverkrieg.dbr,107,182368.5267,111.0,armorbase05.dbr[106]=111.0,2000582,2033409,2069882
records/creatures/enemies/boss&quest/aetherial_fleshweaverkrieg.dbr,108,184924.0331,121.0,armorbase05.dbr[107]=121.0,2047109,2080395,2117380
records/creatures/enemies/boss&quest/aetherial_fleshweaverkriegb.dbr,106,179824.9341,103.0,armorbase05.dbr[105]=103.0,1958293,1990662,2026627
records/creatures/enemies/boss&quest/aetherial_fleshweaverkriegb.dbr,107,182368.5267,111.0,armorbase05.dbr[106]=111.0,2000582,2033409,2069882
records/creatures/enemies/boss&quest/aetherial_fleshweaverkriegb.dbr,108,184924.0331,121.0,armorbase05.dbr[107]=121.0,2047109,2080395,2117380
records/creatures/enemies/boss&quest/aetherial_guardian01.dbr,106,179824.9341,103.0,armorbase05.dbr[105]=103.0,1958293,1990662,2026627
records/creatures/enemies/boss&quest/aetherial_guardian01.dbr,107,182368.5267,111.0,armorbase05.dbr[106]=111.0,2000582,2033409,2069882
records/creatures/enemies/boss&quest/aetherial_guardian01.dbr,108,184924.0331,121.0,armorbase05.dbr[107]=121.0,2047109,2080395,2117380
records/creatures/enemies/boss&quest/aetherial_guardian02.dbr,106,179824.9341,103.0,armorbase05.dbr[105]=103.0,1958293,1990662,2026627
records/creatures/enemies/boss&quest/aetherial_guardian02.dbr,107,182368.5267,111.0,armorbase05.dbr[106]=111.0,2000582,2033409,2069882
records/creatures/enemies/boss&quest/aetherial_guardian02.dbr,108,184924.0331,121.0,armorbase05.dbr[107]=121.0,2047109,2080395,2117380
records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,106,179824.9341,103.0,armorbase05.dbr[105]=103.0,1958293,1990662,2026627
records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,107,182368.5267,111.0,armorbase05.dbr[106]=111.0,2000582,2033409,2069882
records/creatures/enemies/boss&quest/aetherialbloater_malmouthdocks_01.dbr,108,184924.0331,121.0,armorbase05.dbr[107]=121.0,2047109,2080395,2117380
records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,106,207385.3354,103.0,armorbase05.dbr[105]=103.0,2258426,2295755,2337232
records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,107,210319.852,111.0,armorbase05.dbr[106]=111.0,2307208,2345066,2387130
records/creatures/enemies/boss&quest/aetherialcolossus_galakros.dbr,108,213268.1136,121.0,armorbase05.dbr[107]=121.0,2360878,2399266,2441919
records/creatures/enemies/boss&quest/aetherialcommander_01.dbr,106,207185.3354,103.0,armorbase05.dbr[105]=103.0,2256248,2293541,2334978
records/creatures/enemies/boss&quest/aetherialcommander_01.dbr,107,210119.852,111.0,armorbase05.dbr[106]=111.0,2305014,2342836,2384860
records/creatures/enemies/boss&quest/aetherialcommander_01.dbr,108,213068.1136,121.0,armorbase05.dbr[107]=121.0,2358664,2397016,2439629
records/creatures/enemies/boss&quest/aetherialcorruption_intro.dbr,106,128814.4777,103.0,armorbase05.dbr[105]=103.0,1402789,1425976,1451739
records/creatures/enemies/boss&quest/aetherialcorruption_intro.dbr,107,130634.5244,111.0,armorbase05.dbr[106]=111.0,1433060,1456574,1482701
records/creatures/enemies/boss&quest/aetherialcorruption_intro.dbr,108,132463.0959,121.0,armorbase05.dbr[107]=121.0,1466366,1490209,1516702
records/creatures/enemies/boss&quest/aetherialfleshshaper_haraxis.dbr,106,179824.9341,103.0,armorbase05.dbr[105]=103.0,1958293,1990662,2026627
records/creatures/enemies/boss&quest/aetherialfleshshaper_haraxis.dbr,107,182368.5267,111.0,armorbase05.dbr[106]=111.0,2000582,2033409,2069882
records/creatures/enemies/boss&quest/aetherialfleshshaper_haraxis.dbr,108,184924.0331,121.0,armorbase05.dbr[107]=121.0,2047109,2080395,2117380
records/creatures/enemies/boss&quest/aetherialfleshshaper_hinissius.dbr,106,179824.9341,103.0,armorbase05.dbr[105]=103.0,1958293,1990662,2026627
records/creatures/enemies/boss&quest/aetherialfleshshaper_hinissius.dbr,107,182368.5267,111.0,armorbase05.dbr[106]=111.0,2000582,2033409,2069882
records/creatures/enemies/boss&quest/aetherialfleshshaper_hinissius.dbr,108,184924.0331,121.0,armorbase05.dbr[107]=121.0,2047109,2080395,2117380
records/creatures/enemies/boss&quest/avian_worldtear_01.dbr,106,207385.3354,103.0,armorbase05.dbr[105]=103.0,2258426,2295755,2337232
records/creatures/enemies/boss&quest/avian_worldtear_01.dbr,107,210319.852,111.0,armorbase05.dbr[106]=111.0,2307208,2345066,2387130
records/creatures/enemies/boss&quest/avian_worldtear_01.dbr,108,213268.1136,121.0,armorbase05.dbr[107]=121.0,2360878,2399266,2441919
records/creatures/enemies/boss&quest/avian_worldtear_01b.dbr,106,207385.3354,103.0,armorbase05.dbr[105]=103.0,2258426,2295755,2337232
records/creatures/enemies/boss&quest/avian_worldtear_01b.dbr,107,210319.852,111.0,armorbase05.dbr[106]=111.0,2307208,2345066,2387130
records/creatures/enemies/boss&quest/avian_worldtear_01b.dbr,108,213268.1136,121.0,armorbase05.dbr[107]=121.0,2360878,2399266,2441919
records/creatures/enemies/boss&quest/basilisk_witchritual.dbr,106,179824.9341,103.0,armorbase05.dbr[105]=103.0,1958293,1990662,2026627
records/creatures/enemies/boss&quest/basilisk_witchritual.dbr,107,182368.5267,111.0,armorbase05.dbr[106]=111.0,2000582,2033409,2069882
records/creatures/enemies/boss&quest/basilisk_witchritual.dbr,108,184924.0331,121.0,armorbase05.dbr[107]=121.0,2047109,2080395,2117380
records/creatures/enemies/boss&quest/beetle_desert01.dbr,106,179824.9341,103.0,armorbase05.dbr[105]=103.0,1958293,1990662,2026627
records/creatures/enemies/boss&quest/beetle_desert01.dbr,107,182368.5267,111.0,armorbase05.dbr[106]=111.0,2000582,2033409,2069882
records/creatures/enemies/boss&quest/beetle_desert01.dbr,108,184924.0331,121.0,armorbase05.dbr[107]=121.0,2047109,2080395,2117380
records/creatures/enemies/boss&quest/beetle_maggot01.dbr,106,179824.9341,103.0,armorbase05.dbr[105]=103.0,1958293,1990662,2026627
records/creatures/enemies/boss&quest/beetle_maggot01.dbr,107,182368.5267,111.0,armorbase05.dbr[106]=111.0,2000582,2033409,2069882
records/creatures/enemies/boss&quest/beetle_maggot01.dbr,108,184924.0331,121.0,armorbase05.dbr[107]=121.0,2047109,2080395,2117380
records/creatures/enemies/boss&quest/beetle_maggot01_maggotsummon.dbr,106,9204.0839,88.0,armorbase02.dbr[105]=88.0,98851,100508,102349
records/creatures/enemies/boss&quest/beetle_maggot01_maggotsummon.dbr,107,9319.4343,96.0,armorbase02.dbr[106]=96.0,100836,102513,104377
records/creatures/enemies/boss&quest/beetle_maggot01_maggotsummon.dbr,108,9435.141,102.0,armorbase02.dbr[107]=102.0,102654,104352,106239
records/creatures/enemies/boss&quest/chthonian_chthonicroguelike_02.dbr,106,207185.3354,103.0,armorbase05.dbr[105]=103.0,2256248,2293541,2334978
records/creatures/enemies/boss&quest/chthonian_chthonicroguelike_02.dbr,107,210119.852,111.0,armorbase05.dbr[106]=111.0,2305014,2342836,2384860
records/creatures/enemies/boss&quest/chthonian_chthonicroguelike_02.dbr,108,213068.1136,121.0,armorbase05.dbr[107]=121.0,2358664,2397016,2439629
records/creatures/enemies/boss&quest/chthonianherald_prodromus_01.dbr,106,207385.3354,103.0,armorbase05.dbr[105]=103.0,2258426,2295755,2337232
records/creatures/enemies/boss&quest/chthonianherald_prodromus_01.dbr,107,210319.852,111.0,armorbase05.dbr[106]=111.0,2307208,2345066,2387130
records/creatures/enemies/boss&quest/chthonianherald_prodromus_01.dbr,108,213268.1136,121.0,armorbase05.dbr[107]=121.0,2360878,2399266,2441919
records/creatures/enemies/boss&quest/chthonianherald_prodromus_01b.dbr,106,207385.3354,103.0,armorbase05.dbr[105]=103.0,2258426,2295755,2337232
records/creatures/enemies/boss&quest/chthonianherald_prodromus_01b.dbr,107,210319.852,111.0,armorbase05.dbr[106]=111.0,2307208,2345066,2387130
records/creatures/enemies/boss&quest/chthonianherald_prodromus_01b.dbr,108,213268.1136,121.0,armorbase05.dbr[107]=121.0,2360878,2399266,2441919
records/creatures/enemies/boss&quest/chthonianrylok_ekketzul.dbr,106,207385.3354,103.0,armorbase05.dbr[105]=103.0,2258426,2295755,2337232
records/creatures/enemies/boss&quest/chthonianrylok_ekketzul.dbr,107,210319.852,111.0,armorbase05.dbr[106]=111.0,2307208,2345066,2387130
records/creatures/enemies/boss&quest/chthonianrylok_ekketzul.dbr,108,213268.1136,121.0,armorbase05.dbr[107]=121.0,2360878,2399266,2441919
records/creatures/enemies/boss&quest/chthonianrylok_gabalthunn.dbr,106,179824.9341,103.0,armorbase05.dbr[105]=103.0,1958293,1990662,2026627
