kit_id,origin,franchise,gateA_group,core_movement,core_delivery,core_treatment,core_function,core_proxy,core_activation,core_dependency,kit_x,kit_y,atlas_point_x,atlas_point_y,cell_x,cell_y,dx,dy,mag,beyond_horizon,nc_amp,nc_geometry,nc_defense,nc_economy,nc_range,nc_tempo,nc_commit,attr_amp_x,attr_amp_y,attr_geometry_x,attr_geometry_y,attr_defense_x,attr_defense_y,attr_economy_x,attr_economy_y,attr_range_x,attr_range_y,attr_tempo_x,attr_tempo_y,attr_commit_x,attr_commit_y,attr_coredilution_x,attr_coredilution_y,attr_coresub_x,attr_coresub_y,attr_coresub_mag,attr_residual
d2-bvc,survivor,Diablo,WHIRLWIND,FREE-MOVE,NOVA,damage,stun,solo,active,one-shot,0.71135295,-1.21054956,0.71135295,-1.2105496,0.22866673,-0.52491163,0.48268622,-0.68563793,0.83850186,1,spiky,whirlwind,tank,spend,melee,med,channel,-0.08027702,0.00480611,0.33355831,-0.51098733,-0.03522663,-0.0569643,0.04978531,0.06515038,-0.00635976,-0.07635051,-0.0609391,-0.04615711,0.3951355,-0.32450813,-0.11299038,0.25937295,-0.0,-0.0,0.0,0.0
d3-tal-meteor,survivor,Diablo,,FREE-MOVE,ZONE,damage,none,solo,active,one-shot,-0.76856973,0.07857792,-0.76856973,0.07857792,-0.06859449,0.01378673,-0.69997524,0.06479119,0.70296745,0,spiky,ground_targeted_circle,tank,cooldown,ranged,med,wind-up,-0.08027702,0.00480611,-0.14106233,0.0458897,-0.03522663,-0.0569643,-0.14758407,-0.07983229,-0.00850001,0.06843719,-0.0609391,-0.04615711,-0.26028046,0.13542429,0.03389438,-0.00681239,0.0,-0.0,0.0,0.0
di-meteor-wizard,survivor,Diablo,,ROOTED,ZONE,damage,none,solo,active,one-shot,-0.64684687,0.23237437,-0.64684687,0.23237437,0.01434413,0.10148127,-0.661191,0.1308931,0.67402265,0,spiky,ground_targeted_circle,glass,cooldown,ranged,med,wind-up,-0.08027702,0.00480611,-0.14106233,0.0458897,0.04453982,0.05246984,-0.14758407,-0.07983229,-0.00850001,0.06843719,-0.0609391,-0.04615711,-0.26028046,0.13542429,-0.00708782,-0.05014462,0.0,-0.0,1e-08,0.0
ud-flamethrower-channel,survivor,undecember,CHANNELED-BEAM,ROOTED,BEAM,damage,none,solo,active,one-shot,1.39025235,-0.32122174,1.3902523,-0.32122174,0.82149783,0.0303787,0.56875452,-0.35160044,0.66865879,1,flat,cone,glass,reserve,dual,high,channel,0.02834256,-0.01422725,0.36710139,0.14088872,0.04453982,0.05246984,0.05291033,-0.24346422,0.02067763,0.02475544,0.06597146,0.02749609,0.3951355,-0.32450813,-0.40592417,-0.01501093,-0.0,0.0,0.0,0.0
poe1-poets-pen-vd,survivor,PoE,,FREE-MOVE,ZONE,damage,none,light,triggered,apply→detonate,-0.15212161,0.36990133,-0.15212161,0.36990133,-0.63975729,-0.03092537,0.48763568,0.4008267,0.63122944,0,flat,multi_projectile,mitigate,free,dual,high,instant,0.02834256,-0.01422725,0.08657371,0.16369518,0.02669736,0.09551694,-0.03554758,0.06920484,0.02067763,0.02475544,0.06597146,0.02749609,-0.02120073,0.01910441,0.31612128,0.01528106,-0.0,-0.0,1e-08,0.0
gd-shadow-strike-infiltrator,survivor,gd,,FREE-MOVE,ZONE,damage,hard-stop,solo,active,one-shot,-0.43515989,-0.35581265,-0.43515989,-0.35581265,-0.04876541,0.12124903,-0.38639448,-0.47706168,0.61391248,0,spiky,dash_attack,tank,cooldown,melee,med,instant,-0.08027702,0.00480611,-0.05890347,-0.18175558,-0.03522663,-0.0569643,-0.14758407,-0.07983229,-0.00635976,-0.07635051,-0.0609391,-0.04615711,-0.02120073,0.01910441,0.0240963,-0.05991241,-0.0,0.0,0.0,0.0
d3-arachyr-firebats,survivor,Diablo,CHANNELED-BEAM,ROOTED,BEAM,damage,none,light,active,one-shot,1.023126,-0.54406563,1.023126,-0.54406563,0.70062777,-0.03087632,0.32249823,-0.51318931,0.60610921,0,flat,other-rare,tank,spend,melee,high,channel,0.02834256,-0.01422725,0.17104882,-0.14904242,-0.03522663,-0.0569643,0.04978531,0.06515038,-0.00635976,-0.07635051,0.06597146,0.02749609,0.3951355,-0.32450813,-0.34619902,0.01525682,0.0,-0.0,0.0,0.0
le-ghostflame-warlock,survivor,le,CHANNELED-BEAM,ROOTED,BEAM,damage,hex,solo,active,one-shot,1.13908553,-0.44109253,1.1390855,-0.44109253,0.88304545,0.10579583,0.25604008,-0.54688836,0.6038571,0,flat,vortex_pull,absorb,reserve,dual,high,channel,0.02834256,-0.01422725,0.07375186,0.02751978,0.05558724,0.00781649,0.05291033,-0.24346422,0.02067763,0.02475544,0.06597146,0.02749609,0.3951355,-0.32450813,-0.4363365,-0.05227657,0.0,0.0,1e-08,0.0
d3-leapquake,survivor,Diablo,,FREE-MOVE,ZONE,damage,none,solo,triggered,one-shot,-0.45957076,-0.36997118,-0.45957076,-0.36997118,-0.09702035,0.09326071,-0.36255041,-0.46323189,0.58824025,0,spiky,dash_attack,tank,cooldown,melee,med,instant,-0.08027702,0.00480611,-0.05890347,-0.18175558,-0.03522663,-0.0569643,-0.14758407,-0.07983229,-0.00635976,-0.07635051,-0.0609391,-0.04615711,-0.02120073,0.01910441,0.04794036,-0.04608262,0.0,0.0,0.0,0.0
poe1-armageddon-brand,survivor,PoE,,FREE-MOVE,SUMMON,damage,none,light,active,one-shot,-0.5614219,-0.11410015,-0.5614219,-0.11410015,0.02215793,-0.05367241,-0.58357983,-0.06042774,0.58670003,0,flat,totem,mitigate,cooldown,ranged,med,instant,0.02834256,-0.01422725,-0.28239289,-0.1329291,0.02669736,0.09551694,-0.14758407,-0.07983229,-0.00850001,0.06843719,-0.0609391,-0.04615711,-0.02120073,0.01910441,0.09361953,0.02345536,-0.21162248,0.00620411,0.2117134,0.0
d2-firewall-sorc,survivor,Diablo,,FREE-MOVE,BEAM,damage,none,solo,active,one-shot,0.21488541,0.20212858,0.21488541,0.20212858,0.73855921,-0.05731584,-0.5236738,0.25944442,0.58441908,0,flat,blank,glass,spend,dual,low,instant,0.03095589,-0.01553907,0,0,0.04864662,0.05730784,0.05437577,0.07115759,0.02258421,0.02703802,-0.06431479,0.0344529,-0.02315554,0.02086593,-0.1180777,-0.00554406,-0.47468825,0.06970528,0.47977887,0.0
d3-lod-bazooka,survivor,Diablo,,FREE-MOVE,ZONE,damage,none,solo,active,one-shot,-0.56914652,0.30126206,-0.56914652,0.30126206,-0.06859449,0.01378673,-0.50055203,0.28747533,0.57722993,0,spiky,ground_targeted_circle,tank,spend,ranged,low,wind-up,-0.08027702,0.00480611,-0.14106233,0.0458897,-0.03522663,-0.0569643,0.04978531,0.06515038,-0.00850001,0.06843719,-0.05888526,0.03154434,-0.26028046,0.13542429,0.03389438,-0.00681239,0.0,-0.0,0.0,0.0
di-draw-quarter-crusader,survivor,Diablo,,FREE-MOVE,NOVA,control,knockback,solo,active,one-shot,-0.04079863,-0.74159944,-0.04079863,-0.74159944,0.51608313,-0.60374192,-0.55688176,-0.13785752,0.57369154,0,flat,dash_attack,tank,cooldown,melee,med,instant,0.02834256,-0.01422725,-0.05890347,-0.18175558,-0.03522663,-0.0569643,-0.14758407,-0.07983229,-0.00635976,-0.07635051,-0.0609391,-0.04615711,-0.02120073,0.01910441,-0.25501055,0.29832512,-0.0,-0.0,1e-08,0.0
tq-shield-charge-conqueror,survivor,TitanQuest,,FREE-MOVE,NOVA,control,knockback,solo,active,one-shot,-0.04079863,-0.74159944,-0.04079863,-0.74159944,0.51608313,-0.60374192,-0.55688176,-0.13785752,0.57369154,0,flat,dash_attack,tank,cooldown,melee,med,instant,0.02834256,-0.01422725,-0.05890347,-0.18175558,-0.03522663,-0.0569643,-0.14758407,-0.07983229,-0.00635976,-0.07635051,-0.0609391,-0.04615711,-0.02120073,0.01910441,-0.25501055,0.29832512,-0.0,-0.0,1e-08,0.0
poe1-incinerate,survivor,PoE,CHANNELED-BEAM,ROOTED,BEAM,damage,none,solo,active,build→spend,1.38863136,0.04658165,1.3886314,0.04658165,0.82447099,0.14738195,0.56416037,-0.1008003,0.57309478,1,flat,cone,glass,spend,dual,high,channel,0.02834256,-0.01422725,0.36710139,0.14088872,0.04453982,0.05246984,0.04978531,0.06515038,0.02067763,0.02475544,0.06597146,0.02749609,0.3951355,-0.32450813,-0.40739328,-0.07282538,-0.0,-0.0,0.0,0.0
poe1-winter-orb,survivor,PoE,,WALK,ORBITAL,damage,hard-stop,light,triggered,one-shot,0.68382493,0.06025922,0.68382493,0.06025922,0.1486457,0.25432896,0.53517923,-0.19406974,0.56928014,0,flat,multi_projectile,mitigate,generator-spender,dual,high,channel,0.02834256,-0.01422725,0.08657371,0.16369518,0.02669736,0.09551694,-0.01476915,-0.04112723,0.02067763,0.02475544,0.06597146,0.02749609,0.3951355,-0.32450813,-0.07344984,-0.12567078,0.0,0.0,0.0,0.0
di-crusader-banner-support,survivor,Diablo,,WALK,ZONE,damage,none,solo,active,one-shot,-0.55213121,-0.23783348,-0.55213121,-0.23783348,-0.15827863,0.15312794,-0.39385258,-0.39096142,0.55495107,0,flat,totem,evade,cooldown,melee,med,instant,0.02834256,-0.01422725,-0.28239289,-0.1329291,0.01807169,0.01509507,-0.14758407,-0.07983229,-0.00635976,-0.07635051,-0.0609391,-0.04615711,-0.02120073,0.01910441,0.07820973,-0.07566463,-0.0,0.0,0.0,0.0
poe2-supporting-fire,survivor,PoE,,ROOTED,SUMMON,damage,knockback,light,active,one-shot,-0.27980855,-0.20570056,-0.27980855,-0.20570056,0.23191162,-0.40637529,-0.51172017,0.20067473,0.5496616,0,flat,totem,evade,spend,ranged,med,instant,0.02834256,-0.01422725,-0.28239289,-0.1329291,0.01807169,0.01509507,0.04978531,0.06515038,-0.00850001,0.06843719,-0.0609391,-0.04615711,-0.02120073,0.01910441,0.00290629,0.17599056,-0.23779328,0.05021059,0.24303652,0.0
d4-earthquake-barb,survivor,Diablo,,FREE-MOVE,ZONE,damage,none,solo,triggered,one-shot,-0.35095119,-0.38900454,-0.35095119,-0.38900454,-0.09702035,0.09326071,-0.25393084,-0.48226525,0.5450327,0,flat,dash_attack,tank,cooldown,melee,med,instant,0.02834256,-0.01422725,-0.05890347,-0.18175558,-0.03522663,-0.0569643,-0.14758407,-0.07983229,-0.00635976,-0.07635051,-0.0609391,-0.04615711,-0.02120073,0.01910441,0.04794036,-0.04608262,0.0,0.0,0.0,0.0
poe1-earthshatter,survivor,PoE,,WALK,ZONE,damage,none,solo,active,apply→detonate,-1.10461596,-0.0538935,-1.104616,-0.0538935,-0.58014552,0.09019688,-0.52447044,-0.14409038,0.54390374,0,spiky,totem,mitigate,cooldown,melee,med,wind-up,-0.08027702,0.00480611,-0.28239289,-0.1329291,0.02669736,0.09551694,-0.14758407,-0.07983229,-0.00635976,-0.07635051,-0.0609391,-0.04615711,-0.26028046,0.13542429,0.2866655,-0.04456871,-0.0,0.0,0.0,0.0
d4-blood-wave,survivor,Diablo,WHIRLWIND,WALK,NOVA,damage,none,solo,active,one-shot,0.10672843,-0.69343207,0.10672843,-0.69343207,0.25084882,-0.18154503,-0.14412039,-0.51188704,0.53178852,0,spiky,whirlwind,tank,cooldown,ranged,med,instant,-0.08027702,0.00480611,0.33355831,-0.51098733,-0.03522663,-0.0569643,-0.14758407,-0.07983229,-0.00850001,0.06843719,-0.0609391,-0.04615711,-0.02120073,0.01910441,-0.12395115,0.08970628,-0.0,-0.0,0.0,0.0
d2-meteorb,survivor,Diablo,,FREE-MOVE,ZONE,damage,none,solo,active,one-shot,-0.49143391,0.33299474,-0.49143391,0.33299474,-0.06859449,0.01378673,-0.42283942,0.31920801,0.52979895,0,spiky,ground_targeted_circle,glass,spend,ranged,med,wind-up,-0.08027702,0.00480611,-0.14106233,0.0458897,0.04453982,0.05246984,0.04978531,0.06515038,-0.00850001,0.06843719,-0.0609391,-0.04615711,-0.26028046,0.13542429,0.03389438,-0.00681239,0.0,-0.0,0.0,0.0
gd-flames-of-ignaffar-purifier,survivor,gd,CHANNELED-BEAM,ROOTED,BEAM,damage,none,solo,active,build→spend,1.30886491,-0.06285249,1.3088649,-0.06285249,0.82447099,0.14738195,0.48439392,-0.21023444,0.52804923,1,flat,cone,tank,spend,dual,high,channel,0.02834256,-0.01422725,0.36710139,0.14088872,-0.03522663,-0.0569643,0.04978531,0.06515038,0.02067763,0.02475544,0.06597146,0.02749609,0.3951355,-0.32450813,-0.40739328,-0.07282538,-0.0,-0.0,0.0,0.0
poe2-tempest-bell,survivor,PoE,,FREE-MOVE,SUMMON,damage,stun,light,active,build→spend,-0.59879806,-0.32559346,-0.59879806,-0.32559346,-0.10225849,-0.15310006,-0.49653957,-0.1724934,0.52564771,0,spiky,totem,evade,generator-spender,melee,med,instant,-0.08027702,0.00480611,-0.28239289,-0.1329291,0.01807169,0.01509507,-0.01476915,-0.04112723,-0.00635976,-0.07635051,-0.0609391,-0.04615711,-0.02120073,0.01910441,0.14742652,0.06645534,-0.19609913,0.01860963,0.19698017,0.0
hades1-aspect-guan-yu,survivor,Hades,WHIRLWIND,FREE-MOVE,NOVA,damage,none,solo,active,one-shot,0.42625674,-0.83861537,0.42625674,-0.83861537,0.34053296,-0.32088625,0.08572378,-0.51772912,0.52477806,0,flat,whirlwind,tank,self-cost,melee,med,instant,0.02834256,-0.01422725,0.33355831,-0.51098733,-0.03522663,-0.0569643,0.01581562,0.00929444,-0.00635976,-0.07635051,-0.0609391,-0.04615711,-0.02120073,0.01910441,-0.16826649,0.15855852,0.0,0.0,0.0,0.0
d4-death-trap,survivor,Diablo,TOTEM-SENTRY,FREE-MOVE,SUMMON,damage,blind,light,active,apply→detonate,-1.05838913,-0.3523799,-1.0583891,-0.3523799,-0.55878049,-0.19694564,-0.49960864,-0.15543426,0.52322901,0,spiky,totem,tank,cooldown,dual,med,instant,-0.08027702,0.00480611,-0.28239289,-0.1329291,-0.03522663,-0.0569643,-0.14758407,-0.07983229,0.02067763,0.02475544,-0.0609391,-0.04615711,-0.02120073,0.01910441,0.44096387,0.08318559,-0.33362969,0.028597,0.33485304,0.0
tq-distortion-templar,survivor,TitanQuest,,FREE-MOVE,NOVA,control,knockback,solo,active,one-shot,0.01588163,-0.48897608,0.01588163,-0.48897608,0.51608313,-0.60374192,-0.5002015,0.11476584,0.51319854,0,spiky,circle,tank,cooldown,dual,med,instant,-0.08027702,0.00480611,0.07935898,-0.04927153,-0.03522663,-0.0569643,-0.14758407,-0.07983229,0.02067763,0.02475544,-0.0609391,-0.04615711,-0.02120073,0.01910441,-0.25501055,0.29832512,-0.0,-0.0,1e-08,0.0
d3-raekor-boulder,survivor,Diablo,,FREE-MOVE,ZONE,damage,none,solo,active,build→spend,-0.31087192,-0.31228107,-0.31087192,-0.31228107,-0.06562133,0.13078998,-0.24525059,-0.44307105,0.50641861,0,spiky,dash_attack,tank,generator-spender,melee,med,instant,-0.08027702,0.00480611,-0.05890347,-0.18175558,-0.03522663,-0.0569643,-0.01476915,-0.04112723,-0.00635976,-0.07635051,-0.0609391,-0.04615711,-0.02120073,0.01910441,0.03242526,-0.06462684,0.0,-0.0,0.0,0.0
poe2-smith-ignite,survivor,PoE,,FREE-MOVE,ZONE,damage,none,solo,active,one-shot,-0.52911339,0.2139088,-0.52911339,0.2139088,-0.06859449,0.01378673,-0.4605189,0.20012207,0.502122,0,spiky,ground_targeted_circle,tank,spend,melee,low,wind-up,-0.08027702,0.00480611,-0.14106233,0.0458897,-0.03522663,-0.0569643,0.04978531,0.06515038,-0.00635976,-0.07635051,-0.05888526,0.03154434,-0.26028046,0.13542429,-0.00311864,-0.06291322,0.0749059,0.11353527,0.13601894,0.0
d4-lightning-spear,survivor,Diablo,,FREE-MOVE,SUMMON,damage,none,light,triggered,one-shot,-0.49921523,-0.07436488,-0.49921523,-0.07436488,-0.0103202,0.03713105,-0.48889503,-0.11149593,0.5014476,0,var,totem,tank,cooldown,dual,high,instant,0.0107649,0.10781406,-0.28239289,-0.1329291,-0.03522663,-0.0569643,-0.14758407,-0.07983229,0.02067763,0.02475544,0.06597146,0.02749609,-0.02120073,0.01910441,0.10766551,-0.01581487,-0.2075702,-0.00512536,0.20763347,0.0
d3-god-hungering,survivor,Diablo,,FREE-MOVE,PROJECTILE,damage,none,solo,active,build→spend,0.5820548,0.02934633,0.5820548,0.02934633,0.31074091,0.44878714,0.27131389,-0.41944081,0.49954161,0,flat,single_target,tank,generator-spender,ranged,high,channel,0.02834256,-0.01422725,-0.0060944,0.14321061,-0.03522663,-0.0569643,-0.01476915,-0.04112723,-0.00850001,0.06843719,0.06597146,0.02749609,0.3951355,-0.32450813,-0.15354544,-0.22175779,0.0,-0.0,0.0,0.0
tl1-alchemist-summoner,survivor,Torchlight,,FREE-MOVE,NOVA,damage,taunt,light,active,one-shot,0.6287245,-1.35147712,0.6287245,-1.3514771,0.16991025,-1.15750546,0.45881425,-0.19397166,0.49813203,1,flat,other-rare,tank,reserve,ranged,med,channel,0.02834256,-0.01422725,0.17104882,-0.14904242,-0.03522663,-0.0569643,0.05291033,-0.24346422,-0.00850001,0.06843719,-0.0609391,-0.04615711,0.3951355,-0.32450813,-0.08395722,0.57195457,0.0,-0.0,0.0,0.0
le-erasing-strike-vk,survivor,le,,ROOTED,ZONE,damage,hard-stop,light,active,one-shot,-0.57616377,0.22421168,-0.57616377,0.22421168,-0.08669685,0.14768854,-0.48946692,0.07652314,0.49541261,0,spiky,ground_targeted_circle,tank,spend,melee,low,wind-up,-0.08027702,0.00480611,-0.14106233,0.0458897,-0.03522663,-0.0569643,0.04978531,0.06515038,-0.00635976,-0.07635051,-0.05888526,0.03154434,-0.26028046,0.13542429,0.04283924,-0.07297688,0.0,0.0,0.0,0.0
poe1-storm-brand,survivor,PoE,,FREE-MOVE,SUMMON,damage,none,light,active,one-shot,-0.45208899,0.08159436,-0.45208899,0.08159436,0.02215793,-0.05367241,-0.47424692,0.13526677,0.49316047,0,var,totem,mitigate,cooldown,ranged,high,instant,0.0107649,0.10781406,-0.28239289,-0.1329291,0.02669736,0.09551694,-0.14758407,-0.07983229,-0.00850001,0.06843719,0.06597146,0.02749609,-0.02120073,0.01910441,0.09361953,0.02345536,-0.21162248,0.00620411,0.2117134,0.0
poe1-dark-pact,survivor,PoE,,WALK,ZONE,damage,hex,light,active,one-shot,0.13357559,0.51064564,0.13357559,0.51064564,-0.21760106,0.16729005,0.35117665,0.34335559,0.4911396,0,flat,chain,mitigate,self-cost,dual,high,instant,0.02834256,-0.01422725,0.10735022,0.26407803,0.02669736,0.09551694,0.01581562,0.00929444,0.02067763,0.02475544,0.06597146,0.02749609,-0.02120073,0.01910441,0.10752254,-0.08266251,-0.0,0.0,0.0,0.0
d3-poj-tempest-rush,survivor,Diablo,,FREE-MOVE,NOVA,damage,none,solo,active,one-shot,0.74927387,-0.59100297,0.74927387,-0.59100297,0.34053296,-0.32088625,0.40874091,-0.27011672,0.48993079,0,flat,circle,tank,spend,melee,high,channel,0.02834256,-0.01422725,0.07935898,-0.04927153,-0.03522663,-0.0569643,0.04978531,0.06515038,-0.00635976,-0.07635051,0.06597146,0.02749609,0.3951355,-0.32450813,-0.16826649,0.15855852,0.0,0.0,0.0,0.0
d4-lightning-storm,survivor,Diablo,,ROOTED,NOVA,damage,none,solo,active,build→spend,0.81977172,-0.38634592,0.81977172,-0.38634592,0.42644474,-0.11618846,0.39332698,-0.27015746,0.47716995,0,flat,circle,tank,spend,dual,high,channel,0.02834256,-0.01422725,0.07935898,-0.04927153,-0.03522663,-0.0569643,0.04978531,0.06515038,0.02067763,0.02475544,0.06597146,0.02749609,0.3951355,-0.32450813,-0.21071781,0.05741184,0.0,-0.0,0.0,0.0
d4-ww-dust-devils,survivor,Diablo,,FREE-MOVE,NOVA,damage,none,light,active,one-shot,0.6953437,-0.40902353,0.6953437,-0.40902353,0.2196629,-0.38214127,0.4756808,-0.02688226,0.47643979,0,flat,multi_projectile,tank,spend,melee,high,channel,0.02834256,-0.01422725,0.08657371,0.16369518,-0.03522663,-0.0569643,0.04978531,0.06515038,-0.00635976,-0.07635051,0.06597146,0.02749609,0.3951355,-0.32450813,-0.10854135,0.18882628,0.0,-0.0,1e-08,0.0
gd-aar-spellbinder,survivor,gd,CHANNELED-BEAM,ROOTED,BEAM,damage,none,solo,active,one-shot,1.08213066,-0.36829066,1.0821307,-0.36829066,0.82149783,0.0303787,0.26063283,-0.39866936,0.47630529,0,flat,other-rare,tank,spend,ranged,high,channel,0.02834256,-0.01422725,0.17104882,-0.14904242,-0.03522663,-0.0569643,0.04978531,0.06515038,-0.00850001,0.06843719,0.06597146,0.02749609,0.3951355,-0.32450813,-0.40592417,-0.01501093,-0.0,0.0,0.0,0.0
ud-lightning-vortex,survivor,undecember,,FREE-MOVE,ZONE,damage,stun,solo,active,one-shot,0.14140003,0.14971383,0.14140003,0.14971383,-0.18046073,-0.19023865,0.32186076,0.33995248,0.46814746,0,flat,vortex_pull,glass,spend,ranged,high,instant,0.02834256,-0.01422725,0.07375186,0.02751978,0.04453982,0.05246984,0.04978531,0.06515038,-0.00850001,0.06843719,0.06597146,0.02749609,-0.02120073,0.01910441,0.0891705,0.09400203,0.0,-0.0,1e-08,0.0
