wave,tier,difficulty,characterLifeModifier,characterOffensiveAbility,characterOffensiveAbilityModifier,characterDefensiveAbility,characterDefensiveAbilityModifier,characterAttackSpeedModifier,characterSpellCastSpeedModifier,characterLifeRegenModifier,characterPercentHealIncreaseModifier
77,8,aspirant,42.0,22.0,1.399999976158142,13.0,2.0,4.0,4.0,9.0,-35.0
78,8,aspirant,42.0,22.0,1.399999976158142,13.0,2.0,4.0,4.0,9.0,-36.0
79,8,aspirant,42.0,22.0,1.399999976158142,14.0,2.0,4.0,4.0,10.0,-36.0
80,8,aspirant,43.0,22.0,1.399999976158142,14.0,2.0,4.0,4.0,10.0,-36.0
81,9,aspirant,43.0,22.0,1.399999976158142,14.0,2.0,4.0,4.0,10.0,-37.0
82,9,aspirant,44.0,22.0,1.399999976158142,14.0,2.0,4.0,4.0,11.0,-37.0
83,9,aspirant,44.0,22.0,1.399999976158142,15.0,2.0,4.0,4.0,11.0,-37.0
84,9,aspirant,44.0,22.0,1.399999976158142,15.0,2.0,4.0,4.0,12.0,-38.0
85,9,aspirant,46.0,23.0,1.399999976158142,16.0,2.0,4.0,4.0,12.0,-38.0
86,9,aspirant,46.0,23.0,1.399999976158142,16.0,2.0,4.0,4.0,12.0,-38.0
87,9,aspirant,47.0,23.0,1.399999976158142,16.0,2.0,4.0,4.0,13.0,-39.0
88,9,aspirant,47.0,23.0,1.399999976158142,16.0,2.0,4.0,4.0,13.0,-39.0
89,9,aspirant,47.0,23.0,1.399999976158142,16.0,2.0,4.0,4.0,14.0,-39.0
90,9,aspirant,48.0,23.0,1.399999976158142,17.0,2.0,4.0,4.0,14.0,-40.0
91,10,aspirant,48.0,23.0,1.399999976158142,17.0,2.0,4.0,4.0,15.0,-40.0
92,10,aspirant,49.0,23.0,1.399999976158142,17.0,2.0,4.0,4.0,15.0,-40.0
93,10,aspirant,49.0,23.0,1.399999976158142,17.0,2.0,4.0,4.0,16.0,-41.0
94,10,aspirant,49.0,24.0,2.0999999046325684,18.0,3.0,4.0,4.0,16.0,-41.0
95,10,aspirant,50.0,24.0,2.0999999046325684,18.0,3.0,5.0,5.0,17.0,-41.0
96,10,aspirant,51.0,25.0,2.0999999046325684,19.0,3.0,5.0,5.0,17.0,-42.0
97,10,aspirant,51.0,25.0,2.0999999046325684,19.0,3.0,5.0,5.0,18.0,-42.0
98,10,aspirant,51.0,25.0,2.0999999046325684,19.0,3.0,5.0,5.0,18.0,-42.0
99,10,aspirant,52.0,25.0,2.0999999046325684,19.0,3.0,5.0,5.0,19.0,-43.0
100,10,aspirant,53.0,26.0,2.0999999046325684,20.0,3.0,5.0,5.0,20.0,-43.0
101,11,aspirant,54.0,26.0,2.0999999046325684,20.0,3.0,5.0,5.0,20.0,-43.0
102,11,aspirant,54.0,26.0,2.0999999046325684,20.0,3.0,5.0,5.0,21.0,-44.0
103,11,aspirant,55.0,26.0,2.0999999046325684,20.0,3.0,5.0,5.0,22.0,-44.0
104,11,aspirant,55.0,26.0,2.0999999046325684,21.0,3.0,5.0,5.0,22.0,-44.0
105,11,aspirant,55.0,26.0,2.0999999046325684,21.0,3.0,5.0,5.0,23.0,-45.0
106,11,aspirant,55.0,26.0,2.0999999046325684,22.0,3.0,6.0,6.0,23.0,-45.0
107,11,aspirant,56.0,26.0,2.0999999046325684,22.0,3.0,6.0,6.0,24.0,-45.0
108,11,aspirant,57.0,26.0,2.0999999046325684,22.0,3.0,6.0,6.0,25.0,-46.0
109,11,aspirant,58.0,26.0,2.0999999046325684,22.0,3.0,6.0,6.0,26.0,-46.0
110,11,aspirant,58.0,27.0,2.0999999046325684,23.0,3.0,6.0,6.0,26.0,-46.0
111,12,aspirant,59.0,27.0,2.0999999046325684,23.0,3.0,6.0,6.0,27.0,-47.0
112,12,aspirant,60.0,27.0,2.0999999046325684,23.0,3.0,6.0,6.0,28.0,-47.0
113,12,aspirant,60.0,27.0,2.0999999046325684,23.0,3.0,6.0,6.0,28.0,-47.0
114,12,aspirant,61.0,27.0,2.0999999046325684,24.0,3.0,6.0,6.0,29.0,-48.0
115,12,aspirant,62.0,27.0,2.799999952316284,24.0,4.0,6.0,6.0,30.0,-48.0
116,12,aspirant,62.0,28.0,2.799999952316284,25.0,4.0,6.0,6.0,31.0,-48.0
117,12,aspirant,64.0,28.0,2.799999952316284,25.0,4.0,6.0,6.0,32.0,-49.0
118,12,aspirant,64.0,28.0,2.799999952316284,25.0,4.0,6.0,6.0,32.0,-49.0
119,12,aspirant,66.0,28.0,2.799999952316284,25.0,4.0,6.0,6.0,33.0,-49.0
120,12,aspirant,67.0,29.0,2.799999952316284,26.0,4.0,6.0,6.0,34.0,-50.0
121,13,aspirant,68.0,29.0,2.799999952316284,26.0,4.0,6.0,6.0,35.0,-50.0
122,13,aspirant,68.0,29.0,2.799999952316284,26.0,4.0,6.0,6.0,36.0,-50.0
123,13,aspirant,68.0,29.0,2.799999952316284,26.0,4.0,6.0,6.0,37.0,-51.0
124,13,aspirant,69.0,29.0,2.799999952316284,27.0,4.0,6.0,6.0,38.0,-51.0
125,13,aspirant,70.0,30.0,2.799999952316284,28.0,4.0,6.0,6.0,38.0,-51.0
126,13,aspirant,71.0,30.0,2.799999952316284,28.0,4.0,6.0,6.0,39.0,-52.0
127,13,aspirant,72.0,30.0,2.799999952316284,28.0,4.0,6.0,6.0,40.0,-52.0
128,13,aspirant,73.0,30.0,2.799999952316284,28.0,4.0,6.0,6.0,41.0,-52.0
129,13,aspirant,74.0,30.0,2.799999952316284,29.0,4.0,6.0,6.0,42.0,-53.0
130,13,aspirant,74.0,30.0,2.799999952316284,29.0,4.0,6.0,6.0,43.0,-53.0
131,14,aspirant,76.0,30.0,2.799999952316284,29.0,4.0,6.0,6.0,44.0,-53.0
132,14,aspirant,76.0,30.0,2.799999952316284,29.0,4.0,6.0,6.0,45.0,-54.0
133,14,aspirant,78.0,30.0,2.799999952316284,30.0,4.0,6.0,6.0,46.0,-54.0
134,14,aspirant,78.0,30.0,2.799999952316284,30.0,4.0,6.0,6.0,47.0,-54.0
135,14,aspirant,78.0,31.0,2.799999952316284,31.0,4.0,7.0,7.0,48.0,-55.0
136,14,aspirant,80.0,31.0,2.799999952316284,31.0,4.0,7.0,7.0,50.0,-55.0
137,14,aspirant,80.0,31.0,2.799999952316284,31.0,4.0,7.0,7.0,51.0,-55.0
138,14,aspirant,82.0,32.0,3.5,32.0,5.0,7.0,7.0,52.0,-56.0
139,14,aspirant,82.0,32.0,3.5,32.0,5.0,7.0,7.0,53.0,-56.0
140,14,aspirant,84.0,32.0,3.5,32.0,5.0,7.0,7.0,54.0,-56.0
141,15,aspirant,87.0,32.0,3.5,32.0,5.0,7.0,7.0,55.0,-57.0
142,15,aspirant,89.0,33.0,3.5,33.0,5.0,7.0,7.0,56.0,-57.0
143,15,aspirant,90.0,33.0,3.5,34.0,5.0,7.0,7.0,58.0,-57.0
144,15,aspirant,93.0,33.0,3.5,34.0,5.0,7.0,7.0,59.0,-58.0
145,15,aspirant,95.0,33.0,3.5,34.0,5.0,7.0,7.0,60.0,-58.0
146,15,aspirant,98.0,34.0,3.5,35.0,5.0,8.0,8.0,61.0,-58.0
147,15,aspirant,101.0,34.0,3.5,35.0,5.0,8.0,8.0,62.0,-59.0
148,15,aspirant,103.0,34.0,3.5,35.0,5.0,8.0,8.0,64.0,-59.0
149,15,aspirant,106.0,34.0,3.5,35.0,5.0,8.0,8.0,65.0,-59.0
150,15,aspirant,108.0,34.0,3.5,36.0,5.0,8.0,8.0,66.0,-60.0
151,16,aspirant,108.0,34.0,3.5,36.0,5.0,8.0,8.0,66.0,-60.0
152,16,aspirant,110.0,34.0,3.5,37.0,5.0,8.0,8.0,67.0,-60.0
153,16,aspirant,111.0,34.0,3.5,37.0,5.0,8.0,8.0,67.0,-60.0
154,16,aspirant,112.0,34.0,3.5,38.0,5.0,8.0,8.0,68.0,-60.0
155,16,aspirant,113.0,34.0,3.5,38.0,5.0,8.0,8.0,68.0,-60.0
156,16,aspirant,114.0,35.0,3.5,39.0,5.0,8.0,8.0,69.0,-60.0
157,16,aspirant,115.0,35.0,3.5,39.0,5.0,8.0,8.0,69.0,-60.0
158,16,aspirant,116.0,35.0,3.5,40.0,5.0,8.0,8.0,69.0,-60.0
159,16,aspirant,117.0,35.0,3.5,40.0,5.0,8.0,8.0,70.0,-60.0
160,16,aspirant,118.0,35.0,3.5,41.0,5.0,8.0,8.0,70.0,-60.0
161,17,aspirant,119.0,36.0,3.5,41.0,6.0,8.0,8.0,70.0,-60.0
162,17,aspirant,120.0,36.0,3.5,42.0,6.0,8.0,8.0,71.0,-60.0
163,17,aspirant,121.0,36.0,3.5,42.0,6.0,8.0,8.0,71.0,-60.0
164,17,aspirant,122.0,36.0,3.5,43.0,6.0,8.0,8.0,71.0,-60.0
165,17,aspirant,123.0,36.0,3.5,43.0,6.0,8.0,8.0,72.0,-60.0
166,17,aspirant,124.0,37.0,3.5,44.0,6.0,8.0,8.0,72.0,-60.0
167,17,aspirant,125.0,37.0,3.5,44.0,6.0,8.0,8.0,72.0,-60.0
168,17,aspirant,126.0,37.0,3.5,45.0,6.0,8.0,8.0,73.0,-60.0
169,17,aspirant,127.0,37.0,3.5,45.0,6.0,8.0,8.0,74.0,-60.0
170,17,aspirant,128.0,37.0,3.5,45.0,6.0,8.0,8.0,75.0,-60.0
171,18,aspirant,164.0,38.0,4.199999809265137,46.0,6.0,9.0,9.0,80.0,-60.0
172,18,aspirant,171.0,38.0,4.199999809265137,46.0,6.0,9.0,9.0,81.0,-60.0
173,18,aspirant,178.0,39.0,4.199999809265137,46.0,6.0,9.0,9.0,82.0,-60.0
174,18,aspirant,185.0,39.0,4.199999809265137,46.0,6.0,9.0,9.0,83.0,-60.0
175,18,aspirant,192.0,40.0,4.199999809265137,47.0,6.0,9.0,9.0,84.0,-60.0
176,18,aspirant,199.0,40.0,4.199999809265137,47.0,6.0,9.0,9.0,85.0,-60.0
177,18,aspirant,206.0,41.0,4.199999809265137,47.0,6.0,9.0,9.0,86.0,-60.0
178,18,aspirant,213.0,41.0,4.199999809265137,47.0,6.0,9.0,9.0,87.0,-60.0
179,18,aspirant,220.0,42.0,4.199999809265137,47.0,6.0,9.0,9.0,88.0,-60.0
180,18,aspirant,227.0,42.0,4.199999809265137,47.0,6.0,9.0,9.0,89.0,-60.0
181,19,aspirant,247.0,43.0,4.199999809265137,48.0,6.0,10.0,10.0,90.0,-60.0
182,19,aspirant,255.0,43.0,4.199999809265137,48.0,6.0,10.0,10.0,91.0,-60.0
183,19,aspirant,263.0,44.0,4.199999809265137,48.0,6.0,10.0,10.0,92.0,-60.0
184,19,aspirant,271.0,44.0,4.199999809265137,48.0,6.0,10.0,10.0,93.0,-60.0
185,19,aspirant,279.0,45.0,4.199999809265137,48.0,6.0,10.0,10.0,94.0,-60.0
186,19,aspirant,288.0,45.0,4.199999809265137,49.0,6.0,10.0,10.0,95.0,-60.0
187,19,aspirant,297.0,46.0,4.199999809265137,49.0,6.0,10.0,10.0,96.0,-60.0
188,19,aspirant,306.0,46.0,4.199999809265137,49.0,6.0,10.0,10.0,97.0,-60.0
189,19,aspirant,315.0,47.0,4.199999809265137,49.0,6.0,10.0,10.0,98.0,-60.0
190,19,aspirant,324.0,47.0,5.0,49.0,6.0,10.0,10.0,99.0,-60.0
191,20,aspirant,346.0,48.0,5.0,50.0,6.0,11.0,11.0,100.0,-60.0
192,20,aspirant,356.0,48.0,5.0,50.0,6.0,11.0,11.0,101.0,-60.0
193,20,aspirant,366.0,49.0,5.0,50.0,6.0,11.0,11.0,102.0,-60.0
194,20,aspirant,376.0,49.0,5.0,50.0,6.0,11.0,11.0,103.0,-60.0
195,20,aspirant,386.0,50.0,5.0,50.0,6.0,11.0,11.0,104.0,-60.0
196,20,aspirant,396.0,50.0,5.0,50.0,6.0,11.0,11.0,105.0,-60.0
197,20,aspirant,406.0,51.0,5.0,50.0,6.0,11.0,11.0,106.0,-60.0
198,20,aspirant,416.0,51.0,5.0,50.0,6.0,11.0,11.0,107.0,-60.0
199,20,aspirant,427.0,52.0,5.0,50.0,6.0,11.0,11.0,108.0,-60.0
200,20,aspirant,438.0,52.0,5.0,50.0,6.0,11.0,11.0,110.0,-60.0
1,1,challenger,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0
2,1,challenger,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0
3,1,challenger,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0
4,1,challenger,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0
5,1,challenger,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0
6,1,challenger,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0
7,1,challenger,71.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-25.0
8,1,challenger,71.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-25.0
9,1,challenger,71.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-25.0
10,1,challenger,71.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-25.0
11,2,challenger,71.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-25.0
12,2,challenger,71.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-25.0
13,2,challenger,71.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,-25.0
14,2,challenger,72.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,-25.0
15,2,challenger,72.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,-25.0
16,2,challenger,72.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,-25.0
17,2,challenger,72.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,-25.0
18,2,challenger,72.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,-25.0
19,2,challenger,72.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,-25.0
20,2,challenger,72.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,-25.0
21,3,challenger,72.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,-25.0
22,3,challenger,72.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,-25.0
23,3,challenger,72.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,-25.0
24,3,challenger,73.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,-25.0
25,3,challenger,74.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,-25.0
26,3,challenger,74.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0,-25.0
27,3,challenger,74.0,3.0,0.0,4.0,0.0,2.0,2.0,0.0,-25.0
28,3,challenger,74.0,3.0,0.0,4.0,0.0,2.0,2.0,0.0,-25.0
29,3,challenger,74.0,3.0,0.0,4.0,0.0,2.0,2.0,0.0,-25.0
30,3,challenger,74.0,3.0,0.0,4.0,0.0,2.0,2.0,0.0,-25.0
31,4,challenger,74.0,4.0,0.0,5.0,0.0,2.0,2.0,1.0,-25.0
32,4,challenger,74.0,4.0,0.0,5.0,0.0,2.0,2.0,1.0,-25.0
33,4,challenger,75.0,4.0,0.0,5.0,0.0,2.0,2.0,1.0,-25.0
34,4,challenger,76.0,4.0,0.699999988079071,5.0,1.0,2.0,2.0,1.0,-25.0
35,4,challenger,76.0,5.0,0.699999988079071,6.0,1.0,2.0,2.0,1.0,-25.0
36,4,challenger,76.0,5.0,0.699999988079071,6.0,1.0,2.0,2.0,1.0,-25.0
37,4,challenger,76.0,5.0,0.699999988079071,6.0,1.0,2.0,2.0,1.0,-25.0
38,4,challenger,76.0,5.0,0.699999988079071,6.0,1.0,2.0,2.0,1.0,-25.0
39,4,challenger,76.0,5.0,0.699999988079071,6.0,1.0,2.0,2.0,1.0,-25.0
40,4,challenger,76.0,5.0,0.699999988079071,6.0,1.0,2.0,2.0,1.0,-25.0
41,5,challenger,78.0,6.0,0.699999988079071,7.0,1.0,2.0,2.0,1.0,-25.0
42,5,challenger,78.0,6.0,0.699999988079071,7.0,1.0,2.0,2.0,2.0,-25.0
43,5,challenger,78.0,6.0,0.699999988079071,7.0,1.0,2.0,2.0,2.0,-25.0
44,5,challenger,78.0,6.0,0.699999988079071,8.0,1.0,2.0,2.0,2.0,-25.0
45,5,challenger,79.0,6.0,0.699999988079071,8.0,1.0,2.0,2.0,2.0,-25.0
46,5,challenger,79.0,6.0,0.699999988079071,8.0,1.0,2.0,2.0,2.0,-25.0
47,5,challenger,79.0,6.0,0.699999988079071,8.0,1.0,2.0,2.0,2.0,-25.0
48,5,challenger,79.0,7.0,0.699999988079071,9.0,1.0,2.0,2.0,2.0,-25.0
49,5,challenger,80.0,7.0,0.699999988079071,9.0,1.0,2.0,2.0,2.0,-25.0
50,5,challenger,80.0,8.0,0.699999988079071,10.0,1.0,2.0,2.0,2.0,-25.0
51,6,challenger,81.0,8.0,0.699999988079071,10.0,1.0,2.0,2.0,3.0,-26.0
52,6,challenger,81.0,8.0,0.699999988079071,10.0,1.0,2.0,2.0,3.0,-26.0
53,6,challenger,81.0,8.0,0.699999988079071,10.0,1.0,2.0,2.0,3.0,-26.0
54,6,challenger,81.0,8.0,0.699999988079071,10.0,1.0,2.0,2.0,3.0,-27.0
55,6,challenger,81.0,8.0,0.699999988079071,10.0,1.0,3.0,3.0,3.0,-27.0
56,6,challenger,83.0,9.0,0.699999988079071,11.0,1.0,3.0,3.0,4.0,-27.0
57,6,challenger,83.0,9.0,0.699999988079071,11.0,1.0,3.0,3.0,4.0,-28.0
58,6,challenger,84.0,9.0,0.699999988079071,11.0,1.0,3.0,3.0,4.0,-28.0
59,6,challenger,84.0,10.0,0.699999988079071,12.0,1.0,3.0,3.0,4.0,-28.0
60,6,challenger,85.0,10.0,0.699999988079071,12.0,1.0,3.0,3.0,4.0,-29.0
61,7,challenger,86.0,10.0,0.699999988079071,13.0,1.0,3.0,3.0,4.0,-29.0
62,7,challenger,86.0,10.0,0.699999988079071,13.0,1.0,3.0,3.0,5.0,-29.0
63,7,challenger,87.0,10.0,0.699999988079071,13.0,1.0,3.0,3.0,5.0,-30.0
64,7,challenger,87.0,11.0,0.699999988079071,14.0,1.0,3.0,3.0,5.0,-30.0
65,7,challenger,88.0,11.0,1.399999976158142,14.0,2.0,3.0,3.0,5.0,-30.0
66,7,challenger,88.0,11.0,1.399999976158142,14.0,2.0,4.0,4.0,6.0,-31.0
67,7,challenger,89.0,11.0,1.399999976158142,14.0,2.0,4.0,4.0,6.0,-31.0
68,7,challenger,90.0,11.0,1.399999976158142,14.0,2.0,4.0,4.0,6.0,-31.0
69,7,challenger,91.0,12.0,1.399999976158142,15.0,2.0,4.0,4.0,6.0,-32.0
70,7,challenger,92.0,12.0,1.399999976158142,15.0,2.0,4.0,4.0,7.0,-32.0
71,8,challenger,92.0,13.0,1.399999976158142,16.0,2.0,4.0,4.0,7.0,-32.0
72,8,challenger,92.0,13.0,1.399999976158142,16.0,2.0,4.0,4.0,7.0,-33.0
73,8,challenger,92.0,13.0,1.399999976158142,16.0,2.0,4.0,4.0,8.0,-33.0
74,8,challenger,93.0,14.0,1.399999976158142,17.0,2.0,4.0,4.0,8.0,-33.0
75,8,challenger,95.0,14.0,1.399999976158142,17.0,2.0,4.0,4.0,8.0,-35.0
76,8,challenger,95.0,14.0,1.399999976158142,18.0,2.0,4.0,4.0,9.0,-35.0
77,8,challenger,96.0,14.0,1.399999976158142,18.0,2.0,4.0,4.0,9.0,-35.0
78,8,challenger,98.0,14.0,1.399999976158142,18.0,2.0,4.0,4.0,9.0,-36.0
79,8,challenger,98.0,14.0,1.399999976158142,18.0,2.0,4.0,4.0,10.0,-36.0
80,8,challenger,99.0,14.0,1.399999976158142,18.0,2.0,4.0,4.0,10.0,-36.0
81,9,challenger,100.0,15.0,1.399999976158142,19.0,2.0,4.0,4.0,10.0,-37.0
82,9,challenger,101.0,15.0,1.399999976158142,19.0,2.0,4.0,4.0,11.0,-37.0
83,9,challenger,101.0,16.0,1.399999976158142,20.0,2.0,4.0,4.0,11.0,-37.0
84,9,challenger,102.0,16.0,1.399999976158142,20.0,2.0,4.0,4.0,12.0,-38.0
