controller,n_monsters,arz_owners,AngerTolerance,AngerTolerance_slot,AttackedAnger,AttackedAnger_slot,AllyAttackedAnger,AllyAttackedAnger_slot,petAngerTransference,petAngerTransference_slot,ignorePetsChance,ignorePetsChance_slot,ignorePetsInterval,ignorePetsInterval_slot,RandomAngerChance,RandomAngerChance_slot,RandomAngerEvaluationTime,RandomAngerEvaluationTime_slot,ClearAngerWhenFleeing,ClearAngerWhenFleeing_slot,transference_fraction_t,pet_leg_anger,owner_leg_anger
records/controllers/enemy/controller_boss_chthonicheraldnemesis.dbr,1,GDX3.arz|SurvivalMode3.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_boss_cultwendigo.dbr,1,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_boss_dermapteranqueen_02.dbr,1,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,12,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.12,13.2,1.8
records/controllers/enemy/controller_boss_dravis.dbr,1,GDX2.arz|SurvivalMode2.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_boss_korvaak.dbr,1,GDX2.arz|SurvivalMode2.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,12,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.12,13.2,1.8
records/controllers/enemy/controller_boss_korvaaklieutenant.dbr,1,GDX2.arz|SurvivalMode2.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_boss_kymonnemesis_01.dbr,1,GDX3.arz|SurvivalMode3.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,27,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.27,10.95,4.05
records/controllers/enemy/controller_boss_mindreaper_01.dbr,1,GDX2.arz|SurvivalMode2.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_boss_outcast.dbr,1,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_boss_themessenger.dbr,1,GDX2.arz|SurvivalMode2.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_boss_tombguardian.dbr,1,GDX2.arz|SurvivalMode2.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_boss_witch.dbr,1,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_boss_witchgodguardian_temple.dbr,1,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_cannibal.dbr,3,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_chthoniandevourer.dbr,3,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,12,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.12,13.2,1.8
records/controllers/enemy/controller_chthonianservitor.dbr,4,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,12,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.12,13.2,1.8
records/controllers/enemy/controller_chthonicherald.dbr,3,GDX3.arz|SurvivalMode3.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_chthonicminiona01.dbr,1,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_chthonicrylok.dbr,5,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_cultwendigo_meleebasic.dbr,2,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_cultwendigo_rangedcaster.dbr,2,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_dranghoul2.dbr,3,GDX3.arz|SurvivalMode3.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_dranghoulcaster.dbr,2,GDX3.arz|SurvivalMode3.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_eldritcharmor_firebreath.dbr,1,GDX2.arz|SurvivalMode2.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_eldritcharmor_meleebasic.dbr,2,GDX2.arz|SurvivalMode2.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_eldritcharmor_rangedcaster.dbr,1,GDX2.arz|SurvivalMode2.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_fleshhulk.dbr,1,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_gargoyle.dbr,3,GDX2.arz|SurvivalMode2.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_ghost_meleebasic.dbr,2,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_ghost_meleechampion.dbr,5,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_ghost_rangedbasic.dbr,1,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_giant.dbr,4,GDX3.arz|SurvivalMode3.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_groblemelee01.dbr,1,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,12,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.12,13.2,1.8
records/controllers/enemy/controller_groblescavenger01.dbr,1,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,12,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.12,13.2,1.8
records/controllers/enemy/controller_harpymelee01.dbr,1,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,12,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.12,13.2,1.8
records/controllers/enemy/controller_humanascended_rangedcaster.dbr,2,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_humanchthonic_bosscaster.dbr,2,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_humanchthonic_rangedcaster.dbr,1,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_humanpossessed_rangedcaster.dbr,1,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_hypporaven.dbr,2,GDX3.arz|SurvivalMode3.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,12,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.12,13.2,1.8
records/controllers/enemy/controller_kurnchthonic_shamanboss.dbr,1,GDX3.arz|SurvivalMode3.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_livingplant.dbr,1,GDX1.arz|SurvivalMode1.arz,1.0,+0x294,15.0,+0x298,5.0,+0x29c,22,+0x57c (int x 0.01 -> float),35,+0x56c,5000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.22,11.7,3.3
records/controllers/enemy/controller_meleetank.dbr,3,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_nemesis_aetherialvanguard.dbr,1,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,22,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.22,11.7,3.3
records/controllers/enemy/controller_nemesis_chthonicrylok.dbr,1,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,22,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.22,11.7,3.3
records/controllers/enemy/controller_nemesis_human_meleechampion.dbr,1,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_nemesis_necro_rangedcaster.dbr,1,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_nemesis_reanimator.dbr,1,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_nemesis_wendigo.dbr,1,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,22,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.22,11.7,3.3
records/controllers/enemy/controller_nemesis_yeti.dbr,1,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,15,+0x57c (int x 0.01 -> float),15,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.15,12.75,2.25
records/controllers/enemy/controller_rhino.dbr,4,GDX3.arz|SurvivalMode3.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,12,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.12,13.2,1.8
records/controllers/enemy/controller_sandlizard.dbr,4,GDX2.arz|SurvivalMode2.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,12,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.12,13.2,1.8
records/controllers/enemy/controller_skeletoncaster01.dbr,2,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),18,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_skeletoncaster01_slow.dbr,1,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),18,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_swampcrab_melee.dbr,8,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,12,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.12,13.2,1.8
records/controllers/enemy/controller_swampgolem.dbr,5,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_thornedhorror.dbr,3,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_viper_melee.dbr,2,GDX2.arz|SurvivalMode2.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,12,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.12,13.2,1.8
records/controllers/enemy/controller_wendigo.dbr,8,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,12,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.12,13.2,1.8
records/controllers/enemy/controller_wraith.dbr,2,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_wraith_ranged.dbr,1,GDX1.arz|SurvivalMode1.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_yeti.dbr,3,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),35,+0x56c,7000,+0x570,0,+0x390,0,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_zealot_meleebasic.dbr,1,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_zombieberserker.dbr,1,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,12,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.12,13.2,1.8
records/controllers/enemy/controller_zombiemutanta01.dbr,3,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
records/controllers/enemy/controller_zombiemutantb01.dbr,1,database.arz|SurvivalMode.arz,0.0,+0x294,15.0,+0x298,8.0,+0x29c,17,+0x57c (int x 0.01 -> float),0,+0x56c,7000,+0x570,10,+0x390,3000,+0x504,False,+0x31c,0.17,12.45,2.55
