chain_depth,parent_pet_record,owner_record,owner_display_name,owner_stratum,owner_level,spawn_surface,spawn_slot_or_tree_index,spawn_skill,spawn_skill_class,spawn_field,spawn_target,target_class,is_threat_actor,status,spawn_skill_arz_owners,spawn_skill_level_equation,spawn_skill_rank_used,spawn_skill_n_ranks,spawn_skill_rank_grade,spawn_weight,pet_record,pet_arz_owners,pet_limit,pet_burst_spawn,pet_period_s,spawn_ttl_s,spawn_radius,spawn_max_pet_count,skill_cooldown_s,skill_charge_duration_s,skill_active_duration_s,pet_bio_record,pet_char_level_equation,pet_base_life,pet_life_own_mod_pct,pet_life_tree_mod_pct,pet_life_at_owner_level,pet_offensive_ability,pet_defensive_ability,pet_run_speed,pet_attack_speed,pet_spellcast_speed,pet_dodge_pct,pet_basic_swing_period_s,pet_anim_table,pet_controller,pet_mesh,pet_scale,pet_monster_classification,pet_n_attack_slots,pet_n_tree_skills,pet_n_damage_bearing_skills,pet_spawns_nested_monsters,life_grade,oada_grade,swing_grade
1,,records/creatures/enemies/boss&quest/chthonian_chthonicroguelike_02.dbr,"Shar'Zul, Harbinger of Chaos",boss&quest,106,slot,special4,records/skills/nonplayerskills/bossskills/sharzul_summonfiredevil.dbr,Skill_TargetedSpawnPet,spawnObjects,,Monster,True,OK,base,(charLevel/4)+1,27,0,MEASURED,,records/skills/nonplayerskills/bossskills/pets/firedevil_01.dbr,base|sm_mod,4,1,,20.0,,,3.0,,,records/creatures/enemies/bios/bio_trap_fireflare_01.dbr,charLevel*1,6108,0.0,0.0,6108,842.0,370.4,0.3499999940395355,0.800000011920929,1.0,25.0,0.8667,records/creatures/anomalies/anm/anm_winddevil_a01.dbr,records/controllers/pets/controller_winddevil.dbr,creatures/anomalies/anomalya01.msh,1.0,Common,2,4,2,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/chthonian_chthonicroguelike_02.dbr,"Shar'Zul, Harbinger of Chaos",boss&quest,106,tree,10,records/skills/nonplayerskills/bossskills/sharzul_summonfiredevil.dbr,Skill_TargetedSpawnPet,spawnObjects,,Monster,True,OK,base,(charLevel/4)+1,27,0,MEASURED,,records/skills/nonplayerskills/bossskills/pets/firedevil_01.dbr,base|sm_mod,4,1,,20.0,,,3.0,,,records/creatures/enemies/bios/bio_trap_fireflare_01.dbr,charLevel*1,6108,0.0,0.0,6108,842.0,370.4,0.3499999940395355,0.800000011920929,1.0,25.0,0.8667,records/creatures/anomalies/anm/anm_winddevil_a01.dbr,records/controllers/pets/controller_winddevil.dbr,creatures/anomalies/anomalya01.msh,1.0,Common,2,4,2,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/chthonianrylok_gabalthunn.dbr,"Gabal'Thunn, the Visage of Madness",boss&quest,106,tree,6,records/skills/nonplayerskills/bossskills/boss_chest_02.dbr,Skill_OnDeathSpawnActor,spawnObjects,records/items/lootchests/d03_bosschest_dropped.dbr,Destructible,False,NON-MONSTER-SPAWN (loot/destructible; not threat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,records/creatures/enemies/boss&quest/chthonianrylok_gabalthunn.dbr,"Gabal'Thunn, the Visage of Madness",boss&quest,106,slot,special4,records/skills/nonplayerskillsgdx1/bossskills/gabbalthunn_summonobsidianshard.dbr,Skill_SpawnPetMonster,spawnObjects,,Monster,True,OK,gdx1,charLevel/4+1,27,0,MEASURED,,records/skills/nonplayerskillsgdx1/bossskills/pets/gabbalthunn_obsidianshard.dbr,gdx1|sm1,5,1,,30.0,,,,,,records/creatures/enemies/bios/bio_trap_chthonicshard_01.dbr,charLevel*1,2338,0.0,0.0,2338,842.0,370.4,0.0,0.0,1.0,,,,records/controllers/enemy/controller_trapzaplongdelay.dbr,fx/meshfx/trap_obsidiansentry01a.msh,1.600000023841858,Common,2,4,3,,MEASURED,MEASURED,ANIM-NOT-RESOLVED
1,,records/creatures/enemies/boss&quest/chthonianrylok_gabalthunn.dbr,"Gabal'Thunn, the Visage of Madness",boss&quest,106,tree,12,records/skills/nonplayerskillsgdx1/bossskills/gabbalthunn_summonobsidianshard.dbr,Skill_SpawnPetMonster,spawnObjects,,Monster,True,OK,gdx1,charLevel/4+1,27,0,MEASURED,,records/skills/nonplayerskillsgdx1/bossskills/pets/gabbalthunn_obsidianshard.dbr,gdx1|sm1,5,1,,30.0,,,,,,records/creatures/enemies/bios/bio_trap_chthonicshard_01.dbr,charLevel*1,2338,0.0,0.0,2338,842.0,370.4,0.0,0.0,1.0,,,,records/controllers/enemy/controller_trapzaplongdelay.dbr,fx/meshfx/trap_obsidiansentry01a.msh,1.600000023841858,Common,2,4,3,,MEASURED,MEASURED,ANIM-NOT-RESOLVED
1,,records/creatures/enemies/boss&quest/chthonianservitor_lunalvalgoth.dbr,"Lunal'Valgoth, Steward of Darkness",boss&quest,106,tree,6,records/skills/nonplayerskills/bossskills/boss_chest_02.dbr,Skill_OnDeathSpawnActor,spawnObjects,records/items/lootchests/d03_bosschest_dropped.dbr,Destructible,False,NON-MONSTER-SPAWN (loot/destructible; not threat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,records/creatures/enemies/boss&quest/chthonianservitor_lunalvalgoth.dbr,"Lunal'Valgoth, Steward of Darkness",boss&quest,106,slot,special4,records/skills/nonplayerskillsgdx1/bossskills/lunalvalgoth_summonservitors.dbr,Skill_SpawnPet,spawnObjects,,Monster,True,OK,gdx1,charLevel/4+1,27,0,MEASURED,,records/creatures/enemies/chthonianservitor_a01_summon.dbr,gdx1|sm1,12,3,,30.0,,,,,,records/creatures/enemies/bios/bio_chthonianservitor_a01.dbr,charLevel*1+1,21432,0.0,169.0,57653,676.0,507.0,1.1799999475479126,1.100000023841858,1.0,,1.1212,records/creatures/enemies/anm/anm_chthonian_servitor_small.dbr,records/controllers/enemy/controller_chthonianservitor.dbr,creatures/enemies/chthonianservitor/chthonianservitor01a.msh,0.5,Champion,2,5,2,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/chthonianservitor_lunalvalgoth.dbr,"Lunal'Valgoth, Steward of Darkness",boss&quest,106,tree,10,records/skills/nonplayerskillsgdx1/bossskills/lunalvalgoth_summonservitors.dbr,Skill_SpawnPet,spawnObjects,,Monster,True,OK,gdx1,charLevel/4+1,27,0,MEASURED,,records/creatures/enemies/chthonianservitor_a01_summon.dbr,gdx1|sm1,12,3,,30.0,,,,,,records/creatures/enemies/bios/bio_chthonianservitor_a01.dbr,charLevel*1+1,21432,0.0,169.0,57653,676.0,507.0,1.1799999475479126,1.100000023841858,1.0,,1.1212,records/creatures/enemies/anm/anm_chthonian_servitor_small.dbr,records/controllers/enemy/controller_chthonianservitor.dbr,creatures/enemies/chthonianservitor/chthonianservitor01a.msh,0.5,Champion,2,5,2,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/cultist_cultleader_01.dbr,Bloodlord Thalonis,boss&quest,106,tree,5,records/skills/nonplayerskills/bossskills/boss_chest_01.dbr,Skill_OnDeathSpawnActor,spawnObjects,records/items/lootchests/d02_bosschest_dropped.dbr,Destructible,False,NON-MONSTER-SPAWN (loot/destructible; not threat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,records/creatures/enemies/boss&quest/cultist_cultleader_01.dbr,Bloodlord Thalonis,boss&quest,106,slot,special5,records/skills/nonplayerskills/bossskills/cultist_summonchthonicshard_a01.dbr,Skill_SpawnPet,spawnObjects,,Monster,True,OK,base,(charLevel/4)+1,27,0,MEASURED,,records/skills/nonplayerskills/bossskills/pets/chthonicshard_zap_b01_summon.dbr,base|sm_mod,4,,,30.0,,,8.0,,,records/creatures/enemies/bios/bio_trap_chthonicshard_02.dbr,charLevel*1,7497,0.0,0.0,7497,842.0,370.4,0.0,1.0,1.0,,,,records/controllers/enemy/controller_trapzaplongdelay.dbr,fx/meshfx/trap_obsidiansentry01b.msh,1.0,Common,1,2,1,,MEASURED,MEASURED,ANIM-NOT-RESOLVED
1,,records/creatures/enemies/boss&quest/cultist_cultleader_01.dbr,Bloodlord Thalonis,boss&quest,106,tree,13,records/skills/nonplayerskills/bossskills/cultist_summonchthonicshard_a01.dbr,Skill_SpawnPet,spawnObjects,,Monster,True,OK,base,(charLevel/4)+1,27,0,MEASURED,,records/skills/nonplayerskills/bossskills/pets/chthonicshard_zap_b01_summon.dbr,base|sm_mod,4,,,30.0,,,8.0,,,records/creatures/enemies/bios/bio_trap_chthonicshard_02.dbr,charLevel*1,7497,0.0,0.0,7497,842.0,370.4,0.0,1.0,1.0,,,,records/controllers/enemy/controller_trapzaplongdelay.dbr,fx/meshfx/trap_obsidiansentry01b.msh,1.0,Common,1,2,1,,MEASURED,MEASURED,ANIM-NOT-RESOLVED
1,,records/creatures/enemies/boss&quest/cultist_cultleader_01.dbr,Bloodlord Thalonis,boss&quest,106,tree,11,records/skills/nonplayerskills/bossskills/cultistleader_harbingergenerator.dbr,Skill_MonsterGenerator,spawnObjects,,Monster,True,OK,base,(charLevel/4)+1,27,0,MEASURED,,records/creatures/enemies/chthonianminion_b01_summon.dbr,base|sm_mod,,,,60.0,,,,,,records/creatures/enemies/bios/bio_chthonian_02.dbr,charLevel*1+3,70071,0.0,169.0,188490,817.0,581.2,1.5499999523162842,1.100000023841858,1.2000000476837158,,1.1152,records/creatures/enemies/anm/anm_chthonianminion.dbr,records/controllers/enemy/controller_chthonicminiona01.dbr,creatures/enemies/chthonian/chthonianminion01.msh,1.0,Champion,6,11,6,records/creatures/enemies/chthonianfiend_a01_summon.dbr,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/cultist_cultleader_01.dbr,Bloodlord Thalonis,boss&quest,106,slot,special3,records/skills/nonplayerskills/bossskills/loghorrean_summonvoid.dbr,Skill_TargetedSpawnPet,spawnObjects,,Monster,True,OK,base,(charLevel/4)+1,27,0,MEASURED,,records/skills/nonplayerskills/bossskills/pets/loghorrean_void.dbr,base|sm_mod,6,1,,,,,5.0,,,records/creatures/enemies/bios/bio_trap_fireflare_01.dbr,charLevel*1,6108,0.0,0.0,6108,842.0,370.4,0.27000001072883606,0.800000011920929,1.0,25.0,0.8667,records/creatures/anomalies/anm/anm_winddevil_a01.dbr,records/controllers/pets/controller_winddevil.dbr,creatures/anomalies/anomalya01.msh,1.0,Common,1,3,1,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/cultist_cultleader_01.dbr,Bloodlord Thalonis,boss&quest,106,tree,9,records/skills/nonplayerskills/bossskills/loghorrean_summonvoid.dbr,Skill_TargetedSpawnPet,spawnObjects,,Monster,True,OK,base,(charLevel/4)+1,27,0,MEASURED,,records/skills/nonplayerskills/bossskills/pets/loghorrean_void.dbr,base|sm_mod,6,1,,,,,5.0,,,records/creatures/enemies/bios/bio_trap_fireflare_01.dbr,charLevel*1,6108,0.0,0.0,6108,842.0,370.4,0.27000001072883606,0.800000011920929,1.0,25.0,0.8667,records/creatures/anomalies/anm/anm_winddevil_a01.dbr,records/controllers/pets/controller_winddevil.dbr,creatures/anomalies/anomalya01.msh,1.0,Common,1,3,1,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/cultist_summoner_01.dbr,"Karroz, Sigil of Ch'thon",boss&quest,106,slot,special4,records/skills/nonplayerskills/bossskills/chthonianabomination_summondevourers_a01.dbr,Skill_SpawnPet,spawnObjects,,Monster,True,OK,base,charLevel/4+1,27,0,MEASURED,,records/creatures/enemies/chthoniandevourer_a01_summon.dbr,base|sm_mod,8,4,,30.0,,,8.0,,,records/creatures/enemies/bios/bio_chthoniandevourer_a00.dbr,charLevel*1,2322,0.0,154.0,5898,687.8,328.0,1.2000000476837158,1.4500000476837158,1.0,,0.5632,records/creatures/enemies/anm/anm_chthonian_devourer.dbr,records/controllers/enemy/controller_chthoniandevourer.dbr,creatures/enemies/chthonian/chthoniandevourer01a.msh,0.8999999761581421,Common,1,4,2,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/cultist_summoner_01.dbr,"Karroz, Sigil of Ch'thon",boss&quest,106,tree,6,records/skills/nonplayerskills/bossskills/chthonianabomination_summondevourers_a01.dbr,Skill_SpawnPet,spawnObjects,,Monster,True,OK,base,charLevel/4+1,27,0,MEASURED,,records/creatures/enemies/chthoniandevourer_a01_summon.dbr,base|sm_mod,8,4,,30.0,,,8.0,,,records/creatures/enemies/bios/bio_chthoniandevourer_a00.dbr,charLevel*1,2322,0.0,154.0,5898,687.8,328.0,1.2000000476837158,1.4500000476837158,1.0,,0.5632,records/creatures/enemies/anm/anm_chthonian_devourer.dbr,records/controllers/enemy/controller_chthoniandevourer.dbr,creatures/enemies/chthonian/chthoniandevourer01a.msh,0.8999999761581421,Common,1,4,2,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/cultist_summoner_01.dbr,"Karroz, Sigil of Ch'thon",boss&quest,106,slot,chain_next,records/skills/nonplayerskills/bossskills/chthonianabomination_summondevourers_b01.dbr,Skill_SpawnPet,spawnObjects,,Monster,True,OK,base,(charLevel/4)+1,27,0,MEASURED,,records/creatures/enemies/chthoniandevourer_b01_summon.dbr,base|sm_mod,4,2,,30.0,,,8.0,,,records/creatures/enemies/bios/bio_chthoniandevourer_b01.dbr,charLevel*1,9443,0.0,154.0,23986,795.8,439.0,1.149999976158142,1.350000023841858,1.0,,0.6049,records/creatures/enemies/anm/anm_chthonian_devourer.dbr,records/controllers/enemy/controller_chthoniandevourer.dbr,creatures/enemies/chthonian/chthoniandevourer01a.msh,1.2000000476837158,Champion,1,5,3,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/cultist_summoner_01.dbr,"Karroz, Sigil of Ch'thon",boss&quest,106,tree,7,records/skills/nonplayerskills/bossskills/chthonianabomination_summondevourers_b01.dbr,Skill_SpawnPet,spawnObjects,,Monster,True,OK,base,(charLevel/4)+1,27,0,MEASURED,,records/creatures/enemies/chthoniandevourer_b01_summon.dbr,base|sm_mod,4,2,,30.0,,,8.0,,,records/creatures/enemies/bios/bio_chthoniandevourer_b01.dbr,charLevel*1,9443,0.0,154.0,23986,795.8,439.0,1.149999976158142,1.350000023841858,1.0,,0.6049,records/creatures/enemies/anm/anm_chthonian_devourer.dbr,records/controllers/enemy/controller_chthoniandevourer.dbr,creatures/enemies/chthonian/chthoniandevourer01a.msh,1.2000000476837158,Champion,1,5,3,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/cultist_summoner_01.dbr,"Karroz, Sigil of Ch'thon",boss&quest,106,slot,chain_next,records/skills/nonplayerskills/bossskills/chthonianabomination_summondevourers_b01.dbr,Skill_SpawnPet,spawnObjects,,Monster,True,OK,base,(charLevel/4)+1,27,0,MEASURED,,records/creatures/enemies/chthonianleech_a01_summon.dbr,base|sm_mod,4,2,,30.0,,,8.0,,,records/creatures/enemies/bios/bio_chthonianleech_a01.dbr,charLevel*1+3,22199,0.0,238.0,75032,686.0,489.0,1.0,1.2000000476837158,1.1200000047683716,,0.6333,records/creatures/enemies/anm/anm_chthonian_leech.dbr,records/controllers/enemy/controller_chthonicleech_melee.dbr,creatures/enemies/chthonian/leech01a.msh,0.8999999761581421,Common,1,5,3,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/cultist_summoner_01.dbr,"Karroz, Sigil of Ch'thon",boss&quest,106,tree,7,records/skills/nonplayerskills/bossskills/chthonianabomination_summondevourers_b01.dbr,Skill_SpawnPet,spawnObjects,,Monster,True,OK,base,(charLevel/4)+1,27,0,MEASURED,,records/creatures/enemies/chthonianleech_a01_summon.dbr,base|sm_mod,4,2,,30.0,,,8.0,,,records/creatures/enemies/bios/bio_chthonianleech_a01.dbr,charLevel*1+3,22199,0.0,238.0,75032,686.0,489.0,1.0,1.2000000476837158,1.1200000047683716,,0.6333,records/creatures/enemies/anm/anm_chthonian_leech.dbr,records/controllers/enemy/controller_chthonicleech_melee.dbr,creatures/enemies/chthonian/leech01a.msh,0.8999999761581421,Common,1,5,3,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/cultist_summoner_01.dbr,"Karroz, Sigil of Ch'thon",boss&quest,106,tree,8,records/skills/nonplayerskills/bossskills/chthonianabomination_summondevourers_b02.dbr,Skill_SpawnPet,spawnObjects,,Monster,True,OK,base,(charLevel/4)+1,27,0,MEASURED,,records/creatures/enemies/chthoniandevourer_b02_summon.dbr,base|sm_mod,,,,30.0,,,8.0,,,records/creatures/enemies/bios/bio_chthoniandevourer_b01.dbr,charLevel*1,9443,0.0,154.0,23986,795.8,439.0,1.149999976158142,1.350000023841858,1.0,,0.6049,records/creatures/enemies/anm/anm_chthonian_devourer.dbr,records/controllers/enemy/controller_chthoniandevourer.dbr,creatures/enemies/chthonian/chthoniandevourer01a.msh,1.2000000476837158,Champion,1,5,3,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/cultist_summoner_01.dbr,"Karroz, Sigil of Ch'thon",boss&quest,106,slot,special3,records/skills/nonplayerskills/bossskills/cultist_summonvoidfiendsa01.dbr,Skill_SpawnPet,spawnObjects,,Monster,True,OK,base,charLevel/4+1,27,0,MEASURED,,records/creatures/enemies/chthonianfiend_a01_summon.dbr,base|sm_mod,,,,45.0,,,8.0,,,records/creatures/enemies/bios/bio_chthonicvoidfiend_01.dbr,charLevel*1,9229,0.0,154.0,23442,676.0,454.0,0.800000011920929,1.0,1.0,,1.4333,records/creatures/enemies/anm/anm_chthonianvoidfiend.dbr,records/controllers/enemy/controller_zombiemutanta01.dbr,creatures/enemies/voidfiend/voidfiend01.msh,1.100000023841858,Common,0,4,2,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/cultist_summoner_01.dbr,"Karroz, Sigil of Ch'thon",boss&quest,106,slot,chain_initial,records/skills/nonplayerskills/bossskills/cultist_summonvoidfiendsa01.dbr,Skill_SpawnPet,spawnObjects,,Monster,True,OK,base,charLevel/4+1,27,0,MEASURED,,records/creatures/enemies/chthonianfiend_a01_summon.dbr,base|sm_mod,,,,45.0,,,8.0,,,records/creatures/enemies/bios/bio_chthonicvoidfiend_01.dbr,charLevel*1,9229,0.0,154.0,23442,676.0,454.0,0.800000011920929,1.0,1.0,,1.4333,records/creatures/enemies/anm/anm_chthonianvoidfiend.dbr,records/controllers/enemy/controller_zombiemutanta01.dbr,creatures/enemies/voidfiend/voidfiend01.msh,1.100000023841858,Common,0,4,2,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/cultist_summoner_01.dbr,"Karroz, Sigil of Ch'thon",boss&quest,106,tree,13,records/skills/nonplayerskills/bossskills/cultist_summonvoidfiendsa01.dbr,Skill_SpawnPet,spawnObjects,,Monster,True,OK,base,charLevel/4+1,27,0,MEASURED,,records/creatures/enemies/chthonianfiend_a01_summon.dbr,base|sm_mod,,,,45.0,,,8.0,,,records/creatures/enemies/bios/bio_chthonicvoidfiend_01.dbr,charLevel*1,9229,0.0,154.0,23442,676.0,454.0,0.800000011920929,1.0,1.0,,1.4333,records/creatures/enemies/anm/anm_chthonianvoidfiend.dbr,records/controllers/enemy/controller_zombiemutanta01.dbr,creatures/enemies/voidfiend/voidfiend01.msh,1.100000023841858,Common,0,4,2,,MEASURED,MEASURED,MEASURED
1,,records/creatures/enemies/boss&quest/cultist_summoner_01.dbr,"Karroz, Sigil of Ch'thon",boss&quest,106,slot,special3,records/skills/nonplayerskills/bossskills/cultist_summonvoidfiendsa01.dbr,Skill_SpawnPet,spawnObjects,,Monster,True,OK,base,charLevel/4+1,27,0,MEASURED,,records/creatures/enemies/chthonianfiend_a02_summon.dbr,base|sm_mod,,,,45.0,,,8.0,,,records/creatures/enemies/bios/bio_chthonicvoidfiend_01.dbr,charLevel*1,9229,0.0,154.0,23442,676.0,454.0,0.800000011920929,1.0,1.0,,1.4333,records/creatures/enemies/anm/anm_chthonianvoidfiend.dbr,records/controllers/enemy/controller_humanchthonic_rangedcaster.dbr,creatures/enemies/voidfiend/voidfiend01.msh,1.100000023841858,Champion,1,4,2,,MEASURED,MEASURED,MEASURED
