frame,t_sec,wave,hp_before,hp_after,health_max,deficit_before,step_raw,step_net_of_regen,clean,provenance,per_body_if_N1,COUPLED_median_band_contains,DECOUPLED_median_band_contains,below_DECOUPLED_board_p5,below_COUPLED_board_min
10437,856.95,160,9562,10978,20005,10443,1416,1413.84,1,hp_trace_60fps_ocr_NOT_fct,1413.84,1,0,1,0
10498,857.9667,160,6975,8196,20005,13030,1221,1218.84,0,hp_trace_60fps_ocr_NOT_fct,1218.84,1,0,1,0
10528,858.4667,160,8211,9544,20005,11794,1333,1330.84,1,hp_trace_60fps_ocr_NOT_fct,1330.84,1,0,1,0
10553,858.8833,160,9593,10524,20005,10412,931,928.84,1,hp_trace_60fps_ocr_NOT_fct,928.84,1,0,1,0
10559,858.9833,160,8144,9772,20005,11861,1628,1625.84,0,hp_trace_60fps_ocr_NOT_fct,1625.84,0,0,0,0
10561,859.0167,160,9774,10982,20005,10231,1208,1205.84,0,hp_trace_60fps_ocr_NOT_fct,1205.84,1,0,1,0
10565,859.0833,160,10559,11365,20005,9446,806,803.84,0,hp_trace_60fps_ocr_NOT_fct,803.84,1,0,1,0
10571,859.1833,160,8338,8958,20005,11667,620,617.84,0,hp_trace_60fps_ocr_NOT_fct,617.84,1,0,1,0
10624,860.0667,160,5851,6985,20005,14154,1134,1131.84,0,hp_trace_60fps_ocr_NOT_fct,1131.84,1,0,1,0
10687,861.1167,160,6321,9180,20005,13684,2859,2856.84,1,hp_trace_60fps_ocr_NOT_fct,2856.84,0,1,0,0
10747,862.1167,160,9308,10721,20005,10697,1413,1410.84,1,hp_trace_60fps_ocr_NOT_fct,1410.84,1,0,1,0
10751,862.1833,160,10311,12253,20005,9694,1942,1939.84,0,hp_trace_60fps_ocr_NOT_fct,1939.84,0,0,0,0
10777,862.6167,160,12304,13187,20005,7701,883,880.84,1,hp_trace_60fps_ocr_NOT_fct,880.84,1,0,1,0
10783,862.7167,160,13197,14595,20005,6808,1398,1395.84,1,hp_trace_60fps_ocr_NOT_fct,1395.84,1,0,1,0
10789,862.8167,160,14605,17487,20005,5400,2882,2879.84,1,hp_trace_60fps_ocr_NOT_fct,2879.84,0,1,0,0
