source,window,frame_path,t_sec,text,ocr_conf,text_class,is_hud,colour_class,rgb_r,rgb_g,rgb_b,r_over_g,g_minus_maxrb,bbox_x,bbox_y,bbox_w,bbox_h,px_x0,px_y0,px_x1,px_y1
census,,C0000.png,683.0,X1,0.3,other,0,cream_dealt,170.6,141.7,104.6,1.205,-29.0,0.82267,0.90439,0.0189,0.02067,1579,80,1615,103
census,,C0000.png,683.0,00,0.3,bare,1,cream_dealt,247.0,208.5,102.1,1.185,-38.5,0.49564,0.05685,0.01308,0.01292,951,1004,976,1018
census,,C0001.png,684.0,Gladiator,1.0,other,0,neutral,213.8,210.4,193.0,1.016,-3.4,0.00574,0.97347,0.0452,0.01689,11,10,97,28
census,,C0001.png,684.0,9:48:50,1.0,other,0,cream_dealt,214.1,208.7,189.0,1.026,-5.4,0.01017,0.9379,0.04653,0.01568,19,50,108,67
census,,C0001.png,684.0,Crucible of the Dead,1.0,other,0,cream_dealt,212.8,208.5,191.5,1.02,-4.3,0.89244,0.9713,0.09738,0.01852,1713,10,1900,30
census,,C0001.png,684.0,125,1.0,bare,1,cream_dealt,187.0,173.2,149.4,1.079,-13.8,0.71802,0.88889,0.02326,0.0155,1378,103,1423,120
census,,C0001.png,684.0,03:02,1.0,other,0,cream_dealt,192.4,183.1,159.9,1.051,-9.3,0.77471,0.88889,0.02326,0.01292,1487,106,1532,120
census,,C0001.png,684.0,New Mutators Active,1.0,other,0,cream_dealt,216.0,202.2,206.6,1.069,-13.9,0.39244,0.82946,0.21657,0.03628,753,145,1169,184
census,,C0001.png,684.0,"(230,020/230,020)",1.0,pair,0,neutral,233.5,240.0,232.7,0.973,6.5,0.0843,0.77261,0.08866,0.01292,161,231,332,245
census,,C0001.png,684.0,"(225,874/225,874)",1.0,pair,0,neutral,234.3,235.9,235.6,0.993,0.3,0.13372,0.74677,0.08866,0.0155,256,256,426,273
census,,C0001.png,684.0,"(230,020/230,020)",1.0,pair,0,neutral,230.3,239.4,228.0,0.962,9.1,0.07849,0.71835,0.08866,0.01292,150,290,320,304
census,,C0001.png,684.0,"(373,665/373,665)",1.0,pair,0,neutral,225.5,229.5,229.6,0.983,-0.1,0.14099,0.68734,0.09157,0.0155,270,320,446,337
census,,C0001.png,684.0,"(20,005/20,005)",1.0,pair,0,neutral,241.3,242.9,240.3,0.993,1.7,0.46076,0.61757,0.07994,0.01292,884,399,1038,413
census,,C0001.png,684.0,20005/20005,1.0,pair,1,cream_dealt,234.3,228.5,225.6,1.025,-5.8,0.30233,0.05426,0.05378,0.0155,580,1004,683,1021
census,,C0001.png,684.0,100,1.0,bare,1,cream_dealt,246.7,208.1,102.3,1.186,-38.7,0.49419,0.05685,0.01453,0.01292,948,1004,976,1018
census,,C0001.png,684.0,1594/2576,1.0,pair,1,neutral,232.8,236.6,236.6,0.984,0.0,0.64818,0.05106,0.04521,0.01934,1244,1003,1331,1024
census,,C0001.png,684.0,151,0.5,bare,1,red_taken,190.8,86.1,47.0,2.216,-104.7,0.82558,0.85013,0.0189,0.01809,1585,142,1621,161
census,,C0001.png,684.0,"O, Eliminate all Enemies",0.5,other,0,neutral,183.1,183.9,180.7,0.995,0.9,0.87933,0.65081,0.08582,0.02655,1688,348,1853,377
census,,C0001.png,684.0,PM,0.3,other,0,cream_dealt,215.3,208.4,186.0,1.033,-6.9,0.06395,0.93798,0.02035,0.0155,122,50,161,66
census,,C0001.png,684.0,X1,0.3,other,0,cream_dealt,170.6,141.7,104.6,1.205,-29.0,0.82267,0.90439,0.0189,0.02067,1579,80,1615,103
census,,C0001.png,684.0,(19919940f82.147),0.3,other,0,cream_dealt,224.2,184.6,130.3,1.214,-39.6,0.86478,0.66881,0.09311,0.02931,1660,326,1839,357
census,,C0002.png,685.0,Gladiator,1.0,other,0,neutral,214.0,211.1,192.0,1.014,-2.9,0.00576,0.9736,0.04518,0.01662,11,10,97,28
census,,C0002.png,685.0,9:48:51,1.0,other,0,cream_dealt,212.2,207.5,184.4,1.022,-4.6,0.01015,0.93776,0.04657,0.01854,19,47,108,67
census,,C0002.png,685.0,"(230,020/230,020)",1.0,pair,0,neutral,236.2,239.1,239.0,0.988,0.1,0.30087,0.92506,0.09012,0.0155,577,64,750,80
census,,C0002.png,685.0,"(218,097/230,020)",1.0,pair,0,neutral,229.4,237.2,229.5,0.967,7.8,0.28343,0.86563,0.09012,0.0155,544,128,717,145
census,,C0002.png,685.0,"(362,1530373,665)",1.0,other,0,neutral,228.5,235.2,233.3,0.971,1.9,0.31395,0.80103,0.09157,0.0155,602,198,778,214
census,,C0002.png,685.0,20005/20005,1.0,pair,1,cream_dealt,234.3,228.3,225.9,1.026,-6.0,0.30233,0.05426,0.05378,0.0155,580,1004,683,1021
census,,C0002.png,685.0,Crucible of the Dead,1.0,other,0,cream_dealt,213.7,208.7,189.5,1.024,-5.0,0.89244,0.9713,0.09738,0.01852,1713,10,1900,30
census,,C0002.png,685.0,125,1.0,bare,1,cream_dealt,188.9,178.8,155.5,1.057,-10.1,0.71948,0.88889,0.01453,0.01292,1381,106,1409,119
census,,C0002.png,685.0,03:01,1.0,other,0,cream_dealt,195.9,186.8,164.1,1.049,-9.1,0.77616,0.88889,0.0218,0.01292,1490,106,1532,119
census,,C0002.png,685.0,151,1.0,bare,1,red_taken,190.8,86.1,47.0,2.216,-104.7,0.82558,0.85013,0.0189,0.01809,1585,142,1621,161
census,,C0002.png,685.0,Objectives,1.0,other,0,cream_dealt,236.8,174.8,90.1,1.355,-62.0,0.87355,0.68217,0.05523,0.01809,1677,323,1783,343
census,,C0002.png,685.0,"(20,005/20,005)",1.0,pair,0,neutral,242.6,243.4,244.9,0.997,-1.6,0.46076,0.61757,0.07994,0.01292,884,399,1038,413
census,,C0002.png,685.0,00,1.0,bare,1,cream_dealt,246.1,206.8,98.3,1.19,-39.3,0.49419,0.05685,0.01453,0.0155,948,1001,976,1018
census,,C0002.png,685.0,1594/2576,1.0,pair,1,neutral,229.0,233.7,233.7,0.98,0.0,0.64826,0.05168,0.04506,0.02067,1244,1001,1331,1024
census,,C0002.png,685.0,O Eliminate all Enemies,0.5,other,0,neutral,219.3,222.9,224.1,0.984,-1.3,0.87936,0.66111,0.08576,0.01589,1688,348,1853,366
census,,C0002.png,685.0,PM,0.3,other,0,cream_dealt,212.2,205.5,182.6,1.033,-6.7,0.06105,0.9354,0.0218,0.02067,117,47,159,69
census,,C0002.png,685.0,X1,0.3,other,0,cream_dealt,170.6,141.7,104.6,1.205,-29.0,0.82267,0.90439,0.0189,0.02067,1579,80,1615,103
census,,C0003.png,686.0,Gladiator,1.0,other,0,neutral,213.8,211.6,192.4,1.011,-2.3,0.00579,0.97389,0.04512,0.01604,11,10,97,28
census,,C0003.png,686.0,9:48:52,1.0,other,0,neutral,213.3,209.3,188.5,1.019,-4.0,0.00869,0.93767,0.04803,0.01614,16,49,108,67
census,,C0003.png,686.0,Crucible of tbe Dead,1.0,other,0,cream_dealt,205.7,198.8,180.1,1.034,-6.8,0.89238,0.96059,0.0975,0.02973,1713,10,1900,42
census,,C0003.png,686.0,Undead,1.0,other,0,neutral,232.6,232.6,233.8,1.0,-1.2,0.48256,0.90181,0.03488,0.0155,926,89,993,106
census,,C0003.png,686.0,125,1.0,bare,1,cream_dealt,188.9,178.8,155.5,1.057,-10.1,0.71948,0.88889,0.01453,0.01292,1381,106,1409,119
census,,C0003.png,686.0,03:00,1.0,other,0,cream_dealt,196.3,187.2,166.5,1.049,-9.1,0.77471,0.88889,0.0218,0.01292,1487,106,1529,120
census,,C0003.png,686.0,"(202,189/230,020)",1.0,pair,0,neutral,234.7,235.8,233.3,0.995,1.1,0.41134,0.79587,0.09012,0.0155,789,203,962,220
census,,C0003.png,686.0,"(442,747/44",1.0,pair,0,cream_dealt,236.5,231.0,229.3,1.024,-5.5,0.79797,0.78811,0.05959,0.0155,1532,212,1646,228
census,,C0003.png,686.0,"(218,129/230,020)",1.0,pair,0,neutral,233.7,239.6,233.1,0.975,5.9,0.40843,0.7416,0.09302,0.01292,784,265,962,279
census,,C0003.png,686.0,"(210,202/373,665)",1.0,pair,0,neutral,232.9,233.3,230.7,0.998,0.4,0.42442,0.72093,0.09012,0.0155,814,284,987,301
census,,C0003.png,686.0,75440,1.0,bare,0,cream_dealt,192.2,183.6,171.6,1.047,-8.6,0.40552,0.56589,0.02616,0.01292,778,454,828,468
census,,C0003.png,686.0,"(97.155/139,400)",1.0,other,0,cream_dealt,237.0,230.3,230.4,1.029,-6.8,0.53198,0.65633,0.0843,0.0155,1021,354,1183,371
census,,C0003.png,686.0,"(20,005/20,005)",1.0,pair,0,neutral,236.6,238.7,238.9,0.991,-0.2,0.4593,0.62791,0.07994,0.0155,881,385,1035,401
census,,C0003.png,686.0,6961 (x1.67),1.0,crit,0,cream_dealt,246.1,229.2,196.9,1.074,-16.9,0.5843,0.5814,0.06686,0.02067,1121,429,1250,452
census,,C0003.png,686.0,Objectives,1.0,other,0,cream_dealt,238.6,172.4,79.3,1.384,-66.2,0.8735,0.68168,0.05533,0.01908,1677,323,1783,343
census,,C0003.png,686.0,"(453,064/453,064)",1.0,pair,0,neutral,244.4,239.9,239.4,1.019,-4.5,0.76308,0.62016,0.09012,0.01292,1465,396,1638,410
census,,C0003.png,686.0,"(278,543/278,543)",1.0,pair,0,neutral,240.6,236.9,231.6,1.015,-3.7,0.8561,0.23256,0.09012,0.01292,1643,814,1816,828
census,,C0003.png,686.0,"(272,948/272,948)",1.0,pair,0,neutral,235.5,237.0,238.8,0.994,-1.8,0.70349,0.10853,0.09012,0.0155,1350,946,1523,962
census,,C0003.png,686.0,20005/20005,1.0,pair,1,cream_dealt,232.5,224.9,222.5,1.034,-7.6,0.30224,0.05086,0.05395,0.01972,580,1003,683,1025
census,,C0003.png,686.0,100,1.0,bare,1,cream_dealt,245.2,205.1,97.8,1.195,-40.1,0.48983,0.05685,0.0189,0.0155,940,1001,976,1018
census,,C0003.png,686.0,1537/2576,1.0,pair,1,neutral,221.3,230.8,228.4,0.959,2.4,0.64815,0.05078,0.04528,0.01989,1244,1003,1331,1025
census,,C0003.png,686.0,Ancient Wraitb,0.5,other,0,cream_dealt,234.2,219.5,110.5,1.067,-14.7,0.45058,0.96641,0.09884,0.01809,865,16,1054,36
census,,C0003.png,686.0,151,0.5,bare,1,red_taken,190.8,86.1,47.0,2.216,-104.7,0.82558,0.85013,0.0189,0.01809,1585,142,1621,161
census,,C0003.png,686.0,32646,0.5,bare,0,cream_dealt,230.1,190.5,174.5,1.208,-39.6,0.42878,0.5814,0.02471,0.01292,823,438,870,452
census,,C0003.png,686.0,Q Eliminate all Enemies,0.5,other,0,cream_dealt,229.0,222.5,219.3,1.029,-6.5,0.87936,0.66111,0.08576,0.01589,1688,348,1853,366
census,,C0003.png,686.0,PM,0.3,other,0,cream_dealt,217.1,206.6,184.8,1.051,-10.5,0.06395,0.93798,0.02035,0.0155,122,50,161,66
census,,C0003.png,686.0,X1,0.3,other,0,cream_dealt,170.6,141.7,104.6,1.205,-29.0,0.82267,0.90439,0.0189,0.02067,1579,80,1615,103
census,,C0003.png,686.0,"(75.3699%392400)5,874)",0.3,other,0,neutral,232.0,229.4,227.6,1.011,-2.6,0.51163,0.68217,0.11483,0.02067,982,320,1202,343
census,,C0003.png,686.0,(453(064/453/0641975),0.3,other,0,neutral,240.8,236.9,236.1,1.017,-3.9,0.52616,0.67183,0.11192,0.01292,1010,340,1225,354
census,,C0003.png,686.0,"28645 (x1,67) D",0.3,other,0,cream_dealt,238.7,217.7,180.0,1.096,-20.9,0.48256,0.58398,0.08576,0.02621,926,421,1091,449
census,,C0003.png,686.0,7407 61:77),0.3,other,0,cream_dealt,224.5,186.0,129.2,1.207,-38.5,0.51017,0.5478,0.07558,0.04393,979,440,1124,488
census,,C0003.png,686.0,11480 (x11.67940,0.3,other,0,cream_dealt,244.2,215.8,168.4,1.131,-28.4,0.53335,0.51862,0.08883,0.03254,1024,484,1194,519
census,,C0004.png,687.0,Gladiator,1.0,other,0,neutral,212.2,210.1,190.6,1.01,-2.1,0.00564,0.97008,0.04541,0.02108,10,9,98,32
census,,C0004.png,687.0,9:48:53,1.0,other,0,neutral,210.8,207.8,186.4,1.015,-3.0,0.00869,0.93771,0.04803,0.01865,16,47,108,67
census,,C0004.png,687.0,"(20,005/20,005)",1.0,pair,0,neutral,227.3,236.1,227.2,0.963,8.8,0.4593,0.61499,0.07994,0.01809,881,396,1035,415
census,,C0004.png,687.0,35672,1.0,bare,0,green_candidate,183.5,231.4,208.9,0.793,22.4,0.48547,0.50646,0.03343,0.02067,932,510,996,533
census,,C0004.png,687.0,20005/20005,1.0,pair,1,neutral,232.3,229.0,227.1,1.014,-3.3,0.30233,0.05426,0.05378,0.0155,580,1004,683,1021
census,,C0004.png,687.0,100,1.0,bare,1,cream_dealt,245.2,205.1,97.8,1.195,-40.1,0.48983,0.05685,0.0189,0.0155,940,1001,976,1018
census,,C0004.png,687.0,125,1.0,bare,1,cream_dealt,186.8,176.8,153.4,1.057,-10.1,0.71802,0.88889,0.01744,0.01292,1378,106,1412,119
census,,C0004.png,687.0,02:59,1.0,other,0,cream_dealt,191.4,182.3,163.0,1.05,-9.1,0.77471,0.88889,0.0218,0.01292,1487,106,1529,120
census,,C0004.png,687.0,"(442,747/442,747)",1.0,pair,0,neutral,232.8,232.5,228.8,1.002,-0.4,0.69622,0.65375,0.09012,0.0155,1336,357,1509,373
census,,C0004.png,687.0,"(224,485/453,064)",1.0,pair,0,neutral,229.7,236.3,234.7,0.972,1.6,0.59012,0.56331,0.09157,0.0155,1133,454,1308,471
census,,C0004.png,687.0,1552/2576,1.0,pair,1,neutral,225.6,231.6,229.4,0.974,2.3,0.64815,0.05077,0.04528,0.0199,1244,1003,1331,1025
census,,C0004.png,687.0,Crucible of the Dead,1.0,other,0,neutral,212.9,209.2,191.0,1.018,-3.7,0.89244,0.9713,0.09738,0.01852,1713,10,1900,30
census,,C0004.png,687.0,Objectives,1.0,other,0,cream_dealt,233.3,176.6,86.3,1.321,-56.7,0.87352,0.68196,0.05528,0.01851,1677,323,1783,343
census,,C0004.png,687.0,"(453,064/453,064)",1.0,pair,0,neutral,234.2,238.8,236.0,0.981,2.7,0.82413,0.52455,0.09012,0.0155,1582,496,1755,513
census,,C0004.png,687.0,PM,0.5,other,0,cream_dealt,213.9,206.9,184.1,1.034,-7.1,0.0625,0.9354,0.0218,0.01809,119,50,161,69
census,,C0004.png,687.0,52488 (x1.89),0.5,crit,0,green_candidate,213.0,241.0,190.0,0.884,28.0,0.58416,0.49721,0.09622,0.03401,1121,506,1306,543
census,,C0004.png,687.0,151,0.5,bare,1,red_taken,190.8,86.1,47.0,2.216,-104.7,0.82558,0.85013,0.0189,0.01809,1585,142,1621,161
census,,C0004.png,687.0,Q Eliminate all Enemies,0.5,other,0,neutral,223.5,228.1,224.2,0.98,3.8,0.87936,0.66111,0.0843,0.01589,1688,348,1850,365
census,,C0004.png,687.0,"(278,5)",0.5,other,0,neutral,220.9,224.9,221.5,0.982,3.4,0.96366,0.05426,0.03488,0.0155,1850,1004,1917,1021
census,,C0004.png,687.0,7ONETR,0.3,other,0,green_candidate,220.2,253.7,214.3,0.868,33.4,0.57117,0.46987,0.0815,0.03442,1096,535,1253,572
census,,C0004.png,687.0,4184.1,0.3,other,0,green_candidate,214.2,252.3,221.6,0.849,30.7,0.57845,0.45974,0.03205,0.01851,1110,563,1172,583
census,,C0004.png,687.0,X1,0.3,other,0,cream_dealt,170.6,141.7,104.6,1.205,-29.0,0.82267,0.90439,0.0189,0.02067,1579,80,1615,103
census,,C0005.png,688.0,9:48:54,1.0,other,0,cream_dealt,215.6,207.2,191.5,1.041,-8.4,0.00868,0.93756,0.04805,0.01636,16,49,108,67
census,,C0005.png,688.0,Crucible of the Dead,1.0,other,0,neutral,212.0,208.5,191.3,1.017,-3.5,0.89244,0.9713,0.09738,0.01852,1713,10,1900,30
census,,C0005.png,688.0,125,1.0,bare,1,cream_dealt,185.1,177.4,152.6,1.044,-7.7,0.71802,0.88889,0.01599,0.01292,1378,106,1409,120
census,,C0005.png,688.0,03:02,1.0,other,0,cream_dealt,190.6,181.3,162.2,1.051,-9.3,0.77471,0.88889,0.02326,0.01292,1487,106,1532,120
census,,C0005.png,688.0,151,1.0,bare,1,red_taken,189.7,86.6,46.5,2.191,-103.1,0.82558,0.85013,0.0189,0.01809,1585,142,1621,161
census,,C0005.png,688.0,Objectives,1.0,other,0,cream_dealt,240.8,173.6,84.7,1.387,-67.2,0.87355,0.68217,0.05523,0.01809,1677,323,1783,343
census,,C0005.png,688.0,"(229,195/442,747)",1.0,pair,0,neutral,229.1,229.4,229.8,0.999,-0.4,0.44477,0.64341,0.09157,0.0155,853,368,1029,385
census,,C0005.png,688.0,"(20,005/20,005)",1.0,pair,0,neutral,236.6,238.5,234.5,0.992,1.9,0.46076,0.61757,0.07849,0.0155,884,396,1035,413
census,,C0005.png,688.0,27789,1.0,bare,0,cream_dealt,209.5,193.2,194.4,1.085,-16.3,0.51599,0.58915,0.02616,0.0155,990,426,1040,443
census,,C0005.png,688.0,26104,1.0,bare,0,cream_dealt,197.0,157.9,168.3,1.248,-39.2,0.42878,0.55297,0.03052,0.01292,823,468,881,482
census,,C0005.png,688.0,20005/20005,1.0,pair,1,cream_dealt,234.3,228.3,225.4,1.026,-6.0,0.30233,0.05426,0.05378,0.0155,580,1004,683,1021
census,,C0005.png,688.0,100,1.0,bare,1,cream_dealt,244.4,205.0,96.5,1.192,-39.4,0.48983,0.05685,0.0189,0.0155,940,1001,976,1018
census,,C0005.png,688.0,1466/2576,1.0,pair,1,neutral,221.4,237.5,232.4,0.933,5.1,0.6482,0.05129,0.04517,0.02146,1244,1001,1331,1024
census,,C0005.png,688.0,"(278,543/278,543)",1.0,pair,0,neutral,232.2,243.4,183.2,0.954,11.2,0.73692,0.04393,0.09012,0.01809,1414,1013,1587,1032
census,,C0005.png,688.0,Gladiator,0.5,other,0,cream_dealt,214.4,210.0,192.7,1.021,-4.4,0.00568,0.97287,0.04532,0.01809,10,9,97,29
census,,C0005.png,688.0,PM,0.5,other,0,cream_dealt,213.4,206.5,182.9,1.033,-6.9,0.0625,0.9354,0.0218,0.01809,119,50,161,69
census,,C0005.png,688.0,O Eliminate all Enemies,0.5,other,0,neutral,217.3,216.9,213.3,1.002,-0.4,0.87936,0.66111,0.08576,0.01589,1688,348,1853,366
census,,C0005.png,688.0,756 (x1.89),0.5,crit,0,green_candidate,159.4,218.4,113.6,0.73,59.0,0.27616,0.55278,0.03924,0.01574,530,465,605,482
census,,C0005.png,688.0,254888677,0.5,bare,0,cream_dealt,206.0,179.0,200.4,1.151,-27.1,0.44913,0.56848,0.05087,0.02842,862,435,959,466
census,,C0005.png,688.0,21665,0.5,bare,0,neutral,253.8,251.4,238.0,1.01,-2.4,0.42733,0.50129,0.02471,0.0155,820,521,867,538
census,,C0005.png,688.0,X1,0.3,other,0,cream_dealt,168.8,143.1,105.4,1.18,-25.7,0.82267,0.90439,0.0189,0.02067,1579,80,1615,103
census,,C0005.png,688.0,6012169 641.67),0.3,other,0,cream_dealt,250.7,217.4,207.9,1.153,-33.3,0.42442,0.53488,0.07413,0.02067,814,480,957,502
census,,C0005.png,688.0,2100 3193Xx 1.67),0.3,other,0,neutral,252.7,252.0,245.8,1.003,-0.7,0.42442,0.51163,0.09448,0.02356,814,501,996,527
census,,C0005.png,688.0,50187 ((179)),0.3,other,0,neutral,254.0,254.8,254.0,0.997,0.8,0.38942,0.45899,0.08162,0.03292,747,548,904,584
census,,C0006.png,689.0,Gladiator,1.0,other,0,cream_dealt,216.6,211.3,193.8,1.025,-5.3,0.00577,0.97374,0.04515,0.01635,11,10,97,28
census,,C0006.png,689.0,9:48:55,1.0,other,0,cream_dealt,215.3,206.9,190.6,1.04,-8.3,0.0087,0.9378,0.04656,0.01845,16,47,106,67
census,,C0006.png,689.0,Arcanom,1.0,other,0,cream_dealt,218.7,165.7,97.8,1.319,-52.9,0.42727,0.96588,0.05389,0.01914,820,16,923,36
census,,C0006.png,689.0,the,1.0,other,0,cream_dealt,206.1,161.6,107.6,1.275,-44.5,0.48692,0.96641,0.0218,0.01809,934,16,976,36
census,,C0006.png,689.0,Soultbief,1.0,other,0,cream_dealt,209.3,164.7,109.5,1.271,-44.7,0.5145,0.96348,0.05967,0.02137,987,16,1102,39
census,,C0006.png,689.0,Crucible of the Dead,1.0,other,0,neutral,211.8,208.5,191.5,1.016,-3.3,0.89244,0.9713,0.09738,0.01852,1713,10,1900,30
census,,C0006.png,689.0,Undead,1.0,other,0,neutral,235.4,231.5,227.4,1.017,-3.9,0.48256,0.90181,0.03488,0.0155,926,89,993,106
census,,C0006.png,689.0,125,1.0,bare,1,cream_dealt,187.0,178.8,153.8,1.046,-8.2,0.71948,0.88889,0.01453,0.01292,1381,106,1409,120
census,,C0006.png,689.0,151,1.0,bare,1,red_taken,189.7,86.6,46.5,2.191,-103.1,0.82558,0.85013,0.0189,0.01809,1585,142,1621,161
census,,C0006.png,689.0,Objectives,1.0,other,0,cream_dealt,243.0,172.4,79.5,1.409,-70.6,0.87353,0.68206,0.05526,0.01831,1677,323,1783,343
census,,C0006.png,689.0,"(278,543/278,543)",1.0,pair,0,neutral,227.0,230.8,232.5,0.983,-1.6,0.63663,0.15504,0.09012,0.0155,1222,895,1395,912
census,,C0006.png,689.0,20005/20005,1.0,pair,1,cream_dealt,237.2,225.7,222.7,1.051,-11.5,0.30233,0.05426,0.05378,0.0155,580,1004,683,1021
census,,C0006.png,689.0,100,1.0,bare,1,cream_dealt,246.5,207.3,98.8,1.189,-39.2,0.48983,0.05685,0.0189,0.01292,940,1004,976,1018
census,,C0006.png,689.0,1499/2576,1.0,pair,1,neutral,225.9,236.6,233.6,0.955,3.0,0.64826,0.05168,0.04506,0.02067,1244,1001,1331,1024
census,,C0006.png,689.0,"(136,",1.0,other,0,neutral,215.1,218.1,225.5,0.986,-7.4,0.97238,0.01292,0.02616,0.0155,1866,1049,1917,1066
census,,C0006.png,689.0,03:05,0.5,other,0,cream_dealt,186.6,179.6,160.7,1.039,-7.0,0.77471,0.88889,0.02326,0.0155,1487,103,1532,119
census,,C0006.png,689.0,O Eliminate all Enemies,0.5,other,0,neutral,218.4,219.0,217.9,0.997,0.6,0.87936,0.66111,0.08576,0.01589,1688,348,1853,366
census,,C0006.png,689.0,PM,0.3,other,0,cream_dealt,215.1,208.4,188.2,1.032,-6.7,0.06395,0.93798,0.02035,0.0155,122,50,161,66
census,,C0006.png,689.0,X1,0.3,other,0,cream_dealt,169.1,143.3,105.6,1.18,-25.7,0.82267,0.90439,0.0189,0.02067,1579,80,1615,103
census,,C0006.png,689.0,2079654601.77),0.3,other,0,neutral,236.4,248.4,232.3,0.952,12.0,0.42151,0.65116,0.07558,0.02326,809,351,954,376
census,,C0006.png,689.0,(098.006/453(0645/20.005),0.3,other,0,neutral,246.4,246.9,242.1,0.998,0.5,0.40552,0.61499,0.13517,0.01809,778,396,1038,415
census,,C0006.png,689.0,923108614601.77),0.3,other,0,cream_dealt,247.8,212.4,154.5,1.167,-35.4,0.4593,0.49354,0.08576,0.02584,881,519,1046,546
census,,C0006.png,689.0,878b5,0.3,other,0,cream_dealt,211.9,178.4,171.8,1.188,-33.6,0.48547,0.44186,0.02471,0.02326,932,577,979,602
census,,C0006.png,689.0,"(221,",0.3,other,0,neutral,223.4,225.6,231.3,0.99,-5.6,0.97093,0.22222,0.02762,0.01292,1864,826,1917,839
census,,C0006.png,689.0,"(39.682/136:400/381,272)",0.3,other,0,neutral,217.7,214.0,217.3,1.017,-3.7,0.74709,0.0801,0.12645,0.02326,1434,968,1677,993
census,,C0006.png,689.0,1383,0.3,bare,0,neutral,234.8,237.3,242.8,0.99,-5.5,0.22674,0.01034,0.02326,0.01034,435,1057,479,1068
census,,C0007.png,690.0,Gladiator,1.0,other,0,cream_dealt,215.1,210.0,192.3,1.024,-5.1,0.0057,0.97303,0.04529,0.01777,10,9,97,29
census,,C0007.png,690.0,9:48:5,1.0,other,0,cream_dealt,214.7,206.3,189.0,1.041,-8.4,0.00869,0.93517,0.04076,0.01856,16,49,94,70
census,,C0007.png,690.0,6,1.0,bare,0,cream_dealt,217.8,212.7,194.9,1.024,-5.2,0.04797,0.93798,0.00872,0.0155,92,50,108,66
