url=https://reincarnated-loadout.vercel.app/playtest/cliffside/?touch=1
booted=true boot_ms=7157
live_kit4_raf_13.png +617ms
live_kit4_raf_14.png +650ms
live_kit4_raf_15.png +700ms
live_kit4_raf_16.png +750ms
live_kit4_raf_17.png +800ms
live_kit4_raf_18.png +850ms
live_kit4_raf_19.png +900ms
live_kit4_raf_20.png +950ms
live_kit4_raf_21.png +1000ms
live_kit4_raf_22.png +1050ms
live_kit4_raf_23.png +1100ms
live_kit4_raf_24.png +1133ms
live_kit4_raf_25.png +1183ms
live_kit4_raf_26.png +1233ms
live_kit4_raf_27.png +1283ms
live_kit4_raf_28.png +1333ms
live_kit4_raf_29.png +1383ms
live_kit4_raf_30.png +1433ms
live_kit4_raf_31.png +1483ms
kit5 canvas=1688x780 region=200,60,900,460
live_kit5_raf_00.png +0ms
live_kit5_raf_01.png +33ms
live_kit5_raf_02.png +83ms
live_kit5_raf_03.png +133ms
live_kit5_raf_04.png +183ms
live_kit5_raf_05.png +233ms
live_kit5_raf_06.png +283ms
live_kit5_raf_07.png +333ms
live_kit5_raf_08.png +383ms
live_kit5_raf_09.png +417ms
live_kit5_raf_10.png +467ms
live_kit5_raf_11.png +517ms
live_kit5_raf_12.png +567ms
live_kit5_raf_13.png +617ms
live_kit5_raf_14.png +667ms
live_kit5_raf_15.png +717ms
live_kit5_raf_16.png +767ms
live_kit5_raf_17.png +817ms
live_kit5_raf_18.png +867ms
live_kit5_raf_19.png +917ms
live_kit5_raf_20.png +967ms
live_kit5_raf_21.png +1017ms
live_kit5_raf_22.png +1050ms
live_kit5_raf_23.png +1100ms
live_kit5_raf_24.png +1150ms
live_kit5_raf_25.png +1200ms
live_kit5_raf_26.png +1250ms
live_kit5_raf_27.png +1300ms
live_kit5_raf_28.png +1350ms
live_kit5_raf_29.png +1400ms
live_kit5_raf_30.png +1450ms
live_kit5_raf_31.png +1500ms
--- console
[warning] [.WebGL-0x10c000dde00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[log] Godot Engine v4.6.3.stable.official.7d41c59c4 - https://godotengine.org
[log] OpenGL API OpenGL ES 3.0 (WebGL 2.0 (OpenGL ES 3.0 Chromium)) - Compatibility - Using Device: WebKit - WebKit WebGL
[log] Build configuration: Emscripten 4.0.20, single-threaded, no GDExtension support.
[warning] [.WebGL-0x10c000ee000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
