record,slot,skill,skill_class,chance_pct,delay_s,timeout_s,range_band,skill_cooldown_s,skill_active_duration_s,skill_charge_duration_s,instant_cast,allows_warmup,warmup_effect,wave_time_s,wave_distance,camera_shake_dur_s,time_between_attacks_ms,target_interval_s,distance_profile,anim_binding_grade,special_anim_ref,fallback_anm,fallback_anm_dur_s,special_anm,special_anm_frames,special_anm_dur_s,projectile,projectile_velocity,projectile_distance,projectile_launch_angle,anm_frames,anm_dur_s,hit_frames,n_hits,windup_s,windup_frac,recovery_s,intra_clip_hit_gap_s,allow_interrupt_frame,root_lock_s,root_lock_frac,root_lock_grade,swipe_on_frames,swipe_off_frames,active_window_s,ps_window_s,fx_first_frame,fx_first_onset_s,fx_entities,n_events
records/creatures/enemies/aetherialbloater_b01_summon.dbr,special2,records/skills/nonplayerskillsgdx1/path/aetherialbloater_barf.dbr,Skill_AttackWave,100.0,7.0,4.0,ShortRange,3.0,,,,,,0.5,5.0,2.0,,,Melee,DIRECT-REF,Vomit,,,aetherialbloater_vomit_a01.anm,51,1.7,,,,,51,1.7,18,1,0.6,0.3529,1.1,,,1.7,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),9,,,,15,0.5,AetherialBloater_BarfSprayFX.dbr,4
records/creatures/enemies/aetherialbloater_b01_summon.dbr,special3,records/skills/nonplayerskillsgdx1/attackcharge/aetherialbloater_vilecharge.dbr,Skill_AttackWeaponCharge,80.0,7.0,0.0,LongRange,,,,,True,records/fx/skillclass01/blitz1_warmuploop_fx01.dbr,,,0.25,,,Melee,REF-UNSATISFIED-BY-TABLE,Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialbloater_c01.dbr,basic,records/skills/nonplayerskillsgdx1/attackmelee/aetherialbloater_bite.dbr,Skill_WeaponPool_ChargedFinale,,,,,,,2.5,,,,,,,,,Melee,DIRECT-REF,Bite,,,aetherialbloater_bite_a01.anm,31,1.0333,,,,,31,1.0333,14,1,0.4667,0.4516,0.5667,,,1.0333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),9,,,,,,,2
records/creatures/enemies/aetherialbloater_c01.dbr,special1,records/skills/nonplayerskillsgdx1/path/aetherialbloater_violentbarf.dbr,Skill_AttackProjectileBurst,100.0,7.0,3.0,MediumRange,,,,,,,,,,,,Moderate,DIRECT-REF,VomitBarrage,,,aetherialbloater_vomittriple_a01.anm,51,1.7,records/fx/skillsothergdx1/projectile/aetherialbloater_gorechunk_projectile.dbr,20.0,20.0,28.0,51,1.7,15|20|27,3,0.5,0.2941,0.8,0.2,,1.7,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),9,,,,10,0.3333,Poison_cast_FX.dbr,6
records/creatures/enemies/aetherialbloater_c01.dbr,initial,records/skills/nonplayerskillsgdx1/buffoffensive/aetherialbloater_chokingpresence.dbr,Skill_BuffRadiusToggled,,,,,,,,True,,,,,,,,,NO-REF,,aetherialbloater_roar_a01.anm,1.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialbloater_c01_summon.dbr,basic,records/skills/nonplayerskillsgdx1/attackmelee/aetherialbloater_bite.dbr,Skill_WeaponPool_ChargedFinale,,,,,,,2.5,,,,,,,,,Melee,DIRECT-REF,Bite,,,aetherialbloater_bite_a01.anm,31,1.0333,,,,,31,1.0333,14,1,0.4667,0.4516,0.5667,,,1.0333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),9,,,,,,,2
records/creatures/enemies/aetherialbloater_c01_summon.dbr,special1,records/skills/nonplayerskillsgdx1/path/aetherialbloater_violentbarf.dbr,Skill_AttackProjectileBurst,100.0,7.0,3.0,MediumRange,,,,,,,,,,,,Moderate,DIRECT-REF,VomitBarrage,,,aetherialbloater_vomittriple_a01.anm,51,1.7,records/fx/skillsothergdx1/projectile/aetherialbloater_gorechunk_projectile.dbr,20.0,20.0,28.0,51,1.7,15|20|27,3,0.5,0.2941,0.8,0.2,,1.7,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),9,,,,10,0.3333,Poison_cast_FX.dbr,6
records/creatures/enemies/aetherialbloater_c01_summon.dbr,initial,records/skills/nonplayerskillsgdx1/buffoffensive/aetherialbloater_chokingpresence.dbr,Skill_BuffRadiusToggled,,,,,,,,True,,,,,,,,,NO-REF,,aetherialbloater_roar_a01.anm,1.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialcolossus_c02_summon.dbr,special1,records/skills/nonplayerskillsgdx1/attackcharge/aetherialcolossus_stormcharge.dbr,Skill_AttackWeaponCharge,100.0,6.0,0.0,LongRange,,,,,True,records/fx/skillclass01/blitz1_warmuploop_fx01.dbr,,,0.25,,,Melee,DIRECT-REF,Charge,,,aetherialcolossus_charged_end_a01.anm,41,1.3667,,,,,41,1.3667,2,1,0.0667,0.0488,1.3,,,1.3667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),1,,,,,,,3
records/creatures/enemies/aetherialcolossus_c02_summon.dbr,special2,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialcolossus_stormburst.dbr,Skill_AttackProjectileBurst,100.0,7.0,2.0,MediumRange,,,,,,,,,,,,Long,DIRECT-REF,CannonShot,,,aetherialcolossus_cannonshot_a01.anm,38,1.2667,records/fx/skillsother/projectile/lightningorbburst_fxprojectile.dbr,16.0,20.0,,38,1.2667,11,1,0.3667,0.2895,0.9,,,1.2667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),1,,,,1,0.0333,ZombieMutant_AetherSmash_Trail_FX01.dbr,3
records/creatures/enemies/aetherialcolossus_c02_summon.dbr,special3,records/skills/nonplayerskillsgdx1/attackprojectilering/aetherialcolossus_stormnova.dbr,Skill_AttackProjectileRing,100.0,6.0,0.0,ShortRange,,,,,,,,,,,,Long,REF-UNSATISFIED-BY-TABLE,Nova,aetherialcolossus_attack_a01.anm,2.1667,,,,records/fx/skillsothergdx1/projectile/lightningorb_burst_projectilefx01.dbr,16.0,20.0,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialcolossus_c02_summon.dbr,dying,records/skills/nonplayerskillsgdx1/aoe/aetherialcolossus_stormexplosion.dbr,Skill_AttackProjectileAreaEffect,,,,,,6.0,,,,,,,,,,Short,NO-REF,,aetherialcolossus_attack_a01.anm,2.1667,,,,records/fx/skillsother/projectile_aoe/fx_lightningstorm_projectile01.dbr,,20.0,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialcorruption_a01.dbr,basic,records/skills/nonplayerskillsgdx1/attackmelee/aetherialcorruption_aetherslam.dbr,Skill_WeaponPool_ChargedFinale,,,,,,,2.5,,,,,,,,,Melee,DIRECT-REF,Slam,,,aetherialcorruption_attack_a01.anm,46,1.5333,,,,,46,1.5333,16,1,0.5333,0.3478,1.0,,,1.5333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),14,,,,1,0.0333,ZombieMutant_AetherSmash_Impact_FX01.dbr|ZombieMutant_AetherSmash_Trail_FX01.dbr,5
records/creatures/enemies/aetherialcorruption_a01_summon.dbr,basic,records/skills/nonplayerskillsgdx1/attackmelee/aetherialcorruption_aetherslam.dbr,Skill_WeaponPool_ChargedFinale,,,,,,,2.5,,,,,,,,,Melee,DIRECT-REF,Slam,,,aetherialcorruption_attack_a01.anm,46,1.5333,,,,,46,1.5333,16,1,0.5333,0.3478,1.0,,,1.5333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),14,,,,1,0.0333,ZombieMutant_AetherSmash_Impact_FX01.dbr|ZombieMutant_AetherSmash_Trail_FX01.dbr,5
records/creatures/enemies/aetherialcorruption_b01.dbr,basic,records/skills/nonplayerskillsgdx1/attackmelee/aetherialcorruption_icepincer.dbr,Skill_WeaponPool_ChargedFinale,,,,,,,2.5,,,,,,,,,Melee,DIRECT-REF,PincerCold,,,aetherialcorruption_attack_c01_cold.anm,46,1.5333,,,,,46,1.5333,16|17,2,0.5333,0.3478,0.9667,0.0333,,1.5333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),13|14,,,,1,0.0333,Ice_cast_FX.dbr,6
records/creatures/enemies/aetherialcorruption_b01.dbr,special1,records/skills/nonplayerskillsgdx1/buffattackradius/aetherialcorruption_chillwind.dbr,Skill_BuffAttackRadiusDuration,100.0,10.0,2.0,ShortRange,,6.0,,,,,,,,,,Short,NO-REF,,aetherialcorruption_attack_d01.anm,1.6333,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialcorruption_b01_summon.dbr,basic,records/skills/nonplayerskillsgdx1/attackmelee/aetherialcorruption_icepincer.dbr,Skill_WeaponPool_ChargedFinale,,,,,,,2.5,,,,,,,,,Melee,DIRECT-REF,PincerCold,,,aetherialcorruption_attack_c01_cold.anm,46,1.5333,,,,,46,1.5333,16|17,2,0.5333,0.3478,0.9667,0.0333,,1.5333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),13|14,,,,1,0.0333,Ice_cast_FX.dbr,6
records/creatures/enemies/aetherialcorruption_b01_summon.dbr,special1,records/skills/nonplayerskillsgdx1/buffattackradius/aetherialcorruption_chillwind.dbr,Skill_BuffAttackRadiusDuration,100.0,10.0,2.0,ShortRange,,6.0,,,,,,,,,,Short,NO-REF,,aetherialcorruption_attack_d01.anm,1.6333,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialcorruption_b02.dbr,basic,records/skills/nonplayerskillsgdx1/attackmelee/aetherialcorruption_lightningpincer.dbr,Skill_WeaponPool_ChargedFinale,,,,,,,2.5,,,,,,,,,Melee,DIRECT-REF,PincerLightning,,,aetherialcorruption_attack_c01_lightning.anm,46,1.5333,,,,,46,1.5333,16|17,2,0.5333,0.3478,0.9667,0.0333,,1.5333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),13|14,,,,1,0.0333,LightningOrb_cast_FX.dbr,6
records/creatures/enemies/aetherialcorruption_b02.dbr,initial,records/skills/nonplayerskillsgdx1/buff/aetherialcorruption_stormskin.dbr,Skill_BuffSelfToggled,,,,,,,,True,,,,,,,,Short,NO-REF,,aetherialcorruption_attack_d01.anm,1.6333,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialcorruption_b02.dbr,dying,records/skills/nonplayerskillsgdx1/attackradius/aetherialcorruption_detonate_lightning.dbr,Skill_AttackRadius,,,,,,,,,,,,,0.0,,,Melee,NO-REF,,aetherialcorruption_attack_d01.anm,1.6333,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialcorruption_b02_summon.dbr,basic,records/skills/nonplayerskillsgdx1/attackmelee/aetherialcorruption_lightningpincer.dbr,Skill_WeaponPool_ChargedFinale,,,,,,,2.5,,,,,,,,,Melee,DIRECT-REF,PincerLightning,,,aetherialcorruption_attack_c01_lightning.anm,46,1.5333,,,,,46,1.5333,16|17,2,0.5333,0.3478,0.9667,0.0333,,1.5333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),13|14,,,,1,0.0333,LightningOrb_cast_FX.dbr,6
records/creatures/enemies/aetherialcorruption_b02_summon.dbr,initial,records/skills/nonplayerskillsgdx1/buff/aetherialcorruption_stormskin.dbr,Skill_BuffSelfToggled,,,,,,,,True,,,,,,,,Short,NO-REF,,aetherialcorruption_attack_d01.anm,1.6333,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialcorruption_b02_summon.dbr,dying,records/skills/nonplayerskillsgdx1/attackradius/aetherialcorruption_detonate_lightning.dbr,Skill_AttackRadius,,,,,,,,,,,,,0.0,,,Melee,NO-REF,,aetherialcorruption_attack_d01.anm,1.6333,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialcorruption_b03.dbr,basic,records/skills/nonplayerskillsgdx1/attackmelee/aetherialcorruption_firepincer.dbr,Skill_WeaponPool_ChargedFinale,,,,,,,2.5,,,,,,,,,Melee,DIRECT-REF,PincerFire,,,aetherialcorruption_attack_c01_fire.anm,46,1.5333,,,,,46,1.5333,16|17,2,0.5333,0.3478,0.9667,0.0333,,1.5333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),13|14,,,,1,0.0333,Fire_cast_FX.dbr,6
records/creatures/enemies/aetherialcorruption_b03.dbr,initial,records/skills/nonplayerskillsgdx1/buff/aetherialcorruption_flameskin.dbr,Skill_BuffSelfToggled,,,,,,,,True,,,,,,,,Short,NO-REF,,aetherialcorruption_attack_d01.anm,1.6333,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialcorruption_b03_summon.dbr,basic,records/skills/nonplayerskillsgdx1/attackmelee/aetherialcorruption_firepincer.dbr,Skill_WeaponPool_ChargedFinale,,,,,,,2.5,,,,,,,,,Melee,DIRECT-REF,PincerFire,,,aetherialcorruption_attack_c01_fire.anm,46,1.5333,,,,,46,1.5333,16|17,2,0.5333,0.3478,0.9667,0.0333,,1.5333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),13|14,,,,1,0.0333,Fire_cast_FX.dbr,6
records/creatures/enemies/aetherialcorruption_b03_summon.dbr,initial,records/skills/nonplayerskillsgdx1/buff/aetherialcorruption_flameskin.dbr,Skill_BuffSelfToggled,,,,,,,,True,,,,,,,,Short,NO-REF,,aetherialcorruption_attack_d01.anm,1.6333,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialcorruption_c01.dbr,basic,records/skills/nonplayerskillsgdx1/attackmelee/aetherialcorruption_poisonpincer.dbr,Skill_WeaponPool_ChargedFinale,,,,,,,2.5,,,,,,,,,Melee,DIRECT-REF,PincerPoison,,,aetherialcorruption_attack_c01_poison.anm,46,1.5333,,,,,46,1.5333,16|17,2,0.5333,0.3478,0.9667,0.0333,,1.5333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),13|14,,,,1,0.0333,Poison_cast_FX.dbr,6
records/creatures/enemies/aetherialcorruption_c01.dbr,special1,records/skills/nonplayerskillsgdx1/attackprojectilering/aetherialcorruption_poisonprojectilenova.dbr,Skill_AttackProjectileRing,100.0,8.0,2.0,MediumRange,2.0,,,,,,,,,,,Short,DIRECT-REF,RoarDouble,,,aetherialcorruption_roardouble_a01.anm,71,2.3667,records/fx/skillsother/projectile/waterpoisonorb_fxprojectile.dbr,14.0,18.0,,71,2.3667,26|42,2,0.8667,0.3662,0.9667,0.5333,,2.3667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),10,,,,1,0.0333,Aether_cast_FX.dbr,6
records/creatures/enemies/aetherialcorruption_c01.dbr,initial,records/skills/nonplayerskillsgdx1/buffattackradius/aetherialcorruption_rotskin.dbr,Skill_BuffAttackRadiusToggled,,,,,,,,False,,,,,,,,Short,NO-REF,,aetherialcorruption_attack_d01.anm,1.6333,,,,,,,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialfleshshaper_a01.dbr,basic,records/skills/nonplayerskillsgdx1/path/aetherialfleshshaper_aetherfirewave.dbr,Skill_AttackWave,,,,,,,,,,,1.0,15.0,0.30000001192092896,,,Moderate,DIRECT-REF,Roar,,,aetherialfleshshaper_roar_a01.anm,51,1.7,,,,,51,1.7,22,1,0.7333,0.4314,0.9667,,,1.7,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),12,,,,,,,3
records/creatures/enemies/aetherialfleshshaper_a01.dbr,special1,records/skills/nonplayerskillsgdx1/summoning/aetherialfleshshaper_summoncorruption.dbr,Skill_SpawnPet,100.0,8.0,0.0,AnyRange,,,,True,,,,,,,,Short,DIRECT-REF,Summon,,,aetherialfleshshaper_summon_a01.anm,56,1.8667,,,,,56,1.8667,22,1,0.7333,0.3929,1.1333,,,1.8667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),18,,,,,,,3
records/creatures/enemies/aetherialfleshshaper_a01.dbr,dying,records/skills/nonplayerskillsgdx1/aoe/aetherialfleshshaper_aetherfire.dbr,Skill_AttackProjectileAreaEffect,,,,,,4.0,,,,,,,,,,Short,NO-REF,,aetherialfleshshaper_attack_a02.anm,1.3667,,,,records/fx/skillsothergdx1/aoe/aetherfire_projectile01.dbr,,19.0,,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialfleshshaper_b01.dbr,basic,records/skills/nonplayerskillsgdx1/attackprojectile/aetherialfleshshaper_aetherburst.dbr,Skill_AttackProjectileBurst,,,,,,,,,,,,,,,,Long,NO-REF,,aetherialfleshshaper_attack_a02.anm,1.3667,,,,records/fx/skillsother/itemskills/aethermissile_fxprojectile.dbr,18.0,18.0,35.0,,,,,,,,,,,,,,,,,,,,
records/creatures/enemies/aetherialfleshshaper_b01.dbr,special1,records/skills/nonplayerskillsgdx1/summoning/aetherialfleshshaper_summoncorruption.dbr,Skill_SpawnPet,100.0,8.0,0.0,AnyRange,,,,True,,,,,,,,Short,DIRECT-REF,Summon,,,aetherialfleshshaper_summon_a01.anm,56,1.8667,,,,,56,1.8667,22,1,0.7333,0.3929,1.1333,,,1.8667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),18,,,,,,,3
