record,status,arz_owners,anim_table,controller,monster_classification,character_attack_speed,character_attack_speed_tag,character_spellcast_speed,character_run_speed,walk_speed,run_speed_jitter,min_rotation_speed,max_rotation_speed,num_attack_slots,waiting_anim_delay_ms,death_anim_blend_time,basic_attack_anims,basic_attack_anim_weights,basic_attack_anim_speeds,basic_attack_anim_durs_s,basic_attack_dur_s,basic_swing_period_s,anim_classes_alt,ctrl_max_swing_pause,ctrl_reposition_chance,ctrl_dodge_chance,ctrl_dodge_delay,ctrl_pursuit_time_ms,ctrl_view_distance,ctrl_inner_view_distance,ctrl_flee_behavior,ctrl_enemy_too_close,basic_anm_frames,basic_anm_dur_s,basic_hit_frames,basic_n_hits,basic_windup_s,basic_windup_frac,basic_recovery_s,basic_intra_clip_hit_gap_s,basic_allow_interrupt_frame,basic_root_lock_s,basic_root_lock_frac,basic_root_lock_grade,basic_swipe_on_frames,basic_swipe_off_frames,basic_active_window_s,basic_ps_window_s,basic_fx_first_frame,basic_fx_first_onset_s,basic_fx_entities,basic_n_events
records/creatures/enemies/aetherialcorruption_a01_summon.dbr,OK,gdx1|sm1,records/creatures/enemies/anm/anm_aetherialcorruption.dbr,records/controllers/enemy/controller_aetherialcorruption.dbr,Common,1.149999976158142,CharacterAttackSpeedAverage,1.0,1.149999976158142,0.800000011920929,15.0,4.0,9.0,4,5000,250.0,aetherialcorruption_attack_b01.anm|aetherialcorruption_attack_d01.anm|aetherialcorruption_attack_e01.anm,100.0|100.0|100.0,1.25|1.25|1.25,1.2267|1.3067|1.2533,1.2622,1.0976,sHanded|dHanded,1.100000023841858,0,0,0,10000,80.0,12.0,NeverFlee,0.0,46,1.5333,17,1,0.5667,0.3696,0.9667,,,1.5333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),15,,,,,,,2
records/creatures/enemies/aetherialcorruption_b01.dbr,OK,gdx1|sm1,records/creatures/enemies/anm/anm_aetherialcorruption.dbr,records/controllers/enemy/controller_aetherialcorruption.dbr,Champion,1.149999976158142,CharacterAttackSpeedAverage,1.0,1.149999976158142,0.800000011920929,15.0,4.0,9.0,4,5000,250.0,aetherialcorruption_attack_b01.anm|aetherialcorruption_attack_d01.anm|aetherialcorruption_attack_e01.anm,100.0|100.0|100.0,1.25|1.25|1.25,1.2267|1.3067|1.2533,1.2622,1.0976,sHanded|dHanded,1.100000023841858,0,0,0,10000,80.0,12.0,NeverFlee,0.0,46,1.5333,17,1,0.5667,0.3696,0.9667,,,1.5333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),15,,,,,,,2
records/creatures/enemies/aetherialcorruption_b01_summon.dbr,OK,gdx1|sm1,records/creatures/enemies/anm/anm_aetherialcorruption.dbr,records/controllers/enemy/controller_aetherialcorruption.dbr,Champion,1.149999976158142,CharacterAttackSpeedAverage,1.0,1.149999976158142,0.800000011920929,15.0,4.0,9.0,4,5000,250.0,aetherialcorruption_attack_b01.anm|aetherialcorruption_attack_d01.anm|aetherialcorruption_attack_e01.anm,100.0|100.0|100.0,1.25|1.25|1.25,1.2267|1.3067|1.2533,1.2622,1.0976,sHanded|dHanded,1.100000023841858,0,0,0,10000,80.0,12.0,NeverFlee,0.0,46,1.5333,17,1,0.5667,0.3696,0.9667,,,1.5333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),15,,,,,,,2
records/creatures/enemies/aetherialcorruption_b02.dbr,OK,gdx1|sm1,records/creatures/enemies/anm/anm_aetherialcorruption.dbr,records/controllers/enemy/controller_aetherialcorruption.dbr,Champion,1.149999976158142,CharacterAttackSpeedAverage,1.0,1.149999976158142,0.800000011920929,15.0,4.0,9.0,4,5000,250.0,aetherialcorruption_attack_b01.anm|aetherialcorruption_attack_d01.anm|aetherialcorruption_attack_e01.anm,100.0|100.0|100.0,1.25|1.25|1.25,1.2267|1.3067|1.2533,1.2622,1.0976,sHanded|dHanded,1.100000023841858,0,0,0,10000,80.0,12.0,NeverFlee,0.0,46,1.5333,17,1,0.5667,0.3696,0.9667,,,1.5333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),15,,,,,,,2
records/creatures/enemies/aetherialcorruption_b02_summon.dbr,OK,gdx1|sm1,records/creatures/enemies/anm/anm_aetherialcorruption.dbr,records/controllers/enemy/controller_aetherialcorruption.dbr,Champion,1.149999976158142,CharacterAttackSpeedAverage,1.0,1.149999976158142,0.800000011920929,15.0,4.0,9.0,4,5000,250.0,aetherialcorruption_attack_b01.anm|aetherialcorruption_attack_d01.anm|aetherialcorruption_attack_e01.anm,100.0|100.0|100.0,1.25|1.25|1.25,1.2267|1.3067|1.2533,1.2622,1.0976,sHanded|dHanded,1.100000023841858,0,0,0,10000,80.0,12.0,NeverFlee,0.0,46,1.5333,17,1,0.5667,0.3696,0.9667,,,1.5333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),15,,,,,,,2
records/creatures/enemies/aetherialcorruption_b03.dbr,OK,gdx1|sm1,records/creatures/enemies/anm/anm_aetherialcorruption.dbr,records/controllers/enemy/controller_aetherialcorruption.dbr,Champion,1.149999976158142,CharacterAttackSpeedAverage,1.0,1.149999976158142,0.800000011920929,15.0,4.0,9.0,4,5000,250.0,aetherialcorruption_attack_b01.anm|aetherialcorruption_attack_d01.anm|aetherialcorruption_attack_e01.anm,100.0|100.0|100.0,1.25|1.25|1.25,1.2267|1.3067|1.2533,1.2622,1.0976,sHanded|dHanded,1.100000023841858,0,0,0,10000,80.0,12.0,NeverFlee,0.0,46,1.5333,17,1,0.5667,0.3696,0.9667,,,1.5333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),15,,,,,,,2
records/creatures/enemies/aetherialcorruption_b03_summon.dbr,OK,gdx1|sm1,records/creatures/enemies/anm/anm_aetherialcorruption.dbr,records/controllers/enemy/controller_aetherialcorruption.dbr,Champion,1.149999976158142,CharacterAttackSpeedAverage,1.0,1.149999976158142,0.800000011920929,15.0,4.0,9.0,4,5000,250.0,aetherialcorruption_attack_b01.anm|aetherialcorruption_attack_d01.anm|aetherialcorruption_attack_e01.anm,100.0|100.0|100.0,1.25|1.25|1.25,1.2267|1.3067|1.2533,1.2622,1.0976,sHanded|dHanded,1.100000023841858,0,0,0,10000,80.0,12.0,NeverFlee,0.0,46,1.5333,17,1,0.5667,0.3696,0.9667,,,1.5333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),15,,,,,,,2
records/creatures/enemies/aetherialcorruption_c01.dbr,OK,gdx1|sm1,records/creatures/enemies/anm/anm_aetherialcorruption.dbr,records/controllers/enemy/controller_aetherialcorruption.dbr,Champion,1.149999976158142,CharacterAttackSpeedAverage,1.0,1.149999976158142,0.800000011920929,15.0,4.0,9.0,4,5000,250.0,aetherialcorruption_attack_b01.anm|aetherialcorruption_attack_d01.anm|aetherialcorruption_attack_e01.anm,100.0|100.0|100.0,1.25|1.25|1.25,1.2267|1.3067|1.2533,1.2622,1.0976,sHanded|dHanded,1.100000023841858,0,0,0,10000,80.0,12.0,NeverFlee,0.0,46,1.5333,17,1,0.5667,0.3696,0.9667,,,1.5333,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),15,,,,,,,2
records/creatures/enemies/aetherialfleshshaper_a01.dbr,OK,gdx1|sm1,records/creatures/enemies/anm/anm_aetherialfleshshaper.dbr,records/controllers/enemy/controller_aetherialfleshshaper.dbr,Champion,1.0,CharacterAttackSpeedAverage,1.0,1.0,1.0,,6.0,10.0,4,5000,250.0,aetherialfleshshaper_attack_a01.anm|aetherialfleshshaper_attack_a02.anm,100.0|100.0,1.25|1.25,1.1200|1.0933,1.1067,1.1067,,1.2999999523162842,75,70,4000,10000,80.0,12.0,NeverFlee,0.0,42,1.4,16,1,0.5333,0.381,0.8667,,,1.4,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),12,,,,,,,2
records/creatures/enemies/aetherialfleshshaper_b01.dbr,OK,gdx1|sm1,records/creatures/enemies/anm/anm_aetherialfleshshaper.dbr,records/controllers/enemy/controller_aetherialfleshshaper.dbr,Champion,1.0,CharacterAttackSpeedAverage,1.0,1.0,1.0,,6.0,10.0,4,5000,250.0,aetherialfleshshaper_attack_a01.anm|aetherialfleshshaper_attack_a02.anm,100.0|100.0,1.25|1.25,1.1200|1.0933,1.1067,1.1067,,1.2999999523162842,75,70,4000,10000,80.0,12.0,NeverFlee,0.0,42,1.4,16,1,0.5333,0.381,0.8667,,,1.4,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),12,,,,,,,2
records/creatures/enemies/aetherialfleshshaper_c01.dbr,OK,gdx1|sm1,records/creatures/enemies/anm/anm_aetherialfleshshaper.dbr,records/controllers/enemy/controller_aetherialfleshshaper.dbr,Champion,1.0,CharacterAttackSpeedAverage,1.0,1.0,1.0,,6.0,10.0,4,5000,250.0,aetherialfleshshaper_attack_a01.anm|aetherialfleshshaper_attack_a02.anm,100.0|100.0,1.25|1.25,1.1200|1.0933,1.1067,1.1067,,1.2999999523162842,75,70,4000,10000,80.0,12.0,NeverFlee,0.0,42,1.4,16,1,0.5333,0.381,0.8667,,,1.4,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),12,,,,,,,2
records/creatures/enemies/aetherialimp_a00_summon.dbr,OK,gdx1|sm1,records/creatures/enemies/anm/anm_aetherialimp.dbr,records/controllers/enemy/controller_aetherialimp.dbr,Common,1.2000000476837158,CharacterAttackSpeedAverage,1.2000000476837158,1.2000000476837158,1.0,15.0,4.0,8.0,4,5000,250.0,aetherialimp_attack_a01.anm|aetherialimp_attack_b01.anm,100.0|100.0,1.25|1.25,0.8000|0.7200,0.76,0.6333,,0.5,0,0,0,10000,80.0,12.0,NeverFlee,0.0,30,1.0,10,1,0.3333,0.3333,0.6667,,,1.0,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),6,,,,,,,2
records/creatures/enemies/aetherialimp_a01.dbr,OK,gdx1|sm1,records/creatures/enemies/anm/anm_aetherialimp.dbr,records/controllers/enemy/controller_aetherialimp.dbr,Common,1.0,CharacterAttackSpeedAverage,1.0,1.0,1.0,15.0,4.0,8.0,4,5000,250.0,aetherialimp_attack_a01.anm|aetherialimp_attack_b01.anm,100.0|100.0,1.25|1.25,0.8000|0.7200,0.76,0.76,,0.5,0,0,0,10000,80.0,12.0,NeverFlee,0.0,30,1.0,10,1,0.3333,0.3333,0.6667,,,1.0,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),6,,,,,,,2
records/creatures/enemies/aetherialimp_b01.dbr,OK,gdx1|sm1,records/creatures/enemies/anm/anm_aetherialimp.dbr,records/controllers/enemy/controller_aetherialimp.dbr,Champion,1.0,CharacterAttackSpeedAverage,1.0,1.0,1.0,15.0,4.0,8.0,4,5000,250.0,aetherialimp_attack_a01.anm|aetherialimp_attack_b01.anm,100.0|100.0,1.25|1.25,0.8000|0.7200,0.76,0.76,,0.5,0,0,0,10000,80.0,12.0,NeverFlee,0.0,30,1.0,10,1,0.3333,0.3333,0.6667,,,1.0,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),6,,,,,,,2
records/creatures/enemies/aetherialphantom_a01.dbr,OK,base|sm_mod,records/creatures/enemies/anm/anm_aetherialwisp.dbr,records/controllers/enemy/controller_aetherialphantom_synergy01.dbr,Champion,1.0,CharacterAttackSpeedAverage,1.0,1.2999999523162842,1.0,0.0,4.0,8.0,4,5000,250.0,aetherialwisp_attack01.anm|aetherialwisp_spellattack01.anm,100.0|100.0,1.25|1.25,0.6933|0.6667,0.68,0.68,,1.5,45,80,3000,10000,80.0,12.0,NeverFlee,0.0,26,0.8667,12,1,0.4,0.4615,0.4667,,,0.8667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),,,,,,,,2
records/creatures/enemies/aetherialwisp_a01.dbr,OK,base|sm_mod,records/creatures/enemies/anm/anm_aetherialwisp.dbr,records/controllers/enemy/controller_aetherialwisp.dbr,Champion,1.0,CharacterAttackSpeedAverage,1.0,1.0,1.0,0.0,4.0,8.0,4,5000,250.0,aetherialwisp_attack01.anm|aetherialwisp_spellattack01.anm,100.0|100.0,1.25|1.25,0.6933|0.6667,0.68,0.68,,1.899999976158142,0,80,3000,10000,80.0,12.0,NeverFlee,0.0,26,0.8667,12,1,0.4,0.4615,0.4667,,,0.8667,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),,,,,,,,2
records/creatures/enemies/boar_a01.dbr,OK,base|sm_mod,records/creatures/enemies/anm/anm_boar.dbr,records/controllers/enemy/controller_wasp.dbr,Common,1.0,CharacterAttackSpeedAverage,1.0,0.8999999761581421,1.2000000476837158,10.0,4.0,8.0,4,5000,250.0,boar_attack_a01.anm|boar_attack_b01.anm,100.0|100.0,1.0|1.0,1.2000|1.2333,1.2167,1.2167,,0.6000000238418579,0,75,0,10000,80.0,12.0,NeverFlee,0.0,36,1.2,19,1,0.6333,0.5278,0.5667,,,1.2,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),15,,,,,,,2
records/creatures/enemies/boar_a02.dbr,OK,base|sm_mod,records/creatures/enemies/anm/anm_boar.dbr,records/controllers/enemy/controller_wasp.dbr,Common,1.0,CharacterAttackSpeedAverage,1.0,0.8500000238418579,1.2000000476837158,10.0,4.0,8.0,4,5000,250.0,boar_attack_a01.anm|boar_attack_b01.anm,100.0|100.0,1.0|1.0,1.2000|1.2333,1.2167,1.2167,,0.6000000238418579,0,75,0,10000,80.0,12.0,NeverFlee,0.0,36,1.2,19,1,0.6333,0.5278,0.5667,,,1.2,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),15,,,,,,,2
records/creatures/enemies/boar_a03.dbr,OK,base|sm_mod,records/creatures/enemies/anm/anm_boar.dbr,records/controllers/enemy/controller_wasp.dbr,Common,1.0,CharacterAttackSpeedAverage,1.0,0.8999999761581421,1.2000000476837158,10.0,4.0,8.0,4,5000,250.0,boar_attack_a01.anm|boar_attack_b01.anm,100.0|100.0,1.0|1.0,1.2000|1.2333,1.2167,1.2167,,0.6000000238418579,0,75,0,10000,80.0,12.0,NeverFlee,0.0,36,1.2,19,1,0.6333,0.5278,0.5667,,,1.2,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),15,,,,,,,2
records/creatures/enemies/boar_a04.dbr,OK,base|sm_mod,records/creatures/enemies/anm/anm_boar.dbr,records/controllers/enemy/controller_wasp.dbr,Common,1.0,CharacterAttackSpeedAverage,1.0,0.8500000238418579,1.2000000476837158,10.0,4.0,8.0,4,5000,250.0,boar_attack_a01.anm|boar_attack_b01.anm,100.0|100.0,1.0|1.0,1.2000|1.2333,1.2167,1.2167,,0.6000000238418579,0,75,0,10000,80.0,12.0,NeverFlee,0.0,36,1.2,19,1,0.6333,0.5278,0.5667,,,1.2,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),15,,,,,,,2
records/creatures/enemies/boar_b01.dbr,OK,base|sm_mod,records/creatures/enemies/anm/anm_boar.dbr,records/controllers/enemy/controller_wasp.dbr,Champion,1.0,CharacterAttackSpeedAverage,1.0,0.75,1.2000000476837158,10.0,4.0,8.0,4,5000,250.0,boar_attack_a01.anm|boar_attack_b01.anm,100.0|100.0,1.0|1.0,1.2000|1.2333,1.2167,1.2167,,0.6000000238418579,0,75,0,10000,80.0,12.0,NeverFlee,0.0,36,1.2,19,1,0.6333,0.5278,0.5667,,,1.2,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),15,,,,,,,2
records/creatures/enemies/boarfrost_a01.dbr,OK,base|sm_mod,records/creatures/enemies/anm/anm_boar.dbr,records/controllers/enemy/controller_wasp.dbr,Common,1.0,CharacterAttackSpeedAverage,1.0,0.8999999761581421,1.2000000476837158,10.0,4.0,8.0,4,5000,250.0,boar_attack_a01.anm|boar_attack_b01.anm,100.0|100.0,1.0|1.0,1.2000|1.2333,1.2167,1.2167,,0.6000000238418579,0,75,0,10000,80.0,12.0,NeverFlee,0.0,36,1.2,19,1,0.6333,0.5278,0.5667,,,1.2,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),15,,,,,,,2
records/creatures/enemies/boarfrost_a02.dbr,OK,base|sm_mod,records/creatures/enemies/anm/anm_boar.dbr,records/controllers/enemy/controller_wasp.dbr,Common,1.0,CharacterAttackSpeedAverage,1.0,0.8500000238418579,1.2000000476837158,10.0,4.0,8.0,4,5000,250.0,boar_attack_a01.anm|boar_attack_b01.anm,100.0|100.0,1.0|1.0,1.2000|1.2333,1.2167,1.2167,,0.6000000238418579,0,75,0,10000,80.0,12.0,NeverFlee,0.0,36,1.2,19,1,0.6333,0.5278,0.5667,,,1.2,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),15,,,,,,,2
records/creatures/enemies/boarfrost_b01.dbr,OK,base|sm_mod,records/creatures/enemies/anm/anm_boar.dbr,records/controllers/enemy/controller_wasp.dbr,Champion,1.0,CharacterAttackSpeedAverage,1.0,0.800000011920929,1.2000000476837158,10.0,4.0,8.0,4,5000,250.0,boar_attack_a01.anm|boar_attack_b01.anm,100.0|100.0,1.0|1.0,1.2000|1.2333,1.2167,1.2167,,0.6000000238418579,0,75,0,10000,80.0,12.0,NeverFlee,0.0,36,1.2,19,1,0.6333,0.5278,0.5667,,,1.2,1.0,MEASURED-NO-INTERRUPT-POINT(full-clip lock),15,,,,,,,2
