arena_archive,arena_map,emitter,x,z,arena_centre_x,arena_centre_z,arena_centre_basis,radius_m,bearing_deg,oclock,patrol_r_min,patrol_r_mean,patrol_r_max,n_patrol_points
sm1,survivalworld_a.map,p02,90.603,32.898,81.26,64.361,centroid of the PatrolPoint_Attack group,32.82,163.46,5.45,5.963,18.202,24.818,11
sm1,survivalworld_a.map,p03,89.385,96.729,81.26,64.361,centroid of the PatrolPoint_Attack group,33.372,14.09,0.47,5.963,18.202,24.818,11
sm1,survivalworld_a.map,p04,112.165,71.508,81.26,64.361,centroid of the PatrolPoint_Attack group,31.72,76.98,2.57,5.963,18.202,24.818,11
sm1,survivalworld_a.map,p05,74.439,66.536,81.26,64.361,centroid of the PatrolPoint_Attack group,7.16,287.69,9.59,5.963,18.202,24.818,11
sm1,survivalworld_a.map,p06,112.475,71.166,81.26,64.361,centroid of the PatrolPoint_Attack group,31.948,77.7,2.59,5.963,18.202,24.818,11
sm1,survivalworld_b.map,p01_tier01,44.104,72.899,71.086,64.705,centroid of the PatrolPoint_Attack group,28.199,286.89,9.56,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p01_tier02,36.845,63.884,71.086,64.705,centroid of the PatrolPoint_Attack group,34.25,268.63,8.95,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p01_tier03,43.4,57.562,71.086,64.705,centroid of the PatrolPoint_Attack group,28.592,255.53,8.52,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p01_tier04,35.3,64.65,71.086,64.705,centroid of the PatrolPoint_Attack group,35.786,269.91,9.0,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p01_tier05,36.065,64.487,71.086,64.705,centroid of the PatrolPoint_Attack group,35.021,269.64,8.99,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p01_tier06,47.102,49.742,71.086,64.705,centroid of the PatrolPoint_Attack group,28.268,238.04,7.93,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p01_tier07,35.978,64.614,71.086,64.705,centroid of the PatrolPoint_Attack group,35.108,269.85,9.0,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p01_tier08,35.588,64.716,71.086,64.705,centroid of the PatrolPoint_Attack group,35.498,270.02,9.0,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p01_tier09,35.835,64.363,71.086,64.705,centroid of the PatrolPoint_Attack group,35.252,269.44,8.98,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p01_tier10,45.283,76.016,71.086,64.705,centroid of the PatrolPoint_Attack group,28.173,293.67,9.79,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p01_tier11,35.98,65.224,71.086,64.705,centroid of the PatrolPoint_Attack group,35.11,270.85,9.03,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p01_tier12,35.747,64.491,71.086,64.705,centroid of the PatrolPoint_Attack group,35.339,269.65,8.99,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p01_tier13,34.749,64.516,71.086,64.705,centroid of the PatrolPoint_Attack group,36.337,269.7,8.99,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p01_tier14,35.872,64.408,71.086,64.705,centroid of the PatrolPoint_Attack group,35.215,269.52,8.98,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p01_tier15,35.854,64.696,71.086,64.705,centroid of the PatrolPoint_Attack group,35.232,269.99,9.0,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p01_tier16,36.172,64.948,71.086,64.705,centroid of the PatrolPoint_Attack group,34.915,270.4,9.01,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p01_tier17,34.978,65.073,71.086,64.705,centroid of the PatrolPoint_Attack group,36.11,270.58,9.02,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p02,66.787,22.276,71.086,64.705,centroid of the PatrolPoint_Attack group,42.647,185.79,6.19,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p03,70.749,99.418,71.086,64.705,centroid of the PatrolPoint_Attack group,34.715,359.44,11.98,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p04,98.591,56.132,71.086,64.705,centroid of the PatrolPoint_Attack group,28.81,107.31,3.58,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p05,69.93,73.607,71.086,64.705,centroid of the PatrolPoint_Attack group,8.977,352.6,11.75,2.801,12.832,18.206,11
sm1,survivalworld_b.map,p06,110.369,72.941,71.086,64.705,centroid of the PatrolPoint_Attack group,40.138,78.16,2.61,2.801,12.832,18.206,11
sm1,survivalworld_c.map,p01_tier01,35.642,64.942,67.809,59.559,centroid of the PatrolPoint_Attack group,32.614,279.5,9.32,2.23,18.697,29.825,11
sm1,survivalworld_c.map,p01_tier02,35.641,64.999,67.809,59.559,centroid of the PatrolPoint_Attack group,32.624,279.6,9.32,2.23,18.697,29.825,11
sm1,survivalworld_c.map,p01_tier03,35.647,64.751,67.809,59.559,centroid of the PatrolPoint_Attack group,32.578,279.17,9.31,2.23,18.697,29.825,11
sm1,survivalworld_c.map,p01_tier04,35.789,64.418,67.809,59.559,centroid of the PatrolPoint_Attack group,32.386,278.63,9.29,2.23,18.697,29.825,11
sm1,survivalworld_c.map,p01_tier05,35.512,64.759,67.809,59.559,centroid of the PatrolPoint_Attack group,32.713,279.15,9.3,2.23,18.697,29.825,11
sm1,survivalworld_c.map,p01_tier06,35.748,65.18,67.809,59.559,centroid of the PatrolPoint_Attack group,32.549,279.94,9.33,2.23,18.697,29.825,11
sm1,survivalworld_c.map,p01_tier07,35.612,65.233,67.809,59.559,centroid of the PatrolPoint_Attack group,32.693,279.99,9.33,2.23,18.697,29.825,11
sm1,survivalworld_c.map,p01_tier08,35.935,64.905,67.809,59.559,centroid of the PatrolPoint_Attack group,32.319,279.52,9.32,2.23,18.697,29.825,11
sm1,survivalworld_c.map,p01_tier09,35.657,64.763,67.809,59.559,centroid of the PatrolPoint_Attack group,32.57,279.19,9.31,2.23,18.697,29.825,11
sm1,survivalworld_c.map,p01_tier10,35.818,65.07,67.809,59.559,centroid of the PatrolPoint_Attack group,32.461,279.77,9.33,2.23,18.697,29.825,11
sm1,survivalworld_c.map,p01_tier11,35.66,64.639,67.809,59.559,centroid of the PatrolPoint_Attack group,32.547,278.98,9.3,2.23,18.697,29.825,11
sm1,survivalworld_c.map,p01_tier12,35.605,64.604,67.809,59.559,centroid of the PatrolPoint_Attack group,32.596,278.9,9.3,2.23,18.697,29.825,11
sm1,survivalworld_c.map,p01_tier13,35.983,64.749,67.809,59.559,centroid of the PatrolPoint_Attack group,32.246,279.26,9.31,2.23,18.697,29.825,11
sm1,survivalworld_c.map,p01_tier14,35.59,65.198,67.809,59.559,centroid of the PatrolPoint_Attack group,32.708,279.93,9.33,2.23,18.697,29.825,11
sm1,survivalworld_c.map,p01_tier15,36.17,65.174,67.809,59.559,centroid of the PatrolPoint_Attack group,32.133,280.06,9.34,2.23,18.697,29.825,11
sm1,survivalworld_c.map,p01_tier16,36.168,65.547,67.809,59.559,centroid of the PatrolPoint_Attack group,32.202,280.72,9.36,2.23,18.697,29.825,11
sm1,survivalworld_c.map,p01_tier17,54.069,66.768,67.809,59.559,centroid of the PatrolPoint_Attack group,15.516,297.69,9.92,2.23,18.697,29.825,11
sm1,survivalworld_c.map,p02,53.448,95.951,67.809,59.559,centroid of the PatrolPoint_Attack group,39.123,338.47,11.28,2.23,18.697,29.825,11
sm1,survivalworld_c.map,p03,99.566,91.521,67.809,59.559,centroid of the PatrolPoint_Attack group,45.056,44.82,1.49,2.23,18.697,29.825,11
sm1,survivalworld_c.map,p04,94.251,31.053,67.809,59.559,centroid of the PatrolPoint_Attack group,38.882,137.15,4.57,2.23,18.697,29.825,11
sm1,survivalworld_c.map,p06,97.121,40.8,67.809,59.559,centroid of the PatrolPoint_Attack group,34.801,122.62,4.09,2.23,18.697,29.825,11
sm1,survivalworld_d.map,p01_tier01,36.672,43.282,33.545,84.391,centroid of the PatrolPoint_Attack group,41.228,175.65,5.86,1.414,18.52,26.64,11
sm1,survivalworld_d.map,p01_tier02,36.669,43.293,33.545,84.391,centroid of the PatrolPoint_Attack group,41.216,175.65,5.86,1.414,18.52,26.64,11
sm1,survivalworld_d.map,p01_tier03,36.558,43.307,33.545,84.391,centroid of the PatrolPoint_Attack group,41.194,175.81,5.86,1.414,18.52,26.64,11
sm1,survivalworld_d.map,p01_tier04,36.689,43.169,33.545,84.391,centroid of the PatrolPoint_Attack group,41.342,175.64,5.85,1.414,18.52,26.64,11
sm1,survivalworld_d.map,p01_tier05,36.849,43.277,33.545,84.391,centroid of the PatrolPoint_Attack group,41.247,175.41,5.85,1.414,18.52,26.64,11
sm1,survivalworld_d.map,p01_tier06,36.35,43.525,33.545,84.391,centroid of the PatrolPoint_Attack group,40.962,176.07,5.87,1.414,18.52,26.64,11
sm1,survivalworld_d.map,p01_tier07,36.288,43.211,33.545,84.391,centroid of the PatrolPoint_Attack group,41.271,176.19,5.87,1.414,18.52,26.64,11
sm1,survivalworld_d.map,p01_tier08,36.644,43.792,33.545,84.391,centroid of the PatrolPoint_Attack group,40.717,175.63,5.85,1.414,18.52,26.64,11
sm1,survivalworld_d.map,p01_tier09,36.624,43.381,33.545,84.391,centroid of the PatrolPoint_Attack group,41.126,175.71,5.86,1.414,18.52,26.64,11
sm1,survivalworld_d.map,p01_tier10,37.03,36.628,33.545,84.391,centroid of the PatrolPoint_Attack group,47.89,175.83,5.86,1.414,18.52,26.64,11
sm1,survivalworld_d.map,p01_tier11,36.697,43.648,33.545,84.391,centroid of the PatrolPoint_Attack group,40.865,175.58,5.85,1.414,18.52,26.64,11
sm1,survivalworld_d.map,p01_tier12,35.084,52.98,33.545,84.391,centroid of the PatrolPoint_Attack group,31.448,177.2,5.91,1.414,18.52,26.64,11
sm1,survivalworld_d.map,p01_tier13,36.419,43.672,33.545,84.391,centroid of the PatrolPoint_Attack group,40.82,175.96,5.87,1.414,18.52,26.64,11
sm1,survivalworld_d.map,p01_tier14,36.519,43.681,33.545,84.391,centroid of the PatrolPoint_Attack group,40.819,175.82,5.86,1.414,18.52,26.64,11
sm1,survivalworld_d.map,p01_tier15,36.62,43.003,33.545,84.391,centroid of the PatrolPoint_Attack group,41.503,175.75,5.86,1.414,18.52,26.64,11
sm1,survivalworld_d.map,p01_tier16,36.92,44.254,33.545,84.391,centroid of the PatrolPoint_Attack group,40.279,175.19,5.84,1.414,18.52,26.64,11
sm1,survivalworld_d.map,p01_tier17,35.983,43.636,33.545,84.391,centroid of the PatrolPoint_Attack group,40.828,176.58,5.89,1.414,18.52,26.64,11
sm1,survivalworld_d.map,p03,65.271,64.94,33.545,84.391,centroid of the PatrolPoint_Attack group,37.214,121.51,4.05,1.414,18.52,26.64,11
sm1,survivalworld_d.map,p04,46.87,113.331,33.545,84.391,centroid of the PatrolPoint_Attack group,31.86,24.72,0.82,1.414,18.52,26.64,11
sm1,survivalworld_d.map,p06,73.491,88.091,33.545,84.391,centroid of the PatrolPoint_Attack group,40.116,84.71,2.82,1.414,18.52,26.64,11
sm1,survivalworld_e.map,p01_tier01,34.426,77.955,70.462,62.855,centroid of the PatrolPoint_Attack group,39.071,292.74,9.76,2.181,15.481,20.81,11
sm1,survivalworld_e.map,p01_tier02,34.556,77.392,70.462,62.855,centroid of the PatrolPoint_Attack group,38.737,292.04,9.73,2.181,15.481,20.81,11
sm1,survivalworld_e.map,p01_tier03,34.604,77.835,70.462,62.855,centroid of the PatrolPoint_Attack group,38.861,292.67,9.76,2.181,15.481,20.81,11
sm1,survivalworld_e.map,p01_tier04,34.25,77.354,70.462,62.855,centroid of the PatrolPoint_Attack group,39.006,291.82,9.73,2.181,15.481,20.81,11
sm1,survivalworld_e.map,p01_tier05,34.073,78.149,70.462,62.855,centroid of the PatrolPoint_Attack group,39.472,292.8,9.76,2.181,15.481,20.81,11
sm1,survivalworld_e.map,p01_tier06,34.448,77.006,70.462,62.855,centroid of the PatrolPoint_Attack group,38.694,291.45,9.72,2.181,15.481,20.81,11
sm1,survivalworld_e.map,p01_tier07,34.396,77.643,70.462,62.855,centroid of the PatrolPoint_Attack group,38.98,292.29,9.74,2.181,15.481,20.81,11
sm1,survivalworld_e.map,p01_tier08,33.695,78.085,70.462,62.855,centroid of the PatrolPoint_Attack group,39.797,292.5,9.75,2.181,15.481,20.81,11
sm1,survivalworld_e.map,p01_tier09,42.927,71.536,70.462,62.855,centroid of the PatrolPoint_Attack group,28.871,287.5,9.58,2.181,15.481,20.81,11
sm1,survivalworld_e.map,p01_tier10,34.669,78.19,70.462,62.855,centroid of the PatrolPoint_Attack group,38.94,293.19,9.77,2.181,15.481,20.81,11
sm1,survivalworld_e.map,p01_tier11,34.663,78.441,70.462,62.855,centroid of the PatrolPoint_Attack group,39.045,293.53,9.78,2.181,15.481,20.81,11
sm1,survivalworld_e.map,p01_tier12,34.413,77.555,70.462,62.855,centroid of the PatrolPoint_Attack group,38.93,292.18,9.74,2.181,15.481,20.81,11
sm1,survivalworld_e.map,p01_tier13,34.495,77.668,70.462,62.855,centroid of the PatrolPoint_Attack group,38.897,292.38,9.75,2.181,15.481,20.81,11
sm1,survivalworld_e.map,p01_tier14,34.981,77.497,70.462,62.855,centroid of the PatrolPoint_Attack group,38.383,292.42,9.75,2.181,15.481,20.81,11
sm1,survivalworld_e.map,p01_tier15,34.461,77.625,70.462,62.855,centroid of the PatrolPoint_Attack group,38.913,292.31,9.74,2.181,15.481,20.81,11
sm1,survivalworld_e.map,p01_tier16,34.971,76.985,70.462,62.855,centroid of the PatrolPoint_Attack group,38.2,291.71,9.72,2.181,15.481,20.81,11
sm1,survivalworld_e.map,p01_tier17,34.547,77.469,70.462,62.855,centroid of the PatrolPoint_Attack group,38.774,292.14,9.74,2.181,15.481,20.81,11
sm1,survivalworld_e.map,p02,82.4,28.946,70.462,62.855,centroid of the PatrolPoint_Attack group,35.949,160.61,5.35,2.181,15.481,20.81,11
sm1,survivalworld_e.map,p03,71.368,100.191,70.462,62.855,centroid of the PatrolPoint_Attack group,37.347,1.39,0.05,2.181,15.481,20.81,11
sm1,survivalworld_e.map,p04,110.099,45.927,70.462,62.855,centroid of the PatrolPoint_Attack group,43.101,113.13,3.77,2.181,15.481,20.81,11
sm1,survivalworld_e.map,p06,82.086,88.572,70.462,62.855,centroid of the PatrolPoint_Attack group,28.221,24.32,0.81,2.181,15.481,20.81,11
sm1,survivalworld_f.map,p01_tier01,19.813,69.951,62.695,61.05,centroid of the PatrolPoint_Attack group,43.796,281.73,9.39,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p01_tier02,19.802,70.019,62.695,61.05,centroid of the PatrolPoint_Attack group,43.821,281.81,9.39,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p01_tier03,19.891,69.919,62.695,61.05,centroid of the PatrolPoint_Attack group,43.713,281.71,9.39,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p01_tier04,19.78,69.948,62.695,61.05,centroid of the PatrolPoint_Attack group,43.828,281.71,9.39,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p01_tier05,19.667,69.884,62.695,61.05,centroid of the PatrolPoint_Attack group,43.925,281.6,9.39,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p01_tier06,19.404,69.948,62.695,61.05,centroid of the PatrolPoint_Attack group,44.196,281.61,9.39,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p01_tier07,19.883,69.76,62.695,61.05,centroid of the PatrolPoint_Attack group,43.689,281.5,9.38,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p01_tier08,19.748,70.114,62.695,61.05,centroid of the PatrolPoint_Attack group,43.893,281.92,9.4,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p01_tier09,19.929,69.919,62.695,61.05,centroid of the PatrolPoint_Attack group,43.676,281.72,9.39,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p01_tier10,22.887,68.315,62.695,61.05,centroid of the PatrolPoint_Attack group,40.466,280.34,9.34,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p01_tier11,19.798,69.945,62.695,61.05,centroid of the PatrolPoint_Attack group,43.81,281.71,9.39,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p01_tier12,19.73,70.116,62.695,61.05,centroid of the PatrolPoint_Attack group,43.911,281.92,9.4,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p01_tier13,19.814,69.862,62.695,61.05,centroid of the PatrolPoint_Attack group,43.778,281.61,9.39,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p01_tier14,19.572,70.087,62.695,61.05,centroid of the PatrolPoint_Attack group,44.06,281.84,9.39,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p01_tier15,19.912,69.846,62.695,61.05,centroid of the PatrolPoint_Attack group,43.678,281.62,9.39,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p01_tier16,19.078,70.54,62.695,61.05,centroid of the PatrolPoint_Attack group,44.637,282.27,9.41,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p01_tier17,19.511,69.834,62.695,61.05,centroid of the PatrolPoint_Attack group,44.068,281.5,9.38,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p02,72.648,24.05,62.695,61.05,centroid of the PatrolPoint_Attack group,38.316,164.94,5.5,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p03,47.331,99.746,62.695,61.05,centroid of the PatrolPoint_Attack group,41.635,338.34,11.28,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p04,90.38,49.976,62.695,61.05,centroid of the PatrolPoint_Attack group,29.818,111.8,3.73,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p05,49.776,56.144,62.695,61.05,centroid of the PatrolPoint_Attack group,13.819,249.21,8.31,5.511,20.885,30.072,12
sm1,survivalworld_f.map,p06,87.401,77.594,62.695,61.05,centroid of the PatrolPoint_Attack group,29.733,56.19,1.87,5.511,20.885,30.072,12
sm1,survivalworld_g.map,p01_tier01,40.077,95.662,62.966,63.884,centroid of the PatrolPoint_Attack group,39.163,324.23,10.81,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p01_tier02,39.77,95.351,62.966,63.884,centroid of the PatrolPoint_Attack group,39.093,323.6,10.79,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p01_tier03,40.193,95.496,62.966,63.884,centroid of the PatrolPoint_Attack group,38.962,324.23,10.81,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p01_tier04,40.323,95.197,62.966,63.884,centroid of the PatrolPoint_Attack group,38.642,324.13,10.8,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p01_tier05,40.241,95.341,62.966,63.884,centroid of the PatrolPoint_Attack group,38.807,324.16,10.81,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p01_tier06,39.848,95.79,62.966,63.884,centroid of the PatrolPoint_Attack group,39.401,324.07,10.8,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p01_tier07,39.899,95.59,62.966,63.884,centroid of the PatrolPoint_Attack group,39.21,323.96,10.8,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p01_tier08,39.87,95.825,62.966,63.884,centroid of the PatrolPoint_Attack group,39.417,324.13,10.8,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p01_tier09,39.905,95.343,62.966,63.884,centroid of the PatrolPoint_Attack group,39.007,323.76,10.79,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p01_tier10,41.69,87.446,62.966,63.884,centroid of the PatrolPoint_Attack group,31.747,317.92,10.6,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p01_tier11,39.9,95.534,62.966,63.884,centroid of the PatrolPoint_Attack group,39.164,323.92,10.8,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p01_tier12,39.863,95.196,62.966,63.884,centroid of the PatrolPoint_Attack group,38.913,323.58,10.79,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p01_tier13,39.919,95.231,62.966,63.884,centroid of the PatrolPoint_Attack group,38.909,323.68,10.79,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p01_tier14,39.916,95.355,62.966,63.884,centroid of the PatrolPoint_Attack group,39.01,323.78,10.79,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p01_tier15,49.088,101.525,62.966,63.884,centroid of the PatrolPoint_Attack group,40.118,339.76,11.33,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p01_tier16,40.047,95.01,62.966,63.884,centroid of the PatrolPoint_Attack group,38.654,323.63,10.79,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p01_tier17,44.563,102.748,62.966,63.884,centroid of the PatrolPoint_Attack group,43.002,334.66,11.16,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p02,91.491,88.548,62.966,63.884,centroid of the PatrolPoint_Attack group,37.709,49.15,1.64,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p03,103.042,64.912,62.966,63.884,centroid of the PatrolPoint_Attack group,40.089,88.53,2.95,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p04,64.803,24.967,62.966,63.884,centroid of the PatrolPoint_Attack group,38.96,177.3,5.91,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p05,65.293,64.957,62.966,63.884,centroid of the PatrolPoint_Attack group,2.563,65.24,2.17,2.49,14.309,20.168,10
sm1,survivalworld_g.map,p06,66.563,95.933,62.966,63.884,centroid of the PatrolPoint_Attack group,32.25,6.4,0.21,2.49,14.309,20.168,10
sm1,survivalworld_j.map,p01_tier01,42.78,103.874,64.344,66.916,centroid of the PatrolPoint_Attack group,42.789,329.74,10.99,3.468,20.325,29.589,10
sm1,survivalworld_j.map,p01_tier02,42.809,103.64,64.344,66.916,centroid of the PatrolPoint_Attack group,42.572,329.61,10.99,3.468,20.325,29.589,10
sm1,survivalworld_j.map,p01_tier03,43.103,103.546,64.344,66.916,centroid of the PatrolPoint_Attack group,42.343,329.89,11.0,3.468,20.325,29.589,10
sm1,survivalworld_j.map,p01_tier04,43.234,103.246,64.344,66.916,centroid of the PatrolPoint_Attack group,42.018,329.84,10.99,3.468,20.325,29.589,10
sm1,survivalworld_j.map,p01_tier05,43.152,103.39,64.344,66.916,centroid of the PatrolPoint_Attack group,42.184,329.84,10.99,3.468,20.325,29.589,10
sm1,survivalworld_j.map,p01_tier06,42.987,103.711,64.344,66.916,centroid of the PatrolPoint_Attack group,42.544,329.87,11.0,3.468,20.325,29.589,10
sm1,survivalworld_j.map,p01_tier07,42.759,103.84,64.344,66.916,centroid of the PatrolPoint_Attack group,42.77,329.69,10.99,3.468,20.325,29.589,10
sm1,survivalworld_j.map,p01_tier08,42.917,103.821,64.344,66.916,centroid of the PatrolPoint_Attack group,42.675,329.86,11.0,3.468,20.325,29.589,10
sm1,survivalworld_j.map,p01_tier09,42.811,103.584,64.344,66.916,centroid of the PatrolPoint_Attack group,42.523,329.58,10.99,3.468,20.325,29.589,10
sm1,survivalworld_j.map,p01_tier10,42.826,103.404,64.344,66.916,centroid of the PatrolPoint_Attack group,42.361,329.47,10.98,3.468,20.325,29.589,10
sm1,survivalworld_j.map,p01_tier11,42.815,103.393,64.344,66.916,centroid of the PatrolPoint_Attack group,42.356,329.45,10.98,3.468,20.325,29.589,10
sm1,survivalworld_j.map,p01_tier13,42.829,103.281,64.344,66.916,centroid of the PatrolPoint_Attack group,42.253,329.39,10.98,3.468,20.325,29.589,10
sm1,survivalworld_j.map,p01_tier14,42.773,103.246,64.344,66.916,centroid of the PatrolPoint_Attack group,42.251,329.3,10.98,3.468,20.325,29.589,10
sm1,survivalworld_j.map,p01_tier15,42.957,103.059,64.344,66.916,centroid of the PatrolPoint_Attack group,41.997,329.39,10.98,3.468,20.325,29.589,10
sm1,survivalworld_j.map,p01_tier16,43.336,104.188,64.344,66.916,centroid of the PatrolPoint_Attack group,42.785,330.59,11.02,3.468,20.325,29.589,10
sm1,survivalworld_j.map,p01_tier17,43.798,102.668,64.344,66.916,centroid of the PatrolPoint_Attack group,41.235,330.12,11.0,3.468,20.325,29.589,10
sm1,survivalworld_j.map,p02,68.668,106.162,64.344,66.916,centroid of the PatrolPoint_Attack group,39.483,6.29,0.21,3.468,20.325,29.589,10
sm1,survivalworld_j.map,p03,109.592,56.934,64.344,66.916,centroid of the PatrolPoint_Attack group,46.336,102.44,3.41,3.468,20.325,29.589,10
sm1,survivalworld_j.map,p04,91.029,33.923,64.344,66.916,centroid of the PatrolPoint_Attack group,42.434,141.03,4.7,3.468,20.325,29.589,10
sm1,survivalworld_j.map,p05,77.499,67.107,64.344,66.916,centroid of the PatrolPoint_Attack group,13.157,89.17,2.97,3.468,20.325,29.589,10
sm1,survivalworld_j.map,p06,106.147,88.322,64.344,66.916,centroid of the PatrolPoint_Attack group,46.966,62.88,2.1,3.468,20.325,29.589,10
sm2,survivalworld_h.map,p01_tier01,71.029,91.414,68.217,61.203,centroid of the PatrolPoint_Attack group,30.342,5.32,0.18,1.934,16.568,23.956,9
