arena_map,arena_archive,group,idx,record,x,y,z,r_from_centroid,centroid_x,centroid_z
survivalworld_f.map,sm1,Patrol Points,1,records/controllers/controlobjects/patrolpoint_01.dbr,69.8687,4.3,68.6175,10.427,62.6952,61.0503
survivalworld_f.map,sm1,Patrol Points,2,records/controllers/controlobjects/patrolpoint_01.dbr,61.3592,1.0,87.7727,26.7558,62.6952,61.0503
survivalworld_f.map,sm1,Patrol Points,3,records/controllers/controlobjects/patrolpoint_01.dbr,48.6406,1.0,82.0477,25.267,62.6952,61.0503
survivalworld_f.map,sm1,Patrol Points,4,records/controllers/controlobjects/patrolpoint_01.dbr,33.5588,1.0017,61.4581,29.1393,62.6952,61.0503
survivalworld_f.map,sm1,Patrol Points,5,records/controllers/controlobjects/patrolpoint_01.dbr,43.6413,1.0,40.6968,27.8804,62.6952,61.0503
survivalworld_f.map,sm1,Patrol Points,6,records/controllers/controlobjects/patrolpoint_01.dbr,65.8582,1.0,31.1447,30.0724,62.6952,61.0503
survivalworld_f.map,sm1,Patrol Points,7,records/controllers/controlobjects/patrolpoint_01.dbr,82.4547,0.9999,46.6261,24.4642,62.6952,61.0503
survivalworld_f.map,sm1,Patrol Points,8,records/controllers/controlobjects/patrolpoint_01.dbr,88.3798,1.0,60.8293,25.6855,62.6952,61.0503
survivalworld_f.map,sm1,Patrol Points,9,records/controllers/controlobjects/patrolpoint_01.dbr,80.1017,1.0,80.3423,25.984,62.6952,61.0503
survivalworld_f.map,sm1,Patrol Points,10,records/controllers/controlobjects/patrolpoint_01.dbr,66.3898,4.3,65.1391,5.5108,62.6952,61.0503
survivalworld_f.map,sm1,Patrol Points,11,records/controllers/controlobjects/patrolpoint_01.dbr,57.921,4.3,55.9059,7.0184,62.6952,61.0503
survivalworld_g.map,sm1,Patrol Points,0,records/controllers/controlobjects/patrolpoint_01.dbr,60.6284,-0.801,63.0254,2.4903,62.9662,63.8836
survivalworld_g.map,sm1,Patrol Points,1,records/controllers/controlobjects/patrolpoint_01.dbr,52.2404,-0.6094,53.6417,14.8304,62.9662,63.8836
survivalworld_g.map,sm1,Patrol Points,2,records/controllers/controlobjects/patrolpoint_01.dbr,64.4499,0.802,46.1445,17.801,62.9662,63.8836
survivalworld_g.map,sm1,Patrol Points,3,records/controllers/controlobjects/patrolpoint_01.dbr,78.2027,0.7262,50.6699,20.1681,62.9662,63.8836
survivalworld_g.map,sm1,Patrol Points,4,records/controllers/controlobjects/patrolpoint_01.dbr,78.7231,-0.6472,66.2376,15.9317,62.9662,63.8836
survivalworld_g.map,sm1,Patrol Points,5,records/controllers/controlobjects/patrolpoint_01.dbr,72.2571,-1.0884,79.0704,17.8034,62.9662,63.8836
survivalworld_g.map,sm1,Patrol Points,6,records/controllers/controlobjects/patrolpoint_01.dbr,58.3954,-1.089,81.2698,17.977,62.9662,63.8836
survivalworld_g.map,sm1,Patrol Points,7,records/controllers/controlobjects/patrolpoint_01.dbr,47.4345,-1.0939,72.3376,17.6834,62.9662,63.8836
survivalworld_g.map,sm1,Patrol Points,8,records/controllers/controlobjects/patrolpoint_01.dbr,50.2198,-0.7831,59.7527,13.3992,62.9662,63.8836
survivalworld_g.map,sm1,Patrol Points,9,records/controllers/controlobjects/patrolpoint_01.dbr,67.1111,-0.84,66.6863,5.0035,62.9662,63.8836
survivalworld_j.map,sm1,Patrol Points,0,records/controllers/controlobjects/patrolpoint_01.dbr,68.9008,20.0567,63.7588,5.5439,64.3436,66.9159
survivalworld_j.map,sm1,Patrol Points,1,records/controllers/controlobjects/patrolpoint_01.dbr,58.0587,17.4178,48.6051,19.3593,64.3436,66.9159
survivalworld_j.map,sm1,Patrol Points,2,records/controllers/controlobjects/patrolpoint_01.dbr,79.5627,18.5659,47.2817,24.8419,64.3436,66.9159
survivalworld_j.map,sm1,Patrol Points,3,records/controllers/controlobjects/patrolpoint_01.dbr,91.5172,16.2324,66.1568,27.1842,64.3436,66.9159
survivalworld_j.map,sm1,Patrol Points,4,records/controllers/controlobjects/patrolpoint_01.dbr,80.3047,17.8121,84.8743,24.0264,64.3436,66.9159
survivalworld_j.map,sm1,Patrol Points,5,records/controllers/controlobjects/patrolpoint_01.dbr,60.974,17.78,92.0596,25.3685,64.3436,66.9159
survivalworld_j.map,sm1,Patrol Points,6,records/controllers/controlobjects/patrolpoint_01.dbr,47.6609,19.2072,82.3179,22.7054,64.3436,66.9159
survivalworld_j.map,sm1,Patrol Points,7,records/controllers/controlobjects/patrolpoint_01.dbr,34.8911,18.1568,69.7536,29.5889,64.3436,66.9159
survivalworld_j.map,sm1,Patrol Points,8,records/controllers/controlobjects/patrolpoint_01.dbr,53.9202,17.3712,48.4941,21.1662,64.3436,66.9159
survivalworld_j.map,sm1,Patrol Points,9,records/controllers/controlobjects/patrolpoint_01.dbr,67.6453,20.1252,65.8564,3.4675,64.3436,66.9159
survivalworld_h.map,sm2,Patrol Points,0,records/controllers/controlobjects/patrolpoint_01.dbr,71.4748,15.37,60.9122,3.2704,68.2174,61.2032
survivalworld_h.map,sm2,Patrol Points,1,records/controllers/controlobjects/patrolpoint_01.dbr,51.5675,14.07,62.1027,16.6742,68.2174,61.2032
survivalworld_h.map,sm2,Patrol Points,2,records/controllers/controlobjects/patrolpoint_01.dbr,57.1201,14.07,45.4394,19.2782,68.2174,61.2032
survivalworld_h.map,sm2,Patrol Points,3,records/controllers/controlobjects/patrolpoint_01.dbr,84.9125,14.07,44.0235,23.9555,68.2174,61.2032
survivalworld_h.map,sm2,Patrol Points,4,records/controllers/controlobjects/patrolpoint_01.dbr,88.9771,14.07,60.329,20.7781,68.2174,61.2032
survivalworld_h.map,sm2,Patrol Points,5,records/controllers/controlobjects/patrolpoint_01.dbr,85.806,14.0729,76.7749,23.4911,68.2174,61.2032
survivalworld_h.map,sm2,Patrol Points,6,records/controllers/controlobjects/patrolpoint_01.dbr,60.4736,14.07,78.385,18.8462,68.2174,61.2032
survivalworld_h.map,sm2,Patrol Points,7,records/controllers/controlobjects/patrolpoint_01.dbr,47.3416,14.07,61.6617,20.8809,68.2174,61.2032
survivalworld_h.map,sm2,Patrol Points,8,records/controllers/controlobjects/patrolpoint_01.dbr,66.2837,15.3707,61.2006,1.9337,68.2174,61.2032
survivalworld_i.map,sm2,Patrol Points,0,records/controllers/controlobjects/patrolpoint_01.dbr,53.6906,26.93,44.8209,3.599,50.2049,43.9254
survivalworld_i.map,sm2,Patrol Points,1,records/controllers/controlobjects/patrolpoint_01.dbr,46.4324,26.93,29.545,14.867,50.2049,43.9254
survivalworld_i.map,sm2,Patrol Points,2,records/controllers/controlobjects/patrolpoint_01.dbr,64.7828,25.49,29.9328,20.2067,50.2049,43.9254
survivalworld_i.map,sm2,Patrol Points,3,records/controllers/controlobjects/patrolpoint_01.dbr,70.5937,25.8264,46.1747,20.5125,50.2049,43.9254
survivalworld_i.map,sm2,Patrol Points,4,records/controllers/controlobjects/patrolpoint_01.dbr,63.3675,25.49,60.66,21.2909,50.2049,43.9254
survivalworld_i.map,sm2,Patrol Points,5,records/controllers/controlobjects/patrolpoint_01.dbr,44.8684,25.8153,62.3856,19.216,50.2049,43.9254
survivalworld_i.map,sm2,Patrol Points,6,records/controllers/controlobjects/patrolpoint_01.dbr,29.9338,25.891,55.688,23.4366,50.2049,43.9254
survivalworld_i.map,sm2,Patrol Points,7,records/controllers/controlobjects/patrolpoint_01.dbr,30.0559,25.9297,36.6715,21.4149,50.2049,43.9254
survivalworld_i.map,sm2,Patrol Points,8,records/controllers/controlobjects/patrolpoint_01.dbr,46.2283,26.93,32.1356,12.4423,50.2049,43.9254
survivalworld_i.map,sm2,Patrol Points,9,records/controllers/controlobjects/patrolpoint_01.dbr,52.095,26.93,41.2399,3.284,50.2049,43.9254
survivalworld_a.map,sm_mod,Patrol Points,0,records/controllers/controlobjects/patrolpoint_01.dbr,74.4648,7.4294,59.705,8.2371,81.2601,64.3606
survivalworld_a.map,sm_mod,Patrol Points,1,records/controllers/controlobjects/patrolpoint_01.dbr,91.8534,7.4319,72.8056,13.5475,81.2601,64.3606
survivalworld_a.map,sm_mod,Patrol Points,2,records/controllers/controlobjects/patrolpoint_01.dbr,82.3217,7.488,86.2901,21.9552,81.2601,64.3606
survivalworld_a.map,sm_mod,Patrol Points,3,records/controllers/controlobjects/patrolpoint_01.dbr,66.1306,7.3544,84.0335,24.8178,81.2601,64.3606
survivalworld_a.map,sm_mod,Patrol Points,4,records/controllers/controlobjects/patrolpoint_01.dbr,59.4402,7.2507,67.5069,22.0456,81.2601,64.3606
survivalworld_a.map,sm_mod,Patrol Points,5,records/controllers/controlobjects/patrolpoint_01.dbr,66.4017,7.5143,52.9969,18.7058,81.2601,64.3606
survivalworld_a.map,sm_mod,Patrol Points,6,records/controllers/controlobjects/patrolpoint_01.dbr,82.9431,7.9895,44.5332,19.8988,81.2601,64.3606
survivalworld_a.map,sm_mod,Patrol Points,7,records/controllers/controlobjects/patrolpoint_01.dbr,94.7311,7.4573,44.8788,23.6857,81.2601,64.3606
survivalworld_a.map,sm_mod,Patrol Points,8,records/controllers/controlobjects/patrolpoint_01.dbr,105.1545,7.4383,58.8475,24.5221,81.2601,64.3606
survivalworld_a.map,sm_mod,Patrol Points,9,records/controllers/controlobjects/patrolpoint_01.dbr,94.313,7.5614,75.0099,16.8459,81.2601,64.3606
survivalworld_a.map,sm_mod,Patrol Points,10,records/controllers/controlobjects/patrolpoint_01.dbr,76.1071,7.4917,61.3596,5.9632,81.2601,64.3606
survivalworld_b.map,sm_mod,Patrol Points,0,records/controllers/controlobjects/patrolpoint_01.dbr,69.0213,9.3717,62.8119,2.8011,71.0857,64.7052
survivalworld_b.map,sm_mod,Patrol Points,1,records/controllers/controlobjects/patrolpoint_01.dbr,80.0329,7.9524,73.0419,12.2292,71.0857,64.7052
survivalworld_b.map,sm_mod,Patrol Points,2,records/controllers/controlobjects/patrolpoint_01.dbr,70.9024,7.95,79.7801,15.076,71.0857,64.7052
survivalworld_b.map,sm_mod,Patrol Points,3,records/controllers/controlobjects/patrolpoint_01.dbr,60.148,7.95,72.5531,13.4619,71.0857,64.7052
survivalworld_b.map,sm_mod,Patrol Points,4,records/controllers/controlobjects/patrolpoint_01.dbr,53.072,7.9502,62.0645,18.2062,71.0857,64.7052
survivalworld_b.map,sm_mod,Patrol Points,5,records/controllers/controlobjects/patrolpoint_01.dbr,59.4848,7.9501,52.939,16.5234,71.0857,64.7052
survivalworld_b.map,sm_mod,Patrol Points,6,records/controllers/controlobjects/patrolpoint_01.dbr,69.3538,7.95,47.7723,17.0212,71.0857,64.7052
survivalworld_b.map,sm_mod,Patrol Points,7,records/controllers/controlobjects/patrolpoint_01.dbr,78.4726,7.95,54.9536,12.2336,71.0857,64.7052
survivalworld_b.map,sm_mod,Patrol Points,8,records/controllers/controlobjects/patrolpoint_01.dbr,86.2175,7.9502,63.4838,15.181,71.0857,64.7052
survivalworld_b.map,sm_mod,Patrol Points,9,records/controllers/controlobjects/patrolpoint_01.dbr,81.7564,7.9505,74.685,14.6102,71.0857,64.7052
survivalworld_b.map,sm_mod,Patrol Points,10,records/controllers/controlobjects/patrolpoint_01.dbr,73.4808,9.18,67.6721,3.813,71.0857,64.7052
survivalworld_c.map,sm_mod,Patrol Points,0,records/controllers/controlobjects/patrolpoint_01.dbr,60.686,17.0,55.7119,8.0953,67.8086,59.5593
survivalworld_c.map,sm_mod,Patrol Points,1,records/controllers/controlobjects/patrolpoint_01.dbr,77.6624,16.8586,76.1071,19.2594,67.8086,59.5593
survivalworld_c.map,sm_mod,Patrol Points,2,records/controllers/controlobjects/patrolpoint_01.dbr,61.7089,16.6762,82.4807,23.7191,67.8086,59.5593
survivalworld_c.map,sm_mod,Patrol Points,3,records/controllers/controlobjects/patrolpoint_01.dbr,46.5105,17.3341,73.3916,25.3957,67.8086,59.5593
survivalworld_c.map,sm_mod,Patrol Points,4,records/controllers/controlobjects/patrolpoint_01.dbr,48.8654,18.21,56.739,19.152,67.8086,59.5593
survivalworld_c.map,sm_mod,Patrol Points,5,records/controllers/controlobjects/patrolpoint_01.dbr,63.3222,18.2098,44.0746,16.1215,67.8086,59.5593
survivalworld_c.map,sm_mod,Patrol Points,6,records/controllers/controlobjects/patrolpoint_01.dbr,67.4687,16.6512,29.7361,29.8252,67.8086,59.5593
survivalworld_c.map,sm_mod,Patrol Points,7,records/controllers/controlobjects/patrolpoint_01.dbr,83.9767,16.6574,43.3726,22.8783,67.8086,59.5593
survivalworld_c.map,sm_mod,Patrol Points,8,records/controllers/controlobjects/patrolpoint_01.dbr,88.8342,16.6503,59.7844,21.0268,67.8086,59.5593
survivalworld_c.map,sm_mod,Patrol Points,9,records/controllers/controlobjects/patrolpoint_01.dbr,80.3736,17.0991,72.3988,17.9648,67.8086,59.5593
survivalworld_c.map,sm_mod,Patrol Points,10,records/controllers/controlobjects/patrolpoint_01.dbr,66.4863,17.0,61.3554,2.2304,67.8086,59.5593
survivalworld_d.map,sm_mod,Patrol Points,0,records/controllers/controlobjects/patrolpoint_01.dbr,29.7203,16.4399,81.7143,4.6686,33.5452,84.3911
survivalworld_d.map,sm_mod,Patrol Points,1,records/controllers/controlobjects/patrolpoint_01.dbr,39.0371,15.2657,96.7755,13.5474,33.5452,84.3911
survivalworld_d.map,sm_mod,Patrol Points,2,records/controllers/controlobjects/patrolpoint_01.dbr,29.1687,13.9104,105.4146,21.4742,33.5452,84.3911
survivalworld_d.map,sm_mod,Patrol Points,3,records/controllers/controlobjects/patrolpoint_01.dbr,11.4348,12.374,96.5367,25.2267,33.5452,84.3911
survivalworld_d.map,sm_mod,Patrol Points,4,records/controllers/controlobjects/patrolpoint_01.dbr,9.7175,12.537,79.4105,24.3428,33.5452,84.3911
survivalworld_d.map,sm_mod,Patrol Points,5,records/controllers/controlobjects/patrolpoint_01.dbr,24.3914,12.0884,59.3737,26.6396,33.5452,84.3911
survivalworld_d.map,sm_mod,Patrol Points,6,records/controllers/controlobjects/patrolpoint_01.dbr,44.8069,13.8228,63.677,23.5776,33.5452,84.3911
survivalworld_d.map,sm_mod,Patrol Points,7,records/controllers/controlobjects/patrolpoint_01.dbr,52.6456,14.239,71.7711,22.893,33.5452,84.3911
survivalworld_d.map,sm_mod,Patrol Points,8,records/controllers/controlobjects/patrolpoint_01.dbr,54.7553,14.0554,87.9716,21.5101,33.5452,84.3911
survivalworld_d.map,sm_mod,Patrol Points,9,records/controllers/controlobjects/patrolpoint_01.dbr,41.1853,14.3466,101.1638,18.4307,33.5452,84.3911
survivalworld_d.map,sm_mod,Patrol Points,10,records/controllers/controlobjects/patrolpoint_01.dbr,32.1347,16.5008,84.4939,1.4142,33.5452,84.3911
survivalworld_e.map,sm_mod,Patrol Points,0,records/controllers/controlobjects/patrolpoint_01.dbr,64.6051,8.0784,59.1361,6.9379,70.4619,62.8553
survivalworld_e.map,sm_mod,Patrol Points,1,records/controllers/controlobjects/patrolpoint_01.dbr,82.5927,8.5661,73.7735,16.3207,70.4619,62.8553
survivalworld_e.map,sm_mod,Patrol Points,2,records/controllers/controlobjects/patrolpoint_01.dbr,70.8326,7.9626,83.0897,20.2378,70.4619,62.8553
survivalworld_e.map,sm_mod,Patrol Points,3,records/controllers/controlobjects/patrolpoint_01.dbr,59.6885,7.9573,75.8833,16.9055,70.4619,62.8553
survivalworld_e.map,sm_mod,Patrol Points,4,records/controllers/controlobjects/patrolpoint_01.dbr,51.2933,7.9559,64.5561,19.2439,70.4619,62.8553
survivalworld_e.map,sm_mod,Patrol Points,5,records/controllers/controlobjects/patrolpoint_01.dbr,55.5078,7.95,49.4036,20.1141,70.4619,62.8553
survivalworld_e.map,sm_mod,Patrol Points,6,records/controllers/controlobjects/patrolpoint_01.dbr,70.6409,7.8917,43.8962,18.9599,70.4619,62.8553
survivalworld_e.map,sm_mod,Patrol Points,7,records/controllers/controlobjects/patrolpoint_01.dbr,82.2905,8.2674,48.7555,18.4044,70.4619,62.8553
survivalworld_e.map,sm_mod,Patrol Points,8,records/controllers/controlobjects/patrolpoint_01.dbr,91.1197,8.0553,60.3417,20.8101,70.4619,62.8553
survivalworld_e.map,sm_mod,Patrol Points,9,records/controllers/controlobjects/patrolpoint_01.dbr,78.2118,8.0939,69.4478,10.1745,70.4619,62.8553
survivalworld_e.map,sm_mod,Patrol Points,10,records/controllers/controlobjects/patrolpoint_01.dbr,68.2981,8.5938,63.125,2.1806,70.4619,62.8553
survivalworld_f.map,sm_mod,Patrol Points,0,records/controllers/controlobjects/patrolpoint_01.dbr,54.1689,4.3,52.023,12.4173,62.6952,61.0503
survivalworld_f.map,sm_mod,Patrol Points,1,records/controllers/controlobjects/patrolpoint_01.dbr,69.8687,4.3,68.6175,10.427,62.6952,61.0503
survivalworld_f.map,sm_mod,Patrol Points,2,records/controllers/controlobjects/patrolpoint_01.dbr,61.3592,1.0,87.7727,26.7558,62.6952,61.0503
survivalworld_f.map,sm_mod,Patrol Points,3,records/controllers/controlobjects/patrolpoint_01.dbr,48.6406,1.0,82.0477,25.267,62.6952,61.0503
survivalworld_f.map,sm_mod,Patrol Points,4,records/controllers/controlobjects/patrolpoint_01.dbr,33.5588,1.0017,61.4581,29.1393,62.6952,61.0503
survivalworld_f.map,sm_mod,Patrol Points,5,records/controllers/controlobjects/patrolpoint_01.dbr,43.6413,1.0,40.6968,27.8804,62.6952,61.0503
survivalworld_f.map,sm_mod,Patrol Points,6,records/controllers/controlobjects/patrolpoint_01.dbr,65.8582,1.0,31.1447,30.0724,62.6952,61.0503
survivalworld_f.map,sm_mod,Patrol Points,7,records/controllers/controlobjects/patrolpoint_01.dbr,82.4547,0.9999,46.6261,24.4642,62.6952,61.0503
survivalworld_f.map,sm_mod,Patrol Points,8,records/controllers/controlobjects/patrolpoint_01.dbr,88.3798,1.0,60.8293,25.6855,62.6952,61.0503
survivalworld_f.map,sm_mod,Patrol Points,9,records/controllers/controlobjects/patrolpoint_01.dbr,80.1017,1.0,80.3423,25.984,62.6952,61.0503
survivalworld_f.map,sm_mod,Patrol Points,10,records/controllers/controlobjects/patrolpoint_01.dbr,66.3898,4.3,65.1391,5.5108,62.6952,61.0503
survivalworld_f.map,sm_mod,Patrol Points,11,records/controllers/controlobjects/patrolpoint_01.dbr,57.921,4.3,55.9059,7.0184,62.6952,61.0503
