wave_fought,gladiator_array_index,characterLifeModifier_pct,lookup_law,record,archive
13,12,98.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
14,13,98.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
15,14,98.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
16,15,98.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
17,16,99.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
18,17,99.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
19,18,99.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
20,19,99.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
21,20,99.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
22,21,100.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
23,22,101.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
24,23,101.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
25,24,101.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
26,25,102.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
27,26,102.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
28,27,102.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
29,28,102.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
30,29,102.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
31,30,104.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
32,31,104.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
33,32,104.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
34,33,104.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
35,34,104.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
36,35,105.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
37,36,106.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
38,37,106.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
39,38,106.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
40,39,106.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
41,40,107.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
42,41,107.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
43,42,107.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
44,43,107.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
45,44,108.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
46,45,109.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
47,46,109.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
48,47,110.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
49,48,110.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
50,49,110.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
51,50,113.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
52,51,113.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
53,52,114.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
54,53,114.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
55,54,115.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
56,55,116.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
57,56,116.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
58,57,117.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
59,58,117.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
60,59,119.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
61,60,120.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
62,61,120.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
63,62,121.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
64,63,121.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
65,64,123.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
66,65,124.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
67,66,124.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
68,67,126.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
69,68,126.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
70,69,127.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
71,70,128.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
72,71,129.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
73,72,130.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
74,73,130.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
75,74,132.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
76,75,133.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
77,76,134.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
78,77,135.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
79,78,137.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
80,79,138.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
81,80,139.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
82,81,141.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
83,82,142.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
84,83,143.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
85,84,144.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
86,85,145.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
87,86,146.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
88,87,148.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
89,88,150.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
90,89,151.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
91,90,153.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
92,91,154.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
93,92,156.0,fighting wave w reads 0-based index w-1 = the cell LABELED w (L-33 C-4),records/game/balancingadjustment_survivalmode_enemies03.dbr,sm_mod
