arena_map,arena_archive,placement,table_index,record,x,y,z
survivalworld_a.map,sm1,246,57,records/controllers/controlobjects/patrolpoint_01.dbr,79.2799,8.1909,57.2983
survivalworld_a.map,sm1,248,57,records/controllers/controlobjects/patrolpoint_01.dbr,73.8587,7.4666,59.2739
survivalworld_a.map,sm1,250,78,records/scriptentities/trappoint_06.dbr,75.3501,7.9336,64.8969
survivalworld_a.map,sm1,261,81,records/scriptentities/defensepoint_03.dbr,90.8237,10.0813,57.0452
survivalworld_a.map,sm1,265,82,records/scriptentities/defensepoint_npc_03.dbr,94.0132,9.9435,52.9243
survivalworld_a.map,sm1,292,83,records/scriptentities/trappoint_04.dbr,111.791,7.3794,59.5825
survivalworld_a.map,sm1,293,57,records/controllers/controlobjects/patrolpoint_01.dbr,103.9244,7.4736,59.5369
survivalworld_a.map,sm1,339,86,records/scriptentities/tier15spawnpoint01.dbr,41.8817,3.3783,90.3657
survivalworld_a.map,sm1,340,87,records/scriptentities/tier09spawnpoint01.dbr,46.7082,5.6225,74.1466
survivalworld_a.map,sm1,341,88,records/scriptentities/tier03spawnpoint01.dbr,46.6606,5.6289,73.4848
survivalworld_a.map,sm1,342,89,records/scriptentities/tier02spawnpoint01.dbr,46.6085,5.6097,74.1219
survivalworld_a.map,sm1,343,90,records/scriptentities/tier01spawnpoint01.dbr,46.6261,5.6147,74.0333
survivalworld_a.map,sm1,344,91,records/scriptentities/tier04spawnpoint01.dbr,46.6737,5.6191,74.1035
survivalworld_a.map,sm1,345,92,records/scriptentities/tier13spawnpoint01.dbr,46.7683,5.6382,73.8711
survivalworld_a.map,sm1,346,93,records/scriptentities/spawnbeacon_01.dbr,46.8163,5.6323,74.3136
survivalworld_a.map,sm1,347,94,records/scriptentities/tier12spawnpoint01.dbr,46.4629,5.5991,73.833
survivalworld_a.map,sm1,353,95,records/scriptentities/tier08spawnpoint01.dbr,41.6393,3.9632,83.7035
survivalworld_a.map,sm1,354,96,records/scriptentities/tier14spawnpoint01.dbr,46.4252,5.5935,73.7448
survivalworld_a.map,sm1,355,97,records/scriptentities/tier06spawnpoint01.dbr,46.2859,5.5582,74.6277
survivalworld_a.map,sm1,361,98,records/scriptentities/tier11spawnpoint01.dbr,53.125,6.0255,83.8527
survivalworld_a.map,sm1,362,99,records/scriptentities/tier07spawnpoint01.dbr,47.1835,5.7049,73.4642
survivalworld_a.map,sm1,363,100,records/scriptentities/tier10spawnpoint01.dbr,47.1936,5.6985,73.9759
survivalworld_a.map,sm1,364,101,records/scriptentities/tier05spawnpoint01.dbr,46.8753,5.6247,74.9203
survivalworld_a.map,sm1,365,102,records/scriptentities/tier17spawnpoint01.dbr,46.8815,5.6308,74.6691
survivalworld_a.map,sm1,366,103,records/scriptentities/tier16spawnpoint01.dbr,46.8133,5.6449,73.9551
survivalworld_a.map,sm1,407,104,records/scriptentities/trappoint_07.dbr,83.2545,9.4587,75.3332
survivalworld_a.map,sm1,412,57,records/controllers/controlobjects/patrolpoint_01.dbr,72.7546,7.8005,80.6571
survivalworld_a.map,sm1,419,106,records/scriptentities/defensepoint_02.dbr,79.0959,9.5166,81.6922
survivalworld_a.map,sm1,424,107,records/scriptentities/trappoint_03.dbr,83.3786,10.5458,75.9365
survivalworld_a.map,sm1,425,57,records/controllers/controlobjects/patrolpoint_01.dbr,91.4804,7.4936,73.0544
survivalworld_a.map,sm1,427,57,records/controllers/controlobjects/patrolpoint_01.dbr,96.139,7.8027,81.239
survivalworld_a.map,sm1,430,108,records/scriptentities/trappoint_05.dbr,70.7614,9.0698,94.0747
survivalworld_a.map,sm1,432,57,records/controllers/controlobjects/patrolpoint_01.dbr,76.7736,7.4981,86.775
survivalworld_a.map,sm1,437,109,records/scriptentities/spawnbeacon_05.dbr,84.8589,7.7387,99.2954
survivalworld_a.map,sm1,438,110,records/scriptentities/spawnpoint03.dbr,89.3845,7.472,96.7289
survivalworld_a.map,sm1,457,111,records/scriptentities/spawnbeacon_03.dbr,100.6751,7.3675,74.4746
survivalworld_a.map,sm1,458,112,records/scriptentities/spawnpoint04.dbr,112.1647,7.3807,71.5078
survivalworld_a.map,sm1,459,113,records/scriptentities/spawnpoint06.dbr,112.4749,7.3854,71.1656
survivalworld_a.map,sm1,460,114,records/scriptentities/spawnpoint06_fx.dbr,102.0706,7.37,82.3275
survivalworld_a.map,sm1,461,115,records/scriptentities/spawnbeacon_04.dbr,102.1889,7.37,82.5804
survivalworld_b.map,sm1,51,22,records/scriptentities/rewardchest01.dbr,29.0,9.0,32.0
survivalworld_b.map,sm1,55,23,records/scriptentities/rewardchest05.dbr,37.0,9.0,23.5
survivalworld_b.map,sm1,56,24,records/scriptentities/bonuschest02.dbr,37.0,9.0529,23.5
survivalworld_b.map,sm1,63,27,records/scriptentities/rewardchest04.dbr,34.0,9.0,23.0
survivalworld_b.map,sm1,65,28,records/scriptentities/rewardchest02.dbr,28.5,9.0,29.0
survivalworld_b.map,sm1,67,29,records/scriptentities/bonuschest01.dbr,32.4988,9.0,30.2782
survivalworld_b.map,sm1,70,31,records/scriptentities/rewardchest03.dbr,30.5,9.0,25.5
survivalworld_b.map,sm1,110,42,records/scriptentities/tier06spawnpoint01.dbr,47.1022,4.3981,49.7421
survivalworld_b.map,sm1,111,43,records/scriptentities/tier02spawnpoint01.dbr,36.8451,7.03,63.8836
survivalworld_b.map,sm1,158,49,records/scriptentities/tier03spawnpoint01.dbr,43.3998,6.886,57.5622
survivalworld_b.map,sm1,170,51,records/controllers/controlobjects/patrolpoint_01.dbr,57.0483,7.95,51.0693
survivalworld_b.map,sm1,172,52,records/scriptentities/trappoint_08.dbr,45.7205,7.95,60.4655
survivalworld_b.map,sm1,173,51,records/controllers/controlobjects/patrolpoint_01.dbr,55.9446,7.9506,56.8668
survivalworld_b.map,sm1,204,56,records/scriptentities/spawnpoint02.dbr,66.7867,0.0,22.2756
survivalworld_b.map,sm1,205,57,records/scriptentities/spawnbeacon_02.dbr,70.006,7.02,29.2159
survivalworld_b.map,sm1,218,58,records/scriptentities/playerspawnpoint.dbr,82.3175,7.4247,26.2446
survivalworld_b.map,sm1,240,51,records/controllers/controlobjects/patrolpoint_01.dbr,76.1352,8.1066,38.1607
survivalworld_b.map,sm1,258,64,records/scriptentities/defensepoint_npc_02.dbr,70.9654,8.513,57.798
survivalworld_b.map,sm1,259,65,records/scriptentities/trappoint_05.dbr,72.9311,7.95,55.996
survivalworld_b.map,sm1,260,66,records/scriptentities/defensepoint_02.dbr,62.8412,7.95,49.8564
survivalworld_b.map,sm1,264,51,records/controllers/controlobjects/patrolpoint_01.dbr,67.7088,9.3618,63.6214
survivalworld_b.map,sm1,270,68,records/scriptentities/trappoint_03.dbr,88.4663,9.1627,55.149
survivalworld_b.map,sm1,272,51,records/controllers/controlobjects/patrolpoint_01.dbr,79.8452,7.9501,54.1145
survivalworld_b.map,sm1,277,69,records/scriptentities/defensepoint_npc_04.dbr,91.9882,9.21,50.3367
survivalworld_b.map,sm1,279,51,records/controllers/controlobjects/patrolpoint_01.dbr,88.207,7.952,57.4513
survivalworld_b.map,sm1,299,70,records/scriptentities/spawnpoint04.dbr,98.5908,7.2168,56.1318
survivalworld_b.map,sm1,300,71,records/scriptentities/spawnbeacon_03.dbr,105.0357,7.02,63.3728
survivalworld_b.map,sm1,338,73,records/scriptentities/tier10spawnpoint01.dbr,45.2834,0.0,76.0163
survivalworld_b.map,sm1,346,74,records/scriptentities/tier01spawnpoint01.dbr,44.1036,6.886,72.8988
survivalworld_b.map,sm1,347,75,records/scriptentities/tier13spawnpoint01.dbr,34.7494,7.1606,64.5161
survivalworld_b.map,sm1,348,76,records/scriptentities/tier05spawnpoint01.dbr,36.0651,7.03,64.4865
survivalworld_b.map,sm1,349,77,records/scriptentities/tier07spawnpoint01.dbr,35.9778,7.0317,64.6136
survivalworld_b.map,sm1,350,78,records/scriptentities/tier09spawnpoint01.dbr,35.835,7.0523,64.3633
survivalworld_b.map,sm1,351,79,records/scriptentities/tier12spawnpoint01.dbr,35.7474,7.0649,64.491
survivalworld_b.map,sm1,352,80,records/scriptentities/tier14spawnpoint01.dbr,35.8718,7.0469,64.4078
survivalworld_b.map,sm1,353,81,records/scriptentities/spawnbeacon_01.dbr,35.9128,7.041,64.3803
survivalworld_b.map,sm1,354,82,records/scriptentities/tier11spawnpoint01.dbr,35.9799,7.03,65.2242
survivalworld_b.map,sm1,355,83,records/scriptentities/tier15spawnpoint01.dbr,35.8536,7.0496,64.6962
survivalworld_b.map,sm1,356,84,records/scriptentities/tier08spawnpoint01.dbr,35.5881,7.073,64.7155
survivalworld_b.map,sm1,357,85,records/scriptentities/tier04spawnpoint01.dbr,35.2996,7.0823,64.6504
survivalworld_b.map,sm1,358,86,records/scriptentities/tier17spawnpoint01.dbr,34.9777,7.0302,65.0731
survivalworld_b.map,sm1,359,87,records/scriptentities/tier16spawnpoint01.dbr,36.1718,7.03,64.9483
survivalworld_b.map,sm1,369,88,records/scriptentities/trappoint_06.dbr,54.0948,9.5747,77.191
survivalworld_b.map,sm1,371,89,records/scriptentities/defensepoint_01.dbr,57.5,7.9266,65.0
survivalworld_b.map,sm1,374,51,records/controllers/controlobjects/patrolpoint_01.dbr,54.3482,8.1299,75.1637
survivalworld_b.map,sm1,430,94,records/scriptentities/spawnpoint05.dbr,69.9296,8.5131,73.6071
survivalworld_b.map,sm1,431,95,records/scriptentities/defensepoint_npc_03.dbr,69.0411,9.2001,66.0613
survivalworld_b.map,sm1,432,96,records/scriptentities/defensepoint_npc_01.dbr,69.3761,8.1867,74.5591
survivalworld_b.map,sm1,433,51,records/controllers/controlobjects/patrolpoint_01.dbr,61.9536,8.1734,66.8466
survivalworld_b.map,sm1,434,51,records/controllers/controlobjects/patrolpoint_01.dbr,72.2161,9.2,66.147
survivalworld_b.map,sm1,436,97,records/scriptentities/trappoint_04.dbr,72.506,9.3023,69.5106
survivalworld_b.map,sm1,440,98,records/scriptentities/defensepoint_03.dbr,71.0,7.9285,78.5
survivalworld_b.map,sm1,441,51,records/controllers/controlobjects/patrolpoint_01.dbr,71.0,8.0,78.5
survivalworld_b.map,sm1,444,99,records/scriptentities/trappoint_02.dbr,80.3049,7.95,64.5824
survivalworld_b.map,sm1,449,100,records/scriptentities/defensepoint_04.dbr,84.5,7.9131,65.0
survivalworld_b.map,sm1,450,51,records/controllers/controlobjects/patrolpoint_01.dbr,84.5,8.0,65.0
survivalworld_b.map,sm1,493,103,records/scriptentities/spawnpoint06.dbr,110.3692,8.0,72.9409
survivalworld_b.map,sm1,511,104,records/scriptentities/spawnpoint06_fx.dbr,101.1737,8.0028,90.7135
survivalworld_b.map,sm1,517,105,records/scriptentities/spawnbeacon_04.dbr,98.2359,7.9488,91.9835
survivalworld_b.map,sm1,533,107,records/scriptentities/spawnbeacon_05.dbr,63.9247,7.2258,103.0088
survivalworld_b.map,sm1,534,108,records/scriptentities/spawnpoint03.dbr,70.7492,7.0284,99.4182
survivalworld_c.map,sm1,33,22,records/scriptentities/defensepoint_04.dbr,44.1446,18.1791,66.5966
survivalworld_c.map,sm1,35,24,records/scriptentities/tier17spawnpoint01.dbr,54.0694,18.2098,66.7683
survivalworld_c.map,sm1,36,25,records/scriptentities/tier16spawnpoint01.dbr,36.1679,16.4279,65.5468
survivalworld_c.map,sm1,37,26,records/scriptentities/tier15spawnpoint01.dbr,36.1703,16.4998,65.1743
survivalworld_c.map,sm1,38,27,records/scriptentities/tier07spawnpoint01.dbr,35.6118,16.4543,65.2327
survivalworld_c.map,sm1,39,28,records/scriptentities/tier06spawnpoint01.dbr,35.7481,16.4659,65.18
survivalworld_c.map,sm1,40,29,records/scriptentities/tier02spawnpoint01.dbr,35.641,16.4992,64.9986
survivalworld_c.map,sm1,41,30,records/scriptentities/tier01spawnpoint01.dbr,35.6423,16.496,64.9424
survivalworld_c.map,sm1,42,31,records/scriptentities/tier14spawnpoint01.dbr,35.5903,16.4607,65.1984
survivalworld_c.map,sm1,43,32,records/scriptentities/tier05spawnpoint01.dbr,35.5117,16.4838,64.7592
survivalworld_c.map,sm1,44,33,records/scriptentities/tier03spawnpoint01.dbr,35.6466,16.4848,64.7515
survivalworld_c.map,sm1,45,34,records/scriptentities/tier09spawnpoint01.dbr,35.6575,16.4856,64.763
survivalworld_c.map,sm1,46,35,records/scriptentities/tier08spawnpoint01.dbr,35.9347,16.4975,64.9047
survivalworld_c.map,sm1,47,36,records/scriptentities/tier10spawnpoint01.dbr,35.8184,16.4878,65.0698
survivalworld_c.map,sm1,48,37,records/scriptentities/tier13spawnpoint01.dbr,35.9832,16.4927,64.7488
survivalworld_c.map,sm1,49,38,records/scriptentities/tier12spawnpoint01.dbr,35.605,16.4758,64.6042
survivalworld_c.map,sm1,50,39,records/scriptentities/tier04spawnpoint01.dbr,35.789,16.4738,64.4179
survivalworld_c.map,sm1,51,40,records/scriptentities/tier11spawnpoint01.dbr,35.6603,16.4788,64.6395
survivalworld_c.map,sm1,52,41,records/scriptentities/spawnbeacon_05.dbr,36.0651,16.4834,64.6048
survivalworld_c.map,sm1,84,55,records/scriptentities/rewardchest02.dbr,13.9106,25.7229,25.3661
survivalworld_c.map,sm1,89,60,records/scriptentities/rewardchest04.dbr,7.7947,16.5505,6.0068
survivalworld_c.map,sm1,94,62,records/scriptentities/rewardchest03.dbr,20.614,25.0133,17.8846
survivalworld_c.map,sm1,96,64,records/scriptentities/bonuschest01.dbr,23.1874,24.942,19.8139
survivalworld_c.map,sm1,130,75,records/scriptentities/rewardchest05.dbr,43.997,25.509,13.6097
survivalworld_c.map,sm1,155,83,records/scriptentities/rewardchest01.dbr,22.8908,30.7612,30.3841
survivalworld_c.map,sm1,181,90,records/controllers/controlobjects/patrolpoint_01.dbr,52.9445,18.2101,61.74
survivalworld_c.map,sm1,197,95,records/scriptentities/bonuschest02.dbr,32.1185,25.0,27.8407
survivalworld_c.map,sm1,204,90,records/controllers/controlobjects/patrolpoint_01.dbr,60.1459,16.7165,34.1391
survivalworld_c.map,sm1,215,106,records/scriptentities/defensepoint_npc_01.dbr,63.0986,18.209,38.9838
survivalworld_c.map,sm1,239,114,records/scriptentities/trappoint_04.dbr,58.5655,18.5548,49.8443
survivalworld_c.map,sm1,240,115,records/scriptentities/playerspawnpoint.dbr,50.2084,18.21,50.7531
survivalworld_c.map,sm1,242,116,records/scriptentities/defensepoint_01.dbr,61.3232,18.2101,48.1876
survivalworld_c.map,sm1,246,90,records/controllers/controlobjects/patrolpoint_01.dbr,53.1941,18.259,55.3713
survivalworld_c.map,sm1,248,90,records/controllers/controlobjects/patrolpoint_01.dbr,59.5607,17.0,54.7114
survivalworld_c.map,sm1,258,119,records/scriptentities/defensepoint_03.dbr,72.7061,18.2107,67.0072
survivalworld_c.map,sm1,259,120,records/scriptentities/defensepoint_npc_03.dbr,72.7061,18.2107,67.0072
survivalworld_c.map,sm1,309,126,records/scriptentities/trappoint_01.dbr,80.9479,17.3323,59.7708
survivalworld_c.map,sm1,310,127,records/scriptentities/trappoint_03.dbr,87.1176,16.6794,62.555
survivalworld_c.map,sm1,316,128,records/scriptentities/spawnbeacon_01.dbr,67.0395,19.1603,38.0295
survivalworld_c.map,sm1,317,90,records/controllers/controlobjects/patrolpoint_01.dbr,86.3487,16.6493,25.2264
survivalworld_c.map,sm1,324,130,records/scriptentities/spawnpoint04.dbr,94.2505,16.65,31.0529
survivalworld_c.map,sm1,330,134,records/scriptentities/trappoint_05.dbr,73.3887,18.2377,57.4516
survivalworld_c.map,sm1,331,135,records/scriptentities/defensepoint_npc_02.dbr,68.699,18.21,44.6977
survivalworld_c.map,sm1,332,90,records/controllers/controlobjects/patrolpoint_01.dbr,74.8443,18.1921,46.3146
survivalworld_c.map,sm1,334,137,records/scriptentities/trappoint_07.dbr,78.5785,17.8031,45.9843
survivalworld_c.map,sm1,337,139,records/scriptentities/defensepoint_02.dbr,70.0647,18.2739,51.5118
survivalworld_c.map,sm1,346,90,records/controllers/controlobjects/patrolpoint_01.dbr,95.3661,17.1728,58.2808
survivalworld_c.map,sm1,348,141,records/scriptentities/spawnpoint06_fx.dbr,97.7385,16.65,40.4812
survivalworld_c.map,sm1,349,142,records/scriptentities/spawnpoint06.dbr,97.1211,16.65,40.8003
survivalworld_c.map,sm1,408,147,records/scriptentities/trappoint_08.dbr,43.2902,16.6892,96.6429
survivalworld_c.map,sm1,419,90,records/controllers/controlobjects/patrolpoint_01.dbr,36.147,15.3464,75.8288
survivalworld_c.map,sm1,422,148,records/scriptentities/trappoint_02.dbr,51.3874,18.0926,72.316
survivalworld_c.map,sm1,424,149,records/scriptentities/defensepoint_npc_04.dbr,62.567,18.2149,68.9214
survivalworld_c.map,sm1,425,150,records/scriptentities/trappoint_06.dbr,58.0363,18.2099,69.1844
survivalworld_c.map,sm1,434,90,records/controllers/controlobjects/patrolpoint_01.dbr,54.2632,16.6869,88.4688
survivalworld_c.map,sm1,436,152,records/scriptentities/spawnpoint02.dbr,53.4479,16.65,95.9515
survivalworld_c.map,sm1,483,90,records/controllers/controlobjects/patrolpoint_01.dbr,73.1179,18.2094,73.4394
survivalworld_c.map,sm1,509,156,records/scriptentities/spawnpoint03.dbr,99.5659,16.65,91.5207
survivalworld_c.map,sm1,510,157,records/scriptentities/spawnbeacon_03.dbr,91.6033,16.6511,84.6148
survivalworld_d.map,sm1,53,35,records/controllers/controlobjects/patrolpoint_01.dbr,10.2064,11.3168,59.3211
survivalworld_d.map,sm1,66,42,records/scriptentities/tier10spawnpoint01.dbr,37.0301,13.5382,36.6279
survivalworld_d.map,sm1,67,43,records/scriptentities/tier09spawnpoint01.dbr,36.624,13.452,43.381
survivalworld_d.map,sm1,68,44,records/scriptentities/tier07spawnpoint01.dbr,36.2879,13.4512,43.211
survivalworld_d.map,sm1,69,45,records/scriptentities/tier05spawnpoint01.dbr,36.8495,13.4606,43.2771
survivalworld_d.map,sm1,70,46,records/scriptentities/tier04spawnpoint01.dbr,36.6894,13.5387,43.1691
survivalworld_d.map,sm1,71,47,records/scriptentities/tier03spawnpoint01.dbr,36.5579,13.4533,43.3071
survivalworld_d.map,sm1,72,48,records/scriptentities/tier01spawnpoint01.dbr,36.6723,13.4567,43.2815
survivalworld_d.map,sm1,73,49,records/scriptentities/tier02spawnpoint01.dbr,36.6691,13.4562,43.2933
survivalworld_d.map,sm1,74,50,records/scriptentities/tier15spawnpoint01.dbr,36.6202,13.466,43.0027
survivalworld_d.map,sm1,75,51,records/scriptentities/spawnbeacon_05.dbr,36.508,13.4599,43.1029
survivalworld_d.map,sm1,82,53,records/scriptentities/tier12spawnpoint01.dbr,35.0842,13.3765,52.9804
survivalworld_d.map,sm1,83,54,records/scriptentities/tier06spawnpoint01.dbr,36.3498,13.5388,43.5251
survivalworld_d.map,sm1,84,55,records/scriptentities/tier13spawnpoint01.dbr,36.4185,13.5385,43.6722
survivalworld_d.map,sm1,85,56,records/scriptentities/tier14spawnpoint01.dbr,36.5189,13.5386,43.6806
survivalworld_d.map,sm1,86,57,records/scriptentities/tier08spawnpoint01.dbr,36.6444,13.5384,43.7921
survivalworld_d.map,sm1,87,58,records/scriptentities/tier11spawnpoint01.dbr,36.6968,13.5389,43.6482
survivalworld_d.map,sm1,88,59,records/scriptentities/tier17spawnpoint01.dbr,35.9832,13.5374,43.6362
survivalworld_d.map,sm1,89,60,records/scriptentities/tier16spawnpoint01.dbr,36.9198,13.4246,44.2536
survivalworld_d.map,sm1,90,61,records/scriptentities/trappoint_06.dbr,36.6994,13.4168,44.2726
survivalworld_d.map,sm1,93,35,records/controllers/controlobjects/patrolpoint_01.dbr,39.3245,13.7153,61.3592
survivalworld_d.map,sm1,151,74,records/scriptentities/trappoint_04.dbr,5.6766,12.6453,68.0182
survivalworld_d.map,sm1,153,76,records/scriptentities/trappoint_08.dbr,19.1901,15.6353,73.6764
survivalworld_d.map,sm1,155,78,records/scriptentities/playerspawnpoint.dbr,0.3487,12.7383,77.8712
survivalworld_d.map,sm1,156,35,records/controllers/controlobjects/patrolpoint_01.dbr,10.593,12.5574,77.5413
survivalworld_d.map,sm1,160,80,records/scriptentities/spawnbeacon_04.dbr,8.7476,11.979,101.9853
survivalworld_d.map,sm1,161,81,records/scriptentities/trappoint_05.dbr,10.1907,12.4391,111.129
survivalworld_d.map,sm1,163,83,records/scriptentities/defensepoint_npc_01.dbr,1.4814,13.1764,91.17
survivalworld_d.map,sm1,164,35,records/controllers/controlobjects/patrolpoint_01.dbr,18.2204,15.6103,91.8341
survivalworld_d.map,sm1,175,87,records/scriptentities/defensepoint_npc_02.dbr,44.4251,15.0078,91.3957
survivalworld_d.map,sm1,176,88,records/scriptentities/defensepoint_02.dbr,20.5203,15.7154,73.7949
survivalworld_d.map,sm1,183,93,records/scriptentities/trappoint_02.dbr,27.5461,14.1118,66.8367
survivalworld_d.map,sm1,184,94,records/scriptentities/trappoint_01.dbr,37.445,15.6172,73.0342
survivalworld_d.map,sm1,186,35,records/controllers/controlobjects/patrolpoint_01.dbr,24.8235,15.504,77.8124
survivalworld_d.map,sm1,188,35,records/controllers/controlobjects/patrolpoint_01.dbr,31.5402,16.3122,77.632
survivalworld_d.map,sm1,197,35,records/controllers/controlobjects/patrolpoint_01.dbr,45.3001,14.2796,70.9885
survivalworld_d.map,sm1,199,100,records/scriptentities/defensepoint_npc_03.dbr,58.4044,14.0725,74.9188
survivalworld_d.map,sm1,200,101,records/scriptentities/defensepoint_03.dbr,46.1609,15.9025,79.6714
survivalworld_d.map,sm1,207,106,records/scriptentities/defensepoint_01.dbr,32.637,15.8848,94.4656
survivalworld_d.map,sm1,211,108,records/scriptentities/trappoint_03.dbr,23.5504,13.7114,99.4605
survivalworld_d.map,sm1,212,35,records/controllers/controlobjects/patrolpoint_01.dbr,36.5033,16.0983,91.6962
survivalworld_d.map,sm1,215,35,records/controllers/controlobjects/patrolpoint_01.dbr,24.7254,13.7643,100.1166
survivalworld_d.map,sm1,217,35,records/controllers/controlobjects/patrolpoint_01.dbr,35.9563,13.8619,106.7526
survivalworld_d.map,sm1,224,35,records/controllers/controlobjects/patrolpoint_01.dbr,50.0001,13.8703,89.0735
survivalworld_d.map,sm1,237,110,records/scriptentities/spawnbeacon_03.dbr,47.7274,12.9878,126.5743
survivalworld_d.map,sm1,238,111,records/scriptentities/spawnpoint04.dbr,46.8699,13.54,113.3305
survivalworld_d.map,sm1,255,112,records/scriptentities/spawnbeacon_01.dbr,71.774,13.5359,93.9932
survivalworld_d.map,sm1,256,113,records/scriptentities/spawnpoint03.dbr,65.2709,13.5436,64.9397
survivalworld_d.map,sm1,259,114,records/scriptentities/spawnpoint06.dbr,73.4907,13.233,88.0915
survivalworld_d.map,sm1,261,115,records/scriptentities/spawnpoint06_fx.dbr,71.6841,13.555,89.4931
survivalworld_d.map,sm1,262,116,records/scriptentities/spawnbeacon_02.dbr,64.6952,13.2211,89.7919
survivalworld_e.map,sm1,73,45,records/scriptentities/bonuschest02.dbr,39.3422,13.1619,30.683
survivalworld_e.map,sm1,88,52,records/scriptentities/rewardchest04.dbr,37.3422,13.167,26.683
survivalworld_e.map,sm1,90,54,records/scriptentities/rewardchest03.dbr,33.8431,13.1624,28.697
survivalworld_e.map,sm1,93,56,records/scriptentities/rewardchest05.dbr,40.8422,13.158,26.683
survivalworld_e.map,sm1,128,67,records/scriptentities/rewardchest01.dbr,31.8422,13.0371,35.683
survivalworld_e.map,sm1,130,68,records/scriptentities/rewardchest02.dbr,31.8422,13.1085,32.183
survivalworld_e.map,sm1,132,69,records/scriptentities/bonuschest01.dbr,35.9788,13.1621,34.0226
survivalworld_e.map,sm1,153,77,records/controllers/controlobjects/patrolpoint_01.dbr,39.7925,10.5304,62.1993
survivalworld_e.map,sm1,158,80,records/scriptentities/trappoint_01.dbr,48.9521,7.903,65.4214
survivalworld_e.map,sm1,159,81,records/scriptentities/defensepoint_04.dbr,50.5922,8.7235,56.5982
survivalworld_e.map,sm1,203,86,records/scriptentities/spawnbeacon_02.dbr,94.7556,6.2835,15.9405
survivalworld_e.map,sm1,204,87,records/scriptentities/spawnpoint02.dbr,82.3997,7.0199,28.9462
survivalworld_e.map,sm1,222,92,records/scriptentities/trappoint_02.dbr,74.699,8.2199,32.5898
survivalworld_e.map,sm1,223,77,records/controllers/controlobjects/patrolpoint_01.dbr,66.5019,8.4445,40.5027
survivalworld_e.map,sm1,225,93,records/scriptentities/trappoint_08.dbr,75.3537,7.9144,41.4454
survivalworld_e.map,sm1,232,95,records/scriptentities/defensepoint_npc_04.dbr,68.8603,7.9501,48.2553
survivalworld_e.map,sm1,233,96,records/scriptentities/defensepoint_npc_01.dbr,66.0176,7.9505,52.4525
survivalworld_e.map,sm1,236,97,records/scriptentities/defensepoint_01.dbr,76.8736,7.9567,54.272
survivalworld_e.map,sm1,237,98,records/scriptentities/trappoint_06.dbr,76.8736,7.9567,54.272
survivalworld_e.map,sm1,238,77,records/controllers/controlobjects/patrolpoint_01.dbr,67.0138,8.3372,60.4696
survivalworld_e.map,sm1,240,77,records/controllers/controlobjects/patrolpoint_01.dbr,70.5738,8.6638,62.8461
survivalworld_e.map,sm1,242,101,records/scriptentities/trappoint_04.dbr,82.4914,7.9596,63.7631
survivalworld_e.map,sm1,243,77,records/controllers/controlobjects/patrolpoint_01.dbr,89.0119,8.1273,58.867
survivalworld_e.map,sm1,245,77,records/controllers/controlobjects/patrolpoint_01.dbr,90.4706,8.535,51.6337
survivalworld_e.map,sm1,249,102,records/scriptentities/spawnpoint04.dbr,110.099,4.0667,45.9272
survivalworld_e.map,sm1,279,106,records/scriptentities/tier09spawnpoint01.dbr,42.9272,7.03,71.5359
