id,skilltab,masterybar,charpaper
195,-0.0256,-0.0129,0.9098
196,-0.0311,-0.0139,0.911
197,-0.0337,-0.0164,0.9081
198,-0.0119,-0.0161,0.9115
199,-0.0349,-0.0131,0.9103
200,-0.0261,-0.0137,0.9115
201,-0.0277,-0.0176,0.9112
202,-0.0316,-0.0139,0.9084
203,-0.0199,-0.0128,0.9084
204,0.0095,-0.01,0.9084
205,0.008,-0.0117,0.9113
206,-0.0262,-0.014,0.9084
207,-0.0176,-0.0141,0.9113
208,-0.0471,-0.0148,0.9108
209,0.5079,1.0,-0.0344
210,0.8451,1.0,0.1424
211,0.3032,1.0,0.0329
212,0.9423,1.0,0.1429
213,0.9423,1.0,0.1429
214,0.9423,1.0,0.1429
215,-0.0296,-0.0398,0.0123
216,0.0279,-0.0167,0.9494
217,-0.0437,-0.0176,0.9623
218,-0.0434,-0.0188,0.928
219,0.0248,-0.0167,0.905
220,0.0059,-0.0153,0.7256
221,0.0133,-0.0176,0.4125
222,-0.016,-0.019,0.2158
223,-0.0439,-0.018,0.9599
224,-0.0435,-0.0156,0.9287
225,-0.044,-0.0199,0.9769
226,-0.044,-0.015,0.9382
227,-0.0441,-0.0181,0.9555
228,-0.0306,-0.0199,0.9319
229,-0.0374,-0.021,0.9301
230,-0.0189,-0.0145,0.9276
231,-0.0252,-0.0181,0.9588
232,-0.0428,-0.0149,0.9276
233,-0.0447,-0.018,0.9284
234,-0.0279,-0.0151,0.9792
235,-0.0369,-0.0177,0.9541
236,-0.0274,-0.0174,0.9439
237,-0.0335,-0.0191,0.9272
238,-0.036,-0.0148,0.9285
239,-0.0491,-0.0197,0.9271
240,0.6175,1.0,0.0171
241,0.9048,1.0,0.1424
242,0.4088,1.0,0.0329
243,0.9859,1.0,0.1429
244,0.9998,1.0,0.1429
245,0.9685,1.0,0.1429
246,0.1018,-0.1521,-0.0602
247,0.0063,0.0178,0.0777
248,0.0542,0.1733,0.0119
249,-0.0572,-0.0519,-0.0066
250,0.0308,0.0285,0.9134
251,-0.0124,0.0249,0.9784
252,-0.0122,0.0294,0.9582
253,0.0305,0.0258,0.8688
254,0.0095,0.0266,0.7167
255,0.0015,0.0291,0.292
256,-0.0094,0.0278,0.2159
257,-0.0114,0.0289,0.9601
258,-0.0114,0.0267,0.9624
259,-0.011,0.0284,0.9287
260,-0.011,0.0294,0.9753
261,-0.0108,0.0287,0.9511
262,0.0057,0.0287,0.962
263,0.004,0.0303,0.9649
264,0.0134,0.0325,0.9643
265,0.0139,0.0285,0.9605
266,0.0093,0.0311,0.9605
267,0.0091,0.0348,0.9461
268,0.0033,0.0327,0.958
269,0.0132,0.031,0.9653
270,-0.0098,0.0333,0.9635
271,0.0083,0.0319,0.9743
272,0.0075,0.0303,0.9788
273,0.5817,1.0,-0.0246
274,0.9065,1.0,0.1424
275,0.409,1.0,0.0329
276,0.997,1.0,0.1429
277,0.9841,1.0,0.1429
278,0.0378,-0.0495,0.0428
279,0.0199,-0.0399,-0.0955
280,0.0875,0.2142,0.0163
281,0.0716,-0.0552,0.0064
282,0.0872,0.2155,0.0148
283,0.022,0.036,-0.1181
284,-0.098,-0.0718,0.0482
285,-0.0279,-0.0179,0.0549
286,0.0917,-0.0189,-0.0717
287,-0.016,-0.0659,0.1434
288,0.0574,-0.0782,0.9604
289,0.0195,-0.0811,0.9508
290,0.0183,-0.0814,0.9997
291,0.0668,-0.0788,0.9116
292,0.0441,-0.0801,0.7084
293,0.0296,-0.0823,0.5461
294,0.0106,-0.0806,0.2944
295,0.0131,-0.0822,0.2099
296,0.0162,-0.0808,0.9996
297,0.0163,-0.0803,0.9536
298,0.0163,-0.0809,0.9981
299,0.0153,-0.057,0.9846
300,0.015,-0.0816,1.0
301,-0.0013,-0.08,0.9857
302,0.0139,-0.0826,0.9496
303,0.0177,-0.082,0.9822
304,0.0196,-0.0823,0.9519
305,0.0154,-0.0816,0.9509
306,0.0206,-0.0816,0.9822
307,0.0145,-0.0821,0.9593
308,0.0095,-0.0815,0.9545
309,0.0169,-0.0814,0.955
310,0.0428,-0.082,0.9479
311,0.0133,-0.0818,0.9508
312,0.0049,-0.0823,0.9995
313,-0.0048,-0.0828,0.9838
314,0.8145,1.0,0.1424
315,0.9012,1.0,0.1424
316,0.3877,1.0,0.0329
317,0.9894,1.0,0.1429
318,1.0,1.0,0.1429
319,0.9998,1.0,0.1429
320,0.0878,0.217,0.0149
321,0.0962,-0.0214,-0.1024
322,0.0492,-0.0333,0.0316
323,0.0257,-0.0244,0.9428
324,-0.033,-0.0257,0.9468
325,-0.0331,-0.0269,0.9282
326,0.0322,-0.0243,0.881
327,0.018,-0.0256,0.7099
328,0.0072,-0.0245,0.5297
329,-0.0219,-0.0254,0.292
330,-0.01,-0.0264,0.2128
331,-0.033,-0.0257,0.9549
332,-0.0329,-0.0246,0.9472
333,-0.033,-0.023,0.928
334,-0.033,-0.0476,0.9534
335,-0.033,-0.0259,0.9285
336,-0.0203,-0.0254,0.931
337,-0.0181,-0.0277,0.9386
338,-0.0307,-0.0229,0.9282
339,-0.0271,-0.027,0.93
340,-0.0203,-0.023,0.9282
341,-0.0226,-0.0245,0.9282
342,-0.0251,-0.023,0.9556
343,-0.025,-0.0284,0.9492
344,-0.0167,-0.0277,0.945
345,-0.0165,-0.0262,0.9309
346,-0.0241,-0.0242,0.9558
347,-0.0222,-0.0251,0.9451
348,0.5913,1.0,0.0246
349,0.8872,1.0,0.1424
350,0.375,1.0,0.0329
351,0.9521,1.0,0.1429
352,1.0,1.0,0.1429
