{'t_candidate': 799.5, 'sep': 0.46293699741363525, 't_change': 799.85, 'frame_idx': 99, 'n': 156, 'amb_frames': 0}
{'t_candidate': 980.5, 'sep': 0.12013101577758789, 't_change': 981.333, 'frame_idx': 128, 'n': 156, 'amb_frames': 0}
{'t_candidate': 997.5, 'sep': 0.17938882112503052, 't_change': 998.333, 'frame_idx': 128, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1010.5, 'sep': 0.13797533512115479, 't_change': 1011.383, 'frame_idx': 131, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1027.5, 'sep': 0.11598122119903564, 't_change': 1027.517, 'frame_idx': 79, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1038.5, 'sep': 0.18694347143173218, 't_change': 1038.517, 'frame_idx': 79, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1054.5, 'sep': 0.21118628978729248, 't_change': 1055.25, 'frame_idx': 123, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1066.5, 'sep': 0.043645262718200684, 't_change': 1067.45, 'frame_idx': 135, 'n': 156, 'amb_frames': 8}
{'t_candidate': 1076.5, 'sep': 0.09846776723861694, 't_change': 1076.517, 'frame_idx': 79, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1093.5, 'sep': 0.1777055263519287, 't_change': 1093.617, 'frame_idx': 85, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1114.5, 'sep': 0.12281954288482666, 't_change': 1114.7, 'frame_idx': 90, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1125.5, 'sep': 0.1123056411743164, 't_change': 1125.8, 'frame_idx': 96, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1142.5, 'sep': 0.24122172594070435, 't_change': 1142.867, 'frame_idx': 100, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1156.5, 'sep': 0.16801142692565918, 't_change': 1156.9, 'frame_idx': 102, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1169.5, 'sep': 0.07430005073547363, 't_change': 1169.983, 'frame_idx': 107, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1177.5, 'sep': 0.17680180072784424, 't_change': 1178.017, 'frame_idx': 109, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1193.5, 'sep': 0.1627274751663208, 't_change': 1193.55, 'frame_idx': 81, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1206.5, 'sep': 0.07075607776641846, 't_change': 1206.717, 'frame_idx': 91, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1220.5, 'sep': 0.0767214298248291, 't_change': 1220.783, 'frame_idx': 95, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1236.5, 'sep': 0.1824665069580078, 't_change': 1236.85, 'frame_idx': 99, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1246.5, 'sep': 0.16126954555511475, 't_change': 1246.967, 'frame_idx': 106, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1266.5, 'sep': 0.1317543387413025, 't_change': 1267.067, 'frame_idx': 112, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1278.5, 'sep': 0.17494243383407593, 't_change': 1279.1, 'frame_idx': 114, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1289.5, 'sep': 0.20250362157821655, 't_change': 1290.15, 'frame_idx': 117, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1307.5, 'sep': 0.08600389957427979, 't_change': 1308.267, 'frame_idx': 124, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1322.5, 'sep': 0.22734534740447998, 't_change': 1323.3, 'frame_idx': 126, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1344.5, 'sep': 0.2269270420074463, 't_change': 1345.067, 'frame_idx': 112, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1353.5, 'sep': 0.08444774150848389, 't_change': 1354.15, 'frame_idx': 117, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1369.5, 'sep': 0.04000890254974365, 't_change': 1370.4, 'frame_idx': 132, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1385.5, 'sep': 0.15841269493103027, 't_change': 1386.3, 'frame_idx': 126, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1401.5, 'sep': 0.06406104564666748, 't_change': 1402.483, 'frame_idx': 137, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1415.5, 'sep': 0.12203174829483032, 't_change': 1415.567, 'frame_idx': 82, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1426.5, 'sep': 0.24804264307022095, 't_change': 1426.667, 'frame_idx': 88, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1433.5, 'sep': 0.1976320743560791, 't_change': 1433.7, 'frame_idx': 90, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1445.5, 'sep': 0.1159161925315857, 't_change': 1445.883, 'frame_idx': 101, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1454.5, 'sep': 0.23770862817764282, 't_change': 1454.883, 'frame_idx': 101, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1476.5, 'sep': 0.20352768898010254, 't_change': 1477.15, 'frame_idx': 117, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1494.5, 'sep': 0.051943421363830566, 't_change': 1495.4, 'frame_idx': 132, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1509.5, 'sep': 0.033190011978149414, 't_change': 1510.45, 'frame_idx': 135, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1517.5, 'sep': 0.0687684416770935, 't_change': 1518.467, 'frame_idx': 136, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1532.5, 'sep': 0.19214719533920288, 't_change': 1532.617, 'frame_idx': 85, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1551.5, 'sep': 0.09395307302474976, 't_change': 1551.817, 'frame_idx': 97, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1566.5, 'sep': 0.20502829551696777, 't_change': 1566.85, 'frame_idx': 99, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1584.5, 'sep': 0.15393435955047607, 't_change': 1585.0, 'frame_idx': 108, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1594.5, 'sep': 0.07671773433685303, 't_change': 1595.1, 'frame_idx': 114, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1612.5, 'sep': 0.20948374271392822, 't_change': 1613.233, 'frame_idx': 122, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1632.5, 'sep': 0.21019786596298218, 't_change': 1633.083, 'frame_idx': 113, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1643.5, 'sep': 0.08103591203689575, 't_change': 1644.283, 'frame_idx': 125, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1661.5, 'sep': 0.07783949375152588, 't_change': 1661.533, 'frame_idx': 80, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1683.5, 'sep': 0.13325953483581543, 't_change': 1683.617, 'frame_idx': 85, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1696.5, 'sep': 0.162395179271698, 't_change': 1696.617, 'frame_idx': 85, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1711.5, 'sep': 0.12440681457519531, 't_change': 1711.75, 'frame_idx': 93, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1722.5, 'sep': 0.23313963413238525, 't_change': 1722.883, 'frame_idx': 101, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1739.5, 'sep': 0.21360909938812256, 't_change': 1739.9, 'frame_idx': 102, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1748.5, 'sep': 0.07669168710708618, 't_change': 1749.0, 'frame_idx': 108, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1760.5, 'sep': 0.23903143405914307, 't_change': 1761.1, 'frame_idx': 114, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1784.5, 'sep': 0.25647127628326416, 't_change': 1785.117, 'frame_idx': 115, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1797.5, 'sep': 0.11186480522155762, 't_change': 1798.233, 'frame_idx': 122, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1809.5, 'sep': 0.11114871501922607, 't_change': 1810.3, 'frame_idx': 126, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1823.5, 'sep': 0.1444050669670105, 't_change': 1824.417, 'frame_idx': 133, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1839.5, 'sep': 0.27799874544143677, 't_change': 1839.7, 'frame_idx': 90, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1860.5, 'sep': 0.16560089588165283, 't_change': 1860.883, 'frame_idx': 101, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1880.5, 'sep': 0.2933906316757202, 't_change': 1880.967, 'frame_idx': 106, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1893.5, 'sep': 0.252466082572937, 't_change': 1894.017, 'frame_idx': 109, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1905.5, 'sep': 0.13935256004333496, 't_change': 1906.133, 'frame_idx': 116, 'n': 156, 'amb_frames': 0}
{'t_candidate': 1922.5, 'sep': 0.18481022119522095, 't_change': 1923.35, 'frame_idx': 129, 'n': 156, 'amb_frames': 0}
{'t_candidate': 2004.5, 'sep': 0.057518601417541504, 't_change': 2005.483, 'frame_idx': 137, 'n': 156, 'amb_frames': 0}
{'t_candidate': 2012.5, 'sep': 0.06751513481140137, 't_change': 2012.55, 'frame_idx': 81, 'n': 156, 'amb_frames': 0}
{'t_candidate': 2021.5, 'sep': 0.07568240165710449, 't_change': 2021.617, 'frame_idx': 85, 'n': 156, 'amb_frames': 0}
{'t_candidate': 2032.5, 'sep': 0.1344996690750122, 't_change': 2032.667, 'frame_idx': 88, 'n': 156, 'amb_frames': 0}
{'t_candidate': 2044.5, 'sep': 0.13213026523590088, 't_change': 2044.833, 'frame_idx': 98, 'n': 156, 'amb_frames': 0}
{'t_candidate': 2063.5, 'sep': 0.0897442102432251, 't_change': 2063.833, 'frame_idx': 98, 'n': 156, 'amb_frames': 0}
{'t_candidate': 2077.5, 'sep': 0.17631679773330688, 't_change': 2077.9, 'frame_idx': 102, 'n': 156, 'amb_frames': 0}
{'t_candidate': 2095.5, 'sep': 0.16632843017578125, 't_change': 2096.0, 'frame_idx': 108, 'n': 156, 'amb_frames': 0}
{'t_candidate': 2108.5, 'sep': 0.06872415542602539, 't_change': 2109.067, 'frame_idx': 112, 'n': 156, 'amb_frames': 0}
{'t_candidate': 2124.5, 'sep': 0.21487796306610107, 't_change': 2125.167, 'frame_idx': 118, 'n': 156, 'amb_frames': 0}
{'t_candidate': 2151.5, 'sep': 0.2367229461669922, 't_change': 2151.6, 'frame_idx': 84, 'n': 156, 'amb_frames': 0}
{'t_candidate': 2164.5, 'sep': 0.08766072988510132, 't_change': 2164.767, 'frame_idx': 94, 'n': 156, 'amb_frames': 0}
{'t_candidate': 2242.5, 'sep': 0.056218743324279785, 't_change': 2243.217, 'frame_idx': 121, 'n': 156, 'amb_frames': 0}
