kit_id,family,tag,corpus_class,placed_in_574,e4_x,e4_y,e5_x_aligned,e5_y_aligned,displacement
d3-frenzy-h90,TRAP-MINE,ratified,annex,1,-0.103060,0.288330,-0.114946,-0.553937,0.842351
d3-manald-heal,TRAP-MINE,ratified,annex,1,-0.180872,0.392759,-0.157627,-0.332065,0.725196
d3-pestilence-lance,TRAP-MINE,ratified,annex,1,-0.342234,0.319309,-0.290321,-0.222721,0.544510
d4-payback-sb,TRAP-MINE,ratified,annex,1,-0.047674,-0.187263,0.022729,-0.430073,0.252811
hades1-zeus-chain,TRAP-MINE,ratified,annex,1,0.265677,0.591397,0.148107,-0.107478,0.708695
hot-landsknecht-grenades,TRAP-MINE,ratified,annex,1,0.109659,0.126115,-0.005185,0.001848,0.169208
hot-shieldmaiden-block,TRAP-MINE,ratified,annex,1,0.210526,-0.405250,0.090957,-0.318015,0.148009
le-healing-hands-paladin,TRAP-MINE,ratified,record,1,-0.152207,0.105693,-0.101776,-0.330666,0.439264
le-smite-paladin,TRAP-MINE,ratified,record,1,-0.058693,0.059714,0.070736,-0.447493,0.523460
poe1-aegis-max-block,TRAP-MINE,ratified,record,1,-0.294487,0.265010,-0.074374,-0.324463,0.629229
poe1-autobomber,TRAP-MINE,ratified,record,1,0.333171,0.317061,0.516859,-0.257021,0.602753
poe1-bladefall-bladeblast,TRAP-MINE,ratified,record,1,-0.770020,0.163815,-0.398626,-0.052602,0.429849
poe1-cwdt-loop,TRAP-MINE,ratified,record,1,0.307953,0.159095,0.266247,-0.083317,0.245974
poe1-detonate-dead,TRAP-MINE,ratified,record,1,-0.610847,0.299587,-0.456297,-0.130392,0.456911
poe1-lightning-conduit,TRAP-MINE,ratified,record,1,-0.413774,0.433658,-0.131486,-0.252299,0.741770
poe1-mjolner,TRAP-MINE,ratified,record,1,0.053227,0.624531,-0.156862,-0.813999,1.453790
poe1-soulrend,TRAP-MINE,ratified,record,1,0.126149,0.571286,0.166770,0.198803,0.374692
d2-bvc,WHIRLWIND,ratified,record,1,0.711353,-1.210550,0.955861,-0.852905,0.433236
d2-ww-barb,WHIRLWIND,ratified,record,1,0.862183,-1.086168,1.052372,-0.750981,0.385386
d2-ww-sin,WHIRLWIND,ratified,record,1,0.995627,-1.011647,1.087914,-0.756199,0.271607
d3-ww-wastes,WHIRLWIND,ratified,annex,1,0.989093,-1.012515,0.713894,-0.405152,0.666802
d4-blood-wave,WHIRLWIND,ratified,annex,1,0.106728,-0.693432,0.004904,-0.185542,0.517997
di-whirlwind-barb,WHIRLWIND,ratified,annex,1,1.057511,-1.561857,0.595225,-0.270149,1.371940
gd-eor-warlord,WHIRLWIND,ratified,record,1,1.003473,-1.052719,1.119406,-0.763323,0.311754
hades1-aspect-guan-yu,WHIRLWIND,ratified,annex,1,0.426257,-0.838615,0.240005,-0.368163,0.505980
le-warpath-vk,WHIRLWIND,ratified,record,1,1.023354,-1.282978,1.007880,-0.594700,0.688452
poe1-cyclone,WHIRLWIND,ratified,record,1,0.989093,-1.012515,1.109488,-0.743546,0.294684
poe2-twister,WHIRLWIND,ratified,record,1,0.642788,-0.954025,0.257375,0.133545,1.153842
tq2-whirlwind-rogue,WHIRLWIND,ratified,annex,1,1.110810,-1.489798,0.619168,-0.282394,1.303663
ud-cwc-spin-caster,WHIRLWIND,ratified,annex,1,0.913791,-0.954098,0.666762,-0.447349,0.563754
ud-whirlwind-str,WHIRLWIND,ratified,annex,1,1.006598,-1.361333,0.626889,-0.366077,1.065230
vs-fuwalafuwaloo,WHIRLWIND,ratified,annex,1,0.447507,-0.702264,0.199722,-0.422570,0.373666
chr-crown-proc-engine,TRAP-MINE,ratified,ABSENT-FROM-574,0,,,,,
