kit_id,corpus_class,court,supplementary,cutA_cluster,cutB_cluster,e4_x,e4_y,e5_x_aligned,e5_y_aligned
hot-warlock,annex,,1,A,,-0.144567,0.161124,-0.163275,-0.161341
la-arthetinean-skill-machinist,annex,,1,A,,-0.140370,0.192646,-0.263908,-0.116646
la-asuras-path-breaker,annex,,1,A,,-0.135821,0.251974,-0.041598,-0.569689
la-barrage-enhancement-artillerist,annex,,1,,,-0.533596,0.483425,-0.223274,-0.696684
la-berserkers-technique,annex,,1,A,,-0.233537,0.226125,-0.137592,-0.587927
la-blessed-aura-paladin,annex,,1,A,,-0.180051,0.080854,-0.103547,-0.484382
la-brawl-king-storm-breaker,annex,,1,A,,-0.184700,0.150248,-0.121622,-0.583306
la-communication-overflow-summoner,annex,,1,,,-0.236501,-0.109065,-0.269110,-0.132862
la-control-glaivier,annex,,1,,,-0.238521,-0.055850,-0.245708,-0.423991
la-death-strike-sharpshooter,annex,,1,A,,-0.244150,0.298224,-0.267555,-0.302138
la-deathblow-striker,annex,,1,A,,-0.184700,0.150248,-0.121622,-0.583306
la-demonic-impulse-shadowhunter,annex,,1,A,,-0.096269,0.089528,-0.087164,-0.610922
la-desperate-salvation-bard,annex,,1,A,,-0.182355,0.236709,-0.111929,-0.297615
la-drizzle-aeromancer,annex,,1,A,,-0.227519,0.188956,-0.157635,-0.263604
la-energy-overflow-soulfist,annex,,1,A,,-0.086984,0.176097,-0.025628,-0.565067
la-enhanced-weapon-deadeye,annex,,1,A,,-0.066991,0.249293,-0.164768,-0.356662
la-esoteric-flurry-striker,annex,,1,A,,-0.067778,0.129760,-0.055842,-0.557386
la-esoteric-skill-wardancer,annex,,1,A,,-0.213192,0.110016,-0.152944,-0.636842
la-evolutionary-legacy-machinist,annex,,1,A,,-0.267281,0.118992,-0.352185,-0.113042
la-ferality-wildsoul,annex,,1,,,,,,
la-first-intention-wardancer,annex,,1,A,,-0.214811,0.046303,-0.181547,-0.526025
la-full-bloom-artist,annex,,1,A,,-0.276355,0.264833,-0.173605,-0.268225
la-full-moon-souleater,annex,,1,A,,-0.213192,0.110016,-0.152944,-0.636842
la-grace-empress-arcanist,annex,,1,,,-0.041719,0.410863,-0.100747,-0.329607
la-gravity-training-destroyer,annex,,1,A,,-0.295703,0.163509,0.075787,-0.867047
la-hunger-reaper,annex,,1,A,,-0.067907,0.214776,-0.123687,-0.569909
la-igniter-sorceress,annex,,1,,,-0.533596,0.483425,-0.223274,-0.696684
la-judgment-paladin,annex,,1,E,,-0.314850,-0.004719,-0.234355,-0.409384
la-liberator-valkyrie,annex,,1,,,,,,
la-loyal-companion-sharpshooter,annex,,1,A,,-0.127227,0.277736,-0.201775,-0.276217
la-lunar-voice-reaper,annex,,1,,,0.049015,0.194288,-0.057906,-0.543989
la-master-summoner,annex,,1,E,,-0.402260,-0.012699,-0.345058,-0.161236
la-mayhem-berserker,annex,,1,A,,-0.067778,0.129760,-0.055842,-0.557386
la-nights-edge-souleater,annex,,1,,,-0.238521,-0.055850,-0.245708,-0.423991
la-order-emperor-arcanist,annex,,1,,,-0.041719,0.410863,-0.100747,-0.329607
la-peacemaker-gunslinger,annex,,1,,,-0.036540,0.292292,-0.131282,-0.299426
la-perfect-suppression-shadowhunter,annex,,1,A,,-0.096269,0.089528,-0.087164,-0.610922
la-phantom-beast-awakening-wildsoul,annex,,1,,,,,,
la-pinnacle-glaivier,annex,,1,A,,-0.213192,0.110016,-0.152944,-0.636842
la-predator-slayer,annex,,1,A,,-0.067778,0.129760,-0.055842,-0.557386
la-punisher-slayer,annex,,1,A,,-0.370149,0.146842,-0.232614,-0.584048
la-rage-hammer-destroyer,annex,,1,A,,-0.048704,0.145519,0.151123,-0.507535
la-rage-hammer-destroyer-bt,annex,,1,,,-0.488721,0.052970,-0.415842,-0.542588
la-recurrence-artist,annex,,1,,,-0.386473,0.123148,-0.327511,-0.201433
la-reflux-sorceress,annex,,1,A,,-0.240662,0.088937,-0.253495,-0.250480
la-remaining-energy-deathblade,annex,,1,A,,-0.096269,0.089528,-0.087164,-0.610922
la-robust-spirit-soulfist,annex,,1,A,,-0.389355,0.193179,-0.202399,-0.591729
la-shining-knight-valkyrie,annex,,1,,,,,,
la-shock-training-scrapper,annex,,1,A,,-0.389355,0.193179,-0.202399,-0.591729
la-surge-deathblade,annex,,1,A,,-0.213192,0.110016,-0.152944,-0.636842
la-taijutsu-scrapper,annex,,1,A,,-0.086984,0.176097,-0.025628,-0.565067
la-time-to-hunt-gunslinger,annex,,1,,,0.073584,0.326662,-0.063570,-0.192869
la-wind-fury-aeromancer,annex,,1,A,,-0.215496,0.265871,-0.161326,-0.450076
mcd-dynamo-torment,annex,,1,,,-0.520589,0.430903,-0.264254,-0.670790
mcd-fireworks,annex,,1,A,,-0.408687,0.142476,-0.318810,-0.231598
mcd-soul,annex,,1,,,0.659391,-0.062023,0.441331,-0.340253
mcd-speed,annex,,1,A,,-0.103553,0.041470,-0.218527,-0.361809
mcd-summoner,annex,,1,,,-0.629418,-0.073622,-0.590017,-0.131213
tl1-alchemist-summoner,annex,,1,,,0.628724,-1.351477,0.504612,-0.152028
tl1-ricochet-vanquisher,annex,,1,,,0.167721,0.621343,0.064414,0.019317
tl2-arc-beam,annex,,1,,,1.627558,-0.455826,1.128305,-0.418945
tl2-bot-engineer,annex,,1,,,-0.591191,-0.938119,-0.711742,-0.070024
tl2-cannon-engineer,annex,,1,,,0.136185,-0.133175,0.029654,-0.143554
tl2-emberquake-engineer,annex,,1,,,0.329442,-0.607963,0.005435,-0.284607
tl2-flame-hammer-engineer,annex,,1,,,-0.301665,-0.299986,-0.249915,-0.490475
tl2-glaive-outlander,annex,,1,B,,0.424690,0.569293,0.225134,-0.009517
tl2-hailstorm-embermage,annex,,1,A,,-0.163617,0.255036,-0.173873,-0.157227
tl2-prismatic-embermage,annex,,1,B,,0.308535,0.529482,0.083274,-0.039943
tl2-shadowling-outlander,annex,,1,,,-0.396562,-0.687241,-0.505901,-0.163867
tl2-shotgonne-outlander,annex,,1,,,0.746300,0.277751,0.223617,-0.057882
tl2-wolf-shade-berserker,annex,,1,,,-0.169169,-0.305353,-0.196155,-0.696746
tli-carino2-lethal-flash,annex,,1,D,,0.130536,0.357753,-0.025719,-0.429088
tli-erika3-vendetta,annex,,1,A,,0.093450,0.158809,0.046129,-0.701619
tli-gemma-frost-caster,annex,,1,,,0.404020,0.391362,0.241861,0.011653
tli-iris2-thunder-magus,annex,,1,C,,-0.043999,-0.460013,-0.092739,-0.057057
tli-moto-bots,annex,,1,,,-0.591191,-0.938119,-0.711742,-0.070024
tli-rehan-berserker,annex,,1,,,-0.216711,-0.270695,-0.193391,-0.507654
tli-rosa-unsullied,annex,,1,,,0.081915,0.045258,0.007025,-0.631170
tli-sage-elixir,annex,,1,,,,,,
tli-youga-spirit-magus,annex,,1,,,0.156310,-0.578817,0.060906,-0.058924
tq-battlemage-warfare-earth,annex,,1,,,-0.311778,-0.435923,-0.375289,-0.254069
tq-brigand-poison,annex,,1,,,0.046537,0.437487,-0.056984,-0.132744
tq-calculated-strike,annex,,1,,,-0.383034,-0.151729,-0.269470,-0.611807
tq-distortion-templar,annex,,1,C,,0.015882,-0.488976,-0.163825,-0.102175
tq-dream-harbinger,annex,,1,,,-0.024849,-0.438627,-0.183814,-0.726446
tq-druid-squall-caster,annex,,1,A,,-0.300854,0.139571,-0.274595,-0.149938
tq-elementalist-volcanic-storm,annex,,1,D,,0.200415,0.326742,0.094364,-0.061881
tq-flame-surge,annex,,1,,,0.858693,0.178737,0.343468,-0.287876
tq-ice-shard-oracle,annex,,1,B,,0.300724,0.626891,0.158160,-0.020930
tq-liche-king-conjurer,annex,,1,,,-0.249175,-0.432430,-0.170959,0.115181
tq-marksmanship-haruspex,annex,,1,B,,0.283571,0.551296,0.120116,-0.199050
tq-onslaught-assassin,annex,,1,A,,0.069039,0.144650,0.026326,-0.779588
tq-petmaster-summoner,annex,,1,,,0.071358,-1.268322,-0.055382,-0.177299
tq-phantom-strike-dreamkiller,annex,,1,,,-0.389985,-0.396086,-0.564670,-0.552006
tq-ranger-hunting-nature,annex,,1,,,0.085236,-0.062343,-0.111686,-0.304694
tq-rune-weapon-thunderer,annex,,1,,,0.031742,-0.335416,-0.068183,-0.581324
tq-shield-charge-conqueror,annex,,1,,,-0.040799,-0.741599,0.021157,-0.336887
tq-ternion-bone-charmer,annex,,1,,,0.587585,0.457930,0.253223,-0.011501
tq-thane-storm-warfare,annex,,1,C,,0.079530,-0.227325,-0.014721,-0.541081
tq-trap-magician,annex,,1,,,-0.760271,-0.209236,-0.815766,-0.167897
tq-warlock-poison-vitality,annex,,1,,,-0.044996,-0.028395,-0.084572,-0.657236
tq2-bastion-tank,annex,,1,,,-0.246529,-0.448816,-0.184792,-0.456335
tq2-elementalist,annex,,1,D,,0.201919,0.385931,0.118832,-0.156679
tq2-forge-turrets,annex,,1,,,-0.813569,-0.281295,-0.802856,-0.140577
tq2-stormblade-ice-shards,annex,,1,B,,0.288823,0.485696,0.194500,-0.284591
tq2-whirlwind-rogue,annex,,1,,,1.110810,-1.489798,0.619168,-0.282394
ud-cwc-spin-caster,annex,,1,,,0.913791,-0.954098,0.666762,-0.447349
ud-flamethrower-channel,annex,,1,,,1.390252,-0.321222,0.653074,-0.131025
ud-ice-crystal-arrow,annex,,1,B,,0.344398,0.636349,0.172486,0.044984
ud-illusion-family,annex,,1,A,,-0.074247,0.247661,-0.178891,-0.223512
ud-lightning-vortex,annex,,1,A,,0.141400,0.149714,0.159820,-0.262608
ud-multishot-link,annex,,1,,,,,,
ud-seal-veil-daimonios,annex,,1,,,-0.111432,-0.154655,-0.228694,-0.192240
ud-snowstorm-frost,annex,,1,A,,-0.133704,0.252004,-0.115248,-0.212334
ud-spread-rapid-dex,annex,,1,B,,0.376239,0.571780,0.214550,-0.156970
ud-summon-strand,annex,,1,C,,0.082463,-0.522094,-0.126174,-0.020032
ud-toxic-flame,annex,,1,A,,-0.101078,0.251721,-0.164204,-0.276937
ud-whirlwind-str,annex,,1,,,1.006598,-1.361333,0.626889,-0.366077
vs-big-trouser,annex,,1,,,,,,
vs-bloody-tear,annex,,1,C,,0.287547,-0.219378,0.152365,-0.359233
vs-death-spiral,annex,,1,C,,0.500421,-0.148813,0.298259,-0.193174
vs-fuwalafuwaloo,annex,,1,,,0.447507,-0.702264,0.199722,-0.422570
vs-gatti-amari,annex,,1,A,,-0.227903,0.096567,-0.505440,0.053792
vs-gorgeous-moon,annex,,1,D,,0.188394,0.206309,0.132556,-0.262627
vs-heaven-sword,annex,,1,,,0.483846,0.181355,0.241917,-0.072477
vs-hellfire,annex,,1,D,,0.219138,0.170417,0.100357,-0.087266
vs-holy-wand,annex,,1,B,,0.277525,0.517290,0.025026,-0.068931
vs-infinite-corridor-crimson-shroud,annex,,1,,,0.527266,0.074745,0.194383,-0.150854
vs-je-ne-viv,annex,,1,A,,0.135012,0.166064,0.036900,-0.184398
vs-la-borra,annex,,1,,,0.222729,-0.075981,0.033321,-0.120517
vs-out-of-bounds-freeze,annex,,1,,,-0.487443,0.245437,-0.451581,-0.389731
vs-phieraggi,annex,,1,,,0.703796,-0.026649,0.425181,-0.125744
vs-queen-sigma,annex,,1,,,0.267702,-0.115483,0.330458,-0.389107
vs-red-death,annex,,1,,,0.518462,-0.217195,0.379429,-0.182542
vs-runetracer-no-future,annex,,1,B,,0.376589,0.678361,0.161727,0.036487
vs-soul-eater,annex,,1,,,0.416758,-0.616675,0.303402,-0.276615
vs-thousand-edge,annex,,1,B,,0.370193,0.537775,0.119460,-0.026850
vs-thunder-loop,annex,,1,A,,-0.216888,0.057398,-0.295841,-0.610713
vs-unholy-vespers,annex,,1,C,,0.430585,-0.196212,0.275933,-0.415047
vs-vandalier,annex,,1,D,,0.204100,0.176486,-0.018803,-0.020850
vs-vlad-dracula,annex,,1,E,,-0.346175,0.039355,-0.273524,-0.262437
d2-auradin,record,lightning,0,,C,0.417800,-0.066958,0.278157,-1.047543
d2-avenger,record,fire,0,,C,0.005586,0.096389,-0.088523,-1.193631
d2-berserker,record,,0,A,C,-0.085191,0.072375,-0.139819,-1.290993
d2-blade-sin,record,physical,0,,A,0.987957,-0.337647,0.821867,0.135514
d2-blaze-sorc,record,fire,0,C,A,0.203564,-0.356041,0.295908,-0.229054
d2-blizzard-sorc,record,cold,0,A,B,-0.151281,0.374045,-0.335755,0.022237
d2-bonemancer,record,,0,B,A,0.274214,0.555317,0.246937,0.171310
d2-bowazon,record,physical,0,B,A,0.278840,0.610443,0.228077,0.079500
d2-bvc,record,physical,0,,E,0.711353,-1.210550,0.955861,-0.852905
d2-charger,record,physical,0,,A,-0.192469,-0.115431,0.320113,-0.378564
d2-conc-barb,record,physical,0,,C,-0.056338,-0.056093,-0.133410,-1.301644
d2-daggermancer,record,chaos-poison,0,A,C,-0.055559,0.065401,-0.118651,-1.200065
d2-enchantress,record,fire,0,,B,-0.277042,-0.166991,-0.245845,-0.413381
d2-fire-druid,record,fire,0,A,B,-0.169166,0.332423,-0.204627,-0.070596
d2-fire-sorc,record,fire,0,A,A,-0.175732,0.214517,0.016972,0.038201
d2-fireclaw-wolf,record,fire,0,,C,-0.137442,-0.056460,-0.219177,-1.247339
d2-firewall-sorc,record,fire,0,D,B,0.214885,0.202129,-0.090413,0.096544
d2-fishyzon,record,physical,0,B,A,0.144594,0.512251,0.121392,0.084783
d2-fohdin,record,lightning,0,A,A,-0.270197,0.259722,0.045980,-0.107879
d2-frenzy-barb,record,physical,0,A,C,-0.069592,0.076645,-0.128134,-1.405242
d2-frost-bowazon,record,cold,0,D,A,0.240078,0.374131,0.288236,0.110714
d2-frozen-orb-sorc,record,cold,0,B,A,0.284324,0.530675,0.563824,-0.210875
d2-fury-wolf,record,physical,0,A,C,-0.124632,0.095529,-0.241154,-1.099163
d2-ghost-pvp,record,physical,0,,D,-0.580791,-0.030415,-0.825348,-0.209285
d2-golemancer,record,physical,0,F,D,-0.506036,-0.127506,-1.225968,0.102552
d2-grim-ward-barb,record,physical,0,,D,-0.635751,0.027315,-1.236849,0.065572
d2-hammerdin,record,,0,,E,0.420488,0.138742,0.629995,-0.360575
d2-horker,record,physical,0,A,E,-0.142095,0.207063,0.461323,-0.789367
d2-hydra-sorc,record,fire,0,,D,-0.686750,-0.272817,-1.015200,0.054006
d2-impale-zon,record,physical,0,,C,-1.214874,0.147786,-0.568533,-1.890746
d2-inferno-sorc,record,fire,0,,E,1.574849,-0.751849,1.910394,-0.220418
d2-javazon,record,lightning,0,,A,0.337474,0.756792,0.306522,0.118645
