bc6,bc5,status,kit_count,neg_count,distinct_games,games,tier_mix,distinct_era_count,year_span,cross_decade,lineage_present,lineage,gx_families,occupied_by,occupied_exact_commit,ruled_weight
_DMFLI,_DMFL,genre-attested,3,0,2,hot|vs,T3:3,4,2,,,,GX-09|GX-11,,,12
WDMFHI,WDMFH,genre-attested,2,0,2,d3|le,T1:2,6,7,,,,GX-09|GX-18-proposed|GX-19,,,12
IDMFHI,IDMFH,genre-attested,2,0,2,chronicon|poe1,T1:1;T2:1,5,6,,,,GX-04,,,10
SMLSSW,SMLSS,occupied-by-us,2,2,1,poe2,T1:2,5,0,,,,GX-03,K1,K1,10
WMMSSI,WMMSS,genre-attested,2,1,2,d3|d4,T1:2,5,11,Y,,,GX-01|GX-02|GX-03,,,10
WRHFHI,WRHFH,genre-attested,2,0,2,d3|poe1,T1:2,5,1,,,,GX-11,,,10
_MHSSI,_MHSS,genre-attested,3,0,2,hades1|vs,T2:1;T3:2,3,0,,,,GX-01|GX-03,,,9
_MMFSI,_MMFS,genre-attested,3,0,2,hades1|hot,T2:1;T3:2,3,0,,,,GX-06|GX-07|GX-09,,,9
DMHFSC,DMHFS,occupied-by-us,2,0,2,poe1|tq2,T1:1;T2:1,4,0,,Y,genre/spin,,K6,,8
DMHSLI,DMHSL,genre-attested,2,0,2,le|tl2,T1:1;T2:1,4,0,,,,GX-11,,,8
DMHSSI,DMHSS,genre-attested,2,0,2,d2|di,T1:1;T2b:1,4,22,Y,Y,d2/phoenix-strike,GX-01,,,8
DMLFSI,DMLFS,genre-attested,2,0,2,d4|poe2,T1:2,4,1,,,,GX-01,,,8
DMMFSI,DMMFS,genre-attested,2,0,2,di|tq,T2:1;T2b:1,4,16,Y,,,,,,8
DRHFLI,DRHFL,occupied-by-us,2,0,2,d2|undecember,T1:1;T2b:1,4,22,Y,,,,K10,,8
IDMFLI,IDMFL,genre-attested,2,0,2,d2|le,T1:2,4,19,Y,,,GX-18-proposed,,,8
IRHFSC,IRHFS,genre-attested,2,0,1,gd,T1:2,4,0,,,,GX-06,,,8
IRLFLI,IRLFL,genre-attested,2,0,2,d4|gd,T1:2,4,7,,,,GX-03,,,8
IRLSSI,IRLSS,occupied-by-us,2,0,2,chronicon|gd,T1:1;T2:1,4,3,,,,GX-03,K13,,8
SMHSSI,SMHSS,genre-attested,2,0,2,chronicon|tli,T2:2,4,0,,,,GX-02,,,8
SMMSSW,SMMSS,genre-attested,2,0,1,poe1,T1:2,4,0,,,,,,,8
WDLFHI,WDLFH,genre-attested,2,0,2,d2|gd,T1:2,4,16,Y,,,GX-19,,,8
_RMSSI,_RMSS,genre-attested,3,0,2,hot|vs,T3:3,2,2,,,,GX-12,,,6
IDHVLI,IDHVL,genre-attested,2,0,2,d3|d4,T1:2,3,11,Y,,,GX-09,,,6
IMMFLI,IMMFL,genre-attested,2,0,1,d2,T1:2,3,0,,,,,,,6
IRHSHI,IRHSH,genre-attested,2,0,1,poe1,T1:2,3,0,,,,,,,6
SDMSSI,SDMSS,genre-attested,2,0,2,tl2|tq,T2:2,3,0,,,,,,,6
SMMFLI,SMMFL,genre-attested,2,0,2,di|tl2,T2:1;T2b:1,3,0,,,,GX-02|GX-09,,,6
WMLFSI,WMLFS,genre-attested,2,0,2,chronicon|d4,T1:1;T2:1,3,4,,,,GX-02|GX-07,,,6
_RLSSI,_RLSS,genre-attested,2,0,2,hot|vs,T3:2,3,2,,,,,,,6
_____I,_____,genre-attested,2,0,1,hot,T3:2,3,0,,,,GX-14,,,6
DMMSLI,DMMSL,genre-attested,1,0,1,poe2,T1:1,5,0,,,,GX-03,,,5
IDHFHI,IDHFH,genre-attested,1,0,1,poe1,T1:1,5,0,,,,,,,5
WDLFSI,WDLFS,genre-attested,1,0,1,poe1,T1:1,5,0,,,,,,,5
_MHVSI,_MHVS,genre-attested,1,0,1,poe2,T1:1,5,0,,,,GX-07,,,5
SRMFHI,SRMFH,genre-attested,2,0,2,tl2|tli,T2:2,2,0,,,,GX-19,,,4
DDHVLI,DDHVL,genre-attested,1,0,1,poe2,T1:1,4,0,,,,GX-09,,,4
IDLSHI,IDLSH,occupied-by-us,1,0,1,d2,T1:1,4,0,,,,,K17,,4
SMMFSC,SMMFS,genre-attested,1,0,1,d2,T1:1,4,0,,,,,,,4
DDHSHI,DDHSH,genre-attested,1,0,1,le,T1:1,3,0,,,,GX-11|GX-19,,,3
DDHSSI,DDHSS,genre-attested,1,0,1,d3,T1:1,3,0,,,,GX-16,,,3
DDLSHI,DDLSH,occupied-by-us,1,0,1,d2,T1:1,3,0,,,,,K11,,3
DMMFHI,DMMFH,genre-attested,1,0,1,chronicon,T2:1,3,0,,,,,,,3
DRMSLI,DRMSL,genre-attested,1,0,1,d3,T1:1,3,0,,,,,,,3
IDHVSI,IDHVS,genre-attested,1,0,1,poe1,T1:1,3,0,,,,,,,3
IDLSSC,IDLSS,occupied-by-us,1,0,1,poe1,T1:1,3,0,,,,,K14,,3
SMHFLC,SMHFL,genre-attested,1,0,1,d4,T1:1,3,0,,,,GX-09,,,3
SMHFLI,SMHFL,genre-attested,1,0,1,gd,T1:1,3,0,,,,GX-09,,,3
SMHSLI,SMHSL,genre-attested,1,0,1,d3,T1:1,3,0,,,,,,,3
SMLSLW,SMLSL,occupied-by-us,1,0,1,le,T1:1,3,0,,,,GX-11,K5,,3
WDHSLI,WDHSL,genre-attested,1,0,1,d3,T1:1,3,0,,,,GX-03,,,3
WMHFHI,WMHFH,genre-attested,1,0,1,le,T1:1,3,0,,,,,,,3
WMHFSW,WMHFS,genre-attested,1,0,1,d2,T1:1,3,0,,,,,,,3
WMHVSI,WMHVS,occupied-by-us,1,1,1,d3,T1:1,3,0,,,,GX-03,K23,,3
__MSSW,__MSS,genre-attested,1,0,1,hades2,T2:1,3,0,,,,GX-05,,,3
IDHFLI,IDHFL,genre-attested,2,0,1,poe1,T1:2,1,0,,,,,,,2
DDHFLI,DDHFL,genre-attested,1,0,1,di,T2b:1,2,0,,,,GX-11,,,2
DDHSLI,DDHSL,genre-attested,1,0,1,le,T1:1,2,0,,,,GX-03,,,2
DDHVSI,DDHVS,genre-attested,1,0,1,poe2,T1:1,2,0,,,,,,,2
DDLFHI,DDLFH,genre-attested,1,0,1,chronicon,T2:1,2,0,,,,,,,2
DDMFLI,DDMFL,genre-attested,1,0,1,undecember,T2b:1,2,0,,,,GX-11,,,2
DDMSSI,DDMSS,genre-attested,1,0,1,gd,T1:1,2,0,,,,,,,2
DMHFLC,DMHFL,genre-attested,1,0,1,d2,T1:1,2,0,,,,,,,2
DMHVSI,DMHVS,occupied-by-us,1,1,1,poe2,T1:1,2,0,,,,GX-07,K9c,,2
DMMSSC,DMMSS,genre-attested,1,0,1,poe1,T1:1,2,0,,,,,,,2
DRHFSC,DRHFS,occupied-by-us,1,0,1,d3,T1:1,2,0,,,,GX-01,K7,,2
DRMSHI,DRMSH,genre-attested,1,0,1,poe1,T1:1,2,0,,,,,,,2
DRMSSC,DRMSS,genre-attested,1,0,1,poe1,T1:1,2,0,,,,,,,2
IDHSLI,IDHSL,genre-attested,1,0,1,chronicon,T2:1,2,0,,,,GX-10,,,2
IDMSHI,IDMSH,genre-attested,1,0,1,gd,T1:1,2,0,,,,GX-04,,,2
IRHFLI,IRHFL,genre-attested,1,0,1,d3,T1:1,2,0,,,,GX-11,,,2
IRLSHI,IRLSH,genre-attested,1,0,1,d3,T1:1,2,0,,,,,,,2
IRLSSW,IRLSS,occupied-by-us,1,0,1,d3,T1:1,2,0,,,,GX-07,K13,,2
SDMVSI,SDMVS,genre-attested,1,0,1,poe1,T1:1,2,0,,,,,,,2
SMHVSI,SMHVS,genre-attested,1,0,1,poe1,T1:1,2,0,,,,,,,2
SMMSSC,SMMSS,genre-attested,1,0,1,d2,T1:1,2,0,,,,,,,2
WDHFSC,WDHFS,genre-attested,1,0,1,d4,T1:1,2,0,,,,GX-04,,,2
WDMFLI,WDMFL,genre-attested,1,0,1,d3,T1:1,2,0,,,,,,,2
WDMSSI,WDMSS,genre-attested,1,0,1,d3,T1:1,2,0,,,,GX-03,,,2
WDMVLI,WDMVL,genre-attested,1,0,1,d2,T1:1,2,0,,,,,,,2
WMHFLC,WMHFL,genre-attested,1,0,1,d3,T1:1,2,0,,,,,,,2
WMHFSC,WMHFS,genre-attested,1,0,1,d3,T1:1,2,0,,,,GX-01,,,2
WMLFLI,WMLFL,genre-attested,1,0,1,d2,T1:1,2,0,,,,,,,2
WMLFLW,WMLFL,genre-attested,1,0,1,d2,T1:1,2,0,,,,,,,2
WMMFHI,WMMFH,genre-attested,1,0,1,d3,T1:1,2,0,,,,,,,2
WRHFSI,WRHFS,genre-attested,1,1,1,d3,T1:1,2,0,,,,,,,2
WRHVLI,WRHVL,genre-attested,1,0,1,poe1,T1:1,2,0,,,,,,,2
WRLSLI,WRLSL,genre-attested,1,0,1,d3,T1:1,2,0,,,,GX-01,,,2
WRMFLI,WRMFL,genre-attested,1,0,1,poe1,T1:1,2,0,,,,,,,2
WRMSSC,WRMSS,genre-attested,1,0,1,poe1,T1:1,2,0,,,,,,,2
WRMSSI,WRMSS,genre-attested,1,0,1,d2,T1:1,2,0,,,,,,,2
_DHFLI,_DHFL,genre-attested,1,0,1,vs,T3:1,2,0,,,,,,,2
_DLFLI,_DLFL,genre-attested,1,0,1,vs,T3:1,2,0,,,,GX-18,,,2
_DLSSI,_DLSS,genre-attested,1,0,1,vs,T3:1,2,0,,,,GX-18,,,2
_MLSSW,_MLSS,genre-attested,1,0,1,hades2,T2:1,2,0,,,,GX-03,,,2
_RMFLC,_RMFL,genre-attested,1,0,1,hades2,T2:1,2,0,,,,GX-19,,,2
_RMFSI,_RMFS,genre-attested,1,0,1,hades2,T2:1,2,0,,,,GX-15,,,2
_R_F__,_R_F_,genre-attested,1,0,1,undecember,T2b:1,2,0,,,,,,,2
___F__,___F_,genre-attested,1,0,1,hades1,T2:1,2,0,,,,GX-15,,,2
____SI,____S,genre-attested,1,0,1,vs,T3:1,2,0,,,,,,,2
DDHFSC,DDHFS,occupied-by-us,1,0,1,d4,T1:1,1,0,,,,GX-01,K9f,,1
DDLFSI,DDLFS,genre-attested,1,1,1,undecember,T2b:1,1,0,,,,,,,1
DRMSLC,DRMSL,genre-attested,1,0,1,poe2,T1:1,1,0,,,,GX-11,,,1
IDHFLC,IDHFL,genre-attested,1,0,1,poe1,T1:1,1,0,,,,,,,1
IDHSSI,IDHSS,genre-attested,1,0,1,di,T2b:1,1,0,,,,GX-04,,,1
IDLFHI,IDLFH,genre-attested,1,1,1,d2,T1:1,1,0,,,,,,,1
IDMVLI,IDMVL,genre-attested,1,0,1,d2,T1:1,1,0,,,,,,,1
IMHFLI,IMHFL,genre-attested,1,0,1,poe1,T1:1,1,0,,,,,,,1
IMHVSI,IMHVS,genre-attested,1,0,1,d4,T1:1,1,0,,,,GX-09,,,1
IRHFHI,IRHFH,genre-attested,1,0,1,poe1,T1:1,1,0,,,,,,,1
IRMFLC,IRMFL,genre-attested,1,0,1,tl1,T2:1,1,0,,,,,,,1
IRMSLI,IRMSL,genre-attested,1,1,1,di,T2b:1,1,0,,,,,,,1
IRM_S_,IRM_S,genre-attested,1,0,1,d2,T1:1,1,0,,,,,,,1
SDMFLI,SDMFL,genre-attested,1,0,1,d4,T1:1,1,0,,,,GX-03,,,1
WDHFLI,WDHFL,genre-attested,1,0,1,d3,T1:1,1,0,,,,GX-04|GX-06,,,1
WMLSSI,WMLSS,genre-attested,1,0,1,d2,T1:1,1,0,,,,,,,1
WRMSHI,WRMSH,genre-attested,1,0,1,poe1,T1:1,1,0,,,,,,,1
WRMVHI,WRMVH,genre-attested,1,0,1,poe2,T1:1,1,0,,,,GX-07,,,1
_DLSSW,_DLSS,genre-attested,1,0,1,hades2,T2:1,1,0,,,,GX-14,,,1
_MMFLI,_MMFL,genre-attested,1,0,1,hot,T3:1,1,0,,,,GX-11,,,1
_MMSSW,_MMSS,genre-attested,1,0,1,hades1,T2:1,1,0,,,,GX-03,,,1
DDMFSC,DDMFS,genre-negative,0,1,0,,,0,0,,,,,,,0
DDMFSI,DDMFS,genre-negative,0,2,0,,,0,0,,,,,,,0
DMLSSW,DMLSS,genre-negative,0,1,0,,,0,0,,,,,,,0
DMMVSC,DMMVS,genre-negative,0,1,0,,,0,0,,,,,,,0
IMHFSC,IMHFS,occupied-by-us,0,1,0,,,0,0,,,,,K15,,0
IMMVHI,IMMVH,genre-negative,0,1,0,,,0,0,,,,,,,0
SDLFLI,SDLFL,genre-negative,0,1,0,,,0,0,,,,,,,0
SMLFLI,SMLFL,genre-negative,0,1,0,,,0,0,,,,,,,0
WDMFSI,WDMFS,genre-negative,0,1,0,,,0,0,,,,,,,0
_DLVHI,_DLVH,genre-negative,0,1,0,,,0,0,,,,,,,0
___S__,___S_,genre-negative,0,1,0,,,0,0,,,,,,,0
