track_id,wave,t_start,t_end,dur_s,n_frames,classification,r_start_gpx,r_end_gpx,r_min_gpx,blocked_frac,still_frac,max_blocked_dwell_s,med_speed_gpx_s,med_v_radial_gpx_s,med_v_tangential_gpx_s,tang_ratio_moving,tang_path_gpx,radial_path_gpx
W151-T14,151,690.817,691.733,0.917,70,APPROACH-DIRECT,707.9,226.8,226.8,0.446,0.0,0.0,357.0,326.5,151.9,0.3,135.0,326.0
W151-T15,151,693.467,695.067,1.6,65,IN-CONTACT,82.0,144.5,60.4,0.196,0.118,0.0,218.6,11.5,169.5,0.902,320.0,195.0
W151-T16,151,691.517,692.717,1.2,63,APPROACH-DIRECT,819.7,790.6,735.6,0.878,0.0,0.0,469.8,446.6,207.4,0.369,226.0,708.0
W151-T17,151,691.517,692.517,1.0,63,INDETERMINATE,116.4,457.8,116.4,0.51,0.612,0.367,32.8,-14.9,29.9,0.75,172.0,132.0
W151-T18,151,690.733,691.917,1.183,60,APPROACH-DIRECT,612.0,251.0,70.8,0.804,0.0,0.0,427.2,105.5,171.2,0.432,235.0,403.0
W151-T19,151,691.083,691.833,0.75,60,INDETERMINATE,839.8,859.0,829.5,0.783,0.0,0.0,366.5,-331.2,159.8,0.454,130.0,247.0
W152-T01,152,705.733,714.5,8.767,467,INDETERMINATE,670.0,118.7,9.1,0.285,0.377,0.217,66.8,5.9,20.0,0.24,426.0,1049.0
W152-T02,152,704.367,710.933,6.567,361,APPROACH-DIRECT,998.3,302.3,106.3,0.378,0.378,0.233,286.2,69.3,76.0,0.392,702.0,1283.0
W152-T03,152,705.25,710.067,4.817,299,APPROACH-DIRECT,969.3,321.2,321.2,0.467,0.267,0.367,128.5,76.1,74.8,0.683,425.0,497.0
W152-T04,152,705.15,709.883,4.733,288,APPROACH-DIRECT,1172.2,398.2,398.2,0.723,0.237,0.25,110.1,65.7,74.5,0.626,541.0,731.0
W152-T05,152,705.767,710.183,4.417,280,APPROACH-DIRECT,1007.2,392.7,392.7,0.793,0.184,0.267,107.3,86.6,39.0,0.594,276.0,403.0
W152-T06,152,701.683,706.417,4.733,276,INDETERMINATE,830.6,1046.2,404.5,0.466,0.21,0.417,114.6,59.7,24.7,0.285,326.0,559.0
W152-T07,152,699.3,703.733,4.433,252,INDETERMINATE,939.5,629.7,289.3,0.214,0.151,0.0,104.5,-8.1,30.4,0.229,339.0,537.0
W152-T08,152,706.15,710.283,4.133,249,INDETERMINATE,787.1,120.0,120.0,0.272,0.379,0.183,70.4,39.0,46.2,0.461,346.0,520.0
W152-T09,152,709.567,713.983,4.417,228,UNBLOCKED-NO-TEST,18.2,347.2,18.2,0.196,0.402,0.0,56.7,-0.2,52.7,0.846,651.0,228.0
W152-T10,152,706.933,710.333,3.4,203,APPROACH-DIRECT,674.0,103.0,27.1,0.64,0.0,0.0,242.3,72.7,94.3,0.441,334.0,663.0
W152-T11,152,705.35,708.117,2.767,169,APPROACH-DIRECT,862.7,204.5,124.0,0.174,0.394,0.0,201.3,119.5,40.7,0.336,298.0,503.0
W152-T12,152,703.733,706.367,2.633,164,APPROACH-DIRECT,784.5,170.3,148.1,0.093,0.02,0.0,457.5,434.6,162.5,0.337,462.0,1084.0
W152-T13,152,704.15,706.367,2.217,148,INDETERMINATE,972.0,620.8,556.8,0.567,0.149,0.183,83.4,54.0,81.2,0.428,369.0,669.0
W152-T14,152,702.583,704.883,2.3,141,INDETERMINATE,964.3,527.1,326.6,0.472,0.433,0.433,308.3,-0.8,42.6,0.481,258.0,346.0
W152-T15,152,709.367,712.6,3.233,139,INDETERMINATE,426.0,399.4,141.8,0.448,0.576,0.133,45.8,10.0,33.7,0.427,251.0,399.0
W152-T16,152,703.433,705.433,2.0,135,INDETERMINATE,913.5,411.8,363.6,0.355,0.281,0.0,63.8,47.3,47.4,0.608,113.0,123.0
W152-T17,152,701.817,704.067,2.25,134,INDETERMINATE,722.8,760.5,430.3,0.617,0.158,0.0,101.1,58.6,27.6,0.22,88.0,210.0
W152-T18,152,703.417,705.267,1.85,126,APPROACH-DIRECT,740.8,537.4,408.1,0.134,0.0,0.0,402.3,258.6,224.0,0.622,425.0,652.0
W152-T19,152,706.717,708.633,1.917,124,APPROACH-DIRECT,673.5,105.2,87.3,0.718,0.055,0.0,342.9,185.6,159.8,0.66,348.0,561.0
W152-T20,152,701.85,703.933,2.083,119,APPROACH-DIRECT,712.2,745.2,500.1,0.79,0.0,0.0,132.2,84.1,103.7,0.781,392.0,174.0
W152-T21,152,701.683,703.533,1.85,118,INDETERMINATE,870.7,577.5,366.2,0.567,0.01,0.0,97.8,52.1,48.2,0.278,81.0,188.0
W152-T22,152,702.8,704.317,1.517,105,APPROACH-DIRECT,904.0,216.1,166.0,0.341,0.231,0.0,341.3,312.0,103.4,0.363,162.0,413.0
W152-T23,152,702.25,703.717,1.467,103,APPROACH-DIRECT,851.9,854.0,843.4,0.236,0.0,0.0,381.3,69.4,227.5,0.959,389.0,231.0
W152-T24,152,706.267,707.75,1.483,100,INDETERMINATE,863.0,862.1,821.4,0.651,0.058,0.0,466.1,-195.5,296.5,0.716,417.0,442.0
W152-T25,152,701.45,703.283,1.833,98,INDETERMINATE,1045.9,229.9,150.9,0.452,0.381,0.0,153.8,-1.4,45.4,0.633,168.0,201.0
W152-T26,152,701.65,702.95,1.3,93,INDETERMINATE,801.9,351.9,342.4,0.405,0.405,0.183,104.6,-8.6,27.7,0.557,111.0,162.0
W152-T27,152,710.333,711.633,1.3,93,APPROACH-DIRECT,856.3,857.4,841.6,0.253,0.0,0.0,395.4,344.2,178.0,0.378,255.0,397.0
W152-T28,152,701.65,702.917,1.267,81,INDETERMINATE,966.3,442.5,421.2,0.925,0.0,0.0,98.9,55.1,67.3,0.69,85.0,127.0
W152-T29,152,702.05,703.217,1.167,72,APPROACH-DIRECT,718.1,572.2,557.4,0.776,0.0,0.0,137.1,70.3,86.5,0.745,235.0,139.0
W152-T30,152,701.733,702.667,0.933,71,APPROACH-DIRECT,786.0,368.9,368.9,0.719,0.0,0.0,153.5,95.0,62.5,0.351,55.0,130.0
W152-T31,152,700.567,701.45,0.883,68,UNBLOCKED-NO-TEST,986.6,876.7,833.4,0.037,0.463,0.0,77.2,15.5,31.5,0.332,50.0,147.0
W152-T32,152,701.083,701.917,0.833,65,APPROACH-DIRECT,1024.7,134.1,134.1,0.0,0.059,0.0,178.0,84.2,53.6,0.289,46.0,143.0
W153-T01,153,718.2,722.5,4.3,258,INDETERMINATE,856.8,101.9,12.4,0.287,0.094,0.0,169.7,-3.2,63.4,0.405,481.0,828.0
W153-T02,153,718.683,722.783,4.1,248,UNBLOCKED-NO-TEST,758.1,496.3,85.7,0.184,0.218,0.0,92.4,26.7,54.7,0.837,311.0,265.0
W153-T03,153,719.617,723.533,3.917,237,INDETERMINATE,1000.4,292.2,258.0,0.857,0.283,0.233,87.8,30.6,48.0,0.572,245.0,302.0
W153-T04,153,720.317,725.133,4.817,229,INDETERMINATE,1005.6,214.6,142.4,0.721,0.116,0.333,141.6,49.4,63.2,0.482,510.0,1022.0
W153-T05,153,715.983,719.517,3.533,224,APPROACH-DIRECT,992.3,690.3,464.3,0.386,0.214,0.0,353.1,229.8,145.8,0.619,956.0,900.0
W153-T06,153,718.683,722.5,3.817,222,INDETERMINATE,965.3,364.4,101.1,0.519,0.111,0.0,117.9,27.9,69.1,0.486,288.0,614.0
W153-T07,153,720.433,723.9,3.467,213,INDETERMINATE,766.2,902.8,582.9,0.553,0.352,0.1,78.5,27.9,33.0,0.366,144.0,307.0
W153-T08,153,718.7,721.4,2.7,177,APPROACH-DIRECT,929.8,485.6,468.0,0.252,0.344,0.283,124.7,115.5,77.6,0.475,202.0,392.0
W153-T09,153,716.533,719.4,2.867,176,APPROACH-DIRECT,934.3,424.3,345.6,0.154,0.259,0.15,412.9,337.1,204.9,0.521,655.0,764.0
W153-T10,153,720.317,723.0,2.683,176,APPROACH-DIRECT,909.1,174.1,113.8,0.574,0.062,0.133,160.2,77.1,99.0,0.743,272.0,275.0
W153-T11,153,719.5,722.333,2.833,168,APPROACH-DIRECT,926.0,170.7,122.7,0.825,0.123,0.0,162.6,88.0,81.2,0.517,322.0,514.0
W153-T12,153,716.483,719.1,2.617,166,APPROACH-DIRECT,524.0,271.6,240.7,0.039,0.026,0.0,390.5,213.1,206.5,0.583,527.0,741.0
W153-T13,153,720.317,723.1,2.783,164,INDETERMINATE,978.1,198.7,198.3,0.94,0.127,0.283,139.9,56.2,101.6,0.695,340.0,419.0
W153-T14,153,716.767,719.2,2.433,161,APPROACH-DIRECT,983.6,431.8,388.1,0.66,0.102,0.117,357.6,323.7,107.6,0.305,273.0,724.0
W153-T15,153,721.183,723.417,2.233,149,APPROACH-DIRECT,1056.1,368.4,345.1,1.0,0.007,0.0,264.7,241.1,114.3,0.439,301.0,510.0
W153-T16,153,718.917,721.0,2.083,140,APPROACH-DIRECT,1012.9,664.9,664.9,0.77,0.0,0.0,281.8,236.1,159.4,0.562,327.0,459.0
W153-T17,153,719.567,721.633,2.067,139,APPROACH-DIRECT,940.1,204.0,204.0,0.2,0.0,0.0,338.3,244.4,229.3,0.667,423.0,459.0
W153-T18,153,718.683,720.733,2.05,126,UNBLOCKED-NO-TEST,968.5,438.1,438.1,0.054,0.321,0.0,74.2,46.7,44.6,0.4,117.0,192.0
W153-T19,153,723.667,725.5,1.833,125,INDETERMINATE,1048.5,1146.5,784.6,0.216,0.369,0.0,69.1,6.9,40.7,0.319,78.0,189.0
W153-T20,153,724.467,726.333,1.867,124,UNBLOCKED-NO-TEST,800.8,64.7,64.6,0.1,0.791,0.0,18.4,-1.8,13.3,nan,34.0,53.0
W153-T21,153,715.817,717.517,1.7,117,APPROACH-DIRECT,992.3,903.1,635.1,0.641,0.058,0.1,209.1,182.8,88.3,0.363,148.0,337.0
W153-T22,153,722.467,724.033,1.567,108,APPROACH-DIRECT,822.0,71.4,71.4,0.255,0.138,0.0,76.2,74.2,16.5,0.216,36.0,130.0
W153-T23,153,725.967,727.517,1.55,108,INDETERMINATE,855.4,861.2,825.8,0.245,0.053,0.0,484.2,-295.1,204.9,0.464,336.0,507.0
W153-T24,153,717.55,719.05,1.5,105,UNBLOCKED-NO-TEST,585.3,521.1,300.9,0.011,1.0,0.0,14.1,7.3,9.4,nan,16.0,14.0
W153-T25,153,722.1,723.6,1.5,105,INDETERMINATE,845.8,855.1,833.0,0.374,0.0,0.0,427.1,-396.3,168.4,0.434,237.0,579.0
W153-T26,153,721.983,723.917,1.933,101,APPROACH-DIRECT,946.1,203.7,90.2,0.954,0.0,0.0,375.3,358.1,87.6,0.267,196.0,622.0
W153-T27,153,716.083,717.367,1.283,92,INDETERMINATE,931.9,1077.0,898.7,1.0,0.821,1.067,31.5,-22.5,12.4,nan,18.0,58.0
W153-T28,153,718.667,719.95,1.283,91,UNBLOCKED-NO-TEST,254.6,306.9,120.9,0.117,0.494,0.0,57.6,14.4,55.2,0.962,340.0,199.0
W153-T29,153,721.783,722.883,1.1,80,INDETERMINATE,436.0,323.7,236.3,0.424,0.076,0.0,137.6,44.0,123.2,0.87,139.0,84.0
W153-T30,153,719.583,720.583,1.0,70,APPROACH-DIRECT,973.9,670.4,670.4,1.0,0.0,0.0,206.0,204.5,59.6,0.266,71.0,258.0
W153-T31,153,719.95,720.733,0.783,62,APPROACH-DIRECT,1088.7,885.0,885.0,0.958,0.0,0.0,144.3,130.6,62.6,0.446,50.0,110.0
W154-T01,154,732.333,743.35,11.017,498,INDETERMINATE,690.3,157.6,157.6,0.729,0.31,0.25,186.9,35.0,72.5,0.512,1534.0,1569.0
W154-T02,154,732.267,739.95,7.683,332,INDETERMINATE,637.9,434.3,82.2,0.623,0.16,0.433,293.5,4.5,77.2,0.381,1115.0,1933.0
W154-T03,154,737.867,742.45,4.583,273,INDETERMINATE,669.8,469.6,465.6,0.73,0.595,0.4,36.5,0.6,16.7,0.81,347.0,254.0
W154-T04,154,733.2,737.7,4.5,257,INDETERMINATE,761.9,209.7,105.2,0.502,0.284,0.117,266.1,36.0,42.1,0.233,460.0,1050.0
W154-T05,154,733.917,740.233,6.317,211,APPROACH-DIRECT,771.5,15.2,4.6,0.513,0.025,0.0,261.8,165.8,85.5,0.354,698.0,1277.0
W154-T06,154,732.083,736.883,4.8,204,APPROACH-DIRECT,623.4,239.9,152.6,0.358,0.063,0.0,388.1,257.6,181.6,0.471,928.0,1255.0
W154-T07,154,732.917,735.883,2.967,189,APPROACH-DIRECT,1058.5,855.2,469.6,0.966,0.411,0.667,73.4,61.4,12.0,0.463,304.0,544.0
W154-T08,154,732.683,735.15,2.467,160,INDETERMINATE,659.0,822.8,619.8,0.829,0.863,0.867,21.6,2.6,14.5,nan,47.0,44.0
W154-T09,154,733.383,735.917,2.533,132,APPROACH-DIRECT,732.1,200.5,46.0,0.407,0.0,0.0,359.9,342.4,94.7,0.201,319.0,756.0
W154-T10,154,737.233,739.533,2.3,124,INDETERMINATE,612.1,657.3,609.7,0.982,0.491,0.3,50.4,0.1,15.1,0.904,214.0,143.0
W154-T11,154,733.217,735.417,2.2,118,APPROACH-DIRECT,884.7,787.0,764.0,0.875,0.087,0.1,360.2,235.2,202.1,0.62,385.0,502.0
W154-T12,154,733.467,735.233,1.767,117,IN-CONTACT,162.1,399.5,62.5,0.117,0.845,0.133,33.2,-12.6,9.2,nan,32.0,54.0
W154-T13,154,733.217,735.417,2.2,114,APPROACH-DIRECT,877.8,784.4,761.7,0.97,0.2,0.2,279.1,224.0,59.8,0.333,350.0,547.0
W154-T14,154,733.7,735.95,2.25,109,APPROACH-DIRECT,835.4,163.3,96.1,0.916,0.0,0.0,496.0,407.4,209.0,0.518,405.0,646.0
W154-T15,154,737.983,739.467,1.483,104,INDETERMINATE,861.4,866.4,842.9,0.611,0.689,0.467,34.2,-0.7,14.7,nan,28.0,42.0
W154-T16,154,733.933,735.367,1.433,99,INDETERMINATE,856.4,844.0,833.2,0.447,0.024,0.0,340.3,-134.8,195.1,0.762,295.0,289.0
W154-T17,154,736.167,737.65,1.483,97,INDETERMINATE,613.8,508.3,496.8,0.783,0.627,0.35,21.8,10.9,11.0,0.933,102.0,159.0
W154-T18,154,742.017,743.633,1.617,97,UNBLOCKED-NO-TEST,854.3,854.6,817.9,0.096,0.59,0.0,35.6,0.8,16.1,0.492,75.0,136.0
W154-T19,154,736.933,740.25,3.317,94,IN-CONTACT,108.2,73.3,15.3,0.225,0.025,0.0,170.5,10.6,99.9,0.684,412.0,418.0
W154-T20,154,737.35,741.15,3.8,94,INDETERMINATE,100.9,194.7,100.5,0.75,0.037,0.0,255.2,-129.9,92.8,0.512,486.0,709.0
W154-T21,154,737.283,740.683,3.4,90,IN-CONTACT,154.8,140.4,28.0,0.5,0.039,0.0,270.6,-14.7,219.5,0.899,946.0,540.0
W154-T22,154,737.0,740.033,3.033,87,IN-CONTACT,52.2,22.6,20.2,0.274,0.055,0.0,247.3,12.0,187.2,0.747,582.0,485.0
W154-T23,154,730.317,731.5,1.183,86,UNBLOCKED-NO-TEST,854.3,847.6,845.1,0.069,0.0,0.0,502.9,-187.6,464.2,0.883,488.0,237.0
W154-T24,154,736.617,739.267,2.65,84,INDETERMINATE,384.6,283.9,283.9,0.771,0.014,0.0,202.9,24.1,108.1,0.769,404.0,309.0
W154-T25,154,742.1,743.183,1.083,80,INDETERMINATE,785.8,785.8,774.8,0.742,0.758,0.217,24.6,-2.5,6.5,nan,10.0,30.0
W154-T26,154,732.117,733.15,1.033,75,APPROACH-DIRECT,775.5,425.2,348.5,0.066,0.0,0.0,850.7,626.6,555.2,0.643,612.0,593.0
W154-T27,154,732.25,733.083,0.833,64,APPROACH-DIRECT,645.7,528.2,462.0,0.12,0.0,0.0,474.3,471.5,97.4,0.176,90.0,329.0
W154-T28,154,737.75,739.533,1.783,62,INDETERMINATE,179.2,159.0,75.9,0.333,0.021,0.0,394.1,-70.5,181.3,0.711,570.0,620.0
W154-T29,154,733.317,734.617,1.3,60,INDETERMINATE,881.8,899.7,805.9,1.0,0.043,0.0,235.8,15.8,120.4,0.395,127.0,253.0
W155-T01,155,750.317,759.767,9.45,514,INDETERMINATE,603.8,175.0,126.4,0.436,0.744,1.117,27.8,-0.4,11.0,0.277,254.0,482.0
W155-T02,155,744.417,748.05,3.633,233,UNBLOCKED-NO-TEST,860.7,861.7,828.8,0.005,0.0,0.0,512.6,11.3,275.3,0.637,1060.0,1247.0
W155-T03,155,746.4,749.983,3.583,230,APPROACH-DIRECT,1099.9,815.5,640.3,0.444,0.037,0.0,244.5,207.0,75.3,0.432,431.0,811.0
W155-T04,155,750.317,753.867,3.55,228,INDETERMINATE,885.1,427.4,427.4,0.584,0.215,0.15,244.5,45.7,110.5,0.8,673.0,445.0
W155-T05,155,746.817,750.067,3.25,210,APPROACH-DIRECT,1020.0,767.8,767.8,0.398,0.0,0.0,315.8,194.0,219.2,0.654,771.0,716.0
W155-T06,155,747.933,751.4,3.467,173,APPROACH-DIRECT,712.9,403.6,65.8,0.371,0.176,0.0,378.4,265.2,62.2,0.201,417.0,999.0
W155-T07,155,747.1,749.183,2.083,140,APPROACH-DIRECT,999.2,372.1,185.9,0.452,0.286,0.6,301.6,256.1,27.8,0.234,216.0,530.0
W155-T08,155,756.117,759.8,3.683,139,IN-CONTACT,138.6,78.9,8.3,0.384,0.064,0.0,200.3,43.8,92.5,0.53,391.0,529.0
W155-T09,155,750.3,752.383,2.083,138,APPROACH-DIRECT,814.9,325.6,248.4,0.347,0.452,0.167,96.6,60.9,22.7,0.288,97.0,256.0
W155-T10,155,750.317,752.417,2.1,128,APPROACH-DIRECT,596.2,84.7,25.4,0.281,0.0,0.0,307.8,256.2,102.3,0.327,324.0,523.0
W155-T11,155,756.133,759.883,3.75,115,IN-CONTACT,145.2,193.0,11.4,0.564,0.069,0.0,190.1,-5.4,138.0,0.926,599.0,334.0
W155-T12,155,757.183,759.017,1.833,114,INDETERMINATE,797.7,734.2,725.4,1.0,0.5,0.183,50.9,-3.2,11.6,0.049,25.0,153.0
W155-T13,155,757.183,759.017,1.833,113,INDETERMINATE,890.8,791.3,783.1,0.98,0.687,0.3,27.4,0.4,12.9,0.671,94.0,117.0
W155-T14,155,748.383,750.617,2.233,112,APPROACH-DIRECT,244.2,682.0,16.8,0.561,0.112,0.0,285.6,87.9,150.6,0.6,326.0,522.0
W155-T15,155,756.333,759.883,3.55,111,INDETERMINATE,67.4,216.9,15.3,0.649,0.093,0.0,197.5,-43.4,87.0,0.546,384.0,535.0
W155-T16,155,748.367,750.683,2.317,110,IN-CONTACT,171.1,643.1,29.4,0.344,0.219,0.0,225.5,54.1,57.2,0.451,331.0,366.0
W155-T17,155,753.9,755.483,1.583,110,APPROACH-DIRECT,851.8,845.4,841.5,0.115,0.0,0.0,454.5,283.0,360.8,0.835,506.0,445.0
W155-T18,155,756.467,759.883,3.417,105,INDETERMINATE,71.5,350.9,44.5,0.637,0.121,0.0,186.7,-8.3,88.8,0.619,438.0,563.0
W155-T19,155,757.2,759.017,1.817,105,INDETERMINATE,883.8,789.6,781.5,1.0,0.429,0.183,62.0,0.1,16.2,0.45,172.0,183.0
W155-T20,155,757.75,759.217,1.467,103,INDETERMINATE,856.4,855.1,845.7,0.303,0.73,0.1,20.1,-0.3,11.7,nan,27.0,31.0
W155-T21,155,748.583,750.067,1.483,102,APPROACH-DIRECT,976.0,851.4,851.4,0.784,0.136,0.0,213.7,149.7,24.5,0.127,77.0,228.0
W155-T22,155,748.033,749.183,1.15,82,INDETERMINATE,802.2,298.1,250.4,0.559,0.176,0.0,192.0,41.9,166.6,0.845,249.0,266.0
W155-T23,155,748.133,750.333,2.2,78,IN-CONTACT,597.2,591.0,14.7,0.766,0.0,0.0,315.2,70.8,245.2,0.85,777.0,753.0
W155-T24,155,748.4,750.233,1.833,68,IN-CONTACT,357.1,393.5,90.2,0.611,0.037,0.0,246.7,7.2,87.7,0.549,191.0,373.0
W155-T25,155,757.217,758.267,1.05,66,INDETERMINATE,718.3,710.4,702.2,1.0,0.615,0.217,35.6,-0.4,12.6,0.96,103.0,39.0
W155-T26,155,748.5,750.2,1.7,65,APPROACH-DIRECT,310.8,284.8,68.3,0.686,0.02,0.0,306.9,136.8,180.7,0.806,362.0,260.0
W155-T27,155,748.5,749.317,0.817,64,APPROACH-DIRECT,875.4,916.7,849.2,0.74,0.0,0.0,375.5,68.9,363.8,0.983,294.0,55.0
W155-T28,155,757.317,759.85,2.533,60,IN-CONTACT,52.7,331.1,12.2,0.413,0.022,0.0,177.8,-58.4,90.8,0.426,353.0,402.0
W155-T29,155,758.033,759.55,1.517,60,INDETERMINATE,150.3,135.6,135.6,0.848,0.065,0.0,267.5,-73.1,136.5,0.767,234.0,191.0
W156-T01,156,768.983,778.017,9.033,549,INDETERMINATE,999.1,161.2,54.9,0.679,0.65,1.033,26.1,0.5,14.0,0.313,311.0,506.0
W156-T02,156,763.0,770.783,7.783,471,UNBLOCKED-NO-TEST,1140.6,464.9,352.4,0.19,0.416,0.1,63.6,14.0,38.2,0.264,411.0,835.0
W156-T03,156,762.6,769.5,6.9,400,INDETERMINATE,852.6,269.1,142.5,0.42,0.262,0.1,134.2,31.8,67.0,0.479,759.0,1180.0
W156-T04,156,764.717,769.867,5.15,319,APPROACH-DIRECT,1047.4,545.6,456.7,0.695,0.154,0.3,154.5,128.8,59.3,0.508,349.0,655.0
W156-T05,156,763.367,770.083,6.717,303,INDETERMINATE,592.0,446.8,257.9,0.619,0.294,0.583,211.3,14.5,107.4,0.795,1412.0,1123.0
W156-T06,156,763.067,767.45,4.383,244,INDETERMINATE,414.0,233.6,233.6,0.709,0.83,0.383,22.1,-1.1,8.2,0.165,127.0,362.0
W156-T07,156,771.05,779.25,8.2,235,INDETERMINATE,265.0,77.6,14.9,0.552,0.09,0.0,230.2,-54.1,105.2,0.59,1105.0,1481.0
W156-T08,156,770.033,774.733,4.7,183,INDETERMINATE,150.7,92.2,92.2,0.675,0.379,0.233,80.9,-1.6,48.5,0.75,715.0,624.0
W156-T09,156,764.133,766.917,2.783,182,INDETERMINATE,951.0,273.5,266.5,0.952,0.536,0.817,46.4,-10.8,16.3,0.383,54.0,116.0
W156-T10,156,765.117,767.833,2.717,172,INDETERMINATE,935.6,892.9,714.8,0.741,0.247,0.283,67.5,21.5,37.7,0.395,102.0,148.0
W156-T11,156,764.183,767.167,2.983,171,APPROACH-DIRECT,844.8,860.5,831.3,0.376,0.032,0.0,366.9,79.8,234.2,0.872,958.0,662.0
W156-T12,156,764.133,766.667,2.533,167,INDETERMINATE,890.1,294.9,294.9,0.987,0.739,0.9,33.0,-8.7,14.4,nan,37.0,78.0
W156-T13,156,764.133,766.867,2.733,165,INDETERMINATE,763.7,31.6,31.6,0.47,0.795,0.433,25.4,3.8,14.9,0.564,162.0,309.0
W156-T14,156,772.533,774.983,2.45,162,R1-STALLED-BEHIND,899.2,456.5,455.7,0.98,0.811,1.6,26.6,-3.5,8.1,0.549,34.0,71.0
W156-T15,156,760.617,763.25,2.633,160,UNBLOCKED-NO-TEST,843.8,852.8,809.0,0.027,0.164,0.0,399.6,-14.0,272.5,0.724,810.0,623.0
W156-T16,156,764.117,766.85,2.733,158,UNBLOCKED-NO-TEST,587.9,154.9,72.6,0.09,0.528,0.0,48.7,3.9,33.6,0.811,164.0,163.0
W156-T17,156,774.2,776.567,2.367,156,APPROACH-DIRECT,919.6,454.5,454.5,0.261,0.141,0.0,78.1,61.2,36.0,0.436,93.0,219.0
W156-T18,156,764.133,766.483,2.35,151,UNBLOCKED-NO-TEST,523.3,110.3,68.6,0.051,0.401,0.0,59.6,7.2,38.4,nan,102.0,77.0
W156-T19,156,772.7,778.8,6.1,149,IN-CONTACT,114.3,29.7,23.6,0.578,0.044,0.0,269.9,-36.9,146.0,0.633,1081.0,1597.0
W156-T20,156,777.533,778.933,1.4,99,INDETERMINATE,859.1,849.7,831.8,0.341,0.176,0.0,347.7,-81.1,142.2,0.498,191.0,381.0
W156-T21,156,762.6,763.983,1.383,98,APPROACH-DIRECT,913.2,268.8,219.3,0.571,0.0,0.0,525.6,452.0,271.7,0.531,409.0,527.0
W156-T22,156,769.733,771.117,1.383,98,INDETERMINATE,852.0,847.8,846.0,0.286,0.036,0.0,349.4,15.3,319.4,0.962,375.0,138.0
W156-T23,156,762.433,763.833,1.4,97,APPROACH-DIRECT,813.4,116.7,104.4,0.12,0.181,0.0,322.8,260.9,64.8,0.304,191.0,396.0
W156-T24,156,762.05,763.45,1.4,94,UNBLOCKED-NO-TEST,561.1,296.7,68.3,0.138,0.475,0.117,65.0,-2.7,16.3,0.072,83.0,442.0
W156-T25,156,773.75,774.933,1.183,86,APPROACH-DIRECT,849.4,856.0,847.6,0.319,0.028,0.0,489.4,253.8,330.5,0.864,382.0,311.0
W156-T26,156,763.2,764.417,1.217,83,APPROACH-DIRECT,824.2,612.6,612.6,0.464,0.304,0.0,366.8,362.3,53.2,0.142,57.0,347.0
W156-T27,156,771.4,773.8,2.4,78,INDETERMINATE,224.4,211.1,120.7,0.453,0.047,0.0,224.6,31.3,120.1,0.716,302.0,308.0
W156-T28,156,765.417,767.55,2.133,76,INDETERMINATE,176.9,111.0,88.8,0.419,0.113,0.0,165.5,20.6,108.4,0.749,279.0,226.0
